geo,storm_deaths_annual_number,time
pri,0,2006
pri,1,2007
pri,0,2008
reu,0,1970
reu,0,1971
reu,0,1972
reu,0,1973
reu,0,1974
reu,0,1975
reu,0,1976
reu,0,1977
reu,0,1978
reu,0,1979
reu,25,1980
reu,0,1981
reu,0,1982
reu,0,1983
reu,0,1984
reu,0,1985
reu,0,1986
reu,10,1987
reu,0,1988
reu,10,1989
reu,0,1990
reu,0,1991
reu,0,1992
reu,14,1993
reu,0,1994
reu,0,1995
reu,0,1996
reu,0,1997
reu,0,1998
reu,0,1999
reu,2,2000
reu,0,2001
reu,0,2002
reu,0,2003
reu,0,2004
reu,0,2005
reu,0,2006
reu,2,2007
reu,0,2008
rou,0,1970
rou,0,1971
rou,0,1972
rou,0,1973
rou,0,1974
rou,0,1975
rou,0,1976
rou,0,1977
rou,0,1978
rou,0,1979
rou,0,1980
rou,0,1981
rou,0,1982
rou,0,1983
rou,0,1984
rou,0,1985
rou,0,1986
rou,0,1987
rou,0,1988
rou,0,1989
rou,0,1990
rou,0,1991
rou,0,1992
rou,3,1993
rou,0,1994
rou,0,1995
rou,0,1996
rou,12,1997
rou,0,1998
rou,0,1999
rou,14,2000
rou,0,2001
rou,0,2002
rou,0,2003
rou,12,2004
rou,3,2005
rou,0,2006
rou,0,2007
rou,0,2008
rus,0,1970
rus,0,1971
rus,0,1972
rus,0,1973
rus,0,1974
rus,0,1975
rus,0,1976
rus,0,1977
rus,0,1978
rus,0,1979
rus,0,1980
rus,0,1981
rus,0,1982
rus,0,1983
rus,0,1984
rus,0,1985
rus,0,1986
rus,0,1987
rus,0,1988
rus,0,1989
rus,0,1990
rus,0,1991
rus,0,1992
rus,0,1993
rus,12,1994
rus,145,1995
rus,0,1996
rus,0,1997
rus,8,1998
rus,12,1999
rus,9,2000
rus,8,2001
rus,8,2002
rus,0,2003
rus,9,2004
rus,0,2005
rus,0,2006
rus,0,2007
rus,0,2008
shn,0,1970
shn,0,1971
shn,0,1972
shn,0,1973
shn,0,1974
shn,0,1975
shn,0,1976
shn,0,1977
shn,0,1978
shn,0,1979
shn,0,1980
shn,0,1981
shn,0,1982
shn,0,1983
shn,0,1984
shn,0,1985
shn,0,1986
shn,0,1987
shn,0,1988
shn,0,1989
shn,0,1990
shn,0,1991
shn,0,1992
shn,0,1993
shn,0,1994
shn,0,1995
shn,0,1996
shn,0,1997
shn,0,1998
shn,0,1999
shn,0,2000
shn,0,2001
shn,0,2002
shn,0,2003
shn,0,2004
shn,0,2005
shn,0,2006
shn,0,2007
shn,0,2008
kna,0,1970
kna,0,1971
kna,0,1972
kna,0,1973
kna,0,1974
kna,0,1975
kna,0,1976
kna,0,1977
