geo,tb_programme_dots_population_coverage_percent,time
kor,100,2003
kor,100,2004
kor,100,2005
kor,100,2006
kor,100,2007
mda,0,1996
mda,0,1997
mda,0,1998
mda,0,1999
mda,0,2000
mda,32,2001
mda,70,2002
mda,81,2003
mda,100,2004
mda,100,2005
mda,100,2006
mda,100,2007
rou,0,1996
rou,0,1997
rou,100,1998
rou,4,1999
rou,11,2000
rou,34,2001
rou,54,2002
rou,54,2003
rou,54,2004
rou,100,2005
rou,100,2006
rou,100,2007
rus,2,1996
rus,2,1997
rus,5,1998
rus,5,1999
rus,12,2000
rus,16,2001
rus,25,2002
rus,25,2003
rus,45,2004
rus,83,2005
rus,84,2006
rus,100,2007
rwa,100,1995
rwa,100,1996
rwa,100,1997
rwa,100,1998
rwa,100,1999
rwa,100,2000
rwa,100,2001
rwa,100,2002
rwa,100,2003
rwa,100,2004
rwa,100,2005
rwa,100,2006
rwa,100,2007
kna,0,1996
kna,100,1998
kna,100,1999
kna,100,2000
kna,100,2001
kna,100,2002
kna,100,2003
kna,100,2004
kna,100,2005
kna,100,2006
kna,100,2007
lca,100,1997
lca,46,1998
lca,100,1999
lca,100,2000
lca,100,2001
lca,100,2002
lca,100,2003
lca,100,2004
lca,100,2005
lca,100,2006
lca,100,2007
vct,100,1998
vct,100,2000
vct,100,2001
vct,100,2002
vct,100,2003
vct,100,2004
vct,100,2005
vct,100,2006
vct,0,2007
wsm,89,1995
wsm,100,1996
wsm,100,1997
wsm,0,1998
wsm,100,1999
wsm,100,2000
wsm,100,2001
wsm,100,2002
wsm,100,2003
wsm,100,2005
wsm,100,2006
smr,100,1996
smr,100,1997
smr,100,1998
smr,100,1999
smr,100,2000
smr,100,2001
smr,100,2002
smr,100,2003
smr,100,2004
stp,0,1999
stp,0,2000
stp,0,2001
stp,0,2002
stp,0,2004
stp,0,2005
stp,0,2006
stp,0,2007
sau,0,1997
sau,0,1998
sau,48,1999
sau,100,2000
sau,100,2001
sau,100,2002
sau,100,2003
sau,100,2004
sau,100,2005
sau,100,2006
sau,100,2007
sen,94,1995
sen,100,1996
sen,100,1997
sen,100,1998
sen,100,1999
sen,100,2000
sen,100,2001
sen,100,2002
sen,100,2003
sen,100,2004
sen,100,2005
sen,100,2006
sen,100,2007
syc,100,1996
syc,100,1997
syc,99,1998
syc,100,2000
syc,100,2001
syc,100,2002
syc,100,2003
syc,100,2004
syc,100,2005
sle,25,1995
sle,87,1996
sle,78,1997
sle,100,1998
sle,50,2000
sle,90,2001
sle,93,2002
sle,100,2003
sle,100,2004
sle,100,2005
sle,100,2006
sle,100,2007
sgp,70,1995
sgp,40,1996
sgp,0,1997
sgp,0,1998
sgp,0,1999
sgp,100,2000
sgp,100,2001
sgp,100,2002
sgp,100,2003
sgp,100,2004
sgp,100,2005
sgp,100,2006
sgp,100,2007
svk,100,1995
svk,100,1996
svk,100,1997
svk,100,1998
svk,100,1999
svk,100,2000
svk,100,2001
svk,100,2002
svk,100,2003
svk,100,2004
svk,100,2005
svk,100,2006
svk,100,2007
svn,100,1996
svn,100,1997
svn,100,1998
svn,100,1999
svn,100,2000
svn,100,2001
svn,100,2002
svn,100,2003
svn,100,2004
svn,100,2005
svn,100,2006
svn,100,2007
slb,100,1996
slb,100,1997
slb,100,1998
slb,100,1999
slb,100,2000
slb,100,2001
slb,100,2002
slb,100,2003
slb,100,2004
slb,100,2005
slb,100,2006
slb,100,2007
som,15,1996
som,15,1997
som,52,1998
som,56,1999
som,73,2000
som,100,2001
som,100,2002
som,100,2003
som,100,2004
som,100,2005
som,80,2006
som,100,2007
zaf,0,1996
zaf,13,1997
zaf,22,1998
zaf,66,1999
zaf,77,2000
zaf,77,2001
zaf,98,2002
zaf,100,2003
zaf,93,2004
zaf,94,2005
zaf,100,2006
zaf,100,2007
esp,0,1996
esp,0,1997
esp,0,1998
esp,0,1999
esp,0,2000
esp,0,2001
esp,0,2002
esp,0,2003
esp,0,2004
esp,0,2005
esp,0,2006
esp,0,2007
lka,100,1995
lka,100,1996
lka,94,1997
lka,95,1998
lka,95,1999
lka,95,2000
lka,64,2001
lka,73,2002
lka,74,2003
lka,88,2004
lka,98,2005
lka,98,2006
lka,98,2007
sdn,2,1996
sdn,6,1997
sdn,60,1998
sdn,72,1999
sdn,80,2000
sdn,97,2001
sdn,99,2002
sdn,99,2003
sdn,82,2004
sdn,91,2005
sdn,91,2006
sdn,91,2007
sur,0,1996
sur,0,1997
sur,0,1998
sur,0,1999
sur,0,2000
sur,0,2001
sur,0,2002
sur,0,2003
sur,0,2004
sur,0,2005
sur,0,2006
swz,0,1996
swz,0,2000
swz,0,2001
swz,100,2002
swz,100,2003
swz,100,2004
swz,100,2005
swz,100,2006
swz,100,2007
swe,0,1996
swe,0,1997
swe,0,1998
swe,0,1999
swe,0,2000
swe,0,2001
swe,0,2002
swe,0,2003
swe,0,2004
swe,0,2005
swe,0,2006
swe,0,2007
che,0,1996
che,0,1997
che,0,1998
che,0,1999
che,0,2000
che,0,2001
che,0,2002
che,0,2003
che,0,2004
che,0,2005
che,0,2006
che,20,2007
syr,0,1996
syr,48,1997
syr,58,1998
syr,78,1999
syr,100,2000
syr,100,2001
syr,100,2002
syr,100,2003
syr,100,2004
syr,100,2005
syr,100,2006
syr,100,2007
tjk,0,1996
tjk,0,1997
tjk,0,1998
tjk,0,1999
tjk,0,2000
tjk,0,2001
tjk,13,2002
tjk,13,2003
tjk,32,2004
tjk,61,2005
tjk,79,2006
tjk,100,2007
tha,1,1996
tha,4,1997
tha,32,1998
tha,59,1999
tha,70,2000
tha,82,2001
tha,100,2002
tha,100,2003
tha,100,2004
tha,100,2005
tha,100,2006
tha,100,2007
mkd,0,1996
mkd,0,1997
mkd,0,1998
mkd,0,1999
mkd,0,2000
mkd,50,2001
mkd,50,2002
mkd,50,2003
mkd,100,2004
mkd,100,2005
mkd,100,2006
mkd,100,2007
tls,78,2002
tls,78,2003
tls,85,2004
tls,85,2005
tls,100,2006
tls,100,2007
tgo,86,1995
tgo,100,1996
tgo,84,1997
tgo,100,1998
tgo,100,1999
tgo,100,2000
tgo,35,2002
tgo,100,2003
tgo,100,2004
tgo,100,2005
tgo,100,2006
tgo,100,2007
tkl,0,1996
tkl,0,1999
tkl,0,2000
tkl,0,2001
tkl,0,2003
tkl,0,2005
tkl,0,2006
tkl,0,2007
ton,100,1995
ton,100,1996
ton,30,1997
ton,98,1998
ton,98,1999
ton,98,2000
ton,98,2001
ton,98,2002
ton,100,2003
ton,100,2004
ton,100,2005
ton,100,2006
ton,100,2007
tto,0,1996
tto,0,1997
tto,0,1998
tto,0,1999
tto,0,2000
tto,0,2001
tto,0,2002
tto,0,2003
tto,0,2004
tto,0,2005
tto,0,2006
tto,0,2007
tun,0,1996
tun,0,1998
tun,100,1999
tun,100,2000
tun,100,2001
tun,100,2002
tun,100,2003
tun,100,2004
tun,100,2005
tun,100,2006
tun,100,2007
tur,0,1996
tur,0,1997
tur,0,1998
tur,0,1999
tur,0,2000
tur,0,2001
tur,0,2002
tur,2,2003
tur,3,2004
tur,3,2005
tur,50,2006
tur,100,2007
tkm,0,1996
tkm,0,1997
tkm,0,1998
tkm,0,1999
tkm,34,2000
tkm,34,2001
tkm,35,2002
tkm,36,2003
tkm,37,2004
tkm,37,2005
tkm,80,2006
tkm,80,2007
tca,100,1999
tca,0,2001
tca,0,2002
tca,0,2003
tca,100,2006
tuv,0,1998
tuv,0,2002
tuv,0,2003
tuv,100,2005
tuv,100,2006
tuv,100,2007
uga,0,1996
uga,100,1997
uga,100,1998
uga,100,1999
uga,100,2000
uga,100,2001
uga,100,2002
uga,100,2003
uga,100,2004
uga,100,2005
uga,100,2006
uga,100,2007
ukr,0,1996
ukr,0,1997
ukr,0,1998
ukr,0,1999
ukr,0,2000
ukr,0,2001
ukr,15,2002
ukr,15,2003
ukr,15,2004
ukr,29,2005
ukr,100,2006
ukr,100,2007
are,0,1999
are,20,2000
are,100,2001
are,20,2002
are,100,2003
are,20,2004
are,20,2005
are,20,2006
are,20,2007
gbr,0,1996
gbr,0,1997
gbr,0,1998
gbr,0,1999
gbr,0,2000
gbr,0,2001
gbr,0,2002
gbr,0,2003
gbr,0,2004
gbr,0,2005
gbr,0,2006
gbr,0,2007
tza,98,1995
tza,100,1996
tza,100,1997
tza,100,1998
tza,100,1999
tza,100,2000
tza,100,2001
tza,100,2002
tza,100,2003
tza,100,2004
tza,100,2005
tza,100,2006
tza,100,2007
vir,100,1996
usa,100,1996
usa,100,1997
usa,100,1998
usa,100,1999
usa,100,2000
usa,100,2001
usa,100,2002
usa,100,2003
usa,100,2004
usa,100,2005
usa,100,2006
usa,100,2007
ury,100,1995
ury,100,1996
ury,100,1997
ury,100,1998
ury,100,1999
ury,100,2000
ury,100,2001
ury,100,2002
ury,100,2003
ury,100,2004
ury,100,2005
ury,100,2006
ury,100,2007
uzb,0,1996
uzb,0,1997
uzb,1,1998
uzb,2,1999
uzb,7,2000
uzb,37,2001
uzb,41,2002
uzb,52,2003
uzb,84,2004
uzb,100,2005
uzb,100,2006
uzb,100,2007
vut,0,1995
vut,0,1996
vut,0,1997
vut,0,1998
vut,45,1999
vut,50,2000
vut,40,2001
vut,81,2002
vut,100,2003
vut,100,2004
vut,100,2005
vut,100,2006
vut,83,2007
ven,100,1995
ven,100,1996
ven,100,1997
ven,100,1998
ven,100,1999
ven,100,2000
ven,89,2001
ven,88,2002
ven,99,2003
ven,98,2004
ven,100,2005
ven,100,2006
ven,100,2007
vnm,50,1995
vnm,95,1996
vnm,93,1997
vnm,96,1998
vnm,99,1999
vnm,100,2000
vnm,100,2001
vnm,100,2002
vnm,100,2003
vnm,100,2004
vnm,100,2005
vnm,100,2006
vnm,100,2007
wlf,0,1996
wlf,0,1997
wlf,100,2002
wlf,90,2003
wlf,100,2005
wlf,100,2007
pse,0,1996
pse,0,1998
pse,100,2000
pse,100,2001
pse,100,2003
pse,100,2004
pse,100,2005
pse,100,2006
pse,45,2007
yem,3,1995
yem,15,1996
yem,50,1997
yem,52,1998
yem,89,2000
yem,97,2001
yem,98,2002
yem,98,2003
yem,98,2004
yem,93,2005
yem,98,2006
yem,100,2007
zmb,0,1996
zmb,0,2000
zmb,0,2001
zmb,55,2002
zmb,100,2003
zmb,100,2004
zmb,100,2005
zmb,100,2006
zmb,100,2007
zwe,0,1996
zwe,0,1997
zwe,100,1998
zwe,12,1999
zwe,100,2000
zwe,100,2001
zwe,100,2002
zwe,100,2003
zwe,100,2004
zwe,100,2005
zwe,100,2006
zwe,100,2007
