geo,females_aged_15plus_unemployment_rate_percent,time
nor,2.6,1987
nor,3.4,1988
nor,4.6,1989
nor,4.9,1990
nor,5.0,1991
nor,5.1,1992
nor,5.2,1993
nor,4.7,1994
nor,4.5,1995
nor,4.9,1996
nor,4.2,1997
nor,3.3,1998
nor,3.0,1999
nor,3.3,2000
nor,3.4,2001
nor,3.6,2002
nor,3.9,2003
nor,4.0,2004
nor,4.4,2005
phl,10.8,1986
phl,12.0,1987
phl,11.0,1988
phl,11.1,1989
phl,10.0,1990
phl,12.9,1991
phl,8.5,1992
phl,7.7,1993
phl,7.8,1994
phl,8.1,1995
phl,7.4,1996
phl,9.9,1997
phl,8.4,1998
phl,7.8,1999
phl,9.6,2000
phl,9.2,2001
phl,9.6,2002
phl,9.6,2003
phl,10.0,2004
phl,7.7,2005
pol,15.6,1993
pol,16.0,1994
pol,14.7,1995
pol,13.9,1996
pol,13.2,1997
pol,12.3,1998
pol,15.8,1999
pol,18.1,2000
pol,19.9,2001
pol,20.9,2002
pol,20.4,2003
pol,19.9,2004
pol,19.1,2005
prt,4.9,1992
prt,6.5,1993
prt,7.8,1994
prt,8.0,1995
prt,8.2,1996
prt,7.5,1997
prt,6.2,1998
prt,5.0,1999
prt,4.9,2000
prt,5.0,2001
prt,6.0,2002
prt,7.2,2003
prt,7.6,2004
prt,8.7,2005
rou,9.5,1994
rou,9.4,1995
rou,8.0,1996
rou,7.0,1997
rou,6.8,1998
rou,6.9,1999
rou,7.1,2000
rou,6.6,2001
rou,8.2,2002
rou,6.8,2003
rou,7.3,2004
rou,6.8,2005
sgp,2.8,1981
sgp,2.5,1982
sgp,2.8,1983
sgp,2.5,1984
sgp,3.7,1985
sgp,4.8,1986
sgp,3.5,1987
sgp,2.3,1988
sgp,1.6,1989
sgp,1.4,1990
sgp,1.8,1991
sgp,2.2,1992
sgp,2.2,1993
sgp,2.2,1994
sgp,2.2,1995
sgp,2.3,1996
sgp,2.1,1997
sgp,3.2,1998
sgp,3.9,1999
sgp,3.5,2001
sgp,4.7,2002
sgp,5.0,2003
sgp,4.6,2004
svk,12.8,1997
svk,13.1,1998
svk,16.4,1999
svk,18.6,2000
svk,18.7,2001
svk,18.7,2002
svk,17.7,2003
svk,19.1,2004
svn,8.4,1993
svn,8.4,1994
svn,6.9,1995
svn,6.8,1996
svn,7.3,1997
svn,7.7,1998
svn,7.6,1999
svn,7.2,2000
svn,6.5,2001
svn,6.2,2002
svn,6.8,2003
svn,6.3,2004
svn,7.1,2005
esp,15.8,1981
esp,18.5,1982
esp,20.3,1983
esp,22.8,1984
esp,24.8,1985
esp,25.1,1986
esp,27.2,1987
esp,27.4,1988
esp,25.1,1989
esp,23.9,1990
esp,23.5,1991
esp,25.8,1992
esp,29.4,1993
esp,31.6,1994
esp,30.8,1995
esp,29.6,1996
esp,28.2,1997
esp,26.5,1998
esp,22.9,1999
esp,20.4,2000
esp,15.2,2001
esp,16.4,2002
esp,16.0,2003
esp,15.0,2004
esp,12.2,2005
swe,2.6,1981
swe,3.4,1982
swe,3.6,1983
swe,3.2,1984
swe,2.9,1985
swe,2.7,1986
swe,2.3,1987
swe,1.9,1988
swe,1.7,1989
swe,1.8,1990
swe,2.9,1991
swe,4.7,1992
swe,7.7,1993
swe,8.3,1994
swe,8.2,1995
swe,9.4,1996
swe,9.7,1997
swe,8.0,1998
swe,6.8,1999
swe,5.4,2000
swe,4.6,2001
swe,4.7,2002
swe,5.3,2003
swe,6.2,2004
swe,7.6,2005
che,2.5,1991
che,3.5,1992
che,4.6,1993
che,4.4,1994
che,3.9,1995
che,4.1,1996
che,4.0,1997
che,4.1,1998
che,3.5,1999
che,3.1,2000
che,3.5,2001
che,3.1,2002
che,4.5,2003
che,4.7,2004
che,5.1,2005
tur,7.0,1991
tur,7.8,1992
tur,9.3,1993
tur,8.1,1994
tur,7.3,1995
tur,6.0,1996
tur,7.8,1997
tur,6.8,1998
tur,7.6,1999
tur,6.3,2000
tur,7.5,2001
tur,9.5,2002
tur,10.1,2003
tur,9.7,2004
tur,10.3,2005
gbr,4.2,2001
gbr,4.4,2002
gbr,4.1,2003
gbr,4.2,2004
gbr,4.1,2005
usa,7.9,1981
usa,9.4,1982
usa,9.2,1983
usa,7.6,1984
usa,7.4,1985
usa,7.0,1986
usa,6.2,1987
usa,5.5,1988
usa,5.3,1989
usa,5.5,1990
usa,6.4,1991
usa,7.0,1992
usa,6.6,1993
usa,6.0,1994
usa,5.6,1995
usa,5.4,1996
usa,5.0,1997
usa,4.6,1998
usa,4.3,1999
usa,4.1,2000
usa,4.7,2001
usa,5.6,2002
usa,5.7,2003
usa,5.4,2004
usa,5.1,2005
