expenditure_per_student_tertiary_percent_of_gdp_per_person,geo,time
47.06,bol,2000
43.98,bol,2001
43.46,bol,2002
35.97,bol,2003
312.5,bwa,2005
256.3,bwa,2007
80.13,bra,1998
57.22,bra,1999
55.57,bra,2000
47.46,bra,2001
44.61,bra,2002
32.61,bra,2004
34.98,bra,2005
29.6,bra,2007
27.64,bra,2008
32.01,brn,2010
17.57,bgr,2001
18.2,bgr,2002
27.34,bgr,2003
17.39,bgr,2004
23.3,bgr,2005
22.09,bgr,2006
18.89,bgr,2007
24.8,bgr,2008
217.1,bfa,2005
240.9,bfa,2006
314.2,bfa,2007
1036.0,bdi,1999
909.0,bdi,2000
1103.0,bdi,2001
621.4,bdi,2002
563.8,bdi,2003
422.7,bdi,2004
334.6,bdi,2005
552.0,bdi,2008
509.9,bdi,2009
477.4,bdi,2010
42.5,khm,2001
70.59,cmr,2004
69.41,cmr,2005
46.3,cmr,2006
49.02,cmr,2007
32.68,cmr,2008
34.64,cmr,2009
28.0,cmr,2010
44.0,can,1998
347.7,cpv,2002
215.6,cpv,2003
114.9,cpv,2004
69.48,cpv,2005
76.26,cpv,2006
52.55,cpv,2008
46.45,cpv,2009
0.0,cym,2006
292.5,caf,2006
101.0,caf,2008
122.7,caf,2009
95.97,caf,2010
263.3,tcd,2004
314.7,tcd,2005
207.7,tcd,2009
279.1,tcd,2010
20.97,chl,1998
19.37,chl,2000
17.96,chl,2002
15.0,chl,2003
15.41,chl,2004
11.64,chl,2005
11.76,chl,2006
11.48,chl,2007
12.08,chl,2008
13.69,chl,2009
90.0,chn,1999
33.69,col,1998
37.72,col,1999
29.57,col,2000
30.32,col,2001
23.42,col,2002
20.68,col,2004
19.41,col,2005
18.93,col,2006
26.03,col,2008
26.83,col,2009
29.39,col,2010
220.9,cog,2002
134.2,cog,2010
35.79,cri,2004
141.0,civ,1999
133.7,civ,2000
106.8,civ,2006
110.3,civ,2007
35.82,hrv,1999
42.42,hrv,2000
29.18,hrv,2002
26.56,hrv,2003
25.23,hrv,2007
29.21,hrv,2008
116.3,cub,1998
77.58,cub,1999
94.74,cub,2000
89.46,cub,2001
98.08,cub,2002
93.8,cub,2003
63.36,cub,2004
55.55,cub,2005
34.27,cub,2006
38.84,cub,2007
59.1,cub,2008
61.07,cub,2009
47.88,cyp,1999
61.06,cyp,2000
41.44,cyp,2001
44.45,cyp,2002
61.27,cyp,2003
52.34,cyp,2004
59.72,cyp,2005
61.95,cyp,2006
56.96,cyp,2007
57.03,cyp,2008
33.73,cze,1999
30.49,cze,2000
31.12,cze,2001
31.01,cze,2002
33.3,cze,2003
30.09,cze,2004
27.23,cze,2005
37.29,cze,2006
30.48,cze,2007
25.72,cze,2008
65.86,dnk,1999
70.18,dnk,2000
75.51,dnk,2001
73.91,dnk,2002
66.73,dnk,2003
62.55,dnk,2004
55.5,dnk,2005
53.73,dnk,2006
53.64,dnk,2007
52.14,dnk,2008
10.21,slv,1998
8.857,slv,2000
10.94,slv,2002
10.97,slv,2003
15.06,slv,2005
14.27,slv,2006
13.88,slv,2007
11.74,slv,2010
430.8,eri,2001
408.8,eri,2002
617.3,eri,2003
940.5,eri,2004
31.82,est,1999
24.2,est,2001
24.14,est,2002
21.68,est,2003
17.58,est,2004
18.37,est,2005
20.53,est,2007
22.12,est,2008
31.02,eth,2010
62.77,fji,2004
40.49,fin,1999
38.42,fin,2000
37.06,fin,2001
37.01,fin,2002
36.82,fin,2003
36.04,fin,2004
34.37,fin,2005
33.36,fin,2006
31.65,fin,2007
32.46,fin,2008
30.66,fra,1999
30.22,fra,2000
29.73,fra,2001
30.05,fra,2002
35.03,fra,2003
35.18,fra,2004
34.48,fra,2005
34.61,fra,2006
36.07,fra,2007
37.0,fra,2008
235.3,gmb,2004
94.39,gmb,2008
11.4,geo,2008
204.9,gha,2005
233.0,gha,2007
171.7,gha,2010
27.45,grc,1998
26.47,grc,1999
20.99,grc,2000
24.67,grc,2001
24.28,grc,2002
21.81,grc,2003
24.84,grc,2004
25.36,grc,2005
18.95,gtm,2007
294.1,gin,2004
214.8,gin,2005
100.0,gin,2008
36.76,guy,2004
35.39,guy,2005
27.08,guy,2006
22.01,guy,2007
26.09,guy,2009
18.7,guy,2010
65.04,hkg,2003
67.72,hkg,2004
59.7,hkg,2005
57.2,hkg,2006
38.47,hkg,2007
28.62,hkg,2008
56.25,hkg,2009
26.83,hkg,2010
35.99,hun,1998
34.09,hun,1999
34.64,hun,2000
32.69,hun,2001
31.98,hun,2002
31.74,hun,2003
24.37,hun,2004
23.86,hun,2005
23.9,hun,2006
24.29,hun,2007
24.76,hun,2008
39.04,isl,1999
35.09,isl,2000
34.82,isl,2001
34.3,isl,2002
30.43,isl,2003
27.5,isl,2004
28.42,isl,2005
26.22,isl,2006
27.37,isl,2007
28.38,isl,2008
94.97,ind,2000
68.43,ind,2003
61.08,ind,2004
56.18,ind,2005
53.4,ind,2006
19.31,idn,2007
16.76,idn,2008
35.54,irn,2001
38.52,irn,2002
32.27,irn,2003
26.55,irn,2004
23.5,irn,2005
30.29,irn,2006
27.92,irn,2007
20.84,irn,2008
22.27,irn,2009
19.23,irn,2010
29.04,irl,1998
28.58,irl,1999
30.62,irl,2000
28.24,irl,2001
26.37,irl,2002
23.92,irl,2003
23.79,irl,2004
24.64,irl,2005
26.0,irl,2006
26.23,irl,2007
32.75,irl,2008
30.93,isr,1999
29.19,isr,2000
28.75,isr,2001
25.39,isr,2002
27.8,isr,2003
23.63,isr,2004
22.58,isr,2005
22.8,isr,2006
22.74,isr,2007
21.28,isr,2008
27.56,ita,1999
26.62,ita,2000
24.98,ita,2001
26.35,ita,2002
23.45,ita,2003
22.67,ita,2004
22.2,ita,2005
23.34,ita,2006
22.13,ita,2007
24.96,ita,2008
70.37,jam,2001
59.67,jam,2002
36.17,jam,2003
42.41,jam,2008
52.81,jam,2009
50.2,jam,2010
13.33,jpn,1998
15.12,jpn,1999
17.7,jpn,2000
17.42,jpn,2001
17.37,jpn,2002
19.88,jpn,2003
20.8,jpn,2004
19.22,jpn,2005
19.06,jpn,2006
20.13,jpn,2007
20.95,jpn,2008
11.36,kaz,2002
5.961,kaz,2004
5.597,kaz,2005
8.444,kaz,2006
7.894,kaz,2007
10.08,kaz,2009
207.9,ken,2000
225.0,ken,2001
273.6,ken,2004
7.022,kor,1998
8.37,kor,1999
4.799,kor,2002
8.821,kor,2003
8.42,kor,2004
8.68,kor,2005
9.513,kor,2006
9.041,kor,2007
10.14,kor,2008
119.1,kwt,2002
128.1,kwt,2003
111.1,kwt,2004
24.33,kgz,1999
15.8,kgz,2000
17.26,kgz,2001
20.81,kgz,2002
22.32,kgz,2003
22.73,kgz,2004
21.81,kgz,2005
22.19,kgz,2006
22.49,kgz,2007
17.32,kgz,2008
17.6,kgz,2009
67.7,lao,1999
69.48,lao,2000
110.1,lao,2001
81.87,lao,2002
34.29,lva,1998
27.94,lva,1999
22.66,lva,2000
19.65,lva,2001
18.74,lva,2002
14.43,lva,2003
12.36,lva,2004
15.85,lva,2006
16.35,lva,2007
17.57,lva,2008
14.15,lva,2009
13.77,lbn,1999
9.729,lbn,2000
19.66,lbn,2002
18.99,lbn,2003
16.61,lbn,2004
18.3,lbn,2005
17.6,lbn,2006
14.34,lbn,2007
11.97,lbn,2008
10.02,lbn,2009
939.7,lso,2000
912.3,lso,2001
1344.0,lso,2006
23.45,lby,1999
24.47,lie,2003
21.83,lie,2004
10.28,lie,2006
9.151,lie,2007
34.18,ltu,2001
32.7,ltu,2002
20.52,ltu,2003
19.99,ltu,2004
17.99,ltu,2005
17.0,ltu,2006
17.13,ltu,2007
17.03,ltu,2008
59.55,mac,1999
60.32,mac,2000
26.56,mac,2002
20.87,mac,2003
19.66,mac,2004
22.1,mac,2005
19.52,mac,2006
16.33,mac,2007
16.68,mac,2008
15.76,mac,2009
23.75,mkd,2002
141.2,mdg,2003
138.6,mdg,2004
154.5,mdg,2005
157.0,mdg,2006
139.8,mdg,2007
141.1,mdg,2008
144.8,mdg,2009
2504.0,mwi,1999
2503.0,mwi,2000
1870.0,mwi,2001
1938.0,mwi,2010
81.63,mys,2000
110.3,mys,2001
98.87,mys,2002
90.63,mys,2003
69.35,mys,2004
60.72,mys,2006
50.28,mys,2007
34.4,mys,2008
60.72,mys,2009
0.0,mdv,2008
256.8,mli,1999
130.6,mli,2008
135.3,mli,2009
49.13,mlt,2002
27.1,mlt,2004
39.67,mlt,2007
44.39,mlt,2008
73.5,mhl,2002
80.09,mrt,1999
183.1,mrt,2008
193.9,mrt,2010
25.42,mus,2001
34.45,mus,2002
47.33,mus,2003
43.38,mus,2004
28.67,mus,2005
22.07,mus,2006
16.12,mus,2008
48.79,mex,1999
37.02,mex,2001
49.69,mex,2002
41.37,mex,2003
38.33,mex,2004
39.03,mex,2005
36.49,mex,2006
38.04,mex,2007
38.88,mex,2008
36.32,mda,2006
38.99,mda,2007
38.18,mda,2008
45.31,mda,2009
44.85,mda,2010
30.36,mng,2002
18.44,mng,2004
5.984,mng,2010
97.12,mar,1999
112.1,mar,2000
95.15,mar,2001
89.2,mar,2002
79.93,mar,2003
75.35,mar,2004
82.66,mar,2005
75.23,mar,2006
71.59,mar,2008
83.28,mar,2009
1409.0,moz,1999
26.96,mmr,2001
157.3,nam,1999
85.03,nam,2002
99.64,nam,2003
121.3,nam,2006
141.3,npl,2000
104.6,npl,2001
79.45,npl,2002
65.58,npl,2003
55.84,npl,2009
39.25,npl,2010
47.43,nld,1999
45.37,nld,2000
43.2,nld,2001
41.79,nld,2002
43.71,nld,2003
43.47,nld,2004
42.4,nld,2005
42.34,nld,2006
40.03,nld,2007
41.52,nld,2008
39.52,nzl,1999
35.84,nzl,2001
35.87,nzl,2002
32.9,nzl,2003
26.72,nzl,2004
25.16,nzl,2005
25.91,nzl,2006
28.09,nzl,2007
28.25,nzl,2008
30.97,nzl,2009
31.42,nzl,2010
359.1,ner,2006
540.1,ner,2007
390.9,ner,2008
430.4,ner,2009
438.8,ner,2010
47.41,nor,1998
45.83,nor,1999
39.32,nor,2000
43.63,nor,2001
47.99,nor,2002
49.25,nor,2003
51.45,nor,2004
49.1,nor,2005
44.85,nor,2006
47.25,nor,2007
46.8,nor,2008
27.61,omn,2002
21.52,omn,2004
13.54,omn,2005
41.64,omn,2009
81.0,plw,2001
33.68,pan,1999
31.87,pan,2000
29.4,pan,2001
32.58,pan,2002
26.59,pan,2004
21.63,pan,2008
58.87,pry,2000
48.72,pry,2001
30.31,pry,2002
31.63,pry,2003
24.55,pry,2004
25.96,pry,2007
21.05,per,2001
13.88,per,2002
11.94,per,2003
11.96,per,2004
8.864,per,2005
10.75,per,2006
14.35,phl,2000
13.3,phl,2001
13.98,phl,2002
13.65,phl,2003
12.07,phl,2004
11.1,phl,2005
9.205,phl,2007
36.31,pol,1998
21.11,pol,1999
17.65,pol,2000
18.03,pol,2001
21.11,pol,2002
19.73,pol,2003
21.43,pol,2004
21.43,pol,2005
17.1,pol,2006
16.58,pol,2007
18.38,pol,2008
27.14,prt,1999
25.9,prt,2000
26.38,prt,2001
24.09,prt,2002
25.35,prt,2003
22.61,prt,2004
26.26,prt,2005
27.94,prt,2006
26.65,prt,2008
35.82,qat,2005
337.7,qat,2009
32.59,rou,2001
26.24,rou,2002
22.92,rou,2003
22.14,rou,2004
23.67,rou,2005
26.16,rou,2007
10.95,rus,2000
10.95,rus,2001
11.91,rus,2002
12.13,rus,2003
10.85,rus,2004
12.63,rus,2005
13.16,rus,2006
14.25,rus,2008
1228.0,rwa,2000
325.1,rwa,2005
260.9,rwa,2007
216.8,rwa,2008
186.8,rwa,2010
0.0,lca,2004
212.6,wsm,1999
137.0,wsm,2000
213.1,wsm,2001
208.1,sen,2005
200.1,sen,2006
159.9,sen,2008
162.7,sen,2009
186.9,sen,2010
37.3,srb,2007
41.0,srb,2008
43.26,srb,2009
27.91,sgp,2009
28.72,sgp,2010
32.85,svk,1999
28.59,svk,2000
30.63,svk,2001
30.68,svk,2002
28.76,svk,2003
32.09,svk,2004
24.0,svk,2005
24.5,svk,2006
19.56,svk,2007
18.31,svk,2008
27.78,svn,2001
25.53,svn,2002
25.46,svn,2003
24.89,svn,2004
22.3,svn,2005
21.57,svn,2006
21.07,svn,2007
21.2,svn,2008
19.64,esp,1999
20.54,esp,2000
21.44,esp,2001
21.88,esp,2002
22.66,esp,2003
22.57,esp,2004
22.69,esp,2005
23.42,esp,2006
25.07,esp,2007
27.26,esp,2008
434.9,swz,2000
279.2,swz,2001
257.3,swz,2002
362.1,swz,2003
345.8,swz,2004
295.1,swz,2005
321.9,swz,2006
51.71,swe,1999
49.8,swe,2000
49.13,swe,2001
48.6,swe,2002
44.99,swe,2003
42.22,swe,2004
40.06,swe,2005
38.86,swe,2006
38.29,swe,2007
41.34,swe,2008
53.84,che,1999
53.14,che,2000
55.43,che,2001
59.65,che,2002
64.11,che,2003
62.31,che,2004
55.21,che,2005
53.05,che,2006
46.73,che,2007
43.85,che,2008
24.7,tjk,2002
12.26,tjk,2003
8.742,tjk,2004
14.03,tjk,2005
10.87,tjk,2006
11.53,tjk,2007
21.22,tjk,2008
17.45,tjk,2010
873.3,tza,2010
45.73,tha,1998
36.51,tha,2000
33.17,tha,2001
23.86,tha,2004
25.92,tha,2005
29.62,tha,2006
22.31,tha,2008
22.65,tha,2009
17.65,tha,2010
83.92,tls,2009
137.9,tgo,2007
0.0,ton,1998
126.7,ton,2004
148.3,tto,1999
81.13,tto,2001
81.08,tun,1999
71.34,tun,2000
63.79,tun,2001
57.07,tun,2002
62.17,tun,2003
60.92,tun,2004
50.13,tun,2005
48.62,tun,2006
49.82,tun,2007
46.14,tun,2008
35.31,tur,1999
32.07,tur,2000
35.02,tur,2001
37.13,tur,2002
33.21,tur,2003
29.63,tur,2004
26.91,tur,2006
211.3,uga,2004
104.3,uga,2009
36.48,ukr,2000
37.24,ukr,2001
41.67,ukr,2002
36.05,ukr,2003
32.43,ukr,2004
32.3,ukr,2005
31.17,ukr,2006
25.14,ukr,2007
26.23,are,2000
21.7,are,2001
17.67,are,2002
17.33,are,2003
19.87,are,2009
32.46,gbr,1998
25.61,gbr,1999
22.95,gbr,2000
22.69,gbr,2001
28.16,gbr,2002
27.25,gbr,2003
26.73,gbr,2004
31.62,gbr,2005
28.76,gbr,2006
24.33,gbr,2007
22.2,gbr,2008
27.45,usa,1998
26.77,usa,1999
30.95,usa,2001
25.29,usa,2002
26.23,usa,2003
23.1,usa,2004
23.07,usa,2005
24.96,usa,2006
21.72,usa,2007
21.15,usa,2008
18.32,ury,2006
117.8,vut,1999
145.9,vut,2000
263.0,vut,2001
60.63,vnm,2008
160.4,zmb,2000
75.4,zwe,2010
