geo,total_health_spending_per_person_us,time
bfa,10.9,2000
bfa,10.98,2001
bfa,12.66,2002
bfa,17.61,2003
bfa,22.64,2004
bfa,26.45,2005
bfa,26.16,2006
bfa,29.8,2007
bfa,36.51,2008
bfa,38.84,2009
bfa,39.78,2010
bdi,9.339,1995
bdi,8.254,1996
bdi,8.364,1997
bdi,8.256,1998
bdi,7.219,1999
bdi,7.043,2000
bdi,6.913,2001
bdi,6.592,2002
bdi,6.307,2003
bdi,9.588,2004
bdi,13.42,2005
bdi,17.54,2006
bdi,17.64,2007
bdi,18.32,2008
bdi,18.65,2009
bdi,20.72,2010
khm,20.11,1995
khm,29.02,1996
khm,23.46,1997
khm,18.12,1998
khm,17.76,1999
khm,18.63,2000
khm,22.41,2001
khm,25.03,2002
khm,29.98,2003
khm,32.28,2004
khm,35.15,2005
khm,31.88,2006
khm,31.83,2007
khm,38.86,2008
khm,40.87,2009
khm,45.19,2010
cmr,25.13,1995
cmr,34.47,1996
cmr,28.93,1997
cmr,29.0,1998
cmr,28.97,1999
cmr,26.51,2000
cmr,28.21,2001
cmr,32.22,2002
cmr,40.33,2003
cmr,43.44,2004
cmr,44.86,2005
cmr,46.82,2006
cmr,52.89,2007
cmr,63.83,2008
cmr,60.41,2009
cmr,61.34,2010
can,1821.0,1995
can,1829.0,1996
can,1873.0,1997
can,1849.0,1998
can,1937.0,1999
can,2089.0,2000
can,2149.0,2001
can,2249.0,2002
can,2677.0,2003
can,3037.0,2004
can,3454.0,2005
can,3912.0,2006
can,4340.0,2007
can,4623.0,2008
can,4519.0,2009
can,5222.0,2010
cpv,62.84,1995
cpv,57.58,1996
cpv,54.24,1997
cpv,63.12,1998
cpv,62.23,1999
cpv,57.18,2000
cpv,63.58,2001
cpv,68.63,2002
cpv,80.9,2003
cpv,100.9,2004
cpv,97.87,2005
cpv,121.9,2006
cpv,137.3,2007
cpv,155.7,2008
cpv,150.2,2009
cpv,154.6,2010
caf,12.25,1995
caf,11.35,1996
caf,10.84,1997
caf,10.21,1998
caf,10.15,1999
caf,9.97,2000
caf,9.848,2001
caf,10.67,2002
caf,11.86,2003
caf,12.91,2004
caf,12.53,2005
caf,13.66,2006
caf,16.72,2007
caf,18.49,2008
caf,18.27,2009
caf,18.19,2010
tcd,11.94,1995
tcd,12.23,1996
tcd,11.5,1997
tcd,12.28,1998
tcd,11.33,1999
tcd,10.57,2000
tcd,12.09,2001
tcd,18.03,2002
tcd,17.28,2003
tcd,23.77,2004
tcd,25.63,2005
tcd,24.36,2006
tcd,28.35,2007
tcd,28.03,2008
tcd,28.44,2009
tcd,30.64,2010
chl,332.9,1995
chl,387.0,1996
chl,417.1,1997
chl,424.9,1998
chl,395.1,1999
chl,404.8,2000
chl,370.9,2001
chl,358.6,2002
chl,345.9,2003
chl,419.9,2004
chl,502.4,2005
chl,591.7,2006
chl,683.1,2007
chl,764.8,2008
chl,801.9,2009
chl,947.2,2010
chn,21.14,1995
chn,26.43,1996
chn,30.98,1997
chn,35.38,1998
chn,38.6,1999
chn,43.41,2000
chn,47.25,2001
chn,54.09,2002
chn,61.16,2003
chn,70.12,2004
chn,80.38,2005
chn,93.39,2006
chn,114.5,2007
chn,156.6,2008
chn,191.3,2009
chn,220.9,2010
col,186.3,1995
col,230.0,1996
col,270.3,1997
col,238.8,1998
col,206.0,1999
col,184.4,2000
col,178.1,2001
col,174.8,2002
col,174.9,2003
col,205.6,2004
col,253.6,2005
col,272.7,2006
col,336.6,2007
col,377.0,2008
col,391.9,2009
col,472.2,2010
com,18.96,1995
com,17.72,1996
com,15.76,1997
com,13.85,1998
com,13.17,1999
com,10.36,2000
com,8.78,2001
com,12.13,2002
com,16.27,2003
com,19.56,2004
com,22.05,2005
com,24.19,2006
com,29.26,2007
com,34.46,2008
com,23.69,2009
com,33.22,2010
cod,4.8,1995
cod,4.411,1996
cod,5.438,1997
cod,6.322,1998
cod,11.5,1999
cod,13.31,2000
cod,5.886,2001
cod,4.544,2002
cod,5.458,2003
cod,6.485,2004
cod,7.326,2005
cod,8.958,2006
cod,10.22,2007
cod,13.7,2008
cod,16.73,2009
cod,15.75,2010
cog,24.3,1995
cog,25.66,1996
cog,23.39,1997
cog,23.88,1998
cog,23.5,1999
cog,21.68,2000
cog,21.02,2001
cog,22.36,2002
cog,26.96,2003
cog,34.22,2004
cog,41.45,2005
cog,50.15,2006
cog,60.22,2007
cog,80.41,2008
cog,66.96,2009
cog,72.3,2010
cok,267.6,1995
cok,243.4,1996
cok,190.5,1997
cok,177.5,1998
cok,161.1,1999
cok,174.6,2000
cok,246.0,2001
cok,227.9,2002
cok,323.8,2003
cok,362.4,2004
cok,439.2,2005
cok,383.7,2006
cok,456.8,2007
cok,448.7,2008
cok,434.8,2009
cok,538.7,2010
cri,219.9,1995
cri,221.5,1996
cri,216.3,1997
cri,235.8,1998
cri,255.1,1999
cri,265.5,2000
cri,292.3,2001
cri,316.3,2002
cri,327.2,2003
cri,341.5,2004
cri,359.8,2005
cri,409.9,2006
cri,524.3,2007
cri,617.7,2008
cri,666.8,2009
cri,811.4,2010
civ,37.93,1995
civ,44.7,1996
civ,46.61,1997
civ,52.96,1998
civ,42.93,1999
civ,31.77,2000
civ,24.7,2001
civ,23.13,2002
civ,29.73,2003
civ,36.87,2004
civ,39.03,2005
civ,44.26,2006
civ,61.25,2007
civ,71.83,2008
civ,61.05,2009
civ,59.75,2010
hrv,323.4,1995
hrv,369.1,1996
hrv,301.8,1997
hrv,372.2,1998
hrv,372.0,1999
hrv,377.0,2000
hrv,375.7,2001
hrv,374.7,2002
hrv,495.4,2003
hrv,614.0,2004
hrv,704.9,2005
hrv,789.8,2006
hrv,1008.0,2007
hrv,1224.0,2008
hrv,1112.0,2009
hrv,1067.0,2010
cub,112.7,1995
cub,120.2,1996
