geo,female_self_employed_percent_of_female_labour_force,time
grc,21.6,2002
grc,21.7,2003
grc,20.6,2004
grc,20.8,2005
grc,21.1,2006
grc,20.4,2007
grd,11.7,1991
grd,25.7,1996
grd,21.4,1998
gtm,23.1,1994
gtm,44.0,1998
gtm,38.4,2000
gtm,39.4,2002
guy,43.5,1992
hti,65.8,1990
hnd,44.7,1990
hnd,40.5,1991
hnd,38.1,1992
hnd,39.2,1994
hnd,42.2,1995
hnd,41.7,1996
hnd,41.5,1997
hnd,41.8,1998
hnd,41.2,1999
hnd,40.3,2001
hnd,41.5,2002
hnd,46.3,2003
hnd,40.9,2004
hnd,39.2,2005
hkg,3.3,1993
hkg,3.5,1994
hkg,3.8,1995
hkg,3.6,1996
hkg,3.5,1997
hkg,3.6,1998
hkg,4.0,1999
hkg,3.8,2000
hkg,4.6,2001
hkg,5.2,2002
hkg,5.4,2003
hkg,5.6,2004
hkg,5.4,2005
hkg,5.4,2006
hkg,4.9,2007
hun,9.3,1992
hun,8.1,1993
hun,8.0,1994
hun,8.2,1995
hun,8.2,1996
hun,8.0,1997
hun,7.8,1998
hun,10.1,1999
hun,9.4,2000
hun,9.2,2001
hun,9.0,2002
hun,8.4,2003
hun,9.4,2004
hun,9.1,2005
hun,8.3,2006
hun,8.5,2007
isl,9.1,1991
isl,9.1,1992
isl,7.9,1993
isl,7.9,1994
isl,9.4,1995
isl,10.8,1996
isl,10.7,1997
isl,10.7,1998
isl,10.7,1999
isl,10.4,2000
isl,9.5,2001
isl,8.4,2002
isl,7.9,2003
isl,8.2,2004
isl,7.3,2005
isl,7.5,2006
isl,7.4,2007
idn,35.0,2002
idn,30.9,2003
idn,33.0,2004
idn,31.1,2005
idn,33.9,2006
idn,35.8,2007
irn,21.1,1996
irn,20.7,2005
irn,24.3,2007
irl,6.9,1985
irl,7.0,1986
irl,6.8,1987
irl,7.2,1988
irl,7.2,1989
irl,7.6,1990
irl,7.5,1991
irl,8.4,1992
irl,8.5,1993
irl,7.9,1994
irl,7.8,1995
irl,8.0,1996
irl,7.6,1997
irl,7.6,1998
irl,7.3,1999
irl,7.1,2000
irl,6.5,2001
irl,6.5,2002
irl,6.5,2003
irl,7.0,2004
irl,6.5,2005
irl,5.8,2006
irl,6.2,2007
gbm,7.7,2001
isr,8.9,1995
isr,9.2,1996
isr,8.7,1997
isr,8.5,1998
isr,9.0,1999
isr,8.5,2000
isr,7.8,2001
isr,8.0,2002
isr,8.1,2003
isr,7.9,2004
isr,7.7,2005
isr,8.1,2006
isr,7.8,2007
ita,16.0,1980
ita,15.7,1981
ita,15.8,1982
ita,16.3,1983
ita,16.2,1984
ita,15.9,1985
ita,16.4,1986
ita,16.4,1987
ita,16.4,1988
ita,16.8,1989
ita,16.6,1990
ita,16.5,1991
ita,16.5,1992
ita,15.8,1993
ita,16.2,1994
ita,16.4,1995
ita,16.5,1996
ita,16.4,1997
ita,16.4,1998
ita,16.6,1999
ita,16.1,2000
ita,15.6,2001
ita,15.3,2002
ita,15.3,2003
ita,15.2,2004
ita,14.7,2005
ita,14.6,2006
ita,14.4,2007
jam,33.9,1991
jam,33.7,1992
jam,32.7,1993
jam,32.3,1994
jam,29.9,1995
jam,30.7,1996
jam,30.3,1997
jam,30.5,1998
jam,31.6,1999
jam,31.6,2000
jam,30.9,2001
jam,29.4,2002
jam,29.8,2003
jam,31.7,2004
jam,30.4,2005
jam,31.3,2006
jpn,13.7,1980
jpn,13.2,1981
jpn,13.5,1982
jpn,13.3,1983
jpn,13.0,1984
jpn,12.5,1985
jpn,12.3,1986
jpn,12.1,1987
jpn,11.8,1988
jpn,11.4,1989
jpn,10.7,1990
jpn,10.2,1991
jpn,10.1,1992
jpn,9.6,1993
jpn,9.1,1994
jpn,9.0,1995
jpn,8.5,1996
jpn,8.3,1997
jpn,8.4,1998
jpn,8.2,1999
jpn,7.8,2000
jpn,7.2,2001
jpn,6.7,2002
jpn,6.6,2003
jpn,6.5,2004
jpn,6.3,2005
jpn,6.0,2006
jpn,5.8,2007
kaz,44.7,2001
kaz,42.4,2002
kaz,41.2,2003
kaz,38.4,2004
kor,23.3,1980
kor,22.9,1981
kor,23.7,1982
kor,23.5,1983
kor,21.4,1984
kor,21.3,1985
kor,22.8,1986
kor,22.5,1987
kor,21.5,1988
kor,19.2,1989
kor,18.7,1990
kor,18.9,1991
kor,19.6,1992
kor,18.8,1993
kor,18.8,1994
kor,19.6,1995
kor,19.9,1996
kor,20.5,1997
kor,19.5,1998
kor,20.0,1999
kor,19.2,2000
kor,19.5,2001
kor,19.4,2002
kor,17.8,2003
kor,18.6,2004
kor,19.0,2005
kor,18.8,2006
kor,18.5,2007
kgz,40.1,2002
kgz,35.9,2003
kgz,29.5,2004
kgz,29.1,2005
kgz,29.0,2006
lao,57.1,1995
lva,7.5,1996
lva,10.7,1997
lva,9.8,1998
lva,9.3,1999
lva,9.0,2000
lva,7.9,2001
lva,7.4,2002
lva,7.1,2003
lva,8.0,2004
lva,7.6,2005
lva,8.3,2006
lva,6.6,2007
lso,22.8,1987
lso,53.2,1997
lso,6.8,1999
ltu,14.6,1997
ltu,12.7,1998
ltu,12.1,1999
ltu,12.7,2000
ltu,11.8,2001
ltu,12.8,2002
ltu,12.9,2003
ltu,11.8,2004
ltu,10.7,2005
ltu,10.3,2006
ltu,8.6,2007
mac,4.7,1996
mac,3.2,1997
mac,2.8,1998
mac,3.7,1999
mac,5.1,2000
mac,4.6,2001
mac,4.0,2002
mac,4.2,2003
mac,4.0,2004
mac,4.2,2005
mac,4.5,2006
mac,4.0,2007
mdg,45.8,1993
mdg,35.4,2003
mwi,96.1,1987
mys,18.7,1991
mys,13.9,1995
mys,14.3,1996
mys,13.7,1997
mys,13.0,1998
mys,12.7,1999
mys,12.5,2000
mys,12.9,2001
mys,13.1,2002
mys,12.9,2003
mys,13.6,2004
mys,13.0,2005
mys,12.9,2006
mys,13.9,2007
mdv,50.9,1990
mdv,38.6,1995
mdv,37.4,2000
mli,25.9,1994
mli,78.4,2004
mlt,7.6,2001
mlt,5.6,2002
mlt,8.1,2003
mlt,6.0,2004
mlt,8.7,2005
mlt,5.6,2006
mlt,7.0,2007
mhl,29.0,1999
mus,5.6,1990
mus,10.4,1995
mus,7.2,2000
mus,10.4,2004
mus,11.1,2005
mus,11.1,2006
mus,11.6,2007
mex,14.9,1990
mex,21.1,1991
mex,23.1,1992
mex,23.9,1993
mex,25.9,1994
mex,23.8,1995
mex,23.0,1996
mex,23.4,1997
mex,23.5,1998
mex,23.6,1999
mex,22.8,2000
mex,23.8,2001
mex,24.3,2002
mex,25.4,2003
mex,25.6,2004
mex,24.6,2005
mex,24.4,2006
mex,24.8,2007
mng,17.6,2000
mng,26.1,2003
mne,11.9,2005
msr,11.5,1991
mar,18.0,1994
mar,14.7,1999
mar,19.0,2000
mar,17.0,2001
mar,13.4,2002
mar,13.4,2003
mar,12.4,2004
mar,12.5,2005
mar,11.1,2006
nam,23.2,1994
nam,27.7,1997
nam,38.0,2000
nam,17.2,2001
nam,26.6,2004
npl,74.4,2001
nld,7.9,1995
nld,8.1,1996
nld,8.3,1997
nld,8.1,1998
nld,7.8,1999
nld,8.8,2000
nld,9.0,2001
nld,9.1,2002
nld,8.9,2003
nld,9.7,2004
nld,9.7,2005
nld,9.5,2006
nld,9.4,2007
ant,5.4,1991
ant,3.6,1992
ant,5.5,1993
ant,6.2,1994
ant,5.8,1995
ant,5.4,1996
ant,3.8,1997
ant,6.1,1998
ant,4.3,2000
ncl,10.4,1996
nzl,7.1,1981
nzl,10.8,1986
nzl,11.3,1987
nzl,11.6,1988
nzl,11.8,1989
nzl,11.4,1990
nzl,12.5,1991
nzl,13.1,1992
nzl,13.2,1993
nzl,13.6,1994
nzl,13.8,1995
nzl,13.1,1996
nzl,12.7,1997
nzl,12.9,1998
nzl,13.7,1999
nzl,13.4,2000
nzl,12.8,2001
nzl,12.2,2002
nzl,12.3,2003
nzl,12.7,2004
nzl,12.5,2005
nzl,11.3,2006
nzl,11.2,2007
nic,45.2,1993
nic,39.4,1995
nic,38.4,1996
nic,38.2,1997
nic,38.1,1998
nic,37.8,1999
nic,37.2,2000
nic,36.1,2001
nic,38.2,2002
nic,39.6,2003
nic,39.1,2004
nic,37.8,2005
nic,38.9,2006
nor,4.3,1980
nor,4.0,1981
nor,4.5,1982
nor,4.3,1983
nor,4.2,1984
nor,3.9,1985
nor,3.9,1986
nor,4.1,1987
nor,4.9,1988
nor,4.6,1989
nor,4.8,1990
nor,4.8,1991
nor,4.6,1992
nor,4.8,1993
nor,4.5,1994
nor,4.8,1995
nor,4.3,1996
nor,4.4,1997
nor,4.3,1998
nor,4.4,1999
nor,4.4,2000
nor,4.2,2001
nor,3.7,2002
nor,3.9,2003
nor,4.0,2004
nor,4.2,2005
nor,4.4,2006
nor,4.3,2007
omn,6.3,1993
omn,6.7,1996
omn,9.9,2000
pak,13.5,1995
pak,13.5,1996
pak,12.8,1997
pak,11.8,1998
pak,11.8,1999
pak,16.8,2000
pak,16.8,2001
pak,16.0,2002
pak,16.0,2003
pak,16.0,2004
pak,16.0,2005
pak,15.1,2006
pak,13.5,2007
pan,13.6,1982
pan,11.8,1983
pan,13.6,1984
pan,14.0,1985
pan,13.4,1986
pan,14.6,1987
pan,17.2,1988
pan,16.5,1989
pan,14.3,1992
pan,13.6,1993
pan,15.4,1994
pan,16.6,1995
pan,17.3,1996
pan,18.2,1997
pan,19.8,1998
pan,20.9,1999
pan,18.8,2000
pan,17.4,2001
pan,21.5,2002
pan,21.1,2003
pan,21.5,2004
pan,22.5,2005
pan,22.5,2006
pan,21.4,2007
pry,33.0,1990
pry,33.7,1991
pry,30.3,1992
pry,29.1,1993
pry,36.0,1994
pry,38.0,1996
pry,44.4,1997
pry,42.9,1998
pry,43.6,1999
pry,45.9,2000
pry,44.6,2001
pry,44.9,2002
pry,45.6,2003
pry,44.3,2007
per,38.0,1990
per,38.9,1991
per,39.9,1992
per,36.1,1993
per,38.8,1994
per,38.2,1995
per,44.5,1996
per,45.7,1997
per,41.8,1998
per,42.4,1999
per,44.1,2000
per,44.1,2001
per,39.6,2002
per,41.1,2003
per,40.4,2004
per,41.6,2005
per,40.1,2006
per,41.0,2007
phl,32.5,1998
phl,32.6,1999
phl,33.3,2000
phl,33.3,2001
phl,34.0,2002
phl,32.9,2003
phl,32.1,2004
phl,31.6,2005
phl,30.9,2006
phl,31.0,2007
pol,21.2,1992
pol,21.5,1993
pol,21.8,1994
pol,20.0,1995
pol,19.6,1996
pol,19.6,1997
pol,18.7,1998
pol,18.3,1999
pol,18.2,2000
pol,19.0,2001
pol,18.5,2002
pol,17.1,2003
pol,16.8,2004
pol,16.1,2005
pol,15.5,2006
pol,14.9,2007
prt,21.8,1992
prt,22.5,1993
prt,23.2,1994
prt,23.1,1995
prt,24.5,1996
prt,25.4,1997
prt,23.6,1998
prt,22.6,1999
prt,20.9,2000
prt,21.6,2001
prt,22.0,2002
prt,22.6,2003
prt,21.4,2004
prt,21.2,2005
prt,20.6,2006
prt,20.6,2007
pri,6.1,1991
pri,6.1,1992
pri,5.8,1993
pri,5.3,1994
pri,5.9,1995
pri,6.1,1996
pri,6.3,1997
pri,6.4,1998
pri,6.3,1999
pri,6.3,2000
pri,6.4,2001
pri,6.9,2002
pri,6.5,2003
pri,7.1,2004
pri,6.9,2005
pri,8.4,2006
pri,8.9,2007
qat,0.0,1997
qat,0.1,2004
mda,26.3,1999
mda,29.3,2000
mda,30.3,2001
mda,30.8,2002
mda,31.6,2003
mda,33.9,2004
mda,34.5,2005
mda,26.9,2006
mda,27.0,2007
rou,32.1,1990
rou,31.1,1991
rou,20.6,1992
rou,19.4,1993
rou,19.8,1994
rou,22.8,1995
rou,17.2,1996
rou,16.9,1997
rou,16.7,1998
rou,16.5,1999
rou,17.0,2000
rou,17.3,2001
rou,16.5,2002
rou,15.1,2003
rou,12.7,2004
rou,13.5,2005
rou,13.0,2006
rou,13.5,2007
rus,5.6,1992
rus,5.2,1993
rus,5.4,1994
rus,5.4,1995
rus,5.2,1996
rus,3.8,1997
rus,3.6,1998
rus,10.5,1999
rus,9.6,2000
rus,7.7,2001
rus,7.4,2002
rus,6.6,2003
rus,6.8,2004
rus,7.2,2005
rus,6.8,2006
rus,6.6,2007
rwa,65.5,1996
kna,13.1,1991
kna,7.8,2001
lca,20.8,1993
lca,25.1,1994
lca,24.3,1995
lca,27.0,1996
lca,23.3,1997
lca,25.2,1998
lca,23.9,1999
lca,26.9,2000
vct,17.8,1991
smr,14.0,1995
smr,13.4,1996
smr,12.8,1997
smr,12.0,1998
smr,11.1,1999
smr,9.2,2001
smr,9.0,2002
smr,8.7,2003
smr,8.2,2004
smr,8.1,2005
smr,7.7,2006
smr,7.1,2007
stp,29.2,1991
sen,58.7,1991
srb,13.4,2004
srb,12.2,2005
srb,10.8,2006
srb,11.3,2007
syc,6.1,1987
sgp,6.6,1986
sgp,6.8,1987
sgp,5.6,1988
sgp,6.0,1989
sgp,5.5,1991
sgp,5.7,1992
sgp,5.2,1993
sgp,5.5,1994
sgp,4.7,1995
sgp,5.9,1996
sgp,6.0,1997
sgp,6.1,1998
sgp,7.4,1999
sgp,5.1,2000
sgp,7.4,2001
sgp,7.8,2002
sgp,8.0,2003
sgp,8.2,2004
sgp,9.0,2006
sgp,8.8,2007
svk,3.2,1994
svk,3.6,1995
svk,3.4,1996
svk,3.7,1997
svk,4.0,1998
svk,4.2,1999
svk,4.4,2000
svk,4.7,2001
svk,4.6,2002
svk,5.7,2003
svk,6.8,2004
svk,6.8,2005
svk,7.3,2006
svk,7.2,2007
svn,7.6,1993
svn,7.1,1994
svn,7.6,1995
svn,7.8,1996
svn,7.5,1997
svn,7.9,1998
svn,7.8,1999
svn,6.5,2000
svn,7.0,2001
svn,6.9,2002
svn,5.1,2003
svn,6.0,2004
svn,5.7,2005
svn,6.7,2006
svn,7.1,2007
zaf,18.3,2001
zaf,19.2,2002
zaf,17.7,2003
zaf,18.8,2004
zaf,18.3,2007
esp,15.5,1980
esp,15.6,1981
esp,15.5,1982
esp,16.4,1983
esp,16.7,1984
esp,16.8,1985
esp,17.2,1986
esp,17.9,1987
esp,17.9,1988
esp,16.5,1989
esp,15.7,1990
esp,15.5,1991
esp,15.7,1992
esp,16.0,1993
esp,16.1,1994
esp,16.7,1995
esp,16.0,1996
esp,15.1,1997
esp,14.8,1998
esp,13.7,1999
esp,12.9,2000
esp,12.9,2001
esp,12.2,2002
esp,11.8,2003
esp,11.9,2004
esp,12.1,2005
esp,11.8,2006
esp,11.9,2007
lka,19.9,1997
lka,17.8,1998
lka,18.1,1999
lka,18.0,2000
lka,18.6,2001
lka,16.2,2002
lka,19.5,2003
lka,19.6,2004
lka,23.6,2005
lka,23.6,2006
lka,23.2,2007
sur,10.3,1995
sur,9.4,1996
sur,8.7,1997
sur,9.4,1998
swz,29.4,1997
swe,4.0,1980
swe,4.1,1981
swe,4.4,1982
swe,4.3,1983
swe,4.2,1984
swe,4.3,1985
swe,4.2,1986
che,7.6,1991
che,8.5,1992
che,9.4,1993
che,9.0,1994
che,8.9,1995
che,10.9,1996
che,11.6,1997
che,11.5,1998
che,11.4,1999
che,11.7,2000
che,10.9,2001
che,10.8,2002
che,11.6,2003
che,10.4,2004
che,10.5,2005
che,10.2,2006
che,10.7,2007
syr,9.2,2001
tza,91.4,2001
tza,80.9,2006
tha,20.0,1987
tha,17.4,1988
tha,17.1,1989
tha,18.3,1990
tha,18.8,1991
tha,18.3,1992
tha,19.0,1993
tha,19.7,1994
tha,21.0,1995
tha,21.4,1996
tha,19.7,1997
tha,21.1,1998
tha,22.2,1999
tha,21.4,2000
tha,24.2,2001
tha,23.3,2002
tha,24.7,2003
tha,25.7,2004
tha,26.4,2005
tha,26.6,2006
tha,27.7,2007
mkd,7.9,1998
mkd,6.1,1999
mkd,7.8,2000
mkd,8.4,2001
mkd,9.3,2002
mkd,7.8,2003
mkd,7.6,2004
mkd,7.5,2005
mkd,8.5,2006
mkd,8.2,2007
ton,25.8,1996
tto,16.6,1987
tto,16.9,1988
tto,15.6,1989
tto,16.0,1990
tto,16.2,1991
tto,16.1,1992
tto,16.1,1993
tto,16.4,1994
tto,16.1,1995
tto,16.4,1996
tto,17.0,1997
tto,15.2,1998
tto,16.4,1999
tto,16.4,2000
tto,17.2,2001
tto,14.9,2002
tto,14.9,2003
tto,13.3,2004
tto,14.2,2005
tun,19.3,1989
tun,29.2,1994
tur,7.1,1988
tur,8.1,1989
tur,9.2,1990
tur,8.6,1991
tur,11.3,1992
tur,8.6,1993
tur,10.5,1994
tur,9.0,1995
tur,8.3,1996
tur,10.0,1997
tur,9.2,1998
tur,9.5,1999
tur,12.6,2000
tur,13.6,2001
tur,13.5,2002
tur,12.9,2003
tur,11.0,2004
tur,14.5,2005
tur,14.3,2006
tur,13.3,2007
tuv,2.3,2002
uga,48.6,2002
uga,52.1,2003
ukr,11.5,1995
ukr,12.6,1996
ukr,18.7,1997
ukr,19.6,1998
ukr,7.8,1999
ukr,9.3,2000
ukr,9.4,2001
ukr,10.3,2002
ukr,10.6,2003
ukr,15.7,2004
ukr,18.9,2005
ukr,19.7,2006
ukr,20.2,2007
are,1.3,2005
gbr,3.9,1980
gbr,4.4,1981
gbr,4.9,1982
gbr,5.3,1983
gbr,6.5,1984
gbr,6.8,1985
gbr,6.6,1986
gbr,7.2,1987
gbr,7.2,1988
gbr,7.3,1989
