geo,hydro_power_generation_total,time
aus,1243000.0,1989
aus,1217000.0,1990
aus,1360000.0,1991
aus,1320000.0,1992
aus,1422000.0,1993
aus,1406000.0,1994
aus,1366000.0,1995
aus,1325000.0,1996
aus,1420000.0,1997
aus,1323000.0,1998
aus,1393000.0,1999
aus,1407000.0,2000
aus,1424000.0,2001
aus,1365000.0,2002
aus,1401000.0,2003
aus,1380000.0,2004
aus,1312000.0,2005
aus,1350000.0,2006
aus,1228000.0,2007
aus,1024000.0,2008
aus,944500.0,2009
aus,1072000.0,2010
aus,1274000.0,2011
aut,976700.0,1960
aut,963200.0,1961
aut,996000.0,1962
aut,977300.0,1963
aut,1093000.0,1964
aut,1349000.0,1965
aut,1465000.0,1966
aut,1495000.0,1967
aut,1534000.0,1968
aut,1402000.0,1969
aut,1783000.0,1970
aut,1394000.0,1971
aut,1442000.0,1972
aut,1612000.0,1973
aut,1908000.0,1974
aut,2018000.0,1975
aut,1721000.0,1976
aut,2108000.0,1977
aut,2107000.0,1978
aut,2373000.0,1979
aut,2470000.0,1980
aut,2652000.0,1981
aut,2657000.0,1982
aut,2632000.0,1983
aut,2482000.0,1984
aut,2660000.0,1985
aut,2676000.0,1986
aut,3098000.0,1987
aut,3079000.0,1988
aut,3034000.0,1989
aut,2709000.0,1990
aut,2704000.0,1991
aut,2996000.0,1992
aut,3156000.0,1993
aut,3070000.0,1994
aut,3187000.0,1995
aut,2942000.0,1996
aut,3104000.0,1997
aut,3195000.0,1998
aut,3499000.0,1999
aut,3597000.0,2000
aut,3479000.0,2001
aut,3459000.0,2002
aut,2856000.0,2003
aut,3161000.0,2004
aut,3154000.0,2005
aut,3082000.0,2006
aut,3190000.0,2007
aut,3298000.0,2008
aut,3517000.0,2009
aut,3302000.0,2010
aut,2899000.0,2011
aze,60190.0,1990
aze,151200.0,1991
aze,150200.0,1992
aze,206400.0,1993
aze,157300.0,1994
aze,133800.0,1995
aze,132200.0,1996
aze,147200.0,1997
aze,167800.0,1998
aze,129500.0,1999
aze,131900.0,2000
aze,111900.0,2001
aze,173700.0,2002
aze,212300.0,2003
aze,236900.0,2004
aze,258700.0,2005
aze,216500.0,2006
aze,203100.0,2007
aze,191900.0,2008
aze,198500.0,2009
aze,296300.0,2010
bgd,15050.0,1971
bgd,15050.0,1972
bgd,28460.0,1973
bgd,20890.0,1974
bgd,37490.0,1975
bgd,42480.0,1976
bgd,37580.0,1977
bgd,43510.0,1978
bgd,50470.0,1979
bgd,50130.0,1980
bgd,53740.0,1981
bgd,44970.0,1982
bgd,56920.0,1983
bgd,77130.0,1984
bgd,63540.0,1985
bgd,38690.0,1986
bgd,44450.0,1987
bgd,58040.0,1988
bgd,79110.0,1989
bgd,76010.0,1990
bgd,72060.0,1991
bgd,68440.0,1992
bgd,52280.0,1993
bgd,72830.0,1994
bgd,31990.0,1995
bgd,63540.0,1996
bgd,61820.0,1997
bgd,74380.0,1998
bgd,71630.0,1999
bgd,81340.0,2000
bgd,85380.0,2001
bgd,91660.0,2002
bgd,96820.0,2003
bgd,105400.0,2004
bgd,111200.0,2005
bgd,119400.0,2006
bgd,119700.0,2007
bgd,126700.0,2008
bgd,133400.0,2009
bgd,142900.0,2010
blr,1720.0,1990
blr,1548.0,1991
blr,1462.0,1992
blr,1634.0,1993
blr,1634.0,1994
blr,1720.0,1995
blr,1376.0,1996
blr,1806.0,1997
blr,2408.0,1998
blr,1634.0,1999
blr,2322.0,2000
blr,2580.0,2001
blr,2494.0,2002
blr,2408.0,2003
blr,2837.0,2004
blr,3095.0,2005
blr,3009.0,2006
blr,3009.0,2007
blr,3353.0,2008
blr,3783.0,2009
blr,3869.0,2010
bel,14790.0,1960
bel,16250.0,1961
bel,14020.0,1962
bel,12380.0,1963
bel,9888.0,1964
bel,23390.0,1965
bel,25710.0,1966
bel,20460.0,1967
bel,20980.0,1968
bel,19780.0,1969
bel,21150.0,1970
bel,11520.0,1971
bel,15480.0,1972
bel,14700.0,1973
bel,20640.0,1974
bel,15740.0,1975
bel,9372.0,1976
bel,19260.0,1977
bel,19170.0,1978
bel,20120.0,1979
bel,23900.0,1980
bel,32760.0,1981
bel,28630.0,1982
bel,28890.0,1983
bel,30180.0,1984
bel,24680.0,1985
bel,29490.0,1986
bel,36890.0,1987
bel,30870.0,1988
bel,26230.0,1989
bel,22870.0,1990
bel,19690.0,1991
bel,29320.0,1992
bel,21840.0,1993
bel,29750.0,1994
bel,29060.0,1995
bel,20550.0,1996
bel,26230.0,1997
bel,33450.0,1998
bel,29320.0,1999
bel,39550.0,2000
bel,37920.0,2001
bel,30950.0,2002
bel,21240.0,2003
bel,27260.0,2004
bel,24760.0,2005
bel,30870.0,2006
bel,33450.0,2007
bel,35250.0,2008
bel,28200.0,2009
bel,26830.0,2010
bel,17110.0,2011
ben,172.0,1997
ben,172.0,1998
ben,172.0,1999
ben,172.0,2000
ben,172.0,2001
ben,172.0,2002
ben,172.0,2003
ben,85.98,2004
ben,85.98,2005
bol,77210.0,1971
bol,81600.0,1972
bol,83580.0,1973
bol,88910.0,1974
bol,92350.0,1975
bol,96820.0,1976
bol,102200.0,1977
bol,108300.0,1978
bol,110600.0,1979
bol,91400.0,1980
bol,99400.0,1981
bol,98450.0,1982
bol,98280.0,1983
bol,100100.0,1984
bol,98190.0,1985
bol,95790.0,1986
bol,91230.0,1987
bol,100000.0,1988
bol,100300.0,1989
bol,101500.0,1990
bol,112000.0,1991
bol,108800.0,1992
bol,129100.0,1993
bol,113200.0,1994
bol,108600.0,1995
bol,122500.0,1996
bol,134600.0,1997
bol,133800.0,1998
bol,153600.0,1999
bol,167200.0,2000
bol,183100.0,2001
bol,189400.0,2002
bol,170900.0,2003
bol,184800.0,2004
bol,168900.0,2005
bol,185600.0,2006
bol,199400.0,2007
bol,198600.0,2008
bol,197400.0,2009
bol,187600.0,2010
bih,262900.0,1990
bih,441800.0,1991
bih,293000.0,1992
bih,203500.0,1993
bih,297400.0,1994
bih,313200.0,1995
bih,443300.0,1996
bih,400300.0,1997
bih,391800.0,1998
bih,475700.0,1999
bih,438000.0,2000
bih,445500.0,2001
bih,453000.0,2002
bih,387000.0,2003
bih,514100.0,2004
bih,515700.0,2005
bih,503600.0,2006
bih,344000.0,2007
bih,418500.0,2008
bih,536500.0,2009
bih,690100.0,2010
bra,3714000.0,1971
bra,4358000.0,1972
bra,4978000.0,1973
bra,5647000.0,1974
bra,6216000.0,1975
bra,7129000.0,1976
bra,8038000.0,1977
bra,8835000.0,1978
bra,10020000.0,1979
bra,11080000.0,1980
bra,11240000.0,1981
bra,12140000.0,1982
bra,13020000.0,1983
bra,14320000.0,1984
bra,15340000.0,1985
bra,15690000.0,1986
bra,15960000.0,1987
bra,17120000.0,1988
bra,17600000.0,1989
bra,17770000.0,1990
bra,18730000.0,1991
bra,19200000.0,1992
bra,20210000.0,1993
bra,20870000.0,1994
bra,21830000.0,1995
bra,22850000.0,1996
bra,23990000.0,1997
bra,25060000.0,1998
bra,25190000.0,1999
bra,26170000.0,2000
bra,23030000.0,2001
bra,24600000.0,2002
bra,26280000.0,2003
bra,27580000.0,2004
bra,29020000.0,2005
bra,29990000.0,2006
bra,32160000.0,2007
bra,31780000.0,2008
bra,33620000.0,2009
bra,34680000.0,2010
bgr,186600.0,1971
bgr,180100.0,1972
bgr,221000.0,1973
bgr,178800.0,1974
bgr,210900.0,1975
bgr,254000.0,1976
bgr,303400.0,1977
bgr,250100.0,1978
bgr,284700.0,1979
bgr,319300.0,1980
bgr,311100.0,1981
bgr,262300.0,1982
bgr,288100.0,1983
bgr,280300.0,1984
bgr,192300.0,1985
bgr,200000.0,1986
bgr,218200.0,1987
bgr,223200.0,1988
bgr,231400.0,1989
bgr,161500.0,1990
bgr,209900.0,1991
bgr,177400.0,1992
bgr,167000.0,1993
bgr,126200.0,1994
bgr,199000.0,1995
bgr,251000.0,1996
bgr,236800.0,1997
bgr,266300.0,1998
bgr,236700.0,1999
bgr,229800.0,2000
bgr,149400.0,2001
bgr,188700.0,2002
bgr,260400.0,2003
bgr,272400.0,2004
bgr,372900.0,2005
bgr,364400.0,2006
bgr,247100.0,2007
bgr,242800.0,2008
bgr,298400.0,2009
bgr,434800.0,2010
khm,2494.0,2002
khm,3525.0,2003
khm,2322.0,2004
khm,3783.0,2005
khm,4127.0,2006
khm,4041.0,2007
khm,3697.0,2008
khm,3181.0,2009
khm,2236.0,2010
cmr,89940.0,1971
cmr,92260.0,1972
cmr,91830.0,1973
cmr,102300.0,1974
cmr,111300.0,1975
cmr,108000.0,1976
cmr,105300.0,1977
cmr,108300.0,1978
cmr,112500.0,1979
cmr,117400.0,1980
cmr,155600.0,1981
cmr,175200.0,1982
cmr,179600.0,1983
cmr,187300.0,1984
cmr,205300.0,1985
cmr,209000.0,1986
cmr,210700.0,1987
cmr,221200.0,1988
cmr,229100.0,1989
cmr,228400.0,1990
cmr,229700.0,1991
cmr,232300.0,1992
cmr,240900.0,1993
cmr,231100.0,1994
cmr,236700.0,1995
cmr,246600.0,1996
cmr,265900.0,1997
cmr,267900.0,1998
cmr,286700.0,1999
cmr,296000.0,2000
cmr,298700.0,2001
cmr,273600.0,2002
cmr,303400.0,2003
cmr,337100.0,2004
cmr,324300.0,2005
cmr,334700.0,2006
cmr,330800.0,2007
cmr,363900.0,2008
cmr,345300.0,2009
cmr,366300.0,2010
can,9182000.0,1960
can,9012000.0,1961
can,9026000.0,1962
can,9010000.0,1963
can,9832000.0,1964
can,10150000.0,1965
can,11260000.0,1966
can,11520000.0,1967
can,11710000.0,1968
can,12950000.0,1969
can,13600000.0,1970
can,13970000.0,1971
can,15620000.0,1972
can,16740000.0,1973
can,18110000.0,1974
can,17410000.0,1975
can,18290000.0,1976
can,18930000.0,1977
can,20230000.0,1978
can,20990000.0,1979
can,21590000.0,1980
can,22870000.0,1981
can,22170000.0,1982
can,22870000.0,1983
can,24600000.0,1984
can,26110000.0,1985
can,26710000.0,1986
can,27190000.0,1987
can,26430000.0,1988
can,25050000.0,1989
can,25510000.0,1990
can,26510000.0,1991
can,27200000.0,1992
can,27820000.0,1993
can,28360000.0,1994
can,28880000.0,1995
can,30580000.0,1996
can,30150000.0,1997
can,28540000.0,1998
can,29730000.0,1999
can,30830000.0,2000
can,28660000.0,2001
can,30140000.0,2002
can,29020000.0,2003
can,29310000.0,2004
can,31270000.0,2005
can,30340000.0,2006
can,31610000.0,2007
can,32180000.0,2008
can,31700000.0,2009
can,30220000.0,2010
can,32360000.0,2011
chl,413500.0,1971
chl,492700.0,1972
chl,481100.0,1973
chl,547200.0,1974
chl,549300.0,1975
chl,567400.0,1976
chl,599200.0,1977
chl,623500.0,1978
chl,640400.0,1979
chl,676800.0,1980
chl,700800.0,1981
chl,766500.0,1982
chl,826600.0,1983
chl,857700.0,1984
chl,951800.0,1985
chl,1017000.0,1986
chl,1103000.0,1987
chl,1080000.0,1988
chl,906500.0,1989
chl,767700.0,1990
chl,1129000.0,1991
chl,1440000.0,1992
chl,1535000.0,1993
chl,1461000.0,1994
chl,1583000.0,1995
chl,1448000.0,1996
chl,1629000.0,1997
chl,1371000.0,1998
chl,1169000.0,1999
chl,1592000.0,2000
chl,1806000.0,2001
chl,1914000.0,2002
chl,1864000.0,2003
chl,1890000.0,2004
chl,2277000.0,2005
chl,2505000.0,2006
chl,1989000.0,2007
chl,2080000.0,2008
chl,2175000.0,2009
chl,1867000.0,2010
chl,1806000.0,2011
chn,2580000.0,1971
chn,2923000.0,1972
chn,3267000.0,1973
chn,3697000.0,1974
chn,3869000.0,1975
chn,3921000.0,1976
chn,4093000.0,1977
chn,3835000.0,1978
chn,4308000.0,1979
chn,5005000.0,1980
chn,5636000.0,1981
chn,6397000.0,1982
chn,7426000.0,1983
chn,7462000.0,1984
chn,7942000.0,1985
chn,8128000.0,1986
chn,8599000.0,1987
chn,9385000.0,1988
chn,10180000.0,1989
chn,10900000.0,1990
chn,10760000.0,1991
chn,11390000.0,1992
chn,13050000.0,1993
chn,14390000.0,1994
chn,16390000.0,1995
chn,16160000.0,1996
chn,16850000.0,1997
chn,17880000.0,1998
chn,17520000.0,1999
chn,19120000.0,2000
chn,23850000.0,2001
chn,24760000.0,2002
chn,24390000.0,2003
chn,30400000.0,2004
chn,34140000.0,2005
chn,37470000.0,2006
chn,41730000.0,2007
chn,50320000.0,2008
chn,52940000.0,2009
chn,62100000.0,2010
col,572900.0,1971
col,627500.0,1972
col,682600.0,1973
col,760900.0,1974
col,765300.0,1975
col,790800.0,1976
col,898800.0,1977
col,1038000.0,1978
col,1140000.0,1979
col,1228000.0,1980
col,1229000.0,1981
col,1300000.0,1982
col,1312000.0,1983
col,1466000.0,1984
col,1577000.0,1985
col,1825000.0,1986
col,1989000.0,1987
col,2096000.0,1988
col,2292000.0,1989
col,2364000.0,1990
col,2384000.0,1991
col,1916000.0,1992
col,2395000.0,1993
col,2757000.0,1994
col,2765000.0,1995
col,3052000.0,1996
col,2706000.0,1997
col,2647000.0,1998
col,2901000.0,1999
col,2758000.0,2000
col,2734000.0,2001
col,2921000.0,2002
col,3110000.0,2003
col,3446000.0,2004
col,3422000.0,2005
col,3675000.0,2006
col,3822000.0,2007
col,3990000.0,2008
col,3530000.0,2009
col,3474000.0,2010
cod,295500.0,1971
cod,295500.0,1972
cod,324000.0,1973
cod,291800.0,1974
cod,318700.0,1975
cod,344600.0,1976
cod,349500.0,1977
cod,343900.0,1978
cod,341300.0,1979
cod,364800.0,1980
cod,358500.0,1981
cod,354500.0,1982
cod,385100.0,1983
cod,403700.0,1984
cod,432200.0,1985
cod,452200.0,1986
cod,450700.0,1987
cod,451200.0,1988
cod,594600.0,1989
cod,483700.0,1990
cod,452200.0,1991
cod,520600.0,1992
cod,475300.0,1993
cod,455200.0,1994
cod,529600.0,1995
cod,523700.0,1996
cod,432000.0,1997
cod,404900.0,1998
cod,455700.0,1999
cod,515600.0,2000
cod,513700.0,2001
cod,525400.0,2002
cod,529700.0,2003
cod,608600.0,2004
cod,635400.0,2005
cod,646600.0,2006
cod,672400.0,2007
cod,643100.0,2008
cod,670300.0,2009
cod,674900.0,2010
cog,4643.0,1971
cog,5675.0,1972
cog,4299.0,1973
cog,4729.0,1974
cog,4987.0,1975
cog,5417.0,1976
cog,4127.0,1977
cog,945.8,1978
cog,6621.0,1979
cog,8598.0,1980
cog,8856.0,1981
cog,14960.0,1982
cog,19950.0,1983
cog,21580.0,1984
cog,25020.0,1985
cog,23040.0,1986
cog,23900.0,1987
cog,24850.0,1988
cog,34140.0,1989
cog,42130.0,1990
cog,41270.0,1991
cog,36460.0,1992
cog,30870.0,1993
cog,27690.0,1994
cog,30270.0,1995
cog,39210.0,1996
cog,38780.0,1997
cog,29410.0,1998
cog,8169.0,1999
cog,25370.0,2000
cog,28720.0,2001
cog,34050.0,2002
cog,29410.0,2003
cog,28370.0,2004
cog,30520.0,2005
cog,31990.0,2006
cog,28800.0,2007
cog,32240.0,2008
cog,28370.0,2009
cog,36970.0,2010
cri,88390.0,1971
cri,94410.0,1972
cri,97250.0,1973
cri,107300.0,1974
cri,111300.0,1975
cri,124600.0,1976
cri,115000.0,1977
cri,127100.0,1978
cri,139600.0,1979
cri,182300.0,1980
cri,196500.0,1981
cri,205200.0,1982
cri,239600.0,1983
cri,258300.0,1984
cri,237000.0,1985
cri,248600.0,1986
cri,258000.0,1987
cri,261900.0,1988
cri,286200.0,1989
cri,290800.0,1990
cri,314400.0,1991
cri,308200.0,1992
cri,338100.0,1993
cri,339000.0,1994
cri,305700.0,1995
cri,327800.0,1996
cri,413400.0,1997
cri,368600.0,1998
cri,441700.0,1999
cri,488700.0,2000
cri,469300.0,2001
cri,513400.0,2002
cri,517800.0,2003
cri,572900.0,2004
cri,564600.0,2005
cri,567600.0,2006
cri,582000.0,2007
cri,635200.0,2008
cri,621200.0,2009
cri,624500.0,2010
civ,11950.0,1971
civ,19430.0,1972
civ,14450.0,1973
civ,23820.0,1974
civ,32930.0,1975
civ,29580.0,1976
civ,19090.0,1977
civ,14360.0,1978
civ,62770.0,1979
civ,116300.0,1980
civ,148800.0,1981
civ,148600.0,1982
civ,83920.0,1983
civ,32070.0,1984
civ,116800.0,1985
civ,102800.0,1986
civ,90460.0,1987
civ,106700.0,1988
civ,137100.0,1989
civ,113700.0,1990
civ,107800.0,1991
civ,90110.0,1992
civ,94500.0,1993
civ,100900.0,1994
civ,153400.0,1995
civ,153200.0,1996
civ,161600.0,1997
civ,118400.0,1998
civ,150800.0,1999
civ,151700.0,2000
civ,154800.0,2001
civ,148700.0,2002
civ,157500.0,2003
civ,150300.0,2004
civ,123600.0,2005
civ,129800.0,2006
civ,154500.0,2007
civ,163200.0,2008
civ,183200.0,2009
civ,139100.0,2010
hrv,327200.0,1990
hrv,496100.0,1991
hrv,373300.0,1992
hrv,373600.0,1993
hrv,423900.0,1994
hrv,452700.0,1995
hrv,621500.0,1996
hrv,454600.0,1997
hrv,469300.0,1998
hrv,566600.0,1999
hrv,505100.0,2000
hrv,562900.0,2001
hrv,461300.0,2002
hrv,419300.0,2003
hrv,598300.0,2004
hrv,544500.0,2005
hrv,515900.0,2006
hrv,364200.0,2007
hrv,448500.0,2008
hrv,578700.0,2009
hrv,716200.0,2010
cub,9458.0,1971
cub,6363.0,1972
cub,5331.0,1973
cub,7653.0,1974
cub,5417.0,1975
cub,4557.0,1976
cub,6277.0,1977
cub,7137.0,1978
cub,8942.0,1979
cub,8340.0,1980
cub,5159.0,1981
cub,3697.0,1982
cub,5417.0,1983
cub,6019.0,1984
cub,4643.0,1985
cub,5073.0,1986
cub,3783.0,1987
cub,6277.0,1988
cub,7051.0,1989
cub,7825.0,1990
cub,9028.0,1991
cub,6965.0,1992
cub,7051.0,1993
cub,4213.0,1994
cub,6363.0,1995
cub,8169.0,1996
cub,11180.0,1997
cub,8340.0,1998
cub,8856.0,1999
cub,7653.0,2000
cub,6449.0,2001
cub,9114.0,2002
cub,11010.0,2003
cub,7567.0,2004
cub,5847.0,2005
cub,8083.0,2006
cub,10400.0,2007
cub,11870.0,2008
cub,12980.0,2009
cub,8340.0,2010
cze,103900.0,1971
cze,108700.0,1972
cze,92950.0,1973
cze,156400.0,1974
cze,156000.0,1975
cze,124300.0,1976
cze,169100.0,1977
cze,157400.0,1978
cze,197200.0,1979
cze,206300.0,1980
cze,177200.0,1981
cze,143600.0,1982
cze,142300.0,1983
cze,111600.0,1984
cze,143700.0,1985
cze,161300.0,1986
cze,212000.0,1987
cze,180500.0,1988
cze,141300.0,1989
cze,99830.0,1990
cze,93640.0,1991
cze,120600.0,1992
cze,117700.0,1993
cze,125500.0,1994
cze,172100.0,1995
cze,169300.0,1996
cze,146100.0,1997
cze,120000.0,1998
cze,144500.0,1999
cze,151200.0,2000
cze,176600.0,2001
cze,214300.0,2002
cze,118900.0,2003
cze,173600.0,2004
cze,204600.0,2005
cze,219300.0,2006
cze,179600.0,2007
cze,174000.0,2008
cze,208900.0,2009
cze,239800.0,2010
cze,183800.0,2011
dnk,2150.0,1960
dnk,2236.0,1961
dnk,2236.0,1962
dnk,2150.0,1963
dnk,2150.0,1964
dnk,2150.0,1965
dnk,2236.0,1966
dnk,2150.0,1967
dnk,1806.0,1968
dnk,1892.0,1969
dnk,2064.0,1970
dnk,2064.0,1971
dnk,2064.0,1972
dnk,2064.0,1973
dnk,2064.0,1974
dnk,2064.0,1975
dnk,2064.0,1976
dnk,1892.0,1977
dnk,1978.0,1978
dnk,2150.0,1979
dnk,2580.0,1980
dnk,2837.0,1981
dnk,2666.0,1982
dnk,2923.0,1983
dnk,2580.0,1984
dnk,2580.0,1985
dnk,2494.0,1986
dnk,2494.0,1987
dnk,2837.0,1988
dnk,1978.0,1989
dnk,2408.0,1990
dnk,2150.0,1991
dnk,2408.0,1992
dnk,2408.0,1993
dnk,2837.0,1994
dnk,2580.0,1995
dnk,1634.0,1996
dnk,1634.0,1997
dnk,2322.0,1998
dnk,2666.0,1999
dnk,2580.0,2000
dnk,2408.0,2001
dnk,2752.0,2002
dnk,1806.0,2003
dnk,2322.0,2004
dnk,1978.0,2005
dnk,1978.0,2006
dnk,2408.0,2007
dnk,2236.0,2008
dnk,1634.0,2009
dnk,1806.0,2010
dnk,1462.0,2011
dom,46090.0,1971
dom,49530.0,1972
dom,45570.0,1973
dom,43160.0,1974
dom,36720.0,1975
dom,67150.0,1976
dom,39210.0,1977
dom,63970.0,1978
dom,71200.0,1979
dom,47980.0,1980
dom,117500.0,1981
dom,72060.0,1982
dom,80830.0,1983
dom,99140.0,1984
dom,98370.0,1985
dom,119200.0,1986
dom,132000.0,1987
dom,141900.0,1988
dom,40760.0,1989
dom,30010.0,1990
dom,43590.0,1991
dom,45830.0,1992
dom,97080.0,1993
dom,45830.0,1994
dom,51930.0,1995
dom,74200.0,1996
dom,57180.0,1997
dom,63030.0,1998
dom,94500.0,1999
dom,65520.0,2000
dom,59850.0,2001
dom,74890.0,2002
dom,102600.0,2003
dom,137600.0,2004
dom,164100.0,2005
dom,150500.0,2006
dom,146300.0,2007
dom,119000.0,2008
dom,145500.0,2009
dom,154200.0,2010
ecu,37830.0,1971
ecu,38260.0,1972
ecu,37400.0,1973
ecu,42990.0,1974
ecu,54000.0,1975
ecu,52020.0,1976
ecu,47980.0,1977
ecu,68010.0,1978
ecu,60960.0,1979
ecu,74980.0,1980
ecu,66980.0,1981
ecu,76960.0,1982
ecu,148000.0,1983
ecu,278000.0,1984
ecu,281900.0,1985
ecu,345000.0,1986
ecu,392900.0,1987
ecu,415000.0,1988
ecu,426000.0,1989
ecu,428800.0,1990
ecu,436400.0,1991
ecu,427700.0,1992
ecu,499600.0,1993
ecu,564500.0,1994
ecu,443800.0,1995
ecu,545500.0,1996
ecu,561800.0,1997
ecu,559400.0,1998
ecu,617100.0,1999
ecu,654300.0,2000
ecu,608000.0,2001
ecu,647000.0,2002
ecu,617500.0,2003
ecu,637300.0,2004
ecu,591800.0,2005
ecu,613100.0,2006
ecu,777000.0,2007
ecu,971100.0,2008
ecu,792900.0,2009
ecu,742600.0,2010
egy,433400.0,1971
egy,443600.0,1972
egy,443300.0,1973
egy,526400.0,1974
egy,583800.0,1975
egy,688100.0,1976
egy,777000.0,1977
egy,801400.0,1978
egy,817700.0,1979
egy,842700.0,1980
egy,878300.0,1981
egy,900600.0,1982
egy,844100.0,1983
egy,828300.0,1984
egy,744900.0,1985
egy,798000.0,1986
egy,744500.0,1987
egy,773900.0,1988
egy,857600.0,1989
egy,854000.0,1990
egy,851200.0,1991
egy,834000.0,1992
egy,901500.0,1993
egy,943300.0,1994
egy,981300.0,1995
egy,993600.0,1996
egy,1031000.0,1997
egy,1051000.0,1998
egy,1260000.0,1999
egy,1178000.0,2000
egy,1301000.0,2001
egy,1106000.0,2002
egy,1119000.0,2003
egy,1087000.0,2004
egy,1087000.0,2005
egy,1111000.0,2006
egy,1334000.0,2007
egy,1262000.0,2008
egy,1106000.0,2009
egy,1122000.0,2010
slv,44880.0,1971
slv,38010.0,1972
slv,42300.0,1973
