geo,aid_received_per_person_current_us,time
ago,3.236,1967
ago,0.00175,1968
ago,-0.01892,1969
ago,-0.005062,1970
ago,0.0,1971
ago,0.01456,1972
ago,0.02531,1973
ago,0.05714,1974
ago,0.7171,1975
ago,2.567,1976
ago,6.795,1977
ago,6.523,1978
ago,6.359,1979
ago,6.865,1980
ago,7.62,1981
ago,7.211,1982
ago,8.7,1983
ago,10.63,1984
ago,9.982,1985
ago,13.97,1986
ago,14.06,1987
ago,16.02,1988
ago,16.62,1989
ago,25.72,1990
ago,26.01,1991
ago,31.23,1992
ago,25.45,1993
ago,38.07,1994
ago,34.4,1995
ago,36.88,1996
ago,27.72,1997
ago,25.52,1998
ago,28.68,1999
ago,21.7,2000
ago,19.65,2001
ago,27.81,2002
ago,32.02,2003
ago,71.72,2004
ago,25.14,2005
ago,9.613,2006
ago,14.13,2007
ago,20.45,2008
ago,12.86,2009
ago,12.48,2010
atg,0.1467,1973
atg,43.57,1974
atg,29.67,1975
atg,44.49,1976
atg,76.53,1977
atg,51.04,1978
atg,46.51,1979
atg,78.32,1980
atg,129.8,1981
atg,71.94,1982
atg,49.71,1983
atg,35.38,1984
atg,44.96,1985
atg,78.25,1986
atg,87.55,1987
atg,134.8,1988
atg,69.78,1989
atg,74.11,1990
atg,115.2,1991
atg,73.2,1992
atg,45.99,1993
atg,60.24,1994
atg,33.07,1995
atg,54.93,1996
atg,59.46,1997
atg,133.2,1998
atg,141.3,1999
atg,126.1,2000
atg,107.9,2001
atg,167.3,2002
atg,75.38,2003
atg,19.68,2004
atg,92.83,2005
atg,38.61,2006
atg,85.88,2007
atg,100.7,2008
atg,64.24,2009
atg,215.0,2010
arg,1.386,1960
arg,1.392,1961
arg,1.869,1962
arg,1.747,1963
arg,0.7839,1964
arg,-2.79,1965
arg,-0.4283,1966
arg,0.9453,1967
arg,1.75,1968
arg,1.079,1969
arg,0.3894,1970
arg,1.137,1971
arg,0.9406,1972
arg,1.81,1973
arg,1.4,1974
arg,0.9015,1975
arg,1.154,1976
arg,1.038,1977
arg,1.031,1978
arg,1.533,1979
arg,0.6107,1980
arg,1.532,1981
arg,1.029,1982
arg,1.606,1983
arg,1.628,1984
arg,1.285,1985
arg,2.826,1986
arg,3.177,1987
arg,4.809,1988
arg,6.546,1989
arg,5.169,1990
arg,8.27,1991
arg,7.868,1992
arg,6.658,1993
arg,4.248,1994
arg,4.09,1995
arg,3.706,1996
arg,2.856,1997
arg,2.188,1998
arg,2.095,1999
arg,1.421,2000
arg,3.902,2001
arg,2.165,2002
arg,2.806,2003
arg,2.382,2004
arg,2.486,2005
arg,2.949,2006
arg,2.574,2007
arg,3.288,2008
arg,3.163,2009
arg,2.997,2010
arm,0.7745,1991
arm,6.507,1992
arm,32.48,1993
arm,58.13,1994
arm,67.51,1995
arm,92.1,1996
arm,52.99,1997
arm,62.46,1998
arm,67.68,1999
arm,70.18,2000
arm,69.03,2001
arm,97.87,2002
arm,82.93,2003
arm,82.74,2004
arm,55.56,2005
arm,70.2,2006
arm,113.9,2007
arm,98.29,2008
arm,170.5,2009
arm,110.9,2010
abw,191.0,1985
abw,645.4,1986
abw,338.2,1987
abw,315.9,1988
abw,398.7,1989
abw,482.4,1990
abw,386.3,1991
abw,439.0,1992
abw,342.6,1993
abw,237.9,1994
abw,321.2,1995
abw,235.1,1996
abw,294.4,1997
abw,129.7,1998
abw,-83.44,1999
aze,0.04126,1991
aze,1.007,1992
aze,3.185,1993
aze,19.62,1994
aze,15.55,1995
aze,12.41,1996
aze,23.49,1997
aze,15.2,1998
aze,21.22,1999
aze,17.28,2000
aze,28.33,2001
aze,42.74,2002
aze,36.52,2003
aze,21.16,2004
aze,25.8,2005
aze,24.33,2006
aze,26.25,2007
