geo,lung_cancer_new_cases_per_100000_women,time
dnk,5.85,1962
dnk,6.37,1963
dnk,6.19,1964
dnk,6.76,1965
dnk,8.13,1966
dnk,8.0,1967
dnk,8.87,1968
dnk,9.43,1969
dnk,11.02,1970
dnk,10.49,1971
dnk,11.12,1972
dnk,11.13,1973
dnk,12.42,1974
dnk,12.89,1975
dnk,15.7,1976
dnk,14.09,1977
dnk,14.71,1978
dnk,15.86,1979
dnk,16.94,1980
dnk,17.83,1981
dnk,19.4,1982
dnk,22.35,1983
dnk,21.49,1984
dnk,22.13,1985
dnk,23.91,1986
dnk,25.04,1987
dnk,25.5,1988
dnk,25.04,1989
dnk,25.64,1990
dnk,26.68,1991
dnk,25.81,1992
dnk,27.74,1993
dnk,31.27,1994
dnk,29.55,1995
dnk,29.78,1996
dnk,30.66,1997
dnk,29.8,2002
dji,2.2,2002
dom,9.3,2002
ecu,6.1,2002
egy,2.9,2002
slv,4.3,2002
gnq,0.7,2002
eri,2.2,2002
est,6.17,1968
est,6.63,1969
est,4.64,1970
est,5.98,1971
est,4.95,1972
est,6.08,1973
est,5.69,1974
est,6.49,1975
est,6.79,1976
est,6.84,1977
est,6.35,1978
est,6.52,1979
est,6.41,1980
est,6.82,1981
est,5.97,1982
est,7.06,1983
est,6.46,1984
est,7.83,1985
est,7.85,1986
est,8.12,1987
est,8.98,1988
est,8.64,1989
est,8.28,1990
est,7.4,1991
est,8.3,1992
est,9.13,1993
est,7.29,1994
est,8.59,1995
est,9.11,1996
est,9.69,1997
est,9.1,2002
eth,3.2,2002
fji,1.8,2002
fin,3.44,1953
fin,3.65,1954
fin,3.96,1955
fin,2.9,1956
fin,4.32,1957
fin,4.33,1958
fin,3.89,1959
fin,3.26,1960
fin,4.12,1961
fin,3.87,1962
fin,5.03,1963
fin,4.13,1964
fin,4.04,1965
fin,4.3,1966
fin,4.7,1967
fin,5.06,1968
fin,4.8,1969
fin,4.19,1970
fin,5.56,1971
fin,5.39,1972
fin,5.14,1973
fin,5.81,1974
fin,5.91,1975
fin,6.98,1976
fin,6.92,1977
fin,6.3,1978
fin,7.34,1979
fin,7.35,1980
fin,7.02,1981
fin,6.96,1982
fin,6.98,1983
fin,8.17,1984
fin,8.38,1985
fin,7.56,1986
fin,8.28,1987
fin,7.8,1988
fin,7.76,1989
fin,8.35,1990
fin,8.53,1991
fin,8.51,1992
fin,8.43,1993
fin,8.99,1994
fin,8.58,1995
fin,8.77,1996
fin,9.26,1997
fin,10.1,2002
fra,8.8,2002
pyf,1.0,2002
gab,1.7,2002
gmb,0.6,2002
geo,7.2,2002
deu,12.7,2002
gha,0.6,2002
grc,8.7,2002
gum,15.5,2002
gtm,6.5,2002
gin,1.6,2002
gnb,0.6,2002
guy,5.0,2002
hti,0.5,2002
hnd,6.5,2002
hkg,31.5,1983
hkg,33.57,1984
hkg,34.78,1985
hkg,33.24,1986
hkg,30.49,1987
hkg,33.5,1988
hkg,32.06,1989
hkg,29.39,1990
hkg,30.27,1991
hkg,29.66,1992
hkg,30.73,1993
hkg,28.09,1994
hkg,25.82,1995
hkg,24.64,1996
hkg,25.17,1997
hun,24.9,2002
isl,2.82,1958
isl,9.52,1959
isl,8.03,1960
isl,4.0,1961
isl,2.65,1962
isl,8.1,1963
isl,11.08,1964
isl,5.48,1965
isl,8.84,1966
isl,12.99,1967
isl,10.24,1968
isl,13.04,1969
isl,8.33,1970
isl,11.94,1971
isl,15.73,1972
isl,6.35,1973
isl,10.81,1974
isl,17.93,1975
isl,16.33,1976
isl,16.51,1977
isl,18.63,1978
isl,24.95,1979
isl,23.26,1980
isl,26.39,1981
isl,21.04,1982
isl,20.5,1983
isl,26.62,1984
isl,22.55,1985
isl,36.06,1986
isl,27.56,1987
isl,24.88,1988
isl,20.28,1989
isl,27.54,1990
isl,32.0,1991
isl,38.88,1992
isl,22.96,1993
isl,33.55,1994
isl,35.32,1995
isl,26.73,1996
isl,25.74,1997
isl,30.0,2002
ind,2.0,2002
idn,6.8,2002
irn,2.2,2002
irq,6.7,2002
irl,19.7,2002
isr,11.3,2002
ita,10.7,2002
jam,6.0,2002
jpn,12.3,2002
jor,3.5,2002
kaz,11.5,2002
ken,2.2,2002
prk,12.8,2002
kor,12.8,2002
kwt,6.0,2002
kgz,5.5,2002
lao,6.5,2002
lva,6.4,2002
lbn,5.0,2002
lso,1.6,2002
lbr,0.6,2002
lby,2.2,2002
ltu,5.6,2002
lux,13.6,2002
mkd,9.2,2002
mdg,2.2,2002
mwi,0.4,2002
mys,10.9,2002
mli,0.1,2002
mlt,6.1,2002
mrt,0.6,2002
mus,5.1,2002
mex,6.7,2002
mda,6.9,2002
mng,11.3,2002
mar,2.0,2002
moz,1.3,2002
mmr,12.7,2002
nam,2.2,2002
npl,2.4,2002
nld,17.9,2002
nzl,15.41,1983
nzl,18.46,1984
nzl,16.85,1985
nzl,17.63,1986
nzl,19.23,1987
nzl,20.61,1988
nzl,21.15,1989
nzl,20.39,1990
nzl,20.13,1991
nzl,20.78,1992
nzl,21.28,1993
nzl,22.1,1994
nzl,20.46,1995
nzl,21.89,1996
nzl,21.95,1997
nzl,20.5,2002
nic,5.5,2002
ner,0.4,2002
nga,0.4,2002
nor,2.5,1953
nor,2.37,1954
nor,2.64,1955
nor,2.54,1956
nor,2.92,1957
nor,2.44,1958
nor,2.69,1959
nor,2.62,1960
nor,2.93,1961
nor,2.76,1962
nor,2.67,1963
nor,3.53,1964
nor,2.58,1965
nor,2.91,1966
nor,4.25,1967
nor,3.74,1968
nor,4.88,1969
nor,5.24,1970
nor,4.75,1971
nor,5.16,1972
nor,4.77,1973
nor,4.88,1974
nor,5.9,1975
nor,5.54,1976
nor,5.66,1977
nor,6.53,1978
nor,6.46,1979
nor,7.01,1980
nor,8.03,1981
nor,8.11,1982
nor,8.66,1983
nor,9.0,1984
nor,9.5,1985
nor,10.03,1986
nor,11.22,1987
nor,11.19,1988
nor,12.56,1989
nor,13.31,1990
nor,13.93,1991
nor,13.8,1992
nor,15.17,1993
nor,15.59,1994
nor,15.48,1995
nor,17.98,1996
nor,17.56,1997
nor,18.7,2002
omn,2.4,2002
pak,2.8,2002
pan,5.6,2002
png,1.3,2002
pry,4.8,2002
per,7.1,2002
phl,13.5,2002
pol,14.6,2002
prt,6.0,2002
pri,6.6,2002
qat,4.6,2002
rou,8.5,2002
rus,6.6,2002
rwa,0.9,2002
wsm,1.0,2002
sau,2.8,2002
sen,0.1,2002
scg,13.9,2002
sle,0.6,2002
sgp,18.3,2002
svk,6.94,1968
svk,7.48,1969
svk,6.66,1970
svk,6.07,1971
svk,6.57,1972
svk,5.59,1973
svk,5.54,1974
svk,6.26,1975
svk,5.96,1976
svk,5.42,1977
svk,6.97,1978
svk,7.25,1979
svk,6.6,1980
svk,6.93,1981
svk,7.35,1982
svk,8.32,1983
svk,8.66,1984
svk,8.36,1985
svk,7.69,1986
svk,8.05,1987
svk,8.4,1988
svk,8.49,1989
svk,7.89,1990
svk,8.83,1991
svk,9.75,1992
svk,8.27,1993
svk,8.24,1994
svk,7.44,1995
svk,8.22,1996
svk,8.7,1997
svk,9.4,2002
svn,4.45,1963
svn,3.87,1964
svn,3.88,1965
svn,5.92,1966
svn,5.32,1967
svn,5.58,1968
svn,5.06,1969
svn,4.79,1970
svn,5.78,1971
svn,3.9,1972
svn,5.45,1973
svn,6.22,1974
svn,5.66,1975
svn,7.08,1976
svn,6.05,1977
svn,6.03,1978
svn,6.94,1979
svn,6.82,1980
svn,6.46,1981
svn,6.17,1982
svn,7.49,1983
svn,7.45,1984
svn,8.11,1985
svn,6.42,1986
svn,8.34,1987
svn,8.25,1988
svn,9.56,1989
svn,9.35,1990
svn,9.62,1991
svn,9.48,1992
svn,9.65,1993
svn,9.67,1994
svn,10.66,1995
svn,9.85,1996
svn,11.0,1997
svn,13.9,2002
slb,5.6,2002
som,2.2,2002
zaf,7.5,2002
esp,5.4,2002
lka,1.7,2002
sdn,0.8,2002
sur,7.6,2002
swz,1.4,2002
swe,3.69,1958
swe,3.59,1959
swe,3.33,1960
swe,3.46,1961
swe,4.32,1962
swe,4.19,1963
swe,4.08,1964
swe,4.61,1965
swe,3.99,1966
swe,4.35,1967
swe,4.96,1968
swe,5.4,1969
swe,5.49,1970
swe,5.35,1971
swe,5.5,1972
swe,6.01,1973
swe,6.53,1974
swe,6.5,1975
swe,6.53,1976
swe,6.4,1977
swe,6.84,1978
swe,7.15,1979
swe,8.43,1980
swe,8.38,1981
swe,8.8,1982
swe,9.22,1983
swe,9.31,1984
swe,9.66,1985
swe,9.91,1986
swe,11.09,1987
swe,10.46,1988
swe,10.62,1989
swe,11.0,1990
swe,12.44,1991
swe,11.96,1992
swe,12.35,1993
swe,13.22,1994
swe,13.51,1995
swe,13.21,1996
swe,12.28,1997
swe,14.4,2002
che,13.8,2002
syr,3.7,2002
tjk,3.7,2002
tza,0.5,2002
tha,10.4,2002
tgo,0.6,2002
tto,4.6,2002
tun,1.9,2002
tur,5.3,2002
tkm,4.8,2002
uga,2.1,2002
ukr,7.4,2002
are,5.2,2002
gbr,24.9,2002
usa,36.1,2002
ury,6.7,2002
uzb,4.9,2002
vut,6.4,2002
ven,10.5,2002
vnm,7.3,2002
yem,3.7,2002
zmb,0.9,2002
zwe,5.9,2002
