life_expectancy_male,geo,time
83.2,alb,2066
83.32,alb,2067
83.44,alb,2068
83.56,alb,2069
83.68,alb,2070
83.79,alb,2071
83.91,alb,2072
84.03,alb,2073
84.14,alb,2074
84.25,alb,2075
84.36,alb,2076
84.48,alb,2077
84.59,alb,2078
84.7,alb,2079
84.82,alb,2080
84.94,alb,2081
85.05,alb,2082
85.17,alb,2083
85.28,alb,2084
85.39,alb,2085
85.5,alb,2086
85.61,alb,2087
85.72,alb,2088
85.83,alb,2089
85.94,alb,2090
86.06,alb,2091
86.17,alb,2092
86.28,alb,2093
86.39,alb,2094
86.5,alb,2095
86.61,alb,2096
86.72,alb,2097
86.84,alb,2098
86.95,alb,2099
41.51,dza,1950
41.7,dza,1951
42.09,dza,1952
42.48,dza,1953
42.88,dza,1954
43.29,dza,1955
43.71,dza,1956
44.13,dza,1957
44.56,dza,1958
45.0,dza,1959
45.44,dza,1960
45.88,dza,1961
46.33,dza,1962
46.76,dza,1963
47.2,dza,1964
47.62,dza,1965
48.02,dza,1966
48.41,dza,1967
48.78,dza,1968
49.15,dza,1969
49.53,dza,1970
49.92,dza,1971
50.34,dza,1972
50.81,dza,1973
51.35,dza,1974
51.99,dza,1975
52.75,dza,1976
53.65,dza,1977
54.67,dza,1978
55.79,dza,1979
56.98,dza,1980
58.22,dza,1981
59.44,dza,1982
60.61,dza,1983
61.68,dza,1984
62.63,dza,1985
63.42,dza,1986
64.06,dza,1987
64.57,dza,1988
64.96,dza,1989
65.26,dza,1990
65.49,dza,1991
65.69,dza,1992
65.88,dza,1993
66.09,dza,1994
66.32,dza,1995
66.56,dza,1996
66.79,dza,1997
67.01,dza,1998
67.21,dza,1999
67.4,dza,2000
67.58,dza,2001
67.76,dza,2002
67.94,dza,2003
68.12,dza,2004
68.3,dza,2005
68.48,dza,2006
68.65,dza,2007
68.81,dza,2008
68.95,dza,2009
69.08,dza,2010
69.2,dza,2011
69.31,dza,2012
69.42,dza,2013
69.52,dza,2014
69.62,dza,2015
69.73,dza,2016
69.83,dza,2017
69.93,dza,2018
70.03,dza,2019
70.13,dza,2020
70.23,dza,2021
70.32,dza,2022
70.41,dza,2023
70.5,dza,2024
70.59,dza,2025
70.67,dza,2026
70.76,dza,2027
70.84,dza,2028
70.93,dza,2029
71.01,dza,2030
71.1,dza,2031
71.19,dza,2032
71.27,dza,2033
71.36,dza,2034
71.45,dza,2035
71.54,dza,2036
71.62,dza,2037
71.71,dza,2038
71.81,dza,2039
71.9,dza,2040
71.99,dza,2041
72.08,dza,2042
72.18,dza,2043
72.27,dza,2044
72.37,dza,2045
72.47,dza,2046
72.57,dza,2047
72.67,dza,2048
72.77,dza,2049
72.87,dza,2050
72.98,dza,2051
73.09,dza,2052
73.19,dza,2053
73.3,dza,2054
73.41,dza,2055
73.53,dza,2056
73.64,dza,2057
73.76,dza,2058
73.87,dza,2059
73.99,dza,2060
74.11,dza,2061
74.23,dza,2062
74.35,dza,2063
74.47,dza,2064
74.59,dza,2065
74.71,dza,2066
74.84,dza,2067
74.96,dza,2068
75.09,dza,2069
75.22,dza,2070
75.35,dza,2071
75.48,dza,2072
75.61,dza,2073
75.75,dza,2074
75.88,dza,2075
76.02,dza,2076
76.16,dza,2077
76.3,dza,2078
76.45,dza,2079
76.59,dza,2080
76.74,dza,2081
76.88,dza,2082
77.03,dza,2083
77.17,dza,2084
77.31,dza,2085
77.46,dza,2086
77.6,dza,2087
77.74,dza,2088
77.89,dza,2089
78.04,dza,2090
78.19,dza,2091
78.33,dza,2092
78.48,dza,2093
78.63,dza,2094
78.78,dza,2095
78.93,dza,2096
79.08,dza,2097
79.23,dza,2098
79.39,dza,2099
27.81,ago,1950
28.01,ago,1951
28.39,ago,1952
28.78,ago,1953
29.18,ago,1954
29.57,ago,1955
29.96,ago,1956
30.35,ago,1957
30.75,ago,1958
31.14,ago,1959
31.54,ago,1960
31.93,ago,1961
32.33,ago,1962
32.73,ago,1963
33.12,ago,1964
33.52,ago,1965
33.92,ago,1966
34.32,ago,1967
34.72,ago,1968
35.12,ago,1969
35.52,ago,1970
35.92,ago,1971
36.32,ago,1972
36.72,ago,1973
37.1,ago,1974
37.47,ago,1975
37.8,ago,1976
38.1,ago,1977
38.35,ago,1978
38.56,ago,1979
38.73,ago,1980
38.85,ago,1981
38.95,ago,1982
39.02,ago,1983
39.07,ago,1984
39.11,ago,1985
39.13,ago,1986
39.13,ago,1987
39.13,ago,1988
39.13,ago,1989
39.17,ago,1990
39.26,ago,1991
39.41,ago,1992
39.65,ago,1993
39.97,ago,1994
40.39,ago,1995
40.93,ago,1996
41.57,ago,1997
42.28,ago,1998
43.06,ago,1999
43.86,ago,2000
44.64,ago,2001
45.38,ago,2002
46.06,ago,2003
46.66,ago,2004
47.19,ago,2005
47.65,ago,2006
48.06,ago,2007
48.46,ago,2008
48.85,ago,2009
49.24,ago,2010
49.63,ago,2011
50.02,ago,2012
50.41,ago,2013
50.8,ago,2014
51.19,ago,2015
51.58,ago,2016
51.95,ago,2017
52.33,ago,2018
52.7,ago,2019
53.06,ago,2020
53.42,ago,2021
53.79,ago,2022
54.15,ago,2023
54.52,ago,2024
54.89,ago,2025
55.26,ago,2026
55.63,ago,2027
56.01,ago,2028
56.38,ago,2029
56.75,ago,2030
57.12,ago,2031
57.49,ago,2032
57.85,ago,2033
58.21,ago,2034
58.57,ago,2035
58.93,ago,2036
59.28,ago,2037
59.63,ago,2038
59.97,ago,2039
60.31,ago,2040
60.65,ago,2041
60.98,ago,2042
61.3,ago,2043
61.62,ago,2044
61.94,ago,2045
62.25,ago,2046
62.55,ago,2047
62.86,ago,2048
63.16,ago,2049
63.46,ago,2050
63.76,ago,2051
64.05,ago,2052
64.33,ago,2053
64.61,ago,2054
64.88,ago,2055
65.15,ago,2056
65.41,ago,2057
65.66,ago,2058
65.91,ago,2059
66.16,ago,2060
66.4,ago,2061
66.65,ago,2062
66.88,ago,2063
67.12,ago,2064
67.35,ago,2065
67.58,ago,2066
67.81,ago,2067
68.03,ago,2068
68.25,ago,2069
68.46,ago,2070
68.67,ago,2071
68.88,ago,2072
69.08,ago,2073
69.28,ago,2074
69.48,ago,2075
69.68,ago,2076
69.87,ago,2077
70.06,ago,2078
70.24,ago,2079
70.43,ago,2080
70.61,ago,2081
70.79,ago,2082
70.97,ago,2083
71.15,ago,2084
71.33,ago,2085
71.5,ago,2086
71.67,ago,2087
71.83,ago,2088
71.99,ago,2089
72.15,ago,2090
72.31,ago,2091
72.47,ago,2092
72.62,ago,2093
72.77,ago,2094
72.92,ago,2095
73.08,ago,2096
73.23,ago,2097
73.38,ago,2098
73.52,ago,2099
54.96,atg,1950
55.23,atg,1951
55.77,atg,1952
56.29,atg,1953
56.8,atg,1954
57.29,atg,1955
57.77,atg,1956
58.23,atg,1957
58.67,atg,1958
59.1,atg,1959
59.51,atg,1960
59.91,atg,1961
60.3,atg,1962
60.68,atg,1963
61.04,atg,1964
61.4,atg,1965
61.75,atg,1966
62.09,atg,1967
62.43,atg,1968
62.76,atg,1969
63.08,atg,1970
63.4,atg,1971
63.72,atg,1972
64.03,atg,1973
64.33,atg,1974
64.63,atg,1975
64.93,atg,1976
65.22,atg,1977
65.51,atg,1978
65.79,atg,1979
66.07,atg,1980
66.35,atg,1981
66.62,atg,1982
66.89,atg,1983
67.15,atg,1984
67.41,atg,1985
67.67,atg,1986
67.92,atg,1987
68.17,atg,1988
68.42,atg,1989
68.66,atg,1990
68.9,atg,1991
69.14,atg,1992
69.38,atg,1993
69.61,atg,1994
69.84,atg,1995
70.07,atg,1996
70.3,atg,1997
70.53,atg,1998
70.75,atg,1999
70.97,atg,2000
71.19,atg,2001
71.41,atg,2002
71.63,atg,2003
71.84,atg,2004
72.06,atg,2005
72.26,atg,2006
72.46,atg,2007
72.64,atg,2008
72.82,atg,2009
72.99,atg,2010
73.16,atg,2011
73.32,atg,2012
73.48,atg,2013
73.65,atg,2014
73.81,atg,2015
73.99,atg,2016
74.16,atg,2017
74.34,atg,2018
74.52,atg,2019
74.69,atg,2020
74.88,atg,2021
75.06,atg,2022
75.24,atg,2023
75.42,atg,2024
75.61,atg,2025
75.79,atg,2026
75.98,atg,2027
76.17,atg,2028
76.36,atg,2029
76.55,atg,2030
76.74,atg,2031
76.93,atg,2032
77.13,atg,2033
77.32,atg,2034
77.52,atg,2035
77.71,atg,2036
77.91,atg,2037
78.1,atg,2038
78.29,atg,2039
78.48,atg,2040
78.67,atg,2041
78.86,atg,2042
79.04,atg,2043
79.22,atg,2044
79.39,atg,2045
79.56,atg,2046
79.72,atg,2047
79.89,atg,2048
80.05,atg,2049
80.2,atg,2050
80.36,atg,2051
80.51,atg,2052
80.65,atg,2053
80.8,atg,2054
80.94,atg,2055
81.07,atg,2056
81.21,atg,2057
81.34,atg,2058
81.47,atg,2059
81.6,atg,2060
81.72,atg,2061
81.85,atg,2062
81.97,atg,2063
82.1,atg,2064
82.22,atg,2065
82.35,atg,2066
82.47,atg,2067
82.59,atg,2068
82.71,atg,2069
82.83,atg,2070
82.95,atg,2071
83.07,atg,2072
83.19,atg,2073
83.3,atg,2074
83.42,atg,2075
83.53,atg,2076
83.64,atg,2077
83.76,atg,2078
83.87,atg,2079
83.99,atg,2080
84.1,atg,2081
84.21,atg,2082
84.33,atg,2083
84.44,atg,2084
84.55,atg,2085
84.66,atg,2086
84.78,atg,2087
84.89,atg,2088
85.0,atg,2089
85.11,atg,2090
85.23,atg,2091
85.34,atg,2092
85.46,atg,2093
85.57,atg,2094
85.68,atg,2095
85.79,atg,2096
85.91,atg,2097
86.02,atg,2098
86.13,atg,2099
59.38,arg,1950
59.67,arg,1951
60.22,arg,1952
60.71,arg,1953
61.14,arg,1954
61.5,arg,1955
61.8,arg,1956
62.03,arg,1957
62.21,arg,1958
62.34,arg,1959
62.42,arg,1960
62.46,arg,1961
62.48,arg,1962
62.48,arg,1963
62.5,arg,1964
62.54,arg,1965
62.61,arg,1966
62.73,arg,1967
62.89,arg,1968
63.1,arg,1969
63.34,arg,1970
63.62,arg,1971
63.91,arg,1972
64.2,arg,1973
64.48,arg,1974
64.77,arg,1975
65.05,arg,1976
65.33,arg,1977
65.61,arg,1978
65.9,arg,1979
66.17,arg,1980
66.43,arg,1981
66.67,arg,1982
66.88,arg,1983
67.06,arg,1984
67.23,arg,1985
67.38,arg,1986
67.54,arg,1987
67.7,arg,1988
67.88,arg,1989
68.07,arg,1990
68.28,arg,1991
68.49,arg,1992
68.7,arg,1993
68.92,arg,1994
69.13,arg,1995
69.34,arg,1996
69.54,arg,1997
69.74,arg,1998
69.94,arg,1999
70.13,arg,2000
70.32,arg,2001
70.51,arg,2002
70.7,arg,2003
70.89,arg,2004
71.08,arg,2005
71.27,arg,2006
71.46,arg,2007
71.66,arg,2008
71.85,arg,2009
72.05,arg,2010
72.24,arg,2011
72.44,arg,2012
72.64,arg,2013
72.84,arg,2014
73.04,arg,2015
73.24,arg,2016
73.45,arg,2017
73.65,arg,2018
73.86,arg,2019
74.06,arg,2020
74.27,arg,2021
74.48,arg,2022
74.69,arg,2023
74.9,arg,2024
75.11,arg,2025
75.32,arg,2026
75.53,arg,2027
75.75,arg,2028
75.96,arg,2029
76.17,arg,2030
76.38,arg,2031
76.58,arg,2032
76.78,arg,2033
76.98,arg,2034
77.17,arg,2035
77.36,arg,2036
77.53,arg,2037
77.7,arg,2038
77.87,arg,2039
78.03,arg,2040
78.18,arg,2041
78.33,arg,2042
78.48,arg,2043
78.62,arg,2044
78.76,arg,2045
78.91,arg,2046
79.04,arg,2047
79.18,arg,2048
79.32,arg,2049
79.45,arg,2050
79.58,arg,2051
79.72,arg,2052
79.85,arg,2053
79.98,arg,2054
80.11,arg,2055
80.23,arg,2056
80.36,arg,2057
80.48,arg,2058
80.6,arg,2059
80.72,arg,2060
80.84,arg,2061
80.96,arg,2062
81.08,arg,2063
81.2,arg,2064
81.33,arg,2065
81.45,arg,2066
81.57,arg,2067
81.69,arg,2068
81.81,arg,2069
81.93,arg,2070
82.05,arg,2071
82.17,arg,2072
82.29,arg,2073
82.41,arg,2074
82.52,arg,2075
82.64,arg,2076
82.75,arg,2077
82.87,arg,2078
82.98,arg,2079
83.09,arg,2080
83.21,arg,2081
83.32,arg,2082
83.44,arg,2083
83.56,arg,2084
83.67,arg,2085
83.79,arg,2086
83.9,arg,2087
84.02,arg,2088
84.13,arg,2089
84.24,arg,2090
84.35,arg,2091
84.47,arg,2092
84.58,arg,2093
84.69,arg,2094
84.8,arg,2095
84.91,arg,2096
85.02,arg,2097
85.14,arg,2098
85.25,arg,2099
58.91,arm,1950
59.12,arm,1951
59.53,arm,1952
59.95,arm,1953
60.36,arm,1954
60.77,arm,1955
61.18,arm,1956
61.59,arm,1957
62.0,arm,1958
62.41,arm,1959
62.82,arm,1960
63.24,arm,1961
63.66,arm,1962
64.09,arm,1963
64.52,arm,1964
64.95,arm,1965
65.38,arm,1966
65.81,arm,1967
66.22,arm,1968
66.6,arm,1969
66.94,arm,1970
67.2,arm,1971
67.38,arm,1972
67.49,arm,1973
67.52,arm,1974
67.51,arm,1975
67.49,arm,1976
67.48,arm,1977
67.5,arm,1978
67.55,arm,1979
67.61,arm,1980
67.63,arm,1981
67.58,arm,1982
67.44,arm,1983
67.2,arm,1984
66.88,arm,1985
66.48,arm,1986
66.03,arm,1987
65.59,arm,1988
65.18,arm,1989
64.86,arm,1990
64.67,arm,1991
64.63,arm,1992
64.73,arm,1993
64.98,arm,1994
65.37,arm,1995
65.85,arm,1996
66.39,arm,1997
66.95,arm,1998
67.49,arm,1999
68.0,arm,2000
68.46,arm,2001
68.89,arm,2002
69.29,arm,2003
69.65,arm,2004
69.97,arm,2005
70.24,arm,2006
70.47,arm,2007
70.66,arm,2008
70.81,arm,2009
70.95,arm,2010
71.06,arm,2011
71.17,arm,2012
71.27,arm,2013
71.38,arm,2014
71.5,arm,2015
71.63,arm,2016
71.76,arm,2017
71.9,arm,2018
72.03,arm,2019
72.17,arm,2020
72.31,arm,2021
72.45,arm,2022
72.59,arm,2023
72.73,arm,2024
72.87,arm,2025
73.01,arm,2026
73.16,arm,2027
73.31,arm,2028
73.45,arm,2029
73.6,arm,2030
73.76,arm,2031
73.91,arm,2032
74.06,arm,2033
74.22,arm,2034
74.38,arm,2035
74.53,arm,2036
74.69,arm,2037
74.85,arm,2038
75.01,arm,2039
75.17,arm,2040
75.34,arm,2041
75.51,arm,2042
75.68,arm,2043
75.84,arm,2044
76.01,arm,2045
76.18,arm,2046
76.35,arm,2047
76.51,arm,2048
76.67,arm,2049
76.83,arm,2050
76.99,arm,2051
77.15,arm,2052
77.3,arm,2053
77.45,arm,2054
77.61,arm,2055
77.76,arm,2056
77.91,arm,2057
78.05,arm,2058
78.2,arm,2059
78.34,arm,2060
78.47,arm,2061
78.61,arm,2062
78.74,arm,2063
78.86,arm,2064
78.99,arm,2065
79.11,arm,2066
79.23,arm,2067
79.35,arm,2068
79.47,arm,2069
79.59,arm,2070
79.7,arm,2071
79.81,arm,2072
79.93,arm,2073
80.04,arm,2074
80.15,arm,2075
80.26,arm,2076
80.37,arm,2077
80.47,arm,2078
80.58,arm,2079
80.68,arm,2080
80.79,arm,2081
80.89,arm,2082
81.0,arm,2083
81.1,arm,2084
81.21,arm,2085
81.31,arm,2086
81.42,arm,2087
81.52,arm,2088
81.62,arm,2089
81.73,arm,2090
81.83,arm,2091
81.93,arm,2092
82.03,arm,2093
82.13,arm,2094
82.23,arm,2095
82.33,arm,2096
82.43,arm,2097
82.53,arm,2098
82.63,arm,2099
56.98,abw,1950
57.56,abw,1951
58.67,abw,1952
59.68,abw,1953
60.59,abw,1954
61.39,abw,1955
62.1,abw,1956
62.72,abw,1957
63.24,abw,1958
63.69,abw,1959
64.08,abw,1960
64.43,abw,1961
64.75,abw,1962
65.05,abw,1963
65.36,abw,1964
65.66,abw,1965
65.96,abw,1966
66.24,abw,1967
66.5,abw,1968
66.75,abw,1969
66.97,abw,1970
67.19,abw,1971
67.41,abw,1972
67.63,abw,1973
67.86,abw,1974
68.11,abw,1975
68.39,abw,1976
68.71,abw,1977
69.04,abw,1978
69.39,abw,1979
69.73,abw,1980
70.04,abw,1981
70.3,abw,1982
70.51,abw,1983
70.66,abw,1984
70.76,abw,1985
70.81,abw,1986
70.85,abw,1987
70.89,abw,1988
70.92,abw,1989
70.97,abw,1990
71.02,abw,1991
71.06,abw,1992
71.1,abw,1993
71.13,abw,1994
71.15,abw,1995
71.17,abw,1996
71.19,abw,1997
71.21,abw,1998
71.25,abw,1999
71.31,abw,2000
71.38,abw,2001
71.47,abw,2002
71.59,abw,2003
71.72,abw,2004
71.87,abw,2005
72.02,abw,2006
72.18,abw,2007
72.32,abw,2008
72.46,abw,2009
72.59,abw,2010
72.72,abw,2011
72.84,abw,2012
72.96,abw,2013
73.08,abw,2014
73.21,abw,2015
73.34,abw,2016
73.47,abw,2017
73.6,abw,2018
73.74,abw,2019
73.87,abw,2020
74.0,abw,2021
74.14,abw,2022
74.28,abw,2023
74.42,abw,2024
74.57,abw,2025
74.71,abw,2026
74.85,abw,2027
75.0,abw,2028
75.14,abw,2029
75.29,abw,2030
75.43,abw,2031
75.58,abw,2032
75.72,abw,2033
75.87,abw,2034
76.02,abw,2035
76.18,abw,2036
76.33,abw,2037
76.49,abw,2038
76.65,abw,2039
76.81,abw,2040
76.97,abw,2041
77.13,abw,2042
77.29,abw,2043
77.45,abw,2044
77.61,abw,2045
77.77,abw,2046
77.92,abw,2047
78.08,abw,2048
78.24,abw,2049
78.4,abw,2050
78.55,abw,2051
78.7,abw,2052
78.86,abw,2053
79.0,abw,2054
79.15,abw,2055
79.29,abw,2056
79.43,abw,2057
79.57,abw,2058
79.71,abw,2059
79.84,abw,2060
79.97,abw,2061
80.1,abw,2062
80.23,abw,2063
80.35,abw,2064
80.47,abw,2065
80.59,abw,2066
80.71,abw,2067
80.83,abw,2068
80.94,abw,2069
81.05,abw,2070
81.16,abw,2071
81.27,abw,2072
81.38,abw,2073
81.49,abw,2074
81.6,abw,2075
81.71,abw,2076
81.81,abw,2077
81.92,abw,2078
82.03,abw,2079
82.13,abw,2080
82.23,abw,2081
82.33,abw,2082
82.43,abw,2083
82.53,abw,2084
82.63,abw,2085
82.73,abw,2086
82.83,abw,2087
82.93,abw,2088
83.03,abw,2089
83.13,abw,2090
83.22,abw,2091
83.32,abw,2092
83.42,abw,2093
83.51,abw,2094
83.61,abw,2095
83.7,abw,2096
83.8,abw,2097
83.89,abw,2098
83.98,abw,2099
66.36,aus,1950
66.48,aus,1951
66.71,aus,1952
66.92,aus,1953
67.11,aus,1954
67.28,aus,1955
67.44,aus,1956
67.58,aus,1957
67.69,aus,1958
67.78,aus,1959
67.85,aus,1960
67.89,aus,1961
67.9,aus,1962
67.89,aus,1963
67.86,aus,1964
67.83,aus,1965
67.81,aus,1966
67.8,aus,1967
67.81,aus,1968
67.86,aus,1969
67.96,aus,1970
68.11,aus,1971
68.3,aus,1972
68.55,aus,1973
68.84,aus,1974
69.16,aus,1975
69.51,aus,1976
69.88,aus,1977
70.25,aus,1978
70.62,aus,1979
70.97,aus,1980
71.3,aus,1981
71.6,aus,1982
71.88,aus,1983
72.14,aus,1984
72.39,aus,1985
72.63,aus,1986
72.89,aus,1987
73.16,aus,1988
73.46,aus,1989
73.77,aus,1990
74.08,aus,1991
74.4,aus,1992
74.71,aus,1993
75.01,aus,1994
75.31,aus,1995
75.61,aus,1996
75.92,aus,1997
76.24,aus,1998
76.59,aus,1999
76.94,aus,2000
77.31,aus,2001
77.68,aus,2002
78.05,aus,2003
78.4,aus,2004
78.72,aus,2005
79.02,aus,2006
79.27,aus,2007
79.5,aus,2008
79.69,aus,2009
79.85,aus,2010
79.99,aus,2011
80.12,aus,2012
80.25,aus,2013
80.38,aus,2014
80.52,aus,2015
80.66,aus,2016
80.8,aus,2017
80.94,aus,2018
81.08,aus,2019
81.22,aus,2020
81.36,aus,2021
81.5,aus,2022
81.64,aus,2023
81.78,aus,2024
81.92,aus,2025
82.06,aus,2026
82.19,aus,2027
82.33,aus,2028
82.46,aus,2029
82.6,aus,2030
82.73,aus,2031
82.86,aus,2032
83.0,aus,2033
83.13,aus,2034
83.27,aus,2035
83.4,aus,2036
83.53,aus,2037
83.66,aus,2038
83.79,aus,2039
83.92,aus,2040
84.05,aus,2041
84.18,aus,2042
84.31,aus,2043
84.43,aus,2044
84.56,aus,2045
84.69,aus,2046
84.82,aus,2047
84.94,aus,2048
85.07,aus,2049
85.2,aus,2050
85.32,aus,2051
85.45,aus,2052
85.57,aus,2053
85.7,aus,2054
85.83,aus,2055
85.95,aus,2056
86.08,aus,2057
86.2,aus,2058
86.32,aus,2059
86.45,aus,2060
86.57,aus,2061
86.69,aus,2062
86.81,aus,2063
86.93,aus,2064
87.06,aus,2065
87.18,aus,2066
87.3,aus,2067
87.42,aus,2068
87.54,aus,2069
87.67,aus,2070
87.79,aus,2071
87.91,aus,2072
88.03,aus,2073
88.15,aus,2074
88.27,aus,2075
88.39,aus,2076
88.51,aus,2077
88.63,aus,2078
88.75,aus,2079
88.87,aus,2080
88.99,aus,2081
89.11,aus,2082
89.23,aus,2083
89.34,aus,2084
89.46,aus,2085
89.58,aus,2086
89.69,aus,2087
89.81,aus,2088
89.93,aus,2089
90.05,aus,2090
90.17,aus,2091
90.29,aus,2092
90.41,aus,2093
90.53,aus,2094
90.64,aus,2095
90.76,aus,2096
90.87,aus,2097
90.99,aus,2098
91.1,aus,2099
63.16,aut,1950
63.25,aut,1951
63.44,aut,1952
63.65,aut,1953
63.88,aut,1954
64.14,aut,1955
64.41,aut,1956
64.7,aut,1957
65.0,aut,1958
65.3,aut,1959
65.59,aut,1960
65.86,aut,1961
66.09,aut,1962
66.28,aut,1963
66.43,aut,1964
66.54,aut,1965
66.61,aut,1966
66.65,aut,1967
66.69,aut,1968
66.72,aut,1969
66.78,aut,1970
66.86,aut,1971
66.99,aut,1972
67.16,aut,1973
67.36,aut,1974
67.59,aut,1975
67.84,aut,1976
68.09,aut,1977
68.34,aut,1978
68.57,aut,1979
68.81,aut,1980
69.05,aut,1981
69.32,aut,1982
69.63,aut,1983
69.96,aut,1984
70.31,aut,1985
70.67,aut,1986
71.03,aut,1987
71.36,aut,1988
71.66,aut,1989
71.94,aut,1990
72.2,aut,1991
72.46,aut,1992
72.72,aut,1993
72.99,aut,1994
73.28,aut,1995
73.58,aut,1996
