geo,malaria_number_of_cases_reported,time
cog,28010,1995
cog,14000,1996
cog,9491,1997
cog,17120,1998
cog,157800,2006
civ,511900,1990
civ,466900,1991
civ,553900,1992
civ,421000,1993
civ,755800,1995
civ,1109000,1996
civ,983100,1997
civ,1492000,2000
civ,1193000,2001
civ,1110000,2002
civ,1137000,2003
civ,1275000,2004
civ,1281000,2005
civ,1253000,2006
cod,198100,1996
cod,141400,1998
cod,1508000,1999
cod,964600,2000
cod,2199000,2001
cod,4387000,2003
cod,5009000,2006
gnq,25550,1990
gnq,22600,1991
gnq,25100,1992
gnq,17870,1993
gnq,14830,1994
gnq,12530,1995
eri,81180,1995
eri,129900,1996
eri,255200,1998
eri,147100,1999
eri,119200,2000
eri,125700,2001
eri,74860,2002
eri,65520,2003
eri,27780,2004
eri,24190,2005
eri,10150,2006
eth,206300,1992
eth,305600,1993
eth,358500,1994
eth,412600,1995
eth,478400,1996
eth,509800,1997
eth,605000,1998
eth,647900,1999
eth,383400,2000
eth,2264000,2001
eth,2515000,2002
eth,3143000,2003
eth,5706000,2004
eth,3362000,2005
eth,3760000,2006
gab,57450,1990
gab,80250,1991
gab,100600,1992
gab,70930,1993
gab,82240,1994
gab,54850,1995
gab,74310,1996
gab,57450,1997
gab,80250,1998
gab,96950,2001
gab,100300,2005
gab,118100,2006
gmb,222500,1990
gmb,215400,1991
gmb,188000,1992
gmb,299800,1994
gmb,135900,1995
gmb,266200,1996
gmb,325600,1997
gmb,127900,1999
gmb,161700,2005
gmb,266200,2006
gha,1439000,1990
gha,1373000,1991
gha,1447000,1992
gha,1697000,1993
gha,1673000,1994
gha,1928000,1995
gha,2190000,1996
gha,2228000,1997
gha,1745000,1998
gha,2895000,1999
gha,3350000,2000
gha,3045000,2001
gha,3141000,2002
gha,3553000,2003
gha,3416000,2004
gha,3453000,2005
gha,3511000,2006
gin,21760,1990
gin,17720,1991
gin,607600,1994
gin,600300,1995
gin,772700,1996
gin,802200,1997
gin,817900,1998
gin,807900,1999
gin,851900,2001
gin,850100,2002
gin,731900,2003
gin,876800,2004
gin,850300,2005
gin,834800,2006
gnb,81840,1990
gnb,64120,1991
gnb,56070,1992
gnb,158700,1993
gnb,197400,1995
gnb,6457,1996
gnb,10630,1997
gnb,2113,1998
gnb,197500,1999
gnb,246300,2000
gnb,246300,2001
gnb,202400,2002
gnb,195000,2003
gnb,162300,2004
gnb,185500,2005
gnb,148700,2006
ken,6103000,1994
ken,4343000,1995
ken,3777000,1996
ken,80720,1998
ken,122800,1999
ken,74190,2000
ken,3263000,2001
ken,3319000,2002
ken,5091000,2003
ken,7546000,2004
ken,9181000,2005
ken,7959000,2006
lbr,240000,1996
lbr,826200,1997
lbr,777800,1998
lbr,116700,2005
lbr,1105000,2006
mdg,196400,1995
mdg,1141000,1999
mdg,1357000,2001
mdg,1599000,2002
mdg,2198000,2003
mdg,1458000,2004
mdg,1228000,2005
mdg,1013000,2006
mwi,3871000,1990
mwi,4686000,1993
mwi,4737000,1994
mwi,6183000,1996
mwi,2761000,1997
mwi,2986000,1998
mwi,4193000,1999
mwi,3775000,2000
mwi,3824000,2001
mwi,2784000,2002
mwi,3359000,2003
mwi,2871000,2004
mwi,3688000,2005
mwi,4204000,2006
mli,248900,1990
mli,282300,1991
mli,280600,1992
mli,295700,1993
mli,263100,1994
mli,95360,1995
mli,29820,1996
mli,384900,1997
mli,12230,1998
mli,530200,1999
mli,546600,2000
mli,612900,2001
mli,723100,2002
mli,809400,2003
mli,1969000,2004
mli,962700,2005
mli,1023000,2006
mrt,26900,1990
mrt,42110,1991
mrt,45690,1992
mrt,43890,1993
mrt,156100,1994
mrt,214500,1995
mrt,181200,1996
mrt,189600,1997
mrt,168100,1998
mrt,253500,1999
mrt,259100,2000
mrt,243900,2001
mrt,224600,2002
mrt,318100,2003
mrt,224800,2004
mrt,223500,2005
mrt,188000,2006
mus,54,1990
mus,48,1991
mus,66,1992
mus,54,1993
mus,65,1994
mus,46,1995
mus,82,1996
mus,65,1997
mus,52,1998
mus,73,1999
mus,62,2000
mus,61,2001
moz,12790,1996
moz,194000,1998
moz,2337000,1999
moz,3279000,2000
moz,3947000,2001
moz,4593000,2002
moz,4863000,2003
moz,5611000,2004
moz,5896000,2005
moz,6336000,2006
nam,380500,1993
nam,401500,1994
nam,275400,1995
nam,345200,1996
nam,390600,1997
nam,353100,1998
nam,429600,1999
nam,519100,2000
nam,538500,2001
nam,445800,2002
nam,468300,2003
nam,610800,2004
nam,339200,2005
nam,265600,2006
ner,1163000,1990
ner,809000,1991
ner,866000,1992
ner,726700,1993
ner,806200,1994
ner,778200,1995
ner,1163000,1996
ner,978900,1997
ner,872900,1998
ner,815900,1999
ner,646800,2000
ner,1340000,2001
ner,888300,2002
ner,681800,2003
ner,760700,2004
ner,817700,2005
ner,886500,2006
nga,1117000,1990
nga,909700,1991
nga,1219000,1992
nga,981900,1993
nga,1175000,1994
nga,1134000,1995
nga,1149000,1996
nga,1149000,1997
nga,2123000,1998
nga,1965000,1999
nga,2477000,2000
nga,2254000,2001
nga,2605000,2002
nga,2608000,2003
nga,3310000,2004
nga,3532000,2005
nga,3982000,2006
rwa,1282000,1990
rwa,1331000,1991
rwa,1373000,1992
rwa,733200,1993
rwa,371600,1994
rwa,1392000,1995
rwa,1146000,1996
rwa,1331000,1997
rwa,1280000,1998
rwa,906600,1999
rwa,998100,2001
rwa,1067000,2002
rwa,1206000,2003
rwa,1289000,2004
rwa,1638000,2005
rwa,1419000,2006
stp,51940,1995
stp,47070,1996
stp,47760,1997
stp,46030,1998
stp,37030,1999
stp,43490,2000
stp,44030,2001
stp,50950,2002
stp,47830,2003
stp,53920,2004
stp,22370,2005
stp,7293,2006
sen,450100,1994
sen,628800,1995
sen,861300,1997
sen,948800,1998
sen,1145000,1999
sen,1120000,2000
sen,931700,2001
sen,960500,2002
sen,1414000,2003
sen,1195000,2004
sen,1346000,2005
sen,1555000,2006
sle,7192,1996
sle,209300,1997
sle,249700,1998
sle,409700,1999
sle,447800,2001
sle,507100,2002
sle,525000,2003
sle,355600,2004
sle,233800,2005
sle,160700,2006
zaf,6822,1990
zaf,4693,1991
zaf,2872,1992
zaf,13280,1993
zaf,10290,1994
zaf,8750,1995
zaf,27040,1996
zaf,23120,1997
zaf,26440,1998
zaf,51440,1999
zaf,64620,2000
zaf,26510,2001
zaf,15650,2002
zaf,13460,2003
zaf,13400,2004
zaf,7755,2005
zaf,12100,2006
swz,38880,1996
swz,23750,1997
swz,4410,1998
swz,30420,1999
swz,45580,2000
swz,18790,2001
swz,14860,2002
swz,11470,2003
swz,9485,2004
swz,8883,2005
swz,3757,2006
tgo,810500,1990
tgo,780800,1991
tgo,634200,1992
tgo,561300,1993
tgo,328500,1994
tgo,352300,1996
tgo,366700,1997
tgo,368500,1998
tgo,412600,1999
tgo,398100,2000
tgo,498800,2001
tgo,583900,2002
tgo,490300,2003
tgo,516900,2004
tgo,437700,2005
tgo,566400,2006
uga,2447000,1992
uga,1471000,1993
uga,2191000,1994
uga,1431000,1995
uga,2318000,1997
uga,2846000,1998
uga,3071000,1999
uga,9000000,2001
uga,9800000,2002
uga,11000000,2003
uga,12000000,2004
uga,16000000,2005
uga,12790000,2006
tza,10720000,1990
tza,8716000,1991
tza,7682000,1992
tza,8777000,1993
tza,7977000,1994
tza,2438000,1995
tza,4969000,1996
tza,1132000,1997
tza,30500000,1998
tza,424000,1999
tza,324600,2001
tza,369400,2002
tza,11380000,2003
tza,11900000,2004
tza,11440000,2005
tza,10570000,2006
zmb,1934000,1990
zmb,2341000,1991
zmb,2954000,1992
zmb,3514000,1993
zmb,3514000,1994
zmb,2742000,1995
zmb,3216000,1996
zmb,3400000,1998
zmb,3386000,1999
zmb,3603000,2000
zmb,3838000,2001
zmb,3760000,2002
zmb,4346000,2003
zmb,4078000,2004
zmb,4121000,2005
zmb,4731000,2006
zwe,662600,1990
zwe,581200,1991
zwe,420100,1992
zwe,877700,1993
zwe,324200,1994
zwe,761800,1995
zwe,1696000,1996
zwe,1849000,1997
zwe,1720000,1998
zwe,1804000,1999
zwe,1534000,2000
zwe,680900,2001
zwe,1348000,2002
zwe,1821000,2003
zwe,1815000,2004
zwe,1497000,2005
zwe,1536000,2006
arg,1660,1990
arg,803,1991
arg,643,1992
arg,758,1993
arg,948,1994
arg,1065,1995
arg,2048,1996
arg,592,1997
arg,339,1998
arg,222,1999
arg,440,2000
arg,215,2001
arg,125,2002
arg,122,2003
arg,115,2004
arg,259,2005
arg,209,2006
blz,3033,1990
blz,3317,1991
blz,5341,1992
blz,8586,1993
blz,9957,1994
blz,9413,1995
blz,6605,1996
blz,4014,1997
blz,2614,1998
blz,1850,1999
blz,1486,2000
blz,1097,2001
blz,928,2002
blz,1057,2004
blz,1577,2005
blz,828,2006
bol,19680,1990
bol,19030,1991
bol,24490,1992
bol,27480,1993
bol,34750,1994
bol,46910,1995
bol,64010,1996
bol,51480,1997
bol,73910,1998
bol,50040,1999
bol,31470,2000
bol,122900,2001
bol,137500,2002
bol,158300,2003
bol,163300,2004
bol,202000,2005
bol,208600,2006
bra,560400,1990
bra,614400,1991
bra,609900,1992
bra,466200,1993
bra,564400,1994
bra,565700,1995
bra,455200,1996
bra,393000,1997
bra,471900,1998
bra,609600,1999
bra,610900,2000
bra,388300,2001
bra,348300,2002
bra,408800,2003
bra,464600,2004
bra,603000,2005
bra,549200,2006
col,99490,1990
col,184200,1991
col,184000,1992
col,129400,1993
col,127200,1994
col,187100,1995
col,135900,1996
col,180900,1997
col,185500,1998
col,66840,1999
col,107600,2000
col,206200,2001
col,195700,2002
col,164700,2003
col,116900,2004
col,118200,2005
col,120100,2006
cri,1151,1990
cri,3273,1991
cri,6951,1992
cri,5033,1993
cri,4445,1994
cri,4515,1995
cri,5480,1996
cri,4712,1997
cri,5148,1998
cri,3998,1999
cri,1879,2000
cri,1363,2001
cri,1021,2002
cri,718,2003
cri,1289,2004
cri,3541,2005
cri,2903,2006
dom,356,1990
dom,377,1991
dom,698,1992
dom,987,1993
dom,1670,1994
dom,1808,1995
dom,1414,1996
dom,816,1997
dom,2006,1998
dom,3589,1999
dom,1215,2000
dom,1038,2001
dom,1296,2002
dom,1296,2003
dom,2355,2004
dom,3837,2005
dom,3525,2006
ecu,71670,1990
ecu,59400,1991
ecu,41090,1992
ecu,46860,1993
ecu,30010,1994
ecu,18130,1995
ecu,11880,1996
ecu,16360,1997
ecu,43700,1998
ecu,87620,1999
ecu,98600,2000
ecu,108900,2001
ecu,86760,2002
ecu,52060,2003
ecu,28730,2004
ecu,17050,2005
ecu,9863,2006
slv,9269,1990
slv,5933,1991
slv,4539,1992
slv,3887,1993
slv,2803,1994
slv,3362,1995
slv,5888,1996
slv,2719,1997
slv,1182,1998
slv,1230,1999
slv,745,2000
slv,362,2001
slv,117,2002
slv,84,2003
slv,112,2004
slv,66,2005
slv,44,2006
guf,5909,1990
guf,3573,1991
guf,4072,1992
guf,3974,1993
guf,4241,1994
guf,4711,1995
guf,4724,1996
guf,3195,1997
guf,3462,1998
guf,5307,1999
guf,3708,2000
guf,3823,2001
guf,3661,2002
guf,3698,2003
guf,3037,2004
guf,3414,2005
guf,4074,2006
gtm,41710,1990
gtm,57830,1991
gtm,57560,1992
gtm,41870,1993
gtm,22060,1994
gtm,24180,1995
gtm,20270,1996
gtm,32100,1997
gtm,47690,1998
gtm,45100,1999
gtm,53310,2000
gtm,35820,2001
gtm,35480,2002
gtm,31120,2003
gtm,28940,2004
gtm,39570,2005
gtm,31090,2006
guy,22680,1990
guy,42200,1991
guy,39700,1992
guy,33170,1993
guy,39570,1994
guy,59310,1995
guy,32100,1997
guy,41200,1998
guy,27280,1999
guy,24020,2000
guy,27120,2001
guy,21900,2002
guy,27630,2003
guy,28870,2004
guy,38980,2005
guy,21000,2006
hti,4806,1990
hti,25510,1991
hti,13460,1992
hti,853,1993
hti,23140,1994
hti,18880,1996
hti,34450,1998
hti,1196,1999
hti,16900,2000
hti,9837,2001
hti,9837,2003
hti,10800,2004
hti,21780,2005
hti,32740,2006
hnd,53100,1990
hnd,73350,1991
hnd,70840,1992
hnd,44510,1993
hnd,52110,1994
hnd,59450,1995
hnd,74490,1996
hnd,65860,1997
hnd,42980,1998
hnd,46740,1999
hnd,35120,2000
hnd,24150,2001
hnd,17220,2002
hnd,14120,2003
hnd,17290,2004
hnd,16010,2005
hnd,11560,2006
jam,382,2006
mex,44510,1990
mex,26560,1991
mex,16170,1992
mex,15790,1993
mex,12860,1994
mex,7329,1995
mex,6293,1996
mex,4805,1997
mex,25020,1998
mex,13450,1999
mex,7362,2000
mex,4895,2001
mex,4624,2002
mex,3819,2003
mex,3406,2004
mex,2967,2005
nic,35780,1990
nic,27650,1991
nic,26870,1992
nic,44040,1993
nic,41490,1994
nic,69440,1995
nic,75610,1996
nic,42820,1997
nic,33900,1998
nic,38680,1999
nic,24010,2000
nic,10480,2001
nic,7695,2002
nic,6717,2003
nic,6897,2004
nic,6642,2005
nic,3114,2006
pan,381,1990
pan,1115,1991
pan,727,1992
pan,481,1993
pan,684,1994
pan,730,1995
pan,476,1996
pan,505,1997
pan,1039,1998
pan,936,1999
pan,1036,2000
pan,928,2001
pan,2203,2002
pan,4480,2003
pan,5095,2004
pan,3667,2005
pan,1663,2006
pry,2912,1990
pry,2983,1991
pry,1289,1992
pry,436,1993
pry,583,1994
pry,898,1995
pry,637,1996
pry,567,1997
pry,2091,1998
pry,9947,1999
pry,6853,2000
pry,2710,2001
pry,2778,2002
pry,1392,2003
pry,694,2004
pry,376,2005
pry,823,2006
per,28880,1990
per,33700,1991
per,54920,1992
per,95220,1993
per,122000,1994
per,192600,1995
per,208100,1996
per,183700,1997
per,247000,1998
per,166600,1999
per,69730,2000
per,79470,2001
per,85740,2002
per,79470,2003
per,93580,2004
sur,1608,1990
sur,1490,1991
sur,1404,1992
sur,4704,1994
sur,6606,1995
sur,16650,1996
sur,11320,1997
sur,12410,1998
sur,13940,1999
sur,13130,2000
sur,17070,2001
sur,13090,2002
sur,14660,2003
sur,8189,2004
sur,8739,2005
sur,3631,2006
ven,46910,1990
ven,43450,1991
ven,21420,1992
ven,12540,1993
ven,13730,1994
ven,16370,1995
ven,18860,1996
ven,22400,1997
ven,21860,1998
ven,19090,1999
ven,29740,2000
ven,29490,2001
ven,29490,2002
ven,31720,2003
ven,46660,2004
ven,45050,2005
ven,37060,2006
afg,317500,1990
afg,297600,1991
afg,88300,1994
afg,304000,1996
afg,202800,1997
afg,288100,1998
afg,364200,2001
afg,626800,2002
afg,585600,2003
afg,261500,2004
afg,245900,2005
afg,271600,2006
dji,3237,1990
dji,7338,1991
dji,7468,1992
dji,4166,1993
dji,6140,1994
dji,5982,1995
dji,6105,1996
dji,4314,1997
dji,5920,1998
dji,6140,1999
dji,4667,2000
dji,4312,2001
dji,5021,2002
dji,5036,2003
dji,2142,2004
dji,2590,2005
dji,7708,2006
egy,75,1990
egy,24,1991
egy,16,1992
egy,17,1993
egy,527,1994
egy,322,1995
egy,25,1996
egy,11,1997
egy,13,1998
egy,61,1999
egy,17,2000
egy,11,2001
egy,10,2002
egy,45,2003
egy,43,2004
egy,23,2005
egy,29,2006
irn,77470,1990
irn,96340,1991
irn,76970,1992
irn,64580,1993
irn,51090,1994
irn,67530,1995
irn,56360,1996
irn,38680,1997
irn,32950,1998
irn,23110,1999
irn,19720,2000
irn,19300,2001
irn,15560,2002
irn,23560,2003
irn,13820,2004
irn,18970,2005
irn,15910,2006
irq,3924,1990
irq,1764,1991
irq,5752,1992
irq,49860,1993
irq,98240,1994
irq,98700,1995
irq,49840,1996
irq,13960,1997
irq,9684,1998
irq,4143,1999
irq,1860,2000
irq,1265,2001
irq,952,2002
irq,347,2003
irq,155,2004
irq,47,2005
irq,24,2006
mar,837,1990
mar,494,1991
mar,405,1992
mar,198,1993
mar,206,1994
mar,197,1995
mar,102,1996
mar,125,1997
mar,121,1998
mar,60,1999
mar,59,2000
mar,59,2001
mar,107,2002
mar,73,2003
mar,56,2004
mar,100,2005
mar,83,2006
omn,32720,1990
omn,19270,1991
omn,14830,1992
omn,16870,1993
omn,7215,1994
omn,1801,1995
omn,1265,1996
omn,1026,1997
omn,1093,1998
omn,901,1999
omn,694,2000
omn,635,2001
omn,590,2002
omn,740,2003
omn,615,2004
omn,544,2005
omn,443,2006
pak,79690,1990
pak,66590,1991
pak,99020,1992
pak,92630,1993
pak,108600,1994
pak,111800,1995
pak,98040,1996
pak,77480,1997
pak,73520,1998
pak,91770,1999
pak,82530,2000
pak,125300,2001
pak,107700,2002
pak,125200,2003
pak,126700,2004
pak,127800,2005
pak,124900,2006
sau,15670,1990
sau,9962,1991
sau,19620,1992
sau,18380,1993
sau,10030,1994
sau,18750,1995
sau,21010,1996
sau,20630,1997
sau,40800,1998
sau,13170,1999
sau,6608,2000
sau,3074,2001
sau,2612,2002
sau,1724,2003
sau,1232,2004
sau,1059,2005
sau,1278,2006
som,3049,1993
som,9055,1999
som,10360,2000
som,10360,2001
som,96920,2002
som,23350,2003
som,36730,2004
som,28530,2005
som,49260,2006
sdn,7509000,1990
sdn,6948000,1991
sdn,9327000,1992
sdn,9868000,1993
sdn,8562000,1994
sdn,6347000,1995
sdn,4595000,1996
sdn,4065000,1997
sdn,5062000,1998
sdn,4215000,1999
sdn,4333000,2000
sdn,4223000,2001
sdn,3516000,2002
sdn,3731000,2003
sdn,2600000,2004
sdn,2853000,2005
sdn,2234000,2006
syr,107,1990
syr,54,1991
syr,456,1992
syr,966,1993
syr,583,1994
syr,626,1995
syr,345,1996
syr,130,1997
syr,60,1998
syr,43,1999
syr,42,2000
syr,79,2001
syr,27,2002
syr,24,2003
syr,13,2004
syr,28,2005
syr,34,2006
yem,11380,1990
yem,12720,1991
yem,29320,1992
yem,31260,1993
yem,37200,1994
yem,500000,1995
yem,416200,1996
yem,1394000,1997
yem,2782000,1999
yem,1394000,2000
yem,107800,2001
yem,187200,2002
yem,174500,2003
yem,158600,2004
yem,200600,2005
yem,217300,2006
arm,0,1990
arm,0,1991
arm,0,1992
arm,0,1993
arm,196,1994
arm,502,1995
arm,347,1996
arm,841,1997
arm,1156,1998
arm,616,1999
arm,141,2000
arm,79,2001
arm,52,2002
arm,29,2003
arm,47,2004
arm,7,2005
arm,0,2006
aze,24,1990
aze,113,1991
aze,27,1992
aze,23,1993
aze,667,1994
aze,2840,1995
aze,13140,1996
aze,9911,1997
aze,5175,1998
aze,2315,1999
aze,1526,2000
aze,1058,2001
aze,506,2002
aze,482,2003
aze,386,2004
aze,242,2005
aze,143,2006
geo,1,1990
geo,2,1991
geo,1,1992
geo,0,1993
geo,1,1994
geo,1,1995
geo,7,1996
geo,1,1997
geo,16,1998
geo,51,1999
geo,245,2000
geo,439,2001
geo,472,2002
geo,315,2003
geo,256,2004
geo,155,2005
geo,60,2006
kgz,1,1990
kgz,1,1991
kgz,2,1992
kgz,0,1993
kgz,6,1994
kgz,3,1995
kgz,26,1996
kgz,13,1997
kgz,11,1998
kgz,5,1999
kgz,12,2000
kgz,28,2001
kgz,2744,2002
kgz,468,2003
kgz,93,2004
kgz,226,2005
kgz,320,2006
rus,216,1990
rus,169,1991
rus,160,1992
rus,209,1993
rus,335,1994
rus,425,1995
rus,611,1996
rus,831,1997
rus,1081,1998
rus,792,1999
rus,795,2000
rus,898,2001
rus,642,2002
tjk,175,1990
tjk,294,1991
tjk,404,1992
tjk,619,1993
tjk,2411,1994
tjk,6103,1995
tjk,16560,1996
tjk,29790,1997
tjk,19350,1998
tjk,13490,1999
tjk,19060,2000
tjk,11390,2001
tjk,6160,2002
tjk,5428,2003
tjk,1804,2004
tjk,1398,2005
tjk,776,2006
tur,8680,1990
tur,12220,1991
tur,18680,1992
tur,47210,1993
tur,84340,1994
tur,82100,1995
tur,60880,1996
tur,35460,1997
tur,36840,1998
tur,20960,1999
tur,11430,2000
tur,10800,2001
tur,10210,2002
tur,9209,2003
tur,5289,2004
tur,2052,2005
tur,767,2006
tkm,1,1990
tkm,17,1991
tkm,11,1992
tkm,3,1993
tkm,9,1994
tkm,10,1995
tkm,14,1996
tkm,14,1997
tkm,137,1998
tkm,49,1999
tkm,24,2000
tkm,5,2001
tkm,8,2002
tkm,7,2003
tkm,3,2004
tkm,1,2005
tkm,0,2006
uzb,28,1990
uzb,12,1991
uzb,25,1992
uzb,36,1993
uzb,21,1994
uzb,27,1995
uzb,51,1996
uzb,52,1997
uzb,74,1998
uzb,85,1999
uzb,126,2000
uzb,77,2001
uzb,74,2002
uzb,74,2003
uzb,66,2004
uzb,102,2005
uzb,76,2006
bgd,53880,1990
bgd,63580,1991
bgd,115700,1992
bgd,125400,1993
bgd,166600,1994
bgd,152700,1995
bgd,100900,1996
bgd,68590,1997
bgd,60020,1998
bgd,63720,1999
bgd,60400,2000
bgd,361600,2001
bgd,307200,2002
bgd,491600,2003
bgd,215700,2004
bgd,190700,2005
bgd,362000,2006
btn,9497,1990
btn,22130,1991
btn,28900,1992
btn,28120,1993
btn,39850,1994
btn,23190,1995
btn,15700,1996
btn,9029,1997
btn,7693,1998
btn,12240,1999
btn,5935,2000
btn,10240,2001
btn,7206,2002
btn,4043,2003
btn,3027,2004
btn,1947,2005
btn,1991,2006
prk,1085,1998
prk,7980,1999
prk,73740,2000
prk,296500,2001
prk,241200,2002
prk,60560,2003
prk,33800,2004
prk,11510,2005
prk,9353,2006
ind,2019000,1990
ind,2117000,1991
ind,2126000,1992
ind,2207000,1993
ind,2511000,1994
ind,2988000,1995
ind,3036000,1996
ind,2660000,1997
ind,2223000,1998
ind,2285000,1999
ind,2032000,2000
ind,2085000,2001
ind,1841000,2002
ind,1869000,2003
ind,1915000,2004
ind,1817000,2005
ind,1785000,2006
idn,171900,1990
idn,132400,1991
idn,103300,1992
idn,136400,1993
idn,145900,1994
idn,123200,1995
idn,179900,1996
idn,161300,1997
idn,160300,1998
idn,101200,2000
idn,1401000,2001
idn,1494000,2002
idn,1482000,2003
idn,1495000,2004
idn,1793000,2005
idn,1327000,2006
mmr,989000,1990
mmr,939300,1991
mmr,789700,1992
mmr,702200,1993
mmr,701000,1994
mmr,656500,1995
mmr,664500,1996
mmr,568300,1997
mmr,548100,1998
mmr,121000,1999
mmr,574400,2001
mmr,721700,2002
mmr,716800,2003
mmr,602900,2004
mmr,506000,2005
mmr,475300,2006
npl,22860,1990
npl,29140,1991
npl,23230,1992
npl,16380,1993
npl,9442,1994
npl,9718,1995
npl,6628,1996
npl,8957,1997
npl,8498,1998
npl,9699,1999
npl,7616,2000
npl,146400,2001
npl,133400,2002
npl,196600,2003
npl,140700,2004
npl,178100,2005
npl,154800,2006
lka,287400,1990
lka,400300,1991
lka,399300,1992
lka,327000,1993
lka,273400,1994
lka,142300,1995
lka,184300,1996
lka,218600,1997
lka,211700,1998
lka,210000,2000
lka,66520,2001
lka,41410,2002
lka,10510,2003
lka,3720,2004
lka,1640,2005
lka,591,2006
tha,273900,1990
tha,198400,1991
tha,168400,1992
tha,115200,1993
tha,102100,1994
tha,82740,1995
tha,87620,1996
tha,97540,1997
tha,131100,1998
tha,125400,1999
tha,81690,2000
tha,63530,2001
tha,44560,2002
tha,37360,2003
tha,26690,2004
tha,29780,2005
tha,30290,2006
khm,123800,1990
khm,102900,1991
khm,91000,1992
khm,99200,1993
khm,85010,1994
khm,76920,1995
khm,74880,1996
khm,88030,1997
khm,58870,1998
khm,64680,1999
khm,62440,2000
khm,110200,2001
khm,100200,2002
khm,119700,2003
khm,91860,2004
khm,67040,2005
khm,89110,2006
chn,117400,1990
chn,101600,1991
chn,74000,1992
chn,59000,1993
chn,62000,1994
chn,47120,1995
chn,33380,1996
chn,26800,1997
chn,27090,1998
chn,26800,1999
chn,18620,2000
chn,26940,2001
chn,172200,2002
chn,169800,2003
chn,145700,2004
chn,100100,2005
chn,116300,2006
lao,22040,1990
lao,41050,1991
lao,38500,1992
lao,41790,1993
lao,52600,1994
lao,52020,1995
lao,77890,1996
lao,72190,1997
lao,39030,1998
lao,28050,1999
lao,40010,2000
lao,104000,2001
lao,85190,2002
lao,88660,2003
lao,53810,2004
lao,30360,2005
lao,20470,2006
mys,50500,1990
mys,39190,1991
mys,36850,1992
mys,39890,1993
mys,58960,1994
mys,59210,1995
mys,51920,1996
mys,26650,1997
mys,13490,1998
mys,11110,1999
mys,12700,2000
mys,12780,2001
mys,11020,2002
mys,6338,2003
mys,6154,2004
mys,5569,2005
mys,5294,2006
png,104900,1990
png,86500,1991
