geo,infectious_tb_number_of_new_cases_reported,time
geo,1831,2006
geo,1867,2007
deu,4730,1993
deu,4177,1994
deu,3852,1995
deu,3689,1996
deu,3346,1997
deu,3124,1998
deu,2918,1999
deu,0,2000
deu,1935,2001
deu,1868,2002
deu,1679,2003
deu,1562,2004
deu,1379,2005
deu,1303,2006
deu,1183,2007
gha,5778,1994
gha,2638,1995
gha,6474,1996
gha,7254,1997
gha,7757,1998
gha,6877,1999
gha,7316,2000
gha,7712,2001
gha,7732,2002
gha,7714,2003
gha,7259,2004
gha,7505,2005
gha,7786,2006
gha,7429,2007
grc,285,1997
grc,313,1998
grc,143,1999
grc,235,2000
grc,213,2001
grc,212,2002
grc,234,2003
grc,176,2004
grc,197,2005
grc,210,2006
grc,257,2007
grd,0,1993
grd,3,1994
grd,2,1995
grd,0,1996
grd,1,1997
grd,2,1998
grd,3,1999
grd,0,2000
grd,0,2002
grd,2,2003
grd,2,2004
grd,1,2006
grd,3,2007
gum,40,1994
gum,43,2000
gum,47,2001
gum,31,2002
gum,0,2003
gum,22,2004
gum,27,2005
gum,21,2006
gum,5,2007
gtm,2128,1993
gtm,1994,1994
gtm,2368,1995
gtm,2224,1996
gtm,2218,1997
gtm,2255,1998
gtm,2264,1999
gtm,2052,2000
gtm,1669,2001
gtm,1865,2002
gtm,1795,2003
gtm,2339,2004
gtm,2420,2005
gtm,2501,2006
gtm,2348,2007
gin,2082,1993
gin,2158,1994
gin,2263,1995
gin,2844,1996
gin,2981,1997
gin,3362,1998
gin,3563,1999
gin,3920,2000
gin,4092,2001
gin,4300,2002
gin,4495,2003
gin,5015,2004
gin,5479,2005
gin,5903,2006
gin,6199,2007
gnb,956,1995
gnb,922,1996
gnb,855,1997
gnb,541,1998
gnb,704,1999
gnb,526,2000
gnb,899,2002
gnb,963,2003
gnb,1186,2004
gnb,1132,2005
gnb,1030,2006
guy,51,1993
guy,61,1994
guy,85,1995
guy,71,1996
guy,105,1997
guy,85,1998
guy,178,1999
guy,119,2000
guy,174,2001
guy,138,2002
guy,244,2003
guy,164,2004
guy,240,2005
guy,294,2006
guy,233,2007
hti,3524,1996
hti,5497,1997
hti,6442,1998
hti,6828,1999
hti,5887,2000
hti,5607,2001
hti,6188,2002
hti,7015,2003
hti,7044,2004
hti,7340,2005
hti,7461,2006
hti,7915,2007
hnd,2016,1993
hnd,2385,1994
hnd,2306,1995
hnd,1808,1996
hnd,1928,1997
hnd,2311,1998
hnd,2415,1999
hnd,3404,2000
hnd,3141,2001
hnd,3080,2002
hnd,2139,2003
hnd,2011,2004
hnd,2069,2005
hnd,2018,2006
hnd,1974,2007
hun,1905,1993
hun,1357,1994
hun,796,1995
hun,1066,1996
hun,702,1997
hun,667,1998
hun,660,1999
hun,412,2000
hun,546,2001
hun,556,2002
hun,526,2003
hun,560,2004
hun,423,2005
hun,422,2006
hun,381,2007
isl,6,1994
isl,2,1995
isl,1,1996
isl,4,1997
isl,2,1998
isl,2,1999
isl,1,2000
isl,3,2001
isl,2,2002
isl,1,2003
isl,2,2004
isl,2,2005
isl,4,2006
isl,2,2007
ind,225300,1993
ind,226500,1994
ind,264500,1995
ind,291000,1996
ind,274900,1997
ind,278300,1998
ind,345200,1999
ind,349400,2000
ind,384800,2001
ind,395800,2002
ind,433600,2003
ind,489200,2004
ind,508900,2005
ind,553900,2006
ind,592600,2007
idn,62970,1993
idn,49650,1994
idn,31770,1995
idn,11790,1996
idn,19490,1997
idn,32280,1998
idn,49170,1999
idn,52340,2000
idn,53960,2001
idn,76230,2002
idn,92570,2003
idn,129000,2004
idn,158600,2005
idn,175300,2006
idn,160600,2007
irn,4615,1994
irn,5347,1995
irn,5373,1996
irn,5253,1997
irn,5105,1998
irn,5426,1999
irn,5361,2000
irn,5529,2001
irn,5366,2002
irn,5188,2003
irn,4900,2004
irn,4581,2005
irn,4802,2006
irn,4701,2007
irq,1587,1990
irq,1512,1991
irq,2304,1992
irq,5240,1993
irq,5781,1994
irq,3194,1995
irq,10320,1996
irq,8164,1997
irq,8933,1998
irq,9908,1999
irq,3194,2000
irq,3559,2001
irq,3895,2002
irq,3577,2003
irq,3381,2004
irq,3096,2005
irq,2886,2006
irq,2726,2007
irl,339,1996
irl,123,1997
irl,116,1998
irl,117,1999
irl,138,2000
irl,123,2001
irl,100,2002
irl,141,2003
irl,127,2004
irl,130,2005
irl,133,2006
irl,135,2007
isr,150,1993
isr,129,1994
isr,147,1996
isr,207,1997
isr,221,1998
isr,170,1999
isr,17,2000
isr,172,2001
isr,164,2002
isr,150,2003
isr,91,2004
isr,98,2005
isr,72,2006
isr,143,2007
