gdppercapita_growth_percent_per_year,geo,time
-8.97,arg,1985
6.277,arg,1986
1.4,arg,1987
-3.968,arg,1988
-8.813,arg,1989
-3.76,arg,1990
11.13,arg,1991
10.45,arg,1992
4.529,arg,1993
4.488,arg,1994
-4.057,arg,1995
4.235,arg,1996
6.816,arg,1997
2.644,arg,1998
-4.46,arg,1999
-1.836,arg,2000
-5.361,arg,2001
-11.74,arg,2002
7.852,arg,2003
8.064,arg,2004
8.218,arg,2005
7.514,arg,2006
7.703,arg,2007
5.828,arg,2008
-0.02622,arg,2009
8.217,arg,2010
-10.88,arm,1991
-40.75,arm,1992
-6.647,arm,1993
7.957,arm,1994
9.134,arm,1995
7.567,arm,1996
4.552,arm,1997
8.188,arm,1998
3.918,arm,1999
6.4,arm,2000
9.924,arm,2001
13.36,arm,2002
14.06,arm,2003
10.39,arm,2004
13.74,arm,2005
13.05,arm,2006
13.59,arm,2007
6.73,arm,2008
-14.31,arm,2009
1.865,arm,2010
18.46,abw,1988
9.077,abw,1989
9.982,abw,1990
-0.01368,abw,1991
-1.552,abw,1992
-2.144,abw,1993
0.216,abw,1994
6.31,abw,1995
-2.12,abw,1996
5.133,abw,1997
4.641,abw,1998
-0.6808,abw,1999
1.581,abw,2000
-2.942,abw,2001
-4.878,abw,2002
-0.8209,abw,2003
0.4881,aus,1961
-1.077,aus,1962
4.241,aus,1963
4.899,aus,1964
3.942,aus,1965
0.05997,aus,1966
4.938,aus,1967
3.304,aus,1968
4.83,aus,1969
5.068,aus,1970
0.5618,aus,1971
2.038,aus,1972
1.067,aus,1973
1.465,aus,1974
0.006017,aus,1975
1.609,aus,1976
2.324,aus,1977
-0.2583,aus,1978
2.994,aus,1979
1.796,aus,1980
1.78,aus,1981
1.521,aus,1982
-3.534,aus,1983
3.421,aus,1984
3.703,aus,1985
2.852,aus,1986
1.005,aus,1987
4.154,aus,1988
2.195,aus,1989
2.053,aus,1990
-1.503,aus,1991
-0.7575,aus,1992
3.073,aus,1993
2.871,aus,1994
2.692,aus,1995
2.822,aus,1996
2.816,aus,1997
3.501,aus,1998
3.965,aus,1999
2.719,aus,2000
0.7046,aus,2001
2.643,aus,2002
2.006,aus,2003
2.955,aus,2004
1.609,aus,2005
1.572,aus,2006
1.723,aus,2007
1.775,aus,2008
-0.6461,aus,2009
0.6643,aus,2010
4.961,aut,1961
2.021,aut,1962
3.471,aut,1963
5.419,aut,1964
2.81,aut,1965
4.904,aut,1966
2.241,aut,1967
3.931,aut,1968
5.909,aut,1969
6.448,aut,1970
4.647,aut,1971
5.592,aut,1972
4.311,aut,1973
3.765,aut,1974
-0.09903,aut,1975
4.763,aut,1976
4.968,aut,1977
-0.06525,aut,1978
5.636,aut,1979
1.784,aut,1980
-0.3985,aut,1981
1.874,aut,1982
3.119,aut,1983
0.06698,aut,1984
2.408,aut,1985
2.252,aut,1986
1.282,aut,1987
2.723,aut,1988
3.275,aut,1989
3.38,aut,1990
2.312,aut,1991
0.7726,aut,1992
-0.45,aut,1993
1.82,aut,1994
2.639,aut,1995
2.328,aut,1996
2.193,aut,1997
3.672,aut,1998
3.338,aut,1999
3.419,aut,2000
0.4721,aut,2001
1.195,aut,2002
0.3758,aut,2003
1.955,aut,2004
1.705,aut,2005
3.158,aut,2006
3.304,aut,2007
0.9566,aut,2008
-4.136,aut,2009
2.013,aut,2010
-2.23,aze,1991
-23.76,aze,1992
-24.26,aze,1993
-20.78,aze,1994
-12.81,aze,1995
0.2822,aze,1996
4.784,aze,1997
8.961,aze,1998
6.462,aze,1999
10.19,aze,2000
9.052,aze,2001
9.778,aze,2002
10.36,aze,2003
9.239,aze,2004
25.11,aze,2005
33.03,aze,2006
23.64,aze,2007
8.498,aze,2008
7.054,aze,2009
3.762,aze,2010
5.298,bhs,1961
4.999,bhs,1962
5.099,bhs,1963
5.238,bhs,1964
5.416,bhs,1965
4.366,bhs,1966
5.114,bhs,1967
4.307,bhs,1968
5.254,bhs,1969
-8.493,bhs,1970
-1.008,bhs,1971
-5.654,bhs,1972
5.41,bhs,1973
-18.37,bhs,1974
-16.51,bhs,1975
2.996,bhs,1976
6.826,bhs,1977
11.7,bhs,1978
23.37,bhs,1979
4.164,bhs,1980
-11.22,bhs,1981
4.345,bhs,1982
1.344,bhs,1983
11.78,bhs,1984
2.749,bhs,1985
-0.09251,bhs,1986
1.186,bhs,1987
0.5841,bhs,1988
4.92,bhs,1989
-3.309,bhs,1990
-5.915,bhs,1991
-5.605,bhs,1992
-1.523,bhs,1993
1.379,bhs,1994
2.757,bhs,1995
2.79,bhs,1996
0.8043,bhs,1997
3.508,bhs,1998
5.899,bhs,1999
2.868,bhs,2000
1.28,bhs,2001
1.296,bhs,2002
-2.665,bhs,2003
-0.5717,bhs,2004
1.9,bhs,2005
1.028,bhs,2006
-0.03263,bhs,2007
-2.754,bhs,2008
-6.679,bhs,2009
-0.4164,bhs,2010
-8.909,bhr,1981
-10.38,bhr,1982
3.575,bhr,1983
2.237,bhr,1984
-7.522,bhr,1985
-2.085,bhr,1986
6.614,bhr,1987
3.286,bhr,1988
-2.956,bhr,1989
1.282,bhr,1990
8.202,bhr,1991
4.019,bhr,1992
10.18,bhr,1993
-2.622,bhr,1994
1.376,bhr,1995
1.241,bhr,1996
-0.04889,bhr,1997
1.661,bhr,1998
1.716,bhr,1999
3.414,bhr,2000
3.897,bhr,2001
5.332,bhr,2002
6.356,bhr,2003
1.734,bhr,2004
-0.08964,bhr,2005
-4.688,bhr,2006
-5.039,bhr,2007
-6.491,bhr,2008
3.116,bgd,1961
2.575,bgd,1962
-3.192,bgd,1963
7.793,bgd,1964
-1.419,bgd,1965
-0.6803,bgd,1966
-5.091,bgd,1967
6.051,bgd,1968
-1.517,bgd,1969
3.398,bgd,1970
-6.828,bgd,1971
-14.74,bgd,1972
2.619,bgd,1973
8.593,bgd,1974
-5.467,bgd,1975
3.503,bgd,1976
0.08691,bgd,1977
4.047,bgd,1978
1.756,bgd,1979
-2.034,bgd,1980
0.9726,bgd,1981
-0.3559,bgd,1982
1.277,bgd,1983
2.407,bgd,1984
0.4771,bgd,1985
1.454,bgd,1986
0.96,bgd,1987
-0.529,bgd,1988
-0.005186,bgd,1989
3.35,bgd,1990
0.9299,bgd,1991
2.698,bgd,1992
2.328,bgd,1993
1.901,bgd,1994
2.757,bgd,1995
2.492,bgd,1996
3.285,bgd,1997
3.176,bgd,1998
2.881,bgd,1999
4.001,bgd,2000
3.397,bgd,2001
2.61,bgd,2002
3.522,bgd,2003
4.646,bgd,2004
4.482,bgd,2005
5.307,bgd,2006
5.243,bgd,2007
5.08,bgd,2008
4.625,bgd,2009
4.884,bgd,2010
7.351,brb,1961
8.631,brb,1962
-5.487,brb,1963
4.575,brb,1964
11.05,brb,1965
3.721,brb,1966
10.39,brb,1967
6.682,brb,1968
7.209,brb,1969
9.08,brb,1970
3.372,brb,1971
0.6427,brb,1972
0.6716,brb,1973
-5.23,brb,1974
3.492,brb,1975
-0.438,brb,1976
4.122,brb,1977
5.935,brb,1978
7.444,brb,1979
4.439,brb,1980
-3.563,brb,1981
-5.423,brb,1982
-0.3004,brb,1983
2.861,brb,1984
0.04507,brb,1985
8.955,brb,1986
0.5995,brb,1987
5.83,brb,1988
4.646,brb,1989
-5.142,brb,1990
-3.229,brb,1991
-5.264,brb,1992
0.6996,brb,1993
3.677,brb,1994
1.19,brb,1995
1.518,brb,1996
6.053,brb,1997
3.778,brb,1998
2.278,brb,1999
2.024,brb,2000
-5.295,brb,2001
-3.768,brb,2002
1.79,brb,2003
3.472,brb,2004
2.97,brb,2005
3.206,brb,2006
0.272,brb,2007
-0.02685,brb,2008
-5.498,brb,2009
-1.248,blr,1991
-9.795,blr,1992
-7.808,blr,1993
-11.6,blr,1994
-10.11,blr,1995
3.144,blr,1996
11.87,blr,1997
8.917,blr,1998
3.75,blr,1999
6.117,blr,2000
5.09,blr,2001
5.524,blr,2002
7.596,blr,2003
12.01,blr,2004
9.988,blr,2005
10.49,blr,2006
8.989,blr,2007
11.4,blr,2008
1.164,blr,2009
7.803,blr,2010
4.63,bel,1961
4.794,bel,1962
3.574,bel,1963
5.949,bel,1964
2.624,bel,1965
2.461,bel,1966
3.292,bel,1967
3.785,bel,1968
6.328,bel,1969
5.668,bel,1970
3.796,bel,1971
4.884,bel,1972
6.047,bel,1973
4.237,bel,1974
-2.249,bel,1975
5.464,bel,1976
0.502,bel,1977
2.746,bel,1978
2.249,bel,1979
4.329,bel,1980
-0.2767,bel,1981
0.6223,bel,1982
0.3198,bel,1983
2.468,bel,1984
1.622,bel,1985
1.786,bel,1986
2.219,bel,1987
4.391,bel,1988
3.094,bel,1989
2.83,bel,1990
1.455,bel,1991
1.12,bel,1992
-1.348,bel,1993
2.909,bel,1994
2.171,bel,1995
1.227,bel,1996
3.484,bel,1997
1.711,bel,1998
3.303,bel,1999
3.419,bel,2000
0.4616,bel,2001
0.9063,bel,2002
0.3856,bel,2003
2.823,bel,2004
1.174,bel,2005
2.027,bel,2006
2.147,bel,2007
0.1624,bel,2008
-3.619,bel,2009
1.332,bel,2010
1.335,blz,1961
1.21,blz,1962
1.303,blz,1963
1.585,blz,1964
1.871,blz,1965
2.018,blz,1966
2.423,blz,1967
5.092,blz,1968
3.14,blz,1969
3.081,blz,1970
2.466,blz,1971
8.883,blz,1972
4.121,blz,1973
11.99,blz,1974
1.779,blz,1975
-2.117,blz,1976
3.915,blz,1977
5.065,blz,1978
4.625,blz,1979
12.14,blz,1980
-1.34,blz,1981
-2.847,blz,1982
-4.063,blz,1983
-1.187,blz,1984
-1.498,blz,1985
1.997,blz,1986
8.169,blz,1987
6.443,blz,1988
10.99,blz,1989
7.234,blz,1990
7.649,blz,1991
9.221,blz,1992
3.166,blz,1993
-2.69,blz,1994
-1.913,blz,1995
-1.084,blz,1996
-0.05639,blz,1997
0.04369,blz,1998
6.722,blz,1999
10.01,blz,2000
1.898,blz,2001
1.968,blz,2002
5.926,blz,2003
1.326,blz,2004
-0.2203,blz,2005
1.324,blz,2006
-1.95,blz,2007
0.1785,blz,2008
-3.283,blz,2009
-0.6215,blz,2010
1.817,ben,1961
-4.752,ben,1962
3.207,ben,1963
5.022,ben,1964
3.616,ben,1965
1.861,ben,1966
-0.6597,ben,1967
1.984,ben,1968
0.9554,ben,1969
0.1043,ben,1970
-3.502,ben,1971
4.177,ben,1972
1.437,ben,1973
1.006,ben,1974
-7.106,ben,1975
-1.523,ben,1976
2.417,ben,1977
-1.276,ben,1978
3.82,ben,1979
4.012,ben,1980
7.046,ben,1981
-0.5184,ben,1982
-6.951,ben,1983
4.989,ben,1984
4.609,ben,1985
-0.5748,ben,1986
-4.135,ben,1987
0.5805,ben,1988
-5.645,ben,1989
0.05735,ben,1990
1.307,ben,1991
0.4619,ben,1992
-0.04626,ben,1993
0.8893,ben,1994
1.311,ben,1995
2.45,ben,1996
3.204,ben,1997
1.711,ben,1998
1.806,ben,1999
2.743,ben,2000
1.821,ben,2001
1.237,ben,2002
0.6084,ben,2003
-0.1473,ben,2004
-0.2781,ben,2005
0.9532,ben,2006
1.494,ben,2007
2.038,ben,2008
0.834,ben,2009
0.111,ben,2010
2.149,bmu,1961
2.004,bmu,1962
-1.261,bmu,1963
8.383,bmu,1964
2.251,bmu,1965
12.35,bmu,1966
11.1,bmu,1967
0.1787,bmu,1968
1.521,bmu,1969
4.379,bmu,1970
4.195,bmu,1971
2.564,bmu,1972
2.238,bmu,1973
1.633,bmu,1974
4.551,bmu,1975
8.529,bmu,1976
5.501,bmu,1977
1.074,bmu,1978
1.768,bmu,1979
7.544,bmu,1980
1.628,bmu,1981
-5.977,bmu,1982
1.27,bmu,1983
-0.2415,bmu,1984
-2.703,bmu,1985
4.979,bmu,1986
2.135,bmu,1987
2.461,bmu,1988
-1.073,bmu,1989
-1.469,bmu,1990
-4.325,bmu,1991
-0.05974,bmu,1992
3.009,bmu,1993
0.1073,bmu,1994
3.722,bmu,1995
2.458,bmu,1996
4.454,bmu,1997
3.755,bmu,1998
3.239,bmu,1999
9.165,bmu,2000
5.959,bmu,2001
-1.974,bmu,2002
2.999,bmu,2003
2.141,bmu,2004
1.575,bmu,2005
5.24,bmu,2006
2.61,bmu,2007
0.6192,bmu,2008
-5.122,bmu,2009
-2.203,bmu,2010
5.538,btn,1982
4.788,btn,1983
4.905,btn,1984
1.457,btn,1985
4.546,btn,1986
16.17,btn,1987
11.51,btn,1988
3.844,btn,1989
8.054,btn,1990
5.416,btn,1991
3.838,btn,1992
5.601,btn,1993
5.583,btn,1994
7.025,btn,1995
5.797,btn,1996
3.862,btn,1997
3.17,btn,1998
4.005,btn,1999
4.527,btn,2000
3.933,btn,2001
5.686,btn,2002
5.378,btn,2003
4.946,btn,2004
5.986,btn,2005
4.412,btn,2006
15.55,btn,2007
2.762,btn,2008
4.889,btn,2009
5.618,btn,2010
-0.1599,bol,1961
3.245,bol,1962
4.065,bol,1963
2.459,bol,1964
3.252,bol,1965
4.088,bol,1966
4.475,bol,1967
-14.19,bol,1968
0.6995,bol,1969
-2.838,bol,1970
2.558,bol,1971
5.371,bol,1972
3.187,bol,1973
0.4601,bol,1974
4.744,bol,1975
2.128,bol,1976
2.494,bol,1977
-0.3239,bol,1978
-2.15,bol,1979
-3.565,bol,1980
-1.894,bol,1981
-5.971,bol,1982
-6.048,bol,1983
-2.293,bol,1984
-3.764,bol,1985
-4.67,bol,1986
0.2364,bol,1987
0.6463,bol,1988
1.479,bol,1989
2.278,bol,1990
2.866,bol,1991
-0.6903,bol,1992
1.873,bol,1993
2.288,bol,1994
2.343,bol,1995
2.084,bol,1996
2.712,bol,1997
2.83,bol,1998
-1.641,bol,1999
0.4293,bol,2000
-0.349,bol,2001
0.4712,bol,2002
0.7394,bol,2003
2.237,bol,2004
2.552,bol,2005
2.995,bol,2006
2.831,bol,2007
4.438,bol,2008
1.718,bol,2009
2.495,bol,2010
25.51,bih,1995
90.47,bih,1996
32.0,bih,1997
11.79,bih,1998
5.913,bih,1999
2.865,bih,2000
2.877,bih,2001
4.533,bih,2002
3.812,bih,2003
6.138,bih,2004
5.01,bih,2005
6.184,bih,2006
6.91,bih,2007
5.556,bih,2008
-2.743,bih,2009
1.006,bih,2010
3.857,bwa,1961
4.065,bwa,1962
3.232,bwa,1963
4.023,bwa,1964
2.94,bwa,1965
3.359,bwa,1966
2.85,bwa,1967
7.262,bwa,1968
11.6,bwa,1969
13.45,bwa,1970
21.82,bwa,1971
22.27,bwa,1972
17.27,bwa,1973
5.045,bwa,1974
4.553,bwa,1975
6.522,bwa,1976
7.729,bwa,1977
9.934,bwa,1978
7.9,bwa,1979
7.87,bwa,1980
5.192,bwa,1981
8.305,bwa,1982
9.355,bwa,1983
4.975,bwa,1984
3.651,bwa,1985
4.721,bwa,1986
8.383,bwa,1987
15.79,bwa,1988
9.655,bwa,1989
3.619,bwa,1990
4.349,bwa,1991
0.01178,bwa,1992
-0.8661,bwa,1993
0.9222,bwa,1994
1.821,bwa,1995
3.078,bwa,1996
7.726,bwa,1997
8.288,bwa,1998
3.084,bwa,1999
4.094,bwa,2000
1.958,bwa,2001
7.543,bwa,2002
4.996,bwa,2003
4.801,bwa,2004
0.3726,bwa,2005
3.74,bwa,2006
3.349,bwa,2007
1.432,bwa,2008
-6.217,bwa,2009
5.866,bwa,2010
7.015,bra,1961
2.079,bra,1962
-2.117,bra,1963
0.4832,bra,1964
0.1628,bra,1965
1.333,bra,1966
2.167,bra,1967
8.591,bra,1968
7.004,bra,1969
6.109,bra,1970
8.619,bra,1971
9.404,bra,1972
11.31,bra,1973
6.503,bra,1974
2.759,bra,1975
7.233,bra,1976
2.174,bra,1977
0.835,bra,1978
4.29,bra,1979
6.587,bra,1980
-6.601,bra,1981
-1.728,bra,1982
-5.59,bra,1983
2.964,bra,1984
5.675,bra,1985
5.812,bra,1986
1.596,bra,1987
-1.955,bra,1988
1.441,bra,1989
-5.938,bra,1990
-0.1537,bra,1991
-2.035,bra,1992
3.063,bra,1993
3.74,bra,1994
2.836,bra,1995
0.5996,bra,1996
1.81,bra,1997
-1.462,bra,1998
-1.222,bra,1999
2.82,bra,2000
-0.09392,bra,2001
1.277,bra,2002
-0.1561,bra,2003
4.424,bra,2004
1.987,bra,2005
2.865,bra,2006
5.063,bra,2007
4.206,bra,2008
-1.52,bra,2009
6.553,bra,2010
-3.846,brn,1975
15.29,brn,1976
6.57,brn,1977
2.769,brn,1978
18.21,brn,1979
-10.1,brn,1980
-22.33,brn,1981
0.9061,brn,1982
-2.323,brn,1983
-2.177,brn,1984
-4.211,brn,1985
-5.409,brn,1986
-0.8138,brn,1987
-1.705,brn,1988
-3.821,brn,1989
-1.722,brn,1990
0.2698,brn,1991
1.838,brn,1992
-2.465,brn,1993
0.355,brn,1994
1.732,brn,1995
0.2564,brn,1996
-3.908,brn,1997
-2.944,brn,1998
0.6542,brn,1999
0.5279,brn,2000
0.4971,brn,2001
1.671,brn,2002
0.7837,brn,2003
-1.521,brn,2004
-1.597,brn,2005
2.37,brn,2006
-1.755,brn,2007
-3.769,brn,2008
-3.556,brn,2009
4.551,bgr,1981
2.032,bgr,1982
3.173,bgr,1983
3.155,bgr,1984
2.685,bgr,1985
4.235,bgr,1986
5.899,bgr,1987
10.82,bgr,1988
-2.152,bgr,1989
-7.463,bgr,1990
-7.534,bgr,1991
-6.271,bgr,1992
-0.6912,bgr,1993
2.164,bgr,1994
3.319,bgr,1995
-8.56,bgr,1996
-1.045,bgr,1997
5.563,bgr,1998
2.537,bgr,1999
6.249,bgr,2000
6.098,bgr,2001
6.669,bgr,2002
6.111,bgr,2003
7.33,bgr,2004
6.925,bgr,2005
7.128,bgr,2006
6.945,bgr,2007
6.707,bgr,2008
-5.023,bgr,2009
0.88,bgr,2010
2.47,bfa,1961
4.518,bfa,1962
-2.793,bfa,1963
0.6446,bfa,1964
2.023,bfa,1965
-1.233,bfa,1966
6.829,bfa,1967
1.123,bfa,1968
0.06202,bfa,1969
-1.832,bfa,1970
-0.5803,bfa,1971
0.2743,bfa,1972
-1.583,bfa,1973
6.05,bfa,1974
0.8211,bfa,1975
6.188,bfa,1976
-1.846,bfa,1977
2.25,bfa,1978
1.281,bfa,1979
-1.566,bfa,1980
1.766,bfa,1981
6.901,bfa,1982
-2.129,bfa,1983
-4.235,bfa,1984
5.771,bfa,1985
5.192,bfa,1986
-2.816,bfa,1987
3.034,bfa,1988
-0.5391,bfa,1989
-3.24,bfa,1990
6.155,bfa,1991
-2.464,bfa,1992
0.6628,bfa,1993
-1.436,bfa,1994
2.838,bfa,1995
7.985,bfa,1996
3.406,bfa,1997
4.357,bfa,1998
4.434,bfa,1999
-0.9888,bfa,2000
3.66,bfa,2001
1.748,bfa,2002
4.978,bfa,2003
1.644,bfa,2004
3.291,bfa,2005
2.447,bfa,2006
0.5781,bfa,2007
1.927,bfa,2008
0.4618,bfa,2009
6.035,bfa,2010
-15.26,bdi,1961
7.183,bdi,1962
2.339,bdi,1963
4.399,bdi,1964
2.078,bdi,1965
2.614,bdi,1966
11.57,bdi,1967
-2.205,bdi,1968
-3.124,bdi,1969
19.66,bdi,1970
1.694,bdi,1971
-7.119,bdi,1972
6.147,bdi,1973
-1.603,bdi,1974
-0.5639,bdi,1975
6.153,bdi,1976
9.232,bdi,1977
-3.246,bdi,1978
-0.9707,bdi,1979
-1.841,bdi,1980
8.809,bdi,1981
-4.166,bdi,1982
0.3611,bdi,1983
-3.1,bdi,1984
8.199,bdi,1985
0.0009815,bdi,1986
2.272,bdi,1987
1.977,bdi,1988
-1.363,bdi,1989
1.018,bdi,1990
2.753,bdi,1991
-0.9122,bdi,1992
-7.792,bdi,1993
-5.17,bdi,1994
-8.973,bdi,1995
-8.802,bdi,1996
-2.246,bdi,1997
4.043,bdi,1998
-1.958,bdi,1999
-2.267,bdi,2000
0.08829,bdi,2001
1.992,bdi,2002
-3.862,bdi,2003
1.844,bdi,2004
-2.048,bdi,2005
1.989,bdi,2006
0.4629,bdi,2007
1.4,bdi,2008
0.6187,bdi,2009
1.283,bdi,2010
5.857,khm,1994
3.516,khm,1995
2.748,khm,1996
3.168,khm,1997
2.776,khm,1998
9.728,khm,1999
6.822,khm,2000
6.274,khm,2001
5.097,khm,2002
7.015,khm,2003
8.921,khm,2004
11.86,khm,2005
9.474,khm,2006
8.971,khm,2007
5.512,khm,2008
-1.025,khm,2009
4.756,khm,2010
-0.9478,cmr,1961
0.8113,cmr,1962
1.443,cmr,1963
1.205,cmr,1964
-0.3228,cmr,1965
2.164,cmr,1966
-13.04,cmr,1967
3.76,cmr,1968
2.301,cmr,1969
0.4864,cmr,1970
0.8219,cmr,1971
-0.005373,cmr,1972
2.547,cmr,1973
7.699,cmr,1974
8.103,cmr,1975
-8.246,cmr,1976
10.35,cmr,1977
18.34,cmr,1978
2.87,cmr,1979
-4.843,cmr,1980
13.72,cmr,1981
4.481,cmr,1982
3.872,cmr,1983
4.443,cmr,1984
4.973,cmr,1985
3.676,cmr,1986
-5.003,cmr,1987
-10.51,cmr,1988
-4.653,cmr,1989
-8.769,cmr,1990
-6.489,cmr,1991
-5.752,cmr,1992
-5.789,cmr,1993
-5.034,cmr,1994
0.7017,cmr,1995
2.449,cmr,1996
2.626,cmr,1997
2.624,cmr,1998
2.024,cmr,1999
1.846,cmr,2000
2.159,cmr,2001
1.674,cmr,2002
1.705,cmr,2003
1.395,cmr,2004
0.03364,cmr,2005
0.9516,cmr,2006
1.235,cmr,2007
0.6578,cmr,2008
-0.2142,cmr,2009
0.9675,cmr,2010
1.119,can,1961
5.143,can,1962
3.241,can,1963
4.706,can,1964
4.724,can,1965
4.618,can,1966
1.08,can,1967
3.61,can,1968
3.838,can,1969
1.159,can,1970
2.571,can,1971
3.777,can,1972
5.167,can,1973
1.848,can,1974
-0.08508,can,1975
3.817,can,1976
2.25,can,1977
2.916,can,1978
2.774,can,1979
0.8499,can,1980
2.227,can,1981
-4.023,can,1982
1.693,can,1983
4.802,can,1984
3.811,can,1985
1.397,can,1986
2.895,can,1987
3.628,can,1988
0.8053,can,1989
-1.292,can,1990
-3.415,can,1991
-0.3554,can,1992
1.225,can,1993
3.802,can,1994
1.961,can,1995
0.5301,can,1996
3.13,can,1997
3.2,can,1998
4.662,can,1999
4.308,can,2000
0.7614,can,2001
2.005,can,2002
0.8711,can,2003
2.092,can,2004
2.008,can,2005
1.99,can,2006
1.102,can,2007
-0.4879,can,2008
-3.953,can,2009
2.016,can,2010
3.522,cpv,1982
8.278,cpv,1983
7.943,cpv,1984
5.955,cpv,1985
1.177,cpv,1986
1.644,cpv,1987
5.093,cpv,1988
4.53,cpv,1989
-0.8924,cpv,1990
-0.723,cpv,1991
0.6927,cpv,1992
4.175,cpv,1993
4.075,cpv,1994
4.816,cpv,1995
1.63,cpv,1996
3.172,cpv,1997
5.281,cpv,1998
6.557,cpv,1999
14.72,cpv,2000
4.264,cpv,2001
3.505,cpv,2002
3.024,cpv,2003
2.771,cpv,2004
5.147,cpv,2005
8.902,cpv,2006
7.579,cpv,2007
5.25,cpv,2008
2.671,cpv,2009
4.479,cpv,2010
0.7395,cym,1994
3.188,caf,1961
-5.41,caf,1962
-2.53,caf,1963
0.1386,caf,1964
-1.031,caf,1965
-1.391,caf,1966
2.503,caf,1967
-0.7159,caf,1968
4.887,caf,1969
0.287,caf,1970
-0.8252,caf,1971
-1.893,caf,1972
-0.04061,caf,1973
4.263,caf,1974
-1.654,caf,1975
