geo,aged_15plus_employment_rate_percent,time
aus,55.9,1993
aus,56.9,1994
aus,58.4,1995
aus,58.2,1996
aus,57.9,1997
aus,58.3,1998
aus,58.7,1999
aus,59.4,2000
aus,59.2,2001
aus,59.5,2002
aus,59.9,2003
aus,60.1,2004
aus,61.2,2005
aus,61.6,2006
aus,61.5,2007
aut,54.2,1991
aut,54.9,1992
aut,54.7,1993
aut,56.4,1994
aut,56.7,1995
aut,55.8,1996
aut,55.8,1997
aut,55.6,1998
aut,56.0,1999
aut,56.1,2000
aut,56.1,2001
aut,56.5,2002
aut,56.7,2003
aut,55.7,2004
aut,56.2,2005
aut,57.1,2006
aut,57.1,2007
aze,56.9,1991
aze,56.8,1992
aze,56.6,1993
aze,56.2,1994
aze,55.4,1995
aze,55.8,1996
aze,56.6,1997
aze,56.7,1998
aze,57.0,1999
aze,57.4,2000
aze,57.5,2001
aze,57.5,2002
aze,57.9,2003
aze,59.4,2004
aze,59.0,2005
aze,59.3,2006
aze,60.9,2007
bhs,63.0,1991
bhs,61.3,1992
bhs,62.8,1993
bhs,62.7,1994
bhs,64.5,1995
bhs,64.1,1996
bhs,65.2,1997
bhs,66.6,1998
bhs,66.7,1999
bhs,67.0,2000
bhs,67.1,2001
bhs,65.6,2002
bhs,64.4,2003
bhs,64.9,2004
bhs,65.0,2005
bhs,66.9,2006
bhs,66.6,2007
bhr,61.2,1991
bhr,61.4,1992
bhr,61.5,1993
bhr,61.8,1994
bhr,61.9,1995
bhr,61.9,1996
bhr,61.6,1997
bhr,61.6,1998
bhr,61.6,1999
bhr,61.6,2000
bhr,61.7,2001
bhr,61.5,2002
bhr,61.4,2003
bhr,61.2,2004
bhr,61.0,2005
bhr,60.6,2006
bhr,60.4,2007
bgd,74.5,1991
bgd,72.5,1992
bgd,73.0,1993
bgd,71.8,1994
bgd,70.5,1995
bgd,70.4,1996
bgd,69.9,1997
bgd,69.9,1998
bgd,69.3,1999
bgd,68.9,2000
bgd,68.9,2001
bgd,68.9,2002
bgd,68.5,2003
bgd,68.3,2004
bgd,68.6,2005
bgd,68.6,2006
bgd,68.1,2007
brb,56.9,1991
brb,53.7,1992
brb,52.5,1993
brb,54.9,1994
brb,58.0,1995
brb,61.2,1996
brb,61.4,1997
brb,63.1,1998
brb,64.4,1999
brb,65.3,2000
brb,65.0,2001
brb,64.6,2002
brb,64.1,2003
brb,65.6,2004
brb,66.1,2005
brb,66.4,2006
brb,66.9,2007
blr,59.2,1991
blr,58.3,1992
blr,57.4,1993
blr,56.6,1994
blr,55.7,1995
blr,55.2,1996
blr,55.1,1997
blr,54.0,1998
blr,52.8,1999
blr,53.0,2000
blr,53.0,2001
blr,53.1,2002
blr,53.3,2003
blr,53.6,2004
blr,53.7,2005
blr,53.7,2006
blr,53.4,2007
bel,45.7,1991
bel,46.1,1992
bel,45.5,1993
bel,45.3,1994
bel,45.6,1995
bel,45.5,1996
bel,45.8,1997
bel,45.9,1998
bel,47.3,1999
bel,48.7,2000
bel,47.6,2001
bel,47.5,2002
bel,47.2,2003
bel,48.1,2004
bel,48.5,2005
bel,48.2,2006
bel,48.6,2007
blz,47.6,1991
blz,49.2,1992
blz,51.3,1993
blz,52.3,1994
blz,51.7,1995
blz,51.1,1996
blz,52.1,1997
blz,51.5,1998
blz,52.7,1999
blz,54.2,2000
blz,55.8,2001
blz,55.6,2002
blz,55.9,2003
blz,56.1,2004
blz,56.1,2005
blz,57.5,2006
blz,56.8,2007
ben,70.6,1991
ben,72.1,1992
ben,72.3,1993
ben,72.5,1994
ben,72.6,1995
ben,72.6,1996
ben,72.5,1997
ben,72.3,1998
ben,72.2,1999
ben,72.1,2000
ben,72.0,2001
ben,72.0,2002
ben,71.9,2003
ben,71.8,2004
ben,71.7,2005
ben,71.6,2006
ben,71.6,2007
btn,53.7,1991
btn,52.5,1992
btn,52.0,1993
btn,51.0,1994
btn,50.3,1995
btn,50.2,1996
btn,50.1,1997
btn,50.2,1998
btn,50.4,1999
btn,51.4,2000
btn,52.7,2001
btn,53.6,2002
btn,55.9,2003
btn,57.4,2004
btn,59.1,2005
btn,59.6,2006
btn,58.4,2007
bol,61.5,1991
bol,61.0,1992
bol,61.0,1993
bol,60.9,1994
bol,60.7,1995
bol,61.8,1996
bol,67.6,1997
bol,67.7,1998
bol,67.7,1999
bol,67.3,2000
bol,67.3,2001
bol,67.8,2002
bol,68.3,2003
bol,68.9,2004
bol,69.4,2005
bol,70.1,2006
bol,70.4,2007
bih,51.6,1991
bih,50.1,1992
bih,48.0,1993
bih,47.6,1994
bih,47.7,1995
bih,47.9,1996
bih,47.0,1997
bih,46.1,1998
bih,45.3,1999
bih,44.4,2000
bih,45.1,2001
bih,44.2,2002
bih,44.7,2003
bih,43.1,2004
bih,44.2,2005
bih,41.1,2006
bih,41.2,2007
bwa,48.9,1991
bwa,48.0,1992
bwa,47.0,1993
bwa,45.3,1994
bwa,44.0,1995
bwa,42.8,1996
bwa,45.7,1997
bwa,48.2,1998
bwa,48.9,1999
bwa,49.5,2000
bwa,45.7,2001
bwa,44.0,2002
bwa,42.4,2003
bwa,40.2,2004
bwa,37.8,2005
bwa,45.5,2006
bwa,46.0,2007
bra,56.1,1991
bra,59.5,1992
bra,60.1,1993
bra,60.6,1994
bra,61.1,1995
bra,60.4,1996
bra,60.7,1997
bra,60.5,1998
bra,60.7,1999
bra,61.2,2000
bra,61.5,2001
bra,62.4,2002
bra,62.0,2003
bra,63.3,2004
bra,63.2,2005
bra,64.0,2006
bra,64.5,2007
brn,62.6,1991
brn,62.8,1992
brn,62.9,1993
brn,63.1,1994
brn,63.3,1995
brn,63.5,1996
brn,63.7,1997
brn,64.0,1998
brn,64.3,1999
brn,64.4,2000
brn,64.6,2001
brn,64.5,2002
brn,64.3,2003
brn,64.2,2004
brn,64.1,2005
brn,64.1,2006
brn,63.8,2007
bgr,46.4,1991
bgr,48.9,1992
bgr,44.3,1993
bgr,44.2,1994
bgr,45.6,1995
bgr,45.7,1996
bgr,44.6,1997
bgr,44.2,1998
bgr,42.0,1999
bgr,39.3,2000
bgr,41.1,2001
bgr,41.8,2002
bgr,42.9,2003
bgr,44.3,2004
bgr,45.4,2005
bgr,47.8,2006
bgr,47.3,2007
bfa,80.7,1991
bfa,80.7,1992
bfa,80.7,1993
bfa,80.8,1994
bfa,80.9,1995
bfa,81.0,1996
bfa,81.0,1997
bfa,81.1,1998
bfa,81.1,1999
bfa,81.1,2000
bfa,81.2,2001
bfa,81.2,2002
bfa,81.2,2003
bfa,81.2,2004
bfa,81.2,2005
bfa,81.2,2006
bfa,81.3,2007
bdi,84.2,1991
bdi,84.3,1992
bdi,84.5,1993
bdi,84.7,1994
bdi,84.8,1995
bdi,84.8,1996
bdi,84.9,1997
bdi,84.8,1998
bdi,84.7,1999
bdi,84.5,2000
bdi,84.3,2001
bdi,84.0,2002
bdi,83.6,2003
bdi,83.4,2004
bdi,83.2,2005
bdi,83.2,2006
bdi,83.2,2007
khm,78.0,1991
khm,78.0,1992
khm,78.3,1993
khm,78.4,1994
khm,77.6,1995
khm,76.6,1996
khm,76.4,1997
khm,77.3,1998
khm,77.4,1999
khm,77.6,2000
khm,79.8,2001
khm,79.6,2002
khm,79.3,2003
khm,79.1,2004
khm,78.9,2005
khm,78.4,2006
khm,78.9,2007
cmr,59.4,1991
cmr,59.3,1992
cmr,59.2,1993
cmr,59.1,1994
cmr,59.0,1995
cmr,59.9,1996
cmr,60.0,1997
cmr,60.1,1998
cmr,60.1,1999
cmr,60.2,2000
cmr,60.1,2001
cmr,60.0,2002
cmr,59.9,2003
cmr,59.9,2004
cmr,59.8,2005
cmr,59.7,2006
cmr,59.1,2007
can,59.4,1991
can,58.0,1992
can,57.6,1993
can,58.0,1994
can,58.3,1995
can,58.0,1996
can,58.5,1997
can,59.3,1998
can,60.2,1999
can,60.8,2000
can,60.7,2001
can,61.3,2002
can,62.0,2003
can,62.2,2004
can,62.2,2005
can,62.5,2006
can,63.5,2007
cpv,56.5,1991
cpv,56.6,1992
cpv,56.8,1993
cpv,56.7,1994
cpv,56.7,1995
cpv,56.5,1996
cpv,56.3,1997
cpv,56.1,1998
cpv,55.9,1999
cpv,55.7,2000
cpv,55.5,2001
cpv,55.3,2002
cpv,55.3,2003
cpv,55.3,2004
cpv,55.4,2005
cpv,55.5,2006
cpv,55.9,2007
caf,72.4,1991
caf,72.3,1992
caf,72.2,1993
caf,72.1,1994
caf,72.1,1995
caf,71.9,1996
caf,72.0,1997
caf,71.9,1998
caf,71.9,1999
caf,71.8,2000
caf,71.8,2001
caf,71.7,2002
caf,71.5,2003
caf,71.5,2004
caf,71.4,2005
caf,71.3,2006
caf,71.3,2007
tcd,66.0,1991
tcd,66.7,1992
tcd,67.4,1993
tcd,67.7,1994
tcd,67.5,1995
tcd,67.5,1996
tcd,67.6,1997
tcd,67.6,1998
tcd,67.4,1999
tcd,67.3,2000
tcd,67.6,2001
tcd,67.8,2002
tcd,68.6,2003
tcd,69.2,2004
tcd,69.2,2005
tcd,69.0,2006
tcd,68.9,2007
chl,51.2,1991
chl,52.9,1992
chl,54.1,1993
chl,53.3,1994
chl,53.0,1995
chl,52.4,1996
chl,52.7,1997
chl,52.0,1998
chl,51.0,1999
chl,50.1,2000
chl,50.2,2001
chl,49.9,2002
chl,50.4,2003
chl,51.5,2004
chl,51.4,2005
chl,52.6,2006
chl,51.0,2007
chn,76.1,1991
chn,76.6,1992
chn,76.6,1993
chn,76.5,1994
chn,76.2,1995
chn,76.0,1996
chn,75.8,1997
chn,75.5,1998
chn,75.2,1999
chn,75.0,2000
chn,74.7,2001
chn,74.3,2002
chn,73.9,2003
chn,73.5,2004
chn,73.1,2005
chn,72.9,2006
chn,72.8,2007
col,52.4,1991
col,53.8,1992
col,55.4,1993
col,54.6,1994
col,54.9,1995
col,54.1,1996
col,54.4,1997
col,54.8,1998
col,57.0,1999
col,57.3,2000
col,58.4,2001
col,58.1,2002
col,59.5,2003
col,60.2,2004
col,61.8,2005
col,61.5,2006
col,63.2,2007
com,69.3,1991
com,69.3,1992
com,69.1,1993
com,68.8,1994
com,68.7,1995
com,68.3,1996
com,68.1,1997
com,67.8,1998
com,67.6,1999
com,67.5,2000
com,67.5,2001
com,67.5,2002
com,67.6,2003
com,67.7,2004
com,67.8,2005
com,67.9,2006
com,68.0,2007
cog,64.7,1991
cog,64.6,1992
cog,64.4,1993
cog,64.2,1994
cog,64.5,1995
cog,64.4,1996
cog,64.1,1997
cog,64.0,1998
cog,64.0,1999
cog,64.1,2000
cog,64.1,2001
cog,64.1,2002
cog,64.1,2003
cog,64.2,2004
cog,64.3,2005
cog,64.3,2006
cog,64.2,2007
cod,67.0,1991
cod,66.7,1992
cod,66.5,1993
cod,66.6,1994
cod,66.6,1995
cod,66.4,1996
cod,66.2,1997
cod,66.2,1998
cod,66.1,1999
cod,65.9,2000
cod,65.9,2001
cod,66.0,2002
cod,66.0,2003
cod,66.2,2004
cod,66.3,2005
cod,66.4,2006
cod,66.2,2007
cri,56.9,1991
cri,58.0,1992
cri,58.8,1993
cri,58.8,1994
cri,58.8,1995
cri,56.9,1996
cri,57.9,1997
cri,59.1,1998
cri,59.0,1999
cri,58.6,2000
cri,58.3,2001
cri,57.8,2002
cri,57.4,2003
cri,56.5,2004
cri,57.1,2005
cri,57.9,2006
cri,58.6,2007
civ,62.4,1991
civ,62.0,1992
civ,62.3,1993
civ,62.5,1994
civ,63.0,1995
civ,62.7,1996
civ,62.4,1997
civ,62.0,1998
civ,61.6,1999
civ,61.2,2000
civ,60.9,2001
civ,60.7,2002
civ,60.5,2003
civ,60.3,2004
civ,60.1,2005
civ,60.0,2006
civ,59.9,2007
hrv,46.0,1991
hrv,45.5,1992
hrv,45.0,1993
hrv,50.1,1994
hrv,49.7,1995
hrv,49.5,1996
hrv,49.2,1997
hrv,48.3,1998
hrv,46.7,1999
hrv,45.0,2000
hrv,42.2,2001
hrv,45.0,2002
hrv,45.4,2003
hrv,45.6,2004
hrv,45.9,2005
hrv,46.5,2006
hrv,47.1,2007
cub,53.0,1991
cub,53.1,1992
cub,54.1,1993
cub,54.5,1994
cub,52.4,1995
cub,53.1,1996
cub,53.7,1997
cub,54.3,1998
cub,54.3,1999
cub,54.8,2000
cub,55.4,2001
cub,55.7,2002
cub,56.1,2003
cub,56.0,2004
cub,56.0,2005
cub,56.1,2006
cub,56.0,2007
cyp,61.4,1991
cyp,59.3,1992
cyp,59.6,1993
cyp,59.9,1994
cyp,59.8,1995
cyp,59.4,1996
cyp,59.7,1997
cyp,58.7,1998
cyp,57.8,1999
cyp,58.0,2000
cyp,59.6,2001
cyp,58.8,2002
cyp,59.2,2003
cyp,58.8,2004
cyp,58.2,2005
cyp,58.6,2006
cyp,59.1,2007
cze,57.7,1991
cze,57.8,1992
cze,58.9,1993
cze,59.1,1994
cze,59.1,1995
cze,58.8,1996
cze,58.1,1997
cze,57.0,1998
cze,55.6,1999
cze,55.1,2000
cze,55.1,2001
cze,55.5,2002
cze,54.9,2003
cze,54.3,2004
cze,54.7,2005
cze,55.0,2006
cze,56.0,2007
dnk,61.9,1991
dnk,61.8,1992
dnk,60.1,1993
dnk,59.3,1994
dnk,60.7,1995
dnk,60.9,1996
dnk,62.3,1997
dnk,62.2,1998
dnk,62.8,1999
dnk,62.8,2000
dnk,62.7,2001
dnk,63.3,2002
dnk,62.0,2003
dnk,62.6,2004
dnk,62.3,2005
dnk,63.4,2006
dnk,63.1,2007
dom,43.6,1991
dom,43.2,1992
dom,43.6,1993
dom,46.3,1994
dom,47.4,1995
dom,47.7,1996
dom,49.2,1997
dom,50.8,1998
dom,52.0,1999
dom,52.6,2000
dom,52.9,2001
dom,55.1,2002
dom,53.3,2003
dom,52.1,2004
dom,52.6,2005
dom,53.4,2006
dom,52.7,2007
tls,63.9,1991
tls,64.0,1992
tls,64.1,1993
tls,64.3,1994
tls,64.5,1995
tls,64.6,1996
tls,64.7,1997
tls,64.7,1998
tls,64.8,1999
tls,65.0,2000
tls,65.2,2001
tls,65.5,2002
tls,65.8,2003
tls,66.0,2004
tls,66.1,2005
tls,66.1,2006
tls,67.3,2007
ecu,51.8,1991
ecu,52.6,1992
ecu,53.2,1993
ecu,53.7,1994
ecu,54.3,1995
ecu,54.9,1996
ecu,55.4,1997
ecu,55.9,1998
ecu,56.5,1999
ecu,56.9,2000
ecu,57.1,2001
ecu,57.6,2002
ecu,58.1,2003
ecu,58.9,2004
ecu,59.3,2005
ecu,59.7,2006
ecu,59.7,2007
egy,42.7,1991
egy,42.6,1992
egy,42.1,1993
egy,42.2,1994
egy,41.9,1995
egy,42.5,1996
egy,42.3,1997
egy,42.0,1998
egy,43.1,1999
egy,42.3,2000
egy,41.5,2001
egy,41.7,2002
egy,41.8,2003
egy,41.7,2004
egy,41.6,2005
egy,41.9,2006
egy,42.4,2007
slv,58.8,1991
slv,57.3,1992
slv,55.6,1993
slv,57.7,1994
slv,57.2,1995
slv,55.8,1996
slv,55.6,1997
slv,57.7,1998
slv,57.9,1999
slv,57.5,2000
slv,57.2,2001
slv,57.3,2002
slv,58.4,2003
slv,57.5,2004
slv,57.7,2005
slv,58.0,2006
slv,58.2,2007
gnq,60.9,1991
gnq,61.3,1992
gnq,61.1,1993
gnq,61.3,1994
gnq,61.3,1995
gnq,62.0,1996
gnq,62.8,1997
gnq,61.9,1998
gnq,62.4,1999
gnq,62.5,2000
gnq,63.0,2001
gnq,62.6,2002
gnq,62.6,2003
gnq,62.9,2004
gnq,62.6,2005
gnq,62.5,2006
gnq,61.7,2007
eri,65.1,1991
eri,64.9,1992
eri,65.1,1993
eri,65.3,1994
eri,65.0,1995
eri,65.1,1996
eri,65.1,1997
eri,65.1,1998
eri,65.1,1999
eri,64.8,2000
eri,65.0,2001
eri,64.9,2002
eri,64.8,2003
eri,64.9,2004
eri,65.0,2005
eri,65.0,2006
eri,64.9,2007
est,62.8,1991
est,61.5,1992
est,59.4,1993
est,58.3,1994
est,56.6,1995
est,55.5,1996
est,54.9,1997
est,54.9,1998
est,52.8,1999
est,52.2,2000
est,52.1,2001
est,52.9,2002
est,53.5,2003
est,52.6,2004
est,54.6,2005
est,55.2,2006
est,56.5,2007
eth,71.9,1991
eth,72.4,1992
eth,73.8,1993
eth,75.7,1994
eth,73.1,1995
eth,76.2,1996
eth,77.6,1997
eth,76.8,1998
eth,74.3,1999
eth,75.2,2000
eth,76.3,2001
eth,77.1,2002
eth,78.0,2003
eth,78.7,2004
eth,80.2,2005
eth,80.1,2006
eth,80.7,2007
fji,53.7,1991
fji,54.4,1992
fji,54.6,1993
fji,55.1,1994
fji,55.7,1995
fji,55.9,1996
fji,55.9,1997
fji,56.3,1998
fji,55.8,1999
fji,55.9,2000
fji,55.9,2001
fji,55.7,2002
fji,56.4,2003
fji,56.5,2004
fji,56.5,2005
fji,56.5,2006
fji,56.4,2007
fin,59.1,1991
fin,54.5,1992
fin,50.9,1993
fin,50.2,1994
fin,51.0,1995
fin,51.4,1996
fin,52.2,1997
fin,53.2,1998
fin,54.7,1999
fin,55.4,2000
fin,56.0,2001
fin,56.0,2002
fin,55.4,2003
fin,55.1,2004
fin,55.8,2005
fin,56.6,2006
fin,57.2,2007
fra,49.5,1991
fra,49.0,1992
fra,48.3,1993
fra,47.5,1994
fra,48.0,1995
fra,48.0,1996
fra,47.6,1997
fra,48.0,1998
fra,48.2,1999
fra,49.2,2000
fra,49.9,2001
fra,50.1,2002
fra,51.1,2003
fra,50.9,2004
fra,50.7,2005
fra,50.7,2006
fra,51.2,2007
gab,58.3,1991
gab,58.1,1992
gab,60.0,1993
gab,60.0,1994
gab,60.0,1995
gab,59.9,1996
gab,59.9,1997
gab,59.8,1998
gab,59.2,1999
gab,59.4,2000
gab,59.4,2001
gab,59.2,2002
gab,59.2,2003
gab,59.0,2004
gab,58.9,2005
gab,58.8,2006
gab,59.0,2007
gmb,72.4,1991
gmb,72.4,1992
gmb,72.4,1993
gmb,72.3,1994
gmb,72.2,1995
gmb,72.2,1996
gmb,72.2,1997
gmb,72.1,1998
gmb,72.1,1999
gmb,72.0,2000
gmb,72.0,2001
gmb,71.8,2002
gmb,71.9,2003
gmb,71.8,2004
gmb,71.7,2005
gmb,71.6,2006
gmb,71.7,2007
geo,58.3,1991
geo,57.3,1992
geo,55.8,1993
geo,55.4,1994
geo,56.0,1995
geo,57.2,1996
geo,57.5,1997
geo,56.2,1998
geo,56.8,1999
geo,56.8,2000
geo,58.7,2001
geo,55.8,2002
geo,57.7,2003
geo,55.8,2004
geo,54.9,2005
geo,55.1,2006
geo,55.6,2007
deu,56.2,1991
deu,55.0,1992
deu,54.0,1993
deu,53.4,1994
deu,53.4,1995
deu,53.1,1996
deu,52.7,1997
deu,53.4,1998
deu,53.6,1999
deu,53.7,2000
deu,53.6,2001
deu,52.9,2002
deu,52.0,2003
deu,51.9,2004
deu,51.9,2005
deu,52.8,2006
deu,53.5,2007
gha,68.6,1991
gha,69.8,1992
gha,68.2,1993
gha,67.6,1994
gha,66.8,1995
gha,67.9,1996
gha,67.4,1997
gha,68.7,1998
gha,67.6,1999
gha,66.6,2000
gha,66.4,2001
gha,66.1,2002
gha,65.8,2003
gha,65.5,2004
gha,65.3,2005
gha,65.0,2006
gha,65.1,2007
grc,45.8,1991
grc,46.3,1992
grc,45.8,1993
grc,46.2,1994
grc,46.5,1995
grc,46.8,1996
grc,46.6,1997
grc,46.7,1998
grc,46.3,1999
grc,46.5,2000
grc,46.2,2001
grc,46.9,2002
grc,47.6,2003
grc,48.1,2004
grc,48.3,2005
grc,49.0,2006
grc,49.6,2007
glp,44.5,1991
glp,45.9,1992
glp,45.0,1993
glp,45.6,1994
glp,45.1,1995
glp,43.2,1996
glp,43.0,1997
glp,42.1,1998
glp,42.5,1999
glp,45.1,2000
glp,43.9,2001
glp,45.1,2002
glp,44.3,2003
glp,45.5,2004
glp,44.6,2005
glp,43.8,2006
glp,43.1,2007
gtm,55.8,1991
gtm,55.3,1992
gtm,54.3,1993
gtm,53.2,1994
gtm,51.8,1995
gtm,50.8,1996
gtm,48.9,1997
gtm,47.5,1998
gtm,46.2,1999
gtm,49.7,2000
gtm,53.0,2001
gtm,55.1,2002
gtm,58.4,2003
gtm,61.2,2004
gtm,61.8,2005
gtm,62.3,2006
gtm,62.7,2007
gin,82.3,1991
gin,82.4,1992
gin,82.4,1993
gin,82.4,1994
gin,82.4,1995
gin,82.4,1996
gin,82.3,1997
gin,82.2,1998
gin,82.2,1999
gin,82.1,2000
gin,82.0,2001
gin,82.0,2002
gin,81.9,2003
gin,81.8,2004
gin,81.7,2005
gin,81.6,2006
gin,81.5,2007
gnb,65.9,1991
gnb,65.9,1992
gnb,65.9,1993
gnb,66.0,1994
gnb,66.1,1995
gnb,66.3,1996
gnb,66.4,1997
gnb,65.7,1998
gnb,66.2,1999
gnb,66.3,2000
gnb,66.2,2001
gnb,66.0,2002
gnb,66.1,2003
gnb,66.1,2004
gnb,66.2,2005
gnb,66.2,2006
gnb,65.9,2007
guy,51.7,1991
guy,51.7,1992
guy,52.1,1993
guy,52.7,1994
guy,53.2,1995
guy,53.8,1996
guy,54.6,1997
guy,54.9,1998
guy,55.2,1999
guy,55.7,2000
guy,56.8,2001
guy,55.6,2002
guy,56.1,2003
guy,56.9,2004
guy,57.3,2005
guy,58.9,2006
guy,58.9,2007
hti,56.0,1991
hti,53.3,1992
hti,52.2,1993
hti,49.1,1994
hti,53.5,1995
hti,52.6,1996
hti,55.0,1997
hti,55.0,1998
hti,55.9,1999
hti,55.4,2000
hti,54.8,2001
hti,54.8,2002
hti,54.9,2003
hti,53.7,2004
hti,55.1,2005
hti,55.4,2006
hti,55.9,2007
hnd,59.1,1991
hnd,60.8,1992
hnd,61.3,1993
hnd,61.8,1994
hnd,62.1,1995
hnd,62.7,1996
hnd,63.8,1997
hnd,63.7,1998
hnd,64.6,1999
hnd,63.1,2000
hnd,61.4,2001
hnd,60.3,2002
hnd,58.4,2003
hnd,56.7,2004
hnd,56.6,2005
hnd,57.1,2006
hnd,56.3,2007
hkg,62.6,1991
hkg,61.5,1992
hkg,60.8,1993
hkg,60.4,1994
hkg,59.6,1995
hkg,59.6,1996
hkg,59.7,1997
hkg,58.2,1998
hkg,57.2,1999
hkg,57.9,2000
hkg,57.9,2001
hkg,57.0,2002
hkg,56.4,2003
hkg,57.2,2004
hkg,57.7,2005
hkg,58.3,2006
hkg,59.0,2007
hun,49.6,1991
hun,49.4,1992
hun,46.2,1993
hun,45.2,1994
hun,44.5,1995
hun,44.1,1996
hun,43.9,1997
hun,44.5,1998
hun,46.0,1999
hun,46.6,2000
hun,46.7,2001
hun,46.7,2002
hun,47.4,2003
hun,47.2,2004
hun,47.1,2005
hun,47.3,2006
hun,47.3,2007
isl,72.4,1991
isl,71.7,1992
isl,70.3,1993
isl,70.3,1994
isl,72.0,1995
isl,71.9,1996
isl,71.3,1997
isl,73.3,1998
isl,74.7,1999
isl,74.7,2000
isl,74.7,2001
isl,73.1,2002
isl,73.8,2003
isl,72.6,2004
isl,74.0,2005
isl,74.6,2006
isl,73.6,2007
ind,59.0,1991
ind,59.3,1992
ind,58.8,1993
ind,58.4,1994
ind,59.1,1995
ind,58.9,1996
ind,58.4,1997
ind,57.6,1998
ind,57.2,1999
ind,56.8,2000
ind,57.2,2001
ind,57.6,2002
ind,56.6,2003
ind,55.9,2004
ind,55.8,2005
ind,55.7,2006
ind,55.4,2007
idn,63.2,1991
idn,63.4,1992
idn,63.1,1993
idn,62.4,1994
idn,62.0,1995
idn,63.4,1996
idn,63.1,1997
idn,61.7,1998
idn,63.5,1999
idn,63.4,2000
idn,61.8,2001
idn,61.0,2002
idn,60.8,2003
idn,60.8,2004
idn,60.7,2005
idn,59.7,2006
idn,61.5,2007
irn,46.0,1991
irn,45.7,1992
irn,45.3,1993
irn,45.2,1994
irn,45.0,1995
irn,44.8,1996
irn,44.8,1997
irn,44.8,1998
irn,44.9,1999
irn,45.1,2000
irn,44.7,2001
irn,45.0,2002
irn,46.0,2003
irn,46.9,2004
irn,46.6,2005
irn,47.1,2006
irn,47.8,2007
irq,35.1,1991
irq,35.2,1992
irq,35.1,1993
irq,35.0,1994
irq,35.0,1995
irq,35.1,1996
irq,35.2,1997
irq,35.2,1998
irq,35.1,1999
irq,35.2,2000
irq,35.1,2001
irq,35.0,2002
irq,30.3,2003
irq,37.6,2004
irq,37.5,2005
irq,37.3,2006
irq,37.4,2007
irl,44.6,1991
irl,44.4,1992
irl,44.4,1993
irl,45.0,1994
irl,47.1,1995
irl,48.0,1996
irl,49.3,1997
irl,52.3,1998
irl,54.8,1999
irl,56.5,2000
irl,57.0,2001
irl,57.0,2002
irl,57.0,2003
irl,57.4,2004
irl,58.8,2005
irl,59.7,2006
irl,59.9,2007
isr,46.2,1991
isr,46.2,1992
isr,47.6,1993
isr,49.4,1994
isr,49.9,1995
isr,50.1,1996
isr,49.4,1997
isr,49.2,1998
isr,49.3,1999
isr,49.7,2000
isr,49.4,2001
isr,48.7,2002
isr,48.8,2003
isr,49.4,2004
isr,50.4,2005
isr,51.1,2006
isr,51.3,2007
ita,44.5,1991
ita,44.3,1992
ita,43.4,1993
ita,42.5,1994
ita,42.0,1995
ita,42.0,1996
ita,41.9,1997
ita,42.2,1998
ita,42.6,1999
ita,43.1,2000
ita,43.8,2001
ita,44.2,2002
ita,44.6,2003
ita,45.3,2004
ita,45.1,2005
ita,45.6,2006
ita,46.4,2007
jam,61.5,1991
jam,61.4,1992
jam,61.0,1993
jam,61.7,1994
jam,60.5,1995
jam,60.1,1996
jam,58.9,1997
jam,59.2,1998
