geo,time,income_share_of_richest_10percent
slv,1998,39.49
slv,2000,38.65
slv,2002,38.71
slv,2003,36.47
slv,2005,37.01
est,1988,18.41
est,1993,31.35
est,1995,22.76
est,1998,29.33
est,2000,28.39
est,2002,28.16
est,2004,27.73
eth,1982,27.52
eth,1995,33.84
eth,2000,25.43
eth,2005,25.55
fin,2000,22.57
fra,1995,25.09
gab,2005,32.7
gmb,1998,38.18
gmb,2003,36.94
geo,1996,27.93
geo,1999,28.42
geo,2002,30.55
geo,2005,30.6
deu,2000,22.07
gha,1988,27.34
gha,1989,28.14
gha,1992,29.99
gha,1998,30.07
gha,2006,32.75
grc,2000,26.04
gtm,1987,46.73
gtm,1989,46.78
gtm,1998,44.83
gtm,2000,44.49
gtm,2002,43.23
gtm,2006,42.41
gin,1991,32.42
gin,1994,31.92
gin,2003,34.36
gnb,1991,42.35
gnb,1993,39.24
gnb,2002,27.96
guy,1993,42.54
guy,1998,33.97
hti,2001,47.83
hnd,1990,45.47
hnd,1992,41.95
hnd,1994,43.41
hnd,1997,41.45
hnd,1999,39.32
hnd,2003,42.32
hnd,2005,43.85
hnd,2006,42.19
hkg,1996,34.92
hun,1987,19.0
hun,1989,21.45
hun,1993,24.19
hun,1998,20.76
hun,1999,23.38
hun,2002,22.18
hun,2004,24.14
ind,2005,31.13
idn,2005,32.32
irn,1986,36.87
irn,1990,33.56
irn,1994,33.35
irn,1998,33.83
irn,2005,29.55
irl,2000,27.23
isr,2001,28.8
ita,2000,26.8
jam,1988,33.58
jam,1990,32.62
jam,1993,27.19
jam,1996,32.4
jam,1999,34.71
jam,2002,37.85
jam,2004,35.61
jpn,1993,21.69
jor,1987,28.17
jor,1992,34.93
jor,1997,29.53
jor,2003,30.39
jor,2006,30.68
kaz,1988,20.57
kaz,1993,24.94
kaz,1996,26.24
kaz,2001,24.18
kaz,2002,26.81
kaz,2003,25.85
ken,1992,47.87
ken,1994,32.76
ken,1997,33.83
ken,2005,37.77
kor,1998,22.45
kgz,1988,21.26
kgz,1993,40.26
kgz,1998,27.9
kgz,1999,27.15
kgz,2002,25.02
kgz,2004,25.93
lao,1992,25.81
lao,1997,29.3
lao,2002,27.16
lao,2003,26.95
lva,1988,18.73
lva,1993,21.86
lva,1996,25.27
lva,1998,26.08
lva,2002,28.07
lva,2004,27.4
lso,1987,43.57
lso,1993,44.12
lso,1995,48.36
lso,2003,39.4
lbr,2007,30.1
ltu,1988,18.97
ltu,1993,27.75
ltu,1996,25.6
ltu,1998,23.54
ltu,2002,25.08
ltu,2004,27.37
lux,2000,23.77
mkd,1998,22.14
mkd,2000,25.74
mkd,2002,29.25
mkd,2003,29.53
mdg,1980,37.02
mdg,1993,36.93
mdg,1999,32.29
mdg,2001,36.87
mdg,2005,41.54
mwi,1998,41.97
mwi,2004,31.85
mys,1984,38.42
mys,1987,36.95
mys,1989,36.44
mys,1992,37.12
mys,1995,37.94
mys,1997,38.25
mys,2004,28.53
mli,1994,40.69
mli,2001,30.39
mli,2006,30.54
mrt,1987,31.96
mrt,1993,42.49
mrt,1996,28.39
mrt,2000,29.56
mex,1984,35.1
mex,1989,43.98
mex,1992,39.9
mex,1994,41.12
mex,1996,37.67
mex,1998,37.51
mex,2000,41.1
mex,2002,39.05
mex,2004,35.4
mex,2006,37.93
mda,1988,19.86
mda,1992,25.64
mda,1997,28.08
mda,1999,28.8
mda,2002,28.39
mda,2004,28.16
mng,1995,24.96
mng,1998,22.92
mng,2002,24.8
mng,2005,24.92
mar,1985,31.77
mar,1991,31.24
mar,1999,30.79
mar,2001,32.04
mar,2007,33.22
moz,1997,35.94
moz,2003,39.2
nam,1993,65.0
npl,1996,31.29
npl,2004,40.42
nld,1999,22.9
nzl,1997,27.81
nic,1993,43.78
nic,1998,42.64
nic,2001,39.71
nic,2005,41.82
ner,1992,29.44
ner,1994,32.74
ner,2005,35.67
nga,1986,28.21
nga,1993,31.53
nga,1996,37.32
nga,2004,32.42
nor,2000,23.38
pak,1987,27.78
pak,1991,27.09
pak,1993,26.3
pak,1997,25.29
pak,1999,28.21
pak,2002,26.2
pak,2005,26.46
pan,1979,36.0
pan,1991,42.66
pan,1995,43.84
pan,1996,42.8
pan,1997,35.32
pan,2000,43.65
pan,2002,43.52
pan,2004,41.64
pan,2006,41.43
png,1996,40.86
pry,1990,29.8
pry,1995,46.63
pry,1998,42.3
pry,1999,43.83
pry,2002,45.13
pry,2005,41.82
pry,2007,42.32
per,1986,35.53
per,1990,35.19
per,1994,34.29
per,1996,35.26
per,2002,43.01
per,2005,40.74
per,2006,37.87
phl,1985,32.73
phl,1988,32.05
phl,1991,34.69
phl,1994,33.59
phl,1997,36.6
phl,2000,36.4
phl,2003,34.29
phl,2006,33.9
pol,1985,20.86
pol,1987,21.06
pol,1989,21.6
pol,1993,23.74
pol,1996,26.48
pol,1999,26.07
pol,2002,26.7
pol,2005,27.2
prt,1997,29.84
rou,1989,19.21
rou,1992,20.22
rou,1994,22.67
rou,1998,23.65
rou,2000,23.55
rou,2002,24.5
rou,2005,25.32
rus,1988,19.45
rus,1993,38.16
rus,1996,35.47
rus,1999,27.85
rus,2002,26.83
rus,2005,28.35
rwa,1985,24.58
rwa,2000,37.8
lca,1995,32.48
sen,1991,42.82
sen,1995,34.05
sen,2001,33.53
sen,2005,30.14
sle,1990,43.3
sle,2003,33.57
sgp,1998,32.76
svk,1988,17.99
svk,1992,18.25
svk,1996,20.83
svn,1987,20.05
svn,1993,24.48
svn,1998,22.69
svn,2002,23.05
svn,2004,24.64
zaf,1993,46.66
zaf,1995,45.09
zaf,2000,44.93
esp,2000,26.61
lka,1985,26.42
lka,1991,27.38
lka,1996,29.17
lka,2002,33.32
sur,1999,40.0
swz,1995,49.85
swz,2001,40.81
swe,2000,22.18
che,2000,25.91
tjk,1999,25.31
tjk,2003,25.71
tjk,2004,26.4
tza,1992,26.61
tza,2000,27.03
tha,1981,35.51
tha,1988,35.33
tha,1992,37.11
tha,1996,34.44
tha,1999,34.39
tha,2002,33.32
tha,2004,33.72
tls,2001,31.32
tgo,2006,27.06
tto,1988,31.14
tto,1992,29.89
tun,1985,34.14
tun,1990,30.69
tun,1995,31.83
tun,2000,31.62
tur,1987,35.31
tur,1994,32.26
tur,2002,33.48
tur,2005,33.19
tkm,1988,21.51
tkm,1993,26.57
tkm,1998,31.75
uga,1989,33.7
uga,1992,34.76
uga,1996,29.93
uga,1999,34.91
uga,2002,37.87
uga,2005,34.07
ukr,1988,19.51
ukr,1992,20.81
ukr,1996,27.51
ukr,1999,23.2
ukr,2002,22.64
ukr,2005,22.54
gbr,1999,28.49
usa,2000,29.85
ury,1992,31.72
ury,1996,32.73
ury,1998,33.65
ury,2000,33.71
ury,2001,33.37
ury,2005,33.54
ury,2006,34.77
uzb,1988,20.4
uzb,1998,33.36
uzb,2002,28.66
uzb,2003,29.47
ven,1981,43.45
ven,1987,40.78
ven,1989,33.3
ven,1993,31.64
ven,1996,36.91
ven,1998,36.11
ven,2003,35.42
ven,2005,35.69
ven,2006,32.67
vnm,1993,28.96
vnm,1998,29.34
vnm,2002,30.31
vnm,2004,31.63
vnm,2006,29.82
yem,1992,30.66
yem,1998,25.78
yem,2005,30.82
zmb,1991,43.02
zmb,1993,39.28
zmb,1996,39.23
zmb,1998,42.06
zmb,2003,33.86
zmb,2004,38.9
zwe,1995,40.32
