geo,time,nuclear_power_generation_total
irl,1993,0.0
irl,1994,0.0
irl,1995,0.0
irl,1996,0.0
irl,1997,0.0
irl,1998,0.0
irl,1999,0.0
irl,2000,0.0
irl,2001,0.0
irl,2002,0.0
irl,2003,0.0
irl,2004,0.0
irl,2005,0.0
irl,2006,0.0
irl,2007,0.0
irl,2008,0.0
irl,2009,0.0
irl,2010,0.0
irl,2011,0.0
isr,1971,0.0
isr,1972,0.0
isr,1973,0.0
isr,1974,0.0
isr,1975,0.0
isr,1976,0.0
isr,1977,0.0
isr,1978,0.0
isr,1979,0.0
isr,1980,0.0
isr,1981,0.0
isr,1982,0.0
isr,1983,0.0
isr,1984,0.0
isr,1985,0.0
isr,1986,0.0
isr,1987,0.0
isr,1988,0.0
isr,1989,0.0
isr,1990,0.0
isr,1991,0.0
isr,1992,0.0
isr,1993,0.0
isr,1994,0.0
isr,1995,0.0
isr,1996,0.0
isr,1997,0.0
isr,1998,0.0
isr,1999,0.0
isr,2000,0.0
isr,2001,0.0
isr,2002,0.0
isr,2003,0.0
isr,2004,0.0
isr,2005,0.0
isr,2006,0.0
isr,2007,0.0
isr,2008,0.0
isr,2009,0.0
isr,2010,0.0
isr,2011,0.0
ita,1960,0.0
ita,1961,0.0
ita,1962,0.0
ita,1963,27770.0
ita,1964,206400.0
ita,1965,301800.0
ita,1966,332200.0
ita,1967,271000.0
ita,1968,221500.0
ita,1969,144400.0
ita,1970,273100.0
ita,1971,289300.0
ita,1972,311800.0
ita,1973,270200.0
ita,1974,293200.0
ita,1975,326700.0
ita,1976,327300.0
ita,1977,291100.0
ita,1978,380700.0
ita,1979,226000.0
ita,1980,189900.0
ita,1981,232800.0
ita,1982,585000.0
ita,1983,497200.0
ita,1984,592200.0
ita,1985,604000.0
ita,1986,753100.0
ita,1987,14960.0
ita,1988,0.0
ita,1989,0.0
ita,1990,0.0
ita,1991,0.0
ita,1992,0.0
ita,1993,0.0
ita,1994,0.0
ita,1995,0.0
ita,1996,0.0
ita,1997,0.0
ita,1998,0.0
ita,1999,0.0
ita,2000,0.0
ita,2001,0.0
ita,2002,0.0
ita,2003,0.0
ita,2004,0.0
ita,2005,0.0
ita,2006,0.0
ita,2007,0.0
ita,2008,0.0
ita,2009,0.0
ita,2010,0.0
ita,2011,0.0
jam,1971,0.0
jam,1972,0.0
jam,1973,0.0
jam,1974,0.0
jam,1975,0.0
jam,1976,0.0
jam,1977,0.0
jam,1978,0.0
jam,1979,0.0
jam,1980,0.0
jam,1981,0.0
jam,1982,0.0
jam,1983,0.0
jam,1984,0.0
jam,1985,0.0
jam,1986,0.0
jam,1987,0.0
jam,1988,0.0
jam,1989,0.0
jam,1990,0.0
jam,1991,0.0
jam,1992,0.0
jam,1993,0.0
jam,1994,0.0
jam,1995,0.0
jam,1996,0.0
jam,1997,0.0
jam,1998,0.0
jam,1999,0.0
jam,2000,0.0
jam,2001,0.0
jam,2002,0.0
jam,2003,0.0
jam,2004,0.0
jam,2005,0.0
jam,2006,0.0
jam,2007,0.0
jam,2008,0.0
jam,2009,0.0
jam,2010,0.0
jpn,1960,0.0
jpn,1961,0.0
jpn,1962,0.0
jpn,1963,0.0
jpn,1964,0.0
jpn,1965,0.0
jpn,1966,51590.0
jpn,1967,51590.0
jpn,1968,85980.0
jpn,1969,94580.0
jpn,1970,395500.0
jpn,1971,687900.0
jpn,1972,816900.0
jpn,1973,834700.0
jpn,1974,1694000.0
jpn,1975,2160000.0
jpn,1976,2930000.0
jpn,1977,2722000.0
jpn,1978,5100000.0
jpn,1979,6053000.0
jpn,1980,7102000.0
jpn,1981,7551000.0
jpn,1982,8807000.0
jpn,1983,9827000.0
jpn,1984,11540000.0
jpn,1985,13720000.0
jpn,1986,14470000.0
jpn,1987,16140000.0
jpn,1988,15360000.0
jpn,1989,15720000.0
jpn,1990,17390000.0
jpn,1991,18350000.0
jpn,1992,19200000.0
jpn,1993,21430000.0
jpn,1994,23140000.0
jpn,1995,25040000.0
jpn,1996,25980000.0
jpn,1997,27440000.0
jpn,1998,28580000.0
jpn,1999,27220000.0
jpn,2000,27690000.0
jpn,2001,27500000.0
jpn,2002,25370000.0
jpn,2003,20640000.0
jpn,2004,24290000.0
jpn,2005,26200000.0
jpn,2006,26090000.0
