geo,average_age_of_dollar_billionaires_years,time
ita,66.0,2007
jam,0.0,2004
jam,0.0,2005
jam,0.0,2006
jam,0.0,2007
jpn,66.32,2004
jpn,65.54,2005
jpn,64.42,2006
jpn,64.83,2007
jey,0.0,2004
jey,0.0,2005
jey,0.0,2006
jey,0.0,2007
jor,0.0,2004
jor,0.0,2005
jor,0.0,2006
jor,0.0,2007
kaz,0.0,2004
kaz,50.67,2005
kaz,48.5,2006
kaz,43.8,2007
ken,0.0,2004
ken,0.0,2005
ken,0.0,2006
ken,0.0,2007
kir,0.0,2004
kir,0.0,2005
kir,0.0,2006
kir,0.0,2007
prk,0.0,2004
prk,0.0,2005
prk,0.0,2006
prk,0.0,2007
kor,71.5,2004
kor,70.67,2005
kor,69.25,2006
kor,52.7,2007
kos,0.0,2004
kos,0.0,2005
kos,0.0,2006
kos,0.0,2007
kwt,60.0,2004
kwt,61.0,2005
kwt,55.5,2006
kwt,61.5,2007
kgz,0.0,2004
kgz,0.0,2005
kgz,0.0,2006
kgz,0.0,2007
lao,0.0,2004
lao,0.0,2005
lao,0.0,2006
lao,0.0,2007
lva,0.0,2004
lva,0.0,2005
lva,0.0,2006
lva,0.0,2007
lbn,60.0,2004
lbn,0.0,2005
lbn,23.5,2006
lbn,38.5,2007
lso,0.0,2004
lso,0.0,2005
lso,0.0,2006
lso,0.0,2007
lbr,0.0,2004
lbr,0.0,2005
lbr,0.0,2006
lbr,0.0,2007
lby,0.0,2004
lby,0.0,2005
lby,0.0,2006
lby,0.0,2007
lie,57.0,2004
lie,58.0,2005
lie,0.0,2006
lie,0.0,2007
ltu,0.0,2004
ltu,0.0,2005
ltu,0.0,2006
ltu,0.0,2007
lux,0.0,2004
lux,0.0,2005
lux,0.0,2006
lux,0.0,2007
mac,0.0,2004
mac,0.0,2005
mac,0.0,2006
mac,0.0,2007
mkd,0.0,2004
mkd,0.0,2005
mkd,0.0,2006
mkd,0.0,2007
mdg,0.0,2004
mdg,0.0,2005
mdg,0.0,2006
mdg,0.0,2007
mwi,0.0,2004
mwi,0.0,2005
mwi,0.0,2006
mwi,0.0,2007
mys,72.6,2004
mys,73.5,2005
mys,73.75,2006
mys,72.56,2007
mdv,0.0,2004
mdv,0.0,2005
mdv,0.0,2006
mdv,0.0,2007
mli,0.0,2004
mli,0.0,2005
mli,0.0,2006
mli,0.0,2007
mlt,0.0,2004
mlt,0.0,2005
mlt,0.0,2006
mlt,0.0,2007
mhl,0.0,2004
mhl,0.0,2005
mhl,0.0,2006
mhl,0.0,2007
mtq,0.0,2004
mtq,0.0,2005
mtq,0.0,2006
mtq,0.0,2007
mrt,0.0,2004
mrt,0.0,2005
mrt,0.0,2006
mrt,0.0,2007
mus,0.0,2004
mus,0.0,2005
mus,0.0,2006
mus,0.0,2007
myt,0.0,2004
myt,0.0,2005
myt,0.0,2006
myt,0.0,2007
mex,63.0,2004
mex,60.9,2005
mex,61.9,2006
mex,62.8,2007
fsm,0.0,2004
fsm,0.0,2005
fsm,0.0,2006
fsm,0.0,2007
mda,0.0,2004
mda,0.0,2005
mda,0.0,2006
mda,0.0,2007
mco,0.0,2004
mco,67.0,2005
mco,68.0,2006
mco,69.0,2007
mng,0.0,2004
mng,0.0,2005
mng,0.0,2006
mng,0.0,2007
mne,0.0,2004
mne,0.0,2005
mne,0.0,2006
mne,0.0,2007
msr,0.0,2004
msr,0.0,2005
msr,0.0,2006
msr,0.0,2007
mar,0.0,2004
mar,0.0,2005
mar,0.0,2006
mar,0.0,2007
moz,0.0,2004
moz,0.0,2005
moz,0.0,2006
moz,0.0,2007
mmr,0.0,2004
mmr,0.0,2005
mmr,0.0,2006
mmr,0.0,2007
nam,0.0,2004
nam,0.0,2005
nam,0.0,2006
nam,0.0,2007
nru,0.0,2004
nru,0.0,2005
nru,0.0,2006
nru,0.0,2007
npl,0.0,2004
npl,0.0,2005
npl,0.0,2006
npl,0.0,2007
nld,56.0,2004
nld,58.5,2005
nld,59.5,2006
nld,60.5,2007
ant,0.0,2004
ant,0.0,2005
ant,0.0,2006
ant,0.0,2007
ncl,0.0,2004
ncl,0.0,2005
ncl,0.0,2006
ncl,0.0,2007
nzl,0.0,2004
nzl,0.0,2005
nzl,50.0,2006
nzl,50.0,2007
ngokar,0.0,2004
ngokar,0.0,2005
ngokar,0.0,2006
ngokar,0.0,2007
nic,0.0,2004
nic,0.0,2005
nic,0.0,2006
nic,0.0,2007
ner,0.0,2004
ner,0.0,2005
ner,0.0,2006
ner,0.0,2007
nga,0.0,2004
nga,0.0,2005
nga,0.0,2006
nga,0.0,2007
niu,0.0,2004
niu,0.0,2005
niu,0.0,2006
niu,0.0,2007
nfk,0.0,2004
nfk,0.0,2005
nfk,0.0,2006
nfk,0.0,2007
cyp_nor,0.0,2004
cyp_nor,0.0,2005
cyp_nor,0.0,2006
cyp_nor,0.0,2007
mnp,0.0,2004
mnp,0.0,2005
mnp,0.0,2006
mnp,0.0,2007
nor,65.0,2004
nor,65.75,2005
nor,66.75,2006
nor,64.25,2007
omn,0.0,2004
omn,0.0,2005
omn,0.0,2006
omn,58.0,2007
pak,0.0,2004
pak,0.0,2005
pak,0.0,2006
pak,0.0,2007
plw,0.0,2004
plw,0.0,2005
plw,0.0,2006
plw,0.0,2007
pan,0.0,2004
pan,0.0,2005
pan,0.0,2006
pan,0.0,2007
png,0.0,2004
png,0.0,2005
png,0.0,2006
png,0.0,2007
pry,0.0,2004
pry,0.0,2005
pry,0.0,2006
pry,0.0,2007
per,0.0,2004
per,0.0,2005
per,0.0,2006
per,0.0,2007
phl,74.0,2004
phl,73.33,2005
phl,74.33,2006
phl,75.33,2007
pcn,0.0,2004
pcn,0.0,2005
pcn,0.0,2006
pcn,0.0,2007
pol,0.0,2004
pol,51.5,2005
pol,49.67,2006
pol,50.4,2007
prt,75.0,2004
prt,67.0,2005
prt,68.0,2006
prt,69.0,2007
pri,0.0,2004
pri,0.0,2005
pri,0.0,2006
pri,0.0,2007
qat,0.0,2004
qat,0.0,2005
qat,0.0,2006
qat,0.0,2007
reu,0.0,2004
reu,0.0,2005
reu,0.0,2006
reu,0.0,2007
rou,0.0,2004
rou,0.0,2005
rou,0.0,2006
rou,67.0,2007
rus,44.88,2004
rus,44.41,2005
rus,45.55,2006
rus,46.06,2007
rwa,0.0,2004
rwa,0.0,2005
rwa,0.0,2006
rwa,0.0,2007
stbar,0.0,2004
stbar,0.0,2005
stbar,0.0,2006
stbar,0.0,2007
shn,0.0,2004
shn,0.0,2005
shn,0.0,2006
shn,0.0,2007
kna,0.0,2004
kna,0.0,2005
kna,0.0,2006
kna,0.0,2007
lca,0.0,2004
lca,0.0,2005
lca,0.0,2006
lca,0.0,2007
stmar,0.0,2004
stmar,0.0,2005
stmar,0.0,2006
stmar,0.0,2007
vct,0.0,2004
vct,0.0,2005
vct,0.0,2006
vct,0.0,2007
spm,0.0,2004
spm,0.0,2005
spm,0.0,2006
spm,0.0,2007
wsm,0.0,2004
wsm,0.0,2005
wsm,0.0,2006
wsm,0.0,2007
smr,0.0,2004
smr,0.0,2005
smr,0.0,2006
smr,0.0,2007
stp,0.0,2004
stp,0.0,2005
stp,0.0,2006
stp,0.0,2007
sau,63.0,2004
sau,62.71,2005
sau,59.25,2006
sau,58.2,2007
sen,0.0,2004
sen,0.0,2005
sen,0.0,2006
sen,0.0,2007
srb,0.0,2004
srb,0.0,2005
srb,0.0,2006
srb,61.0,2007
scg,0.0,2004
scg,0.0,2005
scg,0.0,2006
scg,0.0,2007
scg_ex_kos,0.0,2004
scg_ex_kos,0.0,2005
scg_ex_kos,0.0,2006
scg_ex_kos,0.0,2007
syc,0.0,2004
syc,0.0,2005
syc,0.0,2006
syc,0.0,2007
sle,0.0,2004
sle,0.0,2005
sle,0.0,2006
sle,0.0,2007
sgp,75.8,2004
sgp,74.0,2005
sgp,75.0,2006
sgp,67.5,2007
svk,0.0,2004
svk,0.0,2005
svk,0.0,2006
svk,0.0,2007
svn,0.0,2004
svn,0.0,2005
svn,0.0,2006
svn,0.0,2007
slb,0.0,2004
slb,0.0,2005
slb,0.0,2006
slb,0.0,2007
som,0.0,2004
som,0.0,2005
som,0.0,2006
som,0.0,2007
som_somland,0.0,2004
som_somland,0.0,2005
som_somland,0.0,2006
som_somland,0.0,2007
zaf,55.5,2004
zaf,62.33,2005
zaf,63.33,2006
zaf,64.33,2007
sosset,0.0,2004
sosset,0.0,2005
sosset,0.0,2006
sosset,0.0,2007
esp,61.86,2004
esp,64.8,2005
esp,65.8,2006
esp,62.15,2007
lka,0.0,2004
lka,0.0,2005
lka,0.0,2006
lka,0.0,2007
sdn,0.0,2004
sdn,0.0,2005
sdn,0.0,2006
sdn,0.0,2007
sur,0.0,2004
sur,0.0,2005
sur,0.0,2006
sur,0.0,2007
sjm,0.0,2004
sjm,0.0,2005
sjm,0.0,2006
sjm,0.0,2007
swz,0.0,2004
swz,0.0,2005
swz,0.0,2006
swz,0.0,2007
swe,66.86,2004
swe,67.75,2005
swe,69.0,2006
swe,70.0,2007
che,66.0,2004
che,67.0,2005
che,63.86,2006
che,64.86,2007
syr,0.0,2004
syr,0.0,2005
syr,0.0,2006
syr,0.0,2007
twn,77.17,2004
twn,71.17,2005
twn,69.0,2006
twn,62.62,2007
tjk,0.0,2004
tjk,0.0,2005
tjk,0.0,2006
tjk,0.0,2007
tza,0.0,2004
tza,0.0,2005
tza,0.0,2006
tza,0.0,2007
tha,64.0,2004
tha,66.0,2005
tha,67.0,2006
tha,68.0,2007
tls,0.0,2004
tls,0.0,2005
tls,0.0,2006
tls,0.0,2007
tgo,0.0,2004
tgo,0.0,2005
tgo,0.0,2006
tgo,0.0,2007
tkl,0.0,2004
tkl,0.0,2005
tkl,0.0,2006
tkl,0.0,2007
ton,0.0,2004
ton,0.0,2005
ton,0.0,2006
ton,0.0,2007
transn,0.0,2004
transn,0.0,2005
transn,0.0,2006
transn,0.0,2007
tto,0.0,2004
tto,0.0,2005
tto,0.0,2006
tto,0.0,2007
tun,0.0,2004
tun,0.0,2005
tun,0.0,2006
tun,0.0,2007
tur,60.2,2004
tur,60.86,2005
tur,62.53,2006
tur,61.28,2007
tkm,0.0,2004
tkm,0.0,2005
tkm,0.0,2006
tkm,0.0,2007
tca,0.0,2004
tca,0.0,2005
tca,0.0,2006
tca,0.0,2007
tuv,0.0,2004
tuv,0.0,2005
tuv,0.0,2006
tuv,0.0,2007
uga,0.0,2004
uga,0.0,2005
uga,0.0,2006
uga,0.0,2007
ukr,0.0,2004
ukr,44.0,2005
ukr,45.0,2006
ukr,44.17,2007
are,50.0,2004
are,51.0,2005
are,62.5,2006
are,61.33,2007
gbr,59.0,2004
gbr,59.71,2005
gbr,58.38,2006
gbr,59.59,2007
usa,64.38,2004
usa,64.75,2005
usa,65.13,2006
usa,65.27,2007
ury,0.0,2004
ury,0.0,2005
ury,0.0,2006
ury,0.0,2007
ussr,0.0,2004
ussr,0.0,2005
ussr,0.0,2006
ussr,0.0,2007
uzb,0.0,2004
uzb,0.0,2005
uzb,0.0,2006
uzb,0.0,2007
wlf,0.0,2004
wlf,0.0,2005
wlf,0.0,2006
wlf,0.0,2007
vut,0.0,2004
vut,0.0,2005
vut,0.0,2006
vut,0.0,2007
ven,48.0,2004
ven,49.0,2005
ven,50.0,2006
ven,51.0,2007
pse,0.0,2004
pse,0.0,2005
pse,0.0,2006
pse,0.0,2007
deu_west,0.0,2004
deu_west,0.0,2005
deu_west,0.0,2006
deu_west,0.0,2007
esh,0.0,2004
esh,0.0,2005
esh,0.0,2006
esh,0.0,2007
vnm,0.0,2004
vnm,0.0,2005
vnm,0.0,2006
vnm,0.0,2007
vir,0.0,2004
vir,0.0,2005
vir,0.0,2006
vir,0.0,2007
yem_north,0.0,2004
yem_north,0.0,2005
yem_north,0.0,2006
yem_north,0.0,2007
yem_south,0.0,2004
yem_south,0.0,2005
yem_south,0.0,2006
yem_south,0.0,2007
yem,0.0,2004
yem,0.0,2005
yem,0.0,2006
yem,0.0,2007
yug,0.0,2004
yug,0.0,2005
yug,0.0,2006
yug,0.0,2007
zmb,0.0,2004
zmb,0.0,2005
zmb,0.0,2006
zmb,0.0,2007
zwe,0.0,2004
zwe,0.0,2005
zwe,0.0,2006
zwe,0.0,2007
ala,0.0,2004
ala,0.0,2005
ala,0.0,2006
ala,0.0,2007
