total_reserves_percent_of_debt_to_foreigners,geo,time
12.47,ner,1993
7.425,ner,1994
5.906,ner,1995
5.049,ner,1996
3.353,ner,1997
3.146,ner,1998
2.304,ner,1999
4.766,ner,2000
6.706,ner,2001
7.263,ner,2002
12.24,ner,2003
12.39,ner,2004
12.43,ner,2005
44.75,ner,2006
51.65,ner,2007
70.38,ner,2008
59.45,ner,2009
67.48,ner,2010
26.71,nga,1970
44.98,nga,1971
36.12,nga,1972
35.01,nga,1973
303.6,nga,1974
335.8,nga,1975
392.9,nga,1976
137.8,nga,1977
39.85,nga,1978
94.48,nga,1979
119.3,nga,1980
36.5,nga,1981
16.09,nga,1982
7.129,nga,1983
9.421,nga,1984
10.15,nga,1985
6.077,nga,1986
5.161,nga,1987
3.15,nga,1988
6.776,nga,1989
12.35,nga,1990
13.95,nga,1991
4.122,nga,1992
5.337,nga,1993
4.984,nga,1994
5.013,nga,1995
13.78,nga,1996
27.35,nga,1997
24.09,nga,1998
19.4,nga,1999
32.21,nga,2000
34.3,nga,2001
24.83,nga,2002
21.42,nga,2003
45.69,nga,2004
129.8,nga,2005
555.5,nga,2006
608.5,nga,2007
472.9,nga,2008
590.0,nga,2009
455.2,nga,2010
5.71,pak,1970
5.237,pak,1971
7.985,pak,1972
13.06,pak,1973
13.62,pak,1974
9.911,pak,1975
10.19,pak,1976
9.588,pak,1977
9.701,pak,1978
13.02,pak,1979
16.01,pak,1980
13.93,pak,1981
15.73,pak,1982
22.63,pak,1983
13.32,pak,1984
10.71,pak,1985
9.864,pak,1986
8.631,pak,1987
7.032,pak,1988
7.129,pak,1989
5.082,pak,1990
5.237,pak,1991
6.132,pak,1992
8.158,pak,1993
13.6,pak,1994
8.378,pak,1995
4.392,pak,1996
5.979,pak,1997
5.047,pak,1998
6.257,pak,1999
6.377,pak,2000
13.32,pak,2001
26.2,pak,2002
32.82,pak,2003
29.87,pak,2004
33.1,pak,2005
35.08,pak,2006
38.04,pak,2007
18.39,pak,2008
24.93,pak,2009
30.39,pak,2010
6.881,pan,1970
7.291,pan,1971
10.62,pan,1972
7.752,pan,1973
5.833,pan,1974
3.702,pan,1975
5.876,pan,1976
4.213,pan,1977
6.51,pan,1978
4.569,pan,1979
3.962,pan,1980
3.581,pan,1981
2.585,pan,1982
4.728,pan,1983
4.96,pan,1984
2.066,pan,1985
3.514,pan,1986
1.386,pan,1987
1.193,pan,1988
1.92,pan,1989
5.291,pan,1990
7.54,pan,1991
8.065,pan,1992
8.911,pan,1993
10.21,pan,1994
12.81,pan,1995
14.3,pan,1996
19.09,pan,1997
14.92,pan,1998
12.05,pan,1999
11.0,pan,2000
14.05,pan,2001
14.94,pan,2002
12.27,pan,2003
7.519,pan,2004
13.99,pan,2005
14.08,pan,2006
20.74,pan,2007
25.32,pan,2008
26.88,pan,2009
23.79,pan,2010
5.948,png,1973
6.422,png,1974
35.51,png,1975
49.39,png,1976
63.83,png,1977
71.11,png,1978
87.21,png,1979
63.67,png,1980
35.53,png,1981
29.58,png,1982
24.84,png,1983
22.4,png,1984
21.93,png,1985
22.68,png,1986
20.53,png,1987
18.64,png,1988
17.69,png,1989
16.47,png,1990
12.45,png,1991
6.851,png,1992
5.081,png,1993
4.305,png,1994
10.64,png,1995
24.21,png,1996
14.71,png,1997
7.78,png,1998
8.449,png,1999
13.27,png,2000
21.6,png,2001
18.47,png,2002
27.88,png,2003
37.0,png,2004
39.91,png,2005
78.9,png,2006
147.2,png,2007
141.7,png,2008
167.2,png,2009
53.63,png,2010
15.67,pry,1970
17.14,pry,1971
23.07,pry,1972
38.14,pry,1973
47.3,pry,1974
51.44,pry,1975
56.8,pry,1976
59.95,pry,1977
73.76,pry,1978
78.08,pry,1979
82.34,pry,1980
71.65,pry,1981
58.35,pry,1982
49.21,pry,1983
46.2,pry,1984
30.07,pry,1985
22.11,pry,1986
20.42,pry,1987
14.4,pry,1988
18.77,pry,1989
32.11,pry,1990
47.24,pry,1991
35.16,pry,1992
40.44,pry,1993
49.67,pry,1994
43.03,pry,1995
41.44,pry,1996
34.4,pry,1997
31.35,pry,1998
29.23,pry,1999
25.02,pry,2000
25.82,pry,2001
21.4,pry,2002
30.5,pry,2003
32.39,pry,2004
40.19,pry,2005
49.76,pry,2006
68.98,pry,2007
68.84,pry,2008
96.94,pry,2009
84.39,pry,2010
10.55,per,1970
13.0,per,1971
14.82,per,1972
16.41,per,1973
21.22,per,1974
9.254,per,1975
5.603,per,1976
5.694,per,1977
6.346,per,1978
22.8,per,1979
29.87,per,1980
20.44,per,1981
18.57,per,1982
16.74,per,1983
16.96,per,1984
19.26,per,1985
15.06,per,1986
7.839,per,1987
6.655,per,1988
8.599,per,1989
9.428,per,1990
14.93,per,1991
17.0,per,1992
16.62,per,1993
27.98,per,1994
28.06,per,1995
37.94,per,1996
38.14,per,1997
32.42,per,1998
31.05,per,1999
30.3,per,2000
32.62,per,2001
34.43,per,2002
34.15,per,2003
40.12,per,2004
48.28,per,2005
59.87,per,2006
86.63,per,2007
90.4,per,2008
91.29,per,2009
121.9,per,2010
11.6,phl,1970
16.22,phl,1971
22.47,phl,1972
40.25,phl,1973
50.1,phl,1974
35.07,phl,1975
28.8,phl,1976
20.21,phl,1977
19.54,phl,1978
23.5,phl,1979
22.84,phl,1980
13.11,phl,1981
7.129,phl,1982
3.54,phl,1983
3.467,phl,1984
4.123,phl,1985
9.258,phl,1986
7.763,phl,1987
7.497,phl,1988
8.37,phl,1989
6.659,phl,1990
13.65,phl,1991
16.06,phl,1992
16.42,phl,1993
17.75,phl,1994
19.76,phl,1995
26.76,phl,1996
17.25,phl,1997
20.22,phl,1998
25.84,phl,1999
25.85,phl,2000
26.92,phl,2001
27.24,phl,2002
27.29,phl,2003
26.63,phl,2004
29.96,phl,2005
38.01,phl,2006
51.09,phl,2007
57.69,phl,2008
70.04,phl,2009
86.16,phl,2010
432.0,rou,1973
502.2,rou,1974
428.6,rou,1975
177.7,rou,1976
100.6,rou,1977
118.0,rou,1978
65.15,rou,1979
25.72,rou,1980
17.53,rou,1981
20.73,rou,1982
20.88,rou,1983
23.97,rou,1984
20.65,rou,1985
26.51,rou,1986
31.34,rou,1987
46.43,rou,1988
251.2,rou,1989
120.5,rou,1990
68.98,rou,1991
48.74,rou,1992
44.87,rou,1993
55.2,rou,1994
38.41,rou,1995
37.18,rou,1996
48.56,rou,1997
37.55,rou,1998
27.65,rou,1999
30.43,rou,2000
38.42,rou,2001
43.64,rou,2002
41.76,rou,2003
54.43,rou,2004
55.59,rou,2005
56.0,rou,2006
47.5,rou,2007
38.8,rou,2008
37.61,rou,2009
39.54,rou,2010
8.769,rus,1993
5.918,rus,1994
14.85,rus,1995
12.86,rus,1996
13.81,rus,1997
6.773,rus,1998
7.053,rus,1999
17.29,rus,2000
23.81,rus,2001
32.79,rus,2002
44.63,rus,2003
64.16,rus,2004
75.97,rus,2005
121.1,rus,2006
132.5,rus,2007
105.8,rus,2008
117.7,rus,2009
124.6,rus,2010
157.8,rwa,1970
289.2,rwa,1971
188.3,rwa,1972
191.8,rwa,1973
106.5,rwa,1974
103.5,rwa,1975
130.3,rwa,1976
96.1,rwa,1977
74.89,rwa,1978
105.8,rwa,1979
103.3,rwa,1980
85.32,rwa,1981
54.57,rwa,1982
46.58,rwa,1983
37.1,rwa,1984
31.2,rwa,1985
36.18,rwa,1986
27.45,rwa,1987
18.25,rwa,1988
11.37,rwa,1989
6.264,rwa,1990
13.64,rwa,1991
9.201,rwa,1992
5.229,rwa,1993
5.382,rwa,1994
9.63,rwa,1995
10.23,rwa,1996
13.8,rwa,1997
13.76,rwa,1998
13.49,rwa,1999
15.01,rwa,2000
16.56,rwa,2001
17.02,rwa,2002
14.0,rwa,2003
19.02,rwa,2004
26.89,rwa,2005
106.5,rwa,2006
94.56,rwa,2007
89.96,rwa,2008
99.17,rwa,2009
102.3,rwa,2010
53.34,kna,1984
57.91,kna,1985
60.59,kna,1986
50.08,kna,1987
38.81,kna,1988
44.75,kna,1989
36.83,kna,1990
34.18,kna,1991
54.28,kna,1992
58.13,kna,1993
56.57,kna,1994
60.42,kna,1995
52.11,kna,1996
32.17,kna,1997
36.86,kna,1998
36.41,kna,1999
28.98,kna,2000
25.91,kna,2001
24.59,kna,2002
20.52,kna,2003
24.84,kna,2004
24.44,kna,2005
30.67,kna,2006
35.23,kna,2007
44.93,kna,2008
60.05,kna,2009
83.29,kna,2010
49.06,lca,1981
47.95,lca,1982
46.91,lca,1983
61.0,lca,1984
54.73,lca,1985
78.95,lca,1986
65.91,lca,1987
56.82,lca,1988
58.18,lca,1989
56.32,lca,1990
59.2,lca,1991
56.6,lca,1992
59.53,lca,1993
50.87,lca,1994
49.18,lca,1995
39.65,lca,1996
39.87,lca,1997
38.52,lca,1998
40.43,lca,1999
35.63,lca,2000
35.34,lca,2001
32.87,lca,2002
32.48,lca,2003
37.69,lca,2004
28.32,lca,2005
36.99,lca,2006
32.76,lca,2007
17.26,lca,2008
47.33,lca,2009
44.49,lca,2010
124.6,vct,1976
101.4,vct,1977
92.41,vct,1978
123.0,vct,1979
68.4,vct,1980
47.86,vct,1981
22.54,vct,1982
22.26,vct,1983
51.41,vct,1984
50.77,vct,1985
82.37,vct,1986
48.72,vct,1987
45.2,vct,1988
43.18,vct,1989
42.47,vct,1990
32.99,vct,1991
43.83,vct,1992
31.0,vct,1993
27.38,vct,1994
25.22,vct,1995
24.64,vct,1996
26.49,vct,1997
28.44,vct,1998
22.03,vct,1999
28.35,vct,2000
31.57,vct,2001
30.37,vct,2002
25.76,vct,2003
32.87,vct,2004
27.57,vct,2005
32.39,vct,2006
43.19,vct,2007
41.02,vct,2008
41.91,vct,2009
43.17,vct,2010
194.6,wsm,1970
245.6,wsm,1971
103.4,wsm,1972
53.7,wsm,1973
43.18,wsm,1974
36.72,wsm,1975
23.16,wsm,1976
29.2,wsm,1977
11.6,wsm,1978
9.178,wsm,1979
4.68,wsm,1980
5.242,wsm,1981
5.292,wsm,1982
10.68,wsm,1983
14.36,wsm,1984
18.66,wsm,1985
31.76,wsm,1986
46.72,wsm,1987
65.63,wsm,1988
74.88,wsm,1989
75.21,wsm,1990
59.66,wsm,1991
48.95,wsm,1992
36.09,wsm,1993
32.86,wsm,1994
34.56,wsm,1995
39.63,wsm,1996
46.26,wsm,1997
42.68,wsm,1998
46.57,wsm,1999
46.23,wsm,2000
42.26,wsm,2001
42.59,wsm,2002
50.27,wsm,2003
49.3,wsm,2004
48.83,wsm,2005
49.31,wsm,2006
51.3,wsm,2007
42.35,wsm,2008
70.42,wsm,2009
68.0,wsm,2010
2.091,stp,1995
2.137,stp,1996
5.217,stp,1997
3.749,stp,1998
3.389,stp,1999
3.829,stp,2000
5.034,stp,2001
5.217,stp,2002
7.512,stp,2003
5.416,stp,2004
7.978,stp,2005
9.749,stp,2006
23.81,stp,2007
46.87,stp,2008
