geo,agriculture_workers_percent_of_labour_force,time
hti,65.4,1982
hti,65.4,1983
hti,66.2,1988
hti,65.6,1990
hti,50.5,1999
hnd,58.6,1980
hnd,58.7,1981
hnd,58.3,1982
hnd,57.7,1983
hnd,1.0,1985
hnd,3.4,1986
hnd,3.3,1987
hnd,50.1,1990
hnd,38.0,1991
hnd,38.2,1992
hnd,8.8,1993
hnd,37.2,1994
hnd,37.2,1995
hnd,38.3,1996
hnd,37.0,1997
hnd,34.6,1998
hnd,35.1,1999
hnd,39.2,2005
hkg,1.4,1980
hkg,1.3,1981
hkg,1.3,1982
hkg,1.2,1983
hkg,1.2,1984
hkg,1.6,1985
hkg,1.6,1986
hkg,1.5,1987
hkg,1.3,1988
hkg,1.1,1989
hkg,0.9,1990
hkg,0.8,1991
hkg,0.7,1992
hkg,0.6,1993
hkg,0.6,1994
hkg,0.6,1995
hkg,0.4,1996
hkg,0.3,1997
hkg,0.3,1998
hkg,0.3,1999
hkg,0.3,2000
hkg,0.2,2001
hkg,0.2,2003
hkg,0.3,2004
hkg,0.3,2005
hkg,0.2,2006
hkg,0.2,2007
hun,22.1,1980
hun,21.3,1981
hun,22.2,1982
hun,22.3,1983
hun,22.0,1984
hun,21.3,1985
hun,20.4,1986
hun,19.8,1987
hun,19.3,1988
hun,18.8,1989
hun,18.2,1990
hun,16.1,1991
hun,11.3,1992
hun,9.1,1993
hun,8.7,1994
hun,8.0,1995
hun,8.3,1996
hun,7.9,1997
hun,7.7,1998
hun,7.2,1999
hun,6.7,2000
hun,6.3,2001
hun,6.3,2002
hun,5.5,2003
hun,5.3,2004
hun,5.0,2005
hun,4.9,2006
hun,4.7,2007
isl,10.2,1991
isl,10.9,1992
isl,9.5,1993
isl,8.7,1994
isl,9.9,1995
isl,9.2,1996
isl,8.5,1997
isl,8.8,1998
isl,9.2,1999
isl,8.3,2000
isl,7.5,2001
isl,7.0,2002
isl,7.0,2003
isl,6.4,2004
isl,6.8,2005
isl,5.9,2006
isl,5.9,2007
idn,56.4,1980
idn,54.7,1982
idn,54.7,1985
idn,55.1,1986
idn,55.0,1987
idn,55.9,1988
idn,56.2,1989
idn,55.9,1990
idn,53.9,1991
idn,54.9,1992
idn,50.6,1993
idn,46.1,1994
idn,44.0,1995
idn,44.0,1996
idn,41.2,1997
idn,45.0,1998
idn,43.2,1999
idn,43.8,2001
idn,44.3,2002
idn,46.3,2003
idn,43.3,2004
idn,44.0,2005
idn,44.5,2006
irn,7.0,1982
irn,23.0,1996
irn,24.9,2005
irn,22.8,2007
irq,17.0,2004
irl,16.9,1983
irl,16.5,1984
irl,15.6,1985
irl,15.7,1986
irl,15.3,1987
irl,15.4,1988
irl,15.1,1989
irl,15.1,1990
irl,13.7,1991
irl,13.5,1992
irl,12.7,1993
irl,12.1,1994
irl,11.7,1995
irl,10.7,1996
irl,10.3,1997
irl,9.1,1998
irl,8.6,1999
irl,7.9,2000
irl,7.0,2001
irl,6.9,2002
irl,6.4,2003
irl,6.4,2004
irl,5.9,2005
irl,5.7,2006
gbm,1.4,2001
gbm,1.9,2006
isr,6.3,1980
isr,6.0,1981
isr,5.6,1982
isr,5.5,1983
isr,5.3,1984
isr,5.3,1985
isr,5.1,1986
isr,5.1,1987
isr,4.6,1988
isr,4.6,1989
isr,4.1,1990
isr,3.5,1991
isr,3.5,1992
isr,3.5,1993
isr,3.3,1994
isr,2.9,1995
isr,2.5,1996
isr,2.4,1997
isr,2.3,1998
isr,2.3,1999
isr,2.2,2000
isr,2.0,2001
isr,2.0,2002
isr,1.9,2003
isr,2.0,2004
isr,2.0,2005
isr,1.8,2006
isr,1.6,2007
ita,14.0,1980
ita,13.2,1981
ita,12.2,1982
ita,12.2,1983
ita,11.7,1984
ita,11.0,1985
ita,10.7,1986
ita,10.3,1987
ita,9.7,1988
ita,9.2,1989
ita,8.8,1990
ita,8.4,1991
ita,8.1,1992
ita,7.3,1993
ita,7.1,1994
ita,6.7,1995
ita,6.4,1996
ita,6.2,1997
ita,5.9,1998
ita,5.5,1999
ita,5.4,2000
ita,5.3,2001
ita,5.1,2002
ita,4.9,2003
ita,4.5,2004
ita,4.2,2005
ita,4.3,2006
ita,4.0,2007
jam,27.3,1992
jam,24.4,1993
jam,23.6,1994
jam,23.2,1995
jam,22.6,1996
jam,21.2,1997
jam,21.0,1998
jam,20.5,1999
jam,20.8,2000
jam,20.7,2001
jam,20.1,2002
jam,20.4,2003
jam,18.5,2004
jam,18.1,2005
jam,18.2,2006
jpn,10.4,1980
jpn,10.0,1981
jpn,9.7,1982
jpn,9.3,1983
jpn,8.9,1984
jpn,8.8,1985
jpn,8.5,1986
jpn,8.3,1987
jpn,7.9,1988
jpn,7.6,1989
jpn,7.2,1990
jpn,6.7,1991
jpn,6.4,1992
jpn,5.9,1993
jpn,5.8,1994
jpn,5.7,1995
jpn,5.5,1996
jpn,5.3,1997
jpn,5.3,1998
jpn,5.2,1999
jpn,5.1,2000
jpn,4.9,2001
jpn,4.7,2002
jpn,4.6,2003
jpn,4.5,2004
jpn,4.4,2005
jpn,4.3,2006
jpn,4.2,2007
jor,6.7,1983
jor,5.5,1986
jor,6.6,1987
jor,4.9,2000
jor,4.1,2001
jor,3.9,2002
jor,3.6,2003
kaz,26.7,1999
kaz,35.5,2001
kaz,35.5,2002
kaz,35.3,2003
kaz,33.5,2004
kir,2.8,2000
kor,34.0,1980
kor,34.2,1981
kor,32.1,1982
kor,29.7,1983
kor,27.1,1984
kor,24.9,1985
kor,23.6,1986
kor,21.9,1987
kor,20.7,1988
kor,19.6,1989
kor,17.9,1990
kor,16.4,1991
kor,14.0,1992
kor,13.5,1993
kor,12.6,1994
kor,11.8,1995
kor,11.1,1996
kor,10.8,1997
kor,12.0,1998
kor,11.3,1999
kor,10.6,2000
kor,10.0,2001
kor,9.3,2002
kor,8.8,2003
kor,8.1,2004
kor,7.9,2005
kor,7.7,2006
kor,7.4,2007
kwt,0.6,1983
kwt,1.3,1988
kwt,2.1,1995
kwt,0.0,2003
kgz,32.7,1986
kgz,33.9,1987
kgz,33.6,1988
kgz,33.2,1989
kgz,32.7,1990
kgz,35.5,1991
kgz,38.2,1992
kgz,39.0,1993
kgz,42.0,1994
kgz,47.2,1995
kgz,47.1,1996
kgz,48.3,1997
kgz,49.0,1998
kgz,52.4,1999
kgz,53.1,2000
kgz,52.9,2001
kgz,49.1,2002
kgz,43.2,2003
kgz,38.9,2004
kgz,38.5,2005
kgz,36.3,2006
lao,85.4,1995
lva,17.3,1996
lva,21.5,1997
lva,19.1,1998
lva,16.6,1999
lva,14.5,2000
lva,15.1,2001
lva,15.4,2002
lva,13.8,2003
lva,13.2,2004
lva,12.1,2005
lva,11.1,2006
lva,9.9,2007
lso,22.8,1996
lso,56.5,1997
lso,72.3,1999
lby,18.9,1980
lby,15.3,1983
lby,16.8,1985
lby,19.7,1986
ltu,20.7,1997
ltu,19.2,1998
ltu,19.3,1999
ltu,18.7,2000
ltu,17.3,2001
ltu,17.8,2002
ltu,17.9,2003
ltu,15.8,2004
ltu,14.0,2005
ltu,12.4,2006
ltu,10.4,2007
lux,5.5,1980
lux,5.1,1981
lux,4.9,1982
lux,4.8,1983
lux,4.6,1984
lux,4.4,1985
lux,4.1,1986
lux,3.9,1987
lux,3.6,1988
lux,3.4,1989
lux,3.3,1990
lux,2.3,1995
lux,2.3,1996
lux,2.2,1997
lux,2.1,1998
lux,2.0,1999
lux,1.5,2000
lux,1.4,2001
lux,1.4,2002
lux,1.4,2003
lux,1.3,2004
lux,1.3,2005
lux,1.3,2006
lux,1.4,2007
mac,0.6,1989
mac,0.2,1990
mac,0.2,1992
mac,0.2,1993
mac,0.0,1994
mac,0.2,1995
mac,0.2,1996
mac,0.2,1997
mac,0.2,1998
mac,0.1,1999
mac,0.2,2000
mac,0.1,2001
mac,0.1,2002
mac,0.3,2003
mac,0.3,2004
mac,0.1,2005
mac,0.2,2006
mac,0.1,2007
mdg,78.0,2003
mdg,82.0,2005
mys,37.2,1980
mys,35.7,1981
mys,31.2,1982
mys,30.6,1983
mys,30.4,1984
mys,30.4,1985
mys,30.6,1986
mys,30.9,1987
mys,30.6,1988
mys,28.7,1989
mys,26.0,1990
mys,25.3,1991
mys,21.8,1992
mys,21.1,1993
mys,20.0,1995
mys,19.4,1996
mys,17.3,1997
mys,18.8,1998
mys,18.4,1999
mys,18.4,2000
mys,15.1,2001
mys,14.9,2002
mys,14.3,2003
mys,14.6,2004
mys,14.6,2005
mys,14.6,2006
mys,14.8,2007
mdv,25.2,1990
mdv,22.2,1995
mdv,13.7,2000
mdv,17.3,2003
mdv,11.5,2006
mli,41.5,2004
mlt,1.7,2000
mlt,2.2,2001
mlt,1.8,2002
mlt,1.7,2003
mlt,2.1,2004
mlt,2.0,2005
mlt,1.4,2006
mlt,1.6,2007
mhl,20.8,1999
mtq,7.6,1990
mus,14.3,1992
mus,13.7,1994
mus,14.5,1995
mus,13.0,1996
mus,12.5,1997
mus,11.8,1998
mus,11.2,1999
mus,11.6,2001
mus,10.1,2002
mus,9.9,2003
mus,10.0,2004
mus,10.0,2005
mus,9.6,2006
mus,9.1,2007
mex,23.5,1988
mex,22.6,1990
mex,25.8,1991
mex,25.7,1993
mex,23.4,1995
mex,21.8,1996
mex,23.3,1997
mex,19.2,1998
mex,20.1,1999
mex,17.3,2000
mex,17.4,2001
mex,17.2,2002
mex,16.0,2003
mex,15.7,2004
mex,14.7,2005
mex,14.1,2006
mex,13.5,2007
mng,39.5,1993
mng,44.7,1994
mng,46.1,1995
mng,46.5,1996
mng,48.9,1997
mng,49.7,1998
mng,49.5,1999
mng,48.6,2000
mng,48.3,2001
mng,44.9,2002
mng,41.8,2003
mng,40.2,2004
mng,39.9,2005
mne,9.0,2003
mne,8.6,2005
msr,10.4,1980
msr,10.1,1981
msr,9.9,1982
msr,9.5,1983
msr,10.1,1984
msr,9.9,1985
msr,9.9,1986
msr,9.6,1987
msr,6.6,1991
mar,3.9,1990
mar,3.9,1991
mar,3.6,1992
mar,3.2,1993
mar,40.0,1994
mar,6.3,1995
mar,7.2,1996
mar,5.1,1997
mar,4.9,1998
mar,5.7,1999
mar,4.9,2001
mar,44.4,2002
mar,43.9,2003
mar,45.8,2004
mar,45.4,2005
mar,43.3,2006
mmr,67.1,1980
mmr,66.8,1981
mmr,66.8,1982
mmr,66.3,1983
mmr,66.2,1984
mmr,66.1,1985
mmr,65.9,1986
mmr,65.3,1987
mmr,65.1,1988
mmr,65.2,1989
mmr,69.7,1990
mmr,69.1,1992
mmr,68.9,1993
mmr,68.7,1994
mmr,63.4,1997
mmr,62.7,1998
nam,48.2,1991
nam,38.3,1997
nam,31.1,2000
nam,29.9,2004
npl,81.2,1991
npl,76.1,1999
npl,65.7,2001
nld,4.9,1980
nld,5.0,1982
nld,5.0,1984
nld,4.8,1986
nld,4.7,1988
nld,4.6,1989
nld,4.5,1990
nld,4.5,1991
nld,3.9,1992
nld,3.8,1993
nld,3.9,1994
nld,3.6,1995
nld,3.9,1996
nld,3.7,1997
nld,3.3,1998
nld,3.1,1999
nld,3.3,2000
nld,2.9,2001
nld,3.0,2002
nld,2.7,2003
nld,3.0,2004
nld,3.0,2005
ant,0.4,1980
ant,0.5,1981
ant,0.4,1983
ant,0.8,1984
ant,0.8,1985
ant,0.7,1986
ant,0.3,1987
ant,0.7,1990
ant,0.6,1991
ant,0.6,1992
ant,0.7,1993
ant,0.6,1994
ant,0.8,1995
ant,0.8,1996
ant,0.9,1997
ant,1.1,1998
ant,1.1,2000
ant,1.0,2002
ant,0.9,2003
ant,0.9,2004
ant,0.9,2005
ant,1.1,2006
ant,1.3,2007
ncl,7.2,1996
nzl,10.6,1986
nzl,10.3,1987
nzl,10.3,1988
nzl,10.3,1989
nzl,10.6,1990
nzl,10.7,1991
nzl,10.8,1992
nzl,10.5,1993
nzl,10.4,1994
nzl,9.7,1995
nzl,9.5,1996
nzl,8.6,1997
nzl,8.5,1998
nzl,9.4,1999
nzl,8.7,2000
nzl,9.1,2001
nzl,8.8,2002
nzl,8.1,2003
nzl,7.5,2004
nzl,7.1,2005
nzl,7.1,2006
nzl,7.2,2007
nic,39.3,1990
nic,38.0,1991
nic,38.9,1992
nic,40.1,1994
nic,30.5,2003
nic,30.3,2004
nic,28.9,2005
nic,29.1,2006
nga,33.6,1983
nga,46.8,1986
niu,11.6,1987
niu,9.0,2001
mnp,2.0,1984
mnp,2.0,1985
mnp,2.3,1990
mnp,1.2,1995
nor,8.3,1980
nor,8.2,1981
nor,7.9,1982
nor,7.6,1983
nor,7.3,1984
nor,7.3,1985
nor,7.2,1986
nor,6.5,1987
nor,6.3,1988
nor,6.4,1989
nor,6.4,1990
nor,5.8,1991
nor,5.5,1992
nor,5.5,1993
nor,5.3,1994
nor,5.1,1995
nor,5.1,1996
nor,4.7,1997
nor,4.7,1998
nor,4.6,1999
nor,4.1,2000
nor,3.9,2001
nor,3.8,2002
nor,3.7,2003
nor,3.5,2004
nor,3.3,2005
nor,3.3,2006
