geo,all_forms_of_tb_number_of_new_cases_estimated,time
mrt,5086,1993
mrt,5331,1994
mrt,5589,1995
mrt,5861,1996
mrt,6148,1997
mrt,6451,1998
mrt,6770,1999
mrt,7107,2000
mrt,7463,2001
mrt,7837,2002
mrt,8228,2003
mrt,8633,2004
mrt,9051,2005
mrt,9481,2006
mrt,9923,2007
mus,293,1990
mus,292,1991
mus,292,1992
mus,292,1993
mus,293,1994
mus,293,1995
mus,292,1996
mus,292,1997
mus,291,1998
mus,291,1999
mus,290,2000
mus,289,2001
mus,288,2002
mus,287,2003
mus,286,2004
mus,285,2005
mus,284,2006
mus,282,2007
mex,51480,1990
mex,49060,1991
mex,46750,1992
mex,44550,1993
mex,42460,1994
mex,40470,1995
mex,38580,1996
mex,36780,1997
mex,35030,1998
mex,33320,1999
mex,31610,2000
mex,29920,2001
mex,28260,2002
mex,26660,2003
mex,25160,2004
mex,23770,2005
mex,22480,2006
mex,21280,2007
fsm,182,1990
fsm,179,1991
fsm,177,1992
fsm,174,1993
fsm,171,1994
fsm,166,1995
fsm,161,1996
fsm,155,1997
fsm,148,1998
fsm,142,1999
fsm,137,2000
fsm,132,2001
fsm,127,2002
fsm,123,2003
fsm,119,2004
fsm,116,2005
fsm,112,2006
fsm,108,2007
mco,1,1990
mco,1,1991
mco,1,1992
mco,1,1993
mco,1,1994
mco,1,1995
mco,1,1996
mco,1,1997
mco,1,1998
mco,1,1999
mco,1,2000
mco,1,2001
mco,1,2002
mco,1,2003
mco,1,2004
mco,1,2005
mco,1,2006
mco,1,2007
mng,4552,1990
mng,4649,1991
mng,4731,1992
mng,4800,1993
mng,4858,1994
mng,4908,1995
mng,4950,1996
mng,4983,1997
mng,5011,1998
mng,5040,1999
mng,5073,2000
mng,5111,2001
mng,5155,2002
mng,5203,2003
mng,5252,2004
mng,5301,2005
mng,5351,2006
mng,5400,2007
msr,1,1990
msr,1,1991
msr,1,1992
msr,1,1993
msr,1,1994
msr,1,1995
msr,1,1996
msr,1,1997
msr,1,1998
msr,0,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,0,2003
msr,0,2004
msr,0,2005
msr,0,2006
msr,0,2007
mar,36930,1990
mar,36560,1991
mar,36150,1992
mar,35710,1993
mar,35260,1994
mar,34790,1995
mar,34300,1996
mar,33810,1997
mar,33310,1998
mar,32790,1999
mar,32260,2000
mar,31720,2001
mar,31180,2002
mar,30640,2003
mar,30100,2004
mar,29590,2005
mar,29100,2006
mar,28620,2007
moz,24540,1990
moz,27850,1991
moz,30710,1992
moz,34150,1993
moz,37760,1994
moz,41720,1995
moz,45370,1996
moz,50050,1997
moz,55360,1998
moz,61510,1999
moz,68720,2000
moz,76200,2001
moz,83500,2002
moz,89240,2003
moz,92310,2004
moz,93280,2005
moz,92870,2006
moz,92300,2007
mmr,68620,1990
mmr,69680,1991
mmr,70720,1992
mmr,71730,1993
mmr,72730,1994
mmr,73720,1995
mmr,74710,1996
mmr,75700,1997
mmr,76660,1998
mmr,77570,1999
mmr,78420,2000
mmr,79210,2001
mmr,79930,2002
mmr,80620,2003
mmr,81300,2004
mmr,81980,2005
mmr,82690,2006
mmr,83400,2007
nam,4566,1990
nam,5250,1991
nam,5794,1992
nam,6396,1993
nam,7014,1994
nam,7707,1995
nam,8368,1996
nam,9234,1997
nam,10220,1998
nam,11340,1999
nam,12620,2000
nam,13890,2001
nam,15070,2002
nam,15920,2003
nam,16300,2004
nam,16310,2005
nam,16110,2006
nam,15900,2007
nru,8,1990
nru,13,1991
nru,13,1992
nru,13,1993
nru,4,1994
nru,13,1995
nru,13,1996
nru,13,1997
nru,12,1998
nru,2,1999
nru,4,2000
nru,3,2001
nru,6,2002
nru,3,2003
nru,11,2004
nru,12,2005
nru,13,2006
nru,3,2007
npl,46440,1990
npl,46670,1991
npl,46910,1992
npl,47160,1993
npl,47410,1994
npl,47650,1995
npl,47880,1996
npl,48090,1997
npl,48290,1998
npl,48450,1999
npl,48580,2000
npl,48670,2001
npl,48720,2002
npl,48750,2003
npl,48770,2004
npl,48770,2005
npl,48770,2006
npl,48770,2007
nld,2115,1990
nld,2009,1991
nld,1923,1992
nld,1815,1993
nld,1751,1994
nld,1677,1995
nld,1632,1996
nld,1590,1997
nld,1534,1998
nld,1453,1999
nld,1397,2000
nld,1354,2001
nld,1348,2002
nld,1300,2003
nld,1279,2004
nld,1265,2005
nld,1250,2006
nld,1234,2007
ant,27,1990
ant,25,1991
ant,24,1992
ant,23,1993
ant,22,1994
ant,21,1995
ant,20,1996
ant,19,1997
ant,18,1998
ant,17,1999
ant,16,2000
ant,15,2001
ant,15,2002
ant,15,2003
ant,14,2004
ant,14,2005
ant,14,2006
ant,14,2007
ncl,159,1990
ncl,156,1991
ncl,156,1992
ncl,116,1993
ncl,108,1994
ncl,97,1995
ncl,116,1996
ncl,98,1997
ncl,100,1998
ncl,87,1999
ncl,104,2000
ncl,68,2001
ncl,72,2002
ncl,42,2003
ncl,68,2004
ncl,52,2005
ncl,53,2006
ncl,52,2007
nzl,346,1990
nzl,351,1991
nzl,325,1992
nzl,331,1993
nzl,356,1994
nzl,384,1995
nzl,374,1996
nzl,364,1997
nzl,397,1998
nzl,405,1999
nzl,410,2000
nzl,368,2001
nzl,383,2002
nzl,381,2003
nzl,382,2004
nzl,368,2005
nzl,334,2006
nzl,299,2007
nic,4458,1990
nic,4357,1991
nic,4262,1992
nic,4169,1993
nic,4075,1994
nic,3977,1995
nic,3875,1996
nic,3771,1997
nic,3665,1998
nic,3558,1999
nic,3450,2000
nic,3342,2001
nic,3234,2002
nic,3127,2003
nic,3023,2004
nic,2922,2005
nic,2825,2006
nic,2731,2007
ner,9775,1990
ner,10300,1991
ner,10870,1992
ner,11470,1993
ner,12110,1994
ner,12800,1995
ner,13530,1996
ner,14310,1997
ner,15130,1998
ner,16000,1999
ner,16910,2000
ner,17870,2001
ner,18880,2002
ner,19940,2003
ner,21060,2004
ner,22240,2005
ner,23480,2006
ner,24800,2007
nga,123300,1990
nga,140700,1991
nga,154700,1992
nga,170500,1993
nga,187000,1994
nga,205500,1995
nga,223000,1996
nga,246100,1997
nga,272600,1998
nga,303500,1999
nga,339500,2000
nga,376700,2001
nga,412800,2002
nga,441400,2003
nga,457000,2004
nga,462600,2005
nga,461600,2006
nga,460100,2007
niu,1,1990
niu,1,1991
niu,1,1992
niu,1,1993
niu,1,1994
niu,1,1995
niu,2,1996
niu,0,1997
niu,0,1998
niu,1,1999
niu,0,2000
niu,0,2001
niu,4,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,31,1990
mnp,47,1991
mnp,74,1992
mnp,51,1993
mnp,51,1994
mnp,53,1995
mnp,57,1996
mnp,103,1997
mnp,108,1998
mnp,73,1999
mnp,83,2000
mnp,64,2001
mnp,59,2002
mnp,50,2003
mnp,59,2004
mnp,63,2005
mnp,57,2006
mnp,49,2007
nor,443,1990
nor,420,1991
nor,401,1992
nor,378,1993
nor,365,1994
nor,349,1995
nor,339,1996
nor,331,1997
nor,319,1998
nor,302,1999
nor,291,2000
nor,282,2001
nor,281,2002
nor,271,2003
nor,268,2004
nor,265,2005
nor,263,2006
nor,261,2007
omn,482,1990
omn,445,1991
omn,376,1992
omn,328,1993
omn,296,1994
omn,302,1995
omn,300,1996
omn,304,1997
omn,287,1998
omn,294,1999
omn,296,2000
omn,310,2001
omn,287,2002
omn,287,2003
omn,277,2004
omn,305,2005
omn,318,2006
omn,332,2007
pak,204800,1990
pak,210500,1991
pak,215800,1992
pak,220900,1993
pak,226100,1994
pak,231600,1995
pak,237500,1996
pak,243600,1997
pak,249900,1998
pak,256000,1999
pak,261700,2000
pak,267000,2001
pak,272000,2002
pak,276800,2003
pak,281600,2004
pak,286600,2005
pak,291700,2006
pak,297100,2007
