services_percent_of_gdp,geo,time
40.13,aze,1999
37.52,aze,2000
36.72,aze,2001
34.65,aze,2002
33.95,aze,2003
33.44,aze,2004
26.51,aze,2005
23.79,aze,2006
24.5,aze,2007
23.81,aze,2008
32.27,aze,2009
29.53,aze,2010
83.87,bhs,1984
83.95,bhs,1985
83.91,bhs,1986
83.43,bhs,1987
79.76,bhs,1989
81.04,bhs,1990
78.29,bhs,1991
78.65,bhs,1992
82.07,bhs,1993
79.63,bhs,1994
80.41,bhs,1995
80.28,bhs,1996
78.57,bhs,1997
79.11,bhs,1998
80.69,bhs,1999
79.6,bhs,2000
83.77,bhs,2001
81.79,bhs,2002
81.71,bhs,2003
82.76,bhs,2004
82.41,bhs,2005
80.54,bhs,2006
84.26,bhs,2007
83.7,bhs,2008
83.58,bhs,2009
39.93,bhr,1980
41.18,bhr,1981
46.06,bhr,1982
50.66,bhr,1983
49.87,bhr,1984
50.35,bhr,1985
55.11,bhr,1986
54.63,bhr,1987
56.8,bhr,1988
56.38,bhr,1989
53.32,bhr,1990
59.25,bhr,1991
61.88,bhr,1992
61.2,bhr,1993
61.71,bhr,1994
59.19,bhr,1995
47.81,bgd,1980
47.41,bgd,1981
47.74,bgd,1982
47.41,bgd,1983
46.56,bgd,1984
45.79,bgd,1985
46.54,bgd,1986
46.8,bgd,1987
47.76,bgd,1988
48.58,bgd,1989
48.28,bgd,1990
47.9,bgd,1991
48.14,bgd,1992
49.93,bgd,1993
50.05,bgd,1994
49.06,bgd,1995
49.45,bgd,1996
49.07,bgd,1997
48.73,bgd,1998
48.67,bgd,1999
49.2,bgd,2000
49.96,bgd,2001
50.86,bgd,2002
51.98,bgd,2003
52.36,bgd,2004
52.63,bgd,2005
52.48,bgd,2006
52.38,bgd,2007
52.48,bgd,2008
52.61,bgd,2009
52.96,bgd,2010
58.81,brb,1960
58.11,brb,1961
58.47,brb,1962
56.89,brb,1963
58.81,brb,1964
58.79,brb,1965
59.76,brb,1966
61.39,brb,1967
65.62,brb,1968
67.87,brb,1969
69.49,brb,1970
70.97,brb,1971
70.77,brb,1972
71.16,brb,1973
69.66,brb,1974
68.1,brb,1975
70.98,brb,1976
69.3,brb,1977
69.34,brb,1978
69.74,brb,1979
67.54,brb,1980
70.19,brb,1981
71.39,brb,1982
69.67,brb,1983
69.52,brb,1984
73.12,brb,1985
74.04,brb,1986
74.44,brb,1987
74.32,brb,1988
76.31,brb,1989
72.94,brb,1990
73.0,brb,1991
73.14,brb,1992
74.13,brb,1993
74.21,brb,1994
73.61,brb,1995
73.04,brb,1996
72.56,brb,1997
72.58,brb,1998
72.2,brb,1999
79.38,brb,2000
80.2,brb,2001
80.1,brb,2002
79.42,brb,2003
80.06,brb,2004
77.85,brb,2005
73.8,brb,2006
74.02,brb,2007
73.48,brb,2008
73.76,brb,2009
29.36,blr,1990
29.07,blr,1991
28.65,blr,1992
43.3,blr,1993
49.02,blr,1994
45.57,blr,1995
44.39,blr,1996
43.45,blr,1997
45.52,blr,1998
46.16,blr,1999
46.68,blr,2000
50.88,blr,2001
51.24,blr,2002
51.11,blr,2003
48.8,blr,2004
48.47,blr,2005
47.86,blr,2006
48.48,blr,2007
45.96,blr,2008
48.29,blr,2009
46.86,blr,2010
53.44,bel,1970
55.19,bel,1971
55.15,bel,1972
54.78,bel,1973
55.08,bel,1974
58.29,bel,1975
58.1,bel,1976
59.27,bel,1977
60.19,bel,1978
60.74,bel,1979
62.32,bel,1980
64.44,bel,1981
64.39,bel,1982
64.54,bel,1983
65.31,bel,1984
64.79,bel,1985
65.81,bel,1986
67.09,bel,1987
66.39,bel,1988
65.78,bel,1989
66.57,bel,1990
68.59,bel,1991
69.24,bel,1992
70.39,bel,1993
70.52,bel,1994
70.13,bel,1995
70.39,bel,1996
70.05,bel,1997
70.78,bel,1998
71.66,bel,1999
71.63,bel,2000
72.61,bel,2001
73.36,bel,2002
74.17,bel,2003
74.37,bel,2004
75.14,bel,2005
75.1,bel,2006
75.4,bel,2007
76.2,bel,2008
77.69,bel,2009
77.51,bel,2010
43.99,blz,1978
47.31,blz,1979
41.69,blz,1980
46.41,blz,1981
53.2,blz,1982
54.28,blz,1983
52.17,blz,1984
54.66,blz,1985
54.51,blz,1986
49.65,blz,1987
49.26,blz,1988
53.14,blz,1989
57.83,blz,1990
59.87,blz,1991
60.68,blz,1992
61.41,blz,1993
62.57,blz,1994
61.58,blz,1995
61.17,blz,1996
62.28,blz,1997
63.01,blz,1998
63.53,blz,1999
62.06,blz,2000
64.28,blz,2001
65.46,blz,2002
65.84,blz,2003
65.84,blz,2004
67.28,blz,2005
64.85,blz,2006
66.25,blz,2007
65.07,blz,2008
43.62,ben,1960
43.99,ben,1961
45.5,ben,1962
44.81,ben,1963
43.68,ben,1964
47.4,ben,1965
43.55,ben,1966
46.51,ben,1967
50.26,ben,1968
50.44,ben,1969
51.97,ben,1970
52.16,ben,1971
51.88,ben,1972
52.08,ben,1973
51.38,ben,1974
53.3,ben,1975
53.89,ben,1976
55.59,ben,1977
51.45,ben,1978
51.66,ben,1979
52.29,ben,1980
54.42,ben,1981
52.38,ben,1982
51.49,ben,1983
49.62,ben,1984
51.75,ben,1985
54.22,ben,1986
54.35,ben,1987
52.23,ben,1988
49.38,ben,1989
50.69,ben,1990
51.0,ben,1991
50.74,ben,1992
52.83,ben,1993
51.83,ben,1994
51.4,ben,1995
48.61,ben,1996
48.06,ben,1997
48.29,ben,1998
48.46,ben,1999
49.58,ben,2000
50.03,ben,2001
52.59,ben,2002
54.2,ben,2003
54.57,ben,2004
54.38,ben,2005
90.39,bmu,1996
90.63,bmu,1997
92.42,bmu,1998
90.08,bmu,1999
87.6,bmu,2000
88.42,bmu,2001
89.1,bmu,2002
89.1,bmu,2003
89.01,bmu,2004
88.71,bmu,2005
89.69,bmu,2006
90.49,bmu,2007
89.7,bmu,2008
90.43,bmu,2009
91.44,bmu,2010
41.96,btn,1981
38.95,btn,1982
36.5,btn,1983
35.19,btn,1984
35.49,btn,1985
36.59,btn,1986
36.78,btn,1987
37.67,btn,1988
39.33,btn,1989
39.62,btn,1990
39.61,btn,1991
38.56,btn,1992
37.59,btn,1993
36.07,btn,1994
34.11,btn,1995
34.15,btn,1996
34.46,btn,1997
35.73,btn,1998
36.67,btn,1999
36.3,btn,2000
35.81,btn,2001
35.13,btn,2002
34.96,btn,2003
36.09,btn,2004
39.54,btn,2005
38.92,btn,2006
35.44,btn,2007
36.54,btn,2008
38.08,btn,2009
46.2,bol,1970
47.73,bol,1971
44.87,bol,1972
42.26,bol,1973
40.32,bol,1974
45.47,bol,1975
45.75,bol,1976
45.21,bol,1977
46.65,bol,1978
47.87,bol,1979
48.55,bol,1980
48.05,bol,1981
47.65,bol,1982
43.61,bol,1983
43.93,bol,1984
44.59,bol,1985
46.53,bol,1986
48.98,bol,1987
48.85,bol,1988
48.98,bol,1989
48.49,bol,1990
49.26,bol,1991
50.41,bol,1992
51.76,bol,1993
51.3,bol,1994
50.0,bol,1995
51.35,bol,1996
52.21,bol,1997
54.96,bol,1998
56.25,bol,1999
55.2,bol,2000
55.61,bol,2001
55.81,bol,2002
55.19,bol,2003
53.65,bol,2004
53.59,bol,2005
51.04,bol,2006
50.73,bol,2007
48.17,bol,2008
49.93,bol,2009
49.86,bol,2010
38.29,bih,1994
53.6,bih,1995
43.48,bih,1996
47.95,bih,1997
47.15,bih,1998
54.18,bih,1999
66.39,bih,2000
66.1,bih,2001
68.23,bih,2002
67.64,bih,2003
64.35,bih,2004
64.36,bih,2005
64.9,bih,2006
62.61,bih,2007
62.45,bih,2008
63.9,bih,2009
64.39,bih,2010
43.26,bwa,1960
45.85,bwa,1961
48.23,bwa,1962
50.1,bwa,1963
48.13,bwa,1964
46.95,bwa,1965
46.34,bwa,1966
36.49,bwa,1975
38.56,bwa,1976
39.34,bwa,1977
37.61,bwa,1978
34.82,bwa,1979
34.57,bwa,1980
38.44,bwa,1981
39.13,bwa,1982
37.03,bwa,1983
35.03,bwa,1984
32.41,bwa,1985
31.98,bwa,1986
31.05,bwa,1987
28.51,bwa,1988
30.08,bwa,1989
34.13,bwa,1990
36.25,bwa,1991
39.0,bwa,1992
41.94,bwa,1993
43.69,bwa,1994
44.75,bwa,1995
42.8,bwa,1996
41.47,bwa,1997
42.43,bwa,1998
42.57,bwa,1999
44.65,bwa,2000
41.02,bwa,2001
43.14,bwa,2002
48.03,bwa,2003
47.02,bwa,2004
47.61,bwa,2005
43.88,bwa,2006
44.78,bwa,2007
45.42,bwa,2008
56.65,bwa,2009
52.44,bwa,2010
42.34,bra,1960
38.76,bra,1961
49.32,bra,1962
44.6,bra,1963
47.76,bra,1964
47.71,bra,1965
49.18,bra,1966
51.04,bra,1967
49.49,bra,1968
49.42,bra,1969
49.35,bra,1970
48.94,bra,1971
48.57,bra,1972
47.64,bra,1973
47.02,bra,1974
47.73,bra,1975
47.28,bra,1976
46.68,bra,1977
48.25,bra,1978
48.35,bra,1979
45.16,bra,1980
45.54,bra,1981
45.44,bra,1982
45.11,bra,1983
42.82,bra,1984
43.15,bra,1985
43.68,bra,1986
44.11,bra,1987
46.24,bra,1988
48.81,bra,1989
53.21,bra,1990
56.05,bra,1991
53.58,bra,1992
50.83,bra,1993
50.15,bra,1994
66.7,bra,1995
68.5,bra,1996
68.47,bra,1997
68.82,bra,1998
68.58,bra,1999
66.67,bra,2000
67.1,bra,2001
66.33,bra,2002
64.77,bra,2003
62.97,bra,2004
65.02,bra,2005
65.75,bra,2006
66.63,bra,2007
66.19,bra,2008
68.5,bra,2009
67.41,bra,2010
8.149,brn,1974
9.147,brn,1975
8.421,brn,1976
14.21,brn,1977
18.3,brn,1978
14.89,brn,1979
14.54,brn,1980
17.46,brn,1981
19.47,brn,1982
21.7,brn,1983
25.46,brn,1984
26.98,brn,1985
39.27,brn,1986
38.56,brn,1987
45.52,brn,1988
39.24,brn,1989
37.48,brn,1990
39.41,brn,1991
38.64,brn,1992
41.69,brn,1993
44.97,brn,1994
44.57,brn,1995
42.57,brn,1996
42.73,brn,1997
47.06,brn,1998
43.58,brn,1999
35.31,brn,2000
38.82,brn,2001
38.24,brn,2002
34.63,brn,2003
31.02,brn,2004
27.49,brn,2005
26.12,brn,2006
28.01,brn,2007
25.25,brn,2008
30.9,bgr,1980
29.73,bgr,1981
24.97,bgr,1982
25.12,bgr,1983
24.11,bgr,1984
25.25,bgr,1985
21.74,bgr,1986
29.09,bgr,1987
30.96,bgr,1988
31.76,bgr,1989
33.78,bgr,1990
39.3,bgr,1991
43.57,bgr,1992
51.52,bgr,1993
51.88,bgr,1994
56.43,bgr,1995
60.59,bgr,1996
47.3,bgr,1997
54.32,bgr,1998
59.02,bgr,1999
60.56,bgr,2000
59.98,bgr,2001
61.22,bgr,2002
61.05,bgr,2003
62.0,bgr,2004
61.95,bgr,2005
62.26,bgr,2006
62.17,bgr,2007
62.43,bgr,2008
63.82,bgr,2009
63.26,bgr,2010
39.62,bfa,1960
39.83,bfa,1961
40.33,bfa,1962
38.44,bfa,1963
38.41,bfa,1964
43.2,bfa,1965
42.41,bfa,1966
43.18,bfa,1967
44.38,bfa,1968
44.21,bfa,1969
45.78,bfa,1970
42.65,bfa,1971
42.56,bfa,1972
41.72,bfa,1973
43.67,bfa,1974
42.43,bfa,1975
41.12,bfa,1976
46.89,bfa,1977
45.34,bfa,1978
48.45,bfa,1979
50.11,bfa,1980
49.94,bfa,1981
52.13,bfa,1982
50.97,bfa,1983
50.49,bfa,1984
45.38,bfa,1985
48.09,bfa,1986
48.36,bfa,1987
48.1,bfa,1988
48.65,bfa,1989
50.24,bfa,1990
49.16,bfa,1991
49.21,bfa,1992
48.56,bfa,1993
43.0,bfa,1994
43.29,bfa,1995
41.1,bfa,1996
42.42,bfa,1997
41.65,bfa,1998
42.2,bfa,1999
46.6,bfa,2000
44.13,bfa,2001
43.98,bfa,2002
42.76,bfa,2003
43.98,bfa,2004
43.22,bfa,2005
44.36,bfa,2006
19.2,bdi,1970
20.3,bdi,1971
23.07,bdi,1972
19.56,bdi,1973
21.05,bdi,1974
20.85,bdi,1975
22.42,bdi,1976
22.16,bdi,1977
23.19,bdi,1978
22.81,bdi,1979
25.13,bdi,1980
25.27,bdi,1981
27.7,bdi,1982
27.25,bdi,1983
26.03,bdi,1984
25.46,bdi,1985
27.96,bdi,1986
27.76,bdi,1987
29.09,bdi,1988
26.66,bdi,1989
25.16,bdi,1990
26.09,bdi,1991
25.29,bdi,1992
24.93,bdi,1993
30.74,bdi,1994
32.61,bdi,1995
30.15,bdi,1996
34.96,bdi,1997
36.83,bdi,1998
38.45,bdi,1999
40.81,bdi,2000
41.45,bdi,2001
40.87,bdi,2002
41.0,bdi,2003
41.0,bdi,2004
45.14,bdi,2005
40.49,khm,1993
37.95,khm,1994
35.55,khm,1995
37.7,khm,1996
36.58,khm,1997
36.26,khm,1998
37.55,khm,1999
39.13,khm,2000
40.35,khm,2001
41.52,khm,2002
40.14,khm,2003
41.65,khm,2004
41.23,khm,2005
40.77,khm,2006
41.34,khm,2007
41.34,khm,2008
41.29,khm,2009
40.73,khm,2010
46.97,cmr,1965
47.49,cmr,1966
48.76,cmr,1967
49.0,cmr,1968
49.84,cmr,1969
50.0,cmr,1970
49.77,cmr,1971
49.18,cmr,1972
50.59,cmr,1973
52.59,cmr,1974
52.64,cmr,1975
53.43,cmr,1976
47.96,cmr,1977
52.69,cmr,1978
48.53,cmr,1979
43.13,cmr,1980
40.74,cmr,1981
39.24,cmr,1982
40.97,cmr,1983
38.76,cmr,1984
42.48,cmr,1985
44.05,cmr,1986
45.13,cmr,1987
46.16,cmr,1988
44.24,cmr,1989
45.97,cmr,1990
45.69,cmr,1991
46.97,cmr,1992
47.02,cmr,1993
44.03,cmr,1994
45.02,cmr,1995
45.56,cmr,1996
44.7,cmr,1997
45.45,cmr,1998
43.56,cmr,1999
41.85,cmr,2000
45.23,cmr,2001
45.85,cmr,2002
47.59,cmr,2003
48.86,cmr,2004
50.1,cmr,2005
48.75,cmr,2006
49.89,cmr,2007
54.66,can,1965
55.08,can,1966
57.18,can,1967
57.56,can,1968
58.12,can,1969
60.2,can,1970
60.52,can,1971
60.79,can,1972
58.18,can,1973
57.2,can,1974
59.09,can,1975
59.97,can,1976
60.06,can,1977
60.0,can,1978
58.6,can,1979
58.8,can,1980
60.02,can,1981
62.13,can,1982
62.03,can,1983
61.11,can,1984
61.43,can,1985
63.78,can,1986
63.7,can,1987
63.61,can,1988
64.36,can,1989
65.83,can,1990
68.02,can,1991
68.65,can,1992
68.33,can,1993
67.26,can,1994
66.37,can,1995
66.09,can,1996
66.64,can,1997
67.41,can,1998
66.32,can,1999
64.52,can,2000
65.88,can,2001
66.85,can,2002
66.65,can,2003
66.21,can,2004
65.8,can,2005
66.45,can,2006
66.77,can,2007
66.43,cpv,1986
64.73,cpv,1987
63.15,cpv,1988
63.16,cpv,1989
64.26,cpv,1990
65.14,cpv,1991
66.35,cpv,1992
65.82,cpv,1993
67.44,cpv,1994
66.91,cpv,1995
67.25,cpv,1996
70.05,cpv,1997
71.4,cpv,1998
69.78,cpv,1999
71.77,cpv,2000
74.75,cpv,2001
74.91,cpv,2002
75.14,cpv,2003
75.08,cpv,2004
75.29,cpv,2005
75.63,cpv,2006
77.13,cpv,2007
76.53,cpv,2008
74.33,cpv,2009
73.49,cpv,2010
38.22,caf,1965
36.09,caf,1966
36.34,caf,1967
33.5,caf,1968
34.4,caf,1969
38.46,caf,1970
35.83,caf,1971
34.24,caf,1972
34.03,caf,1973
38.0,caf,1974
39.34,caf,1975
39.62,caf,1976
40.07,caf,1977
37.96,caf,1978
38.38,caf,1979
39.94,caf,1980
41.42,caf,1981
45.23,caf,1982
44.95,caf,1983
42.97,caf,1984
36.48,caf,1985
36.14,caf,1986
37.78,caf,1987
35.06,caf,1988
34.88,caf,1989
32.74,caf,1990
34.15,caf,1991
33.18,caf,1992
32.81,caf,1993
33.05,caf,1994
32.68,caf,1995
30.95,caf,1996
29.36,caf,1997
27.79,caf,1998
27.22,caf,1999
31.03,caf,2000
30.08,caf,2001
30.43,caf,2002
24.62,caf,2003
30.69,caf,2004
31.41,caf,2005
30.74,caf,2006
31.91,caf,2007
32.91,caf,2008
28.71,caf,2009
49.6,tcd,1960
50.07,tcd,1961
51.01,tcd,1962
50.47,tcd,1963
51.17,tcd,1964
50.49,tcd,1965
48.45,tcd,1966
44.46,tcd,1967
44.12,tcd,1968
45.51,tcd,1969
46.87,tcd,1970
46.89,tcd,1971
46.97,tcd,1972
46.58,tcd,1973
45.74,tcd,1974
46.22,tcd,1975
47.55,tcd,1976
51.28,tcd,1977
51.18,tcd,1978
48.79,tcd,1979
46.0,tcd,1980
48.52,tcd,1981
48.16,tcd,1982
47.57,tcd,1983
50.35,tcd,1984
48.88,tcd,1985
52.39,tcd,1986
52.33,tcd,1987
49.73,tcd,1988
51.67,tcd,1989
53.0,tcd,1990
50.24,tcd,1991
51.22,tcd,1992
53.45,tcd,1993
50.24,tcd,1994
50.52,tcd,1995
48.07,tcd,1996
45.82,tcd,1997
45.71,tcd,1998
47.5,tcd,1999
46.34,tcd,2000
44.61,tcd,2001
45.72,tcd,2002
42.04,tcd,2003
29.41,tcd,2004
27.29,tcd,2005
27.75,tcd,2006
33.22,tcd,2007
37.53,tcd,2008
55.18,chl,1960
53.04,chl,1961
53.69,chl,1962
53.72,chl,1963
49.77,chl,1964
51.37,chl,1965
50.58,chl,1966
50.75,chl,1967
50.64,chl,1968
49.85,chl,1969
51.13,chl,1970
52.9,chl,1971
53.63,chl,1972
52.05,chl,1973
44.95,chl,1974
54.96,chl,1975
50.98,chl,1976
53.27,chl,1977
55.41,chl,1978
54.75,chl,1979
55.3,chl,1980
57.12,chl,1981
59.78,chl,1982
54.24,chl,1983
52.0,chl,1984
54.78,chl,1985
54.04,chl,1986
52.8,chl,1987
48.04,chl,1988
49.55,chl,1989
49.83,chl,1990
49.99,chl,1991
52.01,chl,1992
55.0,chl,1993
55.01,chl,1994
55.47,chl,1995
53.73,chl,1996
54.05,chl,1997
56.42,chl,1998
56.45,chl,1999
55.49,chl,2000
55.49,chl,2001
54.77,chl,2002
56.93,chl,2003
54.08,chl,2004
52.05,chl,2005
47.23,chl,2006
47.21,chl,2007
50.89,chl,2008
53.1,chl,2009
53.86,chl,2010
32.96,chn,1960
31.95,chn,1961
28.71,chn,1962
26.9,chn,1963
26.08,chn,1964
26.97,chn,1965
24.43,chn,1966
25.76,chn,1967
26.67,chn,1968
26.45,chn,1969
24.29,chn,1970
23.79,chn,1971
24.09,chn,1972
23.54,chn,1973
23.4,chn,1974
21.88,chn,1975
21.72,chn,1976
23.45,chn,1977
23.94,chn,1978
21.63,chn,1979
21.6,chn,1980
22.01,chn,1981
21.85,chn,1982
22.44,chn,1983
24.78,chn,1984
28.67,chn,1985
29.14,chn,1986
29.64,chn,1987
30.51,chn,1988
32.06,chn,1989
31.54,chn,1990
33.69,chn,1991
34.76,chn,1992
33.72,chn,1993
33.57,chn,1994
32.86,chn,1995
32.77,chn,1996
34.17,chn,1997
36.23,chn,1998
37.77,chn,1999
39.02,chn,2000
40.46,chn,2001
41.47,chn,2002
41.23,chn,2003
40.38,chn,2004
40.51,chn,2005
40.94,chn,2006
41.89,chn,2007
41.82,chn,2008
43.43,chn,2009
43.14,chn,2010
43.77,col,1965
45.13,col,1966
44.91,col,1967
45.14,col,1968
45.54,col,1969
46.02,col,1970
47.58,col,1971
46.1,col,1972
44.24,col,1973
44.51,col,1974
45.78,col,1975
44.39,col,1976
43.49,col,1977
45.8,col,1978
47.74,col,1979
47.6,col,1980
48.71,col,1981
48.93,col,1982
48.53,col,1983
48.19,col,1984
47.01,col,1985
44.65,col,1986
45.28,col,1987
45.04,col,1988
45.15,col,1989
45.36,col,1990
45.43,col,1991
49.25,col,1992
50.12,col,1993
52.49,col,1994
53.02,col,1995
55.42,col,1996
56.92,col,1997
57.37,col,1998
57.44,col,1999
61.59,col,2000
61.66,col,2001
61.52,col,2002
59.96,col,2003
59.28,col,2004
58.96,col,2005
57.96,col,2006
58.26,col,2007
57.84,col,2008
58.49,col,2009
56.74,col,2010
52.82,com,1980
53.17,com,1981
52.41,com,1982
50.82,com,1983
50.05,com,1984
49.81,com,1985
49.64,com,1986
51.44,com,1987
51.15,com,1988
50.8,com,1989
50.31,com,1990
50.98,com,1991
49.05,com,1992
48.93,com,1993
48.77,com,1994
47.17,com,1995
47.17,com,1996
47.17,com,1997
47.13,com,1998
47.11,com,1999
39.93,com,2000
38.32,com,2001
38.26,com,2002
36.73,com,2003
36.87,com,2004
37.99,com,2005
43.01,com,2006
42.8,com,2007
42.21,com,2008
41.58,com,2009
47.65,cod,1965
47.96,cod,1966
48.01,cod,1967
44.18,cod,1968
43.27,cod,1969
38.58,cod,1970
43.45,cod,1971
46.78,cod,1972
42.05,cod,1973
41.01,cod,1974
45.04,cod,1975
46.45,cod,1976
50.16,cod,1977
47.39,cod,1978
44.55,cod,1979
38.18,cod,1980
40.35,cod,1981
40.66,cod,1982
38.46,cod,1983
39.14,cod,1984
37.13,cod,1985
39.96,cod,1986
42.0,cod,1987
39.98,cod,1988
39.84,cod,1989
40.04,cod,1990
40.76,cod,1991
34.1,cod,1992
31.77,cod,1993
27.0,cod,1994
26.0,cod,1995
33.81,cod,1996
30.33,cod,1997
31.64,cod,1998
28.45,cod,1999
29.73,cod,2000
20.09,cod,2001
27.5,cod,2002
27.5,cod,2003
28.29,cod,2004
27.55,cod,2005
26.6,cod,2006
29.13,cod,2007
31.83,cod,2008
33.05,cod,2009
59.26,cog,1960
61.47,cog,1961
62.31,cog,1962
61.24,cog,1963
61.05,cog,1964
61.93,cog,1965
