geo,patent_applications_total,time
isl,41570,1999
isl,59660,2000
isl,76700,2001
isl,90400,2002
ind,3294,1984
ind,3475,1985
ind,3496,1986
ind,3508,1987
ind,3537,1988
ind,3648,1989
ind,3820,1990
ind,3595,1991
ind,3424,1992
ind,3720,1993
ind,4800,1994
ind,6566,1995
ind,8292,1996
ind,10160,1997
ind,10110,1998
ind,41500,1999
ind,60940,2000
ind,78520,2001
ind,91920,2002
idn,585,1984
idn,780,1985
idn,623,1986
idn,663,1987
idn,689,1988
idn,774,1989
idn,1336,1991
idn,4027,1992
idn,2382,1994
idn,3997,1996
idn,4517,1997
idn,32910,1998
idn,42500,1999
idn,60360,2000
idn,77410,2001
idn,90920,2002
irn,474,1984
irn,406,1985
irn,399,1986
irn,372,1987
irn,340,1988
irn,311,1989
irn,355,1990
irn,427,1991
irn,400,1992
irn,442,1993
irn,397,1994
irn,407,1995
irn,418,1997
irn,496,1998
irn,543,1999
irn,616,2000
irn,993,2001
irq,218,1984
irq,373,1985
irq,253,1986
irq,321,1987
irq,324,1988
irq,322,1989
irq,174,1992
irq,192,1993
irq,137,1994
irq,100,1995
irq,86,1996
irl,3372,1984
irl,3340,1985
irl,3421,1986
irl,3565,1987
irl,3901,1988
irl,4230,1989
irl,4735,1990
irl,4580,1991
irl,14680,1992
irl,36790,1993
irl,41700,1994
irl,45590,1995
irl,53330,1996
irl,83430,1997
irl,112300,1998
irl,120800,1999
irl,140500,2000
irl,156500,2001
irl,163400,2002
isr,3386,1984
isr,3517,1985
isr,3649,1986
isr,3858,1987
isr,3854,1988
isr,4090,1989
isr,3908,1990
isr,3717,1991
isr,3727,1992
isr,3953,1993
isr,3962,1994
isr,4425,1995
isr,13540,1996
isr,30340,1997
isr,42270,1998
isr,49410,1999
isr,67860,2000
isr,84400,2001
isr,97280,2002
ita,11520,1984
ita,38740,1985
ita,43120,1986
ita,47790,1987
ita,53680,1988
ita,49090,1989
ita,55570,1990
ita,53300,1991
ita,64660,1992
ita,65170,1993
ita,69330,1994
ita,64960,1995
ita,80850,1996
ita,91410,1997
ita,123600,1998
ita,128300,1999
ita,151200,2000
ita,156900,2001
ita,164000,2002
jam,103,1984
jam,104,1987
jam,81,1990
jam,41,1991
jam,65,1992
jam,68,1994
jam,61,1995
jam,101,2000
jam,69,2001
jam,69,2002
jpn,282300,1984
jpn,305400,1985
jpn,322600,1986
jpn,344100,1987
jpn,345400,1988
jpn,357500,1989
jpn,376800,1990
jpn,380500,1991
jpn,384500,1992
jpn,380000,1993
jpn,370700,1994
jpn,389000,1995
jpn,401300,1996
jpn,418000,1997
jpn,437400,1998
jpn,442200,1999
jpn,486200,2000
jpn,496600,2001
jpn,486900,2002
kaz,445,1992
kaz,9449,1993
kaz,14040,1994
kaz,17400,1995
kaz,21090,1996
kaz,26170,1997
kaz,35340,1998
kaz,41830,1999
kaz,59590,2000
kaz,77170,2001
kaz,89420,2002
ken,122,1984
ken,107,1985
ken,144,1986
ken,129,1987
ken,90,1988
ken,107,1989
ken,68,1990
ken,131,1991
ken,110,1992
ken,175,1993
ken,8963,1994
ken,28730,1995
ken,39050,1996
ken,49960,1997
ken,67830,1998
ken,80540,1999
ken,115900,2000
ken,150400,2001
ken,177600,2002
kir,2,1999
prk,533,1985
prk,4773,1986
prk,5425,1987
prk,6492,1988
prk,8526,1989
prk,10030,1990
prk,4549,1991
prk,6170,1992
prk,8379,1993
prk,12300,1994
prk,15690,1995
prk,20580,1996
prk,25470,1997
prk,33920,1998
prk,40390,1999
prk,57800,2000
prk,74670,2001
prk,88050,2002
kor,8633,1984
kor,11790,1985
kor,14120,1986
kor,18840,1987
kor,22790,1988
kor,26660,1989
kor,31390,1990
kor,36150,1991
kor,40160,1992
kor,47340,1993
kor,60590,1994
kor,96560,1995
kor,114000,1996
kor,130000,1997
kor,46520,1998
kor,133100,1999
kor,172200,2000
kor,190000,2001
kor,203700,2002
kgz,7452,1994
kgz,15720,1995
kgz,20300,1996
kgz,25100,1997
kgz,33900,1998
kgz,40190,1999
kgz,58200,2000
kgz,75570,2001
kgz,89480,2002
lva,661,1992
lva,2666,1993
lva,11570,1994
lva,16350,1995
lva,21700,1996
lva,27020,1997
lva,35960,1998
lva,90280,1999
lva,112200,2000
lva,130400,2001
lva,140600,2002
lbn,104,2000
lso,17,1988
lso,44,1989
lso,35,1990
lso,59,1991
lso,82,1992
lso,97,1993
lso,70,1994
lso,2616,1995
