geo,data_quality_population,time
isr,3,1899
isr,3,1900
isr,3,1901
isr,3,1902
isr,3,1903
isr,3,1904
isr,3,1905
isr,3,1906
isr,3,1907
isr,3,1908
isr,3,1909
isr,3,1910
isr,3,1911
isr,3,1912
isr,3,1913
isr,3,1914
isr,4,1918
isr,3,1922
isr,2,1931
isr,3,1946
jam,5,1800
jey,5,1800
jey,5,1820
jor,5,1800
kaz,5,1800
ken,5,1800
ken,3,1921
ken,3,1931
ken,2,1949
kir,5,1800
prk,5,1800
kor,5,1800
kos,5,1800
kwt,5,1800
kgz,5,1800
lao,5,1800
lva,5,1800
lbn,5,1800
lso,5,1800
lso,5,1820
lbr,5,1800
lbr,5,1820
lie,5,1800
lie,5,1820
ltu,5,1800
lux,5,1800
lux,5,1820
mac,2,1900
mac,2,1910
mac,2,1920
mac,2,1927
mac,2,1940
mkd,5,1800
mwi,5,1800
mwi,2,1901
mwi,2,1911
mwi,2,1921
mwi,2,1926
mwi,2,1931
mwi,2,1945
mys,5,1800
mdv,5,1800
mdv,2,1911
mdv,2,1921
mdv,2,1931
mdv,2,1946
mli,5,1800
mli,5,1820
mlt,5,1800
mlt,5,1820
mhl,5,1800
mtq,5,1800
mrt,5,1800
mrt,5,1820
mus,3,1850
mus,3,1861
mus,3,1871
mus,3,1881
mus,3,1891
mus,3,1901
mus,3,1911
mus,3,1921
mus,3,1931
mus,3,1944
myt,5,1800
myt,5,1820
mex,4,1600
mex,4,1700
fsm,5,1800
mda,5,1800
mco,5,1800
mco,5,1820
mng,5,1800
mne,5,1800
mne,5,1820
msr,5,1800
msr,2,1851
msr,2,1861
msr,2,1871
msr,2,1881
msr,2,1891
msr,2,1901
msr,2,1911
msr,2,1921
msr,2,1946
mmr,5,1800
mmr,5,1820
mmr,5,1850
nam,5,1800
nam,2,1921
nam,2,1946
nru,5,1800
npl,5,1800
npl,5,1820
npl,5,1850
ant,5,1800
ncl,5,1800
nic,5,1800
ner,5,1800
ner,5,1820
nga,5,1800
nga,5,1820
nga,3,1921
nga,2,1931
niu,5,1700
niu,4,1800
nfk,2,1981
nfk,2,1986
nfk,2,1991
nfk,2,1996
nfk,2,2001
mnp,5,1800
omn,5,1800
plw,5,1800
pan,5,1800
png,5,1800
pry,5,1800
per,4,1600
per,4,1700
phl,5,1800
pcn,2,1600
pcn,2,1789
pri,2,1765
pri,2,1775
pri,2,1800
pri,2,1815
pri,2,1832
pri,2,1860
pri,2,1877
pri,2,1887
pri,2,1899
qat,5,1800
reu,5,1800
reu,5,1820
rus,5,1800
rwa,5,1800
rwa,5,1820
shn,5,1800
shn,5,1820
shn,2,1854
shn,2,1861
shn,2,1871
shn,2,1881
shn,2,1891
shn,2,1901
shn,2,1911
shn,2,1921
shn,2,1931
shn,2,1946
stmar,5,1800
stmar,5,1820
spm,5,1800
wsm,5,1700
wsm,4,1800
wsm,4,1850
wsm,3,1900
wsm,2,1906
wsm,2,1911
wsm,2,1921
wsm,2,1926
wsm,2,1936
wsm,2,1945
smr,5,1800
smr,5,1820
stp,5,1800
stp,5,1820
sau,5,1800
sen,5,1800
sen,5,1820
srb,5,1800
srb,5,1820
scg,5,1800
scg_ex_kos,5,1800
scg_ex_kos,5,1820
syc,5,1800
syc,5,1820
syc,2,1891
syc,2,1901
syc,2,1911
syc,2,1921
syc,2,1931
sle,5,1800
sle,5,1820
sgp,5,1800
svk,5,1800
svn,5,1800
slb,5,1800
slb,2,1931
lka,5,1800
kna,5,1800
lca,5,1800
lca,2,1851
lca,2,1861
lca,2,1871
lca,2,1881
lca,2,1891
lca,2,1901
lca,2,1911
lca,2,1921
lca,2,1946
vct,5,1800
vct,2,1851
vct,2,1861
vct,2,1871
vct,2,1881
vct,2,1891
vct,2,1901
vct,2,1911
vct,2,1921
vct,2,1931
vct,2,1946
sur,5,1800
sjm,4,1800
swz,5,1800
swz,2,1904
swz,2,1911
swz,2,1921
swz,2,1936
swz,2,1946
syr,5,1800
twn,5,1800
tjk,5,1800
tza,5,1800
tza,5,1820
tza,2,1921
tza,2,1931
tza,2,1948
tha,5,1800
tls,5,1800
tls,2,1926
tls,2,1935
tgo,5,1800
tgo,5,1820
tkl,5,1700
tkl,4,1800
ton,5,1700
ton,4,1800
ton,2,1901
ton,2,1911
ton,2,1921
ton,2,1931
ton,2,1939
tto,5,1800
tto,5,1870
tkm,5,1800
tca,5,1800
tca,5,1820
tca,2,1871
tca,2,1881
tca,2,1891
tca,2,1901
tca,2,1911
tca,2,1921
tca,2,1943
tuv,5,1800
uga,5,1800
uga,5,1820
uga,3,1911
uga,3,1921
uga,2,1931
uga,2,1948
ukr,5,1800
are,5,1800
ury,5,1800
uzb,5,1800
wlf,5,1800
vut,5,1800
ven,5,1800
pse,5,1800
pse,4,1850
pse,4,1860
pse,3,1877
pse,3,1878
pse,3,1879
pse,3,1880
pse,3,1881
pse,3,1882
pse,3,1883
pse,3,1884
pse,3,1885
pse,3,1886
pse,3,1887
pse,3,1888
pse,3,1889
pse,3,1890
pse,3,1891
pse,3,1892
pse,3,1893
pse,3,1894
pse,3,1895
pse,3,1896
pse,3,1897
pse,3,1898
pse,3,1899
pse,3,1900
pse,3,1901
pse,3,1902
pse,3,1903
pse,3,1904
pse,3,1905
pse,3,1906
pse,3,1907
pse,3,1908
pse,3,1909
pse,3,1910
pse,3,1911
pse,3,1912
pse,3,1913
pse,3,1914
pse,4,1918
pse,3,1922
pse,2,1931
pse,3,1946
deu_west,5,1800
esh,5,1800
esh,5,1820
vnm,5,1800
vir,5,1800
vir,2,1850
vir,2,1855
vir,2,1860
vir,2,1870
vir,2,1880
vir,2,1890
vir,2,1901
vir,2,1911
vir,2,1917
vir,2,1930
vir,2,1940
yem_north,5,1800
yem_south,5,1800
yem,5,1800
zmb,5,1800
zmb,2,1904
zmb,2,1911
zmb,2,1921
zmb,2,1931
zwe,5,1800
zwe,5,1820
