geo,self_employed_percent_of_labour_force,time
hkg,11.3,2001
hkg,12.2,2002
hkg,12.0,2003
hkg,11.8,2004
hkg,11.5,2005
hkg,11.6,2006
hkg,10.7,2007
hun,12.6,1992
hun,11.6,1993
hun,11.5,1994
hun,11.8,1995
hun,12.4,1996
hun,12.1,1997
hun,11.5,1998
hun,14.7,1999
hun,14.2,2000
hun,13.5,2001
hun,13.2,2002
hun,12.8,2003
hun,13.7,2004
hun,13.2,2005
hun,12.2,2006
hun,11.9,2007
isl,13.1,1980
isl,12.5,1981
isl,12.6,1982
isl,12.5,1983
isl,12.7,1984
isl,12.5,1985
isl,13.5,1986
isl,15.3,1987
isl,15.2,1988
isl,15.0,1989
isl,15.1,1990
isl,17.8,1991
isl,16.7,1992
isl,15.2,1993
isl,16.7,1994
isl,18.1,1995
isl,17.7,1996
isl,17.2,1997
isl,17.6,1998
isl,17.4,1999
isl,17.5,2000
isl,16.5,2001
isl,16.3,2002
isl,13.7,2003
isl,13.8,2004
isl,13.9,2005
isl,14.4,2006
isl,13.5,2007
idn,46.0,1997
idn,47.6,1998
idn,48.6,1999
idn,47.0,2000
idn,44.7,2001
idn,50.2,2002
idn,48.7,2003
idn,49.6,2004
idn,48.4,2005
idn,49.2,2006
idn,48.7,2007
irn,39.7,1996
irn,36.2,2005
irn,37.8,2007
irl,21.5,1980
irl,20.5,1981
irl,20.8,1982
irl,21.3,1983
irl,21.7,1984
irl,21.2,1985
irl,21.2,1986
irl,21.3,1987
irl,22.1,1988
irl,21.8,1989
irl,22.2,1990
irl,21.3,1991
irl,22.1,1992
irl,21.6,1993
irl,21.0,1994
irl,20.7,1995
irl,19.6,1996
irl,19.4,1997
irl,18.8,1998
irl,17.8,1999
irl,17.6,2000
irl,17.0,2001
irl,17.1,2002
irl,16.7,2003
irl,17.2,2004
irl,16.6,2005
irl,15.7,2006
irl,16.1,2007
gbm,14.6,2001
isr,14.8,1995
isr,15.3,1996
isr,14.8,1997
isr,14.5,1998
isr,14.6,1999
isr,13.7,2000
isr,13.0,2001
isr,13.1,2002
isr,13.4,2003
isr,12.8,2004
isr,12.8,2005
isr,12.9,2006
isr,12.5,2007
ita,23.3,1980
ita,23.5,1981
ita,23.6,1982
ita,24.2,1983
ita,24.6,1984
ita,24.3,1985
ita,24.5,1986
ita,24.6,1987
ita,24.5,1988
ita,24.8,1989
ita,24.5,1990
ita,24.4,1991
ita,24.5,1992
ita,23.6,1993
ita,23.9,1994
ita,24.4,1995
ita,24.5,1996
ita,24.4,1997
ita,24.3,1998
ita,24.3,1999
ita,24.1,2000
ita,23.6,2001
ita,23.2,2002
ita,23.1,2003
ita,23.3,2004
ita,22.8,2005
ita,22.4,2006
ita,22.1,2007
jam,40.3,1991
jam,40.1,1992
jam,38.9,1993
jam,38.6,1994
jam,37.0,1995
jam,37.5,1996
jam,37.7,1997
jam,38.2,1998
jam,38.4,1999
jam,38.6,2000
jam,38.0,2001
jam,36.9,2002
jam,37.2,2003
jam,37.4,2004
jam,36.4,2005
jam,37.3,2006
jpn,17.2,1980
jpn,16.9,1981
jpn,16.7,1982
jpn,16.4,1983
jpn,15.9,1984
jpn,15.8,1985
jpn,15.6,1986
jpn,15.5,1987
jpn,15.1,1988
jpn,14.6,1989
jpn,14.1,1990
jpn,13.5,1991
jpn,13.1,1992
jpn,12.6,1993
jpn,12.3,1994
jpn,12.1,1995
jpn,11.8,1996
jpn,11.8,1997
jpn,11.7,1998
jpn,11.7,1999
jpn,11.4,2000
jpn,10.8,2001
jpn,10.6,2002
jpn,10.4,2003
jpn,10.4,2004
jpn,10.2,2005
jpn,9.9,2006
jpn,9.7,2007
kaz,41.3,2001
kaz,38.9,2002
kaz,38.5,2003
kaz,36.6,2004
kor,34.0,1980
kor,33.8,1981
kor,34.1,1982
kor,33.8,1983
kor,31.7,1984
kor,31.3,1985
kor,31.4,1986
kor,30.5,1987
kor,30.2,1988
kor,28.8,1989
kor,28.0,1990
kor,28.0,1991
kor,28.5,1992
kor,28.2,1993
kor,27.8,1994
kor,27.9,1995
kor,27.9,1996
kor,28.3,1997
kor,28.9,1998
kor,28.8,1999
kor,27.7,2000
kor,28.1,2001
kor,27.9,2002
kor,27.3,2003
kor,27.1,2004
kor,27.0,2005
kor,26.5,2006
kor,25.8,2007
kgz,46.7,2002
kgz,40.2,2003
kgz,36.7,2004
kgz,36.5,2005
kgz,36.0,2006
lao,56.9,1995
lva,10.2,1996
lva,13.1,1997
lva,11.9,1998
lva,11.0,1999
lva,11.0,2000
lva,10.3,2001
lva,9.5,2002
lva,9.3,2003
lva,9.6,2004
lva,9.3,2005
lva,10.1,2006
lva,9.1,2007
lso,19.8,1987
lso,60.3,1997
lso,5.5,1999
ltu,18.3,1997
ltu,16.6,1998
ltu,15.7,1999
ltu,16.3,2000
ltu,16.1,2001
ltu,16.6,2002
ltu,16.9,2003
ltu,15.1,2004
ltu,14.0,2005
ltu,13.3,2006
ltu,11.9,2007
lux,13.5,1980
lux,12.7,1981
lux,12.4,1982
lux,12.3,1983
lux,12.2,1984
lux,11.5,1985
lux,11.0,1986
lux,10.6,1987
lux,10.1,1988
lux,9.6,1989
lux,9.1,1990
lux,8.6,1991
lux,8.5,1992
lux,8.3,1993
lux,8.4,1994
lux,8.4,1995
lux,8.3,1996
lux,8.2,1997
lux,8.0,1998
lux,7.7,1999
lux,7.4,2000
lux,7.1,2001
lux,6.9,2002
lux,6.8,2003
lux,6.7,2004
lux,6.5,2005
mac,9.5,1996
mac,8.1,1997
mac,8.1,1998
mac,9.2,1999
mac,10.3,2000
mac,9.3,2001
mac,9.1,2002
mac,9.3,2003
mac,9.8,2004
mac,9.1,2005
mac,8.4,2006
mac,7.9,2007
mdg,53.9,1993
mdg,43.7,2003
mwi,83.9,1987
mys,27.7,1991
mys,20.7,1995
mys,21.0,1996
mys,19.5,1997
mys,20.6,1998
mys,19.1,1999
mys,20.1,2000
mys,19.5,2001
mys,18.5,2002
mys,18.9,2003
mys,20.4,2004
mys,20.0,2005
mys,20.7,2006
mys,20.8,2007
mdv,44.6,1990
mdv,52.4,1995
mdv,58.7,2000
mli,29.1,1994
mli,71.4,2004
mlt,14.3,2001
mlt,13.9,2002
mlt,14.2,2003
mlt,14.1,2004
mlt,13.7,2005
mlt,13.6,2006
mlt,13.8,2007
mhl,26.7,1999
mus,13.0,1990
mus,16.7,1995
mus,15.9,2000
mus,17.7,2004
mus,17.3,2005
mus,17.3,2006
mus,18.0,2007
mex,21.7,1980
mex,25.6,1990
mex,31.6,1991
mex,32.4,1992
mex,30.9,1993
mex,31.7,1994
mex,29.8,1995
mex,28.9,1996
mex,29.3,1997
mex,28.5,1998
mex,28.5,1999
mex,27.8,2000
mex,28.5,2001
mex,28.6,2002
mex,28.9,2003
mex,28.9,2004
mex,28.3,2005
mex,27.6,2006
mex,27.7,2007
mng,33.0,2000
mng,35.6,2003
mne,17.3,2005
msr,16.2,1991
mar,32.3,1994
mar,26.4,1999
mar,30.9,2000
mar,31.5,2001
mar,30.8,2002
mar,31.1,2003
mar,30.7,2004
mar,30.9,2005
mar,29.3,2006
nam,20.7,1994
nam,22.9,1997
nam,32.5,2000
nam,16.0,2001
nam,22.3,2004
npl,66.5,2001
nld,12.2,1980
nld,12.6,1981
nld,12.4,1982
nld,11.9,1983
nld,11.9,1984
nld,11.6,1985
nld,11.3,1986
nld,9.9,1987
nld,9.7,1988
nld,9.6,1989
nld,9.6,1990
nld,9.6,1991
nld,9.8,1992
nld,10.3,1993
nld,11.0,1994
nld,10.7,1995
nld,10.8,1996
nld,11.0,1997
nld,11.0,1998
nld,10.4,1999
nld,11.2,2000
nld,11.6,2001
nld,12.0,2002
nld,12.3,2003
nld,12.8,2004
nld,13.1,2005
nld,12.9,2006
nld,13.1,2007
ant,9.1,1991
ant,7.6,1992
ant,8.0,1993
ant,9.0,1994
ant,8.7,1995
ant,8.7,1996
ant,6.8,1997
ant,9.3,1998
ant,9.0,2000
ant,21.5,2002
ant,23.0,2003
ant,23.7,2004
ant,22.4,2005
ant,21.8,2006
ant,22.6,2007
ncl,15.9,1996
nzl,18.3,1980
nzl,13.5,1981
nzl,16.7,1986
nzl,17.1,1987
nzl,18.1,1988
nzl,18.6,1989
nzl,18.5,1990
nzl,19.2,1991
nzl,20.1,1992
nzl,20.1,1993
nzl,20.0,1994
nzl,19.9,1995
nzl,19.7,1996
nzl,19.1,1997
nzl,19.5,1998
nzl,20.2,1999
nzl,19.9,2000
nzl,19.0,2001
nzl,18.5,2002
nzl,18.6,2003
nzl,18.7,2004
nzl,17.9,2005
nzl,16.7,2006
nzl,16.2,2007
nic,40.7,1993
nic,36.3,1995
nic,36.9,1996
nic,35.0,1997
nic,35.4,1998
nic,36.1,1999
nic,36.1,2000
nic,36.6,2001
nic,37.7,2002
nic,39.1,2003
nic,38.3,2004
nic,36.9,2005
nic,38.3,2006
nor,10.0,1980
nor,9.9,1981
nor,10.3,1982
nor,10.2,1983
nor,10.0,1984
nor,9.7,1985
nor,9.4,1986
nor,9.0,1987
nor,9.4,1988
nor,9.4,1989
nor,9.2,1990
nor,9.1,1991
nor,9.0,1992
nor,9.0,1993
nor,8.7,1994
nor,8.4,1995
nor,7.7,1996
nor,7.7,1997
nor,7.7,1998
nor,7.3,1999
nor,7.0,2000
nor,6.8,2001
nor,6.7,2002
nor,7.0,2003
nor,7.1,2004
nor,7.1,2005
nor,8.1,2006
nor,7.7,2007
omn,13.0,1993
omn,12.8,1996
omn,11.4,2000
pak,43.2,1995
pak,43.2,1996
pak,43.2,1997
pak,42.4,1998
pak,42.4,1999
pak,43.0,2000
pak,43.0,2001
pak,39.3,2002
pak,39.3,2003
pak,38.0,2004
pak,38.0,2005
pak,35.8,2006
pak,35.3,2007
pan,28.9,1982
pan,26.7,1983
pan,28.0,1984
pan,29.5,1985
pan,28.2,1986
pan,27.9,1987
pan,32.6,1988
pan,32.1,1989
pan,32.1,1991
pan,30.4,1992
pan,29.0,1993
pan,28.0,1994
pan,28.5,1995
pan,28.9,1996
pan,30.3,1997
pan,30.0,1998
pan,30.6,1999
pan,30.7,2000
pan,30.1,2001
pan,31.6,2002
pan,31.7,2003
pan,31.1,2004
pan,31.3,2005
pan,30.2,2006
pan,28.0,2007
pry,31.7,1990
pry,31.9,1991
pry,30.6,1992
pry,29.4,1993
pry,35.0,1994
pry,37.0,1996
pry,44.8,1997
pry,42.8,1998
pry,41.7,1999
pry,44.4,2000
pry,42.9,2001
pry,43.8,2002
pry,44.9,2003
pry,41.8,2007
per,35.6,1990
per,37.4,1991
per,38.4,1992
per,35.5,1993
per,35.9,1994
per,36.3,1995
per,40.8,1996
per,42.9,1997
per,39.8,1998
per,41.8,1999
per,41.9,2000
per,43.1,2001
per,37.7,2002
per,39.8,2003
per,38.6,2004
per,39.5,2005
per,37.6,2006
per,38.7,2007
phl,37.0,1998
phl,36.8,1999
phl,37.7,2000
phl,37.4,2001
phl,38.5,2002
phl,37.4,2003
phl,36.7,2004
phl,37.0,2005
phl,36.3,2006
phl,36.5,2007
pol,25.4,1980
pol,25.7,1981
pol,26.9,1982
pol,26.8,1983
pol,26.5,1984
pol,26.5,1985
pol,26.0,1986
pol,25.6,1987
pol,25.4,1988
pol,25.1,1989
pol,27.2,1990
pol,30.0,1991
pol,23.7,1992
pol,24.4,1993
pol,24.9,1994
pol,23.7,1995
pol,23.3,1996
pol,23.1,1997
pol,22.4,1998
pol,22.6,1999
pol,22.4,2000
pol,22.8,2001
pol,22.7,2002
pol,21.8,2003
pol,21.2,2004
pol,20.5,2005
pol,19.9,2006
pol,19.2,2007
prt,32.4,1980
prt,32.3,1981
prt,30.4,1982
prt,31.3,1983
prt,32.5,1984
prt,32.3,1985
prt,31.3,1986
prt,32.2,1987
prt,31.0,1988
prt,26.4,1989
prt,26.0,1990
prt,26.9,1991
prt,23.5,1992
prt,24.1,1993
prt,25.2,1994
prt,25.7,1995
prt,26.6,1996
prt,27.0,1997
prt,25.6,1998
prt,24.6,1999
prt,23.4,2000
prt,24.6,2001
prt,24.7,2002
prt,24.9,2003
prt,24.2,2004
prt,23.5,2005
prt,22.7,2006
prt,23.0,2007
pri,14.4,1991
pri,14.0,1992
pri,13.9,1993
pri,14.1,1994
pri,14.2,1995
pri,14.0,1996
pri,13.9,1997
pri,13.4,1998
pri,14.1,1999
pri,13.9,2000
pri,13.5,2001
pri,14.3,2002
pri,13.7,2003
pri,14.0,2004
pri,14.1,2005
pri,15.0,2006
pri,15.2,2007
qat,1.2,1997
qat,1.1,2004
mda,26.6,1999
mda,30.0,2000
mda,32.3,2001
mda,33.2,2002
mda,33.6,2003
mda,35.1,2004
mda,35.9,2005
mda,30.0,2006
mda,31.0,2007
rou,24.9,1990
rou,26.1,1991
rou,23.0,1992
rou,22.1,1993
rou,21.8,1994
rou,24.7,1995
rou,21.6,1996
rou,21.8,1997
rou,22.6,1998
rou,23.5,1999
rou,24.6,2000
rou,25.1,2001
rou,23.2,2002
rou,22.7,2003
rou,20.2,2004
rou,21.4,2005
rou,20.6,2006
rou,21.1,2007
rus,7.9,1992
rus,6.4,1993
rus,6.6,1994
rus,6.7,1995
rus,6.1,1996
rus,4.6,1997
rus,4.5,1998
rus,10.7,1999
rus,9.9,2000
rus,8.0,2001
rus,7.7,2002
rus,7.3,2003
rus,7.5,2004
rus,7.7,2005
rus,7.5,2006
rus,7.2,2007
rwa,61.4,1996
kna,14.8,1991
kna,11.3,2001
lca,30.2,1993
lca,35.5,1994
lca,32.4,1995
lca,33.9,1996
lca,30.6,1997
lca,31.9,1998
lca,30.7,1999
lca,33.2,2000
vct,23.5,1991
smr,15.7,1995
smr,15.5,1996
smr,15.0,1997
smr,14.3,1998
smr,13.6,1999
smr,11.7,2001
smr,11.7,2002
smr,11.5,2003
smr,11.1,2004
smr,10.8,2005
smr,10.1,2006
smr,9.6,2007
stp,26.8,1991
sen,55.4,1991
srb,22.5,2004
srb,20.6,2005
srb,20.1,2006
srb,20.1,2007
syc,11.1,1987
sgp,13.8,1986
sgp,13.6,1987
sgp,12.9,1988
sgp,13.0,1989
sgp,12.3,1991
sgp,12.6,1992
sgp,12.7,1993
sgp,12.6,1994
sgp,10.4,1995
sgp,13.5,1996
sgp,12.9,1997
sgp,13.4,1998
sgp,14.5,1999
sgp,10.0,2000
sgp,14.3,2001
sgp,14.3,2002
sgp,14.1,2003
sgp,14.8,2004
sgp,14.4,2006
sgp,14.5,2007
svk,6.2,1994
svk,6.4,1995
svk,6.3,1996
svk,6.2,1997
svk,6.8,1998
svk,7.6,1999
svk,7.8,2000
svk,8.2,2001
svk,8.5,2002
svk,9.6,2003
svk,11.8,2004
svk,12.5,2005
svk,12.5,2006
svk,12.8,2007
svn,12.2,1993
svn,12.2,1994
svn,12.2,1995
svn,12.5,1996
svn,11.9,1997
svn,12.5,1998
svn,12.7,1999
svn,11.2,2000
svn,11.8,2001
svn,11.6,2002
svn,9.8,2003
svn,10.1,2004
svn,10.0,2005
svn,11.5,2006
svn,11.5,2007
zaf,17.8,2001
zaf,18.2,2002
zaf,17.4,2003
zaf,18.3,2004
zaf,17.0,2007
esp,21.6,1980
esp,21.6,1981
esp,21.6,1982
esp,22.1,1983
esp,22.9,1984
esp,22.8,1985
esp,22.3,1986
esp,22.3,1987
esp,22.3,1988
esp,21.3,1989
esp,20.6,1990
esp,20.3,1991
esp,20.8,1992
esp,21.3,1993
esp,21.6,1994
esp,21.4,1995
esp,21.1,1996
esp,20.5,1997
esp,19.8,1998
esp,18.8,1999
esp,18.0,2000
esp,17.8,2001
esp,17.2,2002
esp,16.6,2003
esp,16.5,2004
esp,16.5,2005
esp,16.5,2006
esp,16.5,2007
lka,31.1,1997
lka,30.7,1998
lka,30.3,1999
lka,30.7,2000
