trade_balance_percent_of_gdp,geo,time
6.002,ago,2009
13.49,ago,2010
-4.927,atg,1977
3.553,atg,1978
6.332,atg,1979
-19.37,atg,1980
-22.35,atg,1981
-39.31,atg,1982
-15.12,atg,1983
-10.26,atg,1984
-17.6,atg,1985
-21.65,atg,1986
-23.82,atg,1987
-11.55,atg,1988
-9.759,atg,1989
1.98,atg,1990
-0.5911,atg,1991
2.809,atg,1992
5.506,atg,1993
1.533,atg,1994
-10.31,atg,1995
-22.9,atg,1996
-6.036,atg,1997
-3.874,atg,1998
-8.666,atg,1999
-3.938,atg,2000
-5.195,atg,2001
-5.658,atg,2002
-8.321,atg,2003
-9.232,atg,2004
-16.98,atg,2005
-26.31,atg,2006
-28.28,atg,2007
-24.26,atg,2008
-17.49,atg,2009
-9.739,atg,2010
2.125e-06,arg,1960
1.675e-06,arg,1961
-4.692,arg,1962
2.205e-06,arg,1963
1.554e-06,arg,1964
2.075,arg,1965
1.663,arg,1966
2.499,arg,1967
1.081,arg,1968
0.0,arg,1969
0.8657,arg,1970
-0.6007,arg,1971
0.3599,arg,1972
1.903,arg,1973
0.6136,arg,1974
-0.1546,arg,1975
3.254,arg,1976
2.289,arg,1977
2.893,arg,1978
0.1811,arg,1979
-1.422,arg,1980
-0.4509,arg,1981
2.57,arg,1982
3.315,arg,1983
2.833,arg,1984
5.463,arg,1985
1.838,arg,1986
0.2974,arg,1987
3.32,arg,1988
6.479,arg,1989
5.728,arg,1990
1.597,arg,1991
-1.535,arg,1992
-2.404,arg,1993
-3.078,arg,1994
-0.4265,arg,1995
-0.6696,arg,1996
-2.244,arg,1997
-2.547,arg,1998
-1.746,arg,1999
-0.6338,arg,2000
1.318,arg,2001
14.89,arg,2002
10.77,arg,2003
7.09,arg,2004
5.879,arg,2005
5.527,arg,2006
4.289,arg,2007
3.825,arg,2008
5.349,arg,2009
3.306,arg,2010
-11.33,arm,1990
-19.38,arm,1991
-21.44,arm,1992
-13.54,arm,1993
-33.77,arm,1994
-38.26,arm,1995
-32.75,arm,1996
-38.0,arm,1997
-33.84,arm,1998
-29.04,arm,1999
-27.17,arm,2000
-20.68,arm,2001
-17.23,arm,2002
-17.88,arm,2003
-15.57,arm,2004
-14.42,arm,2005
-15.89,arm,2006
-19.97,arm,2007
-25.61,arm,2008
-27.53,arm,2009
-24.2,arm,2010
-60.09,abw,1991
-20.69,abw,1992
-17.28,abw,1993
-6.592,abw,1994
-18.87,abw,1995
-21.86,abw,1996
-25.53,abw,1997
-21.23,abw,1998
-1.055,aus,1960
-2.593,aus,1961
1.298,aus,1962
-0.8194,aus,1963
1.162,aus,1964
-2.025,aus,1965
-2.175,aus,1966
-0.9996,aus,1967
-2.165,aus,1968
-1.365,aus,1969
-0.2417,aus,1970
-0.2725,aus,1971
0.7853,aus,1972
3.039,aus,1973
-0.1166,aus,1974
-0.487,aus,1975
0.107,aus,1976
-0.657,aus,1977
-0.9887,aus,1978
-1.079,aus,1979
0.4782,aus,1980
-1.852,aus,1981
-3.318,aus,1982
-2.073,aus,1983
-1.474,aus,1984
-2.075,aus,1985
-3.1,aus,1986
-1.644,aus,1987
-0.6996,aus,1988
-1.896,aus,1989
-2.0,aus,1990
-0.2033,aus,1991
0.121,aus,1992
-0.5121,aus,1993
-0.5499,aus,1994
-2.02,aus,1995
-0.4064,aus,1996
0.3053,aus,1997
-0.8027,aus,1998
-2.307,aus,1999
-2.046,aus,2000
0.2133,aus,2001
0.0801,aus,2002
-2.029,aus,2003
-2.547,aus,2004
