trade_balance_percent_of_gdp,geo,time
-7.561,tcd,1981
-6.933,tcd,1982
-7.123,tcd,1983
-6.035,tcd,1984
-19.42,tcd,1985
-21.98,tcd,1986
-20.98,tcd,1987
-15.09,tcd,1988
-17.63,tcd,1989
-14.43,tcd,1990
-12.45,tcd,1991
-13.72,tcd,1992
-16.0,tcd,1993
-18.78,tcd,1994
-11.84,tcd,1995
-11.52,tcd,1996
-12.23,tcd,1997
-11.08,tcd,1998
-13.87,tcd,1999
-17.79,tcd,2000
-34.99,tcd,2001
-101.0,tcd,2002
-34.11,tcd,2003
0.2491,tcd,2004
17.16,tcd,2005
22.01,tcd,2006
2.5,tcd,2007
2.6,tcd,2008
-28.0,tcd,2009
-24.8,tcd,2010
-2.244,chl,1960
-4.014,chl,1961
-1.703,chl,1962
-2.23,chl,1963
-0.7418,chl,1964
1.047,chl,1965
1.111,chl,1966
1.142,chl,1967
0.8222,chl,1968
2.27,chl,1969
0.5924,chl,1970
-0.9956,chl,1971
-3.413,chl,1972
-1.814,chl,1973
0.6764,chl,1974
-1.973,chl,1975
4.329,chl,1976
-1.802,chl,1977
-3.343,chl,1978
-2.831,chl,1979
-4.158,chl,1980
-10.34,chl,1981
-1.885,chl,1982
2.692,chl,1983
-1.109,chl,1984
2.435,chl,1985
3.059,chl,1986
2.907,chl,1987
6.995,chl,1988
4.738,chl,1989
3.436,chl,1990
4.626,chl,1991
1.643,chl,1992
-1.996,chl,1993
1.664,chl,1994
2.2,chl,1995
-1.688,chl,1996
-2.119,chl,1997
-3.266,chl,1998
2.272,chl,1999
1.864,chl,2000
1.534,chl,2001
2.417,chl,2002
4.112,chl,2003
9.174,chl,2004
8.514,chl,2005
15.06,chl,2006
14.0,chl,2007
3.62,chl,2008
7.755,chl,2009
6.873,chl,2010
-0.09486,chn,1970
-0.2567,chn,1971
-0.243,chn,1972
0.5479,chn,1973
-0.2848,chn,1974
0.02333,chn,1975
0.3418,chn,1976
0.3756,chn,1977
-0.4646,chn,1978
-0.9212,chn,1979
-0.3654,chn,1980
0.5068,chn,1981
2.368,chn,1982
1.125,chn,1983
0.02098,chn,1984
-4.076,chn,1985
-2.481,chn,1986
0.1076,chn,1987
-1.312,chn,1988
-1.433,chn,1989
2.989,chn,1990
3.057,chn,1991
1.183,chn,1992
-2.677,chn,1993
1.316,chn,1994
1.643,chn,1995
2.05,chn,1996
4.495,chn,1997
4.3,chn,1998
2.649,chn,1999
2.409,chn,2000
2.12,chn,2001
2.571,chn,2002
2.199,chn,2003
2.551,chn,2004
5.53,chn,2005
7.701,chn,2006
8.8,chn,2007
7.715,chn,2008
4.41,chn,2009
3.916,chn,2010
0.9349,col,1960
-0.8361,col,1961
-0.003796,col,1962
-0.3673,col,1963
-0.6919,col,1964
1.018,col,1965
-2.963,col,1966
0.5162,col,1967
-1.307,col,1968
-1.147,col,1969
-1.506,col,1970
-3.849,col,1971
-0.5274,col,1972
0.8225,col,1973
-0.9306,col,1974
1.728,col,1975
3.194,col,1976
3.631,col,1977
2.859,col,1978
1.766,col,1979
0.6333,col,1980
-3.581,col,1981
-4.245,col,1982
-2.783,col,1983
-0.5964,col,1984
1.289,col,1985
6.844,col,1986
4.034,col,1987
2.429,col,1988
4.185,col,1989
5.744,col,1990
7.435,col,1991
1.951,col,1992
-2.33,col,1993
-5.921,col,1994
-6.43,col,1995
-5.645,col,1996
-5.914,col,1997
-5.894,col,1998
0.5439,col,1999
-0.3662,col,2000
-2.743,col,2001
-2.995,col,2002
-3.084,col,2003
-2.128,col,2004
-1.774,col,2005
-2.871,col,2006
-3.254,col,2007
-2.251,col,2008
-2.049,col,2009
-2.212,col,2010
-43.24,com,1980
-37.45,com,1981
-38.15,com,1982
-33.85,com,1983
-46.52,com,1984
-33.06,com,1985
-25.05,com,1986
-27.26,com,1987
-23.79,com,1988
-24.41,com,1989
-22.89,com,1990
-18.2,com,1991
-23.81,com,1992
-17.74,com,1993
-27.17,com,1994
-24.8,com,1995
-23.06,com,1996
-24.88,com,1997
-25.9,com,1998
-21.2,com,1999
-15.8,com,2000
-15.27,com,2001
-15.03,com,2002
-13.67,com,2003
-17.86,com,2004
-21.61,com,2005
-24.41,com,2006
-26.59,com,2007
-34.37,com,2008
-33.5,com,2009
-0.5005,cod,1960
0.4706,cod,1961
0.3082,cod,1962
0.1139,cod,1963
-3.802,cod,1964
-1.31,cod,1965
-6.901,cod,1966
-0.8204,cod,1967
-0.786,cod,1968
-1.047,cod,1969
-2.764,cod,1970
-6.397,cod,1971
-4.526,cod,1972
-2.435,cod,1973
-2.849,cod,1974
-5.128,cod,1975
-7.496,cod,1976
-9.345,cod,1977
3.151,cod,1978
2.607,cod,1979
0.1266,cod,1980
-3.001,cod,1981
-1.803,cod,1982
-1.053,cod,1983
-0.1043,cod,1984
1.877,cod,1985
0.6795,cod,1986
-2.88,cod,1987
-2.323,cod,1988
0.651,cod,1989
0.2992,cod,1990
-3.745,cod,1991
-0.8462,cod,1992
2.219,cod,1993
2.734,cod,1994
4.756,cod,1995
-0.3107,cod,1996
3.75,cod,1997
-3.099,cod,1998
5.982,cod,1999
1.01,cod,2000
-2.039,cod,2001
-4.91,cod,2002
-7.213,cod,2003
-8.818,cod,2004
-8.247,cod,2005
-13.68,cod,2006
-10.77,cod,2007
-15.25,cod,2008
-13.43,cod,2009
-12.82,cod,2010
-65.15,cog,1960
-64.2,cog,1961
-32.46,cog,1962
-21.37,cog,1963
-18.3,cog,1964
-17.08,cog,1965
-21.22,cog,1966
-25.34,cog,1967
-26.85,cog,1968
-24.82,cog,1969
-23.03,cog,1970
-20.07,cog,1971
-23.48,cog,1972
-11.75,cog,1973
-6.246,cog,1974
-27.86,cog,1975
-26.18,cog,1976
-19.68,cog,1977
-17.35,cog,1978
-1.216,cog,1979
-0.111,cog,1980
-18.07,cog,1981
-13.24,cog,1982
6.181,cog,1983
16.0,cog,1984
0.7829,cog,1985
-13.83,cog,1986
3.113,cog,1987
0.1973,cog,1988
13.7,cog,1989
7.874,cog,1990
-1.925,cog,1991
2.782,cog,1992
-5.906,cog,1993
-15.71,cog,1994
1.098,cog,1995
8.771,cog,1996
15.44,cog,1997
3.654,cog,1998
13.19,cog,1999
36.68,cog,2000
24.11,cog,2001
27.57,cog,2002
4.763,cog,2003
29.69,cog,2004
29.65,cog,2005
18.54,cog,2006
25.01,cog,2007
28.15,cog,2008
20.21,cog,2009
30.42,cog,2010
-4.761,cri,1960
-3.619,cri,1961
-2.755,cri,1962
-4.556,cri,1963
-3.492,cri,1964
-10.01,cri,1965
-5.711,cri,1966
-6.183,cri,1967
-4.512,cri,1968
-5.192,cri,1969
-6.77,cri,1970
-10.39,cri,1971
-6.436,cri,1972
-6.101,cri,1973
-14.81,cri,1974
-8.486,cri,1975
-6.002,cri,1976
-5.466,cri,1977
-7.85,cri,1978
-10.27,cri,1979
-10.34,cri,1980
-4.908,cri,1981
2.919,cri,1982
-0.9342,cri,1983
-0.02636,cri,1984
-1.6,cri,1985
0.07145,cri,1986
-4.054,cri,1987
-2.225,cri,1988
-3.821,cri,1989
-6.063,cri,1990
-3.561,cri,1991
-4.627,cri,1992
-6.466,cri,1993
-5.571,cri,1994
-2.81,cri,1995
-3.471,cri,1996
-3.84,cri,1997
-2.645,cri,1998
5.818,cri,1999
2.857,cri,2000
-3.054,cri,2001
-5.247,cri,2002
-1.866,cri,2003
-3.225,cri,2004
-5.474,cri,2005
-6.148,cri,2006
-4.805,cri,2007
-9.756,cri,2008
0.5851,cri,2009
-3.095,cri,2010
11.34,civ,1960
7.189,civ,1961
8.646,civ,1962
10.42,civ,1963
11.16,civ,1964
6.699,civ,1965
7.711,civ,1966
7.432,civ,1967
12.7,civ,1968
9.692,civ,1969
6.662,civ,1970
3.783,civ,1971
4.505,civ,1972
2.522,civ,1973
7.321,civ,1974
0.1438,civ,1975
5.494,civ,1976
6.295,civ,1977
-0.9143,civ,1978
-3.059,civ,1979
-6.177,civ,1980
-7.109,civ,1981
-2.904,civ,1982
1.24,civ,1983
13.52,civ,1984
14.38,civ,1985
9.314,civ,1986
3.81,civ,1987
2.598,civ,1988
2.978,civ,1989
4.578,civ,1990
3.026,civ,1991
3.794,civ,1992
3.536,civ,1993
11.22,civ,1994
7.316,civ,1995
8.683,civ,1996
8.33,civ,1997
6.365,civ,1998
8.166,civ,1999
7.104,civ,2000
8.379,civ,2001
16.63,civ,2002
10.93,civ,2003
9.201,civ,2004
7.465,civ,2005
10.29,civ,2006
5.875,civ,2007
7.709,civ,2008
8.056,civ,2009
4.591,civ,2010
-8.477,hrv,1991
5.468,hrv,1992
-1.183,hrv,1993
-0.07193,hrv,1994
-8.411,hrv,1995
-6.624,hrv,1996
-13.08,hrv,1997
-6.88,hrv,1998
-6.263,hrv,1999
-3.271,hrv,2000
-3.926,hrv,2001
-8.378,hrv,2002
-7.876,hrv,2003
-6.388,hrv,2004
-6.496,hrv,2005
-7.07,hrv,2006
-7.617,hrv,2007
-8.277,hrv,2008
-3.934,hrv,2009
-0.5096,hrv,2010
-11.56,cub,1970
-11.56,cub,1971
-11.56,cub,1972
-11.55,cub,1973
-11.56,cub,1974
-11.55,cub,1975
-11.56,cub,1976
-11.56,cub,1977
-11.54,cub,1978
-11.58,cub,1979
-11.53,cub,1980
-11.62,cub,1981
-11.52,cub,1982
-11.44,cub,1983
-11.8,cub,1984
-11.27,cub,1985
-12.05,cub,1986
-11.02,cub,1987
-11.08,cub,1988
-13.6,cub,1989
-10.64,cub,1990
-7.134,cub,1991
-1.31,cub,1992
-2.527,cub,1993
-1.296,cub,1994
-2.505,cub,1995
-1.998,cub,1996
-2.907,cub,1997
-3.999,cub,1998
-2.794,cub,1999
-2.816,cub,2000
-2.891,cub,2001
-1.675,cub,2002
-0.6833,cub,2003
0.7321,cub,2004
2.674,cub,2005
0.2383,cub,2006
2.705,cub,2007
-3.782,cub,2008
3.03,cub,2009
0.6511,cub,2010
-21.21,cyp,1975
-12.88,cyp,1976
-19.95,cyp,1977
-20.59,cyp,1978
-19.09,cyp,1979
-17.81,cyp,1980
-13.07,cyp,1981
-13.32,cyp,1982
-13.57,cyp,1983
-12.44,cyp,1984
-10.09,cyp,1985
-3.386,cyp,1986
-2.983,cyp,1987
-5.426,cyp,1988
-8.414,cyp,1989
-5.607,cyp,1990
-10.01,cyp,1991
-11.18,cyp,1992
-0.4336,cyp,1993
-0.3972,cyp,1994
-0.0779,cyp,1995
-2.901,cyp,1996
-1.735,cyp,1997
-0.9503,cyp,1998
1.744,cyp,1999
0.844,cyp,2000
2.069,cyp,2001
-1.559,cyp,2002
-1.24,cyp,2003
-2.457,cyp,2004
-2.567,cyp,2005
-3.75,cyp,2006
-6.252,cyp,2007
-10.75,cyp,2008
-5.29,cyp,2009
-6.443,cyp,2010
2.635,cze,1990
7.031,cze,1991
0.8975,cze,1992
1.526,cze,1993
-2.679,cze,1994
-4.328,cze,1995
-5.841,cze,1996
-5.182,cze,1997
-1.088,cze,1998
-1.168,cze,1999
-3.02,cze,2000
-2.5,cze,2001
-2.085,cze,2002
-2.282,cze,2003
0.068,cze,2004
3.174,cze,2005
3.424,cze,2006
4.972,cze,2007
4.554,cze,2008
5.557,cze,2009
4.768,cze,2010
-2.011,dnk,1960
-2.345,dnk,1961
-3.885,dnk,1962
-0.3883,dnk,1963
-2.776,dnk,1964
-2.243,dnk,1965
-2.231,dnk,1966
-2.666,dnk,1967
-2.034,dnk,1968
-2.843,dnk,1969
-3.711,dnk,1970
-2.786,dnk,1971
-1.065,dnk,1972
-2.755,dnk,1973
-3.556,dnk,1974
-1.691,dnk,1975
-5.29,dnk,1976
-4.331,dnk,1977
-2.874,dnk,1978
-3.566,dnk,1979
-1.618,dnk,1980
0.4416,dnk,1981
-0.04337,dnk,1982
1.382,dnk,1983
0.6988,dnk,1984
-0.2415,dnk,1985
-1.269,dnk,1986
0.956,dnk,1987
2.282,dnk,1988
2.645,dnk,1989
4.6,dnk,1990
5.435,dnk,1991
6.24,dnk,1992
6.693,dnk,1993
5.248,dnk,1994
4.088,dnk,1995
4.908,dnk,1996
3.672,dnk,1997
2.115,dnk,1998
5.049,dnk,1999
6.036,dnk,2000
6.64,dnk,2001
5.837,dnk,2002
6.25,dnk,2003
4.872,dnk,2004
4.906,dnk,2005
3.178,dnk,2006
2.284,dnk,2007
3.173,dnk,2008
3.753,dnk,2009
5.265,dnk,2010
-24.6,dji,1990
-24.22,dji,1991
-32.25,dji,1992
-20.22,dji,1993
-14.1,dji,1994
-12.07,dji,1995
-11.87,dji,1996
-11.51,dji,1997
-13.01,dji,1998
-11.04,dji,1999
-15.33,dji,2000
-8.476,dji,2001
-5.178,dji,2002
-9.158,dji,2003
-17.2,dji,2004
-10.33,dji,2005
-17.44,dji,2006
-20.06,dji,2007
-19.76,dma,1977
-22.14,dma,1978
-62.96,dma,1979
-70.56,dma,1980
-44.13,dma,1981
-28.32,dma,1982
-19.42,dma,1983
-32.77,dma,1984
-23.41,dma,1985
-5.889,dma,1986
-8.108,dma,1987
-14.14,dma,1988
-31.27,dma,1989
-25.99,dma,1990
-18.85,dma,1991
-13.32,dma,1992
-12.45,dma,1993
-13.74,dma,1994
-14.6,dma,1995
-10.02,dma,1996
-14.53,dma,1997
-7.964,dma,1998
-8.881,dma,1999
-12.09,dma,2000
-13.51,dma,2001
-10.22,dma,2002
-11.52,dma,2003
-12.11,dma,2004
-18.54,dma,2005
-14.51,dma,2006
-21.49,dma,2007
-27.78,dma,2008
-23.64,dma,2009
-22.97,dma,2010
6.782,dom,1960
6.91,dom,1961
-0.3155,dom,1962
-5.251,dom,1963
-8.337,dom,1964
-3.964,dom,1965
-8.995,dom,1966
-6.929,dom,1967
-8.155,dom,1968
-7.631,dom,1969
-7.365,dom,1970
-8.125,dom,1971
-4.811,dom,1972
-3.8,dom,1973
-11.3,dom,1974
-2.3,dom,1975
-7.301,dom,1976
-4.168,dom,1977
-6.828,dom,1978
-6.354,dom,1979
-9.772,dom,1980
-4.197,dom,1981
-4.91,dom,1982
-3.897,dom,1983
-4.637,dom,1984
-8.95,dom,1985
-9.105,dom,1986
-11.86,dom,1987
-8.727,dom,1988
-11.06,dom,1989
-9.865,dom,1990
-2.938,dom,1991
-6.924,dom,1992
-5.306,dom,1993
-4.852,dom,1994
-3.555,dom,1995
-2.965,dom,1996
-3.984,dom,1997
-7.726,dom,1998
-6.756,dom,1999
-8.819,dom,2000
-7.268,dom,2001
-7.854,dom,2002
-0.3385,dom,2003
0.7718,dom,2004
-5.474,dom,2005
-7.984,dom,2006
-9.097,dom,2007
-13.75,dom,2008
-8.004,dom,2009
-11.75,dom,2010
-2.636,ecu,1960
-3.961,ecu,1961
-2.664,ecu,1962
-2.664,ecu,1963
-4.412,ecu,1964
-3.638,ecu,1965
-2.551,ecu,1966
-4.249,ecu,1967
-5.456,ecu,1968
-7.652,ecu,1969
-6.989,ecu,1970
-12.11,ecu,1971
-5.645,ecu,1972
0.9256,ecu,1973
5.043,ecu,1974
-6.195,ecu,1975
-2.938,ecu,1976
-3.106,ecu,1977
-6.457,ecu,1978
-1.158,ecu,1979
-2.144,ecu,1980
-1.904,ecu,1981
-5.406,ecu,1982
0.2951,ecu,1983
2.443,ecu,1984
5.247,ecu,1985
-1.931,ecu,1986
-10.82,ecu,1987
-5.267,ecu,1988
-6.92,ecu,1989
0.9854,ecu,1990
3.377,ecu,1991
4.845,ecu,1992
-1.594,ecu,1993
-1.712,ecu,1994
-2.53,ecu,1995
2.295,ecu,1996
-0.08462,ecu,1997
-6.872,ecu,1998
6.573,ecu,1999
6.069,ecu,2000
-4.392,ecu,2001
-7.502,ecu,2002
-2.445,ecu,2003
-1.856,ecu,2004
-1.097,ecu,2005
0.8868,ecu,2006
0.6417,ecu,2007
0.0718,ecu,2008
-2.433,ecu,2009
-5.669,ecu,2010
-0.5751,egy,1960
-3.478,egy,1961
-5.867,egy,1962
-6.551,egy,1963
-4.55,egy,1964
-3.808,egy,1965
-2.947,egy,1966
-3.115,egy,1967
-3.809,egy,1968
-3.303,egy,1969
-4.568,egy,1970
-5.1,egy,1971
-5.785,egy,1972
-5.178,egy,1973
-16.73,egy,1974
-21.1,egy,1975
-11.73,egy,1976
-10.71,egy,1977
-15.27,egy,1978
-18.61,egy,1979
-12.35,egy,1980
-15.43,egy,1981
-14.9,egy,1982
-10.95,egy,1983
-13.46,egy,1984
-12.13,egy,1985
-9.863,egy,1986
-10.21,egy,1987
-17.84,egy,1988
-14.46,egy,1989
-12.67,egy,1990
-7.98,egy,1991
-2.516,egy,1992
-4.253,egy,1993
-5.486,egy,1994
-5.147,egy,1995
-5.449,egy,1996
-6.055,egy,1997
-9.499,egy,1998
-8.257,egy,1999
-6.616,egy,2000
-4.851,egy,2001
-4.355,egy,2002
-2.587,egy,2003
-1.36,egy,2004
-2.266,egy,2005
-1.619,egy,2006
-4.578,egy,2007
-5.595,egy,2008
-6.64,egy,2009
-4.782,egy,2010
-4.533,slv,1960
0.06916,slv,1961
0.4759,slv,1962
-1.812,slv,1963
-3.55,slv,1964
-2.424,slv,1965
-5.117,slv,1966
-3.02,slv,1967
-1.755,slv,1968
-2.607,slv,1969
0.286,slv,1970
-1.983,slv,1971
0.9686,slv,1972
-3.023,slv,1973
-8.414,slv,1974
-5.17,slv,1975
-1.273,slv,1976
0.6921,slv,1977
-9.264,slv,1978
-0.1698,slv,1979
0.9166,slv,1980
-6.909,slv,1981
-5.693,slv,1982
-5.421,slv,1983
-6.782,slv,1984
-7.563,slv,1985
-4.378,slv,1986
-7.11,slv,1987
-6.474,slv,1988
-10.45,slv,1989
-12.67,slv,1990
-13.31,slv,1991
-16.35,slv,1992
-14.75,slv,1993
-15.24,slv,1994
-16.12,slv,1995
-12.86,slv,1996
-11.66,slv,1997
-12.29,slv,1998
-12.35,slv,1999
-15.03,slv,2000
-15.8,slv,2001
-14.71,slv,2002
-15.91,slv,2003
-17.25,slv,2004
-18.52,slv,2005
-20.48,slv,2006
-22.41,slv,2007
-22.82,slv,2008
-15.48,slv,2009
-17.47,slv,2010
16.78,gnq,1962
28.31,gnq,1963
24.17,gnq,1964
9.061,gnq,1965
12.97,gnq,1966
9.709,gnq,1967
14.43,gnq,1968
15.87,gnq,1969
-9.392,gnq,1970
-3.025,gnq,1971
-9.588,gnq,1972
-15.21,gnq,1973
-16.5,gnq,1974
-7.832,gnq,1975
-5.485,gnq,1976
-5.661,gnq,1977
-9.484,gnq,1985
-21.94,gnq,1986
-37.58,gnq,1987
-41.65,gnq,1988
-32.2,gnq,1989
-37.44,gnq,1990
-29.65,gnq,1991
-34.22,gnq,1992
-35.71,gnq,1993
-48.97,gnq,1994
-49.01,gnq,1995
-82.84,gnq,1996
-22.54,gnq,1997
-71.74,gnq,1998
13.19,gnq,2000
9.266,gnq,2001
47.28,gnq,2002
20.42,gnq,2003
35.14,gnq,2004
43.81,gnq,2005
53.66,gnq,2006
51.61,gnq,2007
47.25,gnq,2008
12.16,gnq,2009
-33.53,eri,1992
-40.95,eri,1993
-54.84,eri,1994
-60.55,eri,1995
-58.15,eri,1996
-56.19,eri,1997
-65.26,eri,1998
-77.19,eri,1999
-66.64,eri,2000
-55.2,eri,2001
-57.25,eri,2002
-61.12,eri,2003
-54.02,eri,2004
-48.78,eri,2005
-31.46,eri,2006
-29.42,eri,2007
-21.7,eri,2008
-15.91,eri,2009
5.892,est,1992
-4.066,est,1993
-10.38,est,1994
-7.574,est,1995
-10.99,est,1996
-10.87,est,1997
-10.03,est,1998
-4.901,est,1999
-3.606,est,2000
-2.476,est,2001
-7.358,est,2002
-7.49,est,2003
-7.055,est,2004
-6.499,est,2005
-10.25,est,2006
-10.56,est,2007
-4.131,est,2008
6.114,est,2009
6.681,est,2010
-4.298,eth,1981
-5.576,eth,1982
-4.821,eth,1983
-6.273,eth,1984
-5.663,eth,1985
-5.329,eth,1986
-5.683,eth,1987
-5.688,eth,1988
-3.942,eth,1989
-3.286,eth,1990
-5.111,eth,1991
-4.406,eth,1992
-8.62,eth,1993
-6.979,eth,1994
-6.037,eth,1995
-7.014,eth,1996
-6.501,eth,1997
-7.639,eth,1998
-12.31,eth,1999
-11.94,eth,2000
-11.73,eth,2001
-14.0,eth,2002
-14.1,eth,2003
-16.68,eth,2004
-20.38,eth,2005
-22.7,eth,2006
-19.3,eth,2007
-19.43,eth,2008
-18.33,eth,2009
-21.07,eth,2010
-1.794,fji,1960
-10.12,fji,1961
-3.176,fji,1962
2.432,fji,1963
5.845,fji,1964
-7.877,fji,1965
-4.511,fji,1966
-2.676,fji,1967
-4.458,fji,1968
-4.331,fji,1969
-3.233,fji,1970
-7.787,fji,1971
-9.3,fji,1972
-13.48,fji,1973
-5.222,fji,1974
-0.6401,fji,1975
-4.731,fji,1976
-2.757,fji,1977
-4.415,fji,1978
-5.433,fji,1979
-4.941,fji,1980
-14.41,fji,1981
-6.404,fji,1982
-5.428,fji,1983
-1.066,fji,1984
-0.3798,fji,1985
2.189,fji,1986
3.276,fji,1987
3.149,fji,1988
2.314,fji,1989
-4.813,fji,1990
-3.193,fji,1991
-2.997,fji,1992
-7.071,fji,1993
-3.031,fji,1994
0.4439,fji,1995
4.003,fji,1996
2.6,fji,1997
2.5,fji,1998
-0.3974,fji,1999
-5.105,fji,2000
-8.052,fji,2001
-2.439,fji,2002
-8.379,fji,2003
-16.6,fji,2004
-12.19,fji,2005
-19.74,fji,2006
-15.39,fji,2007
-20.95,fji,2008
-13.58,fji,2009
-11.9,fji,2010
-1.131,fin,1960
-1.372,fin,1961
-1.518,fin,1962
-0.3346,fin,1963
-2.229,fin,1964
-2.033,fin,1965
-1.934,fin,1966
-1.265,fin,1967
1.072,fin,1968
0.4244,fin,1969
-1.702,fin,1970
-2.334,fin,1971
-0.4899,fin,1972
-1.315,fin,1973
-3.899,fin,1974
-6.138,fin,1975
-2.2,fin,1976
1.328,fin,1977
3.132,fin,1978
1.056,fin,1979
-1.317,fin,1980
0.9896,fin,1981
0.1749,fin,1982
-0.01061,fin,1983
2.407,fin,1984
0.6805,fin,1985
1.103,fin,1986
0.2659,fin,1987
-0.6246,fin,1988
-1.889,fin,1989
-1.554,fin,1990
-0.9669,fin,1991
0.8132,fin,1992
4.552,fin,1993
5.701,fin,1994
7.481,fin,1995
7.0,fin,1996
7.403,fin,1997
8.08,fin,1998
9.138,fin,1999
9.14,fin,2000
9.368,fin,2001
9.234,fin,2002
6.821,fin,2003
6.523,fin,2004
4.093,fin,2005
4.721,fin,2006
5.123,fin,2007
3.752,fin,2008
1.641,fin,2009
1.305,fin,2010
1.827,fra,1960
1.58,fra,1961
0.7161,fra,1962
0.1287,fra,1963
-0.4126,fra,1964
0.6551,fra,1965
0.03968,fra,1966
0.04089,fra,1967
-0.2872,fra,1968
-0.7904,fra,1969
0.2429,fra,1970
1.067,fra,1971
0.9015,fra,1972
0.7892,fra,1973
-0.9309,fra,1974
1.122,fra,1975
-0.8021,fra,1976
-0.03193,fra,1977
1.076,fra,1978
0.4055,fra,1979
-1.576,fra,1980
-1.522,fra,1981
-2.539,fra,1982
-0.3251,fra,1983
0.08198,fra,1984
-0.4472,fra,1985
-0.1975,fra,1986
-1.196,fra,1987
-0.7614,fra,1988
-0.7885,fra,1989
-0.8876,fra,1990
-0.4068,fra,1991
0.5935,fra,1992
1.619,fra,1993
1.395,fra,1994
1.474,fra,1995
1.62,fra,1996
2.874,fra,1997
2.534,fra,1998
2.133,fra,1999
0.9954,fra,2000
1.137,fra,2001
1.526,fra,2002
0.8949,fra,2003
0.4043,fra,2004
-0.6332,fra,2005
-1.045,fra,2006
-1.548,fra,2007
-2.105,fra,2008
-1.812,fra,2009
-2.346,fra,2010
-26.67,pyf,1991
-23.69,pyf,1992
-22.17,pyf,1993
-21.05,pyf,1994
-22.29,pyf,1995
-21.48,pyf,1996
-21.88,pyf,1997
-24.65,pyf,1998
-19.21,pyf,1999
-19.33,pyf,2000
1.544,gab,1960
-0.4511,gab,1961
0.9459,gab,1962
1.709,gab,1963
5.94,gab,1964
5.946,gab,1965
0.1656,gab,1966
0.0,gab,1967
-0.823,gab,1968
0.6046,gab,1969
11.73,gab,1970
13.99,gab,1971
0.8296,gab,1972
1.179,gab,1973
14.29,gab,1974
1.622,gab,1975
-0.5145,gab,1976
0.3332,gab,1977
14.84,gab,1978
21.08,gab,1979
33.09,gab,1980
22.67,gab,1981
21.93,gab,1982
17.78,gab,1983
18.89,gab,1984
5.292,gab,1985
-19.51,gab,1986
-2.525,gab,1987
-5.061,gab,1988
4.598,gab,1989
15.18,gab,1990
13.99,gab,1991
12.28,gab,1992
14.25,gab,1993
23.42,gab,1994
23.64,gab,1995
29.66,gab,1996
24.07,gab,1997
-1.162,gab,1998
21.49,gab,1999
36.36,gab,2000
25.99,gab,2001
19.22,gab,2002
24.25,gab,2003
30.18,gab,2004
37.04,gab,2005
30.12,gab,2006
29.37,gab,2007
34.56,gab,2008
17.61,gab,2009
25.43,gab,2010
-7.407,gmb,1966
-6.668,gmb,1967
-11.0,gmb,1968
-10.7,gmb,1969
-3.117,gmb,1970
-4.814,gmb,1971
-6.983,gmb,1972
-7.278,gmb,1973
-4.742,gmb,1974
1.094,gmb,1975
-5.298,gmb,1976
-10.78,gmb,1977
-26.21,gmb,1978
-28.3,gmb,1979
-20.86,gmb,1980
-22.8,gmb,1981
-15.3,gmb,1982
-11.99,gmb,1983
-13.66,gmb,1984
-10.05,gmb,1985
-9.474,gmb,1986
-9.869,gmb,1987
-8.088,gmb,1988
-10.22,gmb,1989
-11.68,gmb,1990
-11.3,gmb,1991
-12.88,gmb,1992
-16.97,gmb,1993
-15.3,gmb,1994
-24.13,gmb,1995
-15.94,gmb,1996
-4.813,gmb,1997
-6.576,gmb,1998
-6.825,gmb,1999
-8.859,gmb,2000
-5.408,gmb,2001
-8.333,gmb,2002
-9.246,gmb,2003
-21.11,gmb,2004
-22.81,gmb,2005
-17.18,gmb,2006
-16.31,gmb,2007
-18.65,gmb,2008
-19.68,gmb,2009
-19.4,gmb,2010
1.125,geo,1987
-4.022,geo,1988
-2.718,geo,1989
-5.745,geo,1990
-3.29,geo,1991
-30.59,geo,1992
-24.86,geo,1993
-51.36,geo,1994
-16.82,geo,1995
-19.04,geo,1996
-26.53,geo,1997
-20.65,geo,1998
-19.04,geo,1999
-16.67,geo,2000
-14.41,geo,2001
-13.17,geo,2002
-14.58,geo,2003
-16.63,geo,2004
-17.82,geo,2005
-24.15,geo,2006
-26.74,geo,2007
-29.78,geo,2008
-19.19,geo,2009
-17.5,geo,2010
-1.475,deu,1970
-1.769,deu,1971
-1.665,deu,1972
-0.9755,deu,1973
-0.4027,deu,1974
-1.713,deu,1975
-2.291,deu,1976
-2.202,deu,1977
-1.949,deu,1978
-3.749,deu,1979
-4.863,deu,1980
-4.099,deu,1981
-2.728,deu,1982
-3.104,deu,1983
-2.878,deu,1984
-2.056,deu,1985
-0.2663,deu,1986
-0.2194,deu,1987
-0.2416,deu,1988
-0.5259,deu,1989
-0.06391,deu,1990
-0.3779,deu,1991
-0.4046,deu,1992
0.1733,deu,1993
0.3344,deu,1994
0.5945,deu,1995
0.9605,deu,1996
1.29,deu,1997
1.374,deu,1998
0.8789,deu,1999
0.3077,deu,2000
1.983,deu,2001
4.498,deu,2002
3.919,deu,2003
5.045,deu,2004
5.214,deu,2005
5.62,deu,2006
6.999,deu,2007
6.232,deu,2008
4.991,deu,2009
5.469,deu,2010
-7.246,gha,1960
-10.32,gha,1961
-4.255,gha,1962
-6.272,gha,1963
-3.964,gha,1964
-9.595,gha,1965
-4.992,gha,1966
-2.513,gha,1967
-0.4705,gha,1968
-0.6098,gha,1969
-1.368,gha,1970
-4.475,gha,1971
5.484,gha,1972
5.055,gha,1973
