geo,oil_production_total,time
can,155900000,2008
can,156100000,2009
can,164400000,2010
can,172600000,2011
tcd,1237000,2003
tcd,8835000,2004
tcd,9108000,2005
tcd,8043000,2006
tcd,7540000,2007
tcd,6691000,2008
tcd,6187000,2009
tcd,6403000,2010
tcd,5971000,2011
chn,11310000,1965
chn,14550000,1966
chn,13880000,1967
chn,15990000,1968
chn,21740000,1969
chn,30650000,1970
chn,39410000,1971
chn,45670000,1972
chn,53610000,1973
chn,64850000,1974
chn,77060000,1975
chn,87160000,1976
chn,93640000,1977
chn,104000000,1978
chn,106200000,1979
chn,106000000,1980
chn,101200000,1981
chn,102100000,1982
chn,106100000,1983
chn,114600000,1984
chn,124900000,1985
chn,130700000,1986
chn,134100000,1987
chn,137000000,1988
chn,137600000,1989
chn,138300000,1990
chn,141000000,1991
chn,142000000,1992
chn,144000000,1993
chn,146100000,1994
chn,149000000,1995
chn,158500000,1996
chn,160100000,1997
chn,160200000,1998
chn,160200000,1999
chn,162600000,2000
chn,164800000,2001
chn,166900000,2002
chn,169600000,2003
chn,174100000,2004
chn,181400000,2005
chn,184800000,2006
chn,186300000,2007
chn,190400000,2008
chn,189500000,2009
chn,203000000,2010
chn,203600000,2011
col,10650000,1965
col,10440000,1966
col,10080000,1967
col,9258000,1968
col,11230000,1969
col,11760000,1970
col,11680000,1971
col,10580000,1972
col,9948000,1973
col,9074000,1974
col,8499000,1975
col,7942000,1976
col,7467000,1977
col,7099000,1978
col,6677000,1979
col,6801000,1980
col,7257000,1981
col,7646000,1982
col,8205000,1983
col,9019000,1984
col,9521000,1985
col,16050000,1986
col,20360000,1987
col,19990000,1988
col,21360000,1989
col,23370000,1990
col,22580000,1991
col,23270000,1992
col,24030000,1993
col,24120000,1994
col,31020000,1995
col,33360000,1996
col,34840000,1997
col,40410000,1998
col,43710000,1999
col,37080000,2000
col,32580000,2001
col,31210000,2002
col,29260000,2003
col,28670000,2004
col,28630000,2005
col,28840000,2006
col,28960000,2007
col,32000000,2008
col,35830000,2009
col,41900000,2010
col,48710000,2011
cog,71000,1965
cog,62000,1966
cog,336000,1972
cog,2091000,1973
cog,2455000,1974
cog,1789000,1975
cog,2100000,1976
cog,1639000,1977
cog,2430000,1978
cog,2762000,1979
cog,3168000,1980
cog,4101000,1981
cog,4553000,1982
cog,5365000,1983
cog,6025000,1984
cog,5937000,1985
cog,5951000,1986
cog,6317000,1987
cog,7038000,1988
cog,7962000,1989
cog,8029000,1990
cog,8054000,1991
cog,8638000,1992
cog,9538000,1993
cog,9562000,1994
cog,9267000,1995
cog,10360000,1996
cog,11590000,1997
cog,13600000,1998
cog,13730000,1999
cog,13140000,2000
cog,12050000,2001
cog,12290000,2002
cog,11180000,2003
cog,11550000,2004
cog,12630000,2005
cog,14330000,2006
cog,11540000,2007
cog,12240000,2008
cog,14230000,2009
cog,15080000,2010
cog,15230000,2011
dnk,97730,1972
dnk,146200,1973
dnk,97460,1974
dnk,146200,1975
dnk,195500,1976
dnk,487300,1977
dnk,389900,1978
dnk,389900,1979
dnk,293200,1980
dnk,731000,1981
dnk,1657000,1982
dnk,2095000,1983
dnk,2297000,1984
dnk,2924000,1985
dnk,3606000,1986
dnk,4532000,1987
dnk,4691000,1988
dnk,5458000,1989
dnk,5897000,1990
dnk,6920000,1991
dnk,7672000,1992
dnk,8187000,1993
dnk,9015000,1994
dnk,9064000,1995
dnk,10160000,1996
dnk,11210000,1997
dnk,11600000,1998
dnk,14570000,1999
dnk,17740000,2000
dnk,16960000,2001
dnk,18080000,2002
dnk,17930000,2003
dnk,19060000,2004
dnk,18370000,2005
dnk,16670000,2006
dnk,15170000,2007
dnk,14040000,2008
dnk,12900000,2009
dnk,12160000,2010
dnk,10930000,2011
ecu,428800,1965
ecu,375200,1966
ecu,321600,1967
ecu,268700,1968
ecu,214400,1969
ecu,214400,1970
ecu,214400,1971
ecu,4192000,1972
ecu,11200000,1973
ecu,9487000,1974
ecu,8629000,1975
ecu,10100000,1976
ecu,9840000,1977
ecu,10890000,1978
ecu,11530000,1979
ecu,11030000,1980
ecu,11370000,1981
ecu,11370000,1982
ecu,12820000,1983
ecu,13940000,1984
ecu,15220000,1985
ecu,15870000,1986
ecu,9389000,1987
ecu,16500000,1988
ecu,15240000,1989
ecu,15520000,1990
ecu,16300000,1991
ecu,17460000,1992
ecu,18730000,1993
ecu,20600000,1994
ecu,21000000,1995
ecu,20930000,1996
ecu,21080000,1997
ecu,20440000,1998
ecu,20330000,1999
ecu,21790000,2000
ecu,22100000,2001
ecu,21300000,2002
ecu,22690000,2003
ecu,28560000,2004
ecu,28800000,2005
ecu,29000000,2006
ecu,27680000,2007
ecu,27410000,2008
ecu,26340000,2009
ecu,26340000,2010
ecu,27070000,2011
egy,6478000,1965
egy,6257000,1966
egy,5581000,1967
egy,8577000,1968
egy,12300000,1969
egy,16400000,1970
egy,14950000,1971
egy,10720000,1972
egy,8479000,1973
egy,7453000,1974
egy,11730000,1975
egy,16610000,1976
egy,20900000,1977
egy,25190000,1978
egy,26140000,1979
egy,29780000,1980
egy,32150000,1981
egy,33310000,1982
egy,36430000,1983
egy,41840000,1984
egy,45070000,1985
egy,41140000,1986
egy,46250000,1987
egy,44230000,1988
egy,44520000,1989
egy,45500000,1990
egy,45420000,1991
egy,45980000,1992
egy,47530000,1993
egy,46500000,1994
egy,46590000,1995
egy,45080000,1996
egy,43790000,1997
egy,42960000,1998
egy,41360000,1999
egy,38800000,2000
egy,37340000,2001
egy,36960000,2002
egy,36760000,2003
egy,35390000,2004
egy,33900000,2005
egy,33650000,2006
egy,34110000,2007
egy,34640000,2008
egy,35260000,2009
egy,35030000,2010
egy,35150000,2011
gnq,99320,1992
gnq,247600,1993
gnq,247600,1994
gnq,346700,1995
gnq,844200,1996
gnq,2972000,1997
gnq,4111000,1998
gnq,4953000,1999
gnq,4519000,2000
gnq,8766000,2001
gnq,11410000,2002
gnq,13180000,2003
gnq,17420000,2004
gnq,17730000,2005
gnq,16940000,2006
gnq,17350000,2007
gnq,17230000,2008
gnq,15210000,2009
gnq,13570000,2010
gnq,12470000,2011
gab,1265000,1965
gab,1447000,1966
gab,3445000,1967
gab,4641000,1968
gab,5027000,1969
gab,5423000,1970
gab,5795000,1971
gab,6303000,1972
gab,7597000,1973
gab,10200000,1974
gab,11320000,1975
gab,11320000,1976
gab,11270000,1977
gab,10600000,1978
gab,9798000,1979
gab,8895000,1980
gab,7652000,1981
gab,7792000,1982
gab,7869000,1983
gab,8730000,1984
gab,8626000,1985
gab,8295000,1986
gab,7729000,1987
gab,8892000,1988
gab,10230000,1989
gab,13490000,1990
gab,14710000,1991
gab,14450000,1992
gab,15220000,1993
gab,16840000,1994
gab,17760000,1995
gab,18250000,1996
gab,18190000,1997
gab,16850000,1998
gab,16980000,1999
gab,16380000,2000
gab,15020000,2001
gab,14720000,2002
gab,12000000,2003
gab,11750000,2004
gab,11700000,2005
gab,11730000,2006
gab,11480000,2007
gab,11770000,2008
gab,11480000,2009
gab,12480000,2010
gab,12230000,2011
ind,3022000,1965
ind,4647000,1966
ind,5667000,1967
ind,5853000,1968
ind,6723000,1969
ind,6809000,1970
ind,7185000,1971
ind,7373000,1972
ind,7198000,1973
ind,7490000,1974
ind,8283000,1975
ind,8659000,1976
ind,10180000,1977
ind,11270000,1978
ind,12840000,1979
ind,9399000,1980
ind,14980000,1981
ind,19880000,1982
ind,25360000,1983
ind,28190000,1984
ind,30200000,1985
ind,31620000,1986
ind,30680000,1987
ind,32290000,1988
ind,34450000,1989
ind,34170000,1990
ind,32180000,1991
ind,29190000,1992
ind,27880000,1993
ind,32380000,1994
ind,36650000,1995
ind,34800000,1996
ind,35580000,1997
ind,34700000,1998
ind,34610000,1999
ind,34160000,2000
ind,34090000,2001
ind,35240000,2002
ind,35390000,2003
ind,36340000,2004
ind,34610000,2005
ind,35780000,2006
ind,36140000,2007
ind,36140000,2008
ind,35440000,2009
ind,38900000,2010
ind,40430000,2011
idn,24540000,1965
idn,23930000,1966
idn,25750000,1967
idn,30320000,1968
idn,32410000,1969
idn,43110000,1970
idn,45030000,1971
idn,54720000,1972
idn,67550000,1973
idn,69420000,1974
idn,65930000,1975
idn,76130000,1976
idn,84940000,1977
idn,82100000,1978
idn,79540000,1979
idn,79040000,1980
idn,79960000,1981
idn,66580000,1982
idn,70680000,1983
idn,74890000,1984
idn,66340000,1985
idn,70370000,1986
idn,69820000,1987
idn,67290000,1988
idn,71630000,1989
idn,74430000,1990
idn,81010000,1991
idn,76730000,1992
idn,76850000,1993
idn,76940000,1994
idn,76450000,1995
idn,76730000,1996
idn,75710000,1997
idn,74200000,1998
idn,68600000,1999
idn,71470000,2000
idn,67860000,2001
idn,63020000,2002
idn,57330000,2003
idn,55250000,2004
idn,53140000,2005
idn,48900000,2006
idn,47540000,2007
idn,48980000,2008
idn,47940000,2009
idn,48330000,2010
idn,45610000,2011
irn,95660000,1965
irn,106900000,1966
irn,130500000,1967
irn,142800000,1968
irn,169300000,1969
irn,192600000,1970
irn,228700000,1971
irn,253700000,1972
irn,295400000,1973
irn,303200000,1974
irn,269500000,1975
irn,297000000,1976
irn,285600000,1977
irn,264800000,1978
irn,160500000,1979
irn,74160000,1980
irn,66160000,1981
irn,120100000,1982
irn,122800000,1983
irn,102500000,1984
irn,110400000,1985
irn,102700000,1986
irn,116700000,1987
irn,117400000,1988
irn,143800000,1989
irn,162800000,1990
irn,174400000,1991
irn,175700000,1992
irn,184300000,1993
irn,185000000,1994
irn,185500000,1995
irn,186600000,1996
irn,187000000,1997
irn,190800000,1998
irn,178100000,1999
irn,191100000,2000
irn,189200000,2001
irn,176900000,2002
irn,198000000,2003
irn,206900000,2004
irn,205100000,2005
irn,207900000,2006
irn,209600000,2007
irn,213000000,2008
irn,204000000,2009
irn,207100000,2010
irn,205800000,2011
irq,64680000,1965
irq,68570000,1966
irq,60490000,1967
irq,74240000,1968
irq,74920000,1969
irq,76300000,1970
irq,83440000,1971
irq,72410000,1972
irq,99400000,1973
irq,97280000,1974
irq,111700000,1975
irq,119500000,1976
irq,116000000,1977
irq,126600000,1978
irq,171600000,1979
irq,131100000,1980
irq,44500000,1981
irq,48500000,1982
irq,54350000,1983
irq,60540000,1984
irq,69840000,1985
irq,93190000,1986
irq,117300000,1987
irq,136700000,1988
irq,139000000,1989
irq,105300000,1990
irq,13940000,1991
irq,26150000,1992
irq,22330000,1993
irq,24790000,1994
irq,26030000,1995
irq,28570000,1996
irq,57140000,1997
irq,104200000,1998
irq,128300000,1999
irq,128800000,2000
irq,123900000,2001
irq,104000000,2002
irq,66070000,2003
irq,100000000,2004
irq,90030000,2005
irq,98150000,2006
irq,105200000,2007
irq,119500000,2008
irq,120000000,2009
irq,121400000,2010
irq,136900000,2011
ita,2278000,1965
ita,1850000,1966
ita,1723000,1967
ita,1627000,1968
ita,1591000,1969
ita,1502000,1970
ita,1353000,1971
ita,1210000,1972
ita,1105000,1973
ita,1104000,1974
ita,1235000,1975
ita,1293000,1976
ita,1246000,1977
ita,1489000,1978
ita,1717000,1979
ita,1707000,1980
ita,1487000,1981
ita,1763000,1982
ita,2241000,1983
ita,2273000,1984
ita,2384000,1985
ita,2558000,1986
ita,3935000,1987
ita,4837000,1988
ita,4604000,1989
ita,4668000,1990
ita,4332000,1991
ita,4501000,1992
ita,4640000,1993
ita,4895000,1994
ita,5236000,1995
ita,5452000,1996
ita,5948000,1997
ita,5622000,1998
ita,5015000,1999
ita,4586000,2000
ita,4128000,2001
ita,5531000,2002
ita,5570000,2003
ita,5469000,2004
ita,6111000,2005
ita,5769000,2006
ita,5860000,2007
ita,5236000,2008
ita,4572000,2009
ita,5106000,2010
ita,5307000,2011
kaz,0,1965
kaz,0,1966
kaz,0,1967
kaz,0,1968
kaz,0,1969
kaz,0,1970
kaz,0,1971
kaz,0,1972
kaz,0,1973
kaz,0,1974
kaz,0,1975
kaz,0,1976
kaz,0,1977
kaz,0,1978
kaz,0,1979
kaz,0,1980
kaz,0,1981
kaz,0,1982
kaz,0,1983
kaz,0,1984
kaz,22660000,1985
kaz,23290000,1986
kaz,24060000,1987
kaz,24960000,1988
kaz,25400000,1989
kaz,25800000,1990
kaz,26600000,1991
kaz,25800000,1992
kaz,23000000,1993
kaz,20310000,1994
kaz,20630000,1995
kaz,22960000,1996
kaz,25780000,1997
kaz,25940000,1998
kaz,30130000,1999
kaz,35320000,2000
kaz,40090000,2001
kaz,48150000,2002
kaz,52410000,2003
kaz,60610000,2004
kaz,62610000,2005
kaz,66110000,2006
kaz,68390000,2007
kaz,72050000,2008
kaz,78210000,2009
kaz,81650000,2010
kaz,82370000,2011
kwt,119000000,1965
kwt,125600000,1966
kwt,126400000,1967
kwt,133100000,1968
kwt,140900000,1969
kwt,151800000,1970
kwt,162500000,1971
kwt,167300000,1972
kwt,153800000,1973
kwt,129900000,1974
kwt,106300000,1975
kwt,109900000,1976
kwt,100800000,1977
kwt,108800000,1978
kwt,129600000,1979
kwt,86830000,1980
kwt,58620000,1981
kwt,42660000,1982
kwt,55010000,1983
kwt,60730000,1984
kwt,55490000,1985
kwt,59400000,1986
kwt,52120000,1987
kwt,63050000,1988
kwt,68410000,1989
kwt,46800000,1990
kwt,9217000,1991
kwt,53960000,1992
kwt,96580000,1993
kwt,103400000,1994
kwt,104900000,1995
kwt,105100000,1996
kwt,105100000,1997
kwt,110000000,1998
kwt,102600000,1999
kwt,110100000,2000
kwt,106900000,2001
kwt,99210000,2002
kwt,115800000,2003
kwt,123400000,2004
kwt,130400000,2005
kwt,133800000,2006
kwt,129900000,2007
kwt,135800000,2008
kwt,121000000,2009
kwt,122700000,2010
kwt,140000000,2011
lby,57980000,1965
lby,71670000,1966
lby,82360000,1967
lby,123900000,1968
lby,147700000,1969
lby,159500000,1970
lby,130700000,1971
lby,106800000,1972
lby,104600000,1973
lby,73590000,1974
lby,71530000,1975
lby,93490000,1976
lby,99630000,1977
lby,95650000,1978
lby,101100000,1979
lby,88290000,1980
lby,59120000,1981
lby,55390000,1982
lby,54330000,1983
lby,48240000,1984
lby,48390000,1985
lby,50190000,1986
lby,47300000,1987
lby,49710000,1988
lby,54890000,1989
lby,67240000,1990
lby,67890000,1991
lby,69700000,1992
lby,66120000,1993
lby,67500000,1994
lby,67890000,1995
lby,68590000,1996
lby,70090000,1997
lby,69590000,1998
lby,66980000,1999
lby,69550000,2000
lby,67070000,2001
lby,64600000,2002
lby,69830000,2003
lby,76550000,2004
lby,81910000,2005
lby,84910000,2006
lby,85030000,2007
lby,85280000,2008
lby,77080000,2009
lby,77440000,2010
lby,22430000,2011
mys,191600,1968
mys,430000,1969
mys,859900,1970
mys,3296000,1971
mys,4455000,1972
mys,4348000,1973
mys,3870000,1974
mys,4682000,1975
mys,8000000,1976
mys,8743000,1977
mys,10320000,1978
mys,13470000,1979
mys,13220000,1980
mys,12370000,1981
mys,14520000,1982
mys,18390000,1983
mys,21370000,1984
mys,21260000,1985
mys,23890000,1986
mys,23600000,1987
mys,25720000,1988
mys,27970000,1989
mys,29550000,1990
mys,30770000,1991
mys,31260000,1992
mys,30580000,1993
mys,31110000,1994
mys,33320000,1995
mys,33790000,1996
mys,33500000,1997
mys,34020000,1998
mys,32410000,1999
mys,32000000,2000
mys,31190000,2001
mys,32610000,2002
mys,34420000,2003
mys,35510000,2004
mys,32630000,2005
mys,30930000,2006
mys,31680000,2007
mys,32050000,2008
mys,30590000,2009
mys,29830000,2010
mys,26590000,2011
mex,18050000,1965
mex,18490000,1966
mex,20460000,1967
mex,21900000,1968
mex,22970000,1969
mex,24180000,1970
mex,24110000,1971
mex,25100000,1972
mex,25860000,1973
mex,32420000,1974
mex,40150000,1975
mex,44770000,1976
mex,54370000,1977
mex,66690000,1978
mex,80660000,1979
mex,107200000,1980
mex,128000000,1981
mex,151000000,1982
mex,147100000,1983
mex,148300000,1984
mex,145900000,1985
mex,136900000,1986
mex,143000000,1987
mex,142700000,1988
mex,143100000,1989
mex,145200000,1990
mex,152800000,1991
mex,153000000,1992
mex,153300000,1993
mex,154200000,1994
mex,150200000,1995
mex,162400000,1996
mex,169600000,1997
mex,173500000,1998
mex,165500000,1999
mex,171400000,2000
mex,176800000,2001
mex,178600000,2002
mex,189000000,2003
mex,190900000,2004
mex,187300000,2005
mex,183300000,2006
mex,172900000,2007
mex,157600000,2008
mex,147400000,2009
mex,146300000,2010
mex,145100000,2011
nga,13500000,1965
nga,20590000,1966
nga,15710000,1967
nga,6964000,1968
nga,26600000,1969
nga,53400000,1970
nga,75410000,1971
nga,89800000,1972
nga,101300000,1973
nga,111100000,1974
nga,87930000,1975
nga,102300000,1976
nga,103300000,1977
nga,93440000,1978
nga,113600000,1979
nga,101700000,1980
nga,70930000,1981
nga,63540000,1982
nga,60880000,1983
nga,68560000,1984
nga,73840000,1985
nga,72260000,1986
nga,66380000,1987
nga,73460000,1988
nga,86910000,1989
nga,91590000,1990
nga,95940000,1991
nga,99120000,1992
nga,98710000,1993
nga,97090000,1994
nga,97490000,1995
nga,105000000,1996
nga,113200000,1997
nga,106000000,1998
nga,100800000,1999
nga,105400000,2000
nga,110800000,2001
nga,102300000,2002
nga,110300000,2003
nga,120700000,2004
nga,124200000,2005
nga,119700000,2006
nga,114100000,2007
nga,105300000,2008
nga,101500000,2009
nga,117200000,2010
nga,117400000,2011
nor,292800,1971
nor,1615000,1972
nor,1561000,1973
nor,1708000,1974
nor,9223000,1975
nor,13650000,1976
nor,14000000,1977
nor,17370000,1978
nor,19500000,1979
nor,25050000,1980
nor,24290000,1981
nor,25230000,1982
nor,31400000,1983
nor,35950000,1984
nor,39210000,1985
nor,43030000,1986
nor,50120000,1987
nor,56980000,1988
nor,74910000,1989
nor,82140000,1990
nor,93840000,1991
nor,106900000,1992
nor,114100000,1993
nor,128600000,1994
nor,138400000,1995
nor,154700000,1996
nor,156200000,1997
nor,149600000,1998
nor,149700000,1999
nor,160200000,2000
nor,162000000,2001
nor,157300000,2002
nor,153000000,2003
nor,149900000,2004
nor,138200000,2005
nor,128700000,2006
nor,118600000,2007
nor,114200000,2008
nor,108800000,2009
nor,98560000,2010
nor,93450000,2011
omn,2823000,1967
omn,11970000,1968
omn,16190000,1969
omn,16440000,1970
omn,14560000,1971
omn,14000000,1972
omn,14510000,1973
omn,14360000,1974
omn,16890000,1975
omn,18230000,1976
omn,16840000,1977
omn,15550000,1978
omn,14610000,1979
omn,14120000,1980
omn,16310000,1981
omn,16700000,1982
omn,19330000,1983
omn,20750000,1984
omn,24790000,1985
omn,27860000,1986
omn,29010000,1987
omn,30930000,1988
omn,32060000,1989
omn,34240000,1990
omn,35320000,1991
omn,37040000,1992
omn,38790000,1993
omn,40450000,1994
omn,42810000,1995
omn,44360000,1996
omn,44910000,1997
omn,44710000,1998
omn,45010000,1999
omn,46360000,2000
omn,46140000,2001
omn,43390000,2002
omn,39620000,2003
omn,38090000,2004
omn,37440000,2005
omn,35740000,2006
omn,34510000,2007
omn,35950000,2008
omn,38660000,2009
omn,40960000,2010
omn,42120000,2011
per,3394000,1965
per,3394000,1966
per,3812000,1967
per,3979000,1968
per,3864000,1969
per,3864000,1970
per,3305000,1971
per,3472000,1972
per,3775000,1973
per,4089000,1974
per,3796000,1975
per,4016000,1976
per,4788000,1977
per,7921000,1978
per,10060000,1979
per,10250000,1980
per,10110000,1981
per,10220000,1982
per,8929000,1983
per,9671000,1984
per,9853000,1985
per,9331000,1986
per,8600000,1987
per,7419000,1988
per,6825000,1989
per,6773000,1990
per,6042000,1991
per,6110000,1992
per,6616000,1993
per,6668000,1994
per,6407000,1995
per,6320000,1996
per,6230000,1997
per,6005000,1998
per,5514000,1999
per,5147000,2000
per,5029000,2001
per,5029000,2002
per,4715000,2003
per,4666000,2004
per,5179000,2005
per,5358000,2006
per,5291000,2007
per,5508000,2008
per,6648000,2009
per,7192000,2010
per,6989000,2011
qat,11610000,1965
qat,14490000,1966
qat,16140000,1967
qat,16980000,1968
qat,17730000,1969
qat,18080000,1970
qat,21420000,1971
qat,24070000,1972
qat,28390000,1973
qat,25800000,1974
qat,21770000,1975
qat,24320000,1976
qat,21670000,1977
qat,24110000,1978
qat,25200000,1979
qat,23670000,1980
qat,20700000,1981
qat,16880000,1982
qat,15350000,1983
qat,17150000,1984
qat,15320000,1985
qat,17270000,1986
qat,15270000,1987
qat,17650000,1988
qat,19690000,1989
qat,21120000,1990
qat,20400000,1991
qat,23600000,1992
qat,21810000,1993
qat,21350000,1994
qat,21830000,1995
qat,27100000,1996
qat,33270000,1997
