geo,liver_cancer_deaths_per_100000_men,time
dom,3.91,1997
dom,4.47,1998
dom,5.08,1999
dom,4.46,2000
dom,4.57,2001
dom,4.745,2002
ecu,1.44,1979
ecu,1.57,1980
ecu,1.51,1981
ecu,1.73,1982
ecu,1.06,1983
ecu,1.0,1984
ecu,1.87,1985
ecu,1.77,1986
ecu,1.28,1987
ecu,1.6,1988
ecu,1.64,1989
ecu,2.31,1990
ecu,2.48,1991
ecu,1.53,1992
ecu,2.03,1993
ecu,1.42,1994
ecu,1.08,1995
ecu,1.17,1996
ecu,5.73,1997
ecu,5.99,1998
ecu,6.28,1999
ecu,5.72,2000
ecu,5.01,2001
ecu,5.08,2002
egy,6.0,2002
slv,0.11,1981
slv,0.54,1982
slv,0.31,1983
slv,0.41,1984
slv,0.3,1990
slv,0.07,1991
slv,0.07,1992
slv,0.1,1993
slv,0.03,1995
slv,3.5,1997
slv,4.42,1998
slv,3.88,1999
slv,4.02,2000
slv,3.97,2001
slv,3.95,2002
gnq,27.3,2002
eri,20.8,2002
est,6.16,1997
est,4.22,1998
est,4.15,1999
est,6.06,2000
est,4.55,2001
est,6.68,2002
eth,19.0,2002
fji,5.8,2002
fin,0.55,1955
fin,1.25,1956
fin,0.54,1957
fin,0.49,1958
fin,0.54,1959
fin,0.72,1960
fin,1.07,1961
fin,0.91,1962
fin,1.12,1963
fin,1.14,1964
fin,1.26,1965
fin,1.92,1966
fin,1.24,1967
fin,1.95,1968
fin,1.95,1987
fin,2.13,1988
fin,3.2,1989
fin,3.35,1990
fin,3.54,1991
fin,3.48,1992
fin,3.86,1993
fin,4.09,1994
fin,4.51,1996
fin,3.68,1997
fin,4.95,1998
fin,4.96,1999
fin,4.11,2000
fin,4.72,2001
fin,4.46,2002
fra,0.4,1955
fra,0.47,1956
fra,0.5,1957
fra,0.5,1958
fra,0.52,1959
fra,0.6,1960
fra,0.64,1961
fra,0.6,1962
fra,0.66,1963
fra,0.66,1964
fra,0.7,1965
fra,0.74,1966
fra,0.81,1967
fra,2.41,1979
fra,2.82,1980
fra,3.55,1981
fra,3.76,1982
fra,3.97,1983
fra,4.24,1984
fra,5.02,1985
fra,5.67,1986
fra,6.01,1987
fra,6.21,1988
fra,6.15,1989
fra,6.34,1990
fra,6.78,1991
fra,6.79,1992
fra,7.05,1993
fra,8.13,1994
fra,7.67,1995
fra,8.56,1996
fra,8.33,1997
fra,8.5,1998
fra,8.45,1999
fra,10.21,2000
fra,10.38,2001
fra,10.22,2002
pyf,11.8,2002
gab,11.5,2002
gmb,44.8,2002
geo,7.8,2002
deu,1.73,1986
deu,2.63,1988
deu,2.46,1989
deu,2.16,1990
deu,2.29,1991
deu,2.4,1992
deu,2.8,1993
deu,2.78,1994
deu,3.01,1995
deu,3.05,1996
deu,2.88,1997
deu,4.86,1998
deu,4.82,1999
deu,4.95,2000
deu,4.89,2001
deu,4.93,2002
gha,15.1,2002
grc,11.4,2002
gum,8.1,2002
gtm,4.7,2002
gin,36.0,2002
gnb,15.1,2002
guy,1.7,2002
hti,26.8,2002
hnd,4.7,2002
hkg,32.95,1979
hkg,31.3,1980
hkg,30.74,1981
hkg,28.06,1982
hkg,30.74,1983
hkg,29.66,1984
hkg,27.17,1985
hkg,29.56,1986
hkg,29.06,1987
hkg,30.0,1988
hkg,28.14,1989
hkg,27.45,1990
hkg,27.06,1991
hkg,27.17,1992
hkg,26.85,1993
hkg,24.07,2001
hkg,23.69,2002
hun,8.21,1979
hun,8.17,1980
hun,7.83,1981
hun,7.73,1982
hun,7.79,1983
hun,7.66,1984
hun,8.32,1985
hun,7.55,1986
hun,8.43,1987
hun,8.44,1988
hun,7.91,1989
hun,7.95,1990
hun,8.62,1991
hun,8.71,1992
hun,8.09,1993
hun,8.02,1994
hun,8.1,1995
hun,7.96,1996
hun,7.92,1997
hun,7.8,1998
hun,7.35,1999
hun,7.53,2000
hun,7.36,2001
hun,7.99,2002
isl,0.89,1982
isl,1.48,1983
isl,1.09,1984
isl,1.26,1985
isl,1.52,1986
isl,1.97,1987
isl,2.32,1988
isl,1.16,1989
isl,1.38,1990
isl,2.87,1991
isl,0.68,1992
isl,1.81,1993
isl,1.37,1994
isl,1.83,1995
isl,3.22,1996
isl,3.42,1997
isl,3.98,1998
isl,3.98,1999
isl,2.23,2000
isl,1.95,2001
isl,0.75,2002
ind,2.2,2002
idn,10.6,2002
irn,1.3,2002
irq,0.9,2002
irl,0.96,1979
irl,0.64,1980
irl,0.51,1981
irl,0.66,1982
irl,0.75,1983
irl,0.99,1984
irl,0.63,1985
irl,0.63,1986
irl,0.9,1987
irl,0.6,1988
irl,0.6,1989
irl,0.45,1990
irl,1.2,1991
irl,0.45,1992
irl,0.54,1993
irl,0.44,1994
irl,0.32,1995
irl,0.35,1996
irl,0.51,1997
irl,0.52,1998
irl,0.47,1999
irl,0.76,2000
irl,0.7,2001
irl,0.71,2002
isr,2.18,1979
isr,2.43,1980
isr,2.93,1981
isr,2.23,1982
isr,1.22,1983
isr,2.52,1984
isr,2.26,1985
isr,2.14,1986
isr,3.7,1987
isr,3.22,1988
isr,2.16,1989
isr,3.1,1990
isr,2.78,1991
isr,2.71,1992
isr,4.52,1993
isr,3.26,1994
isr,2.16,1995
isr,2.35,1996
isr,2.64,1997
isr,2.89,1998
isr,3.36,1999
isr,4.15,2000
isr,3.83,2001
isr,4.15,2002
ita,12.6,2002
jam,4.0,2002
jpn,1.8,1958
jpn,1.94,1959
jpn,2.2,1960
jpn,2.44,1961
jpn,2.43,1962
jpn,2.19,1963
jpn,2.2,1964
jpn,1.71,1965
jpn,1.71,1966
jpn,1.43,1967
jpn,9.52,1979
jpn,10.16,1980
jpn,10.8,1981
jpn,11.65,1982
jpn,12.33,1983
jpn,12.86,1984
jpn,13.35,1985
jpn,13.94,1986
jpn,14.77,1987
jpn,14.97,1988
jpn,15.37,1989
jpn,15.77,1990
jpn,15.72,1991
jpn,15.87,1992
jpn,15.71,1993
jpn,15.93,1994
jpn,22.99,1995
jpn,22.44,1996
jpn,21.74,1997
jpn,21.58,1998
jpn,20.91,1999
jpn,20.26,2000
jpn,19.55,2001
jpn,19.01,2002
jor,2.3,2002
kaz,12.6,2002
ken,9.6,2002
prk,35.9,2002
kor,0.3,1985
kor,0.18,1986
kor,0.08,1987
kor,0.06,1989
kor,0.42,1990
kor,19.84,1991
kor,41.07,1992
kor,41.29,1993
kor,41.2,1994
kor,39.59,1995
kor,37.42,1996
kor,35.85,1997
kor,32.83,1998
kor,33.43,1999
kor,33.44,2000
kor,32.12,2001
kor,33.55,2002
kwt,6.07,1979
kwt,13.95,1980
kwt,11.35,1981
kwt,12.66,1982
kwt,7.68,1983
kwt,8.31,1995
kwt,8.08,1996
kwt,14.1,1997
kwt,10.11,1998
kwt,11.71,1999
kwt,4.39,2000
kwt,5.94,2001
kwt,8.83,2002
kgz,7.44,2000
kgz,6.97,2001
kgz,6.96,2002
lao,21.2,2002
lva,4.28,1996
lva,4.04,1997
lva,3.98,1998
lva,4.09,1999
lva,5.1,2000
lva,4.52,2001
lva,4.85,2002
lbn,0.8,2002
lso,23.2,2002
lbr,9.6,2002
lby,4.7,2002
ltu,3.86,1998
ltu,4.13,1999
ltu,3.74,2000
ltu,3.52,2001
ltu,3.23,2002
lux,5.84,1998
lux,5.42,1999
lux,5.25,2000
lux,4.8,2001
lux,6.06,2002
mkd,7.4,2002
mdg,20.8,2002
mwi,4.7,2002
mys,10.4,2002
mli,29.3,2002
mlt,3.79,1979
mlt,3.27,1980
mlt,3.91,1981
mlt,2.64,1982
mlt,2.82,1983
mlt,5.95,1984
mlt,3.21,1985
mlt,0.55,1986
mlt,3.08,1988
mlt,1.47,1989
mlt,2.49,1990
mlt,1.41,1991
mlt,1.6,1992
mlt,0.26,1993
mlt,0.53,1994
mlt,1.11,1995
mlt,1.29,1996
mlt,1.79,1997
mlt,3.18,1998
mlt,4.82,1999
mlt,1.85,2000
mlt,1.52,2001
mlt,2.56,2002
mrt,15.1,2002
mus,0.45,1981
mus,2.08,1982
mus,0.16,1984
mus,0.32,1985
mus,0.3,1986
mus,0.29,1987
mus,0.56,1988
mus,0.28,1989
mus,0.26,1991
mus,0.28,1992
mus,0.5,1993
mus,0.22,1998
mus,0.22,1999
mus,0.48,2000
mus,0.31,2001
mus,0.86,2002
mex,0.81,1981
mex,0.9,1982
mex,0.95,1983
mex,1.29,1985
mex,1.27,1986
mex,1.18,1987
mex,1.41,1988
mex,1.63,1989
mex,1.38,1990
mex,1.16,1991
mex,1.39,1992
mex,1.31,1993
mex,1.31,1994
mex,1.29,1995
mex,1.31,1996
mex,1.57,1997
mex,5.86,1998
mex,5.56,1999
mex,5.63,2000
mex,5.34,2001
mex,5.7,2002
mda,5.13,1991
mda,5.34,1992
mda,7.08,1993
mda,6.45,1994
mda,5.59,1995
mda,9.06,1996
mda,7.02,1997
mda,7.77,1998
mda,7.01,1999
mda,7.15,2000
mda,7.33,2001
mda,9.48,2002
mng,93.3,2002
mar,1.3,2002
moz,78.4,2002
mmr,11.9,2002
nam,3.1,2002
npl,2.5,2002
nld,1.2,1979
nld,1.32,1980
nld,1.1,1981
nld,1.41,1982
nld,1.19,1983
nld,1.12,1984
nld,1.28,1985
nld,1.25,1986
nld,1.35,1987
nld,1.26,1988
nld,1.38,1989
nld,1.0,1990
nld,1.0,1991
nld,1.06,1992
nld,1.18,1993
nld,1.18,1994
nld,1.67,1995
nld,2.15,1996
nld,2.17,1997
nld,2.2,1998
nld,2.58,1999
nld,2.25,2000
nld,2.36,2001
nld,2.64,2002
nzl,1.17,1958
nzl,1.27,1959
nzl,1.68,1966
nzl,2.03,1967
nzl,2.1,1979
nzl,1.65,1980
nzl,1.73,1981
nzl,1.64,1982
nzl,1.56,1983
nzl,2.55,1984
nzl,1.75,1985
nzl,1.8,1986
nzl,2.7,1987
nzl,2.54,1988
nzl,2.15,1989
nzl,2.4,1990
nzl,2.09,1991
nzl,2.16,1992
nzl,2.3,1993
nzl,2.4,1994
nzl,2.65,1995
nzl,2.09,1996
nzl,2.7,1997
nzl,2.55,1998
nzl,2.45,1999
nzl,3.89,2000
nzl,3.12,2001
nzl,3.48,2002
nic,0.34,1988
nic,0.1,1989
nic,0.21,1990
nic,0.16,1991
nic,1.56,1992
nic,0.78,1993
nic,0.33,1994
nic,2.18,1996
nic,4.39,1997
nic,6.24,1998
nic,4.79,1999
nic,4.88,2000
nic,4.67,2001
nic,6.0,2002
ner,16.3,2002
nga,10.4,2002
nor,1.59,1986
nor,1.69,1987
nor,0.79,1989
nor,0.92,1990
nor,0.81,1991
nor,0.74,1992
nor,0.69,1993
nor,0.66,1994
nor,0.72,1995
nor,1.36,1996
nor,1.15,1997
nor,1.57,1998
nor,1.91,1999
nor,1.51,2000
nor,1.4,2001
nor,1.26,2002
omn,6.6,2002
pak,5.3,2002
pan,1.74,1979
pan,3.11,1980
pan,2.6,1981
pan,1.95,1982
pan,1.53,1983
pan,1.21,1984
pan,1.45,1985
pan,1.95,1986
pan,1.5,1987
pan,2.26,1996
pan,1.35,1997
pan,2.51,1998
pan,3.04,1999
pan,4.1,2000
pan,2.68,2001
pan,3.04,2002
png,18.5,2002
pry,4.8,2002
per,9.3,2002
phl,17.9,2002
pol,7.46,1980
pol,7.93,1981
pol,7.75,1982
pol,7.76,1983
pol,7.54,1984
pol,7.51,1985
pol,7.08,1986
pol,7.26,1987
pol,7.11,1988
pol,7.02,1989
pol,6.58,1990
pol,6.82,1991
pol,6.16,1992
pol,5.98,1993
pol,5.65,1994
pol,5.03,1995
pol,4.94,1996
pol,4.44,1999
pol,4.16,2000
pol,4.22,2001
pol,4.08,2002
prt,0.91,1980
prt,0.84,1981
prt,0.94,1982
prt,1.06,1983
prt,1.03,1984
prt,0.9,1985
prt,0.87,1986
prt,0.96,1987
prt,1.21,1988
prt,1.95,1989
prt,1.61,1990
prt,1.46,1991
prt,2.2,1992
prt,2.24,1993
prt,2.85,1994
prt,2.92,1995
prt,3.46,1996
prt,3.06,1997
prt,2.93,1998
prt,3.27,1999
prt,3.02,2000
prt,5.27,2002
pri,5.5,2002
qat,12.4,2002
rou,2.36,1980
rou,1.5,1981
rou,1.83,1982
rou,1.62,1983
rou,1.61,1984
rou,1.46,1985
rou,1.73,1986
rou,2.3,1987
rou,2.56,1988
rou,2.61,1989
rou,3.39,1990
rou,3.6,1991
rou,2.87,1992
rou,3.47,1993
rou,8.27,1994
rou,8.55,1995
rou,8.22,1996
rou,8.49,1997
rou,8.32,1998
rou,7.97,1999
rou,8.52,2000
rou,8.88,2001
rou,8.85,2002
rus,5.8,2002
rwa,44.7,2002
wsm,11.8,2002
sau,13.7,2002
sen,30.3,2002
scg,6.5,2002
sle,15.1,2002
sgp,18.6,2002
svk,6.72,1994
svk,6.6,1995
svk,7.3,1996
svk,6.71,1997
svk,8.2,1998
svk,6.68,1999
svk,6.52,2000
svk,7.19,2001
svk,5.99,2002
svn,1.22,1985
svn,3.41,1986
svn,3.32,1987
svn,2.04,1988
svn,3.87,1989
svn,3.0,1990
svn,3.05,1991
svn,2.97,1992
svn,3.37,1993
svn,3.84,1994
svn,2.41,1995
svn,3.34,1996
svn,5.44,1997
svn,5.82,1998
svn,5.87,1999
svn,6.79,2000
svn,6.06,2001
svn,5.88,2002
slb,17.7,2002
som,20.8,2002
zaf,9.29,1996
zaf,8.87,1997
zaf,8.57,1998
zaf,8.41,1999
zaf,8.23,2000
zaf,7.71,2001
zaf,7.44,2002
esp,9.16,1980
esp,8.42,1981
esp,9.11,1982
esp,6.05,1983
esp,2.43,1984
esp,1.86,1985
esp,2.6,1986
esp,3.11,1987
esp,3.42,1988
esp,3.79,1989
esp,3.84,1990
esp,4.29,1991
esp,4.31,1992
esp,4.72,1993
esp,4.68,1994
esp,5.09,1995
esp,4.95,1996
esp,5.18,1997
esp,5.08,1998
esp,8.11,1999
esp,7.75,2000
esp,7.97,2001
esp,7.85,2002
lka,1.1,2002
sdn,6.6,2002
sur,1.0,2002
swz,20.2,2002
swe,1.09,1958
swe,1.26,1959
swe,1.26,1960
swe,1.13,1961
swe,1.32,1962
swe,0.95,1963
swe,1.03,1964
swe,1.06,1965
swe,1.15,1966
swe,1.09,1968
swe,2.15,1987
swe,1.88,1988
swe,2.26,1989
swe,2.52,1990
swe,2.28,1991
swe,2.0,1992
swe,1.92,1993
swe,2.57,1994
swe,2.82,1995
swe,2.78,1996
swe,4.18,1997
swe,3.76,1998
swe,3.82,1999
swe,3.03,2000
swe,3.55,2001
swe,3.99,2002
che,6.0,2002
syr,0.9,2002
tjk,4.1,2002
tza,8.7,2002
tha,17.3,1994
tha,16.78,1995
tha,14.57,1996
tha,15.43,1997
tha,19.01,1998
tha,20.02,1999
tha,22.58,2000
tha,26.22,2002
tgo,15.1,2002
tto,0.83,1979
tto,1.69,1980
tto,1.45,1981
tto,1.66,1982
tto,0.24,1983
tto,2.34,1984
tto,0.99,1985
tto,0.53,1986
tto,1.4,1987
tto,1.86,1988
tto,1.41,1989
tto,1.27,1990
tto,0.36,1991
tto,2.2,1992
tto,1.56,1993
tto,2.99,1994
tto,2.16,1995
tto,0.88,1996
tto,2.78,1998
tto,4.44,1999
tto,3.1,2000
tto,2.41,2001
tto,2.97,2002
tun,2.5,2002
tur,2.5,2002
tkm,5.6,2002
uga,6.1,2002
ukr,4.4,2002
are,5.2,2002
gbr,0.82,1958
gbr,0.91,1959
gbr,0.86,1960
gbr,0.96,1961
gbr,0.95,1962
gbr,1.21,1979
gbr,1.11,1980
gbr,1.26,1981
gbr,0.99,1982
gbr,1.16,1983
gbr,1.35,1984
gbr,1.18,1985
gbr,1.23,1986
gbr,1.31,1987
gbr,1.28,1988
gbr,1.26,1989
gbr,1.25,1990
gbr,1.32,1991
gbr,1.37,1992
gbr,0.94,1993
gbr,1.0,1994
gbr,0.98,1995
gbr,1.06,1996
gbr,1.19,1997
gbr,1.16,1998
gbr,1.23,1999
gbr,1.53,2000
gbr,2.67,2001
gbr,2.78,2002
usa,1.08,1958
usa,1.11,1959
usa,1.19,1960
usa,1.23,1961
usa,1.32,1962
usa,1.24,1963
usa,1.26,1964
usa,1.25,1965
usa,1.27,1966
usa,1.28,1967
usa,1.22,1979
usa,1.13,1980
usa,1.25,1981
usa,1.26,1982
usa,1.36,1983
usa,1.45,1984
usa,1.42,1985
usa,1.39,1986
usa,1.46,1987
usa,1.55,1988
usa,1.59,1989
usa,1.75,1990
usa,1.69,1991
usa,1.88,1992
usa,1.84,1993
usa,1.93,1994
usa,2.03,1995
usa,2.12,1996
usa,2.2,1997
usa,2.29,1998
usa,4.11,1999
usa,4.26,2000
usa,4.34,2001
usa,4.55,2002
ury,1.86,1966
ury,2.16,1967
ury,0.5,1980
ury,0.48,1981
ury,0.72,1982
ury,1.13,1983
ury,1.19,1984
ury,0.92,1985
ury,1.17,1986
ury,0.6,1987
ury,0.37,1988
ury,0.55,1989
ury,0.96,1990
ury,0.57,1993
ury,0.85,1994
ury,1.01,1995
ury,1.0,1996
ury,3.13,1997
ury,2.22,1998
ury,2.02,1999
ury,2.31,2000
ury,2.51,2001
ury,2.2,2002
uzb,4.2,2002
vut,20.3,2002
ven,3.75,1958
ven,4.55,1959
ven,5.06,1960
ven,2.38,1961
ven,2.67,1962
ven,2.32,1963
ven,2.42,1964
ven,2.69,1965
ven,2.24,1966
ven,2.88,1967
ven,4.35,1979
ven,4.19,1980
ven,2.64,1981
ven,1.84,1982
ven,1.76,1983
ven,1.76,1985
ven,1.81,1986
ven,1.79,1987
ven,1.46,1988
ven,1.1,1989
ven,1.64,1990
ven,1.18,1992
ven,1.13,1993
ven,1.24,1994
ven,4.62,1996
ven,4.64,1997
ven,4.89,1998
ven,4.31,1999
ven,4.44,2000
ven,4.08,2001
ven,4.02,2002
vnm,22.3,2002
yem,12.2,2002
zmb,18.6,2002
zwe,25.4,2002
