geo,private_share_of_total_health_spending_percent,time
tgo,67.34,1996
tgo,70.4,1997
tgo,63.44,1998
tgo,68.6,1999
tgo,68.89,2000
tgo,76.28,2001
tgo,81.3,2002
tgo,75.55,2003
tgo,75.2,2004
tgo,70.46,2005
tgo,67.7,2006
tgo,68.3,2007
tgo,64.71,2008
tgo,57.05,2009
tgo,55.78,2010
ton,34.6,1995
ton,33.17,1996
ton,31.9,1997
ton,31.52,1998
ton,26.73,1999
ton,29.25,2000
ton,24.31,2001
ton,24.29,2002
ton,16.85,2003
ton,16.85,2004
ton,12.93,2005
ton,12.96,2006
ton,15.07,2007
ton,15.07,2008
ton,20.38,2009
ton,18.5,2010
tto,52.44,1995
tto,54.17,1996
tto,53.69,1997
tto,60.52,1998
tto,55.55,1999
tto,56.96,2000
tto,52.56,2001
tto,49.13,2002
tto,51.09,2003
tto,52.53,2004
tto,47.13,2005
tto,46.25,2006
tto,50.85,2007
tto,51.12,2008
tto,39.41,2009
tto,40.11,2010
tun,48.31,1995
tun,47.03,1996
tun,47.41,1997
tun,47.65,1998
tun,48.27,1999
tun,45.07,2000
tun,46.25,2001
tun,47.35,2002
tun,47.29,2003
tun,48.16,2004
tun,48.47,2005
tun,47.6,2006
tun,47.63,2007
tun,45.91,2008
tun,45.12,2009
tun,45.7,2010
tur,29.68,1995
tur,30.84,1996
tur,28.39,1997
tur,28.07,1998
tur,38.87,1999
tur,37.07,2000
tur,31.93,2001
tur,29.32,2002
tur,28.08,2003
tur,28.75,2004
tur,32.16,2005
tur,31.66,2006
tur,32.17,2007
tur,26.98,2008
tur,24.87,2009
tur,24.8,2010
tkm,39.65,1995
tkm,30.34,1996
tkm,28.23,1997
tkm,27.2,1998
tkm,30.9,1999
tkm,20.41,2000
tkm,24.04,2001
tkm,30.08,2002
tkm,28.64,2003
tkm,32.34,2004
tkm,36.74,2005
tkm,42.0,2006
tkm,44.44,2007
tkm,50.86,2008
tkm,40.76,2009
tkm,40.62,2010
tuv,0.43,1995
tuv,0.19,1996
tuv,0.27,1997
tuv,0.25,1998
tuv,0.23,1999
tuv,0.12,2000
tuv,0.12,2001
tuv,0.14,2002
tuv,0.1,2003
tuv,0.11,2004
tuv,0.11,2005
tuv,0.1,2006
tuv,0.11,2007
tuv,0.09,2008
tuv,0.13,2009
tuv,0.11,2010
uga,73.57,1995
uga,73.11,1996
uga,69.78,1997
uga,71.2,1998
uga,69.43,1999
uga,73.15,2000
uga,72.67,2001
uga,70.5,2002
uga,70.82,2003
uga,74.11,2004
uga,74.71,2005
uga,78.96,2006
uga,80.46,2007
uga,82.82,2008
uga,78.24,2009
uga,78.26,2010
ukr,38.76,1995
ukr,36.4,1996
ukr,43.8,1997
ukr,46.49,1998
ukr,50.09,1999
ukr,48.2,2000
ukr,45.7,2001
ukr,43.81,2002
ukr,41.7,2003
ukr,41.45,2004
ukr,40.54,2005
ukr,39.23,2006
ukr,38.15,2007
ukr,42.34,2008
ukr,44.97,2009
ukr,43.37,2010
are,21.03,1995
are,20.75,1996
are,21.66,1997
are,32.69,1998
are,33.99,1999
are,34.86,2000
are,21.73,2001
are,36.93,2002
are,36.84,2003
are,40.86,2004
are,41.0,2005
are,40.61,2006
are,40.38,2007
are,33.99,2008
are,23.07,2009
are,25.63,2010
gbr,16.14,1995
gbr,17.06,1996
gbr,19.73,1997
gbr,19.73,1998
gbr,19.46,1999
gbr,20.8,2000
gbr,20.12,2001
gbr,20.19,2002
gbr,19.97,2003
gbr,18.66,2004
gbr,18.12,2005
gbr,18.73,2006
gbr,18.66,2007
gbr,17.65,2008
gbr,15.85,2009
gbr,16.11,2010
usa,55.09,1995
usa,55.03,1996
usa,55.33,1997
usa,56.49,1998
usa,56.94,1999
usa,56.8,2000
usa,55.84,2001
usa,55.9,2002
usa,56.4,2003
usa,56.0,2004
usa,55.92,2005
usa,55.12,2006
usa,54.88,2007
usa,53.96,2008
usa,52.33,2009
usa,46.94,2010
ury,40.44,1995
ury,47.0,1996
ury,58.06,1997
ury,56.43,1998
ury,26.65,1999
ury,27.7,2000
ury,28.09,2001
ury,29.16,2002
ury,32.03,2003
ury,50.66,2004
ury,49.31,2005
ury,46.87,2006
ury,45.39,2007
ury,36.21,2008
ury,34.68,2009
ury,32.94,2010
uzb,30.41,1995
uzb,31.9,1996
uzb,36.61,1997
uzb,54.17,1998
uzb,53.32,1999
uzb,55.93,2000
uzb,55.15,2001
uzb,56.12,2002
uzb,54.6,2003
uzb,58.28,2004
uzb,56.71,2005
uzb,58.15,2006
uzb,58.48,2007
uzb,54.16,2008
uzb,54.65,2009
uzb,52.53,2010
vut,23.13,1995
vut,27.86,1996
vut,23.24,1997
vut,22.19,1998
vut,25.1,1999
vut,23.37,2000
vut,24.01,2001
vut,24.42,2002
vut,24.91,2003
vut,26.0,2004
vut,27.11,2005
vut,20.72,2006
vut,13.44,2007
vut,11.57,2008
vut,10.15,2009
vut,9.391,2010
ven,57.4,1995
ven,57.56,1996
ven,64.07,1997
ven,67.51,1998
ven,62.99,1999
ven,58.52,2000
ven,59.33,2001
ven,60.7,2002
ven,61.87,2003
ven,58.6,2004
ven,56.71,2005
ven,58.34,2006
ven,53.49,2007
ven,55.05,2008
ven,59.95,2009
ven,65.1,2010
vnm,65.49,1995
vnm,67.39,1996
vnm,66.96,1997
vnm,64.98,1998
vnm,64.84,1999
vnm,69.05,2000
vnm,68.54,2001
vnm,69.52,2002
vnm,67.93,2003
vnm,72.6,2004
vnm,73.6,2005
vnm,67.1,2006
vnm,60.02,2007
vnm,66.04,2008
vnm,62.46,2009
vnm,62.16,2010
yem,68.54,1995
yem,56.29,1996
yem,54.6,1997
yem,53.19,1998
yem,50.09,1999
yem,46.18,2000
yem,46.73,2001
yem,48.75,2002
yem,54.19,2003
yem,62.15,2004
yem,66.14,2005
yem,68.41,2006
yem,70.25,2007
yem,69.03,2008
yem,73.51,2009
yem,75.84,2010
zmb,39.38,1995
zmb,37.95,1996
zmb,34.72,1997
zmb,37.84,1998
zmb,50.58,1999
zmb,48.74,2000
zmb,43.06,2001
zmb,36.15,2002
zmb,38.39,2003
zmb,42.72,2004
zmb,45.14,2005
zmb,39.29,2006
zmb,44.31,2007
zmb,40.5,2008
zmb,41.35,2009
zmb,39.72,2010
zwe,45.37,1995
zwe,48.6,1996
zwe,52.64,1997
zwe,44.13,1998
zwe,51.06,1999
zwe,47.23,2000
zwe,61.62,2001
