geo,private_share_of_total_health_spending_percent,time
caf,62.03,2004
caf,64.69,2005
caf,64.57,2006
caf,65.79,2007
caf,66.72,2008
caf,65.81,2009
caf,64.62,2010
tcd,65.31,1995
tcd,62.82,1996
tcd,64.82,1997
tcd,69.34,1998
tcd,66.08,1999
tcd,57.5,2000
tcd,60.22,2001
tcd,69.01,2002
tcd,53.16,2003
tcd,64.44,2004
tcd,58.9,2005
tcd,67.86,2006
tcd,76.73,2007
tcd,78.44,2008
tcd,80.28,2009
tcd,75.03,2010
chl,61.73,1995
chl,63.37,1996
chl,62.66,1997
chl,61.72,1998
chl,60.1,1999
chl,58.36,2000
chl,57.05,2001
chl,56.24,2002
chl,61.2,2003
chl,60.15,2004
chl,59.97,2005
chl,57.87,2006
chl,56.8,2007
chl,55.95,2008
chl,52.36,2009
chl,51.82,2010
chn,49.5,1995
chn,53.41,1996
chn,55.76,1997
chn,58.19,1998
chn,59.11,1999
chn,61.72,2000
chn,64.43,2001
chn,64.17,2002
chn,63.77,2003
chn,62.03,2004
chn,61.23,2005
chn,59.35,2006
chn,53.07,2007
chn,50.05,2008
chn,47.5,2009
chn,46.4,2010
col,41.36,1995
col,35.2,1996
col,35.12,1997
col,28.15,1998
col,23.7,1999
col,29.25,2000
col,29.69,2001
col,29.56,2002
col,29.95,2003
col,29.41,2004
col,29.95,2005
col,29.16,2006
col,28.94,2007
col,29.4,2008
col,28.94,2009
col,27.3,2010
com,28.77,1995
com,30.39,1996
com,33.11,1997
com,36.34,1998
com,39.4,1999
com,47.25,2000
com,52.49,2001
com,42.72,2002
com,41.83,2003
com,39.56,2004
com,38.98,2005
com,36.27,2006
com,34.72,2007
com,32.6,2008
com,46.79,2009
com,32.78,2010
cod,95.96,1995
cod,96.74,1996
cod,95.05,1997
cod,96.3,1998
cod,94.27,1999
cod,95.92,2000
cod,94.81,2001
cod,94.14,2002
cod,78.82,2003
cod,78.17,2004
cod,70.03,2005
cod,68.94,2006
cod,63.82,2007
cod,52.89,2008
cod,55.29,2009
cod,57.48,2010
cog,40.37,1995
cog,39.49,1996
