geo,population_aged_40_59_years_female_percent,time
bol,25.5,2045
bol,26.37,2050
bih,16.46,1950
bih,16.88,1955
bih,15.45,1960
bih,15.9,1965
bih,18.26,1970
bih,20.31,1975
bih,22.81,1980
bih,22.57,1985
bih,22.94,1990
bih,23.86,1995
bih,25.37,2000
bih,28.31,2005
bih,30.24,2010
bih,30.59,2015
bih,30.23,2020
bih,29.99,2025
bih,30.43,2030
bih,29.27,2035
bih,28.48,2040
bih,26.33,2045
bih,23.7,2050
bwa,15.02,1950
bwa,12.92,1955
bwa,12.5,1960
bwa,12.5,1965
bwa,12.22,1970
bwa,12.83,1975
bwa,12.57,1980
bwa,12.01,1985
bwa,11.92,1990
bwa,12.9,1995
bwa,14.27,2000
bwa,15.28,2005
bwa,15.31,2010
bwa,14.53,2015
bwa,14.66,2020
bwa,16.36,2025
bwa,18.71,2030
bwa,21.06,2035
bwa,22.49,2040
bwa,22.82,2045
bwa,23.24,2050
bra,14.99,1950
bra,14.8,1955
bra,14.23,1960
bra,14.03,1965
bra,14.29,1970
bra,14.37,1975
bra,14.77,1980
bra,14.98,1985
bra,15.79,1990
bra,17.44,1995
bra,19.21,2000
bra,21.45,2005
bra,23.15,2010
bra,24.48,2015
bra,25.92,2020
bra,27.25,2025
bra,28.2,2030
bra,28.55,2035
bra,28.66,2040
bra,28.33,2045
bra,27.58,2050
brn,17.39,1950
brn,16.13,1955
brn,15.0,1960
brn,14.58,1965
brn,15.87,1970
brn,15.38,1975
brn,12.22,1980
brn,12.15,1985
brn,13.22,1990
brn,13.67,1995
brn,16.35,2000
brn,18.08,2005
brn,20.81,2010
brn,22.54,2015
brn,24.57,2020
brn,26.19,2025
brn,26.39,2030
brn,26.92,2035
brn,26.73,2040
brn,26.35,2045
brn,25.68,2050
bgr,21.78,1950
bgr,23.14,1955
bgr,22.46,1960
bgr,24.14,1965
bgr,25.13,1970
bgr,26.1,1975
bgr,26.92,1980
bgr,26.14,1985
bgr,25.88,1990
bgr,26.31,1995
bgr,27.37,2000
bgr,28.02,2005
bgr,27.47,2010
bgr,27.74,2015
bgr,28.54,2020
bgr,29.18,2025
bgr,29.57,2030
bgr,28.06,2035
bgr,25.03,2040
bgr,22.68,2045
bgr,21.08,2050
bfa,14.22,1950
bfa,14.97,1955
bfa,15.32,1960
bfa,15.26,1965
bfa,14.86,1970
bfa,14.21,1975
bfa,13.44,1980
bfa,12.89,1985
bfa,12.22,1990
bfa,11.76,1995
bfa,11.71,2000
bfa,11.9,2005
bfa,12.16,2010
bfa,12.62,2015
bfa,13.16,2020
bfa,13.78,2025
bfa,14.41,2030
bfa,15.13,2035
bfa,15.98,2040
bfa,17.1,2045
bfa,19.19,2050
bdi,15.13,1950
bdi,15.23,1955
bdi,15.06,1960
bdi,14.69,1965
bdi,14.15,1970
bdi,13.44,1975
bdi,12.65,1980
bdi,12.05,1985
bdi,11.74,1990
bdi,12.52,1995
bdi,13.2,2000
bdi,13.56,2005
bdi,13.69,2010
bdi,13.82,2015
bdi,14.87,2020
bdi,17.21,2025
bdi,20.0,2030
bdi,21.97,2035
bdi,22.84,2040
bdi,22.82,2045
bdi,22.91,2050
khm,14.3,1950
khm,14.26,1955
khm,14.28,1960
khm,14.15,1965
khm,14.08,1970
khm,14.24,1975
khm,14.61,1980
khm,14.26,1985
khm,14.26,1990
khm,14.52,1995
khm,15.57,2000
khm,16.79,2005
khm,17.67,2010
khm,17.9,2015
khm,17.62,2020
khm,20.08,2025
khm,22.68,2030
khm,25.73,2035
khm,27.76,2040
khm,26.66,2045
khm,25.7,2050
cmr,16.03,1950
cmr,15.96,1955
cmr,15.79,1960
cmr,15.53,1965
cmr,15.17,1970
cmr,14.69,1975
cmr,14.13,1980
cmr,13.55,1985
cmr,13.11,1990
cmr,12.9,1995
cmr,12.93,2000
cmr,12.97,2005
cmr,12.89,2010
cmr,12.99,2015
cmr,13.72,2020
cmr,15.07,2025
cmr,16.66,2030
cmr,18.2,2035
cmr,19.26,2040
cmr,20.36,2045
cmr,21.7,2050
can,20.07,1950
can,20.05,1955
can,20.31,1960
can,20.74,1965
can,20.92,1970
can,20.65,1975
can,20.38,1980
can,20.54,1985
can,22.06,1990
can,24.55,1995
can,27.63,2000
can,29.88,2005
can,29.64,2010
can,28.63,2015
can,27.11,2020
can,25.72,2025
can,25.44,2030
can,25.55,2035
can,25.06,2040
can,24.22,2045
can,23.42,2050
cpv,17.72,1950
cpv,17.2,1955
cpv,16.35,1960
cpv,14.88,1965
cpv,13.04,1970
cpv,14.09,1975
cpv,13.64,1980
cpv,13.45,1985
cpv,12.17,1990
cpv,11.54,1995
cpv,12.12,2000
cpv,14.4,2005
cpv,17.23,2010
cpv,18.25,2015
cpv,19.21,2020
cpv,21.07,2025
cpv,23.49,2030
cpv,26.16,2035
cpv,27.2,2040
cpv,27.3,2045
cpv,26.65,2050
caf,17.68,1950
caf,17.49,1955
caf,16.78,1960
caf,16.45,1965
caf,16.13,1970
caf,15.89,1975
caf,15.51,1980
caf,14.78,1985
caf,14.08,1990
caf,13.78,1995
caf,13.73,2000
caf,13.82,2005
caf,13.96,2010
caf,13.95,2015
caf,14.26,2020
caf,15.12,2025
caf,16.37,2030
caf,17.74,2035
caf,19.29,2040
caf,20.67,2045
caf,21.77,2050
tcd,17.13,1950
tcd,17.0,1955
tcd,16.59,1960
tcd,16.3,1965
tcd,15.65,1970
tcd,14.98,1975
tcd,14.15,1980
tcd,13.3,1985
tcd,12.6,1990
tcd,12.53,1995
tcd,12.44,2000
tcd,12.31,2005
tcd,12.2,2010
tcd,12.0,2015
tcd,12.2,2020
tcd,12.7,2025
tcd,13.49,2030
tcd,14.48,2035
tcd,15.62,2040
tcd,16.94,2045
tcd,18.32,2050
chanisl,26.92,1950
chanisl,26.79,1955
chanisl,27.12,1960
chanisl,25.81,1965
chanisl,25.0,1970
chanisl,22.73,1975
chanisl,24.24,1980
chanisl,22.54,1985
chanisl,22.97,1990
chanisl,24.66,1995
chanisl,27.03,2000
chanisl,29.87,2005
chanisl,32.89,2010
chanisl,33.33,2015
chanisl,32.05,2020
chanisl,28.57,2025
chanisl,26.32,2030
chanisl,25.0,2035
chanisl,25.68,2040
chanisl,25.33,2045
chanisl,24.0,2050
chl,18.27,1950
chl,17.72,1955
chl,16.97,1960
chl,16.25,1965
chl,16.04,1970
chl,16.21,1975
chl,16.5,1980
chl,17.28,1985
chl,17.97,1990
chl,19.15,1995
chl,21.55,2000
chl,24.09,2005
chl,25.67,2010
chl,26.38,2015
chl,25.63,2020
chl,24.97,2025
chl,25.32,2030
chl,25.93,2035
chl,26.25,2040
chl,25.61,2045
chl,24.54,2050
chn,19.56,1950
chn,18.18,1955
chn,17.71,1960
chn,17.01,1965
chn,16.23,1970
chn,16.16,1975
chn,16.41,1980
chn,16.42,1985
chn,17.08,1990
chn,19.49,1995
chn,21.44,2000
chn,24.78,2005
chn,28.47,2010
chn,29.94,2015
chn,29.9,2020
chn,29.19,2025
chn,28.72,2030
chn,27.52,2035
chn,27.21,2040
chn,26.04,2045
chn,23.81,2050
col,14.47,1950
col,14.35,1955
col,13.91,1960
col,13.56,1965
col,13.08,1970
col,12.86,1975
col,12.79,1980
col,13.01,1985
col,14.15,1990
col,15.97,1995
col,18.08,2000
col,20.42,2005
col,22.27,2010
col,23.04,2015
col,23.78,2020
col,24.14,2025
col,24.37,2030
col,25.05,2035
col,25.31,2040
col,25.42,2045
col,25.47,2050
com,15.19,1950
com,16.09,1955
com,15.46,1960
com,14.95,1965
com,14.29,1970
com,14.07,1975
com,12.8,1980
com,11.4,1985
com,11.36,1990
com,11.48,1995
com,13.0,2000
com,13.77,2005
com,15.12,2010
com,16.05,2015
com,17.62,2020
com,19.69,2025
com,20.94,2030
com,21.54,2035
com,21.62,2040
com,22.01,2045
com,23.41,2050
cod,14.05,1950
cod,14.09,1955
cod,14.13,1960
cod,14.06,1965
cod,13.98,1970
cod,13.82,1975
cod,13.61,1980
cod,13.31,1985
cod,12.88,1990
cod,12.33,1995
cod,11.89,2000
cod,11.54,2005
cod,11.48,2010
cod,11.69,2015
cod,12.13,2020
cod,12.92,2025
cod,14.09,2030
cod,15.53,2035
cod,17.17,2040
cod,18.93,2045
cod,20.52,2050
cog,15.57,1950
cog,15.49,1955
cog,15.46,1960
cog,15.24,1965
cog,14.71,1970
cog,14.21,1975
cog,13.69,1980
cog,13.25,1985
cog,12.95,1990
cog,12.91,1995
cog,12.93,2000
cog,12.79,2005
cog,12.77,2010
cog,13.4,2015
cog,14.81,2020
cog,16.57,2025
cog,18.46,2030
cog,20.15,2035
cog,21.25,2040
cog,22.23,2045
cog,23.1,2050
cri,16.91,1950
cri,15.52,1955
cri,14.5,1960
cri,13.26,1965
cri,13.13,1970
cri,13.16,1975
cri,13.26,1980
cri,13.6,1985
cri,14.3,1990
cri,15.93,1995
cri,18.12,2000
cri,20.71,2005
cri,22.76,2010
cri,23.5,2015
cri,24.13,2020
cri,24.91,2025
cri,26.1,2030
cri,27.23,2035
cri,27.31,2040
cri,26.61,2045
cri,25.21,2050
civ,13.85,1950
civ,13.85,1955
civ,13.84,1960
civ,13.61,1965
civ,13.41,1970
civ,13.2,1975
civ,12.91,1980
civ,12.79,1985
civ,12.66,1990
civ,12.74,1995
civ,12.94,2000
civ,13.01,2005
civ,12.97,2010
civ,13.17,2015
civ,14.08,2020
civ,15.34,2025
civ,16.86,2030
civ,18.47,2035
civ,19.82,2040
civ,21.2,2045
civ,22.43,2050
hrv,23.96,1950
hrv,24.48,1955
hrv,22.87,1960
hrv,23.49,1965
hrv,24.55,1970
hrv,25.78,1975
hrv,27.43,1980
hrv,25.98,1985
hrv,25.5,1990
hrv,25.77,1995
hrv,26.2,2000
hrv,27.83,2005
hrv,27.98,2010
hrv,27.53,2015
hrv,27.17,2020
hrv,27.2,2025
hrv,27.11,2030
hrv,26.74,2035
hrv,25.84,2040
hrv,24.14,2045
hrv,23.15,2050
cub,16.21,1950
cub,17.74,1955
cub,18.59,1960
cub,17.8,1965
cub,16.97,1970
cub,16.51,1975
cub,17.35,1980
cub,19.23,1985
cub,20.78,1990
cub,22.39,1995
cub,24.53,2000
cub,26.68,2005
cub,30.2,2010
cub,32.35,2015
cub,31.81,2020
cub,29.01,2025
cub,26.74,2030
cub,25.21,2035
cub,25.62,2040
cub,25.96,2045
cub,24.5,2050
cyp,18.8,1950
cyp,19.33,1955
cyp,19.03,1960
cyp,18.73,1965
cyp,19.22,1970
cyp,18.83,1975
cyp,19.93,1980
cyp,20.31,1985
cyp,21.7,1990
cyp,22.83,1995
cyp,25.06,2000
cyp,26.57,2005
cyp,27.27,2010
cyp,27.58,2015
cyp,27.36,2020
cyp,27.33,2025
cyp,27.61,2030
cyp,27.98,2035
cyp,27.46,2040
cyp,25.86,2045
cyp,24.5,2050
cze,27.83,1950
cze,28.24,1955
cze,25.39,1960
cze,25.27,1965
cze,24.33,1970
cze,22.81,1975
cze,23.17,1980
cze,22.83,1985
cze,24.46,1990
cze,26.43,1995
cze,28.03,2000
cze,27.97,2005
cze,26.5,2010
cze,26.76,2015
cze,28.44,2020
cze,29.01,2025
cze,29.48,2030
cze,27.99,2035
cze,24.74,2040
cze,23.0,2045
cze,22.1,2050
dnk,24.93,1950
dnk,25.57,1955
dnk,25.43,1960
dnk,25.1,1965
dnk,23.81,1970
dnk,22.5,1975
dnk,22.01,1980
dnk,22.92,1985
dnk,25.0,1990
dnk,26.27,1995
dnk,27.17,2000
dnk,27.53,2005
dnk,27.33,2010
dnk,27.57,2015
dnk,26.85,2020
dnk,24.81,2025
dnk,23.22,2030
dnk,22.8,2035
dnk,23.11,2040
dnk,24.05,2045
dnk,24.42,2050
dji,12.9,1950
dji,11.43,1955
dji,11.63,1960
dji,12.07,1965
dji,12.35,1970
dji,12.39,1975
dji,12.87,1980
dji,12.94,1985
dji,13.31,1990
dji,13.1,1995
dji,13.9,2000
dji,14.85,2005
dji,15.65,2010
dji,16.6,2015
dji,17.67,2020
dji,19.1,2025
dji,20.67,2030
dji,22.43,2035
dji,23.62,2040
dji,24.54,2045
dji,24.73,2050
dom,11.09,1950
dom,10.94,1955
dom,11.0,1960
dom,11.17,1965
dom,11.63,1970
dom,12.3,1975
dom,12.83,1980
dom,13.2,1985
dom,13.62,1990
dom,14.39,1995
dom,15.86,2000
dom,17.64,2005
dom,19.35,2010
dom,20.59,2015
dom,21.36,2020
dom,22.06,2025
dom,22.79,2030
dom,23.67,2035
dom,24.26,2040
dom,24.72,2045
dom,25.02,2050
ecu,16.22,1950
ecu,15.29,1955
ecu,14.42,1960
ecu,13.72,1965
ecu,13.31,1970
ecu,13.03,1975
ecu,13.06,1980
ecu,13.23,1985
ecu,13.69,1990
ecu,14.96,1995
ecu,16.41,2000
ecu,18.02,2005
ecu,19.64,2010
ecu,20.6,2015
ecu,21.48,2020
ecu,22.32,2025
ecu,23.16,2030
ecu,24.05,2035
ecu,25.06,2040
ecu,25.66,2045
ecu,25.71,2050
egy,16.11,1950
egy,15.78,1955
egy,15.41,1960
egy,15.17,1965
egy,15.01,1970
egy,15.02,1975
egy,14.76,1980
egy,14.03,1985
egy,14.18,1990
egy,14.76,1995
egy,15.8,2000
egy,17.14,2005
egy,17.95,2010
egy,18.77,2015
egy,20.15,2020
egy,22.04,2025
egy,24.31,2030
egy,25.19,2035
egy,25.39,2040
egy,25.21,2045
egy,24.88,2050
slv,13.54,1950
slv,13.68,1955
slv,13.38,1960
slv,13.14,1965
slv,12.62,1970
slv,12.89,1975
slv,13.34,1980
slv,13.83,1985
slv,14.69,1990
slv,15.63,1995
slv,16.47,2000
slv,17.4,2005
slv,18.65,2010
slv,19.95,2015
slv,21.02,2020
slv,21.94,2025
slv,23.26,2030
slv,25.2,2035
slv,27.06,2040
slv,27.29,2045
slv,26.7,2050
gnq,18.26,1950
gnq,17.65,1955
gnq,17.69,1960
gnq,17.52,1965
gnq,17.57,1970
gnq,18.03,1975
gnq,16.67,1980
gnq,12.5,1985
gnq,10.82,1990
gnq,11.69,1995
gnq,14.5,2000
gnq,17.05,2005
gnq,18.57,2010
gnq,17.47,2015
gnq,14.97,2020
gnq,13.67,2025
gnq,13.99,2030
gnq,15.61,2035
gnq,17.41,2040
gnq,18.7,2045
gnq,19.56,2050
eri,13.0,1950
eri,12.89,1955
eri,12.97,1960
eri,12.87,1965
eri,13.0,1970
eri,13.23,1975
eri,13.4,1980
eri,13.3,1985
eri,13.37,1990
eri,13.12,1995
eri,12.42,2000
eri,11.27,2005
eri,10.97,2010
