geo,gdpperemployee_us_inflation_adjusted,time
chl,30740,2005
chn,2449,1980
chn,2523,1981
chn,2619,1982
chn,2772,1983
chn,3003,1984
chn,3202,1985
chn,3322,1986
chn,3567,1987
chn,3710,1988
chn,3708,1989
chn,3280,1990
chn,3457,1991
chn,3755,1992
chn,4078,1993
chn,4443,1994
chn,5069,1995
chn,5107,1996
chn,5309,1997
chn,5263,1998
chn,5549,1999
chn,5992,2000
chn,6547,2001
chn,7288,2002
chn,8314,2003
chn,9060,2004
chn,9920,2005
chn,10900,2006
col,12450,1980
col,12450,1981
col,12580,1982
col,12860,1983
col,13340,1984
col,13880,1985
col,14350,1986
col,14640,1987
col,14930,1988
col,15300,1989
col,14360,1990
col,13560,1991
col,14140,1992
col,14130,1993
col,13980,1994
col,15460,1995
col,15200,1996
col,16000,1997
col,15900,1998
col,14830,1999
col,14780,2000
col,14370,2001
col,14690,2002
col,14380,2003
col,14810,2004
col,14990,2005
cod,1526,1980
cod,1526,1981
cod,1494,1982
cod,1477,1983
cod,1517,1984
cod,1477,1985
cod,1485,1986
cod,1479,1987
cod,1457,1988
cod,1403,1989
cod,1324,1990
cod,1169,1991
cod,1004,1992
cod,837,1993
cod,773,1994
cod,777,1995
cod,750,1996
cod,682,1997
cod,655,1998
cod,615,1999
cod,562,2000
cod,536,2001
cod,539,2002
cod,553,2003
cod,574,2004
cod,594,2005
cri,14280,1980
cri,14410,1981
cri,13710,1982
cri,14180,1983
cri,13850,1984
cri,13780,1985
cri,13930,1986
cri,13830,1987
cri,13790,1988
cri,14160,1989
cri,14020,1990
cri,13980,1991
cri,14700,1992
cri,15140,1993
cri,15230,1994
cri,15350,1995
cri,15020,1996
cri,15100,1997
cri,15640,1998
cri,16350,1999
cri,15610,2000
cri,15520,2001
cri,15590,2002
cri,16080,2003
cri,16610,2004
cri,16490,2005
civ,5786,1980
civ,5706,1981
civ,5445,1982
civ,4981,1983
civ,4578,1984
civ,4621,1985
civ,4573,1986
civ,4324,1987
civ,4097,1988
civ,3950,1989
civ,3547,1990
civ,3425,1991
civ,3305,1992
civ,3196,1993
civ,3447,1994
civ,3594,1995
civ,3815,1996
civ,3927,1997
civ,3997,1998
civ,3972,1999
civ,3693,2000
civ,3615,2001
civ,3482,2002
civ,3362,2003
civ,3348,2004
civ,3335,2005
hrv,22760,1989
hrv,21140,1990
hrv,18110,1991
hrv,18000,1992
hrv,14680,1993
hrv,15650,1994
hrv,16950,1995
hrv,16540,1996
hrv,17120,1997
hrv,18090,1998
hrv,18540,1999
hrv,18350,2000
hrv,20260,2001
hrv,20530,2002
hrv,21500,2003
hrv,21940,2004
hrv,22710,2005
hrv,23330,2006
cub,8893,1980
cub,9380,1981
cub,9352,1982
cub,9345,1983
cub,9409,1984
cub,9316,1985
cub,9035,1986
cub,8693,1987
cub,8582,1988
cub,8386,1989
cub,8150,1990
cub,7120,1991
cub,6186,1992
cub,5166,1993
cub,5118,1994
cub,5165,1995
cub,5516,1996
cub,5633,1997
cub,5579,1998
cub,5834,1999
cub,6162,2000
cub,6168,2001
cub,6189,2002
cub,6304,2003
cub,6538,2004
cub,7261,2005
cyp,14440,1980
cyp,14900,1981
cyp,15500,1982
cyp,16220,1983
cyp,17210,1984
cyp,17750,1985
cyp,18440,1986
cyp,19960,1987
cyp,21680,1988
cyp,23060,1989
cyp,24360,1990
cyp,24030,1991
cyp,25830,1992
cyp,25570,1993
cyp,26740,1994
cyp,29090,1995
cyp,29530,1996
cyp,30020,1997
cyp,31020,1998
cyp,31890,1999
cyp,32970,2000
cyp,33530,2001
cyp,33570,2002
cyp,32880,2003
cyp,33000,2004
cyp,33160,2005
cyp,33860,2006
cze,17060,1989
cze,17700,1990
cze,16220,1991
cze,15920,1992
cze,15960,1993
cze,16140,1994
cze,16970,1995
cze,17500,1996
cze,17340,1997
cze,17470,1998
cze,18340,1999
cze,19040,2000
cze,19420,2001
cze,19680,2002
cze,20670,2003
cze,21460,2004
cze,22550,2005
cze,23610,2006
dnk,30720,1980
dnk,30930,1981
dnk,31750,1982
dnk,32520,1983
dnk,33430,1984
dnk,34050,1985
dnk,34440,1986
dnk,34360,1987
dnk,35020,1988
dnk,35260,1989
dnk,35860,1990
dnk,36550,1991
dnk,37690,1992
dnk,38220,1993
dnk,39680,1994
dnk,40500,1995
dnk,41240,1996
dnk,42060,1997
dnk,42330,1998
dnk,43010,1999
dnk,44350,2000
dnk,44320,2001
dnk,44560,2002
dnk,45300,2003
dnk,46270,2004
dnk,47360,2005
dnk,47930,2006
dom,8371,1980
dom,8396,1981
dom,8226,1982
dom,8290,1983
dom,8022,1984
dom,7560,1985
dom,7543,1986
dom,7857,1987
dom,7688,1988
dom,8433,1989
dom,7809,1990
dom,7683,1991
dom,7964,1992
dom,8444,1993
dom,8752,1994
dom,9271,1995
dom,9668,1996
dom,9950,1997
dom,9892,1998
dom,10180,1999
dom,10760,2000
dom,11150,2001
dom,11320,2002
dom,11320,2003
dom,11200,2004
dom,11980,2005
ecu,15000,1980
ecu,14990,1981
ecu,14550,1982
ecu,13680,1983
ecu,13670,1984
ecu,13680,1985
ecu,13530,1986
ecu,12190,1987
ecu,12970,1988
ecu,12490,1989
ecu,12350,1990
ecu,12540,1991
ecu,12560,1992
ecu,12390,1993
ecu,12390,1994
ecu,12170,1995
ecu,12520,1996
ecu,12540,1997
ecu,12790,1998
ecu,12180,1999
ecu,12060,2000
ecu,11880,2001
ecu,11840,2002
ecu,12130,2003
ecu,11980,2004
ecu,12440,2005
egy,7607,1980
egy,7521,1981
egy,7899,1982
egy,8073,1983
egy,8432,1984
egy,8596,1985
egy,8470,1986
egy,8320,1987
egy,8336,1988
egy,8272,1989
egy,8628,1990
egy,9067,1991
egy,8991,1992
egy,9030,1993
egy,8986,1994
egy,9369,1995
egy,9659,1996
egy,10080,1997
egy,10680,1998
egy,10610,1999
egy,10940,2000
egy,11170,2001
egy,11140,2002
egy,11150,2003
egy,11290,2004
egy,11480,2005
est,23810,1989
est,21910,1990
est,20150,1991
est,17950,1992
est,17180,1993
est,17500,1994
est,19480,1995
est,20830,1996
est,23140,1997
est,24640,1998
est,25830,1999
est,29070,2000
est,31030,2001
est,33110,2002
est,34920,2003
est,37740,2004
est,40930,2005
est,43230,2006
eth,1422,1980
eth,1412,1981
eth,1395,1982
eth,1430,1983
eth,1359,1984
eth,1224,1985
eth,1269,1986
eth,1354,1987
eth,1333,1988
eth,1306,1989
eth,1242,1990
eth,1140,1991
eth,1041,1992
eth,1221,1993
eth,1248,1994
eth,1287,1995
eth,1414,1996
eth,1437,1997
eth,1348,1998
eth,1386,1999
eth,1407,2000
eth,1485,2001
eth,1467,2002
eth,1386,2003
eth,1522,2004
eth,1636,2005
fin,26290,1980
fin,26440,1981
fin,27000,1982
fin,27620,1983
fin,28280,1984
fin,29200,1985
fin,29980,1986
fin,31040,1987
fin,32230,1988
fin,33740,1989
fin,33900,1990
fin,33680,1991
fin,34880,1992
fin,36760,1993
fin,38600,1994
fin,39430,1995
fin,40340,1996
fin,41420,1997
fin,42740,1998
fin,43310,1999
fin,44490,2000
fin,45020,2001
fin,45310,2002
fin,46070,2003
fin,47590,2004
fin,48300,2005
fin,50260,2006
fra,36650,1980
fra,37170,1981
fra,38060,1982
fra,38620,1983
fra,39280,1984
fra,40140,1985
fra,40940,1986
fra,41660,1987
fra,43090,1988
fra,44100,1989
fra,44900,1990
fra,45410,1991
fra,46490,1992
fra,46580,1993
fra,47460,1994
fra,48080,1995
fra,48410,1996
fra,49270,1997
fra,50220,1998
fra,50810,1999
fra,51480,2000
fra,51520,2001
fra,51720,2002
fra,52220,2003
fra,53380,2004
fra,54050,2005
fra,54710,2006
geo,18390,1989
geo,15640,1990
geo,12470,1991
geo,8720,1992
geo,6821,1993
geo,6263,1994
geo,6502,1995
geo,7041,1996
geo,7767,1997
geo,8545,1998
