geo,male_long_term_unemployment_rate_percent,time
che,0.6,2000
che,0.3,2001
che,0.5,2002
che,0.8,2003
che,1.2,2004
che,1.4,2005
che,1.2,2006
che,1.1,2007
tto,3.2,1991
tto,3.0,1992
tto,3.5,1993
tto,3.0,1994
tto,2.4,1995
tto,2.9,1996
tto,2.4,1997
tto,2.1,1998
tto,2.1,1999
tto,1.7,2000
tto,1.7,2001
tur,3.6,1988
tur,3.0,1989
tur,3.4,1990
tur,3.1,1991
tur,3.6,1992
tur,3.8,1993
tur,3.7,1994
tur,2.4,1995
tur,2.7,1996
tur,2.4,1997
tur,2.5,1998
tur,1.9,1999
tur,1.1,2000
tur,1.5,2001
tur,2.8,2002
tur,2.3,2003
tur,3.8,2004
tur,3.8,2005
tur,3.2,2006
tur,2.7,2007
gbr,5.9,1984
gbr,6.5,1985
gbr,6.3,1986
gbr,6.1,1987
gbr,4.8,1988
gbr,3.5,1989
gbr,3.0,1990
gbr,3.1,1991
gbr,4.6,1992
gbr,5.9,1993
gbr,6.0,1994
gbr,5.1,1995
gbr,4.6,1996
gbr,3.7,1997
gbr,2.7,1998
gbr,2.4,1999
gbr,2.1,2000
gbr,1.8,2001
gbr,1.5,2002
gbr,1.4,2003
gbr,1.2,2004
gbr,1.3,2005
gbr,1.6,2006
gbr,1.6,2007
usa,0.4,1980
usa,0.6,1981
usa,0.9,1982
usa,1.6,1983
usa,1.1,1984
usa,0.8,1985
usa,0.7,1986
usa,0.6,1987
usa,0.5,1988
usa,0.4,1989
usa,0.4,1990
usa,0.5,1991
usa,1.0,1992
usa,1.0,1993
usa,0.9,1994
usa,0.6,1995
usa,0.6,1996
usa,0.5,1997
usa,0.4,1998
usa,0.3,1999
usa,0.3,2000
usa,0.3,2001
usa,0.5,2002
usa,0.8,2003
usa,0.8,2004
usa,0.6,2005
usa,0.5,2006
usa,0.5,2007
