energy_from_solid_biofuels_percent,geo,time
0.3226,gbr,2002
0.5994,gbr,2005
1.014,gbr,2010
2.42,usa,2000
2.052,usa,2002
2.33,usa,2005
2.224,usa,2010
13.63,ury,2000
16.45,ury,2002
15.05,ury,2005
30.9,ury,2010
0.000471,uzb,2000
0.0004494,uzb,2002
0.0005088,uzb,2005
0.0005458,uzb,2010
1.543,ven,2000
1.549,ven,2002
1.385,ven,2005
1.244,ven,2010
49.37,vnm,2000
43.05,vnm,2002
35.68,vnm,2005
24.83,vnm,2010
82.31,zmb,2000
81.22,zmb,2002
80.07,zmb,2005
80.24,zmb,2010
56.55,zwe,2000
59.32,zwe,2002
62.07,zwe,2005
65.18,zwe,2010
