geo,population_aged_60plus_years_both_sexes_percent,time
bfa,4.174,1990
bfa,3.851,1995
bfa,3.606,2000
bfa,3.498,2005
bfa,3.279,2010
bfa,3.23,2015
bfa,3.429,2020
bfa,3.801,2025
bfa,4.288,2030
bfa,4.863,2035
bfa,5.523,2040
bfa,6.268,2045
bfa,7.078,2050
bdi,5.171,1950
bdi,4.955,1955
bdi,5.102,1960
bdi,5.199,1965
bdi,5.347,1970
bdi,5.492,1975
bdi,5.401,1980
bdi,5.079,1985
bdi,4.682,1990
bdi,4.458,1995
bdi,4.388,2000
bdi,4.364,2005
bdi,4.436,2010
bdi,4.962,2015
bdi,5.505,2020
bdi,6.011,2025
bdi,6.478,2030
bdi,7.161,2035
bdi,8.348,2040
bdi,10.22,2045
bdi,12.3,2050
khm,4.534,1950
khm,4.522,1955
khm,4.545,1960
khm,4.591,1965
khm,4.626,1970
khm,4.65,1975
khm,4.758,1980
khm,4.507,1985
khm,4.438,1990
khm,4.464,1995
khm,4.624,2000
khm,5.199,2005
khm,5.859,2010
khm,6.542,2015
khm,7.353,2020
khm,8.291,2025
khm,9.268,2030
khm,10.07,2035
khm,10.68,2040
khm,13.41,2045
khm,16.2,2050
cmr,5.71,1950
cmr,5.755,1955
cmr,5.77,1960
cmr,5.822,1965
cmr,5.82,1970
cmr,5.776,1975
cmr,5.683,1980
cmr,5.605,1985
cmr,5.51,1990
cmr,5.45,1995
cmr,5.445,2000
cmr,5.437,2005
cmr,5.431,2010
cmr,5.54,2015
cmr,5.701,2020
cmr,5.952,2025
cmr,6.293,2030
cmr,6.826,2035
cmr,7.683,2040
cmr,8.873,2045
cmr,10.21,2050
can,11.33,1950
can,11.07,1955
can,10.69,1960
can,10.95,1965
can,11.41,1970
can,12.35,1975
can,13.29,1980
can,14.61,1985
can,15.53,1990
can,16.1,1995
can,16.7,2000
can,17.83,2005
can,19.97,2010
can,22.31,2015
can,25.0,2020
can,27.52,2025
can,28.84,2030
can,29.74,2035
can,30.53,2040
can,31.23,2045
can,31.81,2050
cpv,6.164,1950
cpv,7.101,1955
cpv,6.599,1960
cpv,7.424,1965
cpv,7.865,1970
cpv,8.273,1975
cpv,8.276,1980
cpv,6.897,1985
cpv,6.761,1990
cpv,6.516,1995
cpv,6.621,2000
cpv,5.833,2005
cpv,5.653,2010
cpv,5.657,2015
cpv,6.701,2020
cpv,8.632,2025
cpv,10.99,2030
cpv,12.18,2035
cpv,14.29,2040
cpv,17.05,2045
cpv,20.37,2050
caf,7.785,1950
caf,7.158,1955
caf,6.858,1960
caf,6.735,1965
caf,6.561,1970
caf,6.544,1975
caf,6.393,1980
caf,6.226,1985
caf,6.244,1990
caf,6.061,1995
caf,5.981,2000
caf,5.9,2005
caf,5.839,2010
caf,5.906,2015
caf,6.104,2020
caf,6.4,2025
caf,6.683,2030
caf,7.13,2035
caf,7.801,2040
caf,8.779,2045
caf,9.995,2050
tcd,6.911,1950
tcd,6.423,1955
tcd,6.368,1960
tcd,6.256,1965
tcd,6.141,1970
tcd,6.018,1975
tcd,5.815,1980
tcd,5.592,1985
tcd,5.355,1990
tcd,5.092,1995
tcd,4.856,2000
tcd,4.621,2005
tcd,4.433,2010
tcd,4.475,2015
tcd,4.559,2020
tcd,4.655,2025
tcd,4.79,2030
tcd,5.056,2035
tcd,5.532,2040
tcd,6.182,2045
tcd,6.984,2050
chanisl,16.67,1950
chanisl,18.69,1955
chanisl,19.09,1960
chanisl,20.0,1965
chanisl,20.0,1970
chanisl,19.84,1975
chanisl,19.69,1980
chanisl,20.15,1985
chanisl,19.29,1990
chanisl,19.44,1995
chanisl,19.05,2000
chanisl,20.13,2005
chanisl,22.0,2010
chanisl,24.34,2015
chanisl,26.62,2020
chanisl,29.61,2025
chanisl,33.11,2030
chanisl,35.1,2035
chanisl,35.76,2040
chanisl,36.05,2045
chanisl,36.62,2050
chl,6.854,1950
chl,7.29,1955
chl,7.481,1960
chl,7.527,1965
chl,7.729,1970
chl,7.87,1975
chl,8.201,1980
chl,8.514,1985
chl,9.03,1990
chl,9.557,1995
chl,10.31,2000
chl,11.65,2005
chl,13.16,2010
chl,15.0,2015
chl,17.52,2020
chl,20.35,2025
chl,22.58,2030
chl,24.38,2035
chl,25.48,2040
chl,26.91,2045
chl,28.66,2050
chn,7.494,1950
chn,7.582,1955
chn,7.227,1960
chn,6.975,1965
chn,6.836,1970
chn,6.93,1975
chn,7.39,1980
chn,8.023,1985
chn,8.463,1990
chn,9.191,1995
chn,9.986,2000
chn,10.84,2005
chn,12.3,2010
chn,14.8,2015
chn,16.73,2020
chn,19.61,2025
chn,23.41,2030
chn,26.42,2035
chn,27.49,2040
chn,28.7,2045
chn,31.08,2050
col,5.284,1950
col,5.07,1955
col,5.129,1960
col,5.237,1965
col,5.405,1970
col,5.637,1975
col,5.79,1980
col,6.061,1985
col,6.288,1990
col,6.519,1995
col,6.859,2000
col,7.45,2005
col,8.583,2010
col,10.18,2015
col,12.01,2020
col,14.13,2025
col,16.29,2030
col,17.94,2035
col,19.74,2040
col,21.47,2045
col,23.12,2050
com,5.806,1950
com,5.65,1955
com,5.208,1960
com,4.717,1965
com,4.661,1970
com,4.833,1975
com,5.183,1980
com,4.688,1985
com,4.587,1990
com,4.472,1995
com,4.537,2000
com,4.708,2005
com,4.769,2010
com,5.091,2015
com,6.071,2020
com,6.733,2025
com,7.598,2030
com,8.908,2035
com,10.33,2040
com,12.43,2045
com,13.69,2050
cod,5.582,1950
cod,4.99,1955
cod,4.726,1960
cod,4.628,1965
cod,4.595,1970
cod,4.583,1975
cod,4.575,1980
cod,4.532,1985
cod,4.468,1990
cod,4.39,1995
cod,4.295,2000
cod,4.25,2005
cod,4.212,2010
cod,4.193,2015
cod,4.242,2020
cod,4.389,2025
cod,4.672,2030
cod,5.097,2035
cod,5.678,2040
cod,6.485,2045
cod,7.548,2050
cog,5.693,1950
cog,5.804,1955
cog,5.836,1960
cog,5.893,1965
cog,5.993,1970
cog,5.867,1975
cog,5.847,1980
cog,5.763,1985
cog,5.765,1990
cog,5.681,1995
cog,5.828,2000
cog,5.71,2005
cog,5.666,2010
cog,5.636,2015
cog,5.705,2020
cog,5.951,2025
cog,6.479,2030
cog,7.295,2035
cog,8.531,2040
cog,9.994,2045
cog,11.53,2050
cri,7.66,1950
cri,7.358,1955
cri,7.196,1960
cri,7.016,1965
cri,6.813,1970
cri,6.92,1975
cri,7.198,1980
cri,6.973,1985
cri,7.208,1990
cri,7.358,1995
cri,7.659,2000
cri,8.314,2005
cri,9.481,2010
cri,11.22,2015
cri,13.52,2020
cri,16.08,2025
cri,18.38,2030
cri,20.07,2035
cri,22.06,2040
cri,24.33,2045
cri,26.68,2050
civ,3.994,1950
civ,4.059,1955
civ,4.123,1960
civ,4.143,1965
civ,4.167,1970
civ,4.184,1975
civ,4.217,1980
civ,4.344,1985
civ,4.559,1990
civ,4.852,1995
civ,5.278,2000
civ,5.747,2005
civ,6.064,2010
civ,6.327,2015
civ,6.56,2020
civ,6.783,2025
civ,7.066,2030
civ,7.602,2035
civ,8.534,2040
civ,9.675,2045
civ,11.01,2050
hrv,11.34,1950
hrv,10.86,1955
hrv,11.75,1960
hrv,13.03,1965
hrv,14.96,1970
hrv,15.5,1975
hrv,14.76,1980
hrv,15.62,1985
hrv,17.11,1990
hrv,19.76,1995
hrv,21.74,2000
hrv,21.88,2005
hrv,23.47,2010
hrv,25.43,2015
hrv,27.46,2020
hrv,29.11,2025
hrv,30.38,2030
hrv,31.54,2035
hrv,32.98,2040
hrv,34.36,2045
hrv,35.05,2050
cub,6.961,1950
cub,6.804,1955
cub,7.254,1960
cub,8.149,1965
cub,9.065,1970
cub,9.908,1975
cub,10.83,1980
cub,11.36,1985
cub,12.12,1990
cub,12.59,1995
cub,14.38,2000
cub,15.22,2005
cub,17.3,2010
cub,19.58,2015
cub,21.87,2020
cub,26.04,2025
cub,30.88,2030
cub,34.5,2035
cub,35.8,2040
cub,36.72,2045
cub,38.75,2050
cyp,8.889,1950
cyp,9.981,1955
cyp,9.599,1960
cyp,10.12,1965
cyp,13.84,1970
cyp,13.82,1975
cyp,14.08,1980
cyp,14.35,1985
cyp,14.66,1990
cyp,14.64,1995
cyp,15.37,2000
cyp,16.99,2005
cyp,18.41,2010
cyp,19.78,2015
cyp,21.86,2020
cyp,23.57,2025
cyp,24.71,2030
cyp,25.69,2035
cyp,27.0,2040
cyp,28.65,2045
cyp,30.07,2050
cze,12.5,1950
cze,13.08,1955
cze,14.55,1960
cze,16.46,1965
cze,18.18,1970
cze,18.73,1975
cze,16.82,1980
cze,17.43,1985
cze,17.77,1990
cze,18.0,1995
cze,18.34,2000
cze,19.94,2005
cze,22.21,2010
cze,24.35,2015
cze,25.47,2020
cze,26.52,2025
cze,27.62,2030
cze,30.02,2035
cze,32.54,2040
cze,33.57,2045
cze,34.46,2050
dnk,13.39,1950
dnk,14.24,1955
dnk,15.46,1960
dnk,16.45,1965
dnk,17.61,1970
dnk,18.71,1975
dnk,19.48,1980
dnk,20.3,1985
dnk,20.37,1990
dnk,19.86,1995
dnk,19.75,2000
dnk,21.21,2005
dnk,23.4,2010
dnk,24.88,2015
dnk,26.28,2020
dnk,27.98,2025
dnk,29.43,2030
dnk,30.3,2035
dnk,30.29,2040
dnk,29.53,2045
dnk,29.27,2050
dji,3.226,1950
dji,2.899,1955
dji,3.571,1960
dji,3.419,1965
dji,3.75,1970
dji,3.139,1975
dji,3.529,1980
dji,3.722,1985
dji,3.936,1990
dji,4.013,1995
dji,4.384,2000
dji,5.087,2005
dji,5.461,2010
dji,5.975,2015
dji,6.518,2020
dji,7.117,2025
dji,7.956,2030
dji,8.926,2035
dji,10.01,2040
dji,11.46,2045
dji,13.16,2050
dom,4.366,1950
dom,4.167,1955
dom,4.088,1960
dom,4.124,1965
dom,4.219,1970
dom,4.445,1975
dom,4.759,1980
dom,5.289,1985
dom,5.941,1990
dom,6.648,1995
dom,7.347,2000
dom,8.015,2005
dom,8.763,2010
dom,9.807,2015
dom,11.21,2020
dom,12.92,2025
dom,14.67,2030
dom,16.31,2035
dom,17.88,2040
dom,19.62,2045
dom,21.42,2050
ecu,8.174,1950
ecu,7.539,1955
ecu,7.029,1960
ecu,6.686,1965
ecu,6.3,1970
ecu,6.138,1975
ecu,5.964,1980
ecu,5.966,1985
ecu,6.226,1990
ecu,6.681,1995
ecu,7.441,2000
ecu,8.375,2005
ecu,9.447,2010
ecu,10.93,2015
ecu,12.45,2020
ecu,14.08,2025
ecu,15.8,2030
ecu,17.53,2035
ecu,19.27,2040
ecu,21.08,2045
ecu,22.96,2050
egy,5.215,1950
egy,5.358,1955
egy,5.396,1960
egy,5.425,1965
egy,5.468,1970
egy,5.553,1975
egy,5.635,1980
egy,5.771,1985
egy,5.956,1990
egy,6.228,1995
egy,6.501,2000
egy,6.684,2005
egy,7.452,2010
egy,8.147,2015
egy,9.096,2020
egy,10.22,2025
egy,11.37,2030
egy,12.53,2035
egy,14.26,2040
egy,16.51,2045
egy,19.18,2050
slv,6.04,1950
slv,5.798,1955
slv,5.666,1960
slv,5.549,1965
slv,5.453,1970
slv,5.548,1975
slv,5.792,1980
slv,6.281,1985
slv,6.831,1990
slv,7.49,1995
slv,8.378,2000
slv,9.289,2005
slv,10.17,2010
slv,11.03,2015
slv,11.88,2020
slv,12.86,2025
slv,14.05,2030
slv,15.41,2035
slv,16.78,2040
slv,18.24,2045
slv,20.28,2050
gnq,8.85,1950
gnq,8.403,1955
gnq,7.874,1960
gnq,7.38,1965
gnq,7.167,1970
gnq,8.368,1975
gnq,9.05,1980
gnq,7.325,1985
gnq,6.366,1990
gnq,5.531,1995
gnq,5.283,2000
gnq,4.59,2005
gnq,4.323,2010
gnq,4.866,2015
gnq,6.164,2020
gnq,7.415,2025
gnq,8.06,2030
gnq,7.931,2035
gnq,7.404,2040
gnq,7.539,2045
gnq,8.374,2050
eri,5.162,1950
eri,4.671,1955
eri,4.491,1960
eri,4.254,1965
eri,4.167,1970
eri,4.161,1975
eri,5.789,1980
eri,4.775,1985
eri,4.307,1990
eri,4.086,1995
eri,3.968,2000
eri,4.025,2005
eri,4.098,2010
eri,4.061,2015
eri,4.093,2020
eri,4.132,2025
eri,4.638,2030
eri,6.056,2035
eri,8.0,2040
eri,9.491,2045
eri,10.82,2050
est,14.74,1950
est,14.58,1955
est,14.99,1960
est,15.98,1965
est,16.72,1970
est,17.18,1975
est,15.91,1980
est,16.13,1985
est,17.19,1990
est,19.1,1995
est,21.14,2000
est,21.69,2005
est,22.65,2010
est,23.75,2015
est,24.89,2020
est,25.77,2025
est,26.52,2030
est,27.44,2035
est,28.49,2040
est,29.82,2045
est,31.79,2050
eth,4.801,1950
eth,4.464,1955
eth,4.253,1960
eth,4.389,1965
eth,4.501,1970
eth,4.596,1975
eth,4.657,1980
eth,4.633,1985
eth,4.62,1990
eth,4.619,1995
eth,4.715,2000
eth,4.878,2005
eth,5.059,2010
eth,5.186,2015
eth,5.368,2020
eth,5.687,2025
eth,6.122,2030
eth,6.679,2035
eth,7.374,2040
eth,8.3,2045
eth,9.583,2050
fji,4.167,1950
fji,4.167,1955
fji,3.807,1960
fji,3.456,1965
fji,3.861,1970
fji,4.506,1975
fji,4.437,1980
fji,4.513,1985
fji,4.834,1990
fji,5.072,1995
fji,5.868,2000
fji,6.763,2005
fji,8.08,2010
fji,9.497,2015
fji,11.16,2020
