geo,males_aged_25_54_unemployment_rate_percent,time
kor,7.2,1998
kor,6.6,1999
kor,4.5,2000
kor,4.1,2001
kor,3.4,2002
kor,3.4,2003
kor,3.5,2004
kor,3.7,2005
lva,18.5,1996
lva,13.7,1997
lva,13.0,1998
lva,14.2,1999
lva,15.3,2000
lva,13.6,2001
lva,12.4,2002
lva,10.0,2003
lva,10.2,2004
lva,8.4,2005
ltu,14.1,1998
ltu,15.3,1999
ltu,17.7,2000
ltu,18.4,2001
ltu,13.8,2002
ltu,11.8,2003
ltu,9.9,2004
ltu,7.5,2005
nld,5.9,1987
nld,5.8,1988
nld,5.5,1989
nld,4.5,1990
nld,4.3,1991
nld,3.8,1992
nld,4.5,1993
nld,5.3,1994
nld,5.0,1995
nld,4.2,1996
nld,3.7,1997
nld,2.7,1998
nld,2.2,1999
nld,1.8,2000
nld,1.6,2001
nld,2.3,2002
nld,3.7,2003
nld,4.2,2004
nld,4.0,2005
nzl,2.2,1986
nzl,2.6,1987
nzl,4.0,1988
nzl,5.4,1989
nzl,6.4,1990
nzl,8.6,1991
nzl,8.6,1992
nzl,8.2,1993
nzl,7.0,1994
nzl,5.1,1995
nzl,4.8,1996
nzl,5.3,1997
nzl,6.1,1998
nzl,5.5,1999
nzl,4.4,2000
nzl,4.0,2001
nzl,3.8,2002
nzl,3.2,2003
nzl,2.5,2004
nzl,2.4,2005
nor,1.0,1981
nor,1.5,1982
nor,2.4,1983
nor,2.6,1984
nor,1.6,1985
nor,1.0,1986
nor,1.1,1987
nor,2.0,1988
nor,3.9,1989
nor,4.5,1990
nor,4.9,1991
nor,5.4,1992
nor,5.7,1993
nor,5.0,1994
nor,4.4,1995
nor,3.8,1996
nor,3.1,1997
nor,2.3,1998
nor,2.5,1999
nor,2.9,2000
nor,2.8,2001
nor,3.2,2002
nor,4.3,2003
nor,4.3,2004
nor,4.2,2005
phl,8.2,1986
phl,7.2,1987
phl,5.8,1988
phl,5.2,1989
phl,5.4,1990
phl,6.0,1991
phl,4.7,1992
phl,4.5,1993
phl,4.8,1994
phl,4.7,1995
phl,4.2,1996
phl,5.5,1997
phl,5.5,1998
phl,5.5,1999
phl,6.2,2000
phl,6.2,2001
phl,6.6,2002
phl,6.5,2003
phl,6.7,2004
phl,6.0,2005
pol,11.2,1993
pol,11.3,1994
pol,10.4,1995
pol,9.3,1996
pol,8.2,1997
pol,7.6,1998
pol,10.4,1999
pol,12.1,2000
pol,14.2,2001
pol,16.5,2002
pol,16.5,2003
pol,16.0,2004
pol,14.5,2005
prt,2.5,1983
prt,4.0,1984
prt,4.4,1985
prt,4.5,1986
prt,3.7,1987
prt,2.7,1988
prt,2.3,1989
prt,2.1,1990
prt,2.0,1991
prt,2.5,1992
prt,3.5,1993
prt,4.8,1994
prt,5.2,1995
prt,5.3,1996
prt,5.2,1997
prt,3.4,1998
prt,3.5,1999
prt,2.7,2000
prt,2.6,2001
prt,3.5,2002
prt,4.9,2003
prt,5.2,2004
prt,6.2,2005
rou,6.1,1994
rou,6.1,1995
rou,4.8,1996
rou,4.5,1997
rou,5.5,1998
rou,6.5,1999
rou,6.9,2000
rou,6.5,2001
rou,7.8,2002
rou,6.7,2003
rou,7.6,2004
rou,6.7,2005
sgp,1.9,1981
sgp,1.7,1982
sgp,2.2,1983
sgp,2.1,1984
sgp,3.5,1985
sgp,5.6,1986
sgp,4.3,1987
sgp,2.9,1988
sgp,1.9,1989
sgp,1.7,1990
sgp,1.8,1991
sgp,2.1,1992
sgp,2.0,1993
sgp,2.1,1994
sgp,2.3,1995
sgp,2.4,1996
sgp,2.1,1997
sgp,3.4,1998
sgp,4.3,1999
sgp,4.0,2001
sgp,5.2,2002
sgp,5.2,2003
sgp,4.6,2004
svk,8.9,1997
svk,9.4,1998
svk,12.7,1999
svk,15.2,2000
svk,15.9,2001
svk,14.9,2002
svk,14.5,2003
svk,14.6,2004
svn,7.3,1993
svn,8.2,1994
svn,6.5,1995
svn,6.0,1996
svn,5.8,1997
svn,6.4,1998
svn,6.1,1999
svn,6.1,2000
svn,4.3,2001
svn,5.0,2002
svn,5.5,2003
svn,5.4,2004
svn,5.2,2005
esp,9.5,1981
esp,10.3,1982
esp,11.5,1983
esp,13.9,1984
esp,15.4,1985
esp,14.4,1986
esp,12.7,1987
esp,11.4,1988
esp,10.0,1989
esp,9.2,1990
esp,9.7,1991
esp,11.7,1992
esp,15.5,1993
esp,16.4,1994
esp,15.4,1995
esp,14.9,1996
esp,13.6,1997
esp,11.5,1998
esp,9.1,1999
esp,7.9,2000
esp,6.4,2001
esp,6.9,2002
esp,7.1,2003
esp,6.9,2004
esp,5.9,2005
swe,1.7,1981
swe,2.0,1982
swe,2.3,1983
swe,2.1,1984
swe,2.0,1985
swe,1.9,1986
swe,1.6,1987
swe,1.4,1988
swe,1.1,1989
swe,1.3,1990
swe,2.8,1991
swe,5.8,1992
swe,9.3,1993
swe,9.4,1994
swe,8.6,1995
swe,9.0,1996
swe,9.2,1997
swe,7.8,1998
swe,6.5,1999
swe,5.3,2000
swe,4.3,2001
swe,4.6,2002
swe,5.3,2003
swe,5.6,2004
swe,6.2,2005
che,0.8,1991
che,1.8,1992
che,2.2,1993
che,3.0,1994
che,2.3,1995
che,3.2,1996
che,3.9,1997
che,2.8,1998
che,2.2,1999
che,1.6,2000
che,1.0,2001
che,2.2,2002
che,3.4,2003
che,3.5,2004
che,3.1,2005
tur,5.5,1989
tur,5.2,1990
tur,5.8,1991
tur,6.0,1992
tur,5.9,1993
tur,6.2,1994
tur,5.1,1995
tur,4.8,1996
tur,4.5,1997
tur,5.0,1998
tur,5.9,1999
tur,5.0,2000
tur,7.1,2001
tur,9.0,2002
tur,8.9,2003
tur,9.0,2004
tur,8.9,2005
gbr,4.1,2001
gbr,4.4,2002
gbr,4.1,2003
gbr,3.8,2004
gbr,3.6,2005
usa,5.3,1981
usa,7.8,1982
usa,8.0,1983
usa,5.8,1984
usa,5.4,1985
usa,5.5,1986
usa,4.9,1987
usa,4.3,1988
usa,4.0,1989
usa,4.5,1990
usa,5.8,1991
usa,6.5,1992
usa,5.9,1993
usa,4.8,1994
usa,4.4,1995
usa,4.2,1996
usa,3.7,1997
usa,3.3,1998
usa,3.0,1999
usa,2.9,2000
usa,3.7,2001
usa,4.8,2002
usa,5.2,2003
usa,4.6,2004
usa,3.9,2005
