geo,urban_population_growth_annual_percent,time
asm,4.508,1988
asm,4.248,1989
asm,3.936,1990
asm,3.893,1991
asm,3.595,1992
asm,3.338,1993
asm,3.143,1994
asm,2.994,1995
asm,2.653,1996
asm,2.524,1997
asm,2.449,1998
asm,2.435,1999
asm,2.465,2000
asm,2.3,2001
asm,2.344,2002
asm,2.364,2003
asm,2.345,2004
asm,2.301,2005
asm,2.076,2006
asm,2.049,2007
asm,2.023,2008
asm,2.007,2009
asm,1.998,2010
asm,1.871,2011
and,10.95,1961
and,10.61,1962
and,10.26,1963
and,9.891,1964
and,9.533,1965
and,8.543,1966
and,8.251,1967
and,8.009,1968
and,7.824,1969
and,7.663,1970
and,6.922,1971
and,6.82,1972
and,6.611,1973
and,6.254,1974
and,5.858,1975
and,4.865,1976
and,4.518,1977
and,4.479,1978
and,4.827,1979
and,5.362,1980
and,5.63,1981
and,6.036,1982
and,5.946,1983
and,5.283,1984
and,4.33,1985
and,2.486,1986
and,1.64,1987
and,1.374,1988
and,1.887,1989
and,2.852,1990
and,3.904,1991
and,4.693,1992
and,4.68,1993
and,3.721,1994
and,2.261,1995
and,0.5421,1996
and,-0.7663,1997
and,-1.293,1998
and,-0.68,1999
and,0.7355,2000
and,2.225,2001
and,3.461,2002
and,4.015,2003
and,3.727,2004
and,2.926,2005
and,1.967,2006
and,1.327,2007
and,0.8914,2008
and,0.7637,2009
and,0.8458,2010
and,0.9115,2011
ago,4.899,1960
ago,5.698,1961
ago,5.574,1962
ago,5.437,1963
ago,5.278,1964
ago,5.113,1965
ago,5.546,1966
ago,5.378,1967
ago,5.267,1968
ago,5.222,1969
ago,5.227,1970
ago,7.455,1971
ago,7.306,1972
ago,7.176,1973
ago,7.052,1974
ago,6.94,1975
ago,7.815,1976
ago,7.627,1977
ago,7.517,1978
ago,7.495,1979
ago,7.517,1980
ago,8.262,1981
ago,8.212,1982
ago,8.018,1983
ago,7.65,1984
ago,7.188,1985
ago,7.184,1986
ago,6.749,1987
ago,6.482,1988
ago,6.426,1989
ago,6.505,1990
ago,6.654,1991
ago,6.719,1992
ago,6.672,1993
ago,6.477,1994
ago,6.199,1995
ago,5.079,1996
ago,4.888,1997
ago,4.82,1998
ago,4.907,1999
ago,5.086,2000
ago,5.266,2001
ago,5.395,2002
ago,5.42,2003
ago,5.316,2004
ago,5.131,2005
ago,4.744,2006
ago,4.588,2007
ago,4.463,2008
ago,4.382,2009
ago,4.331,2010
ago,4.072,2011
atg,3.672,1960
atg,-0.1835,1961
atg,0.1346,1962
atg,0.3527,1963
atg,0.4105,1964
atg,0.3599,1965
atg,0.4293,1966
atg,0.377,1967
atg,0.2855,1968
atg,0.1513,1969
atg,-0.009251,1970
atg,1.699,1971
atg,1.526,1972
atg,1.359,1973
atg,1.206,1974
atg,1.06,1975
atg,0.9375,1976
atg,0.7913,1977
atg,0.5625,1978
atg,0.2211,1979
atg,-0.1901,1980
atg,-0.6097,1981
atg,-0.9757,1982
atg,-1.249,1983
atg,-1.391,1984
atg,-1.413,1985
atg,-1.421,1986
atg,-1.377,1987
atg,-1.103,1988
atg,-0.5346,1989
atg,0.245,1990
atg,0.053,1991
atg,0.8188,1992
atg,1.381,1993
atg,1.656,1994
atg,1.719,1995
atg,1.514,1996
atg,1.525,1997
atg,1.44,1998
atg,1.268,1999
atg,1.04,2000
atg,0.9901,2001
atg,0.7378,2002
atg,0.5384,2003
atg,0.4023,2004
atg,0.3222,2005
atg,0.7355,2006
atg,0.6565,2007
atg,0.5984,2008
atg,0.5556,2009
atg,0.5274,2010
atg,0.9869,2011
arg,2.731,1960
arg,2.36,1961
arg,2.333,1962
arg,2.3,1963
arg,2.259,1964
arg,2.217,1965
arg,2.104,1966
arg,2.069,1967
arg,2.067,1968
arg,2.109,1969
arg,2.178,1970
arg,2.153,1971
arg,2.217,1972
arg,2.243,1973
arg,2.218,1974
arg,2.159,1975
arg,2.048,1976
arg,1.993,1977
arg,1.958,1978
arg,1.952,1979
arg,1.965,1980
arg,2.036,1981
arg,2.042,1982
arg,2.042,1983
arg,2.032,1984
arg,2.016,1985
arg,1.95,1986
arg,1.933,1987
arg,1.911,1988
arg,1.884,1989
arg,1.853,1990
arg,1.756,1991
arg,1.722,1992
arg,1.69,1993
arg,1.66,1994
arg,1.633,1995
arg,1.563,1996
arg,1.535,1997
arg,1.497,1998
arg,1.446,1999
arg,1.388,2000
arg,1.279,2001
arg,1.226,2002
arg,1.186,2003
arg,1.166,2004
arg,1.159,2005
arg,1.093,2006
arg,1.089,2007
arg,1.086,2008
arg,1.083,2009
arg,1.079,2010
arg,1.025,2011
arm,5.286,1960
arm,5.198,1961
arm,5.105,1962
arm,4.979,1963
arm,4.818,1964
arm,4.639,1965
arm,4.412,1966
arm,4.236,1967
arm,4.093,1968
arm,3.993,1969
arm,3.922,1970
arm,3.695,1971
arm,3.624,1972
arm,3.537,1973
arm,3.426,1974
arm,3.301,1975
arm,2.767,1976
arm,2.66,1977
arm,2.566,1978
arm,2.49,1979
arm,2.426,1980
arm,1.903,1981
arm,1.796,1982
arm,1.753,1983
arm,1.794,1984
arm,1.867,1985
arm,1.802,1986
arm,1.865,1987
arm,1.631,1988
arm,1.014,1989
arm,0.154,1990
arm,-1.331,1991
arm,-2.191,1992
arm,-2.742,1993
arm,-2.808,1994
arm,-2.481,1995
arm,-2.017,1996
arm,-1.608,1997
arm,-1.25,1998
arm,-1.024,1999
arm,-0.9004,2000
arm,-0.4842,2001
arm,-0.3042,2002
arm,-0.1664,2003
arm,-0.08264,2004
arm,-0.04102,2005
arm,0.09002,2006
arm,0.1044,2007
arm,0.1227,2008
arm,0.1544,2009
arm,0.1928,2010
arm,0.3398,2011
abw,2.13,1960
abw,2.208,1961
abw,1.387,1962
abw,0.8042,1963
abw,0.5556,1964
abw,0.5487,1965
abw,0.5818,1966
abw,0.5539,1967
abw,0.5471,1968
abw,0.5455,1969
abw,0.549,1970
abw,0.5995,1971
abw,0.6574,1972
abw,0.6178,1973
abw,0.4436,1974
abw,0.1845,1975
abw,-0.1373,1976
abw,-0.3988,1977
abw,-0.4584,1978
abw,-0.2433,1979
abw,0.1681,1980
abw,0.7501,1981
abw,1.244,1982
abw,1.363,1983
abw,0.9691,1984
abw,0.2825,1985
abw,-0.6429,1986
abw,-1.34,1987
abw,-1.269,1988
abw,-0.1006,1989
abw,1.79,1990
abw,3.315,1991
abw,4.859,1992
abw,5.46,1993
abw,4.979,1994
abw,3.898,1995
abw,2.514,1996
abw,1.632,1997
abw,1.075,1998
abw,0.9731,1999
abw,1.169,2000
abw,2.247,2001
abw,2.345,2002
abw,2.336,2003
abw,2.172,2004
abw,1.905,2005
abw,1.76,2006
abw,1.539,2007
abw,1.316,2008
abw,1.1,2009
abw,0.894,2010
abw,0.8073,2011
aus,2.784,1960
aus,2.468,1961
aus,2.917,1962
aus,2.392,1963
aus,2.434,1964
aus,2.429,1965
aus,2.709,1966
aus,1.686,1967
aus,2.186,1968
aus,2.513,1969
aus,2.389,1970
aus,3.534,1971
aus,1.992,1972
aus,1.682,1973
aus,2.684,1974
aus,1.384,1975
aus,0.9652,1976
aus,1.089,1977
aus,1.125,1978
aus,1.043,1979
aus,1.181,1980
aus,1.517,1981
aus,1.597,1982
aus,1.18,1983
aus,1.062,1984
aus,1.297,1985
aus,1.625,1986
aus,1.507,1987
aus,1.622,1988
aus,1.679,1989
aus,1.466,1990
aus,1.44,1991
aus,1.378,1992
aus,1.143,1993
aus,1.223,1994
aus,1.372,1995
aus,1.559,1996
aus,1.364,1997
aus,1.287,1998
aus,1.386,1999
aus,1.436,2000
aus,1.581,2001
aus,1.453,2002
aus,1.466,2003
aus,1.391,2004
aus,1.551,2005
aus,1.671,2006
aus,1.989,2007
aus,2.196,2008
aus,2.281,2009
aus,1.768,2010
aus,1.592,2011
aut,0.597,1960
aut,0.6384,1961
aut,0.7027,1962
aut,0.7321,1963
aut,0.7562,1964
aut,0.7393,1965
aut,0.7774,1966
aut,0.8233,1967
aut,0.5951,1968
aut,0.4211,1969
aut,0.4249,1970
aut,0.4717,1971
aut,0.6066,1972
aut,0.5795,1973
aut,0.1956,1974
aut,-0.2399,1975
aut,-0.1614,1976
aut,0.05369,1977
aut,-0.06566,1978
aut,-0.1552,1979
aut,0.0154,1980
aut,0.3085,1981
aut,0.1252,1982
aut,-0.1081,1983
aut,0.04713,1984
aut,0.1003,1985
aut,0.1242,1986
aut,0.1239,1987
aut,0.2022,1988
aut,0.5111,1989
aut,0.8225,1990
aut,1.009,1991
aut,1.111,1992
aut,0.8353,1993
aut,0.3955,1994
aut,0.1637,1995
aut,0.135,1996
aut,0.1133,1997
aut,0.1097,1998
aut,0.1946,1999
aut,0.2405,2000
aut,0.6057,2001
aut,0.7143,2002
aut,0.709,2003
aut,0.8418,2004
aut,0.9022,2005
aut,0.771,2006
aut,0.6634,2007
aut,0.7091,2008
aut,0.6134,2009
aut,0.5656,2010
aut,0.6636,2011
aze,4.283,1960
aze,2.759,1961
aze,2.773,1962
aze,2.715,1963
aze,2.575,1964
aze,2.384,1965
aze,2.316,1966
aze,2.134,1967
aze,1.972,1968
aze,1.84,1969
aze,1.73,1970
aze,2.843,1971
aze,2.737,1972
aze,2.639,1973
aze,2.549,1974
aze,2.468,1975
aze,2.044,1976
aze,1.975,1977
aze,1.927,1978
aze,1.965,1979
aze,1.821,1980
aze,1.866,1981
aze,1.809,1982
aze,1.816,1983
aze,1.837,1984
aze,1.872,1985
aze,1.73,1986
aze,1.761,1987
aze,1.691,1988
aze,1.243,1989
aze,1.132,1990
aze,0.9765,1991
aze,0.9359,1992
aze,0.9366,1993
aze,0.7658,1994
aze,0.5623,1995
aze,0.6952,1996
aze,0.649,1997
aze,0.6325,1998
aze,0.56,1999
aze,0.5029,2000
aze,1.164,2001
aze,1.134,2002
aze,1.144,2003
aze,1.261,2004
aze,1.406,2005
aze,1.484,2006
aze,1.518,2007
aze,2.482,2008
aze,2.457,2009
aze,1.57,2010
aze,1.703,2011
bhs,6.106,1960
bhs,6.182,1961
bhs,6.257,1962
bhs,6.213,1963
bhs,6.047,1964
bhs,5.796,1965
bhs,5.493,1966
bhs,5.248,1967
bhs,4.929,1968
bhs,4.529,1969
bhs,4.098,1970
bhs,3.603,1971
bhs,3.227,1972
bhs,2.984,1973
bhs,2.913,1974
bhs,2.961,1975
bhs,2.986,1976
bhs,3.032,1977
bhs,3.067,1978
bhs,3.077,1979
bhs,3.066,1980
bhs,3.194,1981
bhs,3.194,1982
bhs,3.153,1983
bhs,3.062,1984
bhs,2.94,1985
bhs,2.696,1986
bhs,2.577,1987
bhs,2.51,1988
bhs,2.51,1989
bhs,2.551,1990
bhs,2.106,1991
bhs,2.147,1992
bhs,2.121,1993
bhs,2.009,1994
bhs,1.844,1995
bhs,1.65,1996
bhs,1.504,1997
bhs,1.425,1998
bhs,1.432,1999
bhs,1.5,2000
bhs,1.572,2001
bhs,1.632,2002
bhs,1.679,2003
bhs,1.702,2004
bhs,1.706,2005
bhs,1.703,2006
bhs,1.708,2007
bhs,1.687,2008
bhs,1.636,2009
bhs,1.564,2010
bhs,1.474,2011
bhr,5.251,1960
bhr,3.299,1961
bhr,3.057,1962
bhr,2.834,1963
bhr,2.642,1964
bhr,2.498,1965
bhr,2.633,1966
bhr,2.577,1967
bhr,2.691,1968
bhr,3.008,1969
bhr,3.463,1970
bhr,3.835,1971
bhr,4.182,1972
bhr,4.662,1973
bhr,5.279,1974
bhr,5.897,1975
bhr,6.509,1976
bhr,6.883,1977
bhr,6.745,1978
bhr,6.067,1979
bhr,5.121,1980
bhr,4.113,1981
bhr,3.343,1982
bhr,2.912,1983
bhr,2.913,1984
bhr,3.187,1985
bhr,3.509,1986
bhr,3.714,1987
bhr,3.757,1988
bhr,3.588,1989
bhr,3.293,1990
bhr,2.816,1991
bhr,2.592,1992
bhr,2.464,1993
bhr,2.463,1994
bhr,2.544,1995
bhr,2.791,1996
bhr,3.091,1997
bhr,3.028,1998
bhr,2.505,1999
bhr,1.803,2000
bhr,0.6848,2001
bhr,-0.05787,2002
bhr,0.8009,2003
bhr,3.741,2004
bhr,7.611,2005
bhr,11.33,2006
bhr,13.23,2007
bhr,12.87,2008
bhr,10.61,2009
bhr,7.637,2010
bhr,4.852,2011
bgd,3.856,1960
bgd,6.919,1961
bgd,6.711,1962
bgd,6.58,1963
bgd,6.544,1964
bgd,6.549,1965
bgd,7.571,1966
bgd,7.504,1967
bgd,7.196,1968
bgd,6.593,1969
bgd,5.834,1970
bgd,7.177,1971
bgd,6.327,1972
bgd,5.835,1973
bgd,5.812,1974
bgd,6.116,1975
bgd,11.77,1976
bgd,11.4,1977
bgd,11.0,1978
bgd,10.47,1979
bgd,9.863,1980
bgd,6.264,1981
bgd,6.087,1982
bgd,5.94,1983
bgd,5.84,1984
bgd,5.767,1985
bgd,5.329,1986
bgd,5.254,1987
bgd,5.149,1988
bgd,5.006,1989
bgd,4.841,1990
bgd,4.241,1991
bgd,4.101,1992
bgd,3.986,1993
bgd,3.902,1994
bgd,3.839,1995
bgd,3.791,1996
bgd,3.72,1997
bgd,3.644,1998
bgd,3.562,1999
bgd,3.473,2000
bgd,3.519,2001
bgd,3.435,2002
bgd,3.323,2003
bgd,3.175,2004
bgd,3.009,2005
bgd,2.994,2006
bgd,2.836,2007
bgd,2.739,2008
bgd,2.72,2009
bgd,2.756,2010
bgd,2.968,2011
brb,0.4411,1960
brb,0.5191,1961
brb,0.5921,1962
brb,0.6287,1963
brb,0.6065,1964
brb,0.5436,1965
brb,0.4862,1966
brb,0.4385,1967
brb,0.4375,1968
brb,0.5005,1969
brb,0.6053,1970
brb,1.096,1971
brb,1.196,1972
brb,1.23,1973
brb,1.174,1974
brb,1.056,1975
brb,0.8533,1976
brb,0.7396,1977
brb,0.6784,1978
brb,0.6962,1979
brb,0.767,1980
brb,-1.47,1981
brb,-1.437,1982
brb,-1.429,1983
brb,-1.461,1984
brb,-1.523,1985
brb,-1.39,1986
brb,-1.443,1987
brb,-1.5,1988
brb,-1.558,1989
brb,-1.618,1990
brb,2.002,1991
brb,1.948,1992
brb,1.907,1993
brb,1.881,1994
brb,1.866,1995
brb,1.913,1996
brb,1.898,1997
brb,1.874,1998
brb,1.835,1999
brb,1.787,2000
brb,1.722,2001
brb,1.678,2002
brb,1.64,2003
brb,1.613,2004
brb,1.592,2005
brb,1.513,2006
brb,1.494,2007
brb,1.48,2008
brb,1.466,2009
brb,1.454,2010
brb,1.374,2011
blr,3.162,1960
blr,4.363,1961
blr,4.328,1962
blr,4.264,1963
blr,4.171,1964
blr,4.051,1965
blr,4.039,1966
blr,3.97,1967
blr,3.872,1968
blr,3.747,1969
blr,3.595,1970
blr,3.79,1971
blr,3.674,1972
blr,3.532,1973
blr,3.365,1974
blr,3.173,1975
blr,2.767,1976
blr,2.798,1977
blr,2.85,1978
blr,2.768,1979
blr,2.719,1980
blr,2.563,1981
blr,2.514,1982
blr,2.486,1983
blr,2.45,1984
blr,2.394,1985
blr,2.012,1986
blr,1.99,1987
blr,1.585,1988
blr,1.577,1989
blr,1.452,1990
blr,0.6369,1991
blr,0.8,1992
blr,0.8059,1993
blr,0.4604,1994
blr,0.2511,1995
blr,0.2668,1996
blr,0.1732,1997
blr,0.1182,1998
blr,0.252,1999
blr,0.2874,2000
blr,0.3304,2001
blr,0.2187,2002
blr,0.1537,2003
blr,0.1621,2004
blr,0.1616,2005
blr,0.1813,2006
blr,0.3053,2007
blr,-0.4207,2008
blr,-0.3827,2009
blr,0.4289,2010
blr,0.3642,2011
bel,0.6664,1960
bel,0.4785,1961
bel,0.5442,1962
bel,0.8935,1963
bel,1.092,1964
bel,1.054,1965
bel,0.827,1966
bel,0.7079,1967
bel,0.5444,1968
bel,0.434,1969
bel,0.2492,1970
bel,0.3179,1971
bel,0.5271,1972
bel,0.45,1973
bel,0.4498,1974
bel,0.4239,1975
bel,0.3692,1976
bel,0.3137,1977
bel,0.2831,1978
bel,0.2793,1979
bel,0.2993,1980
bel,0.1124,1981
bel,0.08774,1982
bel,0.1068,1983
bel,0.1132,1984
bel,0.1443,1985
bel,0.1288,1986
bel,0.1783,1987
bel,0.4109,1988
bel,0.4561,1989
bel,0.391,1990
bel,0.4546,1991
bel,0.4886,1992
bel,0.4735,1993
bel,0.391,1994
bel,0.2921,1995
bel,0.2658,1996
bel,0.3124,1997
bel,0.2839,1998
bel,0.2995,1999
bel,0.3128,2000
bel,0.3798,2001
bel,0.4841,2002
bel,0.4544,2003
bel,0.4686,2004
bel,0.5858,2005
bel,0.6933,2006
bel,0.768,2007
bel,0.8237,2008
bel,0.8383,2009
bel,0.9491,2010
bel,1.055,2011
blz,2.834,1960
blz,2.876,1961
blz,2.996,1962
blz,2.962,1963
blz,2.722,1964
blz,2.371,1965
blz,2.083,1966
blz,1.818,1967
blz,1.555,1968
blz,1.299,1969
blz,1.067,1970
blz,1.136,1971
blz,0.9069,1972
blz,0.8618,1973
blz,1.08,1974
blz,1.451,1975
blz,1.788,1976
blz,2.135,1977
blz,2.362,1978
blz,2.406,1979
blz,2.342,1980
blz,2.244,1981
blz,2.216,1982
blz,1.628,1983
blz,2.741,1984
blz,2.177,1985
blz,2.101,1986
blz,2.382,1987
blz,2.194,1988
blz,1.474,1989
blz,2.716,1990
blz,2.619,1991
blz,2.553,1992
blz,2.979,1993
blz,2.893,1994
blz,2.581,1995
blz,2.584,1996
blz,3.616,1997
blz,3.704,1998
blz,1.986,1999
blz,2.794,2000
blz,2.389,2001
blz,2.452,2002
blz,2.579,2003
blz,2.621,2004
blz,2.621,2005
blz,2.648,2006
blz,2.713,2007
blz,2.756,2008
blz,2.794,2009
blz,2.795,2010
blz,2.978,2011
ben,7.021,1960
ben,8.054,1961
ben,7.716,1962
ben,7.421,1963
ben,7.159,1964
ben,6.928,1965
ben,8.122,1966
ben,7.796,1967
ben,7.52,1968
ben,7.292,1969
ben,7.1,1970
ben,8.116,1971
ben,7.849,1972
ben,7.617,1973
ben,7.411,1974
ben,7.228,1975
ben,7.258,1976
ben,7.095,1977
ben,6.947,1978
ben,6.811,1979
ben,6.686,1980
ben,5.178,1981
ben,5.167,1982
ben,5.138,1983
ben,5.086,1984
ben,5.025,1985
ben,5.092,1986
ben,5.024,1987
ben,5.03,1988
ben,5.126,1989
ben,5.268,1990
ben,4.626,1991
ben,4.764,1992
ben,4.781,1993
ben,4.654,1994
ben,4.444,1995
ben,3.832,1996
ben,3.659,1997
ben,3.583,1998
ben,3.632,1999
ben,3.757,2000
ben,4.458,2001
ben,4.537,2002
ben,4.566,2003
ben,4.529,2004
ben,4.448,2005
ben,4.645,2006
ben,4.565,2007
ben,4.483,2008
ben,4.403,2009
ben,4.326,2010
ben,4.245,2011
bmu,1.351,1960
bmu,2.447,1961
bmu,2.389,1962
bmu,2.333,1963
bmu,2.485,1964
bmu,2.424,1965
bmu,1.78,1966
bmu,1.942,1967
bmu,1.905,1968
bmu,1.869,1969
bmu,1.835,1970
bmu,-0.7299,1971
bmu,-0.7353,1972
bmu,-0.7407,1973
bmu,-0.7463,1974
bmu,-0.7519,1975
bmu,0.3766,1976
bmu,0.3752,1977
bmu,0.3738,1978
bmu,0.3724,1979
bmu,0.3711,1980
bmu,0.738,1981
bmu,0.7326,1982
bmu,0.7273,1983
bmu,0.722,1984
bmu,0.7168,1985
bmu,1.594,1986
bmu,1.569,1987
bmu,1.545,1988
bmu,1.522,1989
bmu,1.499,1990
bmu,0.823,1991
bmu,0.0,1992
bmu,0.0,1993
bmu,0.4906,1994
bmu,0.6504,1995
bmu,0.1619,1996
bmu,0.1617,1997
bmu,0.1614,1998
bmu,0.0,1999
bmu,0.1612,2000
bmu,0.6421,2001
bmu,0.4789,2002
bmu,0.318,2003
bmu,0.4751,2004
bmu,0.4728,2005
bmu,0.314,2006
bmu,0.313,2007
bmu,0.312,2008
bmu,0.311,2009
bmu,-0.2534,2010
bmu,0.7182,2011
btn,7.102,1960
btn,8.514,1961
btn,8.201,1962
btn,7.942,1963
btn,7.734,1964
btn,7.568,1965
btn,8.675,1966
btn,8.427,1967
btn,8.259,1968
btn,8.17,1969
btn,8.128,1970
btn,9.299,1971
btn,9.124,1972
btn,8.912,1973
btn,8.65,1974
btn,8.353,1975
btn,9.207,1976
btn,8.836,1977
btn,8.444,1978
btn,8.023,1979
btn,7.597,1980
btn,8.148,1981
btn,7.607,1982
btn,7.274,1983
btn,7.196,1984
btn,7.249,1985
btn,8.398,1986
btn,8.371,1987
btn,7.854,1988
btn,6.728,1989
btn,5.259,1990
btn,4.445,1991
btn,3.003,1992
btn,2.188,1993
btn,2.32,1994
btn,3.197,1995
btn,5.018,1996
btn,5.905,1997
btn,6.548,1998
btn,6.79,1999
btn,6.736,2000
btn,7.168,2001
btn,7.108,2002
btn,6.928,2003
btn,6.624,2004
btn,6.244,2005
btn,4.75,2006
btn,4.423,2007
btn,4.168,2008
btn,4.014,2009
btn,3.93,2010
btn,3.883,2011
bol,3.022,1960
bol,3.029,1961
bol,3.031,1962
bol,3.036,1963
bol,3.045,1964
bol,3.057,1965
bol,3.079,1966
bol,3.087,1967
bol,3.102,1968
bol,3.125,1969
bol,3.15,1970
bol,3.184,1971
bol,3.199,1972
bol,3.202,1973
bol,3.191,1974
bol,3.169,1975
bol,4.389,1976
bol,4.333,1977
bol,4.264,1978
bol,4.178,1979
bol,4.086,1980
bol,4.393,1981
bol,4.296,1982
bol,4.225,1983
bol,4.187,1984
bol,4.173,1985
bol,4.157,1986
bol,4.142,1987
bol,4.131,1988
bol,4.124,1989
bol,4.116,1990
bol,3.673,1991
bol,3.674,1992
bol,3.655,1993
bol,3.612,1994
bol,3.552,1995
bol,3.023,1996
bol,2.969,1997
bol,2.919,1998
bol,2.877,1999
bol,2.839,2000
bol,2.778,2001
bol,2.738,2002
bol,2.686,2003
bol,2.619,2004
bol,2.543,2005
bol,2.42,2006
bol,2.353,2007
bol,2.301,2008
bol,2.271,2009
bol,2.256,2010
bol,2.2,2011
bih,4.429,1960
bih,5.307,1961
bih,5.136,1962
bih,4.953,1963
bih,4.748,1964
bih,4.533,1965
bih,4.833,1966
bih,4.609,1967
bih,4.43,1968
bih,4.307,1969
bih,4.224,1970
bih,3.952,1971
bih,3.899,1972
bih,3.827,1973
bih,3.722,1974
bih,3.598,1975
bih,3.572,1976
bih,3.456,1977
bih,3.377,1978
bih,3.345,1979
bih,3.346,1980
bih,2.06,1981
bih,2.008,1982
bih,2.052,1983
bih,2.223,1984
bih,2.434,1985
bih,2.63,1986
bih,2.884,1987
bih,2.488,1988
bih,1.256,1989
bih,-0.5078,1990
bih,-2.664,1991
bih,-4.703,1992
bih,-5.797,1993
bih,-5.161,1994
bih,-2.959,1995
bih,0.1757,1996
bih,2.76,1997
bih,4.304,1998
bih,4.366,1999
bih,3.465,2000
bih,2.505,2001
bih,1.756,2002
bih,1.195,2003
bih,0.9684,2004
bih,0.9849,2005
bih,1.102,2006
bih,1.008,2007
bih,0.9348,2008
bih,0.8807,2009
bih,0.8414,2010
bih,0.9141,2011
bwa,3.57,1960
bwa,7.332,1961
bwa,7.2,1962
bwa,7.089,1963
bwa,6.987,1964
bwa,6.897,1965
bwa,21.75,1966
bwa,18.84,1967
bwa,16.75,1968
bwa,15.17,1969
bwa,13.94,1970
bwa,13.07,1971
bwa,12.25,1972
bwa,11.6,1973
bwa,11.11,1974
bwa,10.72,1975
bwa,11.25,1976
bwa,10.83,1977
bwa,10.41,1978
bwa,9.949,1979
bwa,9.484,1980
bwa,15.34,1981
bwa,13.99,1982
bwa,12.9,1983
bwa,12.01,1984
bwa,11.27,1985
bwa,14.02,1986
bwa,12.91,1987
bwa,11.98,1988
bwa,11.2,1989
bwa,10.53,1990
bwa,6.243,1991
bwa,6.064,1992
bwa,5.869,1993
bwa,5.654,1994
bwa,5.425,1995
bwa,4.088,1996
bwa,3.93,1997
bwa,3.747,1998
bwa,3.536,1999
bwa,3.312,2000
bwa,3.027,2001
bwa,2.823,2002
bwa,2.695,2003
bwa,2.664,2004
bwa,2.698,2005
