geo,stomach_cancer_new_cases_per_100000_men,time
nor,25.45,1969
nor,24.22,1970
nor,22.42,1971
nor,22.66,1972
nor,21.68,1973
nor,20.39,1974
nor,20.76,1975
nor,19.58,1976
nor,19.27,1977
nor,18.52,1978
nor,17.12,1979
nor,17.99,1980
nor,17.79,1981
nor,18.32,1982
nor,17.35,1983
nor,15.89,1984
nor,15.12,1985
nor,15.78,1986
nor,14.64,1987
nor,13.99,1988
nor,13.93,1989
nor,14.27,1990
nor,13.99,1991
nor,12.48,1992
nor,12.39,1993
nor,12.19,1994
nor,10.77,1995
nor,12.16,1996
nor,10.69,1997
nor,10.4,2002
omn,12.7,2002
pak,3.8,2002
pan,19.0,2002
png,5.1,2002
pry,19.8,2002
per,37.5,2002
phl,8.9,2002
pol,20.7,2002
prt,27.6,2002
pri,14.2,2002
qat,7.6,2002
rou,17.6,2002
rus,36.7,2002
rwa,12.3,2002
wsm,24.7,2002
sau,5.7,2002
sen,5.2,2002
scg,14.5,2002
sle,3.4,2002
sgp,22.3,2002
svk,55.69,1968
svk,49.7,1969
svk,47.93,1970
svk,47.95,1971
svk,43.9,1972
svk,41.79,1973
svk,45.03,1974
svk,40.08,1975
svk,36.13,1976
svk,39.56,1977
svk,31.03,1978
svk,33.09,1979
svk,30.98,1980
svk,29.52,1981
svk,30.76,1982
svk,29.16,1983
svk,26.97,1984
svk,27.33,1985
svk,26.27,1986
svk,25.74,1987
svk,25.23,1988
svk,24.21,1989
svk,24.63,1990
svk,23.61,1991
svk,25.19,1992
svk,22.51,1993
svk,22.43,1994
svk,20.8,1995
svk,21.11,1996
svk,20.11,1997
svk,20.7,2002
svn,48.61,1963
svn,45.9,1964
svn,41.07,1965
svn,45.25,1966
svn,43.41,1967
svn,42.75,1968
svn,40.85,1969
svn,41.85,1970
svn,42.25,1971
svn,37.75,1972
svn,42.13,1973
svn,43.56,1974
svn,39.67,1975
svn,42.64,1976
svn,37.63,1977
svn,37.7,1978
svn,38.68,1979
svn,33.35,1980
svn,33.37,1981
svn,31.43,1982
svn,28.56,1983
svn,28.58,1984
svn,29.01,1985
svn,29.11,1986
svn,25.56,1987
svn,29.44,1988
svn,29.11,1989
svn,27.05,1990
svn,24.5,1991
svn,26.16,1992
svn,26.23,1993
svn,24.86,1994
svn,24.1,1995
svn,21.75,1996
svn,23.03,1997
svn,20.4,2002
slb,8.9,2002
som,7.4,2002
zaf,8.8,2002
esp,15.7,2002
lka,2.3,2002
sdn,3.2,2002
sur,15.8,2002
swz,4.3,2002
swe,28.84,1958
swe,28.57,1959
swe,26.24,1960
swe,25.31,1961
swe,25.61,1962
swe,25.1,1963
swe,23.59,1964
swe,24.71,1965
swe,21.95,1966
swe,21.98,1967
swe,20.79,1968
swe,20.66,1969
swe,20.22,1970
swe,18.58,1971
swe,18.48,1972
swe,19.21,1973
swe,18.08,1974
swe,17.01,1975
swe,17.2,1976
swe,15.54,1977
swe,15.56,1978
swe,15.9,1979
swe,14.92,1980
swe,14.48,1981
swe,14.35,1982
swe,14.01,1983
swe,13.02,1984
swe,13.36,1985
swe,11.85,1986
swe,11.6,1987
swe,11.17,1988
swe,11.46,1989
swe,10.52,1990
swe,10.68,1991
swe,10.02,1992
swe,9.32,1993
swe,9.04,1994
swe,8.16,1995
swe,8.37,1996
swe,8.13,1997
swe,8.0,2002
che,10.8,2002
syr,7.2,2002
tjk,25.5,2002
tza,7.6,2002
tha,4.3,2002
tgo,3.4,2002
tto,11.3,2002
tun,5.3,2002
tur,12.2,2002
tkm,23.1,2002
uga,6.9,2002
ukr,30.2,2002
are,12.3,2002
gbr,12.5,2002
usa,7.2,2002
ury,18.6,2002
uzb,18.0,2002
vut,2.4,2002
ven,19.2,2002
vnm,21.8,2002
yem,6.9,2002
zmb,9.2,2002
zwe,10.9,2002
