geo,inequality_index_gini,time
idn,34.01,2005
irn,47.42,1986
irn,43.6,1990
irn,43.0,1994
irn,44.1,1998
irn,38.28,2005
irq,30.86,2007
irl,34.28,2000
isr,39.2,2001
ita,36.03,2000
jam,43.16,1988
jam,42.2,1990
jam,35.67,1993
jam,40.47,1996
jam,44.22,1999
jam,48.34,2002
jam,45.51,2004
jpn,24.85,1993
jor,36.06,1987
jor,43.36,1992
jor,36.42,1997
jor,38.87,2003
jor,37.72,2006
jor,33.82,2008
jor,35.43,2010
kaz,25.74,1988
kaz,32.67,1993
kaz,35.32,1996
kaz,41.11,2001
kaz,34.95,2002
kaz,33.85,2003
kaz,32.25,2004
kaz,30.76,2006
kaz,30.88,2007
kaz,29.33,2008
kaz,29.04,2009
ken,57.46,1992
ken,42.07,1994
ken,42.51,1997
ken,47.68,2005
kor,31.59,1998
kgz,26.01,1988
kgz,53.7,1993
kgz,35.98,1998
kgz,31.67,2002
kgz,34.78,2004
kgz,39.49,2005
kgz,38.69,2006
kgz,33.43,2007
kgz,37.29,2008
kgz,36.19,2009
lao,30.43,1992
lao,34.91,1997
lao,32.63,2002
lao,36.74,2008
lva,22.49,1988
lva,26.99,1993
lva,30.98,1995
lva,31.65,1996
lva,31.72,1997
lva,33.52,1998
lva,35.91,2002
lva,37.66,2003
lva,35.73,2004
lva,36.27,2007
lva,36.61,2008
lso,56.02,1987
lso,57.94,1993
lso,63.16,1994
lso,52.5,2003
lbr,38.16,2007
ltu,22.48,1988
ltu,33.64,1993
ltu,32.26,1996
ltu,30.21,1998
ltu,31.85,2000
ltu,32.4,2001
ltu,32.33,2002
ltu,35.81,2004
ltu,37.57,2008
lux,30.76,2000
mkd,28.13,1998
mkd,34.44,2000
mkd,38.75,2002
mkd,38.95,2003
mkd,38.85,2004
mkd,39.13,2005
mkd,42.78,2006
mkd,44.2,2008
mkd,43.17,2009
mdg,46.85,1980
mdg,46.12,1993
mdg,39.16,1997
mdg,41.81,1999
mdg,47.47,2001
mdg,47.24,2005
mdg,44.11,2010
mwi,50.31,1998
mwi,39.02,2004
mys,48.63,1984
mys,47.04,1987
mys,46.17,1989
mys,47.65,1992
mys,48.52,1995
mys,49.15,1997
mys,37.91,2004
mys,46.0,2007
mys,46.21,2009
mdv,63.27,1998
mdv,37.37,2004
mli,50.56,1994
mli,40.01,2001
mli,38.99,2006
mli,33.02,2010
mrt,43.94,1987
mrt,50.05,1993
mrt,37.29,1996
mrt,39.04,2000
mrt,41.26,2004
mrt,40.46,2008
mex,46.26,1984
mex,51.06,1992
mex,51.89,1994
mex,48.54,1996
mex,48.99,1998
mex,51.87,2000
mex,49.68,2002
mex,46.05,2004
mex,48.11,2006
mex,48.28,2008
fsm,61.1,2000
mda,24.14,1988
mda,34.32,1992
mda,36.9,1997
mda,39.47,1998
mda,39.35,1999
mda,38.59,2001
mda,36.87,2002
mda,35.55,2003
mda,35.96,2004
mda,36.28,2005
mda,36.13,2006
mda,35.27,2007
mda,35.3,2008
mda,34.02,2009
mda,33.03,2010
mng,33.2,1995
mng,30.27,1998
mng,32.84,2002
mng,36.52,2008
mne,30.12,2005
mne,29.33,2006
mne,30.83,2007
mne,29.99,2008
mar,39.19,1985
mar,39.2,1991
mar,39.46,1999
mar,40.63,2001
mar,40.88,2007
moz,44.49,1996
moz,47.11,2003
moz,45.66,2008
nam,74.33,1993
nam,63.9,2004
npl,30.06,1985
npl,35.23,1996
npl,43.83,2003
npl,32.82,2010
nld,30.9,1999
nzl,36.17,1997
nic,50.41,1993
nic,45.24,1998
nic,43.06,2001
nic,40.47,2005
ner,36.1,1992
ner,41.53,1994
ner,43.89,2005
ner,34.55,2008
nga,38.68,1986
nga,44.95,1992
nga,46.5,1996
nga,42.93,2004
nga,48.83,2010
nor,25.79,2000
pak,33.35,1987
pak,33.23,1991
pak,28.65,1997
pak,33.02,1999
pak,30.39,2002
pak,31.18,2005
pak,32.74,2006
pak,30.02,2008
pan,48.74,1979
pan,58.91,1989
pan,58.19,1991
pan,57.81,1995
pan,58.26,1997
pan,57.56,1998
pan,57.3,2001
pan,56.64,2002
