foreign_direct_investment_net_inflows_percent_of_gdp,geo,time
0.3979,bhs,1987
1.302,bhs,1988
0.8295,bhs,1989
-0.5464,bhs,1990
-0.04179,bhs,1991
0.009649,bhs,1992
0.8765,bhs,1993
0.718,bhs,1994
3.115,bhs,1995
2.433,bhs,1996
4.233,bhs,1997
2.744,bhs,1998
2.48,bhs,1999
3.955,bhs,2000
1.571,bhs,2001
2.196,bhs,2002
2.737,bhs,2003
3.857,bhs,2004
7.311,bhs,2005
8.868,bhs,2006
8.575,bhs,2007
10.44,bhs,2008
8.505,bhs,2009
11.19,bhs,2010
-13.6,bhr,1980
0.1197,bhr,1981
0.7806,bhr,1982
1.716,bhr,1983
3.602,bhr,1984
2.775,bhr,1985
-1.046,bhr,1986
-1.058,bhr,1987
5.998,bhr,1988
4.681,bhr,1989
-4.32,bhr,1990
13.42,bhr,1991
18.28,bhr,1992
-5.288,bhr,1993
3.74,bhr,1994
7.361,bhr,1995
33.57,bhr,1996
5.186,bhr,1997
2.902,bhr,1998
6.853,bhr,1999
4.561,bhr,2000
1.013,bhr,2001
2.555,bhr,2002
5.301,bhr,2003
7.701,bhr,2004
7.79,bhr,2005
18.38,bhr,2006
9.507,bhr,2007
8.191,bhr,2008
1.249,bhr,2009
0.001431,bgd,1972
0.02901,bgd,1973
0.01766,bgd,1974
0.007957,bgd,1975
0.05375,bgd,1976
0.07246,bgd,1977
0.0579,bgd,1978
-0.05139,bgd,1979
0.04698,bgd,1980
0.02712,bgd,1981
0.03848,bgd,1982
0.002355,bgd,1983
-0.002813,bgd,1984
-0.03081,bgd,1985
0.01151,bgd,1986
0.01348,bgd,1987
0.00717,bgd,1988
0.0009242,bgd,1989
0.01075,bgd,1990
0.004491,bgd,1991
0.01174,bgd,1992
0.04236,bgd,1993
0.03301,bgd,1994
0.004998,bgd,1995
0.03327,bgd,1996
0.3293,bgd,1997
0.4311,bgd,1998
0.3932,bgd,1999
0.595,bgd,2000
0.1671,bgd,2001
0.11,bgd,2002
0.5168,bgd,2003
0.7937,bgd,2004
1.349,bgd,2005
1.126,bgd,2006
0.9542,bgd,2007
1.269,bgd,2008
0.7983,bgd,2009
0.9136,bgd,2010
4.766,brb,1970
7.893,brb,1971
7.404,brb,1972
1.972,brb,1973
0.7009,brb,1974
5.703,brb,1975
1.583,brb,1976
0.9897,brb,1977
1.628,brb,1978
0.7981,brb,1979
0.3254,brb,1980
0.8871,brb,1981
0.47,brb,1982
0.3475,brb,1983
0.004367,brb,1984
0.4048,brb,1985
0.5891,brb,1986
0.4901,brb,1987
0.7496,brb,1988
0.49,brb,1989
0.6548,brb,1990
0.4386,brb,1991
0.9097,brb,1992
0.5727,brb,1993
0.7499,brb,1994
0.632,brb,1995
0.6707,brb,1996
0.6751,brb,1997
0.6661,brb,1998
0.7029,brb,1999
0.7582,brb,2000
0.7263,brb,2001
0.7027,brb,2002
2.162,brb,2003
-0.4285,brb,2004
7.929,brb,2005
10.73,brb,2006
13.25,brb,2007
12.59,brb,2008
11.56,brb,2009
16.28,brb,2010
0.04112,blr,1992
0.1081,blr,1993
0.07032,blr,1994
0.1052,blr,1995
0.7081,blr,1996
2.489,blr,1997
1.335,blr,1998
3.658,blr,1999
0.9327,blr,2000
0.7754,blr,2001
1.693,blr,2002
0.9638,blr,2003
0.7078,blr,2004
1.01,blr,2005
0.9577,blr,2006
3.987,blr,2007
3.589,blr,2008
3.825,blr,2009
2.564,blr,2010
7.152,bel,2002
11.08,bel,2003
12.28,bel,2004
8.929,bel,2005
14.71,bel,2006
21.03,bel,2007
36.46,bel,2008
12.89,bel,2009
15.53,bel,2010
13.32,blz,1970
5.641,blz,1971
1.467,blz,1978
-0.03294,blz,1979
-1.037,blz,1981
-1.754,blz,1984
1.769,blz,1985
2.019,blz,1986
2.477,blz,1987
4.446,blz,1988
5.136,blz,1989
4.164,blz,1990
3.058,blz,1991
3.011,blz,1992
1.644,blz,1993
2.646,blz,1994
3.395,blz,1995
2.585,blz,1996
1.827,blz,1997
2.562,blz,1998
7.313,blz,1999
2.805,blz,2000
7.015,blz,2001
2.722,blz,2002
-1.106,blz,2003
10.56,blz,2004
11.38,blz,2005
8.971,blz,2006
10.99,blz,2007
12.49,blz,2008
8.068,blz,2009
6.884,blz,2010
2.018,ben,1970
0.841,ben,1971
1.171,ben,1972
0.6933,ben,1973
-0.4221,ben,1974
0.2792,ben,1975
0.3512,ben,1976
0.4168,ben,1977
0.0811,ben,1978
0.3008,ben,1979
0.3072,ben,1980
0.1619,ben,1981
-0.0009602,ben,1982
0.0009583,ben,1983
0.001089,ben,1984
-0.008607,ben,1985
0.08233,ben,1986
0.0064,ben,1987
0.0,ben,1988
4.133,ben,1989
3.381,ben,1990
6.432,ben,1991
4.776,ben,1992
0.06665,ben,1993
0.9118,ben,1994
0.6634,ben,1995
1.609,ben,1996
1.253,ben,1997
1.626,ben,1998
1.645,ben,1999
2.649,ben,2000
1.849,ben,2001
0.4812,ben,2002
1.257,ben,2003
1.577,ben,2004
1.237,ben,2005
1.124,ben,2006
4.602,ben,2007
2.541,ben,2008
2.023,ben,2009
1.672,ben,2010
1.183,bmu,1997
3.28,bmu,1998
1.82,bmu,1999
1.922,bmu,2000
1.136,bmu,2001
0.1372,bmu,2002
0.3081,bmu,2003
18.54,bmu,2004
0.8977,bmu,2005
4.821,bmu,2006
9.788,bmu,2007
-2.39,bmu,2008
-1.516,bmu,2009
3.643,bmu,2010
0.4143,btn,2003
0.5018,btn,2004
1.112,btn,2005
0.6821,btn,2006
6.171,btn,2007
0.2463,btn,2008
0.5175,btn,2009
1.253,btn,2010
1.943,bol,1970
0.1734,bol,1971
1.289,bol,1972
0.3642,bol,1973
2.106,bol,1974
2.562,bol,1975
-0.2965,bol,1976
-0.03718,bol,1977
0.306,bol,1978
1.515,bol,1979
2.006,bol,1980
2.527,bol,1981
1.094,bol,1982
0.2397,bol,1983
0.2107,bol,1984
0.3533,bol,1985
0.5053,bol,1986
1.568,bol,1987
-0.2197,bol,1988
-0.5174,bol,1989
0.5588,bol,1990
0.9732,bol,1991
1.65,bol,1992
2.159,bol,1993
2.177,bol,1994
5.848,bol,1995
6.409,bol,1996
9.218,bol,1997
11.17,bol,1998
12.2,bol,1999
8.768,bol,2000
8.669,bol,2001
8.558,bol,2002
2.442,bol,2003
0.7458,bol,2004
-2.499,bol,2005
2.452,bol,2006
2.792,bol,2007
3.072,bol,2008
2.44,bol,2009
3.165,bol,2010
1.621,bih,1998
3.773,bih,1999
2.653,bih,2000
2.061,bih,2001
4.026,bih,2002
4.561,bih,2003
7.082,bih,2004
5.647,bih,2005
6.269,bih,2006
13.59,bih,2007
5.303,bih,2008
1.408,bih,2009
1.397,bih,2010
-10.78,bwa,1975
3.031,bwa,1976
2.709,bwa,1977
6.911,bwa,1978
15.59,bwa,1979
10.51,bwa,1980
8.239,bwa,1981
2.077,bwa,1982
2.03,bwa,1983
5.008,bwa,1984
4.81,bwa,1985
5.055,bwa,1986
5.78,bwa,1987
1.51,bwa,1988
1.368,bwa,1989
2.529,bwa,1990
-0.2083,bwa,1991
-0.03773,bwa,1992
-6.897,bwa,1993
-0.3262,bwa,1994
1.475,bwa,1995
1.483,bwa,1996
1.933,bwa,1997
1.836,bwa,1998
0.6251,bwa,1999
1.015,bwa,2000
-1.156,bwa,2001
12.01,bwa,2002
9.528,bwa,2003
7.445,bwa,2004
4.801,bwa,2005
6.671,bwa,2006
5.23,bwa,2007
6.698,bwa,2008
7.182,bwa,2009
1.783,bwa,2010
1.052,bra,1975
1.018,bra,1976
1.04,bra,1977
0.999,bra,1978
1.075,bra,1979
0.8131,bra,1980
0.9561,bra,1981
1.033,bra,1982
0.7914,bra,1983
0.7626,bra,1984
0.6464,bra,1985
0.1287,bra,1986
0.3975,bra,1987
0.8487,bra,1988
0.2657,bra,1989
0.2141,bra,1990
0.2708,bra,1991
0.5277,bra,1992
0.2948,bra,1993
0.5624,bra,1994
0.6319,bra,1995
1.334,bra,1996
2.256,bra,1997
3.782,bra,1998
4.869,bra,1999
5.084,bra,2000
4.057,bra,2001
3.29,bra,2002
1.836,bra,2003
2.737,bra,2004
1.708,bra,2005
1.725,bra,2006
2.532,bra,2007
2.726,bra,2008
1.627,bra,2009
2.323,bra,2010
1.084,brn,2001
3.93,brn,2002
1.888,brn,2003
1.438,brn,2004
1.837,brn,2005
0.7658,brn,2006
2.104,brn,2007
1.544,brn,2008
3.034,brn,2009
0.0193,bgr,1990
0.5108,bgr,1991
0.4001,bgr,1992
0.3693,bgr,1993
1.086,bgr,1994
0.6917,bgr,1995
1.226,bgr,1996
5.021,bgr,1997
4.114,bgr,1998
6.19,bgr,1999
7.761,bgr,2000
5.862,bgr,2001
5.661,bgr,2002
10.15,bgr,2003
10.53,bgr,2004
14.92,bgr,2005
23.36,bgr,2006
31.38,bgr,2007
19.26,bgr,2008
7.052,bgr,2009
4.936,bgr,2010
0.08767,bfa,1970
0.2086,bfa,1971
-0.1211,bfa,1972
0.6515,bfa,1973
0.3548,bfa,1974
0.03177,bfa,1975
0.21,bfa,1976
0.4393,bfa,1977
0.07838,bfa,1978
0.0855,bfa,1979
0.001227,bfa,1980
0.137,bfa,1981
0.111,bfa,1982
0.1238,bfa,1983
0.1146,bfa,1984
-0.0919,bfa,1985
0.1541,bfa,1986
0.05616,bfa,1987
0.1418,bfa,1988
0.2169,bfa,1989
0.01483,bfa,1990
0.01818,bfa,1991
0.139,bfa,1992
0.1363,bfa,1993
0.9693,bfa,1994
0.4126,bfa,1995
0.6273,bfa,1996
0.399,bfa,1997
0.1571,bfa,1998
0.2629,bfa,1999
0.8893,bfa,2000
0.3258,bfa,2001
0.4883,bfa,2002
0.722,bfa,2003
0.07495,bfa,2004
0.589,bfa,2005
1.286,bfa,2006
5.47,bfa,2007
1.895,bfa,2008
1.292,bfa,2009
0.4209,bfa,2010
0.04683,bdi,1985
0.1268,bdi,1986
0.1209,bdi,1987
0.1106,bdi,1988
0.05092,bdi,1989
0.1109,bdi,1990
0.07645,bdi,1991
0.05541,bdi,1992
0.05046,bdi,1993
0.0004279,bdi,1994
0.1981,bdi,1995
1.151e-05,bdi,1996
1.028e-05,bdi,1997
0.2238,bdi,1998
0.02953,bdi,1999
1.648,bdi,2000
0.001455,bdi,2001
1.711e-06,bdi,2002
0.0007762,bdi,2003
0.006698,bdi,2004
0.07342,bdi,2005
0.003491,bdi,2006
0.05104,bdi,2007
0.3279,bdi,2008
0.0262,bdi,2009
0.04848,bdi,2010
2.136,khm,1993
2.468,khm,1994
4.382,khm,1995
8.373,khm,1996
5.916,khm,1997
7.782,khm,1998
6.603,khm,1999
4.064,khm,2000
3.754,khm,2001
3.387,khm,2002
1.803,khm,2003
2.462,khm,2004
6.057,khm,2005
6.643,khm,2006
10.04,khm,2007
7.875,khm,2008
5.183,khm,2009
6.961,khm,2010
0.2588,cmr,1977
0.9195,cmr,1978
1.069,cmr,1979
1.926,cmr,1980
1.773,cmr,1981
1.522,cmr,1982
2.897,cmr,1983
0.2265,cmr,1984
3.881,cmr,1985
-0.854,cmr,1986
0.9423,cmr,1987
0.7393,cmr,1988
-0.7696,cmr,1989
-1.012,cmr,1990
-0.1166,cmr,1991
0.2563,cmr,1992
0.03784,cmr,1993
-0.09767,cmr,1994
0.0835,cmr,1995
1.041,cmr,1996
0.796,cmr,1997
2.234,cmr,1998
-0.1478,cmr,1999
1.576,cmr,2000
0.7635,cmr,2001
5.531,cmr,2002
2.469,cmr,2003
0.5459,cmr,2004
1.411,cmr,2005
0.09124,cmr,2006
0.9235,cmr,2007
-0.1019,cmr,2008
3.013,cmr,2009
-0.002452,cmr,2010
2.116,can,1970
2.332,can,1971
1.902,can,1972
2.47,can,1973
2.364,can,1974
1.984,can,1975
1.208,can,1976
1.623,can,1977
1.742,can,1978
2.224,can,1979
2.162,can,1980
0.2207,can,1981
0.02925,can,1982
0.599,can,1983
1.369,can,1984
0.3814,can,1985
0.7722,can,1986
1.925,can,1987
1.219,can,1988
1.085,can,1989
1.301,can,1990
0.4805,can,1991
0.8243,can,1992
0.8425,can,1993
1.457,can,1994
1.578,can,1995
1.57,can,1996
1.807,can,1997
3.687,can,1998
3.749,can,1999
9.124,can,2000
3.873,can,2001
3.002,can,2002
0.8322,can,2003
-0.07471,can,2004
2.285,can,2005
4.716,can,2006
8.262,can,2007
3.852,can,2008
1.68,can,2009
1.496,can,2010
-0.00409,cpv,1986
1.073,cpv,1987
0.2048,cpv,1988
0.05895,cpv,1989
0.07458,cpv,1990
0.4965,cpv,1991
0.1144,cpv,1992
1.003,cpv,1993
0.5181,cpv,1994
5.336,cpv,1995
5.681,cpv,1996
2.286,cpv,1997
1.676,cpv,1998
9.139,cpv,1999
6.199,cpv,2000
1.619,cpv,2001
2.384,cpv,2002
4.823,cpv,2003
7.313,cpv,2004
8.276,cpv,2005
11.9,cpv,2006
14.41,cpv,2007
13.63,cpv,2008
7.548,cpv,2009
6.778,cpv,2010
121.7,cym,1996
-0.5608,caf,1977
0.9965,caf,1978
3.248,caf,1979
0.6704,caf,1980
0.8321,caf,1981
1.223,caf,1982
0.6785,caf,1983
0.8073,caf,1984
0.3459,caf,1985
0.7285,caf,1986
0.9819,caf,1987
-0.2983,caf,1988
0.1013,caf,1989
0.04691,caf,1990
-0.3471,caf,1991
-0.7445,caf,1992
-0.7684,caf,1993
0.4223,caf,1994
0.5527,caf,1995
1.021,caf,1996
0.1493,caf,1997
0.726,caf,1998
0.3593,caf,1999
0.08784,caf,2000
0.5358,caf,2001
0.5375,caf,2002
1.948,caf,2003
2.251,caf,2004
2.401,caf,2005
2.344,caf,2006
3.345,caf,2007
5.906,caf,2008
2.134,caf,2009
3.579,caf,2010
2.262,tcd,1977
3.064,tcd,1978
-0.1284,tcd,1979
-0.04163,tcd,1980
-0.01254,tcd,1981
-0.01438,tcd,1982
-0.01081,tcd,1983
0.9995,tcd,1984
5.193,tcd,1985
2.641,tcd,1986
0.7016,tcd,1987
0.08696,tcd,1988
1.307,tcd,1989
0.5407,tcd,1990
0.2258,tcd,1991
0.1042,tcd,1992
1.036,tcd,1993
2.295,tcd,1994
2.255,tcd,1995
2.455,tcd,1996
2.868,tcd,1997
1.244,tcd,1998
1.596,tcd,1999
8.315,tcd,2000
26.9,tcd,2001
46.49,tcd,2002
26.04,tcd,2003
10.57,tcd,2004
-1.874,tcd,2005
-4.578,tcd,2006
-0.9903,tcd,2007
2.795,tcd,2008
6.753,tcd,2009
10.3,tcd,2010
0.6919,chl,1975
-0.01014,chl,1976
0.1572,chl,1977
1.175,chl,1978
1.177,chl,1979
0.7725,chl,1980
1.173,chl,1981
1.648,chl,1982
0.6828,chl,1983
0.4056,chl,1984
0.8753,chl,1985
1.78,chl,1986
4.26,chl,1987
3.928,chl,1988
4.522,chl,1989
2.095,chl,1990
2.259,chl,1991
2.105,chl,1992
2.169,chl,1993
4.682,chl,1994
4.144,chl,1995
6.354,chl,1996
6.366,chl,1997
5.83,chl,1998
12.0,chl,1999
6.462,chl,2000
6.125,chl,2001
3.791,chl,2002
5.822,chl,2003
7.499,chl,2004
5.906,chl,2005
4.973,chl,2006
7.628,chl,2007
8.873,chl,2008
8.003,chl,2009
7.095,chl,2010
0.2116,chn,1982
0.2784,chn,1983
0.4887,chn,1984
0.541,chn,1985
0.6295,chn,1986
0.8559,chn,1987
1.032,chn,1988
0.9864,chn,1989
0.9769,chn,1990
1.151,chn,1991
2.639,chn,1992
6.246,chn,1993
6.042,chn,1994
4.924,chn,1995
4.693,chn,1996
4.644,chn,1997
4.292,chn,1998
3.577,chn,1999
3.204,chn,2000
3.339,chn,2001
3.392,chn,2002
2.869,chn,2003
2.844,chn,2004
5.193,chn,2005
4.574,chn,2006
4.581,chn,2007
3.873,chn,2008
2.288,chn,2009
3.123,chn,2010
0.5974,col,1970
0.5515,col,1971
0.2129,col,1972
0.2311,col,1973
0.3306,col,1974
0.283,col,1975
0.163,col,1976
0.3338,col,1977
0.4599,col,1978
0.4545,col,1979
0.4705,col,1980
0.7283,col,1981
0.9392,col,1982
1.596,col,1983
1.527,col,1984
2.932,col,1985
1.929,col,1986
0.877,col,1987
0.5177,col,1988
1.457,col,1989
1.241,col,1990
1.108,col,1991
1.479,col,1992
1.719,col,1993
1.77,col,1994
1.047,col,1995
3.203,col,1996
5.215,col,1997
2.874,col,1998
1.75,col,1999
2.428,col,2000
2.574,col,2001
2.172,col,2002
1.813,col,2003
2.573,col,2004
6.995,col,2005
4.088,col,2006
4.363,col,2007
4.331,col,2008
3.026,col,2009
2.393,col,2010
0.1401,com,1982
3.842,com,1987
1.816,com,1988
1.644,com,1989
0.1572,com,1990
1.015,com,1991
-0.5436,com,1992
0.07236,com,1993
0.09567,com,1994
0.3836,com,1995
0.2213,com,1996
0.00943,com,1997
0.1784,com,1998
0.1218,com,1999
0.04638,com,2000
0.5206,com,2001
0.1714,com,2002
0.2446,com,2003
0.1852,com,2004
0.1443,com,2005
0.1429,com,2006
1.618,com,2007
1.419,com,2008
1.698,com,2009
1.736,com,2010
0.1318,cod,1970
0.1026,cod,1971
0.1696,cod,1972
0.2252,cod,1973
0.5416,cod,1974
0.08909,cod,1975
2.471,cod,1976
0.1474,cod,1977
0.6354,cod,1978
0.9546,cod,1979
0.7615,cod,1980
0.5554,cod,1981
-0.01736,cod,1982
-1.752,cod,1983
-0.413,cod,1984
0.9616,cod,1985
0.06856,cod,1986
-0.7189,cod,1987
-0.04446,cod,1988
-0.06772,cod,1989
-0.1547,cod,1990
0.1363,cod,1991
-0.008896,cod,1992
0.06416,cod,1993
-0.02577,cod,1994
-0.396,cod,1995
0.4295,cod,1996
-0.7281,cod,1997
0.9864,cod,1998
0.2369,cod,1999
1.672,cod,2000
1.711,cod,2001
2.545,cod,2002
6.901,cod,2003
6.281,cod,2004
2.998,cod,2006
18.15,cod,2007
14.8,cod,2008
5.925,cod,2009
22.36,cod,2010
0.4609,cog,1978
1.375,cog,1979
2.347,cog,1980
1.547,cog,1981
1.636,cog,1982
2.674,cog,1983
1.593,cog,1984
0.5872,cog,1985
1.213,cog,1986
1.891,cog,1987
0.4111,cog,1988
-0.2982,cog,1989
0.8058,cog,1990
1.202,cog,1991
0.09338,cog,1992
14.91,cog,1993
0.169,cog,1994
5.908,cog,1995
2.857,cog,1996
3.409,cog,1997
1.681,cog,1998
22.86,cog,1999
5.152,cog,2000
2.763,cog,2001
10.97,cog,2002
9.243,cog,2003
-0.1832,cog,2004
8.437,cog,2005
19.24,cog,2006
31.43,cog,2007
20.94,cog,2008
21.72,cog,2009
23.45,cog,2010
2.034,cri,1977
1.379,cri,1978
1.078,cri,1979
1.089,cri,1980
2.653,cri,1981
1.109,cri,1982
1.526,cri,1983
1.217,cri,1984
1.457,cri,1985
1.114,cri,1986
1.375,cri,1987
2.015,cri,1988
1.475,cri,1989
2.195,cri,1990
2.491,cri,1991
2.636,cri,1992
2.56,cri,1993
2.819,cri,1994
2.874,cri,1995
3.605,cri,1996
3.182,cri,1997
4.349,cri,1998
3.922,cri,1999
2.562,cri,2000
2.807,cri,2001
3.914,cri,2002
3.283,cri,2003
4.269,cri,2004
4.313,cri,2005
6.522,cri,2006
7.203,cri,2007
6.967,cri,2008
4.603,cri,2009
4.09,cri,2010
1.774,civ,1975
0.9606,civ,1976
0.2339,civ,1977
1.054,civ,1978
0.8175,civ,1979
0.9304,civ,1980
0.3884,civ,1981
0.6274,civ,1982
0.5488,civ,1983
0.3178,civ,1984
0.4179,civ,1985
0.7725,civ,1986
0.8675,civ,1987
0.5042,civ,1988
0.1895,civ,1989
0.4457,civ,1990
0.1554,civ,1991
-2.07,civ,1992
0.7958,civ,1993
0.9381,civ,1994
1.923,civ,1995
2.217,civ,1996
3.543,civ,1997
2.973,civ,1998
2.578,civ,1999
2.253,civ,2000
2.586,civ,2001
1.851,civ,2002
1.204,civ,2003
1.828,civ,2004
1.906,civ,2005
1.836,civ,2006
2.156,civ,2007
1.905,civ,2008
1.653,civ,2009
1.835,civ,2010
0.1265,hrv,1992
1.323,hrv,1993
0.785,hrv,1994
0.4901,hrv,1995
2.11,hrv,1996
2.303,hrv,1997
3.747,hrv,1998
6.293,hrv,1999
5.158,hrv,2000
6.865,hrv,2001
4.147,hrv,2002
6.001,hrv,2003
2.63,hrv,2004
3.989,hrv,2005
6.943,hrv,2006
8.42,hrv,2007
8.622,hrv,2008
5.174,hrv,2009
0.6698,hrv,2010
-0.001757,cub,1970
0.001446,cub,1971
0.0002458,cub,1972
-0.002503,cub,1973
-0.0002901,cub,1976
5.022e-05,cub,1980
4.772e-05,cub,1982
0.0004503,cub,1983
0.0007904,cub,1984
0.000698,cub,1985
0.0007017,cub,1986
0.0005156,cub,1987
0.0004006,cub,1988
0.0008511,cub,1989
0.004084,cub,1990
0.03935,cub,1991
0.03269,cub,1992
0.01203,cub,1993
0.04552,cub,1994
0.01775,cub,1995
0.07703,cub,1996
0.004021,cub,1997
0.05898,cub,1998
0.03155,cub,1999
-0.03353,cub,2000
0.01373,cub,2001
0.007889,cub,2002
-0.02022,cub,2003
0.009188,cub,2004
0.03658,cub,2005
0.04911,cub,2006
