exports_percent_of_gdp,geo,time
44.86,atg,2007
46.17,atg,2008
46.25,atg,2009
45.4,atg,2010
48.01,atg,2011
5.995,arg,1961
4.692,arg,1962
7.89,arg,1963
5.564,arg,1964
6.226,arg,1965
6.653,arg,1966
7.496,arg,1967
6.484,arg,1968
6.399,arg,1969
5.602,arg,1970
6.007,arg,1971
7.198,arg,1972
7.613,arg,1973
6.903,arg,1974
5.824,arg,1975
9.175,arg,1976
9.616,arg,1977
8.608,arg,1978
6.511,arg,1979
5.062,arg,1980
6.921,arg,1981
9.09,arg,1982
9.152,arg,1983
7.59,arg,1984
11.74,arg,1985
8.162,arg,1986
7.873,arg,1987
9.532,arg,1988
13.06,arg,1989
10.36,arg,1990
7.675,arg,1991
6.598,arg,1992
6.909,arg,1993
7.522,arg,1994
9.649,arg,1995
10.4,arg,1996
10.53,arg,1997
10.39,arg,1998
9.788,arg,1999
10.89,arg,2000
11.53,arg,2001
27.69,arg,2002
24.97,arg,2003
25.26,arg,2004
25.07,arg,2005
24.76,arg,2006
24.63,arg,2007
24.48,arg,2008
21.35,arg,2009
21.71,arg,2010
21.82,arg,2011
35.0,arm,1990
40.75,arm,1991
39.82,arm,1992
47.22,arm,1993
39.33,arm,1994
23.93,arm,1995
23.24,arm,1996
20.27,arm,1997
19.0,arm,1998
20.76,arm,1999
23.38,arm,2000
25.47,arm,2001
29.36,arm,2002
32.15,arm,2003
29.73,arm,2004
28.81,arm,2005
23.36,arm,2006
19.19,arm,2007
15.05,arm,2008
15.47,arm,2009
20.58,arm,2010
23.48,arm,2011
100.8,abw,1991
115.6,abw,1992
111.6,abw,1993
108.9,abw,1994
102.0,abw,1995
125.6,abw,1996
112.6,abw,1997
69.94,abw,1998
12.4,aus,1961
13.95,aus,1962
13.01,aus,1963
14.94,aus,1964
13.22,aus,1965
12.94,aus,1966
12.89,aus,1967
12.3,aus,1968
11.96,aus,1969
12.97,aus,1970
12.66,aus,1971
12.83,aus,1972
14.15,aus,1973
13.15,aus,1974
14.28,aus,1975
13.52,aus,1976
14.02,aus,1977
13.63,aus,1978
14.31,aus,1979
16.43,aus,1980
14.89,aus,1981
13.53,aus,1982
13.59,aus,1983
13.55,aus,1984
15.22,aus,1985
15.01,aus,1986
15.5,aus,1987
15.95,aus,1988
15.12,aus,1989
15.11,aus,1990
16.02,aus,1991
16.65,aus,1992
17.53,aus,1993
17.93,aus,1994
17.84,aus,1995
18.86,aus,1996
19.11,aus,1997
19.57,aus,1998
18.32,aus,1999
19.4,aus,2000
22.07,aus,2001
20.63,aus,2002
18.92,aus,2003
17.04,aus,2004
18.11,aus,2005
19.7,aus,2006
20.02,aus,2007
19.88,aus,2008
22.73,aus,2009
19.62,aus,2010
21.29,aus,2011
23.01,aut,1961
23.42,aut,1962
23.43,aut,1963
23.4,aut,1964
23.77,aut,1965
23.71,aut,1966
23.7,aut,1967
24.31,aut,1968
26.85,aut,1969
28.46,aut,1970
28.08,aut,1971
27.98,aut,1972
27.96,aut,1973
30.24,aut,1974
29.19,aut,1975
29.87,aut,1976
29.04,aut,1977
30.25,aut,1978
32.08,aut,1979
32.92,aut,1980
34.28,aut,1981
32.97,aut,1982
31.66,aut,1983
34.02,aut,1984
36.28,aut,1985
33.24,aut,1986
32.63,aut,1987
34.35,aut,1988
36.37,aut,1989
37.08,aut,1990
35.93,aut,1991
34.44,aut,1992
32.69,aut,1993
33.41,aut,1994
34.83,aut,1995
35.49,aut,1996
39.25,aut,1997
40.89,aut,1998
42.05,aut,1999
46.21,aut,2000
48.08,aut,2001
48.68,aut,2002
48.24,aut,2003
51.48,aut,2004
53.84,aut,2005
56.36,aut,2006
58.9,aut,2007
59.27,aut,2008
50.06,aut,2009
54.1,aut,2010
57.29,aut,2011
43.86,aze,1990
45.65,aze,1991
86.2,aze,1992
57.43,aze,1993
24.72,aze,1994
27.9,aze,1995
29.52,aze,1996
29.02,aze,1997
22.7,aze,1998
27.98,aze,1999
39.04,aze,2000
40.92,aze,2001
42.77,aze,2002
42.01,aze,2003
48.79,aze,2004
62.94,aze,2005
66.51,aze,2006
68.13,aze,2007
65.78,aze,2008
51.58,aze,2009
53.97,aze,2010
62.8,aze,2011
82.65,bhs,1977
82.66,bhs,1978
68.87,bhs,1979
70.38,bhs,1980
67.38,bhs,1981
65.79,bhs,1982
66.57,bhs,1983
63.59,bhs,1984
64.79,bhs,1985
63.82,bhs,1986
61.32,bhs,1987
53.83,bhs,1989
54.16,bhs,1990
50.95,bhs,1991
50.25,bhs,1992
51.97,bhs,1993
51.02,bhs,1994
49.55,bhs,1995
48.04,bhs,1996
43.0,bhs,1997
40.4,bhs,1998
42.5,bhs,1999
44.36,bhs,2000
39.72,bhs,2001
42.17,bhs,2002
41.75,bhs,2003
44.55,bhs,2004
45.19,bhs,2005
44.66,bhs,2006
46.74,bhs,2007
46.04,bhs,2008
40.39,bhs,2009
41.47,bhs,2010
43.45,bhs,2011
124.1,bhr,1980
131.1,bhr,1981
119.0,bhr,1982
96.68,bhr,1983
96.49,bhr,1984
101.8,bhr,1985
98.71,bhr,1986
102.4,bhr,1987
95.34,bhr,1988
98.64,bhr,1989
115.6,bhr,1990
85.0,bhr,1991
84.38,bhr,1992
83.87,bhr,1993
81.19,bhr,1994
81.99,bhr,1995
87.91,bhr,1996
79.08,bhr,1997
64.6,bhr,1998
78.87,bhr,1999
89.44,bhr,2000
82.32,bhr,2001
81.92,bhr,2002
81.88,bhr,2003
92.0,bhr,2004
99.53,bhr,2005
98.79,bhr,2006
93.73,bhr,2007
96.85,bhr,2008
81.29,bhr,2009
10.78,bgd,1961
10.75,bgd,1962
9.983,bgd,1963
10.03,bgd,1964
9.663,bgd,1965
10.28,bgd,1966
9.306,bgd,1967
8.331,bgd,1968
8.146,bgd,1969
8.313,bgd,1970
6.291,bgd,1971
5.675,bgd,1972
6.539,bgd,1973
3.701,bgd,1974
2.895,bgd,1975
4.746,bgd,1976
7.041,bgd,1977
5.558,bgd,1978
6.109,bgd,1979
5.494,bgd,1980
5.27,bgd,1981
5.209,bgd,1982
5.742,bgd,1983
3.28,bgd,1984
5.55,bgd,1985
5.351,bgd,1986
5.165,bgd,1987
5.627,bgd,1988
5.747,bgd,1989
6.122,bgd,1990
6.663,bgd,1991
7.587,bgd,1992
9.017,bgd,1993
9.002,bgd,1994
10.86,bgd,1995
11.08,bgd,1996
11.99,bgd,1997
13.33,bgd,1998
13.19,bgd,1999
13.98,bgd,2000
15.38,bgd,2001
14.28,bgd,2002
14.21,bgd,2003
15.46,bgd,2004
16.58,bgd,2005
18.97,bgd,2006
19.78,bgd,2007
20.34,bgd,2008
19.43,bgd,2009
18.41,bgd,2010
22.9,bgd,2011
45.06,brb,1961
51.08,brb,1962
55.08,brb,1963
52.1,brb,1964
58.39,brb,1965
62.53,brb,1966
60.34,brb,1967
63.26,brb,1968
61.59,brb,1969
59.5,brb,1970
61.23,brb,1971
64.85,brb,1972
60.32,brb,1973
62.31,brb,1974
50.38,brb,1975
44.89,brb,1976
49.59,brb,1977
58.08,brb,1978
65.43,brb,1979
70.13,brb,1980
59.74,brb,1981
63.83,brb,1982
70.51,brb,1983
71.93,brb,1984
67.75,brb,1985
56.53,brb,1986
45.99,brb,1987
48.71,brb,1988
50.3,brb,1989
49.1,brb,1990
47.45,brb,1991
55.24,brb,1992
57.74,brb,1993
57.79,brb,1994
61.97,brb,1995
60.86,brb,1996
56.63,brb,1997
53.03,brb,1998
51.28,brb,1999
50.47,brb,2000
51.21,brb,2001
50.86,brb,2002
51.1,brb,2003
52.25,brb,2004
59.38,brb,2005
60.13,brb,2006
59.45,brb,2007
60.05,brb,2008
60.62,brb,2009
47.34,brb,2010
45.96,blr,1990
36.85,blr,1991
59.29,blr,1992
67.64,blr,1993
71.27,blr,1994
49.67,blr,1995
46.35,blr,1996
59.86,blr,1997
59.05,blr,1998
59.2,blr,1999
69.21,blr,2000
66.75,blr,2001
63.63,blr,2002
65.16,blr,2003
67.89,blr,2004
59.8,blr,2005
60.06,blr,2006
60.94,blr,2007
60.94,blr,2008
50.53,blr,2009
54.28,blr,2010
87.89,blr,2011
39.01,bel,1961
40.57,bel,1962
41.71,bel,1963
42.5,bel,1964
41.98,bel,1965
43.67,bel,1966
42.69,bel,1967
44.87,bel,1968
48.8,bel,1969
48.88,bel,1970
47.58,bel,1971
47.99,bel,1972
52.22,bel,1973
57.51,bel,1974
49.92,bel,1975
52.79,bel,1976
51.65,bel,1977
49.75,bel,1978
54.28,bel,1979
54.49,bel,1980
58.78,bel,1981
63.17,bel,1982
65.66,bel,1983
70.03,bel,1984
67.9,bel,1985
62.28,bel,1986
60.74,bel,1987
64.59,bel,1988
69.11,bel,1989
66.99,bel,1990
65.48,bel,1991
63.94,bel,1992
61.0,bel,1993
63.52,bel,1994
65.36,bel,1995
65.62,bel,1996
69.79,bel,1997
69.7,bel,1998
69.96,bel,1999
78.14,bel,2000
77.85,bel,2001
76.69,bel,2002
73.93,bel,2003
75.94,bel,2004
78.68,bel,2005
80.76,bel,2006
82.55,bel,2007
84.93,bel,2008
72.79,bel,2009
79.9,bel,2010
84.34,bel,2011
55.38,blz,1980
53.4,blz,1981
47.98,blz,1982
49.07,blz,1983
62.45,blz,1984
48.48,blz,1985
55.52,blz,1986
60.46,blz,1987
62.02,blz,1988
59.74,blz,1989
62.22,blz,1990
54.27,blz,1991
49.73,blz,1992
46.7,blz,1993
49.84,blz,1994
47.97,blz,1995
50.01,blz,1996
52.79,blz,1997
52.59,blz,1998
55.07,blz,1999
52.99,blz,2000
50.87,blz,2001
52.56,blz,2002
53.3,blz,2003
50.65,blz,2004
54.63,blz,2005
61.35,blz,2006
59.88,blz,2007
61.87,blz,2008
15.76,blz,2009
58.37,blz,2010
65.57,blz,2011
4.583,ben,1961
3.518,ben,1962
3.821,ben,1963
5.137,ben,1964
7.268,ben,1965
6.847,ben,1966
7.666,ben,1967
9.335,ben,1968
11.77,ben,1969
15.18,ben,1970
17.79,ben,1971
14.38,ben,1972
15.66,ben,1973
14.32,ben,1974
14.53,ben,1975
12.99,ben,1976
16.18,ben,1977
16.53,ben,1978
17.52,ben,1979
15.82,ben,1980
15.93,ben,1981
17.77,ben,1982
13.76,ben,1983
19.58,ben,1984
23.65,ben,1985
16.68,ben,1986
15.27,ben,1987
13.8,ben,1988
13.5,ben,1989
14.29,ben,1990
15.55,ben,1991
14.83,ben,1992
13.83,ben,1993
20.18,ben,1994
20.15,ben,1995
15.79,ben,1996
16.08,ben,1997
17.09,ben,1998
16.14,ben,1999
15.18,ben,2000
15.18,ben,2001
13.54,ben,2002
13.68,ben,2003
13.32,ben,2004
13.46,ben,2005
11.35,ben,2006
16.23,ben,2007
15.24,ben,2008
14.0,ben,2009
14.28,ben,2010
14.88,ben,2011
24.94,bmu,2005
30.23,bmu,2006
28.76,bmu,2007
26.34,bmu,2008
13.65,btn,1980
15.44,btn,1981
13.7,btn,1982
12.06,btn,1983
12.93,btn,1984
14.99,btn,1985
17.63,btn,1986
23.55,btn,1987
28.07,btn,1988
28.05,btn,1989
26.83,btn,1990
32.16,btn,1991
31.99,btn,1992
31.57,btn,1993
29.53,btn,1994
37.77,btn,1995
35.49,btn,1996
35.9,btn,1997
33.1,btn,1998
31.11,btn,1999
28.98,btn,2000
28.94,btn,2001
24.92,btn,2002
26.19,btn,2003
31.29,btn,2004
38.25,btn,2005
54.42,btn,2006
54.97,btn,2007
46.59,btn,2008
45.71,btn,2009
39.84,btn,2010
36.62,btn,2011
24.59,bol,1970
21.39,bol,1971
21.11,bol,1972
27.71,bol,1973
35.29,bol,1974
25.94,bol,1975
27.68,bol,1976
26.77,bol,1977
22.6,bol,1978
24.17,bol,1979
24.53,bol,1980
23.27,bol,1981
29.06,bol,1982
28.32,bol,1983
23.65,bol,1984
19.05,bol,1985
21.33,bol,1986
19.74,bol,1987
18.77,bol,1988
22.5,bol,1989
22.78,bol,1990
21.48,bol,1991
20.05,bol,1992
19.08,bol,1993
21.66,bol,1994
22.55,bol,1995
22.58,bol,1996
21.11,bol,1997
19.7,bol,1998
16.88,bol,1999
18.27,bol,2000
19.97,bol,2001
21.63,bol,2002
25.6,bol,2003
31.14,bol,2004
35.55,bol,2005
41.77,bol,2006
41.8,bol,2007
44.91,bol,2008
35.72,bol,2009
41.19,bol,2010
44.12,bol,2011
15.45,bih,1994
20.41,bih,1995
23.62,bih,1996
27.83,bih,1997
27.3,bih,1998
27.64,bih,1999
28.69,bih,2000
28.39,bih,2001
24.35,bih,2002
30.29,bih,2003
32.24,bih,2004
32.14,bih,2005
36.66,bih,2006
43.33,bih,2007
41.06,bih,2008
31.67,bih,2009
35.78,bih,2010
42.28,bih,2011
27.22,bwa,1961
27.93,bwa,1962
28.99,bwa,1963
28.81,bwa,1964
31.71,bwa,1965
29.27,bwa,1966
24.61,bwa,1967
23.05,bwa,1968
22.77,bwa,1969
24.66,bwa,1970
33.15,bwa,1971
37.37,bwa,1972
38.83,bwa,1973
40.92,bwa,1974
43.59,bwa,1975
50.39,bwa,1976
50.9,bwa,1977
52.06,bwa,1978
54.12,bwa,1979
53.06,bwa,1980
49.71,bwa,1981
54.56,bwa,1982
62.08,bwa,1983
60.81,bwa,1984
66.29,bwa,1985
68.33,bwa,1986
75.13,bwa,1987
70.52,bwa,1988
59.22,bwa,1989
55.06,bwa,1990
53.03,bwa,1991
48.18,bwa,1992
47.1,bwa,1993
49.28,bwa,1994
50.95,bwa,1995
54.19,bwa,1996
56.25,bwa,1997
48.88,bwa,1998
51.6,bwa,1999
53.26,bwa,2000
44.27,bwa,2001
46.57,bwa,2002
45.35,bwa,2003
44.23,bwa,2004
51.25,bwa,2005
47.01,bwa,2006
48.18,bwa,2007
42.12,bwa,2008
32.46,bwa,2009
32.99,bwa,2010
39.14,bwa,2011
7.279,bra,1961
3.869,bra,1962
9.036,bra,1963
6.385,bra,1964
7.736,bra,1965
6.825,bra,1966
5.769,bra,1967
6.001,bra,1968
6.62,bra,1969
7.029,bra,1970
6.413,bra,1971
7.259,bra,1972
8.272,bra,1973
8.013,bra,1974
7.539,bra,1975
7.036,bra,1976
7.252,bra,1977
6.676,bra,1978
7.124,bra,1979
9.053,bra,1980
9.42,bra,1981
7.61,bra,1982
11.42,bra,1983
13.55,bra,1984
12.25,bra,1985
8.817,bra,1986
9.46,bra,1987
10.89,bra,1988
8.93,bra,1989
8.2,bra,1990
8.677,bra,1991
10.87,bra,1992
10.5,bra,1993
8.457,bra,1994
7.257,bra,1995
6.567,bra,1996
6.821,bra,1997
6.933,bra,1998
9.411,bra,1999
9.978,bra,2000
12.18,bra,2001
14.1,bra,2002
14.99,bra,2003
16.43,bra,2004
15.13,bra,2005
14.37,bra,2006
13.36,bra,2007
13.66,bra,2008
10.98,bra,2009
10.87,bra,2010
11.89,bra,2011
90.05,brn,1974
90.06,brn,1975
93.65,brn,1976
94.63,brn,1977
95.01,brn,1978
95.06,brn,1979
93.36,brn,1980
93.14,brn,1981
89.34,brn,1982
88.27,brn,1983
61.81,brn,1989
61.81,brn,1990
66.68,brn,1991
57.87,brn,1992
54.76,brn,1993
51.08,brn,1994
59.72,brn,1995
59.93,brn,1996
57.19,brn,1997
50.47,brn,1998
55.82,brn,1999
67.35,brn,2000
69.53,brn,2001
67.12,brn,2002
69.29,brn,2003
68.8,brn,2004
70.17,brn,2005
71.72,brn,2006
67.85,brn,2007
78.3,brn,2008
72.78,brn,2009
81.44,brn,2010
81.28,brn,2011
35.71,bgr,1980
35.64,bgr,1981
34.28,bgr,1982
37.15,bgr,1983
40.13,bgr,1984
42.8,bgr,1985
40.03,bgr,1986
40.79,bgr,1987
45.57,bgr,1988
46.42,bgr,1989
33.12,bgr,1990
43.48,bgr,1991
47.11,bgr,1992
38.21,bgr,1993
45.05,bgr,1994
51.92,bgr,1995
59.39,bgr,1996
58.68,bgr,1997
59.09,bgr,1998
55.98,bgr,1999
50.46,bgr,2000
48.72,bgr,2001
47.45,bgr,2002
48.53,bgr,2003
51.93,bgr,2004
40.54,bgr,2005
61.21,bgr,2006
59.47,bgr,2007
58.22,bgr,2008
47.51,bgr,2009
57.41,bgr,2010
66.51,bgr,2011
5.429,bfa,1961
5.532,bfa,1962
5.579,bfa,1963
2.799,bfa,1964
4.653,bfa,1965
5.052,bfa,1966
4.929,bfa,1967
6.205,bfa,1968
5.817,bfa,1969
5.455,bfa,1970
5.511,bfa,1971
6.4,bfa,1972
6.312,bfa,1973
8.321,bfa,1974
7.348,bfa,1975
8.205,bfa,1976
7.96,bfa,1977
7.468,bfa,1978
8.246,bfa,1979
8.951,bfa,1980
9.276,bfa,1981
8.196,bfa,1982
7.884,bfa,1983
10.96,bfa,1984
9.921,bfa,1985
8.991,bfa,1986
11.36,bfa,1987
11.0,bfa,1988
8.749,bfa,1989
10.97,bfa,1990
10.45,bfa,1991
8.846,bfa,1992
8.952,bfa,1993
14.2,bfa,1994
14.14,bfa,1995
10.56,bfa,1996
10.81,bfa,1997
12.81,bfa,1998
9.518,bfa,1999
9.077,bfa,2000
9.243,bfa,2001
8.816,bfa,2002
8.794,bfa,2003
10.74,bfa,2004
9.921,bfa,2005
11.38,bfa,2006
12.93,bdi,1961
13.11,bdi,1962
7.519,bdi,1963
14.09,bdi,1964
10.35,bdi,1965
10.78,bdi,1966
10.8,bdi,1967
10.3,bdi,1968
9.659,bdi,1969
10.69,bdi,1970
8.436,bdi,1971
11.73,bdi,1972
11.02,bdi,1973
9.753,bdi,1974
8.276,bdi,1975
13.73,bdi,1976
17.6,bdi,1977
11.71,bdi,1978
14.16,bdi,1979
8.809,bdi,1980
9.143,bdi,1981
10.21,bdi,1982
9.046,bdi,1983
11.5,bdi,1984
11.03,bdi,1985
11.72,bdi,1986
9.745,bdi,1987
12.59,bdi,1988
9.746,bdi,1989
7.873,bdi,1990
9.917,bdi,1991
8.749,bdi,1992
9.382,bdi,1993
10.27,bdi,1994
12.93,bdi,1995
5.82,bdi,1996
9.836,bdi,1997
8.0,bdi,1998
7.576,bdi,1999
6.585,bdi,2000
5.523,bdi,2001
4.958,bdi,2002
6.596,bdi,2003
7.08,bdi,2004
8.202,bdi,2005
7.532,bdi,2006
7.033,bdi,2007
6.513,bdi,2008
5.399,bdi,2009
6.135,bdi,2010
5.486,bdi,2011
12.89,khm,1961
13.85,khm,1962
17.25,khm,1963
14.96,khm,1964
11.51,khm,1965
7.812,khm,1966
8.902,khm,1967
8.579,khm,1968
6.954,khm,1969
5.764,khm,1970
16.06,khm,1993
25.79,khm,1994
31.18,khm,1995
25.36,khm,1996
33.62,khm,1997
31.24,khm,1998
40.54,khm,1999
49.85,khm,2000
52.6,khm,2001
55.42,khm,2002
56.52,khm,2003
63.61,khm,2004
64.08,khm,2005
68.59,khm,2006
65.33,khm,2007
65.54,khm,2008
49.22,khm,2009
54.08,khm,2010
54.08,khm,2011
23.76,cmr,1965
20.99,cmr,1966
20.63,cmr,1967
22.12,cmr,1968
23.38,cmr,1969
26.21,cmr,1970
23.02,cmr,1971
20.39,cmr,1972
20.69,cmr,1973
25.44,cmr,1974
22.68,cmr,1975
22.64,cmr,1976
25.06,cmr,1977
23.66,cmr,1978
21.08,cmr,1979
27.88,cmr,1980
21.87,cmr,1981
33.21,cmr,1982
30.4,cmr,1983
33.48,cmr,1984
33.45,cmr,1985
23.28,cmr,1986
16.69,cmr,1987
16.03,cmr,1988
20.71,cmr,1989
20.18,cmr,1990
20.0,cmr,1991
20.55,cmr,1992
16.18,cmr,1993
21.12,cmr,1994
23.58,cmr,1995
23.38,cmr,1996
21.43,cmr,1997
21.43,cmr,1998
21.5,cmr,1999
29.17,cmr,2000
27.5,cmr,2001
25.0,cmr,2002
23.96,cmr,2003
22.71,cmr,2004
24.47,cmr,2005
29.3,cmr,2006
31.02,cmr,2007
31.07,cmr,2008
23.52,cmr,2009
25.57,cmr,2010
30.67,cmr,2011
17.75,can,1961
17.78,can,1962
18.25,can,1963
19.19,can,1964
18.54,can,1965
19.34,can,1966
20.27,can,1967
21.2,can,1968
21.25,can,1969
22.32,can,1970
21.45,can,1971
21.67,can,1972
23.18,can,1973
24.51,can,1974
22.43,can,1975
22.15,can,1976
23.18,can,1977
25.05,can,1978
26.88,can,1979
28.08,can,1980
26.92,can,1981
25.69,can,1982
25.46,can,1983
28.64,can,1984
28.28,can,1985
27.85,can,1986
26.82,can,1987
26.72,can,1988
25.68,can,1989
25.81,can,1990
25.12,can,1991
27.09,can,1992
30.21,can,1993
34.0,can,1994
37.32,can,1995
38.39,can,1996
39.49,can,1997
41.44,can,1998
43.18,can,1999
45.58,can,2000
43.54,can,2001
41.56,can,2002
38.12,can,2003
38.42,can,2004
37.81,can,2005
36.13,can,2006
34.96,can,2007
35.12,can,2008
28.75,can,2009
29.43,can,2010
31.17,can,2011
17.07,cpv,1980
21.47,cpv,1981
22.93,cpv,1982
24.63,cpv,1983
22.77,cpv,1984
22.64,cpv,1985
17.61,cpv,1986
18.1,cpv,1987
16.71,cpv,1988
19.23,cpv,1989
17.13,cpv,1990
16.56,cpv,1991
17.28,cpv,1992
13.26,cpv,1993
15.05,cpv,1994
17.14,cpv,1995
20.2,cpv,1996
27.44,cpv,1997
22.8,cpv,1998
20.98,cpv,1999
27.01,cpv,2000
29.81,cpv,2001
32.54,cpv,2002
31.36,cpv,2003
32.0,cpv,2004
37.78,cpv,2005
45.13,cpv,2006
42.83,cpv,2007
45.34,cpv,2008
35.61,cpv,2009
38.57,cpv,2010
42.24,cpv,2011
26.49,caf,1961
24.59,caf,1962
25.24,caf,1963
28.45,caf,1964
27.1,caf,1965
28.35,caf,1966
26.3,caf,1967
34.31,caf,1968
27.33,caf,1969
31.94,caf,1970
29.8,caf,1971
24.93,caf,1972
28.62,caf,1973
27.74,caf,1974
21.13,caf,1975
22.19,caf,1976
25.2,caf,1977
23.42,caf,1978
22.43,caf,1979
25.22,caf,1980
24.38,caf,1981
22.18,caf,1982
24.15,caf,1983
23.39,caf,1984
20.54,caf,1985
16.56,caf,1986
16.23,caf,1987
15.27,caf,1988
16.84,caf,1989
14.76,caf,1990
12.54,caf,1991
11.5,caf,1992
13.99,caf,1993
23.99,caf,1994
20.39,caf,1995
17.32,caf,1996
19.52,caf,1997
17.01,caf,1998
11.15,caf,1999
20.73,caf,2000
17.16,caf,2001
16.3,caf,2002
13.5,caf,2003
13.75,caf,2004
12.73,caf,2005
14.19,caf,2006
14.11,caf,2007
11.01,caf,2008
9.526,caf,2009
10.59,caf,2010
11.85,caf,2011
13.91,tcd,1961
14.03,tcd,1962
12.95,tcd,1963
13.73,tcd,1964
13.5,tcd,1965
13.91,tcd,1966
14.36,tcd,1967
14.94,tcd,1968
13.21,tcd,1969
16.26,tcd,1970
15.91,tcd,1971
14.57,tcd,1972
15.73,tcd,1973
18.39,tcd,1974
14.4,tcd,1975
16.08,tcd,1976
15.35,tcd,1977
16.42,tcd,1978
17.78,tcd,1979
16.94,tcd,1980
15.1,tcd,1981
6.562,tcd,1982
16.42,tcd,1983
18.02,tcd,1984
11.91,tcd,1985
13.39,tcd,1986
15.45,tcd,1987
15.02,tcd,1988
13.78,tcd,1989
13.48,tcd,1990
11.95,tcd,1991
11.09,tcd,1992
13.32,tcd,1993
16.11,tcd,1994
21.93,tcd,1995
17.54,tcd,1996
18.54,tcd,1997
18.49,tcd,1998
18.32,tcd,1999
16.89,tcd,2000
14.67,tcd,2001
12.69,tcd,2002
24.63,tcd,2003
51.01,tcd,2004
61.0,tcd,2005
63.15,tcd,2006
54.8,tcd,2007
52.8,tcd,2008
40.64,tcd,2009
39.0,tcd,2010
12.04,chl,1961
11.92,chl,1962
12.26,chl,1963
12.61,chl,1964
13.61,chl,1965
14.81,chl,1966
14.27,chl,1967
13.98,chl,1968
16.46,chl,1969
14.61,chl,1970
11.03,chl,1971
9.822,chl,1972
13.65,chl,1973
20.38,chl,1974
25.44,chl,1975
25.12,chl,1976
20.62,chl,1977
20.58,chl,1978
23.28,chl,1979
22.82,chl,1980
16.42,chl,1981
19.37,chl,1982
24.01,chl,1983
24.23,chl,1984
28.15,chl,1985
29.09,chl,1986
30.13,chl,1987
34.25,chl,1988
35.39,chl,1989
33.99,chl,1990
32.4,chl,1991
29.81,chl,1992
26.62,chl,1993
28.24,chl,1994
29.3,chl,1995
27.28,chl,1996
27.08,chl,1997
26.3,chl,1998
29.6,chl,1999
29.29,chl,2000
30.87,chl,2001
