children_out_of_school_primary_female,geo,time
217000,bdi,1988
245500,bdi,1993
362100,bdi,1999
332300,bdi,2000
289700,bdi,2001
298400,bdi,2002
276400,bdi,2003
257100,bdi,2004
234800,bdi,2005
117000,bdi,2006
66250,bdi,2007
259100,khm,1997
221500,khm,1998
192600,khm,1999
146700,khm,2000
58680,khm,2003
54230,khm,2006
49450,khm,2007
54790,khm,2008
40420,khm,2010
28900,khm,2011
245500,cmr,1971
253400,cmr,1972
270600,cmr,1973
284300,cmr,1974
259800,cmr,1975
256900,cmr,1976
271500,cmr,1977
275100,cmr,1978
278400,cmr,1979
287000,cmr,1980
311900,cmr,1988
334600,cmr,1990
357800,cmr,1991
183100,cmr,2010
47510,can,1982
53090,can,1983
60030,can,1984
60010,can,1985
55300,can,1986
55180,can,1987
55380,can,1988
60100,can,1989
48560,can,1990
27290,can,1991
30750,can,1992
54120,can,1993
65200,can,1994
74610,can,1995
64040,can,1996
16490,can,1998
974,can,1999
2876,cpv,1981
3251,cpv,1982
4209,cpv,1983
2513,cpv,1984
2129,cpv,1985
1993,cpv,1986
1816,cpv,1987
560,cpv,1988
762,cpv,2001
685,cpv,2002
827,cpv,2003
716,cpv,2004
1183,cpv,2005
1617,cpv,2006
2111,cpv,2007
2593,cpv,2008
2696,cpv,2009
2464,cpv,2010
2413,cpv,2011
90400,caf,1971
90080,caf,1972
89070,caf,1973
100200,caf,1977
103400,caf,1978
104700,caf,1981
106500,caf,1982
111200,caf,1983
106200,caf,1986
128500,caf,1987
135700,caf,1988
138800,caf,1989
126400,caf,1990
136800,caf,1991
184400,caf,2005
187500,caf,2006
168500,caf,2007
141500,caf,2008
142200,caf,2009
135000,caf,2010
140400,caf,2011
270500,tcd,1975
282400,tcd,1977
364800,tcd,1988
417200,tcd,1997
398300,tcd,1998
390300,tcd,1999
382800,tcd,2000
378800,tcd,2001
367300,tcd,2002
364100,tcd,2003
367900,tcd,2011
40090,chl,2007
36490,chl,2008
47770,chl,2009
41310,chl,2010
3035000,chn,1992
3733000,chn,1993
4052000,chn,1994
3806000,chn,1995
2969000,chn,1996
1971000,chn,1997
605400,col,1986
476200,col,1991
117800,col,1998
77000,col,1999
69180,col,2000
114000,col,2001
163400,col,2002
74820,col,2005
95670,col,2006
116600,col,2007
134900,col,2008
