geo,malaria_cases_per_100000_reported,time
zmb,34040.0,1998
zmb,33110.0,1999
zmb,34470.0,2000
zmb,35990.0,2001
zmb,34590.0,2002
zmb,39270.0,2003
zmb,36190.0,2004
zmb,35910.0,2005
zmb,40450.0,2006
zwe,6318.0,1990
zwe,5390.0,1991
zwe,3799.0,1992
zwe,7753.0,1993
zwe,2803.0,1994
zwe,6461.0,1995
zwe,14130.0,1996
zwe,15170.0,1997
zwe,13900.0,1998
zwe,14410.0,1999
zwe,12120.0,2000
zwe,5333.0,2001
zwe,10480.0,2002
zwe,14070.0,2003
zwe,13940.0,2004
zwe,11410.0,2005
zwe,11610.0,2006
arg,5.095,1990
arg,2.431,1991
arg,1.92,1992
arg,2.233,1993
arg,2.756,1994
arg,3.057,1995
arg,5.807,1996
arg,1.659,1997
arg,0.939,1998
arg,0.6081,1999
arg,1.193,2000
arg,0.5768,2001
arg,0.3321,2002
arg,0.321,2003
arg,0.2997,2004
arg,0.6684,2005
arg,0.5341,2006
blz,1633.0,1990
blz,1737.0,1991
blz,2718.0,1992
blz,4245.0,1993
blz,4784.0,1994
blz,4396.0,1995
blz,3001.0,1996
blz,1774.0,1997
blz,1125.0,1998
blz,775.8,1999
blz,607.4,2000
blz,437.3,2001
blz,361.0,2002
blz,392.3,2004
blz,572.3,2005
blz,294.0,2006
bol,295.1,1990
bol,278.9,1991
bol,350.5,1992
bol,384.3,1993
bol,475.0,1994
bol,627.0,1995
bol,837.0,1996
bol,658.8,1997
bol,926.3,1998
bol,614.2,1999
bol,378.4,2000
bol,1448.0,2001
bol,1588.0,2002
bol,1792.0,2003
bol,1813.0,2004
bol,2200.0,2005
bol,2230.0,2006
bra,374.8,1990
bra,404.2,1991
bra,394.9,1992
bra,297.3,1993
bra,354.5,1994
bra,350.0,1995
bra,277.4,1996
bra,235.9,1997
bra,279.1,1998
bra,355.2,1999
bra,350.8,2000
bra,219.8,2001
bra,194.3,2002
bra,224.9,2003
bra,252.1,2004
bra,322.8,2005
bra,290.1,2006
col,285.3,1990
col,518.1,1991
col,508.1,1992
col,350.7,1993
col,338.6,1994
col,489.0,1995
col,349.0,1996
col,456.4,1997
col,460.0,1998
col,163.0,1999
col,258.2,2000
col,486.8,2001
col,455.0,2002
col,377.2,2003
col,263.7,2004
col,262.9,2005
col,263.6,2006
cri,37.42,1990
cri,103.8,1991
cri,215.2,1992
cri,152.1,1993
cri,131.1,1994
cri,129.9,1995
cri,153.8,1996
cri,128.9,1997
cri,137.4,1998
cri,104.1,1999
cri,47.83,2000
cri,33.95,2001
cri,24.92,2002
cri,17.19,2003
cri,30.31,2004
cri,81.83,2005
cri,66.0,2006
dom,4.88,1990
dom,5.07,1991
dom,9.21,1992
dom,12.78,1993
dom,21.23,1994
dom,22.56,1995
dom,17.33,1996
dom,9.825,1997
dom,23.73,1998
dom,41.74,1999
dom,13.9,2000
dom,11.68,2001
dom,14.34,2002
dom,14.12,2003
dom,25.26,2004
dom,40.52,2005
dom,36.66,2006
ecu,697.7,1990
ecu,565.4,1991
ecu,382.7,1992
ecu,427.3,1993
ecu,268.3,1994
ecu,159.1,1995
ecu,102.5,1996
ecu,138.9,1997
ecu,365.2,1998
ecu,721.8,1999
ecu,801.2,2000
ecu,873.6,2001
ecu,687.4,2002
ecu,407.7,2003
ecu,222.4,2004
ecu,130.5,2005
ecu,74.71,2006
slv,181.4,1990
slv,114.0,1991
slv,85.6,1992
slv,71.86,1993
slv,50.78,1994
slv,59.7,1995
slv,102.5,1996
slv,46.39,1997
slv,19.78,1998
slv,20.2,1999
slv,12.03,2000
slv,5.749,2001
slv,1.83,2002
slv,1.295,2003
slv,1.703,2004
slv,0.9897,2005
slv,0.6507,2006
guf,3323.0,1999
guf,2245.0,2000
guf,2241.0,2001
guf,2079.0,2002
guf,2037.0,2003
guf,1625.0,2004
guf,1777.0,2005
guf,2066.0,2006
gtm,468.3,1990
gtm,634.3,1991
gtm,616.9,1992
gtm,438.4,1993
gtm,225.6,1994
gtm,241.7,1995
gtm,198.0,1996
gtm,306.5,1997
gtm,445.1,1998
gtm,411.3,1999
gtm,474.7,2000
gtm,311.4,2001
gtm,300.9,2002
gtm,257.4,2003
gtm,233.5,2004
gtm,311.3,2005
gtm,238.7,2006
guy,3104.0,1990
guy,5779.0,1991
guy,5424.0,1992
guy,4514.0,1993
guy,5365.0,1994
guy,8026.0,1995
guy,4350.0,1997
guy,5596.0,1998
guy,3712.0,1999
guy,3270.0,2000
guy,3690.0,2001
guy,2974.0,2002
guy,3745.0,2003
guy,3906.0,2004
guy,5272.0,2005
guy,2841.0,2006
hti,67.6,1990
hti,351.7,1991
hti,181.9,1992
hti,11.31,1993
hti,300.9,1994
hti,236.5,1996
hti,416.1,1998
hti,14.19,1999
hti,197.1,2000
hti,112.8,2001
hti,109.2,2003
hti,118.1,2004
hti,234.3,2005
hti,346.6,2006
hnd,1086.0,1990
hnd,1459.0,1991
hnd,1371.0,1992
hnd,839.4,1993
hnd,958.2,1994
hnd,1067.0,1995
hnd,1307.0,1996
hnd,1131.0,1997
hnd,722.5,1998
hnd,769.8,1999
hnd,566.9,2000
hnd,382.1,2001
hnd,267.2,2002
hnd,214.9,2003
hnd,258.0,2004
hnd,234.2,2005
hnd,165.9,2006
jam,14.16,2006
mex,52.99,1990
mex,31.07,1991
mex,18.58,1992
mex,17.83,1993
mex,14.26,1994
mex,7.982,1995
mex,6.731,1996
mex,5.047,1997
mex,25.83,1998
mex,13.67,1999
mex,7.382,2000
mex,4.854,2001
mex,4.545,2002
mex,3.725,2003
mex,3.296,2004
mex,2.846,2005
nic,864.2,1990
nic,652.1,1991
nic,618.2,1992
nic,988.7,1993
nic,909.6,1994
nic,1489.0,1995
nic,1588.0,1996
nic,882.0,1997
nic,685.8,1998
nic,769.2,1999
nic,470.1,2000
nic,202.2,2001
nic,146.4,2002
nic,126.1,2003
nic,127.9,2004
nic,121.6,2005
nic,56.29,2006
pan,15.8,1990
pan,45.31,1991
pan,28.95,1992
pan,18.76,1993
pan,26.14,1994
pan,27.34,1995
pan,17.47,1996
pan,18.16,1997
pan,36.62,1998
pan,32.35,1999
pan,35.12,2000
pan,30.87,2001
pan,71.93,2002
pan,143.6,2003
pan,160.5,2004
pan,113.5,2005
pan,50.58,2006
pry,68.56,1990
pry,68.45,1991
pry,28.85,1992
pry,9.523,1993
pry,12.43,1994
pry,18.71,1995
pry,12.98,1996
pry,11.3,1997
pry,40.77,1998
pry,189.9,1999
pry,128.1,2000
pry,49.63,2001
pry,49.87,2002
pry,24.5,2003
pry,11.98,2004
pry,6.368,2005
pry,13.68,2006
per,132.7,1990
per,151.8,1991
per,242.7,1992
per,413.1,1993
per,520.2,1994
per,807.4,1995
per,858.6,1996
per,746.5,1997
per,989.1,1998
per,657.8,1999
per,271.7,2000
per,305.7,2001
per,325.8,2002
per,298.3,2003
per,347.1,2004
sur,399.7,1990
sur,367.8,1991
sur,344.4,1992
sur,1140.0,1994
sur,1588.0,1995
sur,3968.0,1996
sur,2672.0,1997
sur,2899.0,1998
sur,3224.0,1999
sur,3009.0,2000
sur,3879.0,2001
sur,2952.0,2002
sur,3282.0,2003
sur,1821.0,2004
sur,1931.0,2005
sur,797.5,2006
ven,237.8,1990
ven,215.0,1991
ven,103.6,1992
ven,59.3,1993
ven,63.51,1994
ven,74.15,1995
ven,83.65,1996
ven,97.35,1997
ven,93.13,1998
ven,79.73,1999
ven,121.9,2000
ven,118.6,2001
ven,116.4,2002
ven,123.0,2003
ven,177.7,2004
ven,168.6,2005
ven,136.3,2006
afg,2508.0,1990
afg,2201.0,1991
afg,512.1,1994
afg,1601.0,1996
afg,1041.0,1997
afg,1452.0,1998
afg,1701.0,2001
afg,2822.0,2002
afg,2533.0,2003
afg,1086.0,2004
afg,980.9,2005
afg,1041.0,2006
dji,577.4,1990
dji,1266.0,1991
dji,1261.0,1992
dji,692.8,1993
dji,1005.0,1994
dji,958.4,1995
dji,950.8,1996
dji,650.2,1997
dji,862.1,1998
dji,865.5,1999
dji,639.5,2000
dji,577.0,2001
dji,658.3,2002
dji,648.3,2003
dji,271.0,2004
dji,322.1,2005
dji,941.7,2006
egy,0.136,1990
egy,0.04265,1991
egy,0.02789,1992
egy,0.02909,1993
egy,0.8851,1994
egy,0.5309,1995
egy,0.04046,1996
egy,0.01748,1997
egy,0.02027,1998
egy,0.09339,1999
egy,0.02555,2000
egy,0.01623,2001
egy,0.01449,2002
egy,0.06404,2003
egy,0.0601,2004
egy,0.03157,2005
egy,0.0391,2006
irn,136.7,1990
irn,166.1,1991
irn,130.0,1992
irn,107.2,1993
irn,83.39,1994
irn,108.6,1995
irn,89.35,1996
irn,60.52,1997
irn,50.93,1998
irn,35.32,1999
irn,29.82,2000
irn,28.91,2001
irn,23.09,2002
irn,34.65,2003
irn,20.13,2004
irn,27.32,2005
irn,22.64,2006
irq,21.19,1990
irq,9.251,1991
irq,29.25,1992
irq,245.6,1993
irq,468.7,1994
irq,456.3,1995
irq,223.3,1996
irq,60.66,1997
irq,40.84,1998
irq,16.99,1999
irq,7.425,2000
irq,4.925,2001
irq,3.62,2002
irq,1.29,2003
irq,0.5645,2004
irq,0.1679,2005
irq,0.08419,2006
mar,3.374,1990
mar,1.955,1991
mar,1.575,1992
mar,0.7577,1993
mar,0.776,1994
mar,0.731,1995
mar,0.373,1996
mar,0.4507,1997
mar,0.4305,1998
mar,0.2107,1999
mar,0.2047,2000
mar,0.2023,2001
mar,0.3628,2002
mar,0.2448,2003
mar,0.1857,2004
mar,0.3279,2005
mar,0.269,2006
omn,1775.0,1990
omn,1009.0,1991
omn,749.6,1992
omn,824.8,1993
omn,341.8,1994
omn,82.93,1995
omn,56.77,1996
omn,44.98,1997
omn,46.94,1998
omn,38.03,1999
omn,28.89,2000
omn,26.17,2001
omn,24.14,2002
omn,30.09,2003
omn,24.81,2004
omn,21.7,2005
omn,17.4,2006
pak,70.53,1990
pak,57.33,1991
pak,83.16,1992
pak,76.01,1993
pak,87.05,1994
pak,87.53,1995
pak,74.84,1996
pak,57.65,1997
pak,53.33,1998
pak,64.99,1999
pak,57.17,2000
pak,85.07,2001
pak,71.76,2002
pak,81.97,2003
pak,81.58,2004
pak,80.86,2005
pak,77.61,2006
sau,96.37,1990
sau,59.52,1991
sau,114.5,1992
sau,105.1,1993
sau,56.19,1994
sau,102.7,1995
sau,112.3,1996
sau,107.5,1997
sau,206.9,1998
sau,64.99,1999
sau,31.76,2000
sau,14.39,2001
sau,11.92,2002
sau,7.669,2003
sau,5.346,2004
sau,4.485,2005
sau,5.286,2006
som,47.82,1993
som,132.4,1999
som,146.9,2000
som,142.5,2001
som,1293.0,2002
som,302.4,2003
som,461.8,2004
som,348.1,2005
som,583.2,2006
sdn,28950.0,1990
sdn,26140.0,1991
sdn,34200.0,1992
sdn,35250.0,1993
sdn,29790.0,1994
sdn,21520.0,1995
sdn,15180.0,1996
sdn,13100.0,1997
sdn,15900.0,1998
sdn,12930.0,1999
sdn,12990.0,2000
sdn,12400.0,2001
sdn,10120.0,2002
sdn,10530.0,2003
sdn,7192.0,2004
sdn,7733.0,2005
sdn,5925.0,2006
syr,0.8411,1990
syr,0.4122,1991
syr,3.382,1992
syr,6.969,1993
syr,4.095,1994
syr,4.285,1995
syr,2.303,1996
syr,0.8474,1997
syr,0.3819,1998
syr,0.2671,1999
syr,0.2544,2000
syr,0.4661,2001
syr,0.1551,2002
syr,0.1341,2003
syr,0.07069,2004
syr,0.1482,2005
syr,0.1752,2006
yem,92.45,1990
yem,98.55,1991
yem,216.3,1992
yem,219.7,1993
yem,249.7,1994
yem,3221.0,1995
yem,2585.0,1996
yem,8383.0,1997
yem,15760.0,1999
yem,7670.0,2000
yem,575.3,2001
yem,970.0,2002
yem,878.0,2003
yem,774.3,2004
yem,950.7,2005
yem,931.2,2006
arm,0.0,1990
arm,0.0,1991
arm,0.0,1992
arm,0.0,1993
arm,5.952,1994
arm,15.56,1995
arm,10.92,1996
arm,26.76,1997
arm,37.06,1998
arm,19.87,1999
arm,4.575,2000
arm,2.578,2001
arm,1.705,2002
arm,0.9547,2003
arm,1.553,2004
arm,0.232,2005
arm,0.0,2006
aze,0.3328,1990
aze,1.541,1991
aze,0.3623,1992
aze,0.3037,1993
aze,8.675,1994
aze,36.45,1995
aze,166.7,1996
aze,124.5,1997
aze,64.45,1998
aze,28.62,1999
aze,18.74,2000
aze,12.92,2001
aze,6.149,2002
aze,5.831,2003
aze,4.647,2004
aze,2.898,2005
aze,1.701,2006
geo,0.01832,1990
geo,0.03695,1991
geo,0.01876,1992
geo,0.0,1993
geo,0.01951,1994
geo,0.01987,1995
geo,0.1413,1996
geo,0.02046,1997
geo,0.3314,1998
geo,1.068,1999
geo,5.191,2000
geo,9.409,2001
geo,10.23,2002
geo,6.902,2003
geo,5.667,2004
geo,3.465,2005
geo,1.353,2006
kgz,0.02276,1990
kgz,0.02251,1991
kgz,0.04466,1992
kgz,0.0,1993
kgz,0.132,1994
kgz,0.06534,1995
kgz,0.5589,1996
kgz,0.2752,1997
kgz,0.2291,1998
kgz,0.1025,1999
kgz,0.2426,2000
kgz,0.5594,2001
kgz,54.26,2002
kgz,9.168,2003
kgz,1.805,2004
kgz,4.343,2005
kgz,6.085,2006
rus,0.1453,1990
rus,0.1134,1991
rus,0.1072,1992
rus,0.1399,1993
rus,0.2244,1994
rus,0.285,1995
rus,0.4103,1996
rus,0.559,1997
rus,0.7287,1998
rus,0.5354,1999
rus,0.5393,2000
rus,0.6116,2001
rus,0.4392,2002
tjk,3.3,1990
tjk,5.426,1991
tjk,7.321,1992
tjk,11.04,1993
tjk,42.37,1994
tjk,105.7,1995
tjk,282.9,1996
tjk,501.8,1997
tjk,321.5,1998
tjk,221.3,1999
tjk,308.8,2000
tjk,182.3,2001
tjk,97.5,2002
tjk,84.94,2003
tjk,27.89,2004
tjk,21.34,2005
tjk,11.69,2006
tur,15.14,1990
tur,20.92,1991
tur,31.4,1992
tur,77.97,1993
tur,136.8,1994
tur,130.9,1995
tur,95.37,1996
tur,54.6,1997
tur,55.79,1998
tur,31.23,1999
tur,16.77,2000
tur,15.62,2001
tur,14.56,2002
tur,12.96,2003
tur,7.343,2004
tur,2.812,2005
tur,1.038,2006
tkm,0.02726,1990
tkm,0.4505,1991
tkm,0.2831,1992
tkm,0.07506,1993
tkm,0.2195,1994
tkm,0.2385,1995
tkm,0.3279,1996
tkm,0.323,1997
tkm,3.121,1998
tkm,1.102,1999
tkm,0.5331,2000
tkm,0.1095,2001
tkm,0.1728,2002
tkm,0.149,2003
tkm,0.06295,2004
tkm,0.02069,2005
tkm,0.0,2006
uzb,0.1365,1990
uzb,0.05712,1991
uzb,0.1162,1992
uzb,0.1636,1993
uzb,0.09342,1994
uzb,0.1178,1995
uzb,0.2187,1996
uzb,0.2195,1997
uzb,0.3079,1998
uzb,0.3487,1999
uzb,0.5096,2000
uzb,0.307,2001
uzb,0.2907,2002
uzb,0.2865,2003
uzb,0.2518,2004
