geo,infectious_tb_detection_rate_percent_dots_only,time
ton,196,2002
ton,95,2003
ton,70,2004
ton,98,2005
ton,127,2006
ton,129,2007
tun,94,1999
tun,101,2000
tun,103,2001
tun,90,2002
tun,85,2003
tun,88,2004
tun,83,2005
tun,80,2006
tun,78,2007
tur,5,2003
tur,3,2004
tur,3,2005
tur,81,2006
tur,76,2007
tkm,17,2000
tkm,36,2001
tkm,42,2002
tkm,43,2003
tkm,33,2004
tkm,44,2005
tkm,54,2006
tkm,84,2007
tuv,60,2005
tuv,49,2006
tuv,152,2007
uga,60,1997
uga,60,1998
uga,60,1999
uga,51,2000
uga,47,2001
uga,47,2002
uga,47,2003
uga,48,2004
uga,47,2005
uga,48,2006
uga,51,2007
ukr,70,2006
ukr,55,2007
are,27,2000
are,25,2001
are,20,2002
are,27,2003
are,19,2004
are,21,2005
are,17,2006
are,18,2007
gbr,0,2005
gbr,0,2007
tza,61,1995
tza,60,1996
tza,57,1997
tza,58,1998
tza,56,1999
tza,52,2000
tza,51,2001
tza,48,2002
tza,49,2003
tza,51,2004
tza,50,2005
tza,50,2006
tza,51,2007
vir,73,1996
usa,85,1995
usa,84,1996
usa,84,1997
usa,85,1998
usa,86,1999
usa,84,2000
usa,85,2001
usa,85,2002
usa,86,2003
usa,87,2004
usa,86,2005
usa,89,2006
usa,87,2007
ury,76,1995
ury,94,1996
ury,94,1997
ury,84,1998
ury,88,1999
ury,79,2000
ury,79,2001
ury,72,2002
ury,89,2003
ury,90,2004
ury,87,2005
ury,76,2006
ury,95,2007
uzb,0,1998
uzb,2,1999
uzb,4,2000
uzb,7,2001
uzb,22,2002
uzb,21,2003
uzb,29,2004
uzb,38,2005
uzb,51,2006
uzb,45,2007
vut,28,1999
vut,31,2000
vut,58,2001
vut,38,2002
vut,49,2003
vut,73,2004
vut,44,2005
vut,53,2006
vut,52,2007
ven,73,1995
ven,75,1996
ven,75,1997
ven,78,1998
ven,82,1999
ven,78,2000
ven,68,2001
ven,66,2002
ven,81,2003
ven,79,2004
ven,75,2005
ven,72,2006
ven,68,2007
vnm,30,1995
vnm,59,1996
vnm,78,1997
vnm,83,1998
vnm,83,1999
vnm,82,2000
vnm,84,2001
vnm,87,2002
vnm,86,2003
vnm,89,2004
vnm,84,2005
vnm,86,2006
vnm,82,2007
wlf,90,2001
wlf,90,2002
wlf,90,2003
wlf,90,2005
wlf,90,2007
pse,15,2000
pse,12,2001
pse,6,2003
pse,2,2004
pse,3,2005
pse,7,2006
pse,5,2007
yem,1,1995
yem,8,1996
yem,29,1997
yem,37,1998
yem,51,1999
yem,55,2000
yem,52,2001
yem,48,2002
yem,45,2003
yem,41,2004
yem,41,2005
yem,42,2006
yem,46,2007
zmb,45,2002
zmb,69,2003
zmb,65,2004
zmb,58,2005
zmb,58,2006
zmb,58,2007
zwe,55,1998
zwe,49,1999
zwe,45,2000
zwe,44,2001
zwe,42,2002
zwe,36,2003
zwe,36,2004
zwe,32,2005
zwe,32,2006
zwe,27,2007
