geo,government_health_spending_per_person_us,time
caf,4.13,2000
caf,3.818,2001
caf,4.393,2002
caf,4.721,2003
caf,4.904,2004
caf,4.425,2005
caf,4.839,2006
caf,5.718,2007
caf,6.155,2008
caf,6.247,2009
caf,6.437,2010
tcd,4.142,1995
tcd,4.546,1996
tcd,4.044,1997
tcd,3.765,1998
tcd,3.843,1999
tcd,4.493,2000
tcd,4.809,2001
tcd,5.586,2002
tcd,8.094,2003
tcd,8.451,2004
tcd,10.53,2005
tcd,7.83,2006
tcd,6.596,2007
tcd,6.044,2008
tcd,5.608,2009
tcd,7.653,2010
chl,127.4,1995
chl,141.7,1996
chl,155.8,1997
chl,162.7,1998
chl,157.6,1999
chl,168.6,2000
chl,159.3,2001
chl,156.9,2002
chl,134.2,2003
chl,167.3,2004
chl,201.1,2005
chl,249.3,2006
chl,295.1,2007
chl,336.9,2008
chl,382.1,2009
chl,456.4,2010
chn,10.68,1995
chn,12.32,1996
chn,13.71,1997
chn,14.79,1998
chn,15.78,1999
chn,16.62,2000
chn,16.81,2001
chn,19.38,2002
chn,22.15,2003
chn,26.63,2004
chn,31.16,2005
chn,37.97,2006
chn,53.73,2007
chn,78.22,2008
chn,100.4,2009
chn,118.4,2010
col,109.3,1995
col,149.1,1996
col,175.4,1997
col,171.6,1998
col,157.2,1999
col,130.5,2000
col,125.2,2001
col,123.1,2002
col,122.5,2003
col,145.2,2004
col,177.7,2005
col,193.2,2006
col,239.2,2007
col,266.2,2008
col,278.4,2009
col,343.2,2010
com,13.51,1995
com,12.34,1996
com,10.54,1997
com,8.818,1998
com,7.981,1999
com,5.466,2000
com,4.171,2001
com,6.946,2002
com,9.463,2003
com,11.83,2004
com,13.45,2005
com,15.41,2006
com,19.1,2007
com,23.22,2008
com,12.6,2009
com,22.33,2010
cod,0.19,1995
cod,0.14,1996
cod,0.27,1997
cod,0.23,1998
cod,0.6592,1999
cod,0.5435,2000
cod,0.31,2001
cod,0.27,2002
cod,1.156,2003
cod,1.416,2004
cod,2.195,2005
cod,2.782,2006
cod,3.697,2007
cod,6.455,2008
cod,7.48,2009
cod,6.699,2010
cog,14.49,1995
cog,15.52,1996
cog,13.99,1997
cog,14.04,1998
cog,13.51,1999
cog,12.51,2000
cog,11.56,2001
cog,11.78,2002
cog,13.46,2003
cog,18.42,2004
cog,24.65,2005
cog,31.74,2006
cog,34.68,2007
cog,38.7,2008
cog,31.8,2009
cog,33.79,2010
cok,244.4,1995
cok,223.4,1996
cok,171.0,1997
cok,160.7,1998
cok,144.1,1999
cok,158.0,2000
cok,229.5,2001
cok,208.0,2002
cok,295.7,2003
cok,327.7,2004
cok,414.1,2005
cok,358.6,2006
cok,427.1,2007
cok,420.0,2008
cok,407.7,2009
cok,505.5,2010
cri,168.3,1995
cri,168.7,1996
cri,163.2,1997
cri,179.5,1998
cri,194.6,1999
cri,204.0,2000
cri,220.1,2001
cri,236.1,2002
cri,242.5,2003
cri,246.3,2004
cri,252.8,2005
cri,282.8,2006
cri,352.7,2007
cri,413.1,2008
cri,449.4,2009
cri,552.6,2010
civ,8.557,1995
civ,10.58,1996
civ,10.96,1997
civ,10.82,1998
civ,9.902,1999
civ,8.348,2000
civ,5.979,2001
civ,6.93,2002
civ,7.682,2003
civ,9.354,2004
civ,7.744,2005
civ,8.509,2006
civ,13.64,2007
civ,17.06,2008
civ,12.73,2009
civ,12.9,2010
hrv,279.6,1995
hrv,323.3,1996
hrv,254.9,1997
hrv,323.9,1998
hrv,324.9,1999
hrv,324.8,2000
hrv,312.9,2001
hrv,299.9,2002
hrv,409.2,2003
hrv,497.7,2004
hrv,606.4,2005
hrv,679.8,2006
hrv,877.3,2007
hrv,1039.0,2008
hrv,943.7,2009
hrv,905.3,2010
cub,100.9,1995
cub,108.0,1996
cub,114.3,1997
cub,121.0,1998
cub,139.2,1999
cub,151.1,2000
cub,160.9,2001
cub,171.7,2002
cub,180.6,2003
cub,185.8,2004
cub,281.8,2005
cub,332.2,2006
cub,556.6,2007
cub,557.0,2008
cub,623.3,2009
cub,555.3,2010
cyp,253.1,1995
cyp,257.4,1996
cyp,252.4,1997
cyp,320.1,1998
cyp,333.3,1999
cyp,309.9,2000
cyp,328.8,2001
cyp,398.5,2002
cyp,557.3,2003
cyp,587.9,2004
cyp,588.6,2005
cyp,622.0,2006
cyp,713.1,2007
cyp,796.1,2008
cyp,745.1,2009
cyp,707.5,2010
cze,340.3,1995
cze,365.7,1996
cze,333.5,1997
cze,360.0,1998
cze,347.3,1999
cze,326.4,2000
cze,363.0,2001
cze,472.8,2002
cze,598.2,2003
cze,687.2,2004
cze,769.4,2005
cze,839.0,2006
cze,971.5,2007
cze,1217.0,2008
cze,1255.0,2009
cze,1238.0,2010
dnk,2333.0,1995
dnk,2372.0,1996
dnk,2163.0,1997
dnk,2192.0,1998
dnk,2457.0,1999
dnk,2188.0,2000
dnk,2295.0,2001
dnk,2550.0,2002
dnk,3172.0,2003
dnk,3693.0,2004
dnk,3924.0,2005
dnk,4239.0,2006
dnk,4800.0,2007
dnk,5390.0,2008
dnk,5487.0,2009
dnk,5465.0,2010
dji,19.2,1995
dji,17.88,1996
dji,20.92,1997
dji,26.05,1998
dji,33.19,1999
dji,29.64,2000
dji,26.87,2001
dji,27.39,2002
dji,33.56,2003
dji,29.27,2004
dji,43.23,2005
dji,43.91,2006
dji,53.94,2007
dji,56.08,2008
dji,65.45,2009
dji,59.84,2010
dma,130.6,1995
dma,140.1,1996
dma,151.6,1997
dma,152.5,1998
dma,158.7,1999
dma,159.5,2000
dma,160.0,2001
dma,160.3,2002
dma,160.6,2003
dma,161.3,2004
dma,162.2,2005
dma,179.2,2006
dma,192.8,2007
dma,204.2,2008
dma,223.2,2009
dma,292.0,2010
dom,22.64,1995
dom,26.1,1996
dom,34.96,1997
dom,44.06,1998
dom,50.74,1999
dom,60.36,2000
dom,54.1,2001
dom,57.54,2002
dom,43.84,2003
dom,36.15,2004
dom,62.66,2005
dom,78.01,2006
dom,83.06,2007
dom,99.71,2008
dom,115.4,2009
dom,140.2,2010
ecu,40.36,1995
ecu,47.39,1996
ecu,47.11,1997
ecu,32.5,1998
ecu,25.57,1999
ecu,16.74,2000
ecu,26.99,2001
ecu,36.25,2002
ecu,32.11,2003
ecu,37.55,2004
ecu,40.52,2005
ecu,48.83,2006
ecu,55.45,2007
ecu,71.64,2008
ecu,111.9,2009
ecu,122.1,2010
egy,17.41,1995
egy,18.96,1996
egy,22.66,1997
egy,26.28,1998
egy,29.38,1999
egy,31.81,2000
egy,30.67,2001
egy,29.64,2002
egy,23.45,2003
egy,23.81,2004
egy,26.79,2005
egy,33.25,2006
egy,34.88,2007
egy,42.71,2008
egy,44.87,2009
egy,46.08,2010
slv,40.71,1995
slv,55.34,1996
slv,59.89,1997
slv,71.64,1998
slv,72.91,1999
slv,79.83,2000
slv,82.28,2001
slv,85.5,2002
slv,86.54,2003
slv,93.37,2004
slv,106.0,2005
slv,125.8,2006
slv,122.3,2007
slv,128.3,2008
slv,137.3,2009
slv,146.1,2010
gnq,12.45,1995
gnq,13.89,1996
gnq,21.08,1997
gnq,23.21,1998
gnq,18.22,1999
gnq,21.5,2000
gnq,38.62,2001
gnq,114.0,2002
gnq,82.74,2003
gnq,108.2,2004
gnq,135.0,2005
gnq,184.9,2006
gnq,259.7,2007
gnq,418.4,2008
gnq,611.7,2009
gnq,680.5,2010
eri,4.04,1995
eri,2.892,1996
eri,3.839,1997
eri,4.026,1998
eri,3.885,1999
eri,4.328,2000
eri,4.829,2001
eri,3.677,2002
eri,3.634,2003
eri,3.781,2004
eri,3.601,2005
eri,3.833,2006
eri,4.093,2007
eri,5.388,2008
eri,5.091,2009
eri,5.742,2010
est,148.8,1995
est,193.8,1996
est,198.6,1997
est,192.5,1998
est,196.4,1999
est,169.4,2000
est,174.3,2001
est,200.9,2002
est,279.0,2003
est,345.3,2004
est,397.6,2005
est,459.1,2006
est,638.9,2007
est,836.0,2008
est,757.9,2009
est,671.4,2010
eth,1.599,1995
eth,1.611,1996
eth,1.8,1997
eth,1.987,1998
eth,2.101,1999
eth,2.848,2000
eth,3.23,2001
eth,2.865,2002
eth,3.43,2003
eth,3.427,2004
eth,4.143,2005
eth,4.606,2006
eth,6.696,2007
eth,7.287,2008
eth,8.327,2009
eth,8.414,2010
fji,62.53,1995
fji,71.74,1996
fji,76.34,1997
fji,53.95,1998
fji,60.34,1999
fji,67.12,2000
fji,53.55,2001
fji,64.43,2002
fji,76.5,2003
fji,96.15,2004
fji,107.3,2005
fji,112.9,2006
fji,113.3,2007
fji,115.5,2008
fji,101.5,2009
fji,108.2,2010
fin,1441.0,1995
fin,1441.0,1996
fin,1331.0,1997
fin,1341.0,1998
fin,1329.0,1999
fin,1210.0,2000
fin,1284.0,2001
fin,1471.0,2002
fin,1915.0,2003
fin,2226.0,2004
fin,2372.0,2005
fin,2466.0,2006
fin,2784.0,2007
fin,3167.0,2008
fin,3047.0,2009
fin,2990.0,2010
fra,2183.0,1995
fra,2178.0,1996
fra,1940.0,1997
fra,1974.0,1998
fra,1948.0,1999
fra,1749.0,2000
fra,1774.0,2001
fra,1983.0,2002
fra,2493.0,2003
fra,2862.0,2004
fra,2984.0,2005
fra,3108.0,2006
fra,3512.0,2007
fra,3839.0,2008
fra,3772.0,2009
fra,3652.0,2010
gab,51.61,1995
gab,60.49,1996
gab,46.83,1997
gab,53.99,1998
gab,41.15,1999
gab,42.96,2000
gab,44.82,2001
gab,44.41,2002
gab,67.2,2003
gab,73.18,2004
gab,69.44,2005
gab,81.45,2006
gab,102.5,2007
gab,115.1,2008
gab,127.3,2009
gab,159.9,2010
gmb,6.184,1995
gmb,5.59,1996
gmb,5.29,1997
gmb,6.975,1998
gmb,6.892,1999
gmb,6.344,2000
gmb,6.806,2001
gmb,5.914,2002
gmb,7.623,2003
gmb,9.966,2004
gmb,10.4,2005
gmb,10.94,2006
gmb,10.36,2007
gmb,12.66,2008
gmb,14.31,2009
gmb,13.28,2010
geo,1.513,1995
geo,5.364,1996
geo,10.63,1997
geo,8.883,1998
geo,6.646,1999
geo,7.607,2000
geo,9.539,2001
geo,10.28,2002
geo,10.98,2003
geo,14.83,2004
geo,23.61,2005
geo,30.89,2006
geo,33.39,2007
geo,51.83,2008
geo,55.89,2009
geo,64.2,2010
deu,2544.0,1995
deu,2542.0,1996
deu,2177.0,1997
deu,2184.0,1998
deu,2147.0,1999
deu,1898.0,2000
deu,1903.0,2001
deu,2062.0,2002
deu,2517.0,2003
deu,2706.0,2004
deu,2778.0,2005
deu,2864.0,2006
deu,3233.0,2007
deu,3612.0,2008
deu,3630.0,2009
deu,3598.0,2010
gha,11.46,1995
gha,11.69,1996
gha,11.19,1997
gha,11.85,1998
gha,10.29,1999
gha,6.001,2000
gha,8.646,2001
gha,7.241,2002
gha,9.209,2003
gha,15.98,2004
gha,23.1,2005
gha,27.11,2006
gha,40.89,2007
gha,39.76,2008
gha,30.89,2009
gha,39.88,2010
grc,553.7,1995
grc,589.1,1996
grc,562.2,1997
grc,549.0,1998
grc,594.9,1999
grc,550.4,2000
grc,640.0,2001
grc,707.8,2002
grc,942.7,2003
grc,1067.0,2004
grc,1256.0,2005
grc,1420.0,2006
grc,1616.0,2007
grc,1845.0,2008
grc,1859.0,2009
grc,1621.0,2010
grd,82.93,1995
grd,88.27,1996
grd,95.31,1997
grd,106.1,1998
grd,138.9,1999
grd,176.6,2000
grd,230.9,2001
grd,186.8,2002
grd,176.5,2003
grd,157.6,2004
grd,196.8,2005
grd,216.9,2006
grd,212.1,2007
grd,213.9,2008
grd,227.3,2009
grd,197.5,2010
gtm,19.32,1995
gtm,18.97,1996
gtm,23.69,1997
gtm,35.44,1998
gtm,39.04,1999
gtm,37.67,2000
gtm,38.81,2001
gtm,38.62,2002
gtm,42.33,2003
gtm,42.07,2004
gtm,45.99,2005
gtm,56.46,2006
gtm,61.38,2007
gtm,68.54,2008
gtm,68.81,2009
gtm,68.65,2010
gin,5.535,1995
gin,5.239,1996
gin,5.335,1997
gin,4.196,1998
gin,4.351,1999
gin,3.934,2000
gin,4.307,2001
gin,4.564,2002
gin,5.232,2003
gin,3.705,2004
gin,1.833,2005
gin,2.158,2006
gin,1.825,2007
gin,3.603,2008
gin,2.057,2009
gin,2.597,2010
gnb,6.313,1995
gnb,6.149,1996
gnb,5.369,1997
gnb,3.818,1998
gnb,2.691,1999
gnb,1.739,2000
gnb,1.491,2001
gnb,3.963,2002
gnb,4.696,2003
gnb,3.388,2004
gnb,3.741,2005
gnb,3.647,2006
gnb,4.443,2007
gnb,5.072,2008
gnb,5.085,2009
gnb,4.702,2010
guy,32.89,1995
guy,36.16,1996
guy,40.9,1997
guy,39.36,1998
guy,33.94,1999
guy,44.75,2000
guy,43.43,2001
guy,46.06,2002
guy,44.22,2003
guy,58.84,2004
guy,66.64,2005
guy,76.75,2006
guy,69.84,2007
guy,139.4,2008
guy,144.4,2009
guy,135.6,2010
hti,9.241,1995
hti,9.087,1996
hti,9.681,1997
hti,9.152,1998
hti,8.166,1999
hti,7.119,2000
hti,5.876,2001
hti,4.293,2002
hti,3.02,2003
hti,4.16,2004
hti,4.171,2005
hti,6.978,2006
hti,8.244,2007
hti,8.924,2008
hti,8.73,2009
hti,9.953,2010
hnd,20.36,1995
hnd,17.59,1996
hnd,19.18,1997
hnd,25.81,1998
hnd,25.85,1999
hnd,41.53,2000
hnd,43.6,2001
hnd,47.4,2002
hnd,58.97,2003
hnd,55.35,2004
hnd,53.61,2005
hnd,54.28,2006
hnd,62.84,2007
hnd,70.82,2008
hnd,89.17,2009
hun,271.4,1995
hun,257.3,1996
hun,251.0,1997
hun,250.6,1998
hun,249.8,1999
hun,230.6,2000
hun,258.5,2001
hun,348.3,2002
hun,502.4,2003
hun,588.2,2004
hun,657.4,2005
hun,658.6,2006
hun,719.6,2007
hun,794.0,2008
hun,667.2,2009
hun,653.8,2010
isl,1867.0,1995
isl,1901.0,1996
isl,2250.0,1997
isl,2252.0,1998
isl,2675.0,1999
isl,2473.0,2000
isl,2176.0,2001
isl,2658.0,2002
isl,3301.0,2003
isl,3715.0,2004
isl,4347.0,2005
isl,4236.0,2006
isl,5121.0,2007
isl,4117.0,2008
isl,3039.0,2009
isl,3004.0,2010
ind,4.098,1995
ind,4.075,1996
ind,4.611,1997
ind,4.711,1998
ind,5.098,1999
ind,5.082,2000
ind,4.994,2001
ind,4.881,2002
ind,5.39,2003
ind,6.006,2004
ind,7.32,2005
ind,8.21,2006
ind,10.42,2007
ind,11.92,2008
ind,13.42,2009
ind,15.82,2010
idn,7.075,1995
idn,8.17,1996
idn,7.121,1997
idn,3.258,1998
idn,5.247,1999
idn,5.47,2000
idn,7.154,2001
idn,7.611,2002
idn,10.74,2003
idn,10.69,2004
idn,11.48,2005
