geo,malaria_deaths_per_100000_reported,time
mwi,38.33,2005
mwi,52.55,2006
mli,5.994,1999
mli,7.477,2000
mli,5.457,2001
mli,7.788,2002
mli,11.98,2003
mli,8.984,2004
mli,11.07,2005
mli,15.99,2006
mrt,11.52,1998
mrt,21.06,1999
mrt,19.13,2000
mrt,12.75,2001
mrt,3.675,2002
mrt,2.201,2006
moz,5.176,1998
moz,6.701,1999
moz,7.535,2000
moz,18.22,2001
moz,22.02,2002
moz,17.79,2003
moz,20.67,2004
moz,20.5,2005
moz,24.04,2006
nam,15.09,1995
nam,27.52,1996
nam,31.23,1997
nam,22.47,1998
nam,28.84,1999
nam,48.84,2000
nam,90.33,2001
nam,77.44,2002
nam,56.18,2003
nam,59.43,2004
nam,65.6,2005
nam,27.9,2006
ner,10.2,1997
ner,17.61,1998
ner,20.17,1999
ner,9.071,2000
ner,34.86,2001
ner,20.38,2002
ner,25.35,2003
ner,10.79,2004
ner,75.07,2005
ner,18.71,2006
nga,2.418,1990
nga,2.002,1991
nga,1.067,1992
nga,0.6892,1993
nga,1.591,1994
nga,2.998,1995
nga,4.259,1996
nga,3.996,1997
nga,5.236,1998
nga,3.392,1999
nga,4.542,2000
nga,3.372,2001
nga,3.116,2002
nga,3.968,2003
nga,4.371,2004
nga,4.594,2005
nga,4.551,2006
rwa,39.0,1998
rwa,24.56,1999
rwa,32.75,2000
rwa,50.42,2001
rwa,36.52,2002
rwa,30.37,2003
rwa,26.13,2004
rwa,28.02,2005
rwa,24.8,2006
stp,113.9,1998
stp,173.9,2001
stp,221.2,2002
stp,130.8,2003
stp,111.9,2004
stp,55.69,2005
stp,16.76,2006
sen,12.62,1997
sen,10.5,1998
sen,12.27,1999
sen,12.94,2000
sen,14.28,2001
sen,11.26,2002
sen,14.33,2003
sen,13.28,2004
sen,13.48,2005
sen,13.9,2006
sle,5.953,2001
sle,8.692,2002
sle,2.169,2003
sle,1.818,2004
sle,0.6444,2005
sle,1.219,2006
zaf,0.09569,1990
zaf,0.05068,1991
zaf,0.03638,1992
zaf,0.1139,1993
zaf,0.0296,1994
zaf,0.106,1995
zaf,0.3844,1996
zaf,0.2405,1997
zaf,0.4499,1998
zaf,0.9077,1999
zaf,1.009,2000
zaf,0.2586,2001
zaf,0.2061,2002
zaf,0.3016,2003
zaf,0.1872,2004
zaf,0.1335,2005
zaf,0.1802,2006
swz,10.69,1998
swz,14.33,1999
swz,5.118,2001
swz,4.866,2002
swz,2.721,2003
swz,2.513,2004
swz,1.512,2005
swz,1.323,2006
tgo,9.438,1998
tgo,14.67,1999
tgo,16.34,2000
tgo,25.0,2001
tgo,28.92,2002
tgo,19.13,2003
tgo,19.49,2004
tgo,16.41,2005
tgo,12.78,2006
uga,31.14,2003
uga,266.0,2005
uga,157.2,2006
tza,2.414,2001
tza,1.238,2002
tza,40.88,2003
tza,52.11,2004
tza,46.98,2005
tza,52.67,2006
zmb,59.87,1990
zmb,59.86,1991
zmb,38.66,1992
zmb,53.29,1993
zmb,63.98,1994
zmb,83.92,1999
zmb,31.27,2000
zmb,87.84,2001
zmb,82.99,2002
zmb,82.92,2003
zmb,73.55,2004
zmb,67.41,2005
zmb,55.44,2006
zwe,9.775,1997
zwe,10.09,1998
zwe,9.095,1999
zwe,14.13,2000
zwe,3.227,2001
zwe,14.34,2002
zwe,8.067,2003
zwe,13.89,2004
zwe,14.6,2005
arg,0.0,2001
arg,0.0,2002
arg,0.0,2003
arg,0.0,2004
blz,0.0,2001
blz,0.0,2002
blz,0.0,2004
blz,0.3551,2006
bol,0.2882,1998
bol,0.04618,2002
bol,0.02264,2003
bol,0.0,2004
bol,0.0,2005
bol,0.0,2006
bra,0.08036,2001
bra,0.05188,2002
bra,0.05666,2003
bra,0.05425,2004
bra,0.0653,2005
bra,0.05124,2006
col,0.1369,2001
col,0.09298,2002
col,0.05495,2003
col,0.05641,2004
col,0.0623,2005
col,0.1163,2006
cri,0.0,2001
cri,0.0,2002
cri,0.0,2003
dom,0.1656,1998
dom,0.18,2001
dom,0.1218,2002
dom,0.1307,2003
dom,0.1716,2004
dom,0.169,2005
dom,0.104,2006
ecu,0.1337,1998
ecu,0.0,2002
ecu,0.0,2003
slv,0.0,2001
slv,0.0,2002
slv,0.0,2003
slv,0.0,2004
slv,0.0,2005
slv,0.0,2006
guf,0.0,2001
guf,2.203,2003
guf,0.0,2004
guf,2.536,2006
gtm,0.084,1998
gtm,0.0,2002
gtm,0.0,2003
gtm,0.008067,2004
gtm,0.0,2005
gtm,0.007675,2006
guy,4.618,1998
guy,1.083,2004
guy,2.975,2005
guy,2.706,2006
hti,0.302,1998
hti,0.1835,2001
hti,0.1777,2003
hti,0.312,2005
hti,0.3388,2006
hnd,0.0,2001
hnd,0.0,2002
hnd,0.0,2003
hnd,0.01463,2005
hnd,0.0,2006
mex,0.0,2001
mex,0.0,2002
mex,0.0,2003
mex,0.0,2004
mex,0.0,2005
nic,0.03858,2001
nic,0.1522,2002
nic,0.1314,2003
nic,0.01854,2004
nic,0.1098,2005
nic,0.01808,2006
pan,0.0,2001
pan,0.0653,2002
pan,0.09618,2003
pan,0.09448,2004
pry,0.0,2001
pry,0.0,2002
pry,0.0,2003
pry,0.0,2004
per,0.09617,2001
per,0.04559,2002
per,0.09384,2003
per,0.04451,2004
sur,5.226,2001
sur,3.608,2002
sur,4.03,2003
sur,1.557,2004
sur,0.442,2005
sur,0.2196,2006
afg,0.1276,1994
afg,0.09583,2006
egy,0.0,1994
egy,0.0,2003
egy,0.0,2004
egy,0.0,2006
irn,0.03442,1997
irn,0.004585,1999
irn,0.006049,2000
irn,0.002995,2001
irn,0.002968,2002
irn,0.007353,2003
irn,0.001456,2004
irn,0.00144,2005
irn,0.001423,2006
irq,0.0,1994
irq,0.0,2001
irq,0.0,2002
irq,0.0,2003
irq,0.0,2004
irq,0.0,2005
irq,0.0,2006
mar,0.0,1997
mar,0.006633,2004
mar,0.003279,2005
mar,0.006482,2006
pak,0.01899,2003
pak,0.03289,2005
pak,0.005592,2006
sau,0.03126,1997
sau,0.142,1998
sau,0.0,2001
sau,0.0,2002
sau,0.0,2003
sau,0.0,2004
sau,0.0,2005
sau,0.0,2006
som,0.1068,2002
som,0.6994,2003
som,0.9932,2004
som,0.183,2005
som,0.6868,2006
sdn,3.243,1994
sdn,6.424,1996
sdn,5.879,1997
sdn,6.151,1998
sdn,8.043,1999
sdn,6.483,2000
sdn,6.611,2001
sdn,6.115,2002
sdn,6.996,2003
sdn,5.019,2004
sdn,4.615,2005
sdn,0.2625,2006
syr,0.0,2002
syr,0.0,2004
syr,0.01059,2005
syr,0.01031,2006
yem,0.1459,2003
yem,0.3129,2006
arm,0.0,1998
arm,0.0,1999
arm,0.0,2001
arm,0.0,2002
arm,0.0,2003
arm,0.0,2004
arm,0.0,2005
arm,0.0,2006
aze,0.0,1998
aze,0.0,1999
aze,0.0,2001
aze,0.0,2002
aze,0.0,2003
aze,0.0,2004
aze,0.0,2005
aze,0.0,2006
geo,0.0,1990
geo,0.0,1991
geo,0.0,1992
geo,0.0,1993
geo,0.0,1994
geo,0.0,1995
geo,0.0,1996
geo,0.0,1997
geo,0.0,1999
geo,0.0,2001
geo,0.0,2002
geo,0.0,2003
geo,0.0,2004
geo,0.0,2005
geo,0.0,2006
kgz,0.0,1990
kgz,0.0,1991
kgz,0.0,1992
kgz,0.0,1993
kgz,0.0,1994
kgz,0.0,1995
kgz,0.0,1996
kgz,0.0,1997
kgz,0.0,1998
kgz,0.0,1999
kgz,0.0,2001
kgz,0.0,2002
kgz,0.0,2003
kgz,0.0,2004
kgz,0.0,2005
kgz,0.0,2006
rus,0.0006729,1990
rus,0.0006707,1991
rus,0.0006695,1993
rus,0.00201,1994
rus,0.001341,1995
rus,0.002014,1996
rus,0.002691,1997
rus,0.002028,1999
rus,0.001357,2000
rus,0.001368,2002
tjk,0.1179,1997
tjk,0.0,1998
tjk,0.0,2001
tjk,0.0,2002
tjk,0.0,2003
tur,0.0,1990
tur,0.0,1991
tur,0.0,1992
tur,0.0,1993
tur,0.0,1994
tur,0.0,1995
tur,0.0,1996
tur,0.0,1997
tur,0.0,1998
tur,0.0,1999
tur,0.0,2001
tur,0.0,2002
tur,0.0,2003
tkm,0.0,1990
tkm,0.0,1991
tkm,0.0,1992
tkm,0.0,1993
tkm,0.0,1994
tkm,0.0,1995
tkm,0.0,1996
tkm,0.0,1997
tkm,0.0,1998
tkm,0.0,2001
tkm,0.0,2002
tkm,0.0,2003
tkm,0.0,2004
uzb,0.0,1990
uzb,0.00476,1991
uzb,0.0,1992
uzb,0.004544,1993
uzb,0.0,1994
uzb,0.0,1995
uzb,0.0,1996
uzb,0.0,1997
uzb,0.0,1999
uzb,0.0,2001
uzb,0.0,2002
uzb,0.0,2003
uzb,0.0,2004
uzb,0.0,2005
uzb,0.0,2006
bgd,1.103,1995
bgd,0.6159,1996
bgd,0.3566,1997
bgd,0.3937,1998
bgd,0.4036,1999
bgd,0.3471,2000
bgd,0.3306,2001
bgd,0.4126,2002
bgd,0.8461,2003
bgd,0.273,2004
btn,4.912,1996
btn,2.709,1997
btn,3.214,1998
btn,2.438,2001
btn,1.862,2002
btn,2.469,2003
btn,0.8025,2004
btn,0.7849,2005
btn,0.9248,2006
prk,0.0,2001
prk,0.0,2002
prk,0.0,2003
ind,0.2881,1996
ind,0.08865,1997
ind,0.06595,1998
ind,0.08965,2000
ind,0.09538,2001
ind,0.08993,2002
ind,0.0915,2003
ind,0.08496,2004
ind,0.08489,2005
ind,0.1483,2006
idn,0.0739,1996
idn,0.09797,1997
idn,0.02185,1998
idn,0.03169,2001
idn,0.09059,2002
idn,0.2158,2006
mmr,7.833,1996
mmr,6.645,1997
mmr,7.095,1998
mmr,8.038,1999
mmr,6.006,2000
mmr,6.072,2001
mmr,5.632,2002
mmr,5.249,2003
mmr,4.167,2004
mmr,3.559,2005
mmr,3.404,2006
npl,0.0,1994
npl,0.0,1995
npl,0.06752,1996
npl,0.008785,1997
npl,0.03002,1998
npl,0.0,2000
npl,0.004007,2001
npl,0.01177,2002
npl,0.01922,2003
npl,0.02636,2004
npl,0.03691,2005
npl,0.1519,2006
lka,0.1426,1996
lka,0.332,1997
lka,0.6217,1998
lka,0.2818,2001
lka,0.1588,2002
lka,0.01055,2003
lka,0.0105,2004
lka,0.0,2005
lka,0.0,2006
tha,2.371,1990
tha,1.42,1996
tha,1.299,1997
tha,1.157,1998
tha,1.231,1999
tha,1.03,2000
tha,0.6929,2001
tha,0.5853,2002
tha,0.5231,2003
tha,0.3676,2004
tha,0.1127,2005
tha,0.1781,2006
khm,10.52,1990
khm,11.58,1991
khm,13.55,1992
khm,10.25,1993
khm,9.113,1994
khm,5.389,1995
khm,6.368,1996
khm,6.764,1997
khm,5.064,1998
khm,7.113,1999
khm,4.758,2000
khm,3.655,2001
khm,3.447,2002
khm,3.647,2003
khm,2.784,2004
khm,2.121,2005
khm,2.789,2006
chn,0.003048,1990
chn,0.004423,1992
chn,0.001599,1993
chn,0.003583,1994
chn,0.002786,1995
chn,0.002434,1996
chn,0.003697,1997
chn,0.001911,1998
chn,0.005289,1999
chn,0.003054,2000
chn,0.002176,2001
chn,0.003242,2002
chn,0.003987,2003
chn,0.002362,2004
chn,0.003635,2005
chn,0.00286,2006
lao,9.126,1990
lao,10.88,1991
lao,10.13,1992
lao,9.394,1993
lao,13.32,1994
lao,13.21,1995
lao,12.65,1996
lao,12.32,1997
lao,8.497,1998
lao,6.592,1999
lao,6.7,2000
lao,4.59,2001
lao,3.609,2002
lao,3.408,2003
lao,1.884,2004
lao,1.359,2005
lao,0.3646,2006
mys,0.2375,1990
mys,0.131,1992
mys,0.1175,1993
mys,0.1394,1994
mys,0.17,1995
mys,0.1893,1996
mys,0.1154,1997
mys,0.1215,1998
mys,0.0923,1999
mys,0.1504,2000
mys,0.1935,2001
mys,0.1608,2002
mys,0.08492,2003
mys,0.1389,2004
mys,0.1286,2005
mys,0.08042,2006
png,11.06,1990
png,11.49,1992
png,10.03,1993
png,6.129,1994
png,8.814,1995
png,10.63,1996
png,7.848,1997
png,12.75,1998
png,10.81,1999
png,11.47,2000
png,11.21,2001
png,11.98,2002
png,9.641,2003
png,10.85,2004
png,12.04,2005
png,10.77,2006
phl,1.491,1990
phl,1.474,1991
phl,1.347,1992
phl,1.236,1993
phl,1.168,1994
phl,0.9375,1995
phl,0.7648,1996
phl,0.7181,1997
phl,0.7675,1998
phl,1.012,1999
phl,0.7033,2000
phl,0.564,2001
phl,0.1233,2002
phl,0.1996,2003
phl,0.2015,2004
phl,0.1715,2005
phl,0.1264,2006
kor,0.0,1990
kor,0.0,1991
kor,0.0,1992
kor,0.0,1993
kor,0.0,1994
kor,0.0,1995
kor,0.0,1996
kor,0.0,1997
kor,0.0,1998
kor,0.0,1999
kor,0.0,2000
kor,0.0,2002
kor,0.0,2003
slb,10.52,1990
slb,14.26,1991
slb,9.938,1992
slb,11.71,1993
slb,13.93,1994
slb,14.1,1995
slb,8.061,1996
slb,7.055,1997
slb,8.387,1998
slb,5.688,1999
slb,9.147,2000
slb,12.89,2001
slb,13.47,2002
slb,15.8,2003
slb,7.378,2004
slb,8.044,2005
slb,2.479,2006
vut,21.41,1990
vut,20.8,1991
vut,16.4,1992
vut,7.958,1993
vut,4.762,1994
vut,2.323,1995
vut,0.0,1996
vut,0.0,1997
vut,0.0,1998
vut,0.0,1999
vut,1.03,2001
vut,4.017,2002
vut,3.913,2003
vut,0.4764,2004
vut,4.643,2005
vut,2.718,2006
vnm,5.047,1990
vnm,6.868,1991
vnm,3.808,1992
vnm,1.454,1993
vnm,0.8389,1994
vnm,0.4746,1995
vnm,0.2722,1996
vnm,0.2007,1997
vnm,0.2381,1998
vnm,0.2437,1999
vnm,0.1871,2000
vnm,0.1134,2001
vnm,0.06139,2002
vnm,0.0605,2003
vnm,0.02863,2004
vnm,0.02117,2005
vnm,0.04756,2006
