geo,murdered_men_per_100000_people,time
aze,4.846,2004
bhs,36.43,2004
bhr,0.2668,1985
bhr,2.044,1987
bhr,1.023,1988
bhr,0.4668,1997
bhr,0.5144,1998
bhr,0.1752,1999
bhr,1.332,2000
bhr,0.6792,2001
bhr,1.328,2004
bgd,13.85,2004
brb,24.49,2004
blr,6.526,1981
blr,8.026,1982
blr,6.156,1985
blr,5.597,1986
blr,6.053,1987
blr,6.939,1988
blr,9.526,1989
blr,9.854,1990
blr,9.44,1991
blr,12.76,1992
blr,15.48,1993
blr,15.77,1994
blr,16.15,1995
blr,16.44,1997
blr,17.18,1998
blr,15.59,1999
blr,14.93,2000
blr,14.56,2001
blr,15.1,2002
blr,12.84,2003
blr,13.14,2004
bel,0.5623,1954
bel,0.6129,1955
bel,0.7099,1956
bel,0.6855,1957
bel,0.5769,1958
bel,0.6094,1959
bel,0.7186,1960
bel,0.7926,1961
bel,0.4866,1962
bel,0.6971,1963
bel,0.4509,1964
bel,0.608,1965
bel,0.85,1966
bel,0.6162,1967
bel,0.8546,1968
bel,0.769,1969
bel,1.163,1970
bel,1.168,1971
bel,1.405,1972
bel,1.162,1973
bel,1.144,1974
bel,1.247,1975
bel,0.9847,1976
bel,1.0,1977
bel,1.245,1978
bel,1.797,1979
bel,1.714,1980
bel,1.596,1981
bel,1.61,1982
bel,2.184,1983
bel,1.833,1984
bel,2.141,1985
bel,2.249,1986
bel,1.758,1987
bel,1.702,1988
bel,1.393,1989
bel,1.651,1990
bel,1.818,1991
bel,2.164,1992
bel,2.125,1993
bel,1.989,1994
bel,1.862,1995
bel,0.0,1996
bel,0.0,1997
bel,2.127,1998
bel,3.055,1999
bel,1.737,2004
blz,50.98,2004
ben,25.11,2004
btn,7.37,2004
bol,7.41,2004
bih,0.08975,1985
bih,0.07634,1986
bih,0.219,1987
bih,0.03878,1988
bih,0.08081,1989
bih,0.03613,1990
bih,0.1322,1991
bih,2.901,2004
bwa,38.85,2004
bra,25.09,1982
bra,26.64,1983
bra,29.5,1984
bra,28.53,1985
bra,30.15,1986
bra,31.94,1987
bra,31.43,1988
bra,37.57,1989
bra,40.73,1990
bra,38.16,1991
bra,34.82,1992
bra,36.59,1993
bra,37.86,1994
bra,42.43,1995
bra,43.28,1996
bra,44.23,1997
bra,44.91,1998
bra,45.2,1999
bra,46.58,2000
bra,48.57,2001
bra,49.53,2002
bra,50.17,2003
bra,46.72,2004
brn,1.189,2004
bgr,2.982,1964
bgr,2.827,1965
bgr,3.75,1966
bgr,3.085,1967
bgr,3.503,1968
bgr,3.976,1969
bgr,3.226,1970
bgr,4.217,1971
bgr,4.379,1972
bgr,3.324,1973
bgr,3.971,1974
bgr,3.498,1975
bgr,2.835,1976
bgr,3.541,1977
bgr,3.624,1978
bgr,3.215,1979
bgr,3.646,1980
bgr,5.071,1981
bgr,4.245,1982
bgr,3.978,1983
bgr,4.466,1984
bgr,4.423,1985
bgr,3.98,1986
bgr,3.459,1987
bgr,3.469,1988
bgr,3.683,1989
bgr,4.956,1990
bgr,5.843,1991
bgr,7.146,1992
bgr,7.922,1993
bgr,7.849,1994
bgr,7.623,1995
bgr,7.864,1996
bgr,6.504,1997
bgr,5.363,1998
bgr,3.959,1999
bgr,4.627,2000
bgr,4.617,2001
bgr,4.146,2002
bgr,4.015,2003
bgr,4.033,2004
bfa,37.23,2004
bdi,83.66,2004
khm,39.2,2004
cmr,30.2,2004
can,1.248,1950
can,1.25,1951
can,1.33,1952
can,1.375,1953
can,1.378,1954
can,1.383,1955
can,1.341,1956
can,1.321,1957
can,1.408,1958
can,1.427,1959
can,1.83,1960
can,1.642,1961
can,1.914,1962
can,1.733,1963
can,1.666,1964
can,1.72,1965
can,1.682,1966
can,2.0,1967
can,2.205,1968
can,2.67,1969
can,2.707,1970
can,3.086,1971
can,3.185,1972
can,3.345,1973
can,3.204,1974
can,3.625,1975
can,3.337,1976
can,3.539,1977
can,3.445,1978
can,3.145,1979
can,2.777,1980
can,2.829,1981
can,3.177,1982
can,3.021,1983
can,3.068,1984
can,2.595,1985
can,2.607,1986
can,2.783,1987
can,2.391,1988
can,2.6,1989
can,2.597,1990
can,2.777,1991
can,2.721,1992
can,2.362,1993
can,2.189,1994
can,2.149,1995
can,2.292,1996
can,1.909,1997
can,2.025,1998
can,2.039,1999
can,2.184,2000
can,2.176,2001
can,2.032,2002
can,2.08,2003
can,2.311,2004
cpv,19.56,2004
caf,62.62,2004
tcd,39.9,2004
chl,7.81,1955
chl,9.566,1956
chl,10.52,1957
chl,10.53,1958
chl,8.604,1959
chl,10.38,1960
chl,12.32,1961
chl,3.801,1962
chl,3.627,1963
chl,4.978,1964
chl,4.318,1965
chl,14.76,1966
chl,4.057,1967
chl,14.9,1968
chl,10.77,1969
chl,8.188,1970
chl,8.756,1971
chl,10.28,1972
chl,11.94,1973
chl,4.61,1974
chl,4.224,1975
chl,3.133,1976
chl,3.986,1977
chl,4.584,1978
chl,4.701,1979
chl,4.723,1980
chl,5.646,1981
chl,6.474,1982
chl,6.216,1983
chl,6.504,1984
chl,6.32,1985
chl,5.86,1986
chl,5.355,1987
chl,5.759,1988
chl,5.593,1989
chl,5.829,1990
chl,6.446,1991
chl,5.507,1992
chl,5.033,1993
chl,5.366,1994
chl,5.761,1995
chl,5.665,1996
chl,4.69,1997
chl,4.951,1998
chl,5.207,1999
chl,9.171,2000
chl,9.736,2001
chl,9.655,2002
chl,9.494,2003
chl,9.587,2004
chn,2.818,2004
col,67.62,1953
col,53.76,1954
col,73.22,1955
col,95.36,1956
col,94.72,1957
col,121.5,1958
col,94.35,1959
col,78.28,1960
col,82.44,1961
col,81.1,1962
col,74.15,1963
col,63.8,1964
col,64.1,1965
col,53.39,1966
col,54.98,1967
col,42.22,1968
col,36.71,1969
col,44.27,1972
col,46.62,1974
col,45.08,1975
col,48.26,1976
col,53.0,1977
col,68.41,1984
col,86.21,1985
col,99.13,1986
col,100.1,1987
col,116.4,1988
col,128.0,1989
col,135.6,1990
col,171.6,1991
col,171.3,1992
col,164.9,1993
col,150.2,1994
col,117.7,1995
col,123.3,1996
col,110.9,1997
col,118.1,1998
col,121.2,1999
col,132.5,2000
col,134.4,2001
col,139.2,2002
col,94.98,2004
com,17.6,2004
cod,81.79,2004
cog,39.11,2004
cok,1.558,2004
cri,9.455,1962
cri,7.906,1963
cri,7.879,1964
cri,5.994,1965
cri,9.805,1966
cri,6.012,1967
cri,6.305,1968
cri,5.999,1969
cri,10.45,1970
cri,7.871,1971
cri,6.538,1972
cri,6.558,1973
cri,8.685,1974
cri,11.8,1975
cri,10.25,1976
cri,9.936,1977
cri,8.107,1978
cri,8.193,1979
cri,9.638,1980
cri,10.46,1981
cri,10.1,1982
cri,7.952,1983
cri,8.839,1984
cri,9.034,1985
cri,6.74,1986
cri,8.625,1987
cri,8.454,1988
cri,7.454,1989
cri,8.116,1990
cri,8.012,1991
cri,9.719,1992
cri,10.16,1993
cri,10.28,1994
cri,9.309,1995
cri,10.96,1996
cri,10.96,1997
cri,10.92,1998
cri,11.05,1999
cri,11.18,2000
cri,11.35,2001
cri,10.47,2002
cri,12.21,2003
cri,10.57,2004
civ,103.4,2004
hrv,2.911,1985
hrv,2.883,1986
hrv,3.036,1987
hrv,2.48,1988
hrv,2.944,1989
hrv,3.655,1990
hrv,5.323,1991
hrv,7.445,1992
hrv,7.02,1993
hrv,5.157,1994
hrv,4.737,1995
hrv,3.962,1996
hrv,3.966,1997
hrv,4.359,1998
hrv,4.066,1999
hrv,3.473,2000
hrv,2.446,2001
hrv,1.56,2002
hrv,2.161,2003
hrv,1.88,2004
cub,10.47,1964
cub,5.853,1968
cub,4.717,1969
cub,5.97,1970
cub,7.201,1971
cub,5.085,1972
cub,5.312,1973
cub,5.529,1974
cub,5.805,1975
cub,5.692,1976
cub,5.935,1977
cub,8.545,1992
cub,10.44,1993
cub,11.5,1994
cub,10.74,1995
cub,9.392,1996
cub,9.783,1997
cub,10.6,1998
cub,7.511,1999
cub,7.342,2000
cub,7.554,2001
cub,8.07,2002
cub,8.204,2003
cub,8.575,2004
cyp,0.0,1999
cyp,1.287,2000
cyp,1.791,2004
cze,1.12,1986
cze,0.997,1987
cze,0.885,1988
cze,1.081,1989
cze,1.932,1990
cze,2.184,1991
cze,2.154,1992
cze,2.716,1993
cze,2.674,1994
cze,2.342,1995
cze,2.222,1996
cze,2.032,1997
cze,2.273,1998
cze,1.797,1999
cze,1.983,2000
cze,1.492,2001
cze,1.449,2002
cze,1.547,2003
cze,1.446,2004
cheslo,2.256,1953
cheslo,1.623,1954
cheslo,1.807,1955
cheslo,1.755,1956
cheslo,1.687,1957
cheslo,1.481,1958
cheslo,1.303,1959
cheslo,1.273,1960
cheslo,1.405,1961
cheslo,1.385,1962
cheslo,1.548,1963
cheslo,1.661,1964
cheslo,1.561,1965
cheslo,1.479,1966
cheslo,1.45,1967
cheslo,1.582,1968
cheslo,1.77,1969
cheslo,1.962,1970
cheslo,1.834,1971
cheslo,1.824,1972
cheslo,1.452,1973
cheslo,1.199,1974
cheslo,1.453,1975
cheslo,0.8792,1976
cheslo,1.072,1977
cheslo,1.429,1978
cheslo,1.216,1979
cheslo,1.235,1980
cheslo,1.209,1981
cheslo,1.44,1982
cheslo,1.552,1983
cheslo,1.317,1984
cheslo,1.272,1985
cheslo,1.268,1986
cheslo,1.231,1987
cheslo,1.207,1988
cheslo,1.313,1989
cheslo,2.258,1990
cheslo,2.625,1991
dnk,1.107,1951
dnk,0.8937,1952
dnk,1.051,1953
dnk,0.6691,1954
dnk,0.396,1955
dnk,0.7761,1956
dnk,0.4811,1957
dnk,0.4035,1958
dnk,0.487,1959
dnk,0.3061,1960
dnk,0.3324,1961
dnk,0.5088,1962
dnk,0.7444,1963
dnk,0.2416,1964
dnk,0.3979,1965
dnk,0.3809,1966
dnk,0.3647,1967
dnk,0.3302,1968
dnk,0.8158,1969
dnk,0.6176,1970
dnk,0.8552,1971
dnk,0.5165,1972
dnk,0.8835,1973
dnk,0.509,1974
dnk,0.5028,1975
dnk,0.6065,1976
dnk,0.682,1977
dnk,0.6385,1978
dnk,0.8122,1979
dnk,1.188,1980
dnk,1.654,1981
dnk,0.8895,1982
dnk,1.444,1983
dnk,1.101,1984
dnk,1.785,1985
dnk,1.442,1986
dnk,1.077,1987
dnk,1.106,1988
dnk,1.042,1989
dnk,0.931,1990
dnk,1.064,1991
dnk,1.322,1992
dnk,1.561,1993
dnk,1.693,1994
dnk,1.526,1995
dnk,1.394,1996
dnk,1.317,1997
dnk,0.9864,1998
dnk,1.163,1999
dnk,1.184,2000
dnk,1.13,2001
dnk,1.389,2002
dnk,1.282,2003
dnk,0.8118,2004
dji,7.115,2004
dma,16.16,2004
dom,33.72,2004
deu_east,0.5276,1973
deu_east,0.3433,1974
deu_east,0.7013,1989
deu_east,1.198,1990
ecu,45.85,2004
egy,2.729,1973
egy,1.839,1974
egy,2.117,1975
egy,2.201,1976
egy,3.119,1977
egy,1.97,1978
egy,1.495,1979
egy,1.727,1980
egy,0.9891,1987
egy,0.1185,2000
egy,2.26,2004
slv,75.7,2004
gnq,46.39,2004
eri,34.63,2004
est,12.68,1981
est,11.07,1982
est,9.767,1985
est,7.638,1986
est,8.696,1987
est,8.492,1988
est,12.5,1989
est,18.73,1990
est,17.35,1991
est,33.62,1992
est,44.42,1993
est,48.95,1994
est,41.4,1995
est,33.66,1996
est,27.02,1997
est,30.67,1998
est,24.67,1999
est,23.05,2000
est,23.91,2001
est,17.81,2002
est,16.11,2003
est,12.61,2004
eth,43.77,2004
fji,1.277,2004
fin,4.635,1952
fin,4.988,1953
fin,4.578,1954
fin,4.047,1955
fin,4.271,1956
fin,3.728,1957
fin,3.201,1958
fin,2.605,1959
fin,4.304,1960
fin,3.994,1961
fin,3.698,1962
fin,3.539,1963
fin,3.089,1964
fin,3.03,1965
fin,3.162,1966
fin,3.186,1967
fin,3.275,1968
fin,3.887,1969
fin,3.266,1970
fin,3.896,1971
fin,4.713,1972
fin,3.873,1973
fin,4.088,1974
fin,5.596,1975
fin,4.511,1976
fin,4.277,1977
fin,4.824,1978
fin,3.853,1979
fin,4.748,1980
fin,3.742,1981
fin,3.808,1982
fin,3.766,1983
fin,3.769,1984
fin,3.895,1985
fin,4.438,1986
fin,3.338,1987
fin,3.598,1988
fin,4.596,1989
fin,4.508,1990
fin,4.277,1991
fin,4.19,1992
fin,4.211,1993
fin,3.976,1994
fin,3.733,1995
fin,4.611,1996
fin,3.788,1997
fin,3.29,1998
fin,3.846,1999
fin,3.569,2000
fin,3.693,2001
fin,3.271,2002
fin,2.523,2003
fin,3.489,2004
fra,1.01,1950
fra,0.745,1952
fra,0.7621,1953
fra,0.6472,1954
fra,0.8965,1955
fra,1.122,1956
fra,3.56,1957
fra,4.189,1958
fra,3.272,1959
fra,2.719,1960
fra,4.065,1961
fra,2.65,1962
fra,1.039,1963
fra,1.109,1964
fra,0.9111,1965
fra,0.8615,1966
fra,1.142,1967
fra,0.9123,1968
fra,1.019,1969
fra,0.9746,1970
fra,0.9693,1971
fra,1.125,1972
fra,1.075,1973
fra,1.237,1974
fra,1.346,1975
fra,1.204,1976
fra,1.261,1977
fra,1.276,1978
fra,1.364,1979
fra,1.208,1980
fra,1.305,1981
fra,1.315,1982
fra,1.586,1983
fra,1.66,1984
fra,1.628,1985
fra,1.412,1986
fra,1.326,1987
fra,1.188,1988
fra,1.348,1989
fra,1.346,1990
fra,1.434,1991
fra,1.255,1992
fra,1.338,1993
fra,1.434,1994
fra,1.3,1995
fra,1.245,1996
fra,1.125,1997
fra,0.9049,1998
fra,0.8593,1999
fra,1.074,2000
fra,1.012,2001
fra,0.9459,2002
fra,0.8918,2003
fra,0.873,2004
gab,29.32,2004
gmb,25.35,2004
geo,5.524,1981
geo,4.158,1982
geo,4.096,1985
geo,3.291,1986
geo,4.296,1987
geo,4.54,1988
geo,7.671,1989
geo,4.602,1990
geo,2.646,1991
geo,0.3939,1992
geo,0.4963,1994
geo,0.05702,1995
geo,0.9851,1996
geo,3.456,1997
geo,7.613,1998
geo,6.718,1999
geo,5.503,2000
geo,6.631,2001
geo,6.153,2004
deu,1.128,1990
deu,1.305,1991
deu,1.309,1992
deu,1.345,1993
deu,1.396,1994
deu,1.401,1995
deu,1.342,1996
deu,1.082,1997
deu,1.062,1998
deu,1.035,1999
deu,0.7794,2000
deu,0.8072,2001
deu,0.7728,2002
deu,0.7348,2003
deu,0.6745,2004
gha,20.1,2004
grc,2.085,1961
grc,1.684,1962
grc,1.829,1963
grc,1.537,1964
grc,1.537,1965
grc,1.093,1966
grc,1.066,1967
grc,1.278,1968
grc,1.084,1969
grc,0.8534,1970
grc,0.8112,1971
grc,0.6414,1972
grc,1.138,1973
grc,0.9061,1974
grc,1.214,1975
grc,0.9159,1976
grc,0.7692,1977
grc,1.086,1978
grc,1.048,1979
grc,0.9446,1980
grc,1.077,1981
grc,1.308,1982
grc,0.9399,1983
grc,1.228,1984
grc,1.477,1985
grc,1.14,1986
grc,0.9583,1987
grc,1.506,1988
grc,0.9679,1989
grc,1.425,1990
grc,1.93,1991
grc,1.769,1992
grc,1.751,1993
grc,1.628,1994
grc,1.707,1995
grc,1.985,1996
grc,2.31,1997
grc,1.848,1998
grc,1.613,1999
grc,1.389,2000
grc,1.321,2001
grc,0.9983,2002
grc,1.48,2003
grc,1.236,2004
grd,2.688,2004
gtm,28.72,1963
gtm,27.89,1964
gtm,25.88,1965
gtm,36.45,1966
gtm,59.9,1967
gtm,47.12,1968
gtm,34.35,1969
gtm,48.45,1970
gtm,48.3,1971
gtm,1.797,1974
gtm,1.945,1977
gtm,49.28,1979
gtm,133.4,1980
gtm,239.7,1981
gtm,7.145,1984
gtm,47.15,1986
gtm,54.43,1987
gtm,55.7,1988
gtm,44.09,1989
gtm,46.38,1990
gtm,43.4,1991
gtm,43.17,1992
gtm,43.49,1993
gtm,49.22,1994
gtm,50.16,1995
gtm,53.77,1996
gtm,72.08,1997
gtm,66.07,1998
gtm,45.75,1999
gtm,46.26,2000
gtm,48.05,2001
gtm,55.23,2002
gtm,64.7,2003
gtm,62.3,2004
gin,32.38,2004
gnb,35.74,2004
guy,35.49,2004
hti,12.04,2004
hnd,46.72,2004
hun,2.873,1955
hun,3.379,1956
hun,6.756,1957
hun,4.227,1958
hun,4.422,1959
hun,2.067,1960
hun,3.202,1961
hun,2.751,1962
hun,2.516,1963
hun,2.431,1964
hun,2.035,1965
hun,2.377,1966
hun,2.587,1967
hun,2.967,1968
hun,2.763,1969
hun,2.629,1970
hun,2.563,1971
hun,2.577,1972
hun,2.75,1973
hun,2.266,1974
hun,2.455,1975
hun,2.681,1976
hun,2.323,1977
hun,2.472,1978
hun,2.493,1979
hun,3.219,1980
hun,3.042,1981
hun,2.911,1982
hun,3.004,1983
hun,3.349,1984
hun,3.141,1985
hun,3.302,1986
hun,2.987,1987
hun,3.423,1988
hun,3.189,1989
hun,3.964,1990
hun,4.871,1991
hun,4.794,1992
hun,4.808,1993
hun,4.573,1994
hun,4.526,1995
hun,3.566,1996
hun,3.907,1997
hun,3.814,1998
hun,3.232,1999
hun,2.852,2000
hun,3.052,2001
hun,2.721,2002
hun,2.173,2003
hun,2.415,2004
isl,1.201,2004
ind,8.606,2004
idn,15.62,2004
irn,4.369,2004
irq,15.21,2004
irl,0.4405,1950
irl,0.2783,1951
irl,0.3429,1952
irl,0.4274,1953
irl,0.4602,1954
irl,0.1915,1955
irl,0.17,1956
irl,0.2202,1957
irl,0.2855,1958
irl,0.3218,1959
irl,0.1668,1960
irl,0.3475,1961
irl,0.483,1962
irl,0.1368,1963
irl,0.6002,1964
irl,0.3347,1965
irl,0.5973,1966
irl,0.4499,1967
irl,0.5241,1968
irl,0.4296,1969
irl,0.4346,1970
irl,0.7613,1971
irl,0.9363,1972
irl,0.5971,1973
irl,1.122,1974
irl,1.431,1975
irl,0.5833,1976
irl,1.377,1977
irl,1.326,1978
irl,1.359,1979
irl,1.172,1980
irl,2.381,1981
irl,1.132,1982
irl,1.181,1983
irl,0.978,1984
irl,0.8353,1985
irl,1.085,1986
irl,1.22,1987
irl,1.196,1988
irl,1.13,1989
irl,1.162,1990
irl,0.8487,1991
irl,1.237,1992
irl,0.9845,1993
irl,1.141,1994
irl,1.337,1995
irl,1.069,1996
irl,1.181,1997
irl,1.781,1998
irl,1.643,1999
irl,1.619,2000
irl,1.707,2001
irl,1.684,2002
irl,1.36,2003
irl,0.961,2004
isr,2.374,1975
isr,2.617,1976
isr,2.346,1977
isr,2.456,1978
isr,2.658,1979
isr,2.611,1980
isr,2.966,1981
isr,2.381,1982
isr,2.791,1983
isr,2.294,1984
isr,3.254,1985
isr,2.976,1986
isr,2.048,1987
isr,1.842,1988
isr,3.369,1989
isr,2.774,1990
isr,1.488,1991
isr,1.745,1992
isr,3.685,1993
isr,3.75,1994
isr,2.302,1995
isr,1.664,1996
isr,0.8735,1997
isr,0.8012,1998
isr,3.727,1999
isr,4.717,2000
isr,8.569,2001
isr,10.68,2002
isr,7.455,2003
isr,5.316,2004
ita,2.354,1951
ita,2.164,1952
ita,2.016,1953
ita,2.017,1954
ita,2.276,1955
ita,2.191,1956
ita,2.041,1957
ita,2.01,1958
ita,1.779,1959
ita,1.976,1960
ita,1.702,1961
ita,1.347,1962
ita,1.371,1963
ita,1.228,1964
ita,1.201,1965
ita,1.14,1966
ita,1.276,1967
ita,1.2,1968
ita,1.137,1969
ita,1.12,1970
ita,1.421,1971
ita,1.52,1972
ita,1.702,1973
ita,1.737,1974
ita,2.032,1975
ita,2.223,1976
ita,2.3,1977
ita,2.366,1978
ita,2.619,1979
ita,2.988,1980
ita,3.244,1981
ita,3.633,1982
ita,3.21,1983
ita,2.684,1984
ita,2.327,1985
ita,1.979,1986
ita,2.624,1987
ita,3.037,1988
ita,3.885,1989
ita,4.575,1990
ita,4.865,1991
ita,3.662,1992
ita,2.698,1993
ita,2.532,1994
ita,2.31,1995
ita,2.185,1996
ita,1.858,1997
ita,1.887,1998
ita,1.834,1999
ita,1.502,2000
ita,1.41,2001
ita,1.347,2002
ita,1.577,2003
ita,1.315,2004
jam,64.8,2004
jpn,2.751,1950
jpn,2.612,1951
jpn,2.635,1952
jpn,2.522,1953
jpn,3.02,1954
jpn,3.14,1955
jpn,2.725,1956
jpn,2.696,1957
jpn,2.81,1958
jpn,2.745,1959
jpn,2.614,1960
jpn,2.328,1961
jpn,2.117,1962
jpn,2.095,1963
jpn,2.059,1964
jpn,1.86,1965
jpn,1.888,1966
jpn,1.789,1967
jpn,1.797,1968
jpn,1.848,1969
jpn,1.69,1970
jpn,1.676,1971
jpn,1.47,1972
jpn,1.529,1973
jpn,1.521,1974
jpn,1.579,1975
jpn,1.483,1976
jpn,1.439,1977
jpn,1.334,1978
jpn,1.17,1979
jpn,1.126,1980
jpn,1.143,1981
jpn,1.085,1982
jpn,1.182,1983
jpn,1.073,1984
jpn,0.9734,1985
jpn,1.049,1986
jpn,0.8999,1987
jpn,0.8502,1988
jpn,0.7844,1989
jpn,0.7063,1990
jpn,0.6412,1991
jpn,0.7287,1992
jpn,0.7883,1993
jpn,0.7879,1994
jpn,0.6306,1995
jpn,0.6026,1996
jpn,0.6661,1997
jpn,0.7594,1998
jpn,0.7098,1999
jpn,0.6513,2000
jpn,0.6457,2001
jpn,0.6544,2002
jpn,0.6426,2003
jpn,0.5122,2004
jor,12.7,2004
kaz,17.17,1981
kaz,15.83,1982
kaz,12.79,1985
kaz,8.965,1986
kaz,10.59,1987
kaz,12.0,1988
kaz,17.77,1989
kaz,20.6,1990
kaz,20.91,1991
kaz,25.3,1992
kaz,30.7,1993
kaz,30.65,1994
kaz,33.45,1995
kaz,31.91,1996
kaz,30.27,1997
kaz,29.97,1998
kaz,27.46,1999
kaz,0.0,2000
kaz,25.61,2001
kaz,20.56,2002
kaz,23.94,2003
kaz,25.45,2004
ken,43.64,2004
kir,13.09,2004
prk,32.61,2004
kor,1.328,1985
kor,1.342,1986
kor,1.42,1987
kor,1.552,1988
kor,1.834,1989
kor,1.985,1990
kor,1.982,1991
kor,1.549,1992
kor,2.06,1993
kor,2.062,1994
kor,2.147,1995
kor,2.257,1996
kor,2.427,1997
kor,2.327,1998
kor,1.852,1999
kor,1.831,2000
kor,0.0,2001
kor,1.717,2002
kor,1.79,2003
kor,1.732,2004
kwt,5.425,1972
kwt,1.619,1975
kwt,3.019,1976
kwt,1.579,1977
kwt,1.808,1978
kwt,0.4748,1979
kwt,1.151,1980
kwt,0.4795,1981
kwt,0.4345,1982
kwt,1.115,1983
kwt,4.058,1984
kwt,3.271,1985
kwt,0.9778,1986
kwt,0.5269,1987
kwt,2.87,1993
kwt,2.0,1994
kwt,0.8968,1995
kwt,1.567,1996
kwt,1.991,1997
kwt,2.282,1998
kwt,2.377,1999
kwt,1.237,2000
kwt,2.077,2001
kwt,0.9708,2002
kwt,1.359,2004
kgz,14.93,1981
kgz,13.05,1982
kgz,9.792,1985
kgz,5.373,1986
kgz,7.085,1987
kgz,8.212,1988
kgz,15.16,1989
kgz,28.21,1990
kgz,18.54,1991
kgz,24.21,1992
kgz,26.57,1993
kgz,29.48,1994
kgz,25.68,1995
kgz,22.14,1996
kgz,17.13,1997
kgz,13.35,1998
kgz,14.22,1999
kgz,14.7,2000
kgz,12.13,2001
kgz,10.7,2002
kgz,10.41,2003
kgz,11.45,2004
lao,9.677,2004
lva,8.015,1980
lva,9.268,1981
lva,7.581,1982
lva,8.601,1983
lva,8.177,1984
lva,6.941,1985
lva,5.826,1986
lva,6.165,1987
lva,8.597,1988
lva,12.34,1989
lva,13.89,1990
lva,17.36,1991
lva,24.82,1992
lva,37.18,1993
lva,34.74,1994
lva,26.05,1995
lva,23.14,1996
lva,21.72,1997
lva,18.25,1998
lva,17.32,1999
lva,18.08,2000
lva,0.0,2001
lva,15.32,2002
lva,14.03,2003
lva,11.61,2004
lbn,4.438,2004
lso,28.86,2004
lbr,37.19,2004
lby,5.51,2004
ltu,8.848,1981
ltu,9.173,1982
ltu,9.671,1985
ltu,6.985,1986
ltu,5.227,1987
ltu,6.386,1988
ltu,8.105,1989
ltu,10.97,1990
ltu,14.15,1991
ltu,16.29,1992
ltu,19.79,1993
ltu,20.69,1994
ltu,16.96,1995
ltu,14.0,1996
ltu,13.75,1997
ltu,12.54,1998
ltu,12.09,1999
ltu,14.53,2000
ltu,15.36,2001
ltu,11.07,2002
ltu,13.13,2003
