geo,suicide_men_per_100000_people,time
cri,10.62,1980
cri,8.248,1981
cri,8.344,1982
cri,11.52,1983
cri,9.229,1984
cri,10.32,1985
cri,11.83,1986
cri,8.938,1987
cri,11.42,1988
cri,11.01,1989
cri,11.13,1990
cri,8.739,1991
cri,9.651,1992
cri,10.33,1993
cri,9.502,1994
cri,10.87,1995
cri,11.42,1996
cri,9.967,1997
cri,11.71,1998
cri,12.01,1999
cri,11.74,2000
cri,9.662,2001
cri,12.35,2002
cri,13.56,2003
cri,14.01,2004
civ,28.1,2004
hrv,30.39,1985
hrv,30.17,1986
hrv,32.17,1987
hrv,30.86,1988
hrv,28.04,1989
hrv,31.37,1990
hrv,30.06,1991
hrv,33.48,1992
hrv,30.6,1993
hrv,31.04,1994
hrv,26.88,1995
hrv,31.71,1996
hrv,28.8,1997
hrv,31.56,1998
hrv,30.48,1999
hrv,30.41,2000
hrv,25.78,2001
hrv,24.99,2002
hrv,25.68,2003
hrv,23.87,2004
cub,15.97,1964
cub,17.15,1968
cub,13.43,1969
cub,16.97,1970
cub,19.81,1971
cub,20.6,1972
cub,25.14,1973
cub,25.86,1974
cub,25.27,1975
cub,24.99,1976
cub,23.98,1977
cub,24.31,1992
cub,25.28,1993
cub,25.43,1994
cub,24.46,1995
cub,23.17,1996
cub,23.31,1997
cub,22.95,1998
cub,23.69,1999
cub,21.14,2000
cub,19.13,2001
cub,17.94,2002
cub,17.5,2003
cub,17.69,2004
cyp,0.265,1999
cyp,2.262,2000
cyp,0.98,2004
cze,28.85,1986
cze,25.94,1987
cze,25.41,1988
cze,25.31,1989
cze,26.56,1990
cze,25.75,1991
cze,27.12,1992
cze,25.81,1993
cze,24.32,1994
cze,23.28,1995
cze,21.61,1996
cze,22.95,1997
cze,22.17,1998
cze,22.29,1999
cze,22.37,2000
cze,22.12,2001
cze,20.64,2002
cze,23.34,2003
cze,21.73,2004
cheslo,28.35,1953
cheslo,29.97,1954
cheslo,28.37,1955
cheslo,29.13,1956
cheslo,29.94,1957
cheslo,29.41,1958
cheslo,31.56,1959
cheslo,31.56,1960
cheslo,30.05,1961
cheslo,29.82,1962
cheslo,31.1,1963
cheslo,29.8,1964
cheslo,31.31,1965
cheslo,33.71,1966
cheslo,34.86,1967
cheslo,35.11,1968
cheslo,33.7,1969
cheslo,36.75,1970
cheslo,35.95,1971
cheslo,35.33,1972
cheslo,32.85,1973
cheslo,33.47,1974
cheslo,32.13,1975
cheslo,30.23,1976
cheslo,31.94,1977
cheslo,31.17,1978
cheslo,29.62,1979
cheslo,29.17,1980
cheslo,29.76,1981
cheslo,29.47,1982
cheslo,28.72,1983
cheslo,27.23,1984
cheslo,28.21,1985
cheslo,27.94,1986
cheslo,26.48,1987
cheslo,25.4,1988
cheslo,25.91,1989
cheslo,26.1,1990
cheslo,25.53,1991
dnk,31.32,1951
dnk,30.45,1952
dnk,31.38,1953
dnk,30.41,1954
dnk,30.97,1955
dnk,29.1,1956
dnk,28.35,1957
dnk,27.46,1958
dnk,27.81,1959
dnk,25.86,1960
dnk,21.17,1961
dnk,23.74,1962
dnk,24.21,1963
dnk,25.22,1964
dnk,22.61,1965
dnk,21.96,1966
dnk,22.25,1967
dnk,24.91,1968
dnk,24.86,1969
dnk,25.71,1970
dnk,29.2,1971
dnk,28.12,1972
dnk,27.29,1973
dnk,31.18,1974
dnk,27.59,1975
dnk,28.02,1976
dnk,28.48,1977
dnk,25.57,1978
dnk,29.62,1979
dnk,37.49,1980
dnk,34.95,1981
dnk,33.91,1982
dnk,32.74,1983
dnk,32.49,1984
dnk,30.75,1985
dnk,31.03,1986
dnk,31.27,1987
dnk,28.76,1988
dnk,28.8,1989
dnk,27.13,1990
dnk,25.39,1991
dnk,24.25,1992
dnk,24.28,1993
dnk,21.78,1994
dnk,20.37,1995
dnk,20.21,1996
dnk,17.9,1997
dnk,17.52,1998
dnk,18.22,1999
dnk,16.84,2000
dnk,15.96,2001
dnk,15.78,2002
dnk,14.67,2003
dnk,14.7,2004
dji,5.835,2004
dma,10.12,2004
dom,10.59,2004
deu_east,40.18,1973
deu_east,42.25,1974
deu_east,32.3,1989
deu_east,30.05,1990
ecu,12.4,2004
egy,0.115,1973
egy,0.09715,1974
egy,0.1955,1975
egy,0.1452,1976
egy,0.4956,1977
egy,0.3218,1978
egy,0.2658,1979
egy,0.06075,1980
egy,0.08373,1987
egy,0.1181,2000
egy,2.019,2004
slv,13.29,2004
gnq,13.46,2004
eri,12.04,2004
est,56.73,1981
est,51.0,1982
est,50.66,1985
est,42.33,1986
est,40.87,1987
est,36.93,1988
est,38.2,1989
est,40.96,1990
est,41.98,1991
est,50.08,1992
est,61.76,1993
est,67.7,1994
est,64.83,1995
est,62.51,1996
est,61.47,1997
est,56.36,1998
est,54.04,1999
est,41.38,2000
est,45.37,2001
est,43.11,2002
est,39.08,2003
est,37.55,2004
eth,14.34,2004
fji,4.591,2004
fin,32.92,1952
fin,31.19,1953
fin,34.31,1954
fin,35.88,1955
fin,40.36,1956
fin,38.27,1957
fin,36.83,1958
fin,35.11,1959
fin,35.66,1960
fin,36.2,1961
fin,37.74,1962
fin,33.52,1963
fin,33.53,1964
fin,34.5,1965
fin,32.03,1966
fin,34.32,1967
fin,36.93,1968
fin,39.26,1969
fin,34.89,1970
fin,35.09,1971
fin,38.69,1972
fin,36.94,1973
fin,39.44,1974
fin,39.36,1975
fin,40.58,1976
fin,40.01,1977
fin,40.44,1978
fin,38.43,1979
fin,38.74,1980
fin,36.34,1981
fin,35.65,1982
fin,36.87,1983
fin,38.43,1984
fin,37.23,1985
fin,39.49,1986
fin,40.42,1987
fin,41.9,1988
fin,42.6,1989
fin,45.09,1990
fin,44.28,1991
fin,42.55,1992
fin,40.26,1993
fin,39.89,1994
fin,38.98,1995
fin,34.76,1996
fin,37.41,1997
fin,34.01,1998
fin,34.15,1999
fin,31.0,2000
fin,32.67,2001
fin,28.76,2002
fin,28.25,2003
fin,28.12,2004
fra,22.18,1950
fra,22.38,1952
fra,22.27,1953
fra,23.5,1954
fra,22.89,1955
fra,24.46,1956
fra,22.9,1957
fra,23.09,1958
fra,23.4,1959
fra,22.44,1960
fra,22.93,1961
fra,21.76,1962
fra,22.54,1963
fra,21.37,1964
fra,22.07,1965
fra,22.5,1966
fra,22.52,1967
fra,21.49,1968
fra,21.8,1969
fra,21.4,1970
fra,21.03,1971
fra,21.9,1972
fra,21.18,1973
fra,21.23,1974
fra,21.2,1975
fra,21.19,1976
fra,21.53,1977
fra,22.81,1978
fra,24.77,1979
fra,25.45,1980
fra,25.73,1981
fra,27.48,1982
fra,28.46,1983
fra,28.74,1984
fra,29.39,1985
fra,29.63,1986
fra,27.96,1987
fra,26.52,1988
fra,26.61,1989
fra,25.78,1990
fra,25.73,1991
fra,26.15,1992
fra,27.34,1993
fra,27.03,1994
fra,25.86,1995
fra,24.46,1996
fra,23.92,1997
fra,23.12,1998
fra,22.1,1999
fra,23.39,2000
fra,22.42,2001
fra,22.44,2002
fra,23.04,2003
fra,22.2,2004
gab,9.427,2004
gmb,8.354,2004
geo,10.5,1981
geo,8.222,1982
geo,6.979,1985
