geo,infant_mortality_rate_per_1000_births,time
arg,143.0,1912
arg,130.0,1913
arg,125.0,1914
arg,124.0,1915
arg,124.0,1916
arg,128.0,1917
arg,138.0,1918
arg,134.0,1919
arg,127.0,1920
arg,116.0,1921
arg,112.0,1922
arg,112.0,1923
arg,116.0,1924
arg,121.0,1925
arg,119.0,1926
arg,126.0,1927
arg,113.0,1928
arg,107.0,1929
arg,100.0,1930
arg,100.0,1931
arg,95.0,1932
arg,87.0,1933
arg,97.0,1934
arg,106.0,1935
arg,97.0,1936
arg,95.0,1937
arg,103.0,1938
arg,90.0,1939
arg,90.0,1940
arg,85.0,1941
arg,86.0,1942
arg,80.0,1943
arg,81.0,1944
arg,82.0,1945
arg,74.0,1946
arg,78.0,1947
arg,69.0,1948
arg,67.0,1949
arg,68.0,1950
arg,67.0,1951
arg,65.0,1952
arg,63.0,1953
arg,60.0,1954
arg,62.0,1955
arg,57.0,1956
arg,68.0,1957
arg,61.0,1958
arg,59.0,1959
arg,59.87,1960
arg,59.73,1961
arg,59.59,1962
arg,59.39,1963
arg,59.25,1964
arg,59.11,1965
arg,58.89,1966
arg,58.73,1967
arg,58.58,1968
arg,60.0,1969
arg,59.5,1970
arg,58.8,1971
arg,58.0,1972
arg,56.8,1973
arg,55.2,1974
arg,53.2,1975
arg,50.5,1976
arg,47.2,1977
arg,43.8,1978
arg,40.3,1979
arg,37.2,1980
arg,34.7,1981
arg,32.8,1982
arg,31.3,1983
arg,30.1,1984
arg,29.0,1985
arg,28.1,1986
arg,27.1,1987
arg,26.2,1988
arg,25.3,1989
arg,24.4,1990
arg,23.6,1991
arg,22.8,1992
arg,22.1,1993
arg,21.4,1994
arg,20.8,1995
arg,20.2,1996
arg,19.6,1997
arg,19.1,1998
arg,18.5,1999
arg,18.0,2000
arg,17.6,2001
arg,17.1,2002
arg,16.6,2003
arg,16.0,2004
arg,15.3,2005
arg,14.6,2006
arg,14.1,2007
arg,13.7,2008
arg,13.4,2009
arg,13.0,2010
arg,12.7,2011
