geo,epidemic_affected_annual_number,time
kir,369,1977
kir,0,1978
kir,0,1979
kir,0,1980
kir,0,1981
kir,0,1982
kir,0,1983
kir,0,1984
kir,0,1985
kir,0,1986
kir,0,1987
kir,0,1988
kir,0,1989
kir,0,1990
kir,0,1991
kir,0,1992
kir,0,1993
kir,0,1994
kir,0,1995
kir,0,1996
kir,0,1997
kir,0,1998
kir,0,1999
kir,0,2000
kir,0,2001
kir,0,2002
kir,0,2003
kir,0,2004
kir,0,2005
kir,0,2006
kir,0,2007
kir,0,2008
kor,0,1970
kor,0,1971
kor,0,1972
kor,0,1974
kor,0,1975
kor,0,1976
kor,0,1977
kor,0,1978
kor,0,1979
kor,0,1980
kor,0,1981
kor,0,1982
kor,0,1983
kor,0,1984
kor,0,1985
kor,0,1986
kor,0,1987
kor,0,1988
kor,0,1989
kor,0,1990
kor,0,1991
kor,0,1992
kor,0,1993
kor,0,1994
kor,0,1995
kor,0,1996
kor,0,1997
kor,350,1998
kor,0,1999
kor,39540,2000
kor,0,2001
kor,3,2002
kor,0,2003
kor,0,2004
kor,0,2005
kor,0,2006
kor,0,2007
kor,0,2008
prk,0,1970
prk,0,1971
prk,0,1972
prk,0,1974
prk,0,1975
prk,0,1976
prk,0,1977
prk,0,1978
prk,0,1979
prk,0,1980
prk,0,1981
prk,0,1982
prk,0,1983
prk,0,1984
prk,0,1985
prk,0,1986
prk,0,1987
prk,0,1988
prk,0,1989
prk,0,1990
prk,0,1991
prk,0,1992
prk,0,1993
prk,0,1994
prk,0,1995
prk,200,1996
prk,0,1997
prk,0,1998
prk,0,1999
prk,0,2000
prk,0,2001
prk,0,2002
prk,0,2003
prk,0,2004
prk,0,2005
prk,3004,2006
prk,0,2007
prk,0,2008
kwt,0,1970
kwt,0,1971
kwt,0,1972
kwt,0,1974
kwt,0,1975
kwt,0,1976
kwt,0,1977
kwt,0,1978
kwt,0,1979
kwt,0,1980
kwt,0,1981
kwt,0,1982
kwt,0,1983
kwt,0,1984
kwt,0,1985
kwt,0,1986
kwt,0,1987
kwt,0,1988
kwt,0,1989
kwt,0,1990
kwt,0,1991
kwt,0,1992
kwt,0,1993
kwt,0,1994
kwt,0,1995
kwt,0,1996
kwt,0,1997
kwt,0,1998
kwt,0,1999
kwt,0,2000
kwt,0,2001
kwt,1,2002
kwt,0,2003
kwt,0,2004
kwt,0,2005
kwt,0,2006
kwt,0,2007
kwt,0,2008
kgz,0,1970
kgz,0,1971
kgz,0,1972
kgz,0,1974
kgz,0,1975
kgz,0,1976
kgz,0,1977
kgz,0,1978
kgz,0,1979
kgz,0,1980
kgz,0,1981
kgz,0,1982
kgz,0,1983
kgz,0,1984
kgz,0,1985
kgz,0,1986
kgz,0,1987
kgz,0,1988
kgz,0,1989
kgz,0,1990
kgz,0,1991
kgz,0,1992
kgz,0,1993
kgz,0,1994
kgz,0,1995
kgz,0,1996
kgz,358,1997
kgz,458,1998
kgz,0,1999
kgz,0,2000
kgz,0,2001
kgz,0,2002
kgz,0,2003
kgz,0,2004
kgz,0,2005
kgz,0,2006
kgz,0,2007
kgz,0,2008
lao,0,1970
lao,0,1971
lao,0,1972
lao,0,1974
lao,0,1975
lao,0,1976
lao,0,1977
lao,0,1978
lao,0,1979
lao,0,1980
lao,0,1981
lao,0,1982
lao,0,1983
lao,0,1984
lao,0,1985
lao,0,1986
lao,2063,1987
lao,0,1988
lao,0,1989
lao,0,1990
lao,0,1991
lao,143,1992
lao,0,1993
lao,8500,1994
lao,278,1995
lao,0,1996
lao,0,1997
lao,0,1998
lao,0,1999
lao,9729,2000
lao,0,2001
lao,0,2002
lao,0,2003
lao,2,2004
lao,0,2005
lao,0,2006
lao,0,2007
lao,0,2008
lva,0,1970
lva,0,1971
lva,0,1972
lva,0,1974
lva,0,1975
lva,0,1976
lva,0,1977
lva,0,1978
lva,0,1979
lva,0,1980
lva,0,1981
lva,0,1982
lva,0,1983
lva,0,1984
lva,0,1985
lva,0,1986
lva,0,1987
lva,0,1988
lva,0,1989
lva,0,1990
lva,0,1991
lva,0,1992
lva,0,1993
lva,0,1994
lva,0,1995
lva,0,1996
lva,0,1997
lva,0,1998
lva,0,1999
lva,102,2000
lva,0,2001
lva,0,2002
lva,0,2003
lva,0,2004
lva,0,2005
lva,0,2006
lva,0,2007
lva,0,2008
lso,0,1970
lso,0,1971
lso,0,1972
lso,500,1974
lso,0,1975
lso,0,1976
lso,0,1977
lso,0,1978
lso,0,1979
lso,0,1980
lso,0,1981
lso,0,1982
lso,0,1983
lso,0,1984
lso,0,1985
lso,0,1986
lso,0,1987
lso,0,1988
lso,0,1989
lso,0,1990
lso,0,1991
lso,0,1992
lso,0,1993
lso,0,1994
lso,0,1995
lso,0,1996
lso,0,1997
lso,0,1998
lso,1890,1999
lso,1862,2000
lso,0,2001
lso,0,2002
lso,0,2003
lso,0,2004
lso,0,2005
lso,0,2006
lso,0,2007
lso,0,2008
lbr,0,1970
lbr,0,1971
lbr,0,1972
lbr,0,1974
lbr,0,1975
lbr,0,1976
lbr,0,1977
lbr,0,1978
lbr,0,1979
lbr,2353,1980
lbr,0,1981
lbr,0,1982
lbr,0,1983
lbr,0,1984
lbr,0,1985
lbr,0,1986
lbr,0,1987
lbr,0,1988
lbr,0,1989
lbr,0,1990
lbr,0,1991
lbr,0,1992
lbr,0,1993
lbr,0,1994
lbr,368,1995
lbr,56,1996
lbr,0,1997
lbr,572,1998
lbr,39,1999
lbr,125,2000
lbr,0,2001
lbr,661,2002
lbr,19420,2003
lbr,0,2004
lbr,703,2005
lbr,0,2006
lbr,0,2007
lbr,0,2008
mac,0,1970
mac,0,1971
mac,0,1972
mac,0,1974
mac,0,1975
mac,0,1976
mac,0,1977
mac,0,1978
mac,0,1979
mac,0,1980
mac,0,1981
