co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,geo,time
0.2198,blz,2007
0.2122,blz,2008
0.1263,ben,1980
0.09529,ben,1981
0.1091,ben,1982
0.1049,ben,1983
0.108,ben,1984
0.1457,ben,1985
0.1328,ben,1986
0.1048,ben,1987
0.1055,ben,1988
0.1242,ben,1989
0.1341,ben,1990
0.1484,ben,1991
0.156,ben,1992
0.1885,ben,1993
0.2016,ben,1994
0.2022,ben,1995
0.1826,ben,1996
0.1656,ben,1997
0.1579,ben,1998
0.1941,ben,1999
0.1899,ben,2000
0.1944,ben,2001
0.2198,ben,2002
0.2391,ben,2003
0.2396,ben,2004
0.2492,ben,2005
0.3478,ben,2006
0.346,ben,2007
0.345,ben,2008
0.06177,btn,1981
0.0734,btn,1982
0.06079,btn,1983
0.09885,btn,1984
0.115,btn,1985
0.09402,btn,1986
0.146,btn,1987
0.1359,btn,1988
0.07252,btn,1989
0.1369,btn,1990
0.1901,btn,1991
0.2154,btn,1992
0.1805,btn,1993
0.1983,btn,1994
0.2192,btn,1995
0.252,btn,1996
0.3111,btn,1997
0.2865,btn,1998
0.2681,btn,1999
0.2588,btn,2000
0.2508,btn,2001
0.2853,btn,2002
0.2384,btn,2003
0.2225,btn,2004
0.2973,btn,2005
0.172,btn,2006
0.2004,btn,2007
0.2424,btn,2008
0.2308,bol,1980
0.2363,bol,1981
0.2232,bol,1982
0.2295,bol,1983
0.2166,bol,1984
0.2249,bol,1985
0.2113,bol,1986
0.22,bol,1987
0.2286,bol,1988
0.2553,bol,1989
0.2689,bol,1990
0.2682,bol,1991
0.3036,bol,1992
0.352,bol,1993
0.3726,bol,1994
0.3767,bol,1995
0.3345,bol,1996
0.3591,bol,1997
0.3587,bol,1998
0.3379,bol,1999
0.3213,bol,2000
0.2931,bol,2001
0.2703,bol,2002
0.3633,bol,2003
0.3216,bol,2004
0.2983,bol,2005
0.2895,bol,2006
0.3453,bol,2007
0.3198,bol,2008
0.8044,bih,1994
0.6497,bih,1995
0.5211,bih,1996
0.9029,bih,1997
1.014,bih,1998
1.07,bih,1999
1.256,bih,2000
1.073,bih,2001
1.128,bih,2002
1.1,bih,2003
1.097,bih,2004
1.087,bih,2005
1.097,bih,2006
1.084,bih,2007
1.109,bih,2008
0.2885,bwa,1980
0.2704,bwa,1981
0.263,bwa,1982
0.2177,bwa,1983
0.2034,bwa,1984
0.2105,bwa,1985
0.2224,bwa,1986
0.2307,bwa,1987
0.2032,bwa,1988
0.1973,bwa,1989
0.2268,bwa,1990
0.2082,bwa,1991
0.3103,bwa,1992
0.3242,bwa,1993
0.3128,bwa,1994
0.3009,bwa,1995
0.2539,bwa,1996
0.2358,bwa,1997
0.2544,bwa,1998
0.2241,bwa,1999
0.2552,bwa,2000
0.25,bwa,2001
0.2373,bwa,2002
0.2124,bwa,2003
0.2056,bwa,2004
0.209,bwa,2005
0.1959,bwa,2006
0.1945,bwa,2007
0.1973,bwa,2008
0.2032,bra,1980
0.1951,bra,1981
0.1944,bra,1982
0.1948,bra,1983
0.1875,bra,1984
0.1865,bra,1985
0.1895,bra,1986
0.1908,bra,1987
0.1927,bra,1988
0.1908,bra,1989
0.1945,bra,1990
0.2012,bra,1991
0.2034,bra,1992
0.2032,bra,1993
0.2025,bra,1994
0.2207,bra,1995
0.2361,bra,1996
0.2436,bra,1997
0.238,bra,1998
0.2435,bra,1999
0.2393,bra,2000
0.2432,bra,2001
0.2336,bra,2002
0.2238,bra,2003
0.2224,bra,2004
0.2211,bra,2005
0.2143,bra,2006
0.211,bra,2007
0.2142,bra,2008
0.4512,brn,1980
0.1202,brn,1981
0.1647,brn,1982
0.2118,brn,1983
0.1492,brn,1984
0.205,brn,1985
0.1866,brn,1986
0.2641,brn,1987
0.45,brn,1988
0.505,brn,1989
0.5054,brn,1990
0.4438,brn,1991
0.4231,brn,1992
0.4058,brn,1993
0.3808,brn,1994
0.3716,brn,1995
0.3665,brn,1996
0.3864,brn,1997
0.4001,brn,1998
0.2983,brn,1999
0.4117,brn,2000
0.3805,brn,2001
0.3145,brn,2002
0.3077,brn,2003
0.3064,brn,2004
0.2918,brn,2005
0.2629,brn,2006
0.5205,brn,2007
0.5882,brn,2008
1.5,bgr,1980
1.482,bgr,1981
1.625,bgr,1982
1.575,bgr,1983
1.473,bgr,1984
1.47,bgr,1985
1.443,bgr,1986
1.362,bgr,1987
1.17,bgr,1988
1.204,bgr,1989
1.184,bgr,1990
0.9936,bgr,1991
0.9619,bgr,1992
1.263,bgr,1993
0.9991,bgr,1994
1.04,bgr,1995
1.084,bgr,1996
1.044,bgr,1997
0.9453,bgr,1998
0.7996,bgr,1999
0.7486,bgr,2000
0.767,bgr,2001
0.7042,bgr,2002
0.7074,bgr,2003
0.6554,bgr,2004
0.631,bgr,2005
0.6049,bgr,2006
0.6135,bgr,2007
0.5528,bgr,2008
0.09638,bfa,1980
0.1191,bfa,1981
0.1123,bfa,1982
0.1154,bfa,1983
0.09214,bfa,1984
0.08692,bfa,1985
0.08113,bfa,1986
0.08753,bfa,1987
0.0886,bfa,1988
0.1287,bfa,1989
0.09247,bfa,1990
0.0906,bfa,1991
0.09092,bfa,1992
0.08737,bfa,1993
0.08876,bfa,1994
0.08157,bfa,1995
0.08293,bfa,1996
0.08892,bfa,1997
0.08851,bfa,1998
0.08907,bfa,1999
0.09779,bfa,2000
0.08782,bfa,2001
0.08449,bfa,2002
0.08391,bfa,2003
0.0821,bfa,2004
0.07874,bfa,2005
0.09019,bfa,2006
0.1054,bfa,2007
0.1131,bfa,2008
0.0825,bdi,1980
0.07907,bdi,1981
0.07991,bdi,1982
0.1003,bdi,1983
0.1073,bdi,1984
0.1008,bdi,1985
0.1023,bdi,1986
0.1073,bdi,1987
0.09792,bdi,1988
0.1132,bdi,1989
0.1107,bdi,1990
0.1194,bdi,1991
0.1094,bdi,1992
0.1234,bdi,1993
0.1297,bdi,1994
0.1378,bdi,1995
0.1482,bdi,1996
0.1439,bdi,1997
0.1309,bdi,1998
0.1291,bdi,1999
0.1334,bdi,2000
0.09407,bdi,2001
0.09159,bdi,2002
0.06954,bdi,2003
0.06486,bdi,2004
0.06575,bdi,2005
0.07505,bdi,2006
0.06707,bdi,2007
0.0629,bdi,2008
0.06112,khm,1993
0.06335,khm,1994
0.1587,khm,1995
0.1705,khm,1996
0.1891,khm,1997
0.2109,khm,1998
0.1854,khm,1999
0.175,khm,2000
0.1899,khm,2001
0.1925,khm,2002
0.194,khm,2003
0.1967,khm,2004
0.1848,khm,2005
0.1826,khm,2006
0.1806,khm,2007
0.1754,khm,2008
0.2136,cmr,1980
0.2496,cmr,1981
0.2757,cmr,1982
0.268,cmr,1983
0.2292,cmr,1984
0.2267,cmr,1985
0.06577,cmr,1986
0.06218,cmr,1987
0.08039,cmr,1988
0.2828,cmr,1989
0.06855,cmr,1990
0.04555,cmr,1991
0.1606,cmr,1992
0.1704,cmr,1993
0.1711,cmr,1994
0.1894,cmr,1995
0.1902,cmr,1996
0.1265,cmr,1997
0.1201,cmr,1998
0.1105,cmr,1999
0.1181,cmr,2000
0.1127,cmr,2001
0.1082,cmr,2002
0.1155,cmr,2003
0.1161,cmr,2004
0.106,cmr,2005
0.1185,cmr,2006
0.1656,cmr,2007
0.1384,cmr,2008
0.7553,can,1980
0.7086,can,1981
0.7017,can,1982
0.6778,can,1983
0.656,can,1984
0.6186,can,1985
0.5819,can,1986
0.5936,can,1987
0.5965,can,1988
0.5893,can,1989
0.6011,can,1990
0.6126,can,1991
0.6324,can,1992
0.6315,can,1993
0.573,can,1994
0.5639,can,1995
0.5647,can,1996
0.5595,can,1997
0.5327,can,1998
0.5037,can,1999
0.5383,can,2000
0.5187,can,2001
0.4989,can,2002
0.5194,can,2003
0.5059,can,2004
0.4972,can,2005
0.4714,can,2006
0.4575,can,2007
0.4543,can,2008
0.1097,cpv,1981
0.1156,cpv,1982
0.1044,cpv,1983
0.2174,cpv,1984
0.2015,cpv,1985
0.1368,cpv,1986
0.1832,cpv,1987
0.1572,cpv,1988
0.1636,cpv,1989
0.1772,cpv,1990
0.182,cpv,1991
0.1974,cpv,1992
0.1844,cpv,1993
0.1847,cpv,1994
0.1776,cpv,1995
0.2093,cpv,1996
0.2038,cpv,1997
0.2044,cpv,1998
0.2106,cpv,1999
0.1956,cpv,2000
0.2059,cpv,2001
0.2299,cpv,2002
0.2262,cpv,2003
0.2263,cpv,2004
0.2361,cpv,2005
0.2251,cpv,2006
0.2096,cpv,2007
0.1951,cpv,2008
0.04895,caf,1980
0.06344,caf,1981
0.06208,caf,1982
0.0693,caf,1983
0.06488,caf,1984
0.067,caf,1985
0.06468,caf,1986
0.1098,caf,1987
0.09579,caf,1988
0.1014,caf,1989
0.08228,caf,1990
0.0858,caf,1991
0.0966,caf,1992
0.09954,caf,1993
0.09956,caf,1994
0.09287,caf,1995
0.09674,caf,1996
0.09618,caf,1997
0.09323,caf,1998
0.09529,caf,1999
0.09444,caf,2000
0.08645,caf,2001
0.08696,caf,2002
0.0899,caf,2003
0.08901,caf,2004
0.08692,caf,2005
0.08897,caf,2006
0.08706,caf,2007
0.08783,caf,2008
0.07056,tcd,1980
0.06984,tcd,1981
0.06513,tcd,1982
0.0563,tcd,1983
0.05813,tcd,1984
0.03964,tcd,1985
0.04301,tcd,1986
0.04665,tcd,1987
0.01347,tcd,1988
0.01997,tcd,1989
0.02978,tcd,1990
0.01303,tcd,1991
0.01524,tcd,1992
0.02034,tcd,1993
0.01915,tcd,1994
0.01892,tcd,1995
0.01917,tcd,1996
0.0194,tcd,1997
0.01814,tcd,1998
0.01944,tcd,1999
0.02853,tcd,2000
0.02501,tcd,2001
0.02257,tcd,2002
0.04447,tcd,2003
0.03296,tcd,2004
0.02973,tcd,2005
0.03021,tcd,2006
0.03423,tcd,2007
0.03682,tcd,2008
0.4211,chl,1980
0.3908,chl,1981
0.3659,chl,1982
0.3844,chl,1983
0.3792,chl,1984
0.3429,chl,1985
0.336,chl,1986
0.3212,chl,1987
0.3555,chl,1988
0.3868,chl,1989
0.4019,chl,1990
0.3519,chl,1991
0.3241,chl,1992
0.3222,chl,1993
0.3372,chl,1994
0.3311,chl,1995
0.3501,chl,1996
0.3783,chl,1997
0.3789,chl,1998
0.4028,chl,1999
0.3723,chl,2000
0.3237,chl,2001
0.3288,chl,2002
0.3183,chl,2003
0.3322,chl,2004
0.3217,chl,2005
0.3167,chl,2006
0.323,chl,2007
0.325,chl,2008
2.854,chn,1980
2.684,chn,1981
2.678,chn,1982
2.547,chn,1983
2.408,chn,1984
2.298,chn,1985
2.222,chn,1986
2.127,chn,1987
2.049,chn,1988
2.001,chn,1989
1.969,chn,1990
1.894,chn,1991
1.73,chn,1992
1.621,chn,1993
1.522,chn,1994
1.49,chn,1995
1.413,chn,1996
1.295,chn,1997
1.151,chn,1998
1.068,chn,1999
1.011,chn,2000
0.9561,chn,2001
0.9283,chn,2002
1.034,chn,2003
1.097,chn,2004
1.079,chn,2005
1.061,chn,2006
0.9838,chn,2007
0.9293,chn,2008
0.3116,col,1980
0.3054,col,1981
0.3124,col,1982
0.3312,col,1983
0.3175,col,1984
0.3042,col,1985
0.2917,col,1986
0.2846,col,1987
0.2841,col,1988
0.2789,col,1989
0.2832,col,1990
0.2759,col,1991
0.2853,col,1992
0.2876,col,1993
0.2868,col,1994
0.2405,col,1995
0.2393,col,1996
0.2481,col,1997
0.2508,col,1998
0.2242,col,1999
0.2201,col,2000
0.2103,col,2001
0.2029,col,2002
0.2014,col,2003
0.1791,col,2004
0.1882,col,2005
0.1835,col,2006
0.1769,col,2007
0.1823,col,2008
0.1202,com,1980
0.1158,com,1981
0.1088,com,1982
0.1038,com,1983
0.09971,com,1984
0.1125,com,1985
0.1031,com,1986
0.1159,com,1987
0.1199,com,1988
0.1238,com,1989
0.1456,com,1990
0.1539,com,1991
0.1418,com,1992
0.1376,com,1993
0.1453,com,1994
0.1469,com,1995
0.1218,com,1996
0.1171,com,1997
0.1284,com,1998
0.1386,com,1999
0.1429,com,2000
0.1443,com,2001
0.1443,com,2002
0.1521,com,2003
0.1581,com,2004
0.1625,com,2005
0.1766,com,2006
0.1757,com,2007
0.1793,com,2008
0.1664,cod,1980
0.1754,cod,1981
0.1433,cod,1982
0.1852,cod,1983
0.1728,cod,1984
0.158,cod,1985
0.1399,cod,1986
0.1555,cod,1987
0.1614,cod,1988
0.1787,cod,1989
0.1772,cod,1990
0.1785,cod,1991
0.1922,cod,1992
0.2093,cod,1993
0.1583,cod,1994
0.1882,cod,1995
0.2082,cod,1996
0.1987,cod,1997
0.1749,cod,1998
0.1621,cod,1999
0.1275,cod,2000
0.1239,cod,2001
0.118,cod,2002
0.1227,cod,2003
0.1546,cod,2004
0.1508,cod,2005
0.149,cod,2006
0.1455,cod,2007
0.1512,cod,2008
0.07671,cog,1980
0.07579,cog,1981
0.1745,cog,1982
0.1401,cog,1983
0.1306,cog,1984
0.1483,cog,1985
0.1327,cog,1986
0.1644,cog,1987
0.183,cog,1988
0.1792,cog,1989
0.1399,cog,1990
0.1454,cog,1991
0.1763,cog,1992
0.1747,cog,1993
0.2574,cog,1994
0.1803,cog,1995
0.1895,cog,1996
0.2603,cog,1997
0.08328,cog,1998
0.09034,cog,1999
0.1072,cog,2000
0.08486,cog,2001
0.06663,cog,2002
0.1014,cog,2003
0.1717,cog,2004
0.1344,cog,2005
0.1154,cog,2006
0.1275,cog,2007
0.147,cog,2008
0.1649,cri,1980
0.1541,cri,1981
0.1541,cri,1982
0.1511,cri,1983
0.1353,cri,1984
0.1516,cri,1985
0.1649,cri,1986
0.1632,cri,1987
0.1676,cri,1988
0.1613,cri,1989
0.1543,cri,1990
0.1698,cri,1991
0.1768,cri,1992
0.1716,cri,1993
0.2184,cri,1994
0.1941,cri,1995
0.1877,cri,1996
0.1868,cri,1997
0.1837,cri,1998
0.1763,cri,1999
0.1717,cri,2000
0.1787,cri,2001
0.1907,cri,2002
0.1877,cri,2003
0.1883,cri,2004
0.1782,cri,2005
0.1755,cri,2006
0.1775,cri,2007
0.1706,cri,2008
0.2794,civ,1980
0.1938,civ,1981
0.2645,civ,1982
0.2181,civ,1983
0.2503,civ,1984
0.3246,civ,1985
0.256,civ,1986
0.3308,civ,1987
0.39,civ,1988
0.3524,civ,1989
0.2424,civ,1990
0.2356,civ,1991
0.1937,civ,1992
0.2474,civ,1993
0.2187,civ,1994
0.2772,civ,1995
0.3023,civ,1996
0.279,civ,1997
0.2252,civ,1998
0.201,civ,1999
0.2262,civ,2000
0.2574,civ,2001
0.2463,civ,2002
0.1875,civ,2003
0.2585,civ,2004
0.2606,civ,2005
0.2362,civ,2006
0.2076,civ,2007
0.223,civ,2008
0.3688,hrv,1992
0.4007,hrv,1993
0.3888,hrv,1994
0.3801,hrv,1995
0.3773,hrv,1996
0.369,hrv,1997
0.3829,hrv,1998
0.3883,hrv,1999
0.3588,hrv,2000
0.365,hrv,2001
0.3675,hrv,2002
0.3754,hrv,2003
0.3529,hrv,2004
0.3393,hrv,2005
0.3243,hrv,2006
0.3245,hrv,2007
0.3038,hrv,2008
0.5599,cyp,1980
0.5187,cyp,1981
0.4981,cyp,1982
0.4712,cyp,1983
0.445,cyp,1984
0.4136,cyp,1985
0.4558,cyp,1986
0.4949,cyp,1987
0.4563,cyp,1988
0.4445,cyp,1989
0.4436,cyp,1990
0.4486,cyp,1991
0.4564,cyp,1992
0.4866,cyp,1993
0.4714,cyp,1994
0.437,cyp,1995
0.4456,cyp,1996
0.448,cyp,1997
0.4636,cyp,1998
0.4497,cyp,1999
0.4342,cyp,2000
0.4172,cyp,2001
0.4191,cyp,2002
0.4537,cyp,2003
0.412,cyp,2004
0.4056,cyp,2005
0.4044,cyp,2006
0.4048,cyp,2007
0.4077,cyp,2008
0.9381,cze,1992
0.8868,cze,1993
0.8395,cze,1994
0.8034,cze,1995
0.7907,cze,1996
0.7817,cze,1997
0.76,cze,1998
0.6688,cze,1999
0.7186,cze,2000
0.7,cze,2001
0.6637,cze,2002
0.6522,cze,2003
0.6259,cze,2004
0.5793,cze,2005
0.5516,cze,2006
0.5246,cze,2007
0.4833,cze,2008
0.5654,dnk,1980
0.4884,dnk,1981
0.4883,dnk,1982
0.4446,dnk,1983
0.4322,dnk,1984
0.4908,dnk,1985
0.4583,dnk,1986
0.4533,dnk,1987
0.4286,dnk,1988
0.379,dnk,1989
0.3855,dnk,1990
0.4637,dnk,1991
0.4036,dnk,1992
0.4247,dnk,1993
0.4296,dnk,1994
0.3766,dnk,1995
0.4551,dnk,1996
0.3663,dnk,1997
0.3522,dnk,1998
0.312,dnk,1999
0.2796,dnk,2000
0.2881,dnk,2001
0.3035,dnk,2002
0.3259,dnk,2003
0.2875,dnk,2004
0.2605,dnk,2005
0.2926,dnk,2006
0.263,dnk,2007
0.2455,dnk,2008
0.2598,dji,1990
0.2714,dji,1991
0.2814,dji,1992
0.312,dji,1993
0.315,dji,1994
0.3263,dji,1995
0.3462,dji,1996
0.3517,dji,1997
0.3279,dji,1998
0.3467,dji,1999
0.3139,dji,2000
0.2936,dji,2001
0.297,dji,2002
0.2931,dji,2003
0.3179,dji,2004
0.318,dji,2005
0.3128,dji,2006
0.2977,dji,2007
0.3025,dji,2008
0.1217,dma,1980
0.1085,dma,1981
0.1147,dma,1982
0.1116,dma,1983
0.1155,dma,1984
0.1236,dma,1985
0.1154,dma,1986
0.1073,dma,1987
0.1141,dma,1988
0.122,dma,1989
0.1159,dma,1990
0.1152,dma,1991
0.1129,dma,1992
0.118,dma,1993
0.13,dma,1994
0.1476,dma,1995
0.1307,dma,1996
0.1417,dma,1997
0.1288,dma,1998
0.134,dma,1999
0.1745,dma,2000
0.1936,dma,2001
0.1781,dma,2002
0.1832,dma,2003
0.1716,dma,2004
0.1781,dma,2005
0.1647,dma,2006
0.2134,dma,2007
0.1709,dma,2008
0.296,dom,1980
0.2711,dom,1981
0.274,dom,1982
0.3269,dom,1983
0.3037,dom,1984
0.304,dom,1985
0.3294,dom,1986
0.3566,dom,1987
0.352,dom,1988
0.3554,dom,1989
0.347,dom,1990
0.3641,dom,1991
0.3642,dom,1992
0.3619,dom,1993
0.3756,dom,1994
0.4524,dom,1995
0.46,dom,1996
0.4428,dom,1997
0.4238,dom,1998
0.4011,dom,1999
0.4047,dom,2000
