food_supply_kilocalories_per_person_and_day,geo,time
3027,aze,2006
2961,aze,2007
2447,bhs,1961
2389,bhs,1962
2359,bhs,1963
2428,bhs,1964
2447,bhs,1965
2540,bhs,1966
2497,bhs,1967
2551,bhs,1968
2576,bhs,1969
2600,bhs,1970
2594,bhs,1971
2517,bhs,1972
2442,bhs,1973
2398,bhs,1974
2341,bhs,1975
2360,bhs,1976
2216,bhs,1977
2188,bhs,1978
2264,bhs,1979
2640,bhs,1980
2499,bhs,1981
2762,bhs,1982
2698,bhs,1983
2667,bhs,1984
2713,bhs,1985
2753,bhs,1986
2748,bhs,1987
2800,bhs,1988
2788,bhs,1989
2714,bhs,1990
2607,bhs,1991
2501,bhs,1992
2420,bhs,1993
2421,bhs,1994
2526,bhs,1995
2527,bhs,1996
2624,bhs,1997
2565,bhs,1998
2650,bhs,1999
2710,bhs,2000
2714,bhs,2001
2684,bhs,2002
2669,bhs,2003
2660,bhs,2004
2696,bhs,2005
2694,bhs,2006
2712,bhs,2007
1982,bgd,1961
1967,bgd,1962
2018,bgd,1963
2015,bgd,1964
1992,bgd,1965
1995,bgd,1966
1875,bgd,1967
1986,bgd,1968
2043,bgd,1969
2108,bgd,1970
1937,bgd,1971
1769,bgd,1972
1840,bgd,1973
1892,bgd,1974
1779,bgd,1975
1904,bgd,1976
1727,bgd,1977
1850,bgd,1978
1899,bgd,1979
1846,bgd,1980
1823,bgd,1981
1854,bgd,1982
1874,bgd,1983
1853,bgd,1984
1892,bgd,1985
1896,bgd,1986
1966,bgd,1987
1946,bgd,1988
1931,bgd,1989
1960,bgd,1990
1968,bgd,1991
1967,bgd,1992
1876,bgd,1993
1871,bgd,1994
1911,bgd,1995
1918,bgd,1996
1966,bgd,1997
2029,bgd,1998
2137,bgd,1999
2125,bgd,2000
2196,bgd,2001
2180,bgd,2002
2214,bgd,2003
2249,bgd,2004
2234,bgd,2005
2234,bgd,2006
2281,bgd,2007
2523,brb,1961
2586,brb,1962
2660,brb,1963
2609,brb,1964
2592,brb,1965
2610,brb,1966
2806,brb,1967
2706,brb,1968
2700,brb,1969
2814,brb,1970
3017,brb,1971
2906,brb,1972
2965,brb,1973
2857,brb,1974
2794,brb,1975
2868,brb,1976
2877,brb,1977
2976,brb,1978
2881,brb,1979
3169,brb,1980
3072,brb,1981
2860,brb,1982
2981,brb,1983
2891,brb,1984
2942,brb,1985
3057,brb,1986
3131,brb,1987
3048,brb,1988
3121,brb,1989
3111,brb,1990
3047,brb,1991
2949,brb,1992
2925,brb,1993
2919,brb,1994
2942,brb,1995
2975,brb,1996
3124,brb,1997
2977,brb,1998
3101,brb,1999
3025,brb,2000
3056,brb,2001
3056,brb,2002
3113,brb,2003
2937,brb,2004
3051,brb,2005
3057,brb,2006
3056,brb,2007
3133,blr,1992
3217,blr,1993
3134,blr,1994
3182,blr,1995
3280,blr,1996
3269,blr,1997
3218,blr,1998
3059,blr,1999
2989,blr,2000
3040,blr,2001
2969,blr,2002
2778,blr,2003
2898,blr,2004
2953,blr,2005
3158,blr,2006
3146,blr,2007
2942,bel,1961
2934,bel,1962
3041,bel,1963
3067,bel,1964
2999,bel,1965
3093,bel,1966
3104,bel,1967
3045,bel,1968
3172,bel,1969
3102,bel,1970
3204,bel,1971
3146,bel,1972
3278,bel,1973
3249,bel,1974
3175,bel,1975
3189,bel,1976
3192,bel,1977
3181,bel,1978
3185,bel,1979
3310,bel,1980
3306,bel,1981
3426,bel,1982
3378,bel,1983
3458,bel,1984
3453,bel,1985
3451,bel,1986
3463,bel,1987
3553,bel,1988
3530,bel,1989
3544,bel,1990
3574,bel,1991
3658,bel,1992
3602,bel,1993
3596,bel,1994
3577,bel,1995
3602,bel,1996
3666,bel,1997
3653,bel,1998
3667,bel,1999
3716,bel,2000
3720,bel,2001
3728,bel,2002
3722,bel,2003
3726,bel,2004
3702,bel,2005
3675,bel,2006
3694,bel,2007
2067,blz,1961
2205,blz,1962
2251,blz,1963
2246,blz,1964
2252,blz,1965
2236,blz,1966
2286,blz,1967
2238,blz,1968
2226,blz,1969
2260,blz,1970
2305,blz,1971
2300,blz,1972
2296,blz,1973
2362,blz,1974
2395,blz,1975
2394,blz,1976
2437,blz,1977
2519,blz,1978
2551,blz,1979
2652,blz,1980
2682,blz,1981
2635,blz,1982
2496,blz,1983
2498,blz,1984
2478,blz,1985
2476,blz,1986
2528,blz,1987
2504,blz,1988
2428,blz,1989
2460,blz,1990
2459,blz,1991
2618,blz,1992
2561,blz,1993
2500,blz,1994
2533,blz,1995
2472,blz,1996
2488,blz,1997
2498,blz,1998
2499,blz,1999
2548,blz,2000
2617,blz,2001
2651,blz,2002
2686,blz,2003
2700,blz,2004
2724,blz,2005
2715,blz,2006
2718,blz,2007
1857,ben,1961
1877,ben,1962
1815,ben,1963
1776,ben,1964
1925,ben,1965
1913,ben,1966
1941,ben,1967
2047,ben,1968
1976,ben,1969
1911,ben,1970
1961,ben,1971
1891,ben,1972
1973,ben,1973
1839,ben,1974
1675,ben,1975
1991,ben,1976
1928,ben,1977
1967,ben,1978
2070,ben,1979
1958,ben,1980
1913,ben,1981
1939,ben,1982
1817,ben,1983
2057,ben,1984
2044,ben,1985
2066,ben,1986
1897,ben,1987
2007,ben,1988
2200,ben,1989
2214,ben,1990
2300,ben,1991
2235,ben,1992
2254,ben,1993
2272,ben,1994
2299,ben,1995
2345,ben,1996
2322,ben,1997
2329,ben,1998
2335,ben,1999
2419,ben,2000
2383,ben,2001
2427,ben,2002
2473,ben,2003
2440,ben,2004
2499,ben,2005
2505,ben,2006
2533,ben,2007
2573,bmu,1961
2617,bmu,1962
2578,bmu,1963
2642,bmu,1964
2616,bmu,1965
2642,bmu,1966
2652,bmu,1967
2804,bmu,1968
2842,bmu,1969
2894,bmu,1970
2830,bmu,1971
2905,bmu,1972
2816,bmu,1973
2818,bmu,1974
2716,bmu,1975
2794,bmu,1976
2711,bmu,1977
2838,bmu,1978
2894,bmu,1979
2906,bmu,1980
2966,bmu,1981
2974,bmu,1982
3048,bmu,1983
3070,bmu,1984
3105,bmu,1985
3071,bmu,1986
3043,bmu,1987
2888,bmu,1988
2912,bmu,1989
2791,bmu,1990
2783,bmu,1991
3034,bmu,1992
2993,bmu,1993
2826,bmu,1994
2941,bmu,1995
2859,bmu,1996
2782,bmu,1997
2767,bmu,1998
2638,bmu,1999
2655,bmu,2000
2602,bmu,2001
2588,bmu,2002
2482,bmu,2003
2430,bmu,2004
2489,bmu,2005
2543,bmu,2006
2598,bmu,2007
1730,bol,1961
1759,bol,1962
1807,bol,1963
1742,bol,1964
1830,bol,1965
1834,bol,1966
1888,bol,1967
1933,bol,1968
1910,bol,1969
2006,bol,1970
2055,bol,1971
2009,bol,1972
1923,bol,1973
2064,bol,1974
2132,bol,1975
2130,bol,1976
2077,bol,1977
2117,bol,1978
2149,bol,1979
2099,bol,1980
2078,bol,1981
2015,bol,1982
1930,bol,1983
2015,bol,1984
2118,bol,1985
1997,bol,1986
2023,bol,1987
1990,bol,1988
2061,bol,1989
1974,bol,1990
2057,bol,1991
2060,bol,1992
2046,bol,1993
1998,bol,1994
2142,bol,1995
2081,bol,1996
2091,bol,1997
2024,bol,1998
2095,bol,1999
2147,bol,2000
2154,bol,2001
2173,bol,2002
2177,bol,2003
2100,bol,2004
2124,bol,2005
2091,bol,2006
2064,bol,2007
2419,bih,1992
2556,bih,1993
2725,bih,1994
2737,bih,1995
2851,bih,1996
3037,bih,1997
2921,bih,1998
2752,bih,1999
2707,bih,2000
2873,bih,2001
2864,bih,2002
2944,bih,2003
3076,bih,2004
3091,bih,2005
3082,bih,2006
3078,bih,2007
1970,bwa,1961
1890,bwa,1962
1954,bwa,1963
1986,bwa,1964
2005,bwa,1965
1938,bwa,1966
2002,bwa,1967
2044,bwa,1968
2005,bwa,1969
1997,bwa,1970
2081,bwa,1971
2082,bwa,1972
2014,bwa,1973
1908,bwa,1974
1987,bwa,1975
1964,bwa,1976
2032,bwa,1977
1915,bwa,1978
2059,bwa,1979
1996,bwa,1980
2014,bwa,1981
2046,bwa,1982
2141,bwa,1983
2229,bwa,1984
2180,bwa,1985
2217,bwa,1986
2232,bwa,1987
2252,bwa,1988
2162,bwa,1989
2266,bwa,1990
2276,bwa,1991
2252,bwa,1992
2116,bwa,1993
2233,bwa,1994
2230,bwa,1995
2242,bwa,1996
2191,bwa,1997
2147,bwa,1998
2155,bwa,1999
2154,bwa,2000
2195,bwa,2001
2181,bwa,2002
2192,bwa,2003
2200,bwa,2004
2207,bwa,2005
2234,bwa,2006
2264,bwa,2007
2215,bra,1961
2277,bra,1962
2249,bra,1963
2313,bra,1964
2338,bra,1965
2335,bra,1966
2380,bra,1967
2464,bra,1968
2440,bra,1969
2412,bra,1970
2433,bra,1971
2403,bra,1972
2390,bra,1973
2485,bra,1974
2495,bra,1975
2524,bra,1976
2559,bra,1977
2600,bra,1978
2707,bra,1979
2702,bra,1980
2621,bra,1981
2647,bra,1982
2616,bra,1983
2601,bra,1984
2632,bra,1985
2687,bra,1986
2718,bra,1987
2707,bra,1988
2752,bra,1989
2723,bra,1990
2780,bra,1991
2774,bra,1992
2778,bra,1993
2822,bra,1994
2816,bra,1995
2846,bra,1996
2859,bra,1997
2858,bra,1998
2871,bra,1999
2885,bra,2000
2896,bra,2001
2931,bra,2002
3069,bra,2003
3084,bra,2004
3082,bra,2005
3103,bra,2006
3113,bra,2007
1886,brn,1961
1928,brn,1962
1949,brn,1963
1959,brn,1964
1989,brn,1965
2181,brn,1966
2255,brn,1967
2119,brn,1968
2220,brn,1969
2104,brn,1970
2249,brn,1971
2158,brn,1972
2037,brn,1973
2056,brn,1974
2071,brn,1975
2103,brn,1976
2083,brn,1977
2336,brn,1978
2330,brn,1979
2536,brn,1980
2428,brn,1981
2494,brn,1982
2612,brn,1983
2709,brn,1984
2882,brn,1985
2709,brn,1986
2640,brn,1987
2991,brn,1988
2832,brn,1989
2705,brn,1990
2667,brn,1991
2818,brn,1992
2788,brn,1993
2876,brn,1994
2823,brn,1995
2897,brn,1996
2821,brn,1997
2856,brn,1998
2829,brn,1999
2834,brn,2000
2906,brn,2001
2978,brn,2002
3031,brn,2003
3021,brn,2004
3038,brn,2005
2956,brn,2006
2968,brn,2007
3190,bgr,1961
3242,bgr,1962
3303,bgr,1963
3351,bgr,1964
3437,bgr,1965
3522,bgr,1966
3480,bgr,1967
3466,bgr,1968
3491,bgr,1969
3465,bgr,1970
3545,bgr,1971
3481,bgr,1972
3481,bgr,1973
3466,bgr,1974
3504,bgr,1975
3599,bgr,1976
3509,bgr,1977
3575,bgr,1978
3588,bgr,1979
3596,bgr,1980
3665,bgr,1981
3646,bgr,1982
3619,bgr,1983
3616,bgr,1984
3595,bgr,1985
3656,bgr,1986
3678,bgr,1987
3700,bgr,1988
3622,bgr,1989
3133,bgr,1990
3045,bgr,1991
3026,bgr,1992
2961,bgr,1993
2873,bgr,1994
2899,bgr,1995
2743,bgr,1996
2680,bgr,1997
2823,bgr,1998
2882,bgr,1999
2815,bgr,2000
2773,bgr,2001
2772,bgr,2002
2774,bgr,2003
2768,bgr,2004
2768,bgr,2005
2749,bgr,2006
2766,bgr,2007
1508,bfa,1961
1487,bfa,1962
1662,bfa,1963
1759,bfa,1964
1779,bfa,1965
1761,bfa,1966
1795,bfa,1967
1803,bfa,1968
1804,bfa,1969
1747,bfa,1970
1712,bfa,1971
1640,bfa,1972
1618,bfa,1973
1638,bfa,1974
1697,bfa,1975
1765,bfa,1976
1561,bfa,1977
1757,bfa,1978
1845,bfa,1979
1730,bfa,1980
1659,bfa,1981
1846,bfa,1982
1753,bfa,1983
1710,bfa,1984
1900,bfa,1985
2260,bfa,1986
2273,bfa,1987
2236,bfa,1988
2316,bfa,1989
2400,bfa,1990
2442,bfa,1991
2525,bfa,1992
2543,bfa,1993
2564,bfa,1994
2547,bfa,1995
2544,bfa,1996
2498,bfa,1997
2470,bfa,1998
2533,bfa,1999
2483,bfa,2000
2522,bfa,2001
2588,bfa,2002
2646,bfa,2003
2638,bfa,2004
2653,bfa,2005
2677,bfa,2006
2677,bfa,2007
2105,bdi,1961
2069,bdi,1962
2028,bdi,1963
2168,bdi,1964
2137,bdi,1965
2111,bdi,1966
2144,bdi,1967
2181,bdi,1968
2086,bdi,1969
2110,bdi,1970
2127,bdi,1971
1937,bdi,1972
2123,bdi,1973
1860,bdi,1974
2137,bdi,1975
2143,bdi,1976
2158,bdi,1977
2133,bdi,1978
2023,bdi,1979
2025,bdi,1980
2039,bdi,1981
1945,bdi,1982
1874,bdi,1983
1779,bdi,1984
1957,bdi,1985
1987,bdi,1986
1951,bdi,1987
1927,bdi,1988
1764,bdi,1989
1864,bdi,1990
1878,bdi,1991
1847,bdi,1992
1781,bdi,1993
1699,bdi,1994
1696,bdi,1995
1718,bdi,1996
1728,bdi,1997
1672,bdi,1998
1680,bdi,1999
1647,bdi,2000
1693,bdi,2001
1700,bdi,2002
1694,bdi,2003
1679,bdi,2004
1696,bdi,2005
1658,bdi,2006
1685,bdi,2007
2019,khm,1961
1990,khm,1962
2060,khm,1963
2025,khm,1964
2029,khm,1965
2030,khm,1966
2035,khm,1967
2058,khm,1968
2043,khm,1969
2113,khm,1970
2110,khm,1971
2083,khm,1972
2032,khm,1973
2016,khm,1974
1699,khm,1975
1610,khm,1976
1608,khm,1977
1625,khm,1978
1631,khm,1979
1669,khm,1980
1743,khm,1981
1765,khm,1982
1823,khm,1983
1791,khm,1984
1723,khm,1985
1700,khm,1986
1804,khm,1987
1828,khm,1988
1766,khm,1989
1810,khm,1990
1878,khm,1991
1909,khm,1992
1906,khm,1993
1922,khm,1994
1947,khm,1995
1812,khm,1996
1804,khm,1997
1886,khm,1998
1966,khm,1999
2076,khm,2000
2056,khm,2001
2083,khm,2002
2134,khm,2003
2111,khm,2004
2218,khm,2005
2250,khm,2006
2268,khm,2007
1995,cmr,1961
2001,cmr,1962
2043,cmr,1963
2047,cmr,1964
1941,cmr,1965
2013,cmr,1966
2018,cmr,1967
2082,cmr,1968
2131,cmr,1969
2144,cmr,1970
2197,cmr,1971
2237,cmr,1972
2218,cmr,1973
2331,cmr,1974
2309,cmr,1975
2256,cmr,1976
2238,cmr,1977
2208,cmr,1978
2236,cmr,1979
2211,cmr,1980
2144,cmr,1981
2138,cmr,1982
2099,cmr,1983
2030,cmr,1984
2065,cmr,1985
2133,cmr,1986
2001,cmr,1987
1960,cmr,1988
2003,cmr,1989
1997,cmr,1990
1980,cmr,1991
2081,cmr,1992
1985,cmr,1993
1994,cmr,1994
2008,cmr,1995
1988,cmr,1996
2066,cmr,1997
2094,cmr,1998
2099,cmr,1999
2138,cmr,2000
2152,cmr,2001
2194,cmr,2002
2230,cmr,2003
2245,cmr,2004
2248,cmr,2005
2260,cmr,2006
2269,cmr,2007
2809,can,1961
2849,can,1962
2905,can,1963
2849,can,1964
2947,can,1965
2909,can,1966
2932,can,1967
2904,can,1968
2948,can,1969
2920,can,1970
2890,can,1971
2908,can,1972
2948,can,1973
2967,can,1974
2879,can,1975
3034,can,1976
3010,can,1977
2949,can,1978
2928,can,1979
2950,can,1980
2903,can,1981
2961,can,1982
2917,can,1983
2994,can,1984
3043,can,1985
3086,can,1986
3137,can,1987
3013,can,1988
3037,can,1989
3019,can,1990
3039,can,1991
3090,can,1992
3120,can,1993
3207,can,1994
3208,can,1995
3252,can,1996
3389,can,1997
3462,can,1998
3500,can,1999
3515,can,2000
3513,can,2001
3532,can,2002
3531,can,2003
3545,can,2004
3522,can,2005
3535,can,2006
3532,can,2007
1769,cpv,1961
1653,cpv,1962
1558,cpv,1963
1690,cpv,1964
1731,cpv,1965
1672,cpv,1966
1691,cpv,1967
1605,cpv,1968
1710,cpv,1969
1712,cpv,1970
1742,cpv,1971
1870,cpv,1972
1896,cpv,1973
1878,cpv,1974
1931,cpv,1975
1881,cpv,1976
1863,cpv,1977
2244,cpv,1978
2264,cpv,1979
2192,cpv,1980
2338,cpv,1981
2188,cpv,1982
2441,cpv,1983
2478,cpv,1984
2317,cpv,1985
2463,cpv,1986
2646,cpv,1987
2680,cpv,1988
2470,cpv,1989
2352,cpv,1990
2248,cpv,1991
2497,cpv,1992
2437,cpv,1993
2441,cpv,1994
2477,cpv,1995
2230,cpv,1996
2373,cpv,1997
2373,cpv,1998
2403,cpv,1999
2370,cpv,2000
2359,cpv,2001
2333,cpv,2002
2450,cpv,2003
2498,cpv,2004
2535,cpv,2005
2541,cpv,2006
2572,cpv,2007
2256,caf,1961
2218,caf,1962
2150,caf,1963
2115,caf,1964
2297,caf,1965
2081,caf,1966
2218,caf,1967
2215,caf,1968
2267,caf,1969
2341,caf,1970
2345,caf,1971
2360,caf,1972
2425,caf,1973
2529,caf,1974
2376,caf,1975
2395,caf,1976
2400,caf,1977
2351,caf,1978
2368,caf,1979
2314,caf,1980
2323,caf,1981
2241,caf,1982
2110,caf,1983
1924,caf,1984
1841,caf,1985
1902,caf,1986
1865,caf,1987
1862,caf,1988
1888,caf,1989
1887,caf,1990
1880,caf,1991
1883,caf,1992
1851,caf,1993
1841,caf,1994
1843,caf,1995
1834,caf,1996
1865,caf,1997
1912,caf,1998
1893,caf,1999
1917,caf,2000
1909,caf,2001
1914,caf,2002
1898,caf,2003
1909,caf,2004
1928,caf,2005
1954,caf,2006
1986,caf,2007
2280,tcd,1961
2391,tcd,1962
2374,tcd,1963
2335,tcd,1964
2299,tcd,1965
2260,tcd,1966
2249,tcd,1967
2212,tcd,1968
2169,tcd,1969
2092,tcd,1970
1999,tcd,1971
1852,tcd,1972
1742,tcd,1973
1759,tcd,1974
1695,tcd,1975
1647,tcd,1976
1651,tcd,1977
1626,tcd,1978
1631,tcd,1979
1599,tcd,1980
1578,tcd,1981
1572,tcd,1982
1547,tcd,1983
1516,tcd,1984
1720,tcd,1985
1580,tcd,1986
1529,tcd,1987
1703,tcd,1988
1623,tcd,1989
1606,tcd,1990
1731,tcd,1991
1765,tcd,1992
1605,tcd,1993
1924,tcd,1994
1755,tcd,1995
1771,tcd,1996
1848,tcd,1997
1989,tcd,1998
1944,tcd,1999
1918,tcd,2000
1977,tcd,2001
1927,tcd,2002
1987,tcd,2003
1999,tcd,2004
2019,tcd,2005
2045,tcd,2006
2056,tcd,2007
2498,chl,1961
2534,chl,1962
2634,chl,1963
2584,chl,1964
2565,chl,1965
2722,chl,1966
2685,chl,1967
2738,chl,1968
2647,chl,1969
2639,chl,1970
2710,chl,1971
2726,chl,1972
2573,chl,1973
2722,chl,1974
2492,chl,1975
2604,chl,1976
2559,chl,1977
2616,chl,1978
2661,chl,1979
2687,chl,1980
2704,chl,1981
2609,chl,1982
2544,chl,1983
2580,chl,1984
2484,chl,1985
2493,chl,1986
2492,chl,1987
2468,chl,1988
2465,chl,1989
2536,chl,1990
2563,chl,1991
2693,chl,1992
2694,chl,1993
2722,chl,1994
2720,chl,1995
2750,chl,1996
2752,chl,1997
2763,chl,1998
2766,chl,1999
2806,chl,2000
2837,chl,2001
2881,chl,2002
2908,chl,2003
2899,chl,2004
2946,chl,2005
3006,chl,2006
2920,chl,2007
1469,chn,1961
1575,chn,1962
1637,chn,1963
1705,chn,1964
1832,chn,1965
1899,chn,1966
1853,chn,1967
1798,chn,1968
1775,chn,1969
1887,chn,1970
1894,chn,1971
1881,chn,1972
1952,chn,1973
1950,chn,1974
1967,chn,1975
1934,chn,1976
1973,chn,1977
2122,chn,1978
2138,chn,1979
2206,chn,1980
2225,chn,1981
2390,chn,1982
2462,chn,1983
2500,chn,1984
2501,chn,1985
2510,chn,1986
2524,chn,1987
2510,chn,1988
2505,chn,1989
2612,chn,1990
2544,chn,1991
2573,chn,1992
2668,chn,1993
2738,chn,1994
2823,chn,1995
2816,chn,1996
2870,chn,1997
2912,chn,1998
2894,chn,1999
2908,chn,2000
2917,chn,2001
2927,chn,2002
2917,chn,2003
2940,chn,2004
2974,chn,2005
2967,chn,2006
2981,chn,2007
1963,col,1961
1983,col,1962
1895,col,1963
1969,col,1964
1938,col,1965
1895,col,1966
1889,col,1967
1903,col,1968
1916,col,1969
1943,col,1970
2019,col,1971
2032,col,1972
2048,col,1973
2119,col,1974
2121,col,1975
2237,col,1976
2215,col,1977
2284,col,1978
2254,col,1979
2324,col,1980
2361,col,1981
2328,col,1982
2361,col,1983
2327,col,1984
2289,col,1985
2279,col,1986
2378,col,1987
2339,col,1988
2387,col,1989
2392,col,1990
2400,col,1991
2450,col,1992
2496,col,1993
2527,col,1994
2587,col,1995
2563,col,1996
2603,col,1997
2574,col,1998
2621,col,1999
2657,col,2000
2666,col,2001
2629,col,2002
2657,col,2003
2665,col,2004
2631,col,2005
2671,col,2006
2685,col,2007
1817,com,1961
1896,com,1962
1902,com,1963
1902,com,1964
1972,com,1965
1941,com,1966
1951,com,1967
1961,com,1968
1926,com,1969
1865,com,1970
1968,com,1971
1976,com,1972
1955,com,1973
1918,com,1974
1901,com,1975
1855,com,1976
1835,com,1977
1829,com,1978
1833,com,1979
1802,com,1980
1804,com,1981
1809,com,1982
1792,com,1983
1786,com,1984
1729,com,1985
1788,com,1986
1816,com,1987
1801,com,1988
1860,com,1989
1887,com,1990
1909,com,1991
1906,com,1992
1881,com,1993
1821,com,1994
1819,com,1995
1838,com,1996
1784,com,1997
1732,com,1998
