geo,breast_cancer_new_cases_per_100000_women,time
esp,50.9,2002
lka,23.6,2002
sdn,22.5,2002
sur,30.0,2002
swz,12.3,2002
swe,45.13,1958
swe,43.3,1959
swe,43.31,1960
swe,46.37,1961
swe,47.89,1962
swe,46.91,1963
swe,48.11,1964
swe,47.02,1965
swe,52.41,1966
swe,46.1,1967
swe,49.33,1968
swe,53.87,1969
swe,51.39,1970
swe,51.36,1971
swe,52.75,1972
swe,53.02,1973
swe,54.49,1974
swe,52.51,1975
swe,55.76,1976
swe,59.37,1977
swe,57.76,1978
swe,60.66,1979
swe,57.12,1980
swe,58.0,1981
swe,57.12,1982
swe,56.52,1983
swe,57.48,1984
swe,59.59,1985
swe,59.12,1986
swe,62.92,1987
swe,65.29,1988
swe,66.54,1989
swe,73.15,1990
swe,71.48,1991
swe,67.81,1992
swe,66.2,1993
swe,73.61,1994
swe,72.26,1995
swe,72.1,1996
swe,73.1,1997
swe,87.8,2002
che,81.7,2002
syr,44.8,2002
tjk,13.2,2002
tza,21.1,2002
tha,16.6,2002
tgo,28.1,2002
tto,51.1,2002
tun,19.6,2002
tur,22.0,2002
tkm,17.9,2002
uga,18.3,2002
ukr,39.9,2002
are,24.1,2002
gbr,87.2,2002
usa,101.1,2002
ury,83.1,2002
uzb,17.3,2002
vut,24.0,2002
ven,34.3,2002
vnm,16.2,2002
yem,35.1,2002
zmb,13.0,2002
zwe,19.0,2002
