geo,debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,time
ind,16.15,1982
ind,19.42,1983
ind,21.7,1984
ind,26.78,1985
ind,37.56,1986
ind,36.19,1987
ind,34.15,1988
ind,33.58,1989
ind,34.87,1990
ind,33.79,1991
ind,30.38,1992
ind,30.3,1993
ind,33.54,1994
ind,34.45,1995
ind,28.43,1996
ind,26.92,1997
ind,25.31,1998
ind,18.94,1999
ind,17.49,2000
ind,17.9,2001
ind,20.9,2002
ind,29.16,2003
ind,14.46,2004
ind,14.9,2005
ind,8.606,2006
ind,15.81,2007
ind,10.09,2008
ind,5.886,2009
idn,14.04,1981
idn,18.13,1982
idn,18.83,1983
idn,21.88,1984
idn,28.91,1985
idn,37.46,1986
idn,37.18,1987
idn,40.44,1988
idn,38.7,1989
idn,33.48,1990
idn,34.37,1991
idn,32.78,1992
idn,33.87,1993
idn,30.97,1994
idn,30.28,1995
idn,37.15,1996
idn,30.33,1997
idn,32.26,1998
idn,30.6,1999
idn,22.75,2000
idn,23.86,2001
idn,25.13,2002
idn,26.22,2003
idn,24.17,2004
idn,19.78,2005
idn,24.04,2006
idn,17.86,2007
idn,13.49,2008
idn,18.38,2009
irn,6.812,1980
irn,5.571,1981
irn,5.435,1982
irn,4.601,1983
irn,4.1,1984
irn,4.101,1985
irn,7.29,1986
irn,3.581,1987
irn,5.595,1988
irn,3.292,1989
irn,3.242,1990
irn,4.108,1991
irn,5.169,1992
irn,9.336,1993
irn,16.45,1994
irn,29.69,1995
irn,27.11,1996
irn,31.05,1997
irn,18.15,1998
irn,17.31,1999
irn,9.681,2000
irn,4.187,2003
irn,4.498,2004
irn,3.929,2005
irn,3.252,2006
irn,2.759,2007
irn,2.494,2008
irn,2.149,2009
jam,70.19,1976
jam,28.25,1977
jam,59.12,1978
jam,24.73,1979
jam,19.71,1980
jam,25.49,1981
jam,26.37,1982
jam,29.82,1983
jam,33.07,1984
jam,40.38,1985
jam,47.86,1986
jam,45.89,1987
jam,41.53,1988
jam,31.99,1989
jam,28.46,1990
jam,30.78,1991
jam,29.73,1992
jam,21.62,1993
jam,18.64,1994
jam,18.85,1995
jam,18.96,1996
jam,17.72,1997
jam,13.84,1998
jam,16.51,1999
jam,18.62,2000
jam,20.79,2001
jam,24.66,2002
jam,22.37,2003
jam,20.36,2004
jam,22.44,2005
jam,15.97,2006
jam,23.38,2007
jam,20.06,2008
jam,33.93,2009
jor,7.926,1972
jor,9.78,1973
jor,5.944,1974
jor,5.12,1975
jor,4.878,1976
jor,8.47,1977
jor,9.836,1978
jor,12.06,1979
jor,12.28,1980
jor,14.49,1981
jor,14.07,1982
jor,19.39,1983
jor,20.61,1984
jor,25.09,1985
jor,31.39,1986
jor,33.35,1987
jor,41.6,1988
jor,24.85,1989
jor,24.37,1990
jor,28.51,1991
jor,25.87,1992
jor,20.92,1993
jor,18.69,1994
jor,16.69,1995
jor,25.9,1996
jor,22.6,1997
jor,22.16,1998
jor,13.71,1999
jor,17.58,2000
jor,14.94,2001
jor,11.7,2002
jor,21.52,2003
jor,10.66,2004
jor,8.3,2005
jor,7.541,2006
jor,7.203,2007
jor,19.66,2008
jor,4.838,2009
kaz,3.898,1995
kaz,4.589,1996
kaz,6.181,1997
kaz,14.43,1998
kaz,19.39,1999
kaz,32.16,2000
kaz,32.21,2001
kaz,34.8,2002
kaz,34.88,2003
kaz,38.09,2004
kaz,42.23,2005
kaz,33.65,2006
kaz,49.06,2007
kaz,41.97,2008
kaz,80.21,2009
ken,14.94,1975
ken,14.81,1976
ken,20.45,1977
ken,13.97,1978
ken,18.37,1979
ken,21.03,1980
ken,26.97,1981
ken,30.48,1982
ken,33.77,1983
ken,34.8,1984
ken,38.67,1985
ken,35.61,1986
ken,39.76,1987
ken,38.99,1988
ken,36.64,1989
ken,35.41,1990
ken,32.61,1991
ken,31.14,1992
ken,17.06,1993
ken,20.56,1994
ken,25.26,1995
ken,22.39,1996
ken,15.56,1997
ken,14.85,1998
ken,15.78,1999
ken,20.94,2000
ken,15.77,2001
ken,16.29,2002
ken,15.76,2003
ken,8.226,2004
ken,9.937,2005
ken,7.063,2006
ken,6.254,2007
ken,4.819,2008
ken,5.035,2009
kos,20.84,2009
kgz,0.4054,1993
kgz,4.394,1994
kgz,13.25,1995
kgz,13.09,1996
kgz,11.4,1997
kgz,18.8,1998
kgz,20.46,1999
kgz,29.36,2000
kgz,30.75,2001
kgz,19.94,2002
kgz,21.62,2003
kgz,16.91,2004
kgz,13.19,2005
kgz,6.593,2006
kgz,8.606,2007
kgz,11.79,2008
kgz,14.0,2009
lao,11.59,1984
lao,9.206,1985
lao,10.58,1986
lao,11.48,1987
lao,13.48,1988
lao,20.16,1989
lao,8.55,1990
lao,6.141,1991
lao,4.754,1992
lao,8.3,1993
lao,4.935,1994
lao,6.123,1995
lao,6.524,1996
lao,6.271,1997
lao,6.214,1998
lao,7.687,1999
lao,7.806,2000
lao,9.012,2001
lao,19.52,2002
lao,21.84,2003
lao,22.64,2004
lao,17.35,2005
lao,16.19,2006
lao,15.24,2007
lbn,35.6,2002
lbn,25.97,2003
lbn,33.88,2004
lbn,23.84,2005
lbn,26.21,2006
lbn,23.72,2007
lbn,17.64,2008
lbn,17.97,2009
lso,0.7139,1975
lso,0.3152,1976
lso,0.229,1977
lso,0.4701,1978
lso,0.8737,1979
lso,1.5,1980
lso,1.48,1981
lso,2.343,1982
lso,4.724,1983
lso,3.613,1984
lso,6.741,1985
lso,4.696,1986
lso,3.521,1987
lso,5.072,1988
lso,4.662,1989
lso,4.196,1990
lso,4.489,1991
lso,5.236,1992
lso,5.322,1993
lso,5.403,1994
lso,6.094,1995
lso,5.59,1996
lso,6.531,1997
lso,8.549,1998
lso,10.12,1999
lso,11.34,2000
lso,12.38,2001
lso,11.36,2002
lso,8.084,2003
lso,4.61,2004
lso,7.411,2005
lso,3.921,2006
lso,6.987,2007
lso,2.52,2008
lso,2.956,2009
lbr,13.51,1979
lbr,8.745,1980
lbr,8.604,1981
lbr,10.16,1982
lbr,10.99,1983
lbr,13.1,1984
lbr,8.603,1985
lbr,6.87,1986
lbr,3.738,1987
lbr,0.2166,2004
lbr,0.263,2005
lbr,0.1588,2006
lbr,114.2,2007
lbr,142.2,2008
ltu,0.3274,1993
ltu,2.852,1994
ltu,1.341,1995
ltu,2.909,1996
ltu,10.35,1997
ltu,14.71,1998
ltu,16.22,1999
ltu,20.9,2000
ltu,16.58,2001
ltu,16.93,2002
ltu,22.58,2003
ltu,14.59,2004
ltu,16.97,2005
ltu,22.72,2006
ltu,38.5,2007
ltu,31.68,2008
ltu,31.05,2009
mkd,4.393,1996
mkd,8.756,1997
mkd,10.8,1998
mkd,10.64,1999
mkd,8.238,2000
mkd,13.48,2001
mkd,16.87,2002
mkd,13.51,2003
mkd,12.73,2004
mkd,10.33,2005
mkd,17.99,2006
mkd,16.1,2007
mkd,9.074,2008
mkd,14.8,2009
mdg,29.88,1974
mdg,16.59,1975
mdg,3.29,1976
mdg,37.75,1977
mdg,4.802,1978
mdg,7.863,1979
mdg,19.36,1980
mdg,27.59,1981
mdg,28.73,1982
mdg,23.04,1983
mdg,30.96,1984
mdg,42.24,1985
mdg,52.26,1986
mdg,56.72,1987
mdg,52.44,1988
mdg,50.17,1989
mdg,45.88,1990
mdg,32.89,1991
mdg,18.78,1992
mdg,14.89,1993
mdg,9.917,1994
mdg,7.703,1995
mdg,10.23,1996
mdg,26.24,1997
mdg,14.68,1998
mdg,17.11,1999
mdg,9.647,2000
mdg,4.994,2001
mdg,4.867,2002
mdg,5.799,2003
mdg,5.741,2004
mdg,5.81,2005
mdg,3.505,2006
mdg,2.275,2009
mwi,10.42,1977
mwi,19.71,1978
mwi,17.47,1979
mwi,27.78,1980
mwi,36.03,1981
mwi,35.02,1982
mwi,29.26,1983
mwi,31.06,1984
mwi,39.83,1985
mwi,53.69,1986
mwi,37.42,1987
mwi,30.88,1988
mwi,30.9,1989
mwi,29.31,1990
mwi,24.68,1991
mwi,24.86,1992
mwi,22.38,1993
mwi,22.44,1994
mwi,24.94,1995
mwi,15.91,1996
mwi,14.39,1997
mwi,14.86,1998
mwi,13.98,1999
mwi,13.37,2000
mwi,9.462,2001
mwi,7.662,2002
mys,3.884,1974
mys,5.053,1975
mys,6.892,1976
mys,11.47,1977
mys,13.81,1978
mys,7.392,1979
mys,6.296,1980
mys,8.247,1981
mys,10.66,1982
mys,11.56,1983
mys,14.07,1984
mys,30.37,1985
mys,21.79,1986
mys,21.22,1987
mys,24.77,1988
mys,15.05,1989
mys,12.55,1990
mys,7.384,1991
mys,9.067,1992
mys,8.745,1993
mys,8.933,1994
mys,7.025,1995
mys,8.888,1996
mys,7.425,1997
mys,7.151,1998
mys,4.871,1999
mys,5.636,2000
mys,5.975,2001
mys,7.191,2002
mys,7.861,2003
mys,6.199,2004
mys,5.631,2005
mys,3.993,2006
mys,4.805,2007
mys,3.623,2008
mys,5.222,2009
mdv,5.688,1978
mdv,1.404,1979
mdv,0.8221,1980
mdv,3.405,1981
mdv,5.284,1982
mdv,9.599,1983
mdv,22.59,1984
mdv,11.24,1985
mdv,12.1,1986
mdv,6.509,1987
mdv,7.471,1988
mdv,6.306,1989
mdv,4.803,1990
mdv,3.74,1991
mdv,3.203,1992
mdv,3.865,1993
mdv,3.419,1994
mdv,3.361,1995
mdv,3.123,1996
mdv,6.993,1997
mdv,3.659,1998
mdv,3.989,1999
mdv,4.238,2000
mdv,4.601,2001
mdv,4.437,2002
mdv,3.689,2003
mdv,4.687,2004
mdv,7.183,2005
mdv,5.207,2006
mdv,6.165,2007
mdv,6.236,2008
mdv,8.299,2009
mli,4.981,1975
mli,6.142,1976
mli,6.245,1977
mli,6.445,1978
mli,6.868,1979
mli,6.23,1980
mli,10.38,1981
mli,10.27,1982
mli,9.713,1983
mli,13.26,1984
mli,22.28,1985
mli,22.27,1986
mli,20.34,1987
mli,24.35,1988
mli,19.72,1989
mli,15.33,1990
mli,9.608,1991
mli,12.44,1992
mli,16.5,1993
mli,21.35,1994
mli,16.13,1995
mli,21.12,1996
mli,12.82,1997
mli,12.26,1998
mli,14.84,1999
mli,13.96,2000
mli,8.888,2001
mli,7.602,2002
mli,6.533,2003
mli,7.936,2004
mli,6.882,2005
mli,4.373,2006
mli,3.343,2007
mli,2.61,2008
mrt,22.16,1975
mrt,37.64,1976
mrt,22.38,1977
mrt,16.81,1978
mrt,32.92,1979
mrt,17.61,1980
mrt,22.57,1981
mrt,18.63,1982
mrt,15.2,1983
mrt,20.18,1984
mrt,25.35,1985
mrt,22.33,1986
mrt,27.25,1987
mrt,27.83,1988
mrt,21.12,1989
mrt,30.7,1990
mrt,20.01,1991
mrt,20.28,1992
mrt,30.17,1993
mrt,24.73,1994
mrt,23.12,1995
mrt,22.71,1996
mrt,24.69,1997
mrt,27.84,1998
mus,2.402,1976
mus,2.872,1977
mus,3.82,1978
mus,5.087,1979
mus,7.642,1980
mus,15.45,1981
mus,17.27,1982
mus,23.17,1983
mus,25.2,1984
mus,23.67,1985
mus,14.42,1986
mus,10.41,1987
mus,14.15,1988
mus,9.695,1989
mus,8.508,1990
mus,8.99,1991
mus,9.003,1992
mus,6.345,1993
mus,7.266,1994
mus,8.737,1995
mus,6.384,1996
mus,7.843,1997
mus,8.139,1998
mus,6.102,1999
mus,16.95,2000
mus,5.798,2001
mus,7.446,2002
mus,5.848,2003
mus,5.828,2004
mus,5.806,2005
mus,5.828,2006
mus,2.887,2007
mus,2.796,2008
mus,2.717,2009
mex,65.97,1979
mex,45.7,1980
mex,47.74,1981
mex,52.45,1982
mex,46.73,1983
mex,46.53,1984
mex,45.18,1985
mex,45.68,1986
mex,34.11,1987
mex,38.85,1988
mex,34.18,1989
mex,21.72,1990
mex,24.59,1991
mex,35.62,1992
mex,37.57,1993
mex,26.93,1994
mex,28.06,1995
mex,36.49,1996
mex,33.12,1997
mex,21.73,1998
mex,23.16,1999
mex,31.48,2000
mex,26.79,2001
mex,24.65,2002
mex,23.3,2003
mex,24.31,2004
mex,19.15,2005
mex,20.57,2006
mex,13.44,2007
mex,13.03,2008
mex,15.98,2009
mda,2.082,1994
mda,7.88,1995
mda,8.194,1996
mda,11.15,1997
mda,21.55,1998
mda,28.67,1999
mda,19.18,2000
mda,19.12,2001
mda,21.99,2002
mda,11.36,2003
mda,16.74,2004
mda,12.23,2005
mda,15.67,2006
mda,12.51,2007
mda,14.78,2008
mda,14.91,2009
mng,17.3,1992
mng,6.524,1993
mng,10.74,1994
mng,10.18,1995
mng,10.72,1996
mng,10.04,1997
mng,5.646,1998
mng,4.003,1999
mng,6.167,2000
mng,6.96,2001
mng,7.256,2002
mng,33.95,2003
mng,3.347,2004
mng,2.869,2005
mng,2.361,2006
mng,2.141,2007
mng,2.658,2008
mng,4.813,2009
mne,9.057,2007
mne,3.387,2008
mne,4.375,2009
mar,8.472,1975
mar,13.47,1976
mar,19.09,1977
mar,30.92,1978
mar,35.84,1979
mar,44.21,1980
mar,51.05,1981
mar,58.44,1982
mar,52.87,1983
mar,35.88,1984
mar,45.22,1985
mar,51.0,1986
mar,42.42,1987
mar,32.36,1988
mar,40.73,1989
mar,28.39,1990
mar,34.44,1991
mar,52.44,1992
mar,46.07,1993
mar,46.74,1994
mar,40.44,1995
mar,34.44,1996
mar,32.43,1997
mar,28.48,1998
mar,29.19,1999
mar,25.22,2000
mar,23.18,2001
mar,29.53,2002
mar,29.38,2003
mar,17.48,2004
mar,14.01,2005
mar,15.13,2006
mar,14.21,2007
mar,12.08,2008
mar,12.48,2009
moz,7.827,1984
moz,34.46,1985
moz,54.6,1986
moz,23.52,1987
moz,27.08,1988
moz,29.15,1989
moz,26.19,1990
moz,22.53,1991
moz,22.85,1992
moz,32.92,1993
moz,31.18,1994
moz,34.51,1995
moz,26.04,1996
moz,19.17,1997
moz,18.15,1998
moz,16.99,1999
moz,12.48,2000
moz,8.553,2001
moz,6.371,2002
moz,5.952,2003
moz,3.795,2004
moz,3.596,2005
moz,1.29,2006
moz,0.9175,2007
moz,1.105,2008
moz,1.648,2009
mmr,20.85,1976
mmr,19.85,1977
mmr,24.83,1978
mmr,29.52,1979
mmr,28.27,1980
mmr,24.92,1981
mmr,27.27,1982
mmr,38.89,1983
mmr,41.03,1984
mmr,58.15,1985
mmr,70.46,1986
mmr,74.59,1987
mmr,58.65,1988
mmr,67.29,1989
mmr,18.78,1990
mmr,25.94,1991
mmr,8.26,1992
mmr,12.49,1993
mmr,14.29,1994
mmr,18.89,1995
mmr,11.37,1996
mmr,7.642,1997
mmr,5.403,1998
mmr,5.19,1999
mmr,1.661,2000
mmr,1.356,2001
mmr,2.214,2002
mmr,1.666,2003
mmr,2.018,2004
mmr,1.735,2005
mmr,1.307,2006
npl,1.001,1976
npl,2.813,1977
npl,6.672,1978
npl,2.756,1979
npl,2.876,1980
npl,3.657,1981
npl,6.799,1982
npl,6.963,1983
npl,6.442,1984
npl,7.109,1985
npl,8.56,1986
npl,9.102,1987
npl,11.04,1988
npl,16.02,1989
npl,15.15,1990
npl,11.56,1991
npl,9.353,1992
npl,8.723,1993
npl,8.088,1994
npl,7.929,1995
npl,6.618,1996
npl,7.016,1997
npl,8.111,1998
npl,8.176,1999
npl,7.51,2000
npl,7.834,2001
npl,10.42,2002
npl,10.14,2003
npl,9.028,2004
npl,8.247,2005
npl,9.947,2006
npl,8.872,2007
npl,8.32,2008
npl,10.37,2009
nic,14.58,1977
nic,14.65,1978
nic,8.239,1979
nic,22.32,1980
nic,38.4,1981
nic,44.21,1982
nic,21.22,1983
nic,18.42,1984
nic,18.47,1985
nic,13.76,1986
nic,13.47,1987
nic,7.403,1988
nic,3.245,1989
nic,3.909,1990
nic,152.3,1991
nic,33.6,1992
nic,36.09,1993
nic,41.84,1994
nic,43.08,1995
nic,29.8,1996
nic,35.58,1997
nic,26.26,1998
nic,18.75,1999
nic,25.31,2000
nic,29.81,2001
nic,13.46,2002
nic,14.58,2003
nic,7.808,2004
nic,8.647,2005
nic,6.812,2006
nic,14.72,2007
nic,14.04,2008
nic,17.18,2009
ner,2.881,1974
ner,4.718,1975
ner,4.516,1976
ner,3.944,1977
ner,13.4,1978
ner,14.02,1979
ner,21.93,1980
ner,31.89,1981
ner,55.62,1982
ner,37.14,1983
ner,27.04,1984
ner,33.96,1985
ner,30.56,1986
ner,29.5,1987
ner,34.94,1988
ner,27.75,1989
ner,17.84,1990
ner,25.34,1991
ner,12.52,1992
ner,25.19,1993
ner,24.25,1994
ner,17.06,1995
ner,14.69,1996
ner,20.2,1997
ner,16.22,1998
ner,9.389,1999
ner,7.798,2000
ner,8.193,2001
ner,7.544,2002
ner,8.631,2003
ner,7.643,2004
ner,6.69,2005
ner,26.61,2006
ner,3.268,2007
ner,2.539,2008
ner,4.464,2009
nga,1.04,1977
nga,1.283,1978
nga,2.174,1979
nga,4.146,1980
nga,9.187,1981
nga,16.2,1982
nga,23.58,1983
nga,32.92,1984
nga,32.76,1985
nga,38.03,1986
nga,14.13,1987
nga,30.37,1988
nga,24.69,1989
nga,22.6,1990
nga,22.06,1991
nga,28.84,1992
nga,13.4,1993
nga,18.95,1994
nga,14.73,1995
nga,14.79,1996
nga,8.711,1997
nga,13.07,1998
nga,7.544,1999
nga,8.71,2000
nga,12.9,2001
nga,8.132,2002
nga,5.965,2003
nga,4.508,2004
nga,15.31,2005
nga,11.17,2006
nga,1.786,2007
nga,0.6697,2008
nga,0.8142,2009
pak,26.06,1976
pak,30.47,1977
pak,28.98,1978
pak,25.81,1979
pak,26.18,1980
pak,25.93,1981
pak,26.71,1982
pak,35.12,1983
pak,35.84,1984
pak,39.64,1985
pak,39.26,1986
pak,36.37,1987
pak,34.53,1988
pak,30.06,1989
pak,27.44,1990
pak,24.46,1991
pak,27.13,1992
pak,28.27,1993
pak,38.24,1994
pak,30.92,1995
pak,30.71,1996
pak,40.34,1997
pak,24.61,1998
pak,32.03,1999
pak,27.89,2000
pak,27.99,2001
pak,23.31,2002
pak,20.48,2003
pak,26.26,2004
pak,12.27,2005
pak,10.7,2006
pak,11.24,2007
pak,11.03,2008
pak,15.03,2009
pan,11.87,1977
pan,33.0,1978
pan,15.83,1979
pan,6.21,1980
pan,5.673,1981
pan,6.781,1982
pan,6.648,1983
pan,8.541,1984
pan,7.321,1985
pan,8.301,1986
pan,7.628,1987
pan,0.62,1988
pan,0.2844,1989
pan,6.177,1990
pan,5.16,1991
pan,12.91,1992
pan,3.615,1993
pan,4.401,1994
pan,3.408,1995
pan,10.1,1996
pan,15.96,1997
pan,7.332,1998
pan,8.545,1999
pan,9.419,2000
pan,12.2,2001
pan,19.47,2002
pan,11.16,2003
pan,14.31,2004
pan,17.73,2005
pan,22.06,2006
pan,5.64,2007
pan,9.317,2008
pan,5.5,2009
png,16.64,1976
png,14.78,1977
png,17.54,1978
png,9.555,1979
png,13.76,1980
png,18.96,1981
png,25.19,1982
png,30.05,1983
png,40.04,1984
png,32.51,1985
png,26.94,1986
png,25.41,1987
png,29.03,1988
png,32.78,1989
png,37.18,1990
png,27.18,1991
png,28.36,1992
png,28.96,1993
png,30.85,1994
png,20.78,1995
png,16.34,1996
png,20.52,1997
png,14.76,1998
png,9.659,1999
png,12.85,2000
png,12.69,2001
png,15.1,2002
png,7.803,2003
png,9.05,2004
png,8.53,2005
png,7.089,2006
png,19.25,2007
png,15.62,2008
png,11.71,2009
pry,12.89,1975
pry,12.15,1976
pry,10.24,1977
pry,10.26,1978
pry,14.15,1979
pry,21.02,1980
pry,23.44,1981
pry,20.86,1982
pry,18.12,1983
pry,20.45,1984
pry,22.95,1985
pry,26.88,1986
pry,29.2,1987
pry,25.94,1988
pry,9.014,1989
pry,12.36,1990
pry,10.14,1991
pry,24.85,1992
pry,8.169,1993
pry,6.338,1994
pry,5.793,1995
pry,5.289,1996
pry,6.852,1997
pry,5.849,1998
pry,8.322,1999
pry,11.07,2000
pry,13.33,2001
pry,13.0,2002
pry,12.28,2003
pry,13.08,2004
pry,11.3,2005
pry,7.654,2006
pry,6.1,2007
pry,4.957,2008
pry,6.067,2009
per,53.0,1977
per,49.74,1978
per,33.85,1979
per,44.51,1980
per,59.04,1981
per,48.65,1982
per,34.01,1983
per,29.8,1984
per,27.69,1985
per,21.07,1986
per,13.27,1987
per,9.441,1988
per,8.92,1989
per,11.03,1990
per,25.88,1991
per,21.31,1992
per,62.35,1993
per,19.65,1994
per,17.26,1995
per,37.15,1996
per,38.08,1997
per,26.13,1998
per,30.39,1999
per,27.8,2000
per,24.03,2001
per,36.0,2002
per,23.26,2003
per,18.39,2004
per,28.37,2005
per,13.66,2006
per,26.53,2007
per,13.33,2008
per,11.83,2009
phl,15.66,1977
phl,28.13,1978
phl,25.32,1979
phl,27.29,1980
phl,34.61,1981
phl,43.89,1982
phl,37.23,1983
phl,33.72,1984
phl,32.01,1985
phl,34.3,1986
phl,36.8,1987
phl,31.92,1988
phl,26.15,1989
phl,27.55,1990
phl,23.49,1991
phl,24.85,1992
phl,26.07,1993
phl,19.33,1994
phl,16.32,1995
phl,13.58,1996
phl,9.476,1997
phl,10.92,1998
phl,15.93,1999
phl,16.02,2000
phl,24.68,2001
phl,24.8,2002
phl,24.25,2003
phl,24.65,2004
phl,20.45,2005
phl,23.88,2006
phl,15.68,2007
phl,19.08,2008
phl,18.53,2009
rus,4.375,1994
rus,6.332,1995
rus,6.817,1996
rus,6.676,1997
rus,11.96,1998
rus,13.66,1999
rus,9.908,2000
rus,14.37,2001
rus,10.82,2002
rus,11.73,2003
rus,9.771,2004
rus,14.65,2005
rus,13.8,2006
rus,9.196,2007
rus,11.47,2008
rus,17.69,2009
rwa,2.839,1976
rwa,0.9689,1977
rwa,1.313,1978
rwa,2.151,1979
rwa,3.867,1980
rwa,4.435,1981
rwa,4.658,1982
rwa,5.894,1983
rwa,6.883,1984
rwa,10.3,1985
rwa,8.185,1986
rwa,13.05,1987
rwa,12.12,1988
rwa,17.65,1989
rwa,13.44,1990
rwa,15.49,1991
rwa,19.31,1992
rwa,20.47,1993
rwa,8.296,1994
rwa,20.49,1995
rwa,19.81,1996
rwa,14.58,1997
rwa,17.13,1998
rwa,26.71,1999
rwa,25.18,2000
rwa,11.62,2001
rwa,14.23,2002
rwa,15.14,2003
rwa,12.74,2004
rwa,9.711,2005
rwa,8.61,2006
rwa,5.578,2007
rwa,3.648,2008
rwa,4.719,2009
kna,1.639,1984
kna,1.859,1985
kna,1.733,1986
kna,2.031,1987
kna,1.904,1988
kna,2.236,1989
kna,3.413,1990
kna,3.435,1991
kna,3.079,1992
kna,4.042,1993
kna,5.321,1994
kna,5.295,1995
kna,5.168,1996
kna,4.675,1997
kna,7.073,1998
kna,11.16,1999
kna,12.62,2000
kna,13.57,2001
kna,24.72,2002
kna,25.98,2003
kna,23.04,2004
kna,19.78,2005
kna,18.56,2006
kna,19.53,2007
kna,18.69,2008
kna,20.82,2009
lca,1.442,1981
lca,1.418,1982
lca,1.3,1983
lca,1.113,1984
lca,1.203,1985
lca,1.12,1986
lca,1.421,1987
lca,1.432,1988
lca,2.061,1989
lca,2.206,1990
lca,3.529,1991
lca,3.523,1992
lca,3.373,1993
lca,3.165,1994
lca,3.08,1995
lca,3.586,1996
lca,3.737,1997
lca,4.152,1998
lca,4.9,1999
lca,7.901,2000
lca,7.617,2001
lca,6.292,2002
lca,7.615,2003
lca,5.034,2004
lca,5.953,2005
lca,7.543,2006
lca,10.28,2007
lca,11.14,2008
lca,8.227,2009
vct,0.4558,1978
vct,0.6766,1979
vct,1.066,1980
vct,1.377,1981
vct,3.144,1982
vct,2.519,1983
vct,3.596,1984
vct,4.029,1985
vct,3.466,1986
vct,3.254,1987
vct,2.865,1988
vct,3.127,1989
vct,3.186,1990
vct,4.155,1991
vct,4.171,1992
vct,6.869,1993
vct,7.4,1994
vct,6.138,1995
vct,6.574,1996
vct,7.632,1997
vct,7.246,1998
vct,7.971,1999
vct,7.173,2000
vct,6.717,2001
vct,6.505,2002
vct,7.796,2003
vct,10.19,2004
vct,11.31,2005
vct,14.77,2006
vct,12.33,2007
vct,13.04,2008
vct,14.76,2009
wsm,17.53,1977
wsm,27.28,1978
wsm,18.51,1979
wsm,20.67,1980
wsm,25.63,1981
wsm,18.33,1982
wsm,19.37,1983
wsm,21.04,1984
wsm,27.91,1985
wsm,32.32,1986
wsm,25.18,1987
wsm,18.94,1988
wsm,13.9,1989
wsm,10.62,1990
wsm,10.75,1991
wsm,9.861,1992
wsm,8.724,1993
wsm,10.07,1994
wsm,6.574,1995
wsm,5.764,1996
wsm,5.415,1997
wsm,4.632,1998
wsm,5.704,1999
wsm,5.468,2004
wsm,4.393,2005
wsm,4.642,2006
wsm,4.329,2007
stp,0.0,1977
stp,1.961,1978
stp,0.006371,1979
stp,5.192,1980
stp,15.74,1981
stp,20.9,1982
stp,24.62,1983
stp,21.78,1984
stp,29.8,1985
stp,9.849,1986
stp,39.25,1987
stp,21.36,1988
stp,62.79,1989
stp,34.82,1990
stp,29.05,1997
stp,33.49,1998
stp,26.72,1999
stp,25.64,2000
stp,28.0,2001
stp,24.46,2002
stp,27.11,2003
stp,39.94,2004
stp,43.23,2005
stp,36.52,2006
stp,37.25,2007
stp,18.75,2008
stp,15.66,2009
sen,6.55,1974
sen,6.052,1975
sen,6.34,1976
sen,6.789,1977
sen,16.54,1978
sen,17.67,1979
sen,31.24,1980
sen,18.24,1981
sen,13.66,1982
sen,11.97,1983
sen,17.63,1984
sen,22.15,1985
sen,27.83,1986
sen,34.43,1987
sen,33.44,1988
sen,30.28,1989
sen,21.09,1990
sen,22.48,1991
sen,14.56,1992
sen,10.27,1993
sen,18.1,1994
sen,17.76,1995
sen,20.22,1996
sen,18.69,1997
sen,22.01,1998
sen,15.73,1999
sen,16.22,2000
sen,14.53,2001
sen,13.91,2002
sen,12.76,2003
sen,14.99,2004
sen,8.267,2005
sen,7.313,2006
sen,6.25,2007
srb,25.65,2007
srb,30.0,2008
srb,37.05,2009
syc,36.2,1980
syc,6.203,1981
syc,2.897,1982
syc,4.463,1983
syc,5.838,1984
syc,7.86,1985
syc,8.962,1986
syc,8.947,1987
syc,9.55,1988
syc,12.82,1989
syc,9.135,1990
syc,8.102,1991
syc,7.238,1992
syc,5.789,1993
syc,5.399,1994
syc,6.929,1995
syc,4.579,1996
syc,3.999,1997
syc,5.93,1998
syc,6.155,1999
syc,4.212,2000
syc,7.399,2001
syc,7.753,2002
syc,5.896,2003
syc,6.184,2004
syc,8.049,2005
syc,20.64,2006
syc,12.59,2007
syc,9.431,2008
syc,7.435,2009
sle,10.51,1977
sle,20.14,1978
sle,20.68,1979
sle,23.76,1980
sle,33.83,1981
sle,25.27,1982
sle,20.64,1983
sle,24.75,1984
sle,14.69,1985
sle,39.39,1986
sle,8.92,1987
sle,11.73,1988
sle,4.163,1989
sle,10.04,1990
sle,6.835,1991
sle,16.63,1992
sle,17.2,1993
sle,72.61,1994
sle,63.57,1995
sle,58.96,1996
sle,30.6,1997
sle,44.49,1998
sle,85.15,1999
sle,74.75,2000
sle,112.2,2001
sle,13.1,2002
sle,10.35,2003
sle,9.825,2004
sle,6.587,2005
sle,7.452,2006
sle,2.621,2007
sle,1.649,2008
sle,2.175,2009
slb,0.03723,1978
slb,1.895,1979
slb,0.3508,1980
slb,0.5986,1981
slb,0.6012,1982
slb,0.8244,1983
slb,2.329,1984
slb,4.488,1985
slb,5.568,1986
slb,10.06,1987
slb,6.69,1988
slb,9.215,1989
slb,11.84,1990
slb,11.34,1991
slb,5.486,1992
slb,5.791,1993
slb,8.198,1994
slb,3.837,1995
slb,3.868,1996
slb,2.493,1997
slb,5.998,1998
slb,4.833,1999
slb,7.079,2000
slb,7.144,2001
slb,10.93,2002
