geo,municipal_water_withdrawal_cu_meters_per_person,time
dom,110.3,1997
dom,120.6,2002
ecu,178.2,1997
ecu,168.0,2002
egy,49.25,1997
egy,76.8,2002
slv,46.39,1992
slv,50.06,2002
gnq,25.01,1987
gnq,199.4,2002
eri,2.5,2002
eri,6.607,2007
est,73.4,1992
est,62.8,1997
est,66.33,2002
eth,4.553,2002
fji,8.356,1987
fji,12.3,2002
fin,65.35,2002
fra,104.9,2002
gab,51.6,1987
gab,48.88,2002
gmb,1.954,1982
gmb,4.738,2002
geo,136.5,1992
geo,80.76,2007
deu,70.44,2002
gha,11.0,1972
gha,11.14,2002
grc,115.1,2002
gtm,11.15,1992
gtm,11.02,2002
gin,13.51,1987
gin,14.1,2002
gnb,9.235,1992
gnb,18.24,1997
gnb,15.8,2002
guy,20.49,1992
guy,40.75,2002
hti,6.744,1992
hti,5.642,2002
hnd,11.81,1992
hnd,10.86,2002
hun,54.51,1987
hun,69.85,2002
isl,113.0,1987
isl,174.2,2002
ind,17.74,1977
ind,20.71,1987
ind,27.85,1992
ind,48.28,2002
idn,25.05,1992
idn,30.44,2002
irn,93.87,1997
irn,66.78,2002
irn,88.23,2007
irq,45.31,1977
irq,49.63,1987
irq,65.09,1992
irq,163.5,2002
irl,36.39,1982
irl,66.23,2002
isr,78.11,1972
isr,96.06,1982
isr,99.8,1992
isr,108.6,2002
isr,104.6,2007
ita,128.4,1972
ita,139.1,1982
ita,114.2,1992
ita,139.0,2002
jam,54.97,1997
jam,53.27,2002
jpn,115.5,1982
jpn,136.7,1992
jpn,136.5,2002
jor,64.2,1977
jor,46.75,1987
jor,58.33,1992
jor,50.85,2007
kaz,38.53,1992
kaz,37.68,1997
kaz,39.51,2002
ken,16.11,1992
ken,14.28,2002
ken,12.86,2007
kwt,109.3,1997
kwt,164.2,2002
kgz,61.41,1992
kgz,63.72,1997
kgz,63.27,2002
lao,21.27,1987
lao,24.06,2002
lva,64.48,1997
lva,68.23,2002
lbn,29.93,1977
lbn,101.3,1997
lbn,116.3,2002
lbn,93.7,2007
lso,7.194,1987
lso,10.35,2002
lbr,16.02,1987
lbr,9.239,2002
lby,96.24,1987
lby,90.13,1992
lby,99.39,1997
lby,109.6,2002
ltu,134.6,1992
ltu,57.3,1997
ltu,60.56,2002
mdg,14.76,1987
mdg,24.5,2002
mwi,6.63,1987
mwi,8.956,1997
mwi,12.23,2002
mys,42.86,1992
mys,61.93,1997
mys,62.66,2002
mdv,16.95,1987
mli,3.79,1987
mli,55.62,2002
mlt,128.1,1997
mlt,101.4,2002
mrt,55.51,1982
mrt,55.44,1987
mrt,55.13,2002
mus,63.33,1977
mus,93.88,1997
mus,171.0,2007
mex,133.6,2002
mng,35.04,1997
mng,35.86,2002
mar,21.12,1992
mar,41.7,2002
moz,3.701,1992
moz,3.658,2002
mmr,7.263,1987
mmr,8.766,2002
nam,46.73,1992
nam,37.59,2002
npl,10.81,1997
npl,11.76,2002
nld,30.43,2002
nzl,264.5,1987
nzl,258.4,2002
nic,36.15,2002
ner,9.567,1992
ner,7.537,2002
nga,13.01,1987
nga,12.87,2002
nor,110.0,2002
pse,51.42,2007
omn,28.31,1992
omn,40.91,2002
omn,52.62,2007
pak,21.24,1977
pak,20.99,1992
pak,21.79,2002
pan,165.8,1997
pan,179.6,2002
png,7.578,1987
png,7.067,2002
pry,16.46,1987
pry,17.95,2002
per,55.68,1992
per,63.83,2002
phl,59.64,1997
phl,59.5,2002
pol,54.77,2002
prt,104.4,2002
qat,183.9,1977
qat,119.2,1997
qat,101.9,2002
qat,211.9,2007
kor,62.25,1977
kor,135.6,1997
kor,140.0,2002
mda,60.99,1992
mda,54.55,2002
rou,68.11,1992
rou,91.2,2002
rus,98.11,1992
rus,96.18,1997
rus,98.39,2002
rwa,5.302,1987
rwa,4.109,2002
lca,84.03,1997
sau,88.51,1992
sau,88.11,2007
sen,9.417,1987
sen,8.998,2002
syc,134.6,1992
syc,92.89,2007
sle,6.84,1987
sle,4.061,2002
sgp,36.89,1977
som,3.654,1987
som,1.334,2002
som,1.776,2007
zaf,59.27,1992
zaf,83.81,2002
esp,142.5,1987
esp,115.7,2002
lka,11.12,1992
lka,15.88,2002
sdn,22.73,1992
sdn,25.76,1997
sdn,28.49,2002
sur,71.34,1987
sur,67.65,2002
swz,16.88,1982
swz,22.03,2002
swe,124.5,1992
swe,122.2,2002
che,84.66,2002
syr,76.2,1997
syr,79.26,2002
syr,73.48,2007
tjk,87.89,1992
tjk,69.39,1997
tjk,69.64,2002
tha,18.52,1982
tha,24.15,1987
tha,26.91,1992
tha,35.18,2002
tgo,15.54,1987
tgo,15.5,2002
tto,158.1,1997
tto,160.3,2002
tun,30.55,1992
tun,37.32,2002
tur,87.44,1992
tur,91.25,2002
tur,83.87,2007
tkm,49.16,1992
tkm,80.52,1997
tkm,90.71,2002
uga,6.395,1972
uga,4.945,2002
ukr,90.0,1992
ukr,94.94,2002
are,83.87,1982
are,182.9,1997
are,145.2,2007
gbr,50.41,1992
gbr,34.85,2002
tza,6.967,1972
tza,14.8,2002
usa,206.2,1992
usa,209.2,2002
ury,14.19,1967
ury,24.05,2002
uzb,95.35,1992
uzb,109.0,1997
uzb,108.8,2002
ven,153.6,1972
ven,150.4,2002
vnm,23.87,1982
vnm,28.29,1987
vnm,28.93,1992
vnm,68.03,2002
yem,14.83,1992
yem,14.1,2002
zmb,35.11,1992
zmb,27.71,1997
zmb,26.68,2002
zwe,17.96,1987
zwe,45.8,2002
