suicide_age_30_44_per_100000_people,geo,time
27.86,hun,1961
28.1,hun,1962
30.19,hun,1963
31.91,hun,1964
34.14,hun,1965
31.8,hun,1966
35.69,hun,1967
37.91,hun,1968
36.91,hun,1969
37.34,hun,1970
37.91,hun,1971
41.2,hun,1972
38.65,hun,1973
41.91,hun,1974
40.95,hun,1975
42.87,hun,1976
41.92,hun,1977
44.63,hun,1978
49.35,hun,1979
51.0,hun,1980
51.5,hun,1981
49.74,hun,1982
54.85,hun,1983
57.99,hun,1984
55.87,hun,1985
57.23,hun,1986
54.47,hun,1987
49.65,hun,1988
50.53,hun,1989
45.66,hun,1990
47.48,hun,1991
47.62,hun,1992
44.32,hun,1993
42.6,hun,1994
39.06,hun,1995
37.96,hun,1996
36.4,hun,1997
39.09,hun,1998
39.26,hun,1999
38.06,hun,2000
34.17,hun,2001
33.71,hun,2002
28.77,hun,2003
29.41,hun,2004
27.94,hun,2005
25.05,hun,2006
24.37,hun,2007
23.63,hun,2008
2.633,irl,1950
2.978,irl,1951
2.097,irl,1952
2.78,irl,1953
2.738,irl,1954
3.632,irl,1955
4.028,irl,1956
3.149,irl,1957
2.388,irl,1958
3.278,irl,1959
4.133,irl,1960
5.325,irl,1961
2.566,irl,1962
2.601,irl,1963
2.158,irl,1964
2.481,irl,1965
1.459,irl,1966
3.477,irl,1967
3.82,irl,1968
2.542,irl,1969
3.05,irl,1970
7.274,irl,1971
4.149,irl,1972
4.54,irl,1973
6.593,irl,1974
8.407,irl,1975
8.741,irl,1976
6.791,irl,1977
7.84,irl,1978
6.836,irl,1979
11.17,irl,1980
10.6,irl,1981
12.41,irl,1982
11.59,irl,1983
9.837,irl,1984
12.42,irl,1985
11.17,irl,1986
11.02,irl,1987
9.59,irl,1988
11.93,irl,1989
12.05,irl,1990
17.26,irl,1991
11.97,irl,1992
14.12,irl,1993
16.55,irl,1994
17.9,irl,1995
16.92,irl,1996
17.47,irl,1997
18.57,irl,1998
12.99,irl,1999
16.94,irl,2000
17.13,irl,2001
14.67,irl,2002
14.55,irl,2003
15.46,irl,2004
14.88,irl,2005
12.53,irl,2006
14.17,irl,2007
11.68,irl,2008
10.03,isr,1975
7.355,isr,1976
9.007,isr,1977
6.311,isr,1978
7.896,isr,1979
6.799,isr,1980
5.81,isr,1981
7.866,isr,1982
7.689,isr,1983
7.781,isr,1984
6.723,isr,1985
6.75,isr,1986
6.105,isr,1987
8.31,isr,1988
8.786,isr,1989
8.418,isr,1990
7.937,isr,1991
8.796,isr,1992
8.163,isr,1993
9.196,isr,1994
5.6,isr,1995
6.103,isr,1996
8.117,isr,1997
5.702,isr,1998
7.048,isr,1999
8.352,isr,2000
6.229,isr,2001
7.971,isr,2002
7.309,isr,2003
6.679,isr,2004
6.751,isr,2005
6.082,isr,2006
6.754,ita,1951
6.185,ita,1952
6.073,ita,1953
5.954,ita,1954
6.135,ita,1955
6.354,ita,1956
5.56,ita,1957
5.662,ita,1958
5.597,ita,1959
5.174,ita,1960
5.043,ita,1961
4.92,ita,1962
4.643,ita,1963
4.876,ita,1964
5.337,ita,1965
4.673,ita,1966
4.798,ita,1967
4.897,ita,1968
4.791,ita,1969
5.005,ita,1970
5.717,ita,1971
5.452,ita,1972
5.051,ita,1973
5.016,ita,1974
5.139,ita,1975
5.066,ita,1976
6.037,ita,1977
5.981,ita,1978
6.699,ita,1979
6.265,ita,1980
6.205,ita,1981
6.507,ita,1982
6.039,ita,1983
7.051,ita,1984
6.837,ita,1985
6.954,ita,1986
6.678,ita,1987
6.443,ita,1988
6.602,ita,1989
6.887,ita,1990
7.169,ita,1991
7.409,ita,1992
7.59,ita,1993
7.497,ita,1994
7.542,ita,1995
7.789,ita,1996
7.566,ita,1997
7.392,ita,1998
6.914,ita,1999
6.941,ita,2000
6.705,ita,2001
7.045,ita,2002
6.858,ita,2003
5.879,ita,2006
5.725,ita,2007
19.25,jpn,1950
17.75,jpn,1951
17.44,jpn,1952
18.59,jpn,1953
20.94,jpn,1954
20.94,jpn,1955
19.83,jpn,1956
19.82,jpn,1957
19.96,jpn,1958
18.88,jpn,1959
17.08,jpn,1960
16.27,jpn,1961
15.07,jpn,1962
14.72,jpn,1963
