geo,time,income_share_of_poorest_10percent
lka,1996,3.57
lka,2002,2.86
sur,1999,0.99
swz,1995,1.04
swz,2001,1.82
swe,2000,3.58
che,2000,2.876
tjk,1999,3.27
tjk,2003,3.37
tjk,2004,3.21
tza,1992,3.04
tza,2000,3.05
tha,1981,2.29
tha,1988,2.68
tha,1992,2.46
tha,1996,2.52
tha,1999,2.61
tha,2002,2.67
tha,2004,2.58
tls,2001,2.89
tgo,2006,3.27
tto,1988,1.86
tto,1992,2.07
tun,1985,2.19
tun,1990,2.28
tun,1995,2.21
tun,2000,2.37
tur,1987,2.37
tur,1994,2.27
tur,2002,2.21
tur,2005,1.91
tkm,1988,5.12
tkm,1993,2.85
tkm,1998,2.46
uga,1989,1.93
uga,1992,2.47
uga,1996,3.17
uga,1999,2.51
uga,2002,2.47
uga,2005,2.59
ukr,1988,4.38
ukr,1992,4.09
ukr,1996,2.81
ukr,1999,3.65
ukr,2002,3.72
ukr,2005,3.78
gbr,1999,2.062
usa,2000,1.878
ury,1992,1.89
ury,1996,1.77
ury,1998,1.59
ury,2000,1.81
ury,2001,1.72
ury,2005,1.8
ury,2006,1.73
uzb,1988,5.56
uzb,1998,1.09
uzb,2002,3.38
uzb,2003,2.85
ven,1981,1.18
ven,1987,1.32
ven,1989,1.73
ven,1993,2.12
ven,1996,1.2
ven,1998,0.66
ven,2003,0.96
ven,2005,1.09
ven,2006,1.74
vnm,1993,3.46
vnm,1998,3.57
vnm,2002,3.32
vnm,2004,3.16
vnm,2006,3.08
yem,1992,2.32
yem,1998,2.99
yem,2005,2.91
zmb,1991,-0.11
zmb,1993,1.07
zmb,1996,1.63
zmb,1998,1.22
zmb,2003,2.59
zmb,2004,1.32
zwe,1995,1.829
