geo,stomach_cancer_deaths_per_100000_women,time
bra,5.88,1991
bra,5.86,1992
bra,5.62,1993
bra,5.4,1994
bra,5.28,1995
bra,5.36,1996
bra,5.23,1997
bra,4.89,1998
bra,4.82,1999
bra,4.77,2000
bra,4.66,2001
bra,4.52,2002
brn,5.4,2002
bgr,27.2,1964
bgr,26.98,1965
bgr,24.42,1966
bgr,23.15,1967
bgr,22.74,1968
bgr,20.21,1969
bgr,19.37,1970
bgr,19.09,1971
bgr,18.29,1972
bgr,17.82,1973
bgr,17.51,1974
bgr,15.58,1975
bgr,14.8,1976
bgr,15.45,1977
bgr,15.52,1978
bgr,15.35,1979
bgr,13.1,1980
bgr,13.67,1981
bgr,13.32,1982
bgr,12.45,1983
bgr,12.88,1984
bgr,12.38,1985
bgr,11.43,1986
bgr,11.22,1987
bgr,10.9,1988
bgr,10.53,1989
bgr,11.68,1990
bgr,10.01,1991
bgr,10.58,1992
bgr,9.64,1993
bgr,8.69,1994
bgr,8.68,1995
