trade_balance_us_not_inflation_adjusted,geo,time
-5687000000.0,aus,1986
-3131000000.0,aus,1987
-1668000000.0,aus,1988
-5734000000.0,aus,1989
-6281000000.0,aus,1990
-669500000.0,aus,1991
397600000.0,aus,1992
-1613000000.0,aus,1993
-1792000000.0,aus,1994
-7493000000.0,aus,1995
-1640000000.0,aus,1996
1336000000.0,aus,1997
-3221000000.0,aus,1998
-9003000000.0,aus,1999
-8531000000.0,aus,2000
811400000.0,aus,2001
318100000.0,aus,2002
-9505000000.0,aus,2003
-15680000000.0,aus,2004
-17510000000.0,aus,2005
-11500000000.0,aus,2006
-10610000000.0,aus,2007
-22250000000.0,aus,2008
5612000000.0,aus,2009
-3503000000.0,aus,2010
-930100.0,aut,1960
80680000.0,aut,1961
94210000.0,aut,1962
47640000.0,aut,1963
-17130000.0,aut,1964
-69830000.0,aut,1965
-164200000.0,aut,1966
-104200000.0,aut,1967
-49210000.0,aut,1968
131900000.0,aut,1969
22210000.0,aut,1970
-17140000.0,aut,1971
-49470000.0,aut,1972
-121400000.0,aut,1973
-397200000.0,aut,1974
-75900000.0,aut,1975
-956100000.0,aut,1976
-2180000000.0,aut,1977
-763000000.0,aut,1978
-987400000.0,aut,1979
-2667000000.0,aut,1980
-1545000000.0,aut,1981
-276900000.0,aut,1982
-936200000.0,aut,1983
-562900000.0,aut,1984
26940000.0,aut,1985
238500000.0,aut,1986
265000000.0,aut,1987
-213400000.0,aut,1988
-310400000.0,aut,1989
324700000.0,aut,1990
-1049000000.0,aut,1991
-2100000000.0,aut,1992
-167500000.0,aut,1993
-2934000000.0,aut,1994
-2269000000.0,aut,1995
-3643000000.0,aut,1996
-1064000000.0,aut,1997
1230000000.0,aut,1998
2492000000.0,aut,1999
3356000000.0,aut,2000
4207000000.0,aut,2001
9879000000.0,aut,2002
8870000000.0,aut,2003
11010000000.0,aut,2004
12150000000.0,aut,2005
16450000000.0,aut,2006
21490000000.0,aut,2007
23840000000.0,aut,2008
18140000000.0,aut,2009
16330000000.0,aut,2010
409700000.0,aze,1990
391600000.0,aze,1991
1578000000.0,aze,1992
-737200000.0,aze,1993
-195800000.0,aze,1994
-415400000.0,aze,1995
-827000000.0,aze,1996
-951100000.0,aze,1997
-1415000000.0,aze,1998
-636500000.0,aze,1999
34970000.0,aze,2000
205800000.0,aze,2001
-454000000.0,aze,2002
-1713000000.0,aze,2003
-2077000000.0,aze,2004
1330000000.0,aze,2005
5822000000.0,aze,2006
13090000000.0,aze,2007
20670000000.0,aze,2008
12980000000.0,aze,2009
18000000000.0,aze,2010
117700000.0,bhs,1977
126100000.0,bhs,1978
98800000.0,bhs,1979
100200000.0,bhs,1980
71500000.0,bhs,1981
98400000.0,bhs,1982
148200000.0,bhs,1983
107800000.0,bhs,1984
128100000.0,bhs,1985
146200000.0,bhs,1986
149800000.0,bhs,1987
-102200000.0,bhs,1989
-56940000.0,bhs,1990
-131200000.0,bhs,1991
-30080000.0,bhs,1992
17730000.0,bhs,1993
-76880000.0,bhs,1994
-184000000.0,bhs,1995
-353000000.0,bhs,1996
-261200000.0,bhs,1997
-433500000.0,bhs,1998
-102000000.0,bhs,1999
-157500000.0,bhs,2000
-231600000.0,bhs,2001
262300000.0,bhs,2002
142400000.0,bhs,2003
141800000.0,bhs,2004
-218000000.0,bhs,2005
-859600000.0,bhs,2006
-601200000.0,bhs,2007
-647800000.0,bhs,2008
-603700000.0,bhs,2009
-709600000.0,bhs,2010
272500000.0,bhr,1980
385600000.0,bhr,1981
444900000.0,bhr,1982
139400000.0,bhr,1983
103200000.0,bhr,1984
435600000.0,bhr,1985
424200000.0,bhr,1986
507700000.0,bhr,1987
660600000.0,bhr,1988
425500000.0,bhr,1989
886200000.0,bhr,1990
-491000000.0,bhr,1991
-587200000.0,bhr,1992
163600000.0,bhr,1993
401300000.0,bhr,1994
673700000.0,bhr,1995
714600000.0,bhr,1996
607700000.0,bhr,1997
44420000.0,bhr,1998
1053000000.0,bhr,1999
1996000000.0,bhr,2000
1732000000.0,bhr,2001
1332000000.0,bhr,2002
1776000000.0,bhr,2003
2166000000.0,bhr,2004
3110000000.0,bhr,2005
4103000000.0,bhr,2006
4688000000.0,bhr,2007
4936000000.0,bhr,2008
29470000.0,bgd,1960
-44210000.0,bgd,1961
-3117000.0,bgd,1962
-88980000.0,bgd,1963
-220500000.0,bgd,1964
-218800000.0,bgd,1965
-152500000.0,bgd,1966
-238600000.0,bgd,1967
-245100000.0,bgd,1968
-298100000.0,bgd,1969
-377200000.0,bgd,1970
-388200000.0,bgd,1971
-506700000.0,bgd,1972
-428800000.0,bgd,1973
-828200000.0,bgd,1974
-1010000000.0,bgd,1975
-1300000000.0,bgd,1976
-514400000.0,bgd,1977
-1320000000.0,bgd,1978
-1510000000.0,bgd,1979
-2244000000.0,bgd,1980
-1824000000.0,bgd,1981
-1941000000.0,bgd,1982
-1601000000.0,bgd,1983
-1903000000.0,bgd,1984
-1660000000.0,bgd,1985
-1453000000.0,bgd,1986
-1651000000.0,bgd,1987
-1813000000.0,bgd,1988
-2016000000.0,bgd,1989
-2232000000.0,bgd,1990
-1723000000.0,bgd,1991
-1510000000.0,bgd,1992
-1687000000.0,bgd,1993
-1642000000.0,bgd,1994
-2459000000.0,bgd,1995
-3094000000.0,bgd,1996
-2550000000.0,bgd,1997
-2182000000.0,bgd,1998
-2497000000.0,bgd,1999
-2473000000.0,bgd,2000
-2875000000.0,bgd,2001
-2270000000.0,bgd,2002
-3022000000.0,bgd,2003
-3025000000.0,bgd,2004
-3897000000.0,bgd,2005
-3882000000.0,bgd,2006
-4738000000.0,bgd,2007
-6692000000.0,bgd,2008
-6367000000.0,bgd,2009
-6634000000.0,bgd,2010
-19190000.0,brb,1960
-12830000.0,brb,1961
-11490000.0,brb,1962
-6300000.0,brb,1963
-8983000.0,brb,1964
-11610000.0,brb,1965
-14470000.0,brb,1966
-13120000.0,brb,1967
-16050000.0,brb,1968
-25250000.0,brb,1969
-34700000.0,brb,1970
-25820000.0,brb,1971
-30970000.0,brb,1972
-33020000.0,brb,1973
-23870000.0,brb,1974
-40340000.0,brb,1975
-83240000.0,brb,1976
-57010000.0,brb,1977
-56830000.0,brb,1978
-71940000.0,brb,1979
-16460000.0,brb,1980
-87950000.0,brb,1981
-26100000.0,brb,1982
12030000.0,brb,1983
54340000.0,brb,1984
92030000.0,brb,1985
30430000.0,brb,1986
7706000.0,brb,1987
7259000.0,brb,1988
-596600.0,brb,1989
-44850000.0,brb,1990
-45340000.0,brb,1991
143000000.0,brb,1992
101400000.0,brb,1993
139100000.0,brb,1994
106300000.0,brb,1995
83030000.0,brb,1996
-48480000.0,brb,1997
-48720000.0,brb,1998
-137700000.0,brb,1999
-168200000.0,brb,2000
-102800000.0,brb,2001
-146200000.0,brb,2002
-169600000.0,brb,2003
-310500000.0,brb,2004
-299300000.0,brb,2005
-135400000.0,brb,2006
-151200000.0,brb,2007
-152200000.0,brb,2008
-142600000.0,brb,2009
-207800000.0,brb,2010
401100000.0,blr,1990
613500000.0,blr,1991
246700000.0,blr,1992
-2561000000.0,blr,1993
-1916000000.0,blr,1994
-613100000.0,blr,1995
-601300000.0,blr,1996
-818900000.0,blr,1997
-739100000.0,blr,1998
-294800000.0,blr,1999
-406000000.0,blr,2000
-438600000.0,blr,2001
-546900000.0,blr,2002
-682600000.0,blr,2003
-1473000000.0,blr,2004
214900000.0,blr,2005
-1542000000.0,blr,2006
-2838000000.0,blr,2007
-4693000000.0,blr,2008
-5543000000.0,blr,2009
-7499000000.0,blr,2010
-81610000.0,bel,1960
-98220000.0,bel,1961
-1520000.0,bel,1962
-136500000.0,bel,1963
-52950000.0,bel,1964
-4087000.0,bel,1965
-131200000.0,bel,1966
83800000.0,bel,1967
98600000.0,bel,1968
263000000.0,bel,1969
575900000.0,bel,1970
569200000.0,bel,1971
1155000000.0,bel,1972
886200000.0,bel,1973
179300000.0,bel,1974
83820000.0,bel,1975
70630000.0,bel,1976
-767900000.0,bel,1977
-1069000000.0,bel,1978
-2427000000.0,bel,1979
-4142000000.0,bel,1980
-2618000000.0,bel,1981
-1946000000.0,bel,1982
137100000.0,bel,1983
294300000.0,bel,1984
719400000.0,bel,1985
2591000000.0,bel,1986
2554000000.0,bel,1987
3759000000.0,bel,1988
3424000000.0,bel,1989
3332000000.0,bel,1990
3678000000.0,bel,1991
5837000000.0,bel,1992
7199000000.0,bel,1993
8915000000.0,bel,1994
11190000000.0,bel,1995
8662000000.0,bel,1996
9406000000.0,bel,1997
9715000000.0,bel,1998
10590000000.0,bel,1999
6811000000.0,bel,2000
8468000000.0,bel,2001
14510000000.0,bel,2002
16850000000.0,bel,2003
17770000000.0,bel,2004
14840000000.0,bel,2005
15240000000.0,bel,2006
17660000000.0,bel,2007
4340000000.0,bel,2008
12910000000.0,bel,2009
12680000000.0,bel,2010
-25700000.0,blz,1980
-42350000.0,blz,1981
-40500000.0,blz,1982
-30100000.0,blz,1983
-16250000.0,blz,1984
-26800000.0,blz,1985
-5950000.0,blz,1986
-5900000.0,blz,1987
-18350000.0,blz,1988
-34100000.0,blz,1989
8900000.0,blz,1990
-47050000.0,blz,1991
-16580000.0,blz,1992
-19560000.0,blz,1993
-15140000.0,blz,1994
-7132000.0,blz,1995
-1683000.0,blz,1996
-19160000.0,blz,1997
-29950000.0,blz,1998
-90110000.0,blz,1999
-172200000.0,blz,2000
-158900000.0,blz,2001
-126500000.0,blz,2002
-126300000.0,blz,2003
-84020000.0,blz,2004
-89520000.0,blz,2005
-6305000.0,blz,2006
-23060000.0,blz,2007
-108200000.0,blz,2008
-13540000.0,ben,1960
-11670000.0,ben,1961
-15230000.0,ben,1962
-19820000.0,ben,1963
-19170000.0,ben,1964
-21980000.0,ben,1965
-28190000.0,ben,1966
-36950000.0,ben,1967
-31880000.0,ben,1968
-31970000.0,ben,1969
-30830000.0,ben,1970
-33450000.0,ben,1971
-50910000.0,ben,1972
-51940000.0,ben,1973
-84260000.0,ben,1974
-127800000.0,ben,1975
-126000000.0,ben,1976
-139500000.0,ben,1977
-167400000.0,ben,1978
-231400000.0,ben,1979
-302200000.0,ben,1980
-361900000.0,ben,1981
-282900000.0,ben,1982
-195100000.0,ben,1983
-119300000.0,ben,1984
-135900000.0,ben,1985
-213000000.0,ben,1986
-245000000.0,ben,1987
-296200000.0,ben,1988
-169900000.0,ben,1989
-222100000.0,ben,1990
-235700000.0,ben,1991
-222900000.0,ben,1992
-300000000.0,ben,1993
-146100000.0,ben,1994
-259100000.0,ben,1995
-303300000.0,ben,1996
-276000000.0,ben,1997
-243000000.0,ben,1998
-302900000.0,ben,1999
-291700000.0,ben,2000
-301500000.0,ben,2001
-391400000.0,ben,2002
-457000000.0,ben,2003
-515600000.0,ben,2004
-542200000.0,ben,2005
-537000000.0,ben,2006
-849800000.0,ben,2007
-909300000.0,ben,2008
-953400000.0,ben,2009
-902500000.0,ben,2010
-614100000.0,bmu,2005
-341900000.0,bmu,2006
-602900000.0,bmu,2007
-598600000.0,bmu,2008
-32630000.0,btn,1980
-47720000.0,btn,1981
-50640000.0,btn,1982
-55820000.0,btn,1983
-54500000.0,btn,1984
-62250000.0,btn,1985
-70060000.0,btn,1986
-36820000.0,btn,1987
-59730000.0,btn,1988
-27370000.0,btn,1989
-11460000.0,btn,1990
-19920000.0,btn,1991
-59980000.0,btn,1992
-29460000.0,btn,1993
-26800000.0,btn,1994
-14730000.0,btn,1995
-32210000.0,btn,1996
-37370000.0,btn,1997
-61510000.0,btn,1998
-82080000.0,btn,1999
-89120000.0,btn,2000
-94850000.0,btn,2001
-95290000.0,btn,2002
-111200000.0,btn,2003
-149600000.0,btn,2004
-194000000.0,btn,2005
-39630000.0,btn,2006
-27630000.0,btn,2007
-139900000.0,btn,2008
-91380000.0,btn,2009
2441000.0,bol,1970
-33000000.0,bol,1971
-36560000.0,bol,1972
-7646000.0,bol,1973
178400000.0,bol,1974
-151000000.0,bol,1975
-60370000.0,bol,1976
-92700000.0,bol,1977
-282400000.0,bol,1978
-142400000.0,bol,1979
101700000.0,bol,1980
18400000.0,bol,1981
-19000000.0,bol,1982
232000000.0,bol,1983
-133600000.0,bol,1984
-204000000.0,bol,1985
-174600000.0,bol,1986
-214000000.0,bol,1987
-201000000.0,bol,1988
-31040000.0,bol,1989
-55940000.0,bol,1990
-293100000.0,bol,1991
-509000000.0,bol,1992
-533600000.0,bol,1993
-331000000.0,bol,1994
-311300000.0,bol,1995
-347100000.0,bol,1996
-653800000.0,bol,1997
-1095000000.0,bol,1998
-862200000.0,bol,1999
-759900000.0,bol,2000
-430200000.0,bol,2001
-480800000.0,bol,2002
-61940000.0,bol,2003
422200000.0,bol,2004
329900000.0,bol,2005
1031000000.0,bol,2006
987900000.0,bol,2007
1158000000.0,bol,2008
488700000.0,bol,2009
1349000000.0,bol,2010
-891000000.0,bih,1994
-953000000.0,bih,1995
-1679000000.0,bih,1996
-1651000000.0,bih,1997
-2925000000.0,bih,1998
-3118000000.0,bih,1999
-2577000000.0,bih,2000
-2733000000.0,bih,2001
-3098000000.0,bih,2002
-4426000000.0,bih,2003
-4536000000.0,bih,2004
-4329000000.0,bih,2005
-3634000000.0,bih,2006
-5584000000.0,bih,2007
-6804000000.0,bih,2008
-3883000000.0,bih,2009
-3452000000.0,bih,2010
-4060000.0,bwa,1960
-5040000.0,bwa,1961
-6020000.0,bwa,1962
-7000000.0,bwa,1963
-8260000.0,bwa,1964
-8680000.0,bwa,1965
-11200000.0,bwa,1966
-15400000.0,bwa,1967
-26530000.0,bwa,1968
-23170000.0,bwa,1969
-34920000.0,bwa,1970
-36080000.0,bwa,1971
-38300000.0,bwa,1972
-56480000.0,bwa,1973
-73050000.0,bwa,1974
-71690000.0,bwa,1975
-59250000.0,bwa,1976
-83140000.0,bwa,1977
-97220000.0,bwa,1978
-91230000.0,bwa,1979
-142000000.0,bwa,1980
-234300000.0,bwa,1981
-149300000.0,bwa,1982
-5652000.0,bwa,1983
35360000.0,bwa,1984
167800000.0,bwa,1985
267400000.0,bwa,1986
524400000.0,bwa,1987
703100000.0,bwa,1988
403600000.0,bwa,1989
199600000.0,bwa,1990
256300000.0,bwa,1991
274000000.0,bwa,1992
332100000.0,bwa,1993
456400000.0,bwa,1994
615100000.0,bwa,1995
785500000.0,bwa,1996
770700000.0,bwa,1997
308600000.0,bwa,1998
628900000.0,bwa,1999
679500000.0,bwa,2000
537500000.0,bwa,2001
678700000.0,bwa,2002
887800000.0,bwa,2003
737200000.0,bwa,2004
1722000000.0,bwa,2005
1841000000.0,bwa,2006
1490000000.0,bwa,2007
-18810000.0,bwa,2008
-1282000000.0,bwa,2009
-1054000000.0,bwa,2010
-8831000.0,bra,1960
-9150000.0,bra,1961
-263100000.0,bra,1962
-17160000.0,bra,1963
150100000.0,bra,1964
475000000.0,bra,1965
225500000.0,bra,1966
0.0,bra,1967
-206600000.0,bra,1968
24980000.0,bra,1969
-177900000.0,bra,1970
-848600000.0,bra,1971
-927800000.0,bra,1972
-975100000.0,bra,1973
-6172000000.0,bra,1974
-4908000000.0,bra,1975
-3660000000.0,bra,1976
-1172000000.0,bra,1977
-2387000000.0,bra,1978
-4616000000.0,bra,1979
-5295000000.0,bra,1980
-999100000.0,bra,1981
-1873000000.0,bra,1982
4907000000.0,bra,1983
11750000000.0,bra,1984
11490000000.0,bra,1985
6602000000.0,bra,1986
9609000000.0,bra,1987
17170000000.0,bra,1988
14760000000.0,bra,1989
5720000000.0,bra,1990
3108000000.0,bra,1991
9698000000.0,bra,1992
6168000000.0,bra,1993
1919000000.0,bra,1994
-11670000000.0,bra,1995
-15110000000.0,bra,1996
-19160000000.0,bra,1997
-16870000000.0,bra,1998
-8245000000.0,bra,1999
-11370000000.0,bra,2000
-7282000000.0,bra,2001
7632000000.0,bra,2002
16090000000.0,bra,2003
25730000000.0,bra,2004
31830000000.0,bra,2005
31610000000.0,bra,2006
20730000000.0,bra,2007
3140000000.0,bra,2008
-890600000.0,bra,2009
-20750000000.0,bra,2010
780500000.0,brn,1974
778500000.0,brn,1975
1073000000.0,brn,1976
1361000000.0,brn,1977
1564000000.0,brn,1978
2269000000.0,brn,1979
4027000000.0,brn,1980
3468000000.0,brn,1981
3075000000.0,brn,1982
2664000000.0,brn,1983
794200000.0,brn,1989
864000000.0,brn,1990
981100000.0,brn,1991
416800000.0,brn,1992
123200000.0,brn,1993
109300000.0,brn,1994
184100000.0,brn,1995
-36170000.0,brn,1996
-68020000.0,brn,1997
-280800000.0,brn,1998
341000000.0,brn,1999
1893000000.0,brn,2000
1699000000.0,brn,2001
1490000000.0,brn,2002
2185000000.0,brn,2003
2913000000.0,brn,2004
4087000000.0,brn,2005
5335000000.0,brn,2006
4894000000.0,brn,2007
7295000000.0,brn,2008
1006000000.0,bgr,1980
223800000.0,bgr,1981
211200000.0,bgr,1982
35380000.0,bgr,1983
328200000.0,bgr,1984
-71500000.0,bgr,1985
-696200000.0,bgr,1986
-522300000.0,bgr,1987
-76000000.0,bgr,1988
-377900000.0,bgr,1989
-747900000.0,bgr,1990
467700000.0,bgr,1991
-604300000.0,bgr,1992
-826300000.0,bgr,1993
-60660000.0,bgr,1994
263300000.0,bgr,1995
229700000.0,bgr,1996
529900000.0,bgr,1997
132000000.0,bgr,1998
-607600000.0,bgr,1999
-688700000.0,bgr,2000
-1307000000.0,bgr,2001
-1293000000.0,bgr,2002
-2135000000.0,bgr,2003
-2898000000.0,bgr,2004
-4360000000.0,bgr,2005
-5840000000.0,bgr,2006
-8303000000.0,bgr,2007
-10630000000.0,bgr,2008
-4290000000.0,bgr,2009
-908000000.0,bgr,2010
-36270000.0,bfa,1960
-36290000.0,bfa,1961
-38620000.0,bfa,1962
-39760000.0,bfa,1963
-35780000.0,bfa,1964
-28230000.0,bfa,1965
-28490000.0,bfa,1966
-40420000.0,bfa,1967
-41940000.0,bfa,1968
-51300000.0,bfa,1969
-48760000.0,bfa,1970
-69120000.0,bfa,1971
-86090000.0,bfa,1972
-112200000.0,bfa,1973
-121400000.0,bfa,1974
-214300000.0,bfa,1975
-183600000.0,bfa,1976
-254300000.0,bfa,1977
-299300000.0,bfa,1978
-367800000.0,bfa,1979
-430300000.0,bfa,1980
-393500000.0,bfa,1981
-411000000.0,bfa,1982
-347100000.0,bfa,1983
-259800000.0,bfa,1984
-327600000.0,bfa,1985
-406900000.0,bfa,1986
-396300000.0,bfa,1987
-422000000.0,bfa,1988
-389600000.0,bfa,1989
-418300000.0,bfa,1990
-404500000.0,bfa,1991
-239300000.0,bfa,1992
-273400000.0,bfa,1993
-205200000.0,bfa,1994
-296600000.0,bfa,1995
-441100000.0,bfa,1996
-386500000.0,bfa,1997
-429800000.0,bfa,1998
-436800000.0,bfa,1999
-420600000.0,bfa,2000
-390500000.0,bfa,2001
-406600000.0,bfa,2002
-552200000.0,bfa,2003
-691600000.0,bfa,2004
-848400000.0,bfa,2005
-881800000.0,bfa,2006
-1750000.0,bdi,1960
-3500000.0,bdi,1961
-7000000.0,bdi,1962
-15750000.0,bdi,1963
5250000.0,bdi,1964
-3476000.0,bdi,1965
-3666000.0,bdi,1966
-1935000.0,bdi,1967
-5626000.0,bdi,1968
-4633000.0,bdi,1969
-2263000.0,bdi,1970
-14500000.0,bdi,1971
-8245000.0,bdi,1972
-7050000.0,bdi,1973
-19960000.0,bdi,1974
-45160000.0,bdi,1975
-13120000.0,bdi,1976
1666000.0,bdi,1977
-51980000.0,bdi,1978
-66980000.0,bdi,1979
-133200000.0,bdi,1980
-125000000.0,bdi,1981
-169200000.0,bdi,1982
-170000000.0,bdi,1983
-118900000.0,bdi,1984
-112200000.0,bdi,1985
-127300000.0,bdi,1986
-181000000.0,bdi,1987
-144600000.0,bdi,1988
-147000000.0,bdi,1989
-225300000.0,bdi,1990
-217000000.0,bdi,1991
-224500000.0,bdi,1992
-166900000.0,bdi,1993
-168400000.0,bdi,1994
-143600000.0,bdi,1995
-86320000.0,bdi,1996
-44800000.0,bdi,1997
-102300000.0,bdi,1998
-67780000.0,bdi,1999
-86320000.0,bdi,2000
-92990000.0,bdi,2001
-101500000.0,bdi,2002
-114700000.0,bdi,2003
-161700000.0,bdi,2004
-269800000.0,bdi,2005
-333000000.0,bdi,2006
-51430000.0,khm,1960
-37140000.0,khm,1961
-60000000.0,khm,1962
-25710000.0,khm,1963
-5714000.0,khm,1964
-8571000.0,khm,1965
-45710000.0,khm,1966
-11430000.0,khm,1967
-22860000.0,khm,1968
-35210000.0,khm,1969
-14400000.0,khm,1970
-99320000.0,khm,1988
-81250000.0,khm,1989
-73930000.0,khm,1990
-26890000.0,khm,1991
-57950000.0,khm,1992
-420900000.0,khm,1993
-359700000.0,khm,1994
-529900000.0,khm,1995
-646400000.0,khm,1996
