number_of_child_deaths,geo,time
12370,arg,1828
12650,arg,1829
12940,arg,1830
13260,arg,1831
13580,arg,1832
13910,arg,1833
14250,arg,1834
14600,arg,1835
14960,arg,1836
15320,arg,1837
15700,arg,1838
16080,arg,1839
16470,arg,1840
16870,arg,1841
17280,arg,1842
17710,arg,1843
18140,arg,1844
18580,arg,1845
19040,arg,1846
19510,arg,1847
19990,arg,1848
20480,arg,1849
20980,arg,1850
21500,arg,1851
22030,arg,1852
22580,arg,1853
23130,arg,1854
23700,arg,1855
24290,arg,1856
24890,arg,1857
25510,arg,1858
26140,arg,1859
26790,arg,1860
27470,arg,1861
28170,arg,1862
28910,arg,1863
29680,arg,1864
30480,arg,1865
31310,arg,1866
32180,arg,1867
33080,arg,1868
34020,arg,1869
34670,arg,1870
35290,arg,1871
38850,arg,1872
39820,arg,1873
41000,arg,1874
42240,arg,1875
43520,arg,1876
44710,arg,1877
46250,arg,1878
47720,arg,1879
49230,arg,1880
50810,arg,1881
52580,arg,1882
53750,arg,1883
54800,arg,1884
56010,arg,1885
56520,arg,1886
56910,arg,1887
57940,arg,1888
58800,arg,1889
59680,arg,1890
61340,arg,1891
63250,arg,1892
65700,arg,1893
68470,arg,1894
71130,arg,1895
72100,arg,1896
73110,arg,1897
73900,arg,1898
74710,arg,1899
75540,arg,1900
76640,arg,1901
76150,arg,1902
75270,arg,1903
74430,arg,1904
73620,arg,1905
72810,arg,1906
71760,arg,1907
70720,arg,1908
69680,arg,1909
68640,arg,1910
67530,arg,1911
66440,arg,1912
60830,arg,1913
59140,arg,1914
59300,arg,1915
59780,arg,1916
62470,arg,1917
68640,arg,1918
66750,arg,1919
63220,arg,1920
57430,arg,1921
56010,arg,1922
57180,arg,1923
60900,arg,1924
65230,arg,1925
64930,arg,1926
70590,arg,1927
62280,arg,1928
58540,arg,1929
54480,arg,1930
55090,arg,1931
52310,arg,1932
47500,arg,1933
54850,arg,1934
61830,arg,1935
56030,arg,1936
55190,arg,1937
61590,arg,1938
52740,arg,1939
53280,arg,1940
50200,arg,1941
51430,arg,1942
47580,arg,1943
48780,arg,1944
49990,arg,1945
44600,arg,1946
47960,arg,1947
41810,arg,1948
40760,arg,1949
41860,arg,1950
41380,arg,1951
40390,arg,1952
39420,arg,1953
37720,arg,1954
39500,arg,1955
36230,arg,1956
44660,arg,1957
39790,arg,1958
37720,arg,1959
35740,arg,1960
33860,arg,1961
32060,arg,1962
30370,arg,1963
28790,arg,1964
29040,arg,1965
29950,arg,1966
30280,arg,1967
30640,arg,1968
38320,arg,1969
38660,arg,1970
39120,arg,1971
39650,arg,1972
40020,arg,1973
40140,arg,1974
39920,arg,1975
39360,arg,1976
38240,arg,1977
36570,arg,1978
34290,arg,1979
31650,arg,1980
28880,arg,1981
26150,arg,1982
23740,arg,1983
21910,arg,1984
20720,arg,1985
20200,arg,1986
20230,arg,1987
20470,arg,1988
20580,arg,1989
20410,arg,1990
19910,arg,1991
19210,arg,1992
18340,arg,1993
17560,arg,1994
16810,arg,1995
16120,arg,1996
15440,arg,1997
14870,arg,1998
14400,arg,1999
14020,arg,2000
13840,arg,2001
13760,arg,2002
13630,arg,2003
13370,arg,2004
12900,arg,2005
12390,arg,2006
11850,arg,2007
11420,arg,2008
11020,arg,2009
10680,arg,2010
10420,arg,2011
10220,arg,2012
9973,arg,2013
9770,arg,2014
9513,arg,2015
8164,arm,1800
8153,arm,1801
8152,arm,1802
8142,arm,1803
8131,arm,1804
8130,arm,1805
8120,arm,1806
8109,arm,1807
8108,arm,1808
8098,arm,1809
8087,arm,1810
8080,arm,1811
8086,arm,1812
8086,arm,1813
8090,arm,1814
8107,arm,1815
8118,arm,1816
8132,arm,1817
8160,arm,1818
8182,arm,1819
8208,arm,1820
8247,arm,1821
8281,arm,1822
8318,arm,1823
8368,arm,1824
8413,arm,1825
8462,arm,1826
8524,arm,1827
8581,arm,1828
8641,arm,1829
8706,arm,1830
8784,arm,1831
8853,arm,1832
8922,arm,1833
9003,arm,1834
9074,arm,1835
9145,arm,1836
9228,arm,1837
9300,arm,1838
9373,arm,1839
9458,arm,1840
9532,arm,1841
9607,arm,1842
9694,arm,1843
9770,arm,1844
9846,arm,1845
9935,arm,1846
10010,arm,1847
10090,arm,1848
10170,arm,1849
10260,arm,1850
10340,arm,1851
10420,arm,1852
10520,arm,1853
10600,arm,1854
10680,arm,1855
10780,arm,1856
10860,arm,1857
10940,arm,1858
11040,arm,1859
11130,arm,1860
11220,arm,1861
11320,arm,1862
11400,arm,1863
11490,arm,1864
11600,arm,1865
11690,arm,1866
11780,arm,1867
11870,arm,1868
11980,arm,1869
12070,arm,1870
12160,arm,1871
12270,arm,1872
12360,arm,1873
12460,arm,1874
12570,arm,1875
12670,arm,1876
12760,arm,1877
12880,arm,1878
12980,arm,1879
13080,arm,1880
13190,arm,1881
13300,arm,1882
13400,arm,1883
13520,arm,1884
13620,arm,1885
13730,arm,1886
13830,arm,1887
13960,arm,1888
14070,arm,1889
14180,arm,1890
14300,arm,1891
14410,arm,1892
14530,arm,1893
14660,arm,1894
14770,arm,1895
14870,arm,1896
14970,arm,1897
15060,arm,1898
15160,arm,1899
15260,arm,1900
15200,arm,1901
15140,arm,1902
15080,arm,1903
15020,arm,1904
14960,arm,1905
14900,arm,1906
14830,arm,1907
14770,arm,1908
14710,arm,1909
14650,arm,1910
14590,arm,1911
14530,arm,1912
14470,arm,1913
14420,arm,1914
14360,arm,1915
14300,arm,1916
14240,arm,1917
14180,arm,1918
14130,arm,1919
14070,arm,1920
14010,arm,1921
13960,arm,1922
13900,arm,1923
13840,arm,1924
13790,arm,1925
13500,arm,1926
13220,arm,1927
12920,arm,1928
12640,arm,1929
12370,arm,1930
11810,arm,1931
11270,arm,1932
10760,arm,1933
10260,arm,1934
9793,arm,1935
9343,arm,1936
8913,arm,1937
8502,arm,1938
8108,arm,1939
7732,arm,1940
7373,arm,1941
7029,arm,1942
6701,arm,1943
6387,arm,1944
6086,arm,1945
5800,arm,1946
5526,arm,1947
5264,arm,1948
5014,arm,1949
4775,arm,1950
4859,arm,1951
5029,arm,1952
5181,arm,1953
5317,arm,1954
5397,arm,1955
5488,arm,1956
5549,arm,1957
5573,arm,1958
5557,arm,1959
5446,arm,1960
5311,arm,1961
5107,arm,1962
4807,arm,1963
4497,arm,1964
4135,arm,1965
3812,arm,1966
3818,arm,1967
3856,arm,1968
3938,arm,1969
4073,arm,1970
4259,arm,1971
4481,arm,1972
4726,arm,1973
4989,arm,1974
5269,arm,1975
6343,arm,1976
6128,arm,1977
5850,arm,1978
5602,arm,1979
5431,arm,1980
5364,arm,1981
5340,arm,1982
5336,arm,1983
5298,arm,1984
5208,arm,1985
5088,arm,1986
4916,arm,1987
7057,arm,1988
4370,arm,1989
3975,arm,1990
3591,arm,1991
3152,arm,1992
2706,arm,1993
2311,arm,1994
1978,arm,1995
1686,arm,1996
1456,arm,1997
1284,arm,1998
1164,arm,1999
1087,arm,2000
1054,arm,2001
1054,arm,2002
1069,arm,2003
1080,arm,2004
1073,arm,2005
1045,arm,2006
1001,arm,2007
944,arm,2008
887,arm,2009
831,arm,2010
779,arm,2011
723,arm,2012
671,arm,2013
620,arm,2014
577,arm,2015
36,abw,1980
35,abw,1981
34,abw,1982
33,abw,1983
32,abw,1984
31,abw,1985
30,abw,1986
30,abw,1987
29,abw,1988
29,abw,1989
29,abw,1990
29,abw,1991
29,abw,1992
29,abw,1993
29,abw,1994
28,abw,1995
28,abw,1996
28,abw,1997
28,abw,1998
28,abw,1999
28,abw,2000
27,abw,2001
27,abw,2002
26,abw,2003
25,abw,2004
24,abw,2005
23,abw,2006
22,abw,2007
21,abw,2008
20,abw,2009
20,abw,2010
19,abw,2011
18,abw,2012
18,abw,2013
18,abw,2014
17,abw,2015
6171,aus,1800
6138,aus,1801
6106,aus,1802
6073,aus,1803
6041,aus,1804
6009,aus,1805
5977,aus,1806
5945,aus,1807
5913,aus,1808
5881,aus,1809
5850,aus,1810
5817,aus,1811
5783,aus,1812
5750,aus,1813
