geo,internal_renewable_water_cu_meters_per_person,time
cog,86550.0,1992
cog,75140.0,1997
cog,65930.0,2002
cog,60170.0,2007
cri,78580.0,1962
cri,66890.0,1967
cri,58850.0,1972
cri,52020.0,1977
cri,45290.0,1982
cri,39500.0,1987
cri,34800.0,1992
cri,30750.0,1997
cri,27440.0,2002
cri,25550.0,2007
civ,20090.0,1962
civ,16470.0,1967
civ,13290.0,1972
civ,10620.0,1977
civ,8376.0,1982
civ,6732.0,1987
civ,5620.0,1992
civ,4846.0,1997
civ,4343.0,2002
civ,4062.0,2007
hrv,8215.0,1992
hrv,8164.0,1997
hrv,8367.0,2002
hrv,8275.0,2007
cub,5117.0,1962
cub,4615.0,1967
cub,4226.0,1972
cub,3960.0,1977
cub,3844.0,1982
cub,3708.0,1987
cub,3543.0,1992
cub,3457.0,1997
cub,3403.0,2002
cub,3383.0,2007
cyp,1350.0,1962
cyp,1310.0,1967
cyp,1266.0,1972
cyp,1286.0,1977
cyp,1252.0,1982
cyp,1181.0,1987
cyp,1116.0,1992
cyp,1036.0,1997
cyp,966.4,2002
cyp,922.4,2007
cze,1279.0,1997
cze,1289.0,2002
cze,1291.0,2007
prk,5837.0,1962
prk,5135.0,1967
prk,4456.0,1972
prk,4043.0,1977
prk,3764.0,1982
prk,3474.0,1987
prk,3225.0,1992
prk,3009.0,1997
prk,2879.0,2002
prk,2826.0,2007
cod,55310.0,1962
cod,47970.0,1967
cod,41130.0,1972
cod,35220.0,1977
cod,30250.0,1982
cod,26150.0,1987
cod,22000.0,1992
cod,18930.0,1997
cod,16810.0,2002
cod,14840.0,2007
dnk,1291.0,1962
dnk,1242.0,1967
dnk,1203.0,1972
dnk,1178.0,1977
dnk,1171.0,1982
dnk,1173.0,1987
dnk,1161.0,1992
dnk,1138.0,1997
dnk,1117.0,2002
dnk,1105.0,2007
dji,3137.0,1962
dji,2252.0,1967
dji,1652.0,1972
dji,1110.0,1977
dji,824.9,1982
dji,647.7,1987
dji,506.4,1992
dji,452.2,1997
dji,393.3,2002
dji,366.5,2007
dom,5862.0,1962
dom,4993.0,1967
dom,4318.0,1972
dom,3795.0,1977
dom,3385.0,1982
dom,3052.0,1987
dom,2770.0,1992
dom,2528.0,1997
dom,2324.0,2002
dom,2184.0,2007
ecu,91810.0,1962
ecu,79110.0,1967
ecu,68240.0,1972
ecu,59050.0,1977
ecu,51380.0,1982
ecu,45150.0,1987
ecu,40230.0,1992
ecu,36650.0,1997
ecu,34230.0,2002
ecu,32720.0,2007
egy,61.44,1962
egy,54.52,1967
egy,49.0,1972
egy,44.03,1977
egy,39.32,1982
egy,34.9,1987
egy,31.37,1992
egy,28.59,1997
egy,26.08,2002
egy,24.26,2007
slv,6486.0,1962
slv,5481.0,1967
slv,4653.0,1972
slv,4101.0,1977
slv,3798.0,1982
slv,3639.0,1987
slv,3347.0,1992
slv,3028.0,1997
slv,2777.0,2002
slv,2625.0,2007
gnq,100900.0,1962
gnq,91720.0,1967
gnq,96890.0,1972
gnq,126200.0,1977
gnq,106100.0,1982
gnq,80280.0,1987
gnq,73240.0,1992
gnq,64870.0,1997
gnq,57610.0,2002
gnq,52460.0,2007
eri,838.2,1997
eri,700.1,2002
eri,596.7,2007
est,8331.0,1992
est,9072.0,1997
est,9369.0,2002
est,9487.0,2007
eth,1908.0,1997
eth,1668.0,2002
eth,1506.0,2007
fji,67660.0,1962
fji,58520.0,1967
fji,52630.0,1972
fji,47800.0,1977
fji,42860.0,1982
fji,39760.0,1987
fji,38650.0,1992
fji,36460.0,1997
fji,35130.0,2002
fji,34260.0,2007
fin,23810.0,1962
fin,23340.0,1967
fin,23040.0,1972
fin,22580.0,1977
fin,22170.0,1982
fin,21670.0,1987
fin,21250.0,1992
fin,20820.0,1997
fin,20570.0,2002
fin,20340.0,2007
fra,3805.0,1962
fra,3594.0,1967
fra,3460.0,1972
fra,3354.0,1977
fra,3281.0,1982
fra,3196.0,1987
fra,3112.0,1992
fra,3047.0,1997
fra,2983.0,2002
fra,2910.0,2007
guf,3816000.0,1962
guf,3103000.0,1967
guf,2626000.0,1972
guf,2228000.0,1977
guf,1785000.0,1982
guf,1351000.0,1987
guf,1066000.0,1992
guf,900400.0,1997
guf,760900.0,2002
guf,679600.0,2007
pyf,118800.0,1962
pyf,100300.0,1967
pyf,84530.0,1972
pyf,72450.0,1977
pyf,62400.0,1982
pyf,54710.0,1987
pyf,49110.0,1992
pyf,44650.0,1997
pyf,40960.0,2002
pyf,38570.0,2007
gab,333800.0,1962
gab,321800.0,1967
gab,297000.0,1972
gab,260800.0,1977
gab,227400.0,1982
gab,195900.0,1987
gab,168500.0,1992
gab,147900.0,1997
gab,133600.0,2002
gab,125100.0,2007
gmb,7861.0,1962
gmb,6804.0,1967
gmb,5831.0,1972
gmb,4930.0,1977
gmb,4188.0,1982
gmb,3500.0,1987
gmb,2891.0,1992
gmb,2406.0,1997
gmb,2031.0,2002
gmb,1804.0,2007
geo,10900.0,1992
geo,11900.0,1997
geo,12600.0,2002
geo,13110.0,2007
deu,1445.0,1962
deu,1389.0,1967
deu,1362.0,1972
deu,1361.0,1977
deu,1373.0,1982
deu,1369.0,1987
deu,1331.0,1992
deu,1304.0,1997
deu,1297.0,2002
deu,1295.0,2007
gha,4006.0,1962
gha,3554.0,1967
gha,3173.0,1972
gha,2829.0,1977
gha,2496.0,1982
gha,2116.0,1987
gha,1838.0,1992
gha,1613.0,1997
gha,1436.0,2002
gha,1317.0,2007
grc,6879.0,1962
grc,6708.0,1967
grc,6538.0,1972
grc,6254.0,1977
grc,5921.0,1982
grc,5795.0,1987
grc,5607.0,1992
grc,5364.0,1997
grc,5254.0,2002
grc,5215.0,2007
grl,17120000.0,1962
grl,14260000.0,1967
grl,12510000.0,1972
grl,12100000.0,1977
grl,11780000.0,1982
grl,11100000.0,1987
grl,10820000.0,1992
grl,10810000.0,1997
grl,10640000.0,2002
grl,10430000.0,2007
gtm,25000.0,1962
gtm,21850.0,1967
gtm,19070.0,1972
gtm,16750.0,1977
gtm,14810.0,1982
gtm,13130.0,1987
gtm,11700.0,1992
gtm,10430.0,1997
gtm,9260.0,2002
gtm,8382.0,2007
gin,69810.0,1962
gin,62750.0,1967
gin,58140.0,1972
gin,53840.0,1977
gin,46980.0,1982
gin,41270.0,1987
gin,34560.0,1992
gin,29270.0,1997
gin,26550.0,2002
gin,24620.0,2007
gnb,28770.0,1962
gnb,28360.0,1967
gnb,26550.0,1972
gnb,22700.0,1977
gnb,19130.0,1982
gnb,17090.0,1987
gnb,14780.0,1992
gnb,12690.0,1997
gnb,10990.0,2002
gnb,9723.0,2007
guy,401500.0,1962
guy,357500.0,1967
guy,333900.0,1972
guy,323100.0,1977
guy,316200.0,1982
guy,324200.0,1987
guy,329200.0,1992
guy,326600.0,1997
guy,327400.0,2002
guy,326100.0,2007
hti,3231.0,1962
hti,2924.0,1967
hti,2666.0,1972
hti,2434.0,1977
hti,2184.0,1982
hti,1949.0,1987
hti,1758.0,1992
hti,1600.0,1997
hti,1468.0,2002
hti,1377.0,2007
hnd,44820.0,1962
hnd,38580.0,1967
hnd,33730.0,1972
hnd,29020.0,1977
hnd,24820.0,1982
hnd,21370.0,1987
hnd,18570.0,1992
hnd,16470.0,1997
hnd,14880.0,2002
hnd,13770.0,2007
hun,597.3,1962
hun,586.8,1967
hun,576.2,1972
hun,564.9,1977
hun,561.4,1982
hun,572.2,1987
hun,580.3,1992
hun,582.9,1997
hun,590.3,2002
hun,596.5,2007
isl,929700.0,1962
isl,863000.0,1967
isl,810600.0,1972
isl,764900.0,1977
isl,729200.0,1982
isl,688700.0,1987
isl,654100.0,1992
isl,623300.0,1997
isl,592400.0,2002
isl,569600.0,2007
ind,2715.0,1962
ind,2447.0,1967
ind,2196.0,1972
ind,1962.0,1977
ind,1749.0,1982
ind,1564.0,1987
ind,1404.0,1992
ind,1271.0,1997
ind,1165.0,2002
ind,1094.0,2007
idn,28320.0,1962
idn,25270.0,1967
idn,22470.0,1972
idn,20040.0,1977
idn,18010.0,1982
idn,16340.0,1987
idn,15040.0,1992
idn,13970.0,1997
idn,13050.0,2002
idn,12400.0,2007
irn,5612.0,1962
irn,4872.0,1967
irn,4210.0,1972
irn,3626.0,1977
irn,3006.0,1982
irn,2472.0,1987
irn,2171.0,1992
irn,2010.0,1997
irn,1907.0,2002
irn,1829.0,2007
irq,4508.0,1962
irq,3843.0,1967
irq,3254.0,1972
irq,2750.0,1977
irq,2351.0,1982
irq,2055.0,1987
irq,1790.0,1992
irq,1530.0,1997
irq,1338.0,2002
irq,1235.0,2007
irl,17260.0,1962
irl,16910.0,1967
irl,16170.0,1972
irl,14970.0,1977
irl,14100.0,1982
irl,13860.0,1987
irl,13860.0,1992
irl,13340.0,1997
irl,12480.0,2002
irl,11610.0,2007
isr,327.1,1962
isr,277.9,1967
isr,244.1,1972
isr,212.4,1977
isr,192.1,1982
isr,177.2,1987
isr,155.3,1992
isr,132.0,1997
isr,118.4,2002
isr,110.1,2007
ita,3582.0,1962
ita,3455.0,1967
ita,3348.0,1972
ita,3263.0,1977
ita,3226.0,1982
ita,3224.0,1987
ita,3206.0,1992
ita,3177.0,1997
ita,3144.0,2002
ita,3105.0,2007
jam,5601.0,1962
jam,5213.0,1967
jam,4885.0,1972
jam,4565.0,1977
jam,4273.0,1982
jam,4034.0,1987
jam,3900.0,1992
jam,3719.0,1997
jam,3578.0,2002
jam,3485.0,2007
jpn,4483.0,1962
jpn,4262.0,1967
jpn,4012.0,1972
jpn,3776.0,1977
jpn,3627.0,1982
jpn,3523.0,1987
jpn,3457.0,1992
jpn,3409.0,1997
jpn,3373.0,2002
