geo,all_forms_of_tb_new_cases_per_100000_reported,time
blr,56,1983
blr,51,1984
blr,49,1985
blr,41,1986
blr,39,1987
blr,37,1988
blr,36,1989
blr,30,1990
blr,36,1991
blr,23,1992
blr,40,1993
blr,42,1994
blr,47,1995
blr,55,1996
blr,59,1997
blr,61,1998
blr,73,1999
blr,68,2000
blr,55,2001
blr,52,2002
blr,52,2003
blr,55,2004
blr,54,2005
blr,53,2006
blr,55,2007
bel,27,1980
bel,29,1981
bel,27,1982
bel,22,1983
bel,22,1984
bel,20,1985
bel,19,1986
bel,18,1987
bel,16,1988
bel,17,1989
bel,16,1990
bel,15,1991
bel,13,1992
bel,15,1993
bel,15,1994
bel,14,1995
bel,13,1996
bel,12,1997
bel,12,1998
bel,11,1999
bel,13,2000
bel,13,2001
bel,12,2002
bel,10,2003
bel,11,2004
bel,10,2005
bel,10,2006
bel,9,2007
blz,15,1980
blz,22,1981
blz,29,1982
blz,91,1983
blz,22,1984
blz,15,1985
blz,14,1986
blz,24,1987
blz,16,1988
blz,17,1989
blz,31,1990
blz,47,1991
blz,33,1992
blz,40,1993
blz,28,1994
blz,44,1995
blz,45,1996
blz,47,1997
blz,53,1998
blz,44,1999
blz,43,2000
blz,54,2001
blz,53,2002
blz,38,2003
blz,31,2004
blz,37,2005
blz,30,2006
blz,22,2007
ben,49,1980
ben,49,1981
ben,45,1982
ben,44,1983
ben,45,1984
ben,46,1985
ben,48,1986
ben,41,1987
ben,42,1988
ben,39,1989
ben,40,1990
ben,40,1991
ben,43,1992
ben,40,1993
ben,35,1994
ben,38,1995
ben,36,1996
ben,34,1997
ben,34,1998
ben,36,1999
ben,37,2000
ben,37,2002
ben,37,2003
ben,38,2004
ben,39,2005
ben,41,2006
bmu,2,1980
bmu,4,1981
bmu,9,1982
bmu,18,1983
bmu,5,1984
bmu,5,1985
bmu,10,1986
bmu,3,1987
bmu,2,1988
bmu,3,1989
bmu,0,1990
bmu,5,1991
bmu,7,1992
bmu,7,1995
bmu,0,1996
bmu,6,1997
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,9,2004
bmu,5,2006
btn,119,1980
btn,201,1981
btn,53,1982
btn,74,1983
btn,64,1984
btn,74,1985
btn,106,1986
btn,40,1987
btn,72,1988
btn,95,1989
btn,211,1990
btn,183,1991
btn,26,1992
btn,21,1993
btn,226,1994
btn,256,1995
btn,250,1996
btn,234,1997
btn,244,1998
btn,216,1999
btn,204,2000
btn,181,2001
btn,184,2002
btn,169,2003
btn,159,2004
btn,158,2005
btn,141,2006
btn,152,2007
bol,82,1980
bol,93,1981
bol,85,1982
bol,91,1983
bol,71,1984
bol,129,1985
bol,112,1986
bol,144,1987
bol,167,1988
bol,193,1989
bol,167,1990
bol,164,1991
bol,136,1992
bol,120,1993
bol,129,1994
bol,193,1995
bol,133,1996
bol,126,1997
bol,127,1998
bol,121,1999
bol,122,2000
bol,124,2001
bol,118,2002
bol,111,2003
bol,109,2004
bol,106,2005
bol,96,2006
bol,90,2007
bih,113,1980
bih,111,1981
bih,117,1982
bih,111,1983
bih,115,1984
bih,113,1985
bih,110,1986
bih,106,1987
bih,94,1988
bih,96,1989
bih,95,1990
bih,85,1991
bih,15,1992
bih,18,1993
bih,45,1994
bih,62,1995
bih,65,1996
bih,83,1997
bih,76,1998
bih,79,1999
bih,65,2000
bih,64,2001
bih,44,2002
bih,45,2003
bih,60,2004
bih,54,2005
bih,45,2006
bih,60,2007
bwa,254,1980
bwa,240,1981
bwa,241,1982
bwa,249,1983
bwa,259,1984
bwa,219,1985
bwa,206,1986
bwa,242,1987
bwa,203,1988
bwa,182,1989
bwa,215,1990
bwa,233,1991
bwa,289,1992
bwa,313,1993
bwa,311,1994
bwa,362,1995
bwa,414,1996
bwa,445,1997
bwa,476,1998
bwa,508,1999
bwa,537,2000
bwa,549,2001
bwa,575,2002
bwa,549,2003
bwa,558,2004
bwa,548,2005
bwa,453,2006
bwa,405,2007
bra,60,1980
bra,69,1981
bra,69,1982
bra,66,1983
bra,66,1984
bra,62,1985
bra,60,1986
bra,58,1987
bra,57,1988
bra,55,1989
bra,50,1990
bra,56,1991
bra,56,1992
bra,48,1994
bra,56,1995
bra,53,1996
bra,50,1997
bra,56,1998
bra,46,1999
bra,45,2000
bra,42,2001
bra,45,2002
bra,44,2003
bra,47,2004
bra,43,2005
bra,41,2006
bra,39,2007
vgb,16,1997
vgb,5,2000
vgb,5,2001
vgb,5,2002
vgb,5,2003
vgb,9,2004
vgb,0,2005
vgb,0,2007
brn,102,1980
brn,143,1981
brn,120,1982
brn,131,1983
brn,118,1984
brn,107,1985
brn,92,1986
brn,80,1987
brn,52,1988
brn,51,1989
brn,56,1990
brn,66,1992
brn,57,1993
brn,52,1997
brn,84,1999
brn,92,2000
brn,63,2001
brn,66,2002
brn,58,2003
brn,48,2004
brn,44,2005
brn,53,2006
brn,53,2007
bgr,37,1980
bgr,34,1981
bgr,34,1982
bgr,32,1983
bgr,32,1984
bgr,29,1985
bgr,28,1986
bgr,26,1987
bgr,27,1988
bgr,26,1989
bgr,26,1990
bgr,30,1991
bgr,36,1992
bgr,38,1993
bgr,63,1994
bgr,39,1995
bgr,38,1996
bgr,42,1997
bgr,51,1998
bgr,44,1999
bgr,42,2000
bgr,49,2001
bgr,42,2002
bgr,39,2003
bgr,39,2004
bgr,42,2005
bgr,41,2006
bgr,37,2007
bfa,39,1980
bfa,36,1981
bfa,33,1982
bfa,44,1983
bfa,12,1984
bfa,62,1985
bfa,13,1986
bfa,18,1987
bfa,12,1988
bfa,20,1989
bfa,17,1990
bfa,16,1991
bfa,15,1993
bfa,9,1994
bfa,25,1995
bfa,17,1996
bfa,15,1997
bfa,19,1998
bfa,20,1999
bfa,19,2000
bfa,20,2001
bfa,19,2002
bfa,20,2003
bfa,21,2004
bfa,25,2005
bfa,27,2006
bfa,27,2007
bdi,19,1980
bdi,15,1981
bdi,22,1982
bdi,23,1983
bdi,40,1984
bdi,47,1985
bdi,51,1986
bdi,53,1987
bdi,70,1988
bdi,83,1989
bdi,80,1990
bdi,84,1991
bdi,75,1992
bdi,77,1993
bdi,62,1994
bdi,53,1995
bdi,60,1996
bdi,84,1997
bdi,102,1998
bdi,97,1999
bdi,95,2001
bdi,90,2002
bdi,94,2003
bdi,95,2004
bdi,84,2005
bdi,75,2006
bdi,74,2007
khm,39,1980
khm,29,1981
khm,116,1982
khm,103,1983
khm,132,1984
khm,125,1985
khm,122,1986
khm,104,1987
khm,118,1988
khm,84,1989
khm,67,1990
khm,109,1991
khm,155,1992
khm,124,1993
khm,137,1994
khm,128,1995
khm,127,1996
khm,130,1997
khm,138,1998
khm,154,1999
khm,148,2000
khm,147,2001
khm,186,2002
khm,209,2003
khm,225,2004
khm,255,2005
khm,244,2006
khm,246,2007
cmr,28,1980
cmr,25,1981
cmr,41,1982
cmr,36,1983
cmr,34,1984
cmr,34,1985
cmr,21,1986
cmr,36,1987
cmr,45,1988
cmr,49,1989
cmr,48,1990
cmr,54,1991
cmr,52,1992
cmr,53,1993
cmr,53,1994
cmr,23,1995
cmr,21,1996
cmr,27,1997
cmr,33,1998
cmr,49,1999
cmr,33,2000
cmr,70,2001
cmr,66,2002
cmr,94,2003
cmr,101,2004
cmr,121,2005
cmr,129,2006
cmr,130,2007
can,11,1980
can,10,1981
can,10,1982
can,9,1983
can,9,1984
can,8,1985
can,8,1986
can,7,1987
can,7,1988
can,7,1989
can,7,1990
can,7,1991
can,7,1992
can,7,1993
can,7,1994
can,7,1995
can,6,1996
can,7,1997
can,6,1998
can,6,1999
can,5,2000
can,5,2001
can,5,2002
can,5,2003
can,5,2004
can,5,2005
can,4,2006
can,4,2007
cpv,178,1980
cpv,117,1981
cpv,131,1982
cpv,75,1983
cpv,91,1984
cpv,81,1985
cpv,86,1987
cpv,81,1988
cpv,60,1989
cpv,62,1990
cpv,76,1995
cpv,44,1996
cpv,47,1997
cpv,48,1998
cpv,63,2001
cpv,41,2002
cpv,65,2003
cpv,59,2004
cpv,58,2005
cpv,51,2006
cpv,52,2007
cym,0,1980
cym,11,1981
cym,0,1982
cym,5,1983
cym,5,1984
cym,19,1985
cym,5,1986
cym,0,1987
cym,0,1988
cym,8,1989
cym,8,1990
cym,11,1991
cym,10,1992
cym,7,1993
cym,6,1995
cym,0,1996
cym,0,1997
cym,8,1998
cym,5,1999
cym,12,2000
cym,2,2001
cym,0,2002
cym,0,2003
cym,2,2004
cym,0,2006
cym,2,2007
caf,28,1980
caf,32,1981
caf,60,1982
caf,66,1983
caf,18,1984
caf,19,1985
caf,28,1986
caf,18,1987
caf,28,1988
caf,2,1989
caf,71,1990
caf,66,1991
caf,97,1995
caf,102,1996
caf,123,1997
caf,131,1998
caf,132,1999
caf,65,2001
caf,121,2002
caf,97,2003
caf,95,2004
caf,77,2005
caf,142,2006
tcd,5,1980
tcd,6,1981
tcd,3,1982
tcd,40,1983
tcd,28,1984
tcd,28,1985
tcd,24,1986
tcd,20,1987
tcd,52,1988
tcd,44,1989
tcd,42,1990
tcd,46,1991
tcd,41,1992
tcd,43,1993
tcd,48,1994
tcd,45,1995
tcd,26,1996
tcd,29,1997
tcd,35,1998
tcd,58,1999
tcd,56,2002
tcd,49,2003
tcd,50,2004
tcd,62,2005
tcd,55,2007
chl,76,1980
chl,65,1981
chl,60,1982
chl,60,1983
chl,55,1984
chl,55,1985
chl,56,1986
chl,50,1987
chl,50,1988
chl,52,1989
chl,47,1990
chl,41,1991
chl,39,1992
chl,33,1993
chl,29,1994
chl,29,1995
chl,29,1996
chl,26,1997
chl,24,1998
chl,23,1999
chl,20,2000
chl,19,2001
chl,16,2002
chl,14,2003
chl,17,2004
chl,13,2005
chl,15,2006
chl,15,2007
chn,10,1982
chn,11,1983
chn,14,1984
chn,21,1985
chn,24,1986
chn,23,1987
chn,27,1988
chn,27,1989
chn,33,1990
chn,30,1991
chn,27,1992
chn,29,1993
chn,30,1994
chn,42,1995
chn,41,1996
chn,38,1997
chn,36,1998
chn,36,1999
chn,36,2000
chn,37,2001
chn,36,2002
chn,47,2003
chn,61,2004
chn,68,2005
chn,71,2006
chn,74,2007
col,41,1980
col,39,1981
col,41,1982
col,45,1983
col,41,1984
col,38,1985
col,36,1986
col,35,1987
col,34,1988
col,33,1989
col,36,1990
col,34,1991
col,31,1992
col,30,1993
col,24,1994
col,26,1995
col,25,1996
col,20,1997
col,23,1998
col,27,1999
col,28,2000
col,27,2001
col,26,2002
col,27,2003
col,25,2004
col,23,2005
col,24,2006
col,24,2007
com,43,1988
com,27,1989
com,27,1990
com,22,1991
com,19,1992
com,22,1993
com,19,1994
com,20,1995
com,22,1996
com,21,1997
com,20,1998
com,23,1999
com,17,2000
com,19,2001
com,15,2002
com,10,2003
com,11,2004
com,14,2005
com,14,2006
cog,41,1980
cog,65,1981
cog,193,1982
cog,210,1983
cog,136,1984
cog,125,1985
cog,143,1986
cog,154,1987
cog,167,1988
cog,181,1989
cog,24,1990
cog,25,1991
cog,46,1992
cog,75,1993
cog,110,1994
cog,129,1995
cog,156,1996
cog,116,1997
cog,127,1998
cog,161,1999
cog,288,2000
cog,296,2001
cog,294,2002
cog,226,2003
cog,276,2004
cog,273,2005
cog,230,2006
cog,239,2007
cok,208,1980
cok,57,1981
cok,107,1982
cok,162,1983
cok,111,1984
cok,198,1985
cok,93,1986
cok,88,1987
cok,110,1988
cok,5,1989
cok,0,1990
cok,6,1991
cok,33,1992
cok,28,1993
cok,22,1994
cok,11,1995
cok,6,1996
cok,11,1997
cok,0,1998
cok,18,1999
cok,6,2000
cok,13,2001
cok,7,2002
cok,0,2003
cok,7,2004
cok,7,2005
cok,7,2006
cri,17,1980
cri,22,1981
cri,18,1982
cri,19,1983
cri,15,1984
cri,14,1985
cri,15,1986
cri,15,1987
cri,15,1988
cri,10,1989
cri,7,1990
cri,6,1991
cri,4,1992
cri,9,1993
cri,10,1994
cri,17,1995
cri,18,1996
cri,19,1997
cri,19,1998
cri,22,1999
cri,15,2000
cri,16,2001
cri,13,2002
cri,13,2003
cri,17,2004
cri,12,2005
cri,11,2006
cri,12,2007
hrv,91,1980
hrv,91,1981
hrv,84,1982
hrv,82,1983
hrv,81,1984
hrv,81,1985
hrv,75,1986
hrv,74,1987
hrv,66,1988
hrv,64,1989
hrv,57,1990
hrv,47,1991
hrv,48,1992
hrv,49,1993
hrv,48,1994
hrv,45,1995
hrv,47,1996
hrv,44,1997
hrv,46,1998
hrv,39,1999
hrv,36,2000
hrv,31,2001
hrv,32,2002
hrv,30,2003
hrv,26,2004
hrv,23,2005
hrv,23,2006
hrv,21,2007
cub,12,1980
cub,9,1981
cub,8,1982
cub,8,1983
cub,7,1984
cub,7,1985
cub,6,1986
cub,6,1987
cub,6,1988
cub,6,1989
cub,5,1990
cub,5,1991
cub,4,1992
cub,7,1993
cub,15,1994
cub,14,1995
cub,13,1996
cub,12,1997
cub,11,1998
cub,10,1999
cub,11,2000
cub,8,2001
cub,8,2002
cub,7,2003
cub,7,2004
cub,7,2005
cub,7,2006
cub,7,2007
cyp,11,1980
cyp,11,1981
cyp,14,1982
cyp,12,1983
cyp,6,1984
cyp,9,1985
cyp,7,1986
cyp,5,1987
cyp,6,1988
cyp,3,1989
cyp,4,1990
cyp,6,1991
cyp,6,1992
cyp,5,1993
cyp,5,1994
cyp,5,1995
cyp,3,1996
cyp,6,1997
cyp,6,1998
cyp,5,1999
cyp,4,2000
cyp,5,2001
cyp,2,2002
cyp,4,2003
cyp,4,2004
cyp,4,2005
cyp,4,2006
cyp,5,2007
cze,48,1980
cze,42,1981
cze,40,1982
cze,39,1983
cze,35,1984
cze,30,1985
cze,25,1986
cze,21,1987
cze,20,1988
cze,18,1989
cze,19,1990
cze,20,1991
cze,19,1992
cze,18,1993
cze,19,1994
cze,18,1995
cze,19,1996
cze,18,1997
cze,18,1998
cze,16,1999
cze,14,2000
cze,13,2001
cze,11,2002
cze,11,2003
cze,10,2004
cze,10,2005
cze,9,2006
cze,8,2007
civ,50,1980
civ,50,1981
civ,54,1982
civ,62,1983
civ,60,1984
civ,55,1985
civ,56,1986
civ,56,1987
civ,56,1988
civ,57,1989
civ,61,1990
civ,61,1991
civ,67,1992
civ,68,1993
civ,96,1994
civ,80,1995
civ,85,1996
civ,87,1997
civ,91,1998
civ,90,1999
civ,76,2000
civ,95,2001
civ,91,2002
civ,99,2003
civ,110,2004
civ,106,2005
civ,110,2006
civ,120,2007
prk,0,1988
prk,50,1997
prk,5,1998
prk,54,1999
prk,149,2000
prk,127,2001
prk,173,2002
prk,179,2003
prk,190,2004
prk,181,2005
prk,188,2006
prk,247,2007
cod,18,1980
cod,11,1981
cod,33,1982
cod,43,1983
cod,65,1984
cod,81,1985
cod,83,1986
cod,79,1987
cod,86,1988
cod,86,1989
cod,56,1990
cod,86,1991
cod,92,1992
cod,86,1993
cod,87,1994
cod,94,1995
cod,99,1996
cod,94,1997
cod,121,1998
cod,120,1999
cod,120,2000
cod,128,2001
cod,132,2002
cod,153,2003
cod,164,2004
cod,165,2005
cod,158,2006
cod,159,2007
dnk,8,1980
dnk,8,1981
dnk,7,1982
dnk,7,1983
dnk,6,1984
dnk,6,1985
dnk,6,1986
dnk,6,1987
dnk,6,1988
dnk,6,1989
dnk,7,1990
dnk,6,1991
dnk,7,1992
dnk,8,1993
dnk,10,1994
dnk,9,1995
dnk,9,1996
dnk,11,1997
dnk,10,1998
dnk,11,1999
dnk,11,2000
dnk,9,2001
dnk,8,2002
dnk,7,2003
dnk,7,2004
dnk,7,2005
dnk,6,2006
dnk,7,2007
dji,639,1981
dji,184,1982
dji,388,1984
dji,562,1985
dji,434,1986
dji,427,1987
dji,407,1988
dji,383,1989
dji,375,1990
dji,500,1991
dji,487,1992
dji,580,1993
dji,542,1994
dji,519,1996
dji,577,1997
dji,551,1998
dji,583,1999
dji,544,2000
dji,562,2001
dji,418,2002
dji,416,2003
dji,372,2004
dji,387,2005
dji,368,2006
dji,384,2007
dma,27,1980
dma,35,1981
dma,24,1982
dma,22,1983
dma,7,1984
dma,11,1985
dma,48,1986
dma,37,1987
dma,10,1988
dma,18,1989
dma,9,1990
dma,20,1991
dma,19,1992
dma,10,1993
dma,17,1994
dma,12,1995
dma,15,1996
dma,9,1997
dma,7,1998
dma,3,2002
dma,28,2006
dma,4,2007
dom,38,1980
dom,30,1981
dom,41,1982
dom,48,1983
dom,49,1984
dom,36,1985
dom,40,1986
dom,37,1987
dom,45,1988
dom,45,1989
dom,36,1990
dom,25,1991
dom,46,1992
dom,52,1993
dom,55,1994
dom,51,1995
dom,77,1996
dom,65,1997
dom,61,1998
dom,67,1999
dom,61,2000
dom,54,2001
dom,45,2002
dom,51,2003
dom,49,2004
dom,53,2005
dom,47,2006
dom,43,2007
ecu,50,1980
ecu,48,1981
ecu,46,1982
ecu,46,1983
ecu,49,1984
ecu,53,1985
ecu,61,1986
ecu,61,1987
ecu,56,1988
ecu,55,1989
ecu,80,1990
ecu,65,1991
ecu,68,1992
ecu,64,1993
ecu,87,1994
ecu,69,1995
ecu,72,1996
ecu,80,1997
ecu,60,1998
ecu,47,1999
ecu,56,2000
ecu,48,2001
ecu,46,2002
ecu,50,2003
ecu,47,2004
ecu,34,2005
ecu,35,2006
ecu,37,2007
egy,4,1980
egy,3,1981
egy,4,1982
egy,4,1983
egy,3,1984
egy,3,1985
egy,2,1986
egy,42,1987
egy,3,1988
egy,3,1989
egy,4,1990
egy,6,1991
egy,15,1992
egy,6,1993
egy,7,1994
egy,18,1995
egy,20,1996
egy,22,1997
egy,20,1998
egy,18,1999
egy,16,2000
egy,16,2001
egy,16,2002
egy,16,2003
egy,16,2004
egy,16,2005
egy,14,2006
egy,13,2007
slv,49,1980
slv,45,1981
slv,46,1982
slv,44,1983
slv,33,1984
slv,31,1985
slv,34,1986
slv,34,1987
slv,48,1988
slv,12,1989
slv,46,1990
slv,44,1991
slv,47,1992
slv,62,1993
slv,71,1994
slv,43,1995
slv,29,1996
slv,28,1997
slv,28,1998
slv,27,1999
slv,24,2000
slv,23,2001
slv,24,2002
slv,21,2003
slv,21,2004
slv,27,2005
slv,24,2006
slv,24,2007
gnq,61,1984
gnq,5,1985
gnq,0,1986
gnq,3,1987
gnq,6,1988
gnq,45,1989
gnq,77,1990
gnq,95,1991
gnq,74,1992
gnq,85,1993
gnq,95,1994
gnq,80,1995
gnq,82,1996
gnq,91,1997
gnq,101,1998
gnq,113,2004
eri,117,1990
eri,138,1992
eri,367,1993
eri,487,1994
eri,668,1995
eri,160,1996
eri,249,1997
eri,227,1998
eri,170,1999
eri,181,2000
eri,72,2001
eri,70,2002
eri,113,2003
eri,97,2004
eri,78,2005
eri,64,2006
eri,75,2007
est,42,1980
est,38,1981
est,38,1982
est,39,1983
est,36,1984
est,35,1985
est,34,1986
est,29,1987
est,30,1988
est,27,1989
est,27,1990
est,26,1991
est,26,1992
est,36,1993
est,43,1994
est,43,1995
est,48,1996
est,53,1997
est,59,1998
est,55,1999
est,58,2000
est,52,2001
est,46,2002
est,41,2003
est,40,2004
est,36,2005
est,31,2006
est,34,2007
eth,108,1980
eth,112,1981
eth,134,1982
eth,140,1983
eth,155,1984
eth,165,1985
eth,180,1986
eth,186,1987
eth,200,1988
eth,164,1989
eth,173,1990
eth,113,1991
eth,110,1992
eth,170,1994
eth,43,1995
eth,67,1996
eth,92,1997
eth,106,1998
eth,107,1999
eth,131,2000
eth,133,2001
eth,151,2002
eth,157,2003
eth,160,2004
eth,157,2005
eth,151,2006
eth,155,2007
fji,33,1980
fji,28,1981
fji,24,1982
fji,27,1983
fji,24,1984
fji,32,1985
fji,28,1986
fji,24,1987
fji,23,1988
fji,30,1989
fji,31,1990
fji,34,1991
fji,32,1992
fji,24,1993
fji,30,1994
fji,26,1995
fji,26,1996
fji,22,1997
fji,21,1998
fji,24,1999
fji,18,2000
fji,23,2001
fji,18,2002
fji,23,2003
fji,16,2004
fji,16,2005
fji,14,2006
fji,11,2007
fin,47,1980
fin,46,1981
fin,45,1982
fin,39,1983
fin,37,1984
fin,37,1985
fin,31,1986
fin,29,1987
fin,22,1988
fin,20,1989
fin,15,1990
fin,15,1991
fin,14,1992
fin,11,1993
fin,11,1994
fin,13,1995
fin,13,1996
fin,11,1997
fin,12,1998
fin,11,1999
fin,10,2000
fin,9,2001
fin,9,2002
fin,8,2003
fin,6,2004
fin,6,2005
fin,5,2006
fin,6,2007
fra,32,1980
fra,30,1981
fra,28,1982
fra,25,1983
fra,22,1984
fra,20,1985
fra,19,1986
fra,18,1987
