geo,females_aged_15_24_employment_rate_percent,time
lso,25.6,1997
lso,29.8,1998
lso,33.8,1999
lso,35.2,2000
lso,34.4,2001
lso,35.0,2002
lso,34.6,2003
lso,35.7,2004
lso,34.3,2005
lso,37.7,2006
lso,35.4,2007
lbr,50.6,1991
lbr,50.4,1992
lbr,50.3,1993
lbr,50.1,1994
lbr,50.0,1995
lbr,50.0,1996
lbr,50.0,1997
lbr,50.0,1998
lbr,50.0,1999
lbr,50.0,2000
lbr,50.1,2001
lbr,50.1,2002
lbr,50.2,2003
lbr,50.4,2004
lbr,50.6,2005
lbr,50.9,2006
lbr,50.8,2007
lby,11.9,1991
lby,11.9,1992
lby,11.9,1993
lby,12.1,1994
lby,11.9,1995
lby,12.2,1996
lby,12.1,1997
lby,12.1,1998
lby,12.2,1999
lby,12.3,2000
lby,12.3,2001
lby,12.5,2002
lby,12.9,2003
lby,13.0,2004
lby,13.1,2005
lby,13.1,2006
lby,13.2,2007
ltu,31.5,1991
ltu,30.5,1992
ltu,29.5,1993
ltu,29.0,1994
ltu,28.3,1995
ltu,28.2,1996
ltu,29.1,1997
ltu,27.1,1998
ltu,26.6,1999
ltu,21.9,2000
ltu,19.8,2001
ltu,20.5,2002
ltu,18.6,2003
ltu,16.6,2004
ltu,17.4,2005
ltu,20.8,2006
ltu,19.0,2007
lux,48.5,1991
lux,48.2,1992
lux,43.5,1993
lux,41.0,1994
lux,36.3,1995
lux,34.8,1996
lux,31.7,1997
lux,30.9,1998
lux,29.3,1999
lux,28.4,2000
lux,30.1,2001
lux,28.4,2002
lux,26.0,2003
lux,20.7,2004
lux,21.5,2005
lux,21.5,2006
lux,22.6,2007
mac,46.7,1991
mac,44.3,1992
mac,49.7,1993
mac,50.2,1994
mac,46.5,1995
mac,50.8,1996
mac,48.5,1997
mac,45.3,1998
mac,42.1,1999
mac,40.1,2000
mac,42.8,2001
mac,38.1,2002
mac,33.8,2003
mac,34.7,2004
mac,38.3,2005
mac,39.2,2006
mac,38.0,2007
mdg,65.0,1991
mdg,65.2,1992
mdg,65.3,1993
mdg,65.4,1994
mdg,65.6,1995
mdg,65.7,1996
mdg,65.9,1997
mdg,66.0,1998
mdg,66.5,1999
mdg,66.2,2000
mdg,65.7,2001
mdg,64.1,2002
mdg,62.5,2003
mdg,67.1,2004
mdg,71.5,2005
mdg,71.1,2006
mdg,68.9,2007
mwi,51.2,1991
mwi,50.8,1992
mwi,50.4,1993
mwi,49.9,1994
mwi,49.7,1995
mwi,49.5,1996
mwi,49.3,1997
mwi,49.3,1998
mwi,49.8,1999
mwi,50.3,2000
mwi,50.6,2001
mwi,51.1,2002
mwi,51.4,2003
mwi,51.9,2004
mwi,51.9,2005
mwi,51.8,2006
mwi,52.0,2007
mys,38.1,1991
mys,37.2,1992
mys,37.6,1993
mys,37.2,1994
mys,36.7,1995
mys,36.9,1996
mys,36.4,1997
mys,35.2,1998
mys,35.0,1999
mys,36.9,2000
mys,36.8,2001
mys,36.8,2002
mys,36.8,2003
mys,36.6,2004
mys,36.8,2005
mys,36.7,2006
mys,37.0,2007
mdv,18.2,1991
mdv,18.8,1992
mdv,19.4,1993
mdv,20.5,1994
mdv,21.3,1995
mdv,22.5,1996
mdv,23.8,1997
mdv,25.6,1998
mdv,27.7,1999
mdv,28.9,2000
mdv,30.4,2001
mdv,34.4,2002
mdv,37.0,2003
mdv,39.4,2004
mdv,38.7,2005
mdv,32.3,2006
mdv,35.5,2007
mli,28.6,1991
mli,28.8,1992
mli,28.8,1993
mli,28.8,1994
mli,29.3,1995
mli,29.8,1996
mli,30.3,1997
mli,30.0,1998
mli,29.3,1999
mli,29.6,2000
mli,30.0,2001
mli,30.1,2002
mli,29.3,2003
mli,28.4,2004
mli,28.3,2005
mli,28.2,2006
mli,28.4,2007
mlt,52.8,1991
mlt,52.6,1992
mlt,52.3,1993
mlt,49.4,1994
mlt,52.1,1995
mlt,52.5,1996
mlt,47.8,1997
mlt,44.7,1998
mlt,48.4,1999
mlt,47.4,2000
mlt,48.6,2001
mlt,47.9,2002
mlt,43.5,2003
mlt,43.0,2004
mlt,44.6,2005
mlt,43.4,2006
mlt,45.2,2007
mtq,18.8,1991
mtq,18.1,1992
mtq,18.1,1993
mtq,17.3,1994
mtq,14.1,1995
mtq,12.5,1996
mtq,10.6,1997
mtq,9.3,1998
mtq,8.6,1999
mtq,8.7,2000
mtq,9.1,2001
mtq,10.1,2002
mtq,10.4,2003
mtq,10.7,2004
mtq,11.3,2005
mtq,10.3,2006
mtq,9.9,2007
mrt,39.5,1991
mrt,39.2,1992
mrt,39.1,1993
mrt,38.8,1994
mrt,38.6,1995
mrt,38.2,1996
mrt,37.9,1997
mrt,37.5,1998
mrt,38.0,1999
mrt,38.3,2000
mrt,36.3,2001
mrt,34.4,2002
mrt,32.8,2003
mrt,30.7,2004
mrt,30.5,2005
mrt,30.4,2006
mrt,30.1,2007
mus,30.1,1991
mus,37.1,1992
mus,36.8,1993
mus,36.6,1994
mus,25.8,1995
mus,28.5,1996
mus,27.6,1997
mus,27.4,1998
mus,26.6,1999
mus,25.5,2000
mus,25.0,2001
mus,31.6,2002
mus,31.0,2003
mus,24.4,2004
mus,23.4,2005
mus,25.5,2006
mus,29.0,2007
mex,32.8,1991
mex,33.4,1992
mex,34.0,1993
mex,33.1,1994
mex,31.8,1995
mex,31.8,1996
mex,33.1,1997
mex,34.4,1998
mex,34.6,1999
mex,34.3,2000
mex,32.8,2001
mex,31.5,2002
mex,30.0,2003
mex,29.9,2004
mex,31.3,2005
mex,32.1,2006
mex,30.8,2007
mng,36.7,1991
mng,37.9,1992
mng,38.1,1993
mng,38.7,1994
mng,39.0,1995
mng,38.1,1996
mng,37.6,1997
mng,37.4,1998
mng,36.8,1999
mng,36.1,2000
mng,35.6,2001
mng,35.2,2002
mng,35.3,2003
mng,37.0,2004
mng,33.9,2005
mng,33.3,2006
mng,33.7,2007
mar,23.8,1991
mar,23.5,1992
mar,23.5,1993
mar,24.0,1994
mar,23.7,1995
mar,24.4,1996
mar,24.4,1997
mar,24.8,1998
mar,24.6,1999
mar,23.5,2000
mar,17.9,2001
mar,17.6,2002
mar,20.2,2003
mar,21.7,2004
mar,20.2,2005
mar,20.7,2006
mar,18.3,2007
moz,70.9,1991
moz,71.2,1992
moz,71.5,1993
moz,71.8,1994
moz,72.0,1995
moz,72.3,1996
moz,72.5,1997
moz,72.6,1998
moz,72.6,1999
moz,72.7,2000
moz,73.0,2001
moz,73.1,2002
moz,73.3,2003
moz,73.6,2004
moz,73.8,2005
moz,74.0,2006
moz,73.9,2007
mmr,53.4,1991
mmr,53.1,1992
mmr,52.3,1993
mmr,51.3,1994
mmr,50.4,1995
mmr,49.5,1996
mmr,48.9,1997
mmr,49.6,1998
mmr,48.9,1999
mmr,47.9,2000
mmr,47.8,2001
mmr,47.1,2002
mmr,46.5,2003
mmr,45.6,2004
mmr,44.9,2005
mmr,43.1,2006
mmr,43.8,2007
nam,20.9,1991
nam,20.9,1992
nam,20.8,1993
nam,22.6,1994
nam,20.8,1995
nam,19.0,1996
nam,17.1,1997
nam,16.5,1998
nam,15.9,1999
nam,15.0,2000
nam,17.9,2001
nam,14.5,2002
nam,13.9,2003
nam,13.3,2004
nam,13.0,2005
nam,12.7,2006
nam,12.7,2007
npl,49.3,1991
npl,49.7,1992
npl,49.2,1993
npl,48.8,1994
npl,48.3,1995
npl,47.2,1996
npl,47.1,1997
npl,46.9,1998
npl,47.1,1999
npl,45.2,2000
npl,43.1,2001
npl,44.1,2002
npl,44.3,2003
npl,44.9,2004
npl,45.7,2005
npl,46.4,2006
npl,45.6,2007
nld,54.3,1991
nld,55.8,1992
nld,54.3,1993
nld,54.5,1994
nld,54.7,1995
nld,57.7,1996
nld,59.8,1997
nld,61.6,1998
nld,65.2,1999
nld,65.0,2000
nld,66.0,2001
nld,66.0,2002
nld,63.7,2003
nld,62.7,2004
nld,61.5,2005
nld,62.7,2006
nld,64.0,2007
ant,27.7,1991
ant,27.8,1992
ant,27.8,1993
ant,27.0,1994
ant,24.4,1995
ant,22.3,1996
ant,22.3,1997
ant,19.6,1998
ant,22.1,1999
ant,24.8,2000
ant,21.7,2001
ant,21.9,2002
ant,22.6,2003
ant,21.9,2004
ant,18.7,2005
ant,19.6,2006
ant,26.8,2007
nzl,53.1,1991
nzl,51.5,1992
nzl,51.3,1993
nzl,53.6,1994
nzl,56.0,1995
nzl,57.1,1996
nzl,56.0,1997
nzl,54.2,1998
nzl,52.2,1999
nzl,52.8,2000
nzl,53.4,2001
nzl,54.1,2002
nzl,53.6,2003
nzl,53.1,2004
nzl,54.0,2005
nzl,55.9,2006
nzl,53.7,2007
nic,24.3,1991
nic,24.6,1992
nic,21.3,1993
nic,23.6,1994
nic,17.6,1995
nic,18.7,1996
nic,19.5,1997
nic,19.7,1998
nic,21.1,1999
nic,23.5,2000
nic,20.8,2001
nic,20.4,2002
nic,23.0,2003
nic,24.0,2004
nic,24.4,2005
nic,24.8,2006
nic,25.6,2007
ner,34.1,1991
ner,33.7,1992
ner,33.5,1993
ner,33.4,1994
ner,33.4,1995
ner,33.3,1996
ner,33.2,1997
ner,33.3,1998
ner,33.1,1999
ner,33.1,2000
ner,33.2,2001
ner,33.3,2002
ner,33.4,2003
ner,33.4,2004
ner,33.5,2005
ner,33.6,2006
ner,33.5,2007
nga,18.2,1991
nga,18.2,1992
nga,18.3,1993
nga,18.2,1994
nga,18.1,1995
nga,18.0,1996
nga,17.8,1997
nga,17.7,1998
nga,17.4,1999
nga,17.3,2000
nga,17.2,2001
nga,17.1,2002
nga,17.1,2003
nga,17.0,2004
nga,16.8,2005
nga,16.7,2006
nga,16.7,2007
nor,47.7,1991
nor,46.0,1992
nor,44.6,1993
nor,45.5,1994
nor,46.3,1995
nor,48.8,1996
nor,50.6,1997
nor,54.5,1998
nor,54.4,1999
nor,54.3,2000
nor,54.0,2001
nor,56.0,2002
nor,54.2,2003
nor,53.6,2004
nor,51.3,2005
nor,53.0,2006
nor,57.0,2007
omn,15.8,1991
omn,15.5,1992
omn,15.3,1993
omn,15.3,1994
omn,15.4,1995
omn,15.7,1996
omn,16.0,1997
