geo,population_aged_60plus_years_female_percent,time
btn,20.96,2050
bol,5.956,1950
bol,5.882,1955
bol,5.851,1960
bol,5.858,1965
bol,5.86,1970
bol,5.919,1975
bol,5.859,1980
bol,6.032,1985
bol,6.423,1990
bol,6.716,1995
bol,7.033,2000
bol,7.293,2005
bol,7.856,2010
bol,8.534,2015
bol,9.403,2020
bol,10.41,2025
bol,11.65,2030
bol,13.23,2035
bol,14.89,2040
bol,16.76,2045
bol,18.95,2050
bih,6.962,1950
bih,6.262,1955
bih,6.585,1960
bih,7.168,1965
bih,8.361,1970
bih,9.081,1975
bih,9.215,1980
bih,10.38,1985
bih,12.2,1990
bih,14.76,1995
bih,17.94,2000
bih,19.2,2005
bih,20.81,2010
bih,23.46,2015
bih,26.56,2020
bih,29.83,2025
bih,32.73,2030
bih,35.37,2035
bih,37.7,2040
bih,40.17,2045
bih,42.82,2050
bwa,7.981,1950
bwa,7.5,1955
bwa,6.618,1960
bwa,6.41,1965
bwa,5.556,1970
bwa,4.751,1975
bwa,4.391,1980
bwa,4.738,1985
bwa,4.942,1990
bwa,5.109,1995
bwa,5.639,2000
bwa,6.176,2005
bwa,6.795,2010
bwa,7.935,2015
bwa,8.925,2020
bwa,9.312,2025
bwa,9.06,2030
bwa,8.618,2035
bwa,8.761,2040
bwa,10.03,2045
bwa,12.03,2050
bra,5.331,1950
bra,5.499,1955
bra,5.781,1960
bra,5.836,1965
bra,6.066,1970
bra,6.321,1975
bra,6.462,1980
bra,6.685,1985
bra,7.28,1990
bra,7.916,1995
bra,8.818,2000
bra,9.702,2005
bra,11.09,2010
bra,13.02,2015
bra,15.34,2020
bra,18.09,2025
bra,20.67,2030
bra,23.25,2035
bra,26.2,2040
bra,29.34,2045
bra,31.92,2050
brn,8.696,1950
brn,6.452,1955
brn,7.5,1960
brn,6.25,1965
brn,4.762,1970
brn,6.41,1975
brn,3.333,1980
brn,4.673,1985
brn,4.132,1990
brn,3.597,1995
brn,3.774,2000
brn,4.52,2005
brn,5.584,2010
brn,6.103,2015
brn,8.621,2020
brn,10.32,2025
brn,12.64,2030
brn,15.03,2035
brn,18.15,2040
brn,20.0,2045
brn,22.36,2050
bgr,11.03,1950
bgr,11.68,1955
bgr,12.44,1960
bgr,13.93,1965
bgr,15.71,1970
bgr,17.08,1975
bgr,16.8,1980
bgr,18.77,1985
bgr,20.87,1990
bgr,23.24,1995
bgr,24.43,2000
bgr,25.51,2005
bgr,27.58,2010
bgr,29.29,2015
bgr,30.93,2020
bgr,32.4,2025
bgr,34.07,2030
bgr,36.19,2035
bgr,38.59,2040
bgr,40.3,2045
bgr,41.88,2050
bfa,3.349,1950
bfa,3.85,1955
bfa,4.297,1960
bfa,4.518,1965
bfa,4.726,1970
bfa,4.779,1975
bfa,4.787,1980
bfa,4.655,1985
bfa,4.454,1990
bfa,4.271,1995
bfa,4.119,2000
bfa,4.045,2005
bfa,3.865,2010
bfa,3.823,2015
bfa,4.024,2020
bfa,4.379,2025
bfa,4.857,2030
bfa,5.429,2035
bfa,6.111,2040
bfa,6.884,2045
bfa,7.752,2050
bdi,5.616,1950
bdi,5.432,1955
bdi,5.566,1960
bdi,5.755,1965
bdi,5.924,1970
bdi,6.253,1975
bdi,6.206,1980
bdi,5.805,1985
bdi,5.458,1990
bdi,5.215,1995
bdi,5.251,2000
bdi,5.139,2005
bdi,5.161,2010
bdi,5.708,2015
bdi,6.243,2020
bdi,6.674,2025
bdi,7.085,2030
bdi,7.738,2035
bdi,8.928,2040
bdi,10.83,2045
bdi,12.97,2050
khm,4.966,1950
khm,4.959,1955
khm,4.969,1960
khm,5.02,1965
khm,5.078,1970
khm,5.076,1975
khm,4.721,1980
khm,4.925,1985
khm,5.201,1990
khm,5.457,1995
khm,5.746,2000
khm,6.397,2005
khm,7.07,2010
khm,7.765,2015
khm,8.61,2020
khm,9.67,2025
khm,10.72,2030
khm,11.48,2035
khm,12.01,2040
khm,14.73,2045
khm,17.57,2050
cmr,6.192,1950
cmr,6.177,1955
cmr,6.259,1960
cmr,6.264,1965
cmr,6.299,1970
cmr,6.245,1975
cmr,6.16,1980
cmr,6.028,1985
cmr,5.947,1990
cmr,5.862,1995
cmr,5.827,2000
cmr,5.835,2005
cmr,5.862,2010
cmr,5.999,2015
cmr,6.191,2020
cmr,6.438,2025
cmr,6.723,2030
cmr,7.157,2035
cmr,7.96,2040
cmr,9.141,2045
cmr,10.49,2050
can,11.16,1950
can,11.14,1955
can,11.06,1960
can,11.46,1965
can,12.3,1970
can,13.49,1975
can,14.76,1980
can,16.38,1985
can,17.36,1990
can,17.85,1995
can,18.43,2000
can,19.47,2005
can,21.54,2010
can,23.9,2015
can,26.61,2020
can,29.18,2025
can,30.54,2030
can,31.43,2035
can,32.13,2040
can,32.73,2045
can,33.19,2050
cpv,7.595,1950
cpv,8.602,1955
cpv,9.615,1960
cpv,9.091,1965
cpv,9.42,1970
cpv,8.725,1975
cpv,8.442,1980
cpv,7.018,1985
cpv,7.407,1990
cpv,7.212,1995
cpv,8.225,2000
cpv,6.8,2005
cpv,6.742,2010
cpv,7.368,2015
cpv,8.609,2020
cpv,10.38,2025
cpv,12.05,2030
cpv,13.95,2035
cpv,16.15,2040
cpv,18.94,2045
cpv,22.25,2050
caf,8.47,1950
caf,7.757,1955
caf,7.471,1960
caf,7.151,1965
caf,7.097,1970
caf,7.018,1975
caf,6.759,1980
caf,6.752,1985
caf,6.707,1990
caf,6.478,1995
caf,6.447,2000
caf,6.456,2005
caf,6.367,2010
caf,6.515,2015
caf,6.763,2020
caf,7.045,2025
caf,7.299,2030
caf,7.718,2035
caf,8.312,2040
caf,9.217,2045
caf,10.43,2050
tcd,7.386,1950
tcd,6.917,1955
tcd,6.901,1960
tcd,6.782,1965
tcd,6.784,1970
tcd,6.543,1975
tcd,6.368,1980
tcd,6.16,1985
tcd,5.829,1990
tcd,5.557,1995
tcd,5.263,2000
tcd,5.034,2005
tcd,4.805,2010
tcd,4.901,2015
tcd,5.029,2020
tcd,5.143,2025
tcd,5.298,2030
tcd,5.542,2035
tcd,6.0,2040
tcd,6.648,2045
tcd,7.499,2050
chanisl,19.23,1950
chanisl,19.64,1955
chanisl,20.34,1960
chanisl,22.58,1965
chanisl,21.88,1970
chanisl,22.73,1975
chanisl,22.73,1980
chanisl,22.54,1985
chanisl,21.62,1990
chanisl,20.55,1995
chanisl,20.27,2000
chanisl,20.78,2005
chanisl,22.37,2010
chanisl,25.64,2015
chanisl,29.49,2020
chanisl,32.47,2025
chanisl,35.53,2030
chanisl,38.16,2035
chanisl,37.84,2040
chanisl,38.67,2045
chanisl,38.67,2050
chl,7.362,1950
chl,7.848,1955
chl,8.174,1960
chl,8.227,1965
chl,8.538,1970
chl,8.767,1975
chl,9.213,1980
chl,9.666,1985
chl,10.26,1990
chl,10.86,1995
chl,11.61,2000
chl,12.99,2005
chl,14.56,2010
chl,16.46,2015
chl,19.08,2020
chl,22.03,2025
chl,24.41,2030
chl,26.39,2035
chl,27.64,2040
chl,29.2,2045
chl,31.04,2050
chn,8.649,1950
chn,8.432,1955
chn,8.795,1960
chn,8.225,1965
chn,8.01,1970
chn,7.949,1975
chn,8.285,1980
chn,8.783,1985
chn,9.12,1990
chn,9.803,1995
chn,10.59,2000
chn,11.48,2005
chn,13.05,2010
chn,15.82,2015
chn,17.97,2020
chn,21.17,2025
chn,25.33,2030
chn,28.7,2035
chn,30.05,2040
chn,31.48,2045
chn,33.95,2050
col,5.94,1950
col,5.661,1955
col,5.687,1960
col,5.711,1965
col,5.873,1970
col,6.083,1975
col,6.237,1980
col,6.57,1985
col,6.845,1990
col,7.123,1995
col,7.514,2000
col,8.165,2005
col,9.377,2010
col,11.12,2015
col,13.09,2020
col,15.38,2025
col,17.74,2030
col,19.58,2035
col,21.53,2040
col,23.39,2045
col,25.14,2050
com,6.329,1950
com,5.747,1955
com,5.155,1960
com,5.607,1965
com,5.882,1970
com,5.185,1975
com,5.488,1980
com,5.181,1985
com,5.0,1990
com,4.918,1995
com,5.415,2000
com,4.918,2005
com,4.942,2010
com,5.263,2015
com,6.19,2020
com,7.301,2025
com,8.419,2030
com,9.423,2035
com,11.35,2040
com,13.31,2045
com,14.96,2050
cod,6.254,1950
cod,5.699,1955
cod,5.423,1960
cod,5.327,1965
cod,5.282,1970
cod,5.271,1975
cod,5.23,1980
cod,5.168,1985
cod,5.052,1990
cod,4.933,1995
cod,4.785,2000
cod,4.704,2005
cod,4.648,2010
cod,4.603,2015
cod,4.632,2020
cod,4.766,2025
cod,5.037,2030
cod,5.46,2035
cod,6.049,2040
cod,6.874,2045
cod,7.971,2050
cog,6.326,1950
cog,6.195,1955
cog,6.067,1960
cog,6.336,1965
cog,6.389,1970
cog,6.274,1975
cog,6.243,1980
cog,6.109,1985
cog,6.107,1990
cog,6.026,1995
cog,6.234,2000
cog,6.192,2005
cog,6.17,2010
cog,6.155,2015
cog,6.258,2020
cog,6.439,2025
cog,6.871,2030
cog,7.629,2035
cog,8.836,2040
cog,10.24,2045
cog,11.87,2050
cri,8.245,1950
cri,7.762,1955
cri,7.634,1960
cri,7.079,1965
cri,7.119,1970
cri,6.924,1975
cri,7.279,1980
cri,7.251,1985
cri,7.412,1990
cri,7.787,1995
cri,8.23,2000
cri,8.83,2005
cri,10.15,2010
cri,11.91,2015
cri,14.29,2020
cri,16.92,2025
cri,19.41,2030
cri,21.22,2035
cri,23.35,2040
cri,25.85,2045
cri,28.32,2050
civ,4.372,1950
civ,4.336,1955
civ,4.435,1960
civ,4.424,1965
civ,4.379,1970
civ,4.327,1975
civ,4.311,1980
civ,4.324,1985
civ,4.501,1990
civ,4.735,1995
civ,5.07,2000
civ,5.488,2005
civ,5.795,2010
civ,6.164,2015
civ,6.516,2020
civ,6.853,2025
civ,7.23,2030
civ,7.798,2035
civ,8.808,2040
civ,10.05,2045
civ,11.52,2050
hrv,12.4,1950
hrv,12.24,1955
hrv,13.26,1960
hrv,14.7,1965
hrv,16.94,1970
hrv,17.79,1975
hrv,17.32,1980
hrv,18.78,1985
hrv,20.45,1990
hrv,22.87,1995
hrv,24.96,2000
hrv,25.18,2005
hrv,26.71,2010
hrv,28.51,2015
hrv,30.54,2020
hrv,32.21,2025
hrv,33.52,2030
hrv,34.76,2035
hrv,36.21,2040
hrv,37.51,2045
hrv,38.19,2050
cub,6.532,1950
cub,6.26,1955
cub,6.644,1960
cub,7.608,1965
cub,8.777,1970
cub,9.931,1975
cub,11.11,1980
cub,11.42,1985
cub,12.41,1990
cub,13.0,1995
cub,14.9,2000
cub,15.81,2005
cub,18.22,2010
cub,20.84,2015
cub,23.43,2020
cub,27.94,2025
cub,33.03,2030
cub,36.85,2035
cub,38.19,2040
cub,39.17,2045
cub,41.24,2050
cyp,9.2,1950
cyp,9.665,1955
cyp,9.689,1960
cyp,10.7,1965
cyp,14.33,1970
cyp,14.94,1975
cyp,15.03,1980
cyp,15.38,1985
cyp,15.84,1990
cyp,16.3,1995
cyp,16.54,2000
cyp,17.95,2005
cyp,19.51,2010
cyp,21.26,2015
cyp,23.34,2020
cyp,25.19,2025
cyp,26.87,2030
cyp,28.34,2035
cyp,29.75,2040
cyp,31.16,2045
cyp,32.55,2050
cze,13.8,1950
cze,14.73,1955
cze,16.56,1960
cze,18.71,1965
cze,20.63,1970
cze,21.42,1975
cze,19.56,1980
cze,20.32,1985
cze,20.76,1990
cze,21.0,1995
cze,21.33,2000
cze,22.88,2005
cze,25.25,2010
cze,27.39,2015
cze,28.53,2020
cze,29.58,2025
cze,30.63,2030
cze,32.87,2035
cze,35.27,2040
cze,36.17,2045
cze,36.98,2050
dnk,14.02,1950
dnk,14.93,1955
dnk,16.38,1960
dnk,17.64,1965
dnk,19.18,1970
dnk,20.58,1975
dnk,21.67,1980
dnk,22.77,1985
dnk,22.93,1990
dnk,22.34,1995
dnk,22.05,2000
